South Carolina State,2724,Wichita State,2569
1:32,2569,Foul on Greg Mortimer.,15,40
1:32,2724,Austin Reaves missed Free Throw.,15,40
1:32,2724,Wichita St Deadball Team Rebound.,15,40
1:32,2724,Austin Reaves made Free Throw.,15,41
1:04,2569,Damani Applewhite missed Jumper.,15,41
1:04,2724,Darral Willis Jr. Defensive Rebound.,15,41
0:50,2724,Rauno Nurger Turnover.,15,41
0:34,2569,"""Jj"" Jam Richardson Turnover.",15,41
0:20,2724,C.J. Keyser Turnover.,15,41
0:18,2569,"""Jj"" Jam Richardson Steal.",15,41
0:13,2569,"""Jj"" Jam Richardson Turnover.",15,41
0:12,2724,Austin Reaves Steal.,15,41
0:11,2724,Wichita St  Timeout,15,41
0:01,2724,Conner Frankamp missed Three Point Jumper.,15,41
0:01,2569,South Carolina St Defensive Rebound.,15,41
0:00,2724,End of 1st half,15,41
19:45,2569,Tashombe Riley missed Jumper.,15,41
19:45,2724,Landry Shamet Defensive Rebound.,15,41
19:31,2724,Zach Brown missed Three Point Jumper.,15,41
19:31,2569,South Carolina St Defensive Rebound.,15,41
19:09,2569,"""Ej"" Eric Eaves missed Jumper.",15,41
19:09,2724,Rashard Kelly Defensive Rebound.,15,41
18:53,2569,"Foul on ""Ej"" Eric Eaves.",15,41
18:44,2724,Shaquille Morris made Dunk. Assisted by Zach Brown.,15,43
18:29,2569,Greg Mortimer missed Jumper.,15,43
18:29,2724,Rashard Kelly Defensive Rebound.,15,43
18:19,2724,Zach Brown missed Jumper.,15,43
18:19,2724,Shaquille Morris Offensive Rebound.,15,43
18:16,2724,Shaquille Morris made Layup.,15,45
17:56,2569,Ed Stephens missed Three Point Jumper.,15,45
17:56,2569,Ian Kinard Offensive Rebound.,15,45
17:31,2569,Foul on Ian Kinard.,15,45
17:16,2724,Landry Shamet missed Three Point Jumper.,15,45
17:16,2569,Greg Mortimer Defensive Rebound.,15,45
17:09,2569,"""Ej"" Eric Eaves made Layup. Assisted by Greg Mortimer.",17,45
17:01,2724,Foul on Shaquille Morris.,17,45
17:01,2724,Shaquille Morris Turnover.,17,45
16:56,2569,"""Ej"" Eric Eaves missed Layup.",17,45
16:56,2569,Tashombe Riley Offensive Rebound.,17,45
