Arizona Christian,Error,New Mexico State,166
11:07,166,Sidy N'Dir Defensive Rebound.,6,22
11:07,-1,Foul on Patson Siame.,6,22
11:07,166,Sidy N'Dir made Free Throw.,6,23
11:07,166,Sidy N'Dir made Free Throw.,6,24
10:52,166,Foul on Marlon Jones.,6,24
10:48,-1,Matt Willkomm Turnover.,6,24
10:41,-1,Foul on Andy Sessions.,6,24
10:41,166,Ian Baker made Free Throw.,6,25
10:41,166,Ian Baker missed Free Throw.,6,25
10:41,-1,Andy Sessions Defensive Rebound.,6,25
10:30,-1,Mishima Gray made Three Point Jumper. Assisted by Andy Sessions.,9,25
10:16,166,Marlon Jones missed Layup.,9,25
10:16,-1,Steven Loucks Defensive Rebound.,9,25
10:07,-1,Carter Wilson missed Three Point Jumper.,9,25
10:07,166,Jemerrio Jones Defensive Rebound.,9,25
9:58,166,Marlon Jones made Dunk. Assisted by Jemerrio Jones.,9,27
9:36,-1,Matt Willkomm missed Three Point Jumper.,9,27
9:36,-1,Mishima Gray Offensive Rebound.,9,27
9:31,-1,Andy Sessions missed Three Point Jumper.,9,27
9:31,166,Ian Baker Defensive Rebound.,9,27
9:23,166,Jalyn Pennie missed Three Point Jumper.,9,27
9:23,-1,Andy Sessions Defensive Rebound.,9,27
9:12,-1,Steven Loucks made Three Point Jumper. Assisted by Andy Sessions.,12,27
8:55,166,Jalyn Pennie Turnover.,12,27
8:52,166,Foul on Jemerrio Jones.,12,27
8:52,-1,Matt Willkomm missed Free Throw.,12,27
8:52,-1,Arizona Christian Deadball Team Rebound.,12,27
8:52,-1,Matt Willkomm made Free Throw.,13,27
8:45,-1,Foul on Lawrence Combs.,13,27
8:45,166,Sidy N'Dir made Free Throw.,13,28
8:45,166,Sidy N'Dir made Free Throw.,13,29
8:35,-1,Carter Wilson missed Layup.,13,29
8:35,166,Sidy N'Dir Block.,13,29
8:33,166,Matt Taylor Defensive Rebound.,13,29
8:10,166,Sidy N'Dir Turnover.,13,29
7:55,-1,Al Brown missed Three Point Jumper.,13,29
7:54,166,Sidy N'Dir Defensive Rebound.,13,29
7:46,166,Chancellor Ellis missed Three Point Jumper.,13,29
7:46,166,Matt Taylor Offensive Rebound.,13,29
7:23,166,Eli Chuha made Jumper. Assisted by Johnathon Wilkins.,13,31
7:01,-1,Andy Sessions made Jumper.,15,31
6:47,166,Chancellor Ellis missed Three Point Jumper.,15,31
6:47,166,Johnathon Wilkins Offensive Rebound.,15,31
6:37,166,Foul on Eli Chuha.,15,31
6:37,166,Eli Chuha Turnover.,15,31
6:37,166,Official TV Timeout,15,31
6:25,166,Foul on Johnathon Wilkins.,15,31
6:25,-1,Steven Loucks missed Free Throw.,15,31
6:25,-1,Arizona Christian Deadball Team Rebound.,15,31
6:25,-1,Steven Loucks made Free Throw.,16,31
6:25,166,Johnathon Wilkins Turnover.,16,31
6:20,166,Foul on Matt Taylor.,16,31
6:20,-1,Mishima Gray made Free Throw.,17,31
6:20,-1,Mishima Gray made Free Throw.,18,31
6:02,166,Ian Baker made Layup.,18,33
5:40,-1,Andy Sessions Turnover.,18,33
5:23,166,Braxton Huggins made Three Point Jumper. Assisted by Johnathon Wilkins.,18,36
5:06,-1,Steven Loucks made Jumper.,20,36
4:53,166,Johnathon Wilkins Turnover.,20,36
4:42,-1,Mishima Gray missed Layup.,20,36
4:42,166,Braxton Huggins Block.,20,36
4:40,166,Braxton Huggins Defensive Rebound.,20,36
4:37,166,Ian Baker missed Three Point Jumper.,20,36
4:37,166,Ian Baker Offensive Rebound.,20,36
4:20,166,Braxton Huggins missed Three Point Jumper.,20,36
4:20,-1,Andy Sessions Defensive Rebound.,20,36
4:03,-1,Steven Loucks missed Three Point Jumper.,20,36
4:03,166,Eli Chuha Defensive Rebound.,20,36
3:58,166,New Mexico St  Timeout,20,36
3:58,166,Official TV Timeout,20,36
3:48,-1,Foul on Jason Smarr.,20,36
3:48,166,Braxton Huggins missed Free Throw.,20,36
3:48,166,New Mexico St Deadball Team Rebound.,20,36
3:48,166,Braxton Huggins made Free Throw.,20,37
3:20,-1,Jason Smarr Turnover.,20,37
3:19,-1,Jason Smarr missed Three Point Jumper.,20,37
3:19,-1,Arizona Christian Offensive Rebound.,20,37
3:15,-1,Matt Willkomm made Three Point Jumper. Assisted by Carter Wilson.,23,37
2:44,166,Jalyn Pennie missed Three Point Jumper.,23,37
2:44,166,Matt Taylor Offensive Rebound.,23,37
2:42,166,Matt Taylor made Layup.,23,39
2:34,-1,Matt Willkomm Turnover.,23,39
2:13,166,Eli Chuha missed Jumper.,23,39
2:13,166,Eli Chuha Offensive Rebound.,23,39
2:08,166,Eli Chuha made Two Point Tip Shot.,23,41
1:44,-1,Matt Willkomm missed Jumper.,23,41
1:44,166,Jalyn Pennie Defensive Rebound.,23,41
1:33,166,Sidy N'Dir missed Three Point Jumper.,23,41
1:33,166,Matt Taylor Offensive Rebound.,23,41
1:30,166,Matt Taylor made Layup.,23,43
1:14,-1,Jake Rueter Turnover.,23,43
0:53,166,Ian Baker missed Three Point Jumper.,23,43
0:53,166,Jalyn Pennie Offensive Rebound.,23,43
0:49,166,Jalyn Pennie made Jumper.,23,45
0:15,-1,Jake Rueter made Layup.,25,45
0:02,166,Ian Baker missed Layup.,25,45
0:02,166,Eli Chuha Offensive Rebound.,25,45
0:00,166,Eli Chuha missed Layup.,25,45
0:00,-1,Al Brown Defensive Rebound.,25,45
0:00,166,End of 1st half,25,45
19:52,166,Sidy N'Dir made Jumper.,25,47
19:34,-1,Matt Willkomm missed Three Point Jumper.,25,47
19:34,166,Ian Baker Defensive Rebound.,25,47
19:25,166,Ian Baker missed Layup.,25,47
19:25,166,Ian Baker Offensive Rebound.,25,47
19:17,166,Ian Baker missed Layup.,25,47
19:17,166,Marlon Jones Offensive Rebound.,25,47
19:14,166,Marlon Jones missed Layup.,25,47
19:14,166,Marlon Jones Offensive Rebound.,25,47
19:04,166,Foul on Marlon Jones.,25,47
19:04,166,Marlon Jones Turnover.,25,47
18:49,-1,Chris Sterling missed Three Point Jumper.,25,47
18:49,166,Ian Baker Defensive Rebound.,25,47
18:36,166,Marlon Jones made Layup.,25,49
18:36,-1,Foul on Lawrence Combs.,25,49
18:36,166,Marlon Jones made Free Throw.,25,50
18:25,-1,Lawrence Combs Turnover.,25,50
18:07,166,Ian Baker missed Jumper.,25,50
18:07,166,Jalyn Pennie Offensive Rebound.,25,50
18:06,-1,Foul on Shy McClelland.,25,50
18:06,166,Marlon Jones made Free Throw.,25,51
18:06,166,Marlon Jones missed Free Throw.,25,51
18:06,166,Johnathon Wilkins Offensive Rebound.,25,51
18:03,166,Johnathon Wilkins made Two Point Tip Shot.,25,53
17:42,-1,Shy McClelland missed Three Point Jumper.,25,53
17:42,166,Jalyn Pennie Defensive Rebound.,25,53
17:35,166,Sidy N'Dir made Three Point Jumper. Assisted by Marlon Jones.,25,56
17:09,-1,Steven Loucks missed Three Point Jumper.,25,56
17:09,166,Sidy N'Dir Defensive Rebound.,25,56
17:00,166,Jalyn Pennie made Three Point Jumper. Assisted by Ian Baker.,25,59
16:56,-1,Arizona Christian  Timeout,25,59
16:56,166,Official TV Timeout,25,59
16:39,-1,Lawrence Combs missed Layup.,25,59
16:39,166,Braxton Huggins Defensive Rebound.,25,59
16:10,166,Braxton Huggins made Jumper.,25,61
15:56,-1,Shy McClelland made Layup.,27,61
15:43,-1,Foul on Shy McClelland.,27,61
15:43,166,Official TV Timeout,27,61
15:32,166,Ian Baker missed Jumper.,27,61
15:32,-1,Carter Wilson Defensive Rebound.,27,61
15:18,-1,Patson Siame missed Jumper.,27,61
15:18,166,Matt Taylor Defensive Rebound.,27,61
15:09,166,Eli Chuha missed Layup.,27,61
15:09,-1,Patson Siame Defensive Rebound.,27,61
14:47,-1,Carter Wilson Turnover.,27,61
14:46,166,Braxton Huggins Steal.,27,61
14:42,166,Eli Chuha made Layup. Assisted by Jemerrio Jones.,27,63
14:34,-1,Lawrence Combs missed Jumper.,27,63
14:34,166,Eli Chuha Defensive Rebound.,27,63
14:24,166,Braxton Huggins made Three Point Jumper. Assisted by Ian Baker.,27,66
14:13,-1,Andy Sessions Turnover.,27,66
14:12,166,Ian Baker Steal.,27,66
14:02,166,Matt Taylor made Layup.,27,68
13:47,-1,Lawrence Combs missed Three Point Jumper.,27,68
13:47,-1,Patson Siame Offensive Rebound.,27,68
13:43,-1,Patson Siame Turnover.,27,68
13:42,166,Jemerrio Jones Steal.,27,68
13:41,-1,Foul on Carter Wilson.,27,68
13:41,166,Marlon Jones missed Three Point Jumper.,27,68
13:41,-1,Lawrence Combs Defensive Rebound.,27,68
13:18,-1,Lawrence Combs Turnover.,27,68
13:03,166,Johnathon Wilkins Turnover.,27,68
13:02,-1,Andy Sessions Steal.,27,68
12:49,166,Foul on Joe Garza.,27,68
12:48,-1,Mishima Gray missed Three Point Jumper.,27,68
12:48,-1,Chris Sterling Offensive Rebound.,27,68
12:42,-1,Steven Loucks missed Layup.,27,68
12:42,-1,Chris Sterling Offensive Rebound.,27,68
12:40,-1,Chris Sterling missed Layup.,27,68
12:40,166,Johnathon Wilkins Defensive Rebound.,27,68
12:37,-1,Foul on Chris Sterling.,27,68
12:37,-1,Technical Foul on Chris Sterling.,27,68
12:37,166,Technical Foul on Johnathon Wilkins.,27,68
12:36,-1,Chris Sterling Turnover.,27,68
12:26,166,Marlon Jones made Layup.,27,70
12:25,-1,Foul on Steven Loucks.,27,70
12:25,166,Marlon Jones missed Free Throw.,27,70
12:25,-1,Jason Smarr Defensive Rebound.,27,70
12:05,-1,Steven Loucks Turnover.,27,70
12:05,166,Jemerrio Jones Steal.,27,70
11:54,166,Jemerrio Jones Turnover.,27,70
11:54,166,Official TV Timeout,27,70
11:32,-1,Matt Willkomm missed Three Point Jumper.,27,70
11:32,166,Ian Baker Defensive Rebound.,27,70
11:25,-1,Foul on Jason Smarr.,27,70
11:25,166,Ian Baker made Free Throw.,27,71
11:25,166,Ian Baker made Free Throw.,27,72
11:09,-1,Jason Smarr made Three Point Jumper. Assisted by Patson Siame.,30,72
10:54,166,Marlon Jones missed Jumper.,30,72
10:54,166,Jalyn Pennie Offensive Rebound.,30,72
10:50,166,Jalyn Pennie made Jumper.,30,74
10:29,-1,Al Brown made Three Point Jumper. Assisted by Shy McClelland.,33,74
10:22,166,Foul on Ian Baker.,33,74
10:22,166,Ian Baker Turnover.,33,74
10:06,-1,Al Brown missed Three Point Jumper.,33,74
10:06,166,Matt Taylor Defensive Rebound.,33,74
9:58,166,Ian Baker missed Three Point Jumper.,33,74
9:58,166,Matt Taylor Offensive Rebound.,33,74
9:53,166,Matt Taylor Turnover.,33,74
9:51,-1,Andy Sessions Steal.,33,74
9:47,-1,Jason Smarr missed Three Point Jumper.,33,74
9:47,166,Eli Chuha Defensive Rebound.,33,74
9:18,166,Jemerrio Jones missed Layup.,33,74
9:18,166,Eli Chuha Offensive Rebound.,33,74
9:16,166,Eli Chuha missed Layup.,33,74
9:16,-1,Patson Siame Defensive Rebound.,33,74
9:06,-1,Matt Willkomm missed Three Point Jumper.,33,74
9:06,166,Eli Chuha Defensive Rebound.,33,74
8:59,-1,Foul on Andy Sessions.,33,74
8:59,166,Matt Taylor made Free Throw.,33,75
8:59,166,Matt Taylor missed Free Throw.,33,75
8:59,166,Eli Chuha Offensive Rebound.,33,75
8:52,166,Braxton Huggins made Three Point Jumper. Assisted by Matt Taylor.,33,78
8:36,166,Foul on Jalyn Pennie.,33,78
8:36,-1,Lawrence Combs made Free Throw.,34,78
8:36,-1,Lawrence Combs made Free Throw.,35,78
8:24,166,Sidy N'Dir made Jumper.,35,80
8:04,-1,Matt Willkomm missed Three Point Jumper.,35,80
8:04,166,Jalyn Pennie Defensive Rebound.,35,80
7:45,166,Braxton Huggins missed Jumper.,35,80
7:45,166,Eli Chuha Offensive Rebound.,35,80
7:42,166,Eli Chuha missed Layup.,35,80
7:42,166,Jalyn Pennie Offensive Rebound.,35,80
7:35,166,Jalyn Pennie made Layup.,35,82
7:22,-1,Steven Loucks made Jumper.,37,82
6:55,166,Eli Chuha made Jumper.,37,84
6:29,-1,Matt Willkomm missed Three Point Jumper.,37,84
6:29,-1,Arizona Christian Offensive Rebound.,37,84
6:26,166,Official TV Timeout,37,84
6:23,166,Foul on Joe Garza.,37,84
6:23,-1,Mishima Gray missed Free Throw.,37,84
6:23,-1,Arizona Christian Deadball Team Rebound.,37,84
6:23,-1,Mishima Gray made Free Throw.,38,84
5:59,166,Jalyn Pennie missed Jumper.,38,84
5:59,-1,Chris Sterling Defensive Rebound.,38,84
5:57,166,Foul on Marlon Jones.,38,84
5:57,-1,Marcus Gonzalez missed Free Throw.,38,84
5:57,166,Marlon Jones Defensive Rebound.,38,84
5:30,166,Joe Garza missed Jumper.,38,84
5:30,-1,Chris Sterling Defensive Rebound.,38,84
5:26,-1,Foul on Chris Sterling.,38,84
5:26,-1,Chris Sterling Turnover.,38,84
5:26,166,Jalyn Pennie missed Free Throw.,38,84
5:26,166,New Mexico St Deadball Team Rebound.,38,84
5:26,166,Jalyn Pennie made Free Throw.,38,85
5:22,-1,Gavin Bartlett missed Three Point Jumper.,38,85
5:22,166,Chancellor Ellis Defensive Rebound.,38,85
5:15,166,Matt Taylor made Layup. Assisted by Joe Garza.,38,87
4:52,-1,Lawrence Combs missed Three Point Jumper.,38,87
4:52,166,Joe Garza Defensive Rebound.,38,87
4:48,166,Joe Garza Turnover.,38,87
4:48,-1,Shy McClelland Steal.,38,87
4:48,166,Foul on Jalyn Pennie.,38,87
4:48,-1,Lawrence Combs made Free Throw.,39,87
4:48,-1,Lawrence Combs made Free Throw.,40,87
4:29,166,Chancellor Ellis Turnover.,40,87
4:27,-1,Mishima Gray Steal.,40,87
4:25,-1,Mishima Gray missed Layup.,40,87
4:25,166,Jalyn Pennie Defensive Rebound.,40,87
4:17,166,Chancellor Ellis missed Three Point Jumper.,40,87
4:17,-1,Marcus Gonzalez Defensive Rebound.,40,87
4:15,166,Foul on Marlon Jones.,40,87
4:15,-1,Marcus Gonzalez made Free Throw.,41,87
4:15,-1,Marcus Gonzalez made Free Throw.,42,87
3:51,166,Chancellor Ellis made Three Point Jumper. Assisted by Matt Taylor.,42,90
3:29,-1,Al Brown made Three Point Jumper. Assisted by Jake Rueter.,45,90
3:12,166,Chancellor Ellis missed Jumper.,45,90
3:12,166,Eli Chuha Offensive Rebound.,45,90
3:07,166,Eli Chuha missed Two Point Tip Shot.,45,90
3:07,-1,Jake Rueter Defensive Rebound.,45,90
3:01,-1,Gavin Bartlett missed Three Point Jumper.,45,90
3:01,166,Eli Chuha Defensive Rebound.,45,90
2:50,166,Jalyn Pennie made Layup.,45,92
2:32,-1,Jake Rueter missed Layup.,45,92
2:32,-1,Al Brown Offensive Rebound.,45,92
2:28,-1,Al Brown missed Layup.,45,92
2:28,166,Eli Chuha Defensive Rebound.,45,92
2:26,166,Matt Taylor made Dunk. Assisted by Eli Chuha.,45,94
2:06,-1,Lawrence Combs made Layup.,47,94
1:59,166,Chancellor Ellis made Three Point Jumper. Assisted by Joe Garza.,47,97
1:33,-1,Marcus Gonzalez missed Jumper.,47,97
1:33,166,Jalyn Pennie Block.,47,97
1:31,166,Jalyn Pennie Defensive Rebound.,47,97
1:29,166,Eli Chuha made Layup. Assisted by Joe Garza.,47,99
1:29,-1,Foul on Jake Rueter.,47,99
1:29,166,Official TV Timeout,47,99
1:29,166,Eli Chuha made Free Throw.,47,100
1:06,-1,Lawrence Combs made Jumper.,49,100
0:35,166,Jemerrio Jones missed Three Point Jumper.,49,100
0:35,-1,Jake Rueter Defensive Rebound.,49,100
0:23,-1,Marcus Gonzalez made Three Point Jumper. Assisted by Gavin Bartlett.,52,100
0:00,166,End of Game,52,100
