Pennsylvania,2523,Robert Morris,219
8:55,2523,Foul on Jordan Lester.,14,4
8:55,219,Matt Howard missed Free Throw.,14,4
8:55,2523,Dachon Burke Defensive Rebound.,14,4
8:38,2523,Dachon Burke Turnover.,14,4
8:09,219,Jackson Donahue missed Layup.,14,4
8:09,219,Matt Howard Offensive Rebound.,14,4
8:06,219,Matt Howard missed Layup.,14,4
8:06,219,AJ Brodeur Offensive Rebound.,14,4
8:02,219,Caleb Wood made Layup.,16,4
7:39,2523,Dachon Burke Turnover.,16,4
7:38,219,AJ Brodeur Steal.,16,4
7:27,219,Matt MacDonald Turnover.,16,4
7:26,2523,Dachon Burke Steal.,16,4
7:24,2523,Dachon Burke made Layup.,16,6
7:05,219,AJ Brodeur made Layup.,18,6
6:40,2523,Dachon Burke missed Three Point Jumper.,18,6
6:40,219,AJ Brodeur Defensive Rebound.,18,6
6:26,219,Jackson Donahue missed Three Point Jumper.,18,6
6:26,219,Matt MacDonald Offensive Rebound.,18,6
6:09,2523,Foul on Roberto Mantovani.,18,6
6:09,2523,Official TV Timeout,18,6
6:09,219,AJ Brodeur missed Free Throw.,18,6
6:09,2523,Aaron Tate Defensive Rebound.,18,6
5:51,2523,Lorenzen Wright Jr. missed Three Point Jumper.,18,6
5:51,219,Matt MacDonald Defensive Rebound.,18,6
5:43,219,Matt MacDonald made Three Point Jumper. Assisted by Darnell Foreman.,21,6
5:17,2523,Lorenzen Wright Jr. missed Three Point Jumper.,21,6
5:17,219,AJ Brodeur Defensive Rebound.,21,6
4:56,219,AJ Brodeur missed Layup.,21,6
4:56,2523,Isaiah Still Defensive Rebound.,21,6
4:47,2523,Kavon Stewart Turnover.,21,6
4:45,219,Darnell Foreman Steal.,21,6
4:41,219,Jake Silpe made Layup. Assisted by Darnell Foreman.,23,6
4:14,2523,Isaiah Still made Layup. Assisted by Lorenzen Wright Jr..,23,8
4:13,219,Foul on Matt MacDonald.,23,8
4:13,2523,Isaiah Still missed Free Throw.,23,8
4:13,219,Max Rothschild Defensive Rebound.,23,8
3:54,219,Matt MacDonald missed Three Point Jumper.,23,8
3:54,2523,Isaiah Still Defensive Rebound.,23,8
3:44,2523,Isaiah Still made Layup.,23,10
3:32,219,Caleb Wood Turnover.,23,10
3:31,2523,Kavon Stewart Steal.,23,10
3:10,2523,Braden Burke missed Jumper.,23,10
3:10,2523,Aaron Tate Offensive Rebound.,23,10
3:08,219,Foul on Matt MacDonald.,23,10
3:08,2523,Official TV Timeout,23,10
2:47,2523,Lorenzen Wright Jr. missed Three Point Jumper.,23,10
2:47,219,Matt Howard Defensive Rebound.,23,10
2:44,2523,Foul on Aaron Tate.,23,10
2:44,219,Matt Howard made Free Throw.,24,10
2:44,219,Matt Howard made Free Throw.,25,10
2:37,219,Foul on Darnell Foreman.,25,10
2:29,219,Foul on Jake Silpe.,25,10
2:29,2523,Billy Giles made Free Throw.,25,11
2:29,2523,Billy Giles made Free Throw.,25,12
2:05,219,Jackson Donahue made Layup.,27,12
1:46,2523,Braden Burke made Layup. Assisted by Jordan Lester.,27,14
1:46,219,Foul on Matt Howard.,27,14
1:46,2523,Braden Burke missed Free Throw.,27,14
1:46,219,Jackson Donahue Defensive Rebound.,27,14
1:29,219,Caleb Wood missed Layup.,27,14
1:29,2523,Kavon Stewart Defensive Rebound.,27,14
1:19,2523,Isaiah Still made Three Point Jumper. Assisted by Kavon Stewart.,27,17
0:54,219,AJ Brodeur made Layup. Assisted by Jake Silpe.,29,17
0:49,2523,Robert Morris  Timeout,29,17
0:44,2523,Isaiah Still missed Three Point Jumper.,29,17
0:44,219,AJ Brodeur Block.,29,17
0:43,2523,Robert Morris Offensive Rebound.,29,17
0:33,2523,Kavon Stewart missed Layup.,29,17
0:33,2523,Robert Morris Offensive Rebound.,29,17
0:31,2523,Matty McConnell made Three Point Jumper. Assisted by Kavon Stewart.,29,20
0:22,219,Pennsylvania  Timeout,29,20
0:07,219,Jake Silpe missed Jumper.,29,20
0:07,2523,Kavon Stewart Defensive Rebound.,29,20
0:00,2523,End of 1st half,29,20
19:45,2523,Isaiah Still missed Three Point Jumper.,29,20
19:45,219,Jackson Donahue Defensive Rebound.,29,20
19:24,219,Caleb Wood missed Three Point Jumper.,29,20
19:24,2523,Kavon Stewart Defensive Rebound.,29,20
19:17,2523,Isaiah Still missed Layup.,29,20
19:17,219,Matt Howard Defensive Rebound.,29,20
19:07,219,Caleb Wood Turnover.,29,20
19:07,2523,Isaiah Still Steal.,29,20
18:57,2523,Braden Burke made Layup. Assisted by Kavon Stewart.,29,22
18:42,219,AJ Brodeur made Layup. Assisted by Caleb Wood.,31,22
18:42,2523,Foul on Jordan Lester.,31,22
18:42,219,AJ Brodeur missed Free Throw.,31,22
18:42,2523,Aaron Tate Defensive Rebound.,31,22
18:20,219,Foul on AJ Brodeur.,31,22
18:20,2523,Isaiah Still missed Free Throw.,31,22
18:20,2523,Robert Morris Deadball Team Rebound.,31,22
18:20,2523,Isaiah Still made Free Throw.,31,23
18:08,219,Matt Howard made Three Point Jumper. Assisted by Jackson Donahue.,34,23
17:54,2523,Isaiah Still missed Three Point Jumper.,34,23
17:54,219,Matt MacDonald Defensive Rebound.,34,23
17:46,2523,Foul on Matty McConnell.,34,23
17:37,219,AJ Brodeur made Layup. Assisted by Jackson Donahue.,36,23
17:23,2523,Aaron Tate missed Layup.,36,23
17:23,219,AJ Brodeur Defensive Rebound.,36,23
17:16,2523,Foul on Kavon Stewart.,36,23
17:13,219,Caleb Wood missed Three Point Jumper.,36,23
17:13,2523,Matty McConnell Defensive Rebound.,36,23
16:56,2523,Billy Giles made Layup. Assisted by Roberto Mantovani.,36,25
16:42,219,Caleb Wood missed Layup.,36,25
16:42,219,Matt Howard Offensive Rebound.,36,25
16:30,219,AJ Brodeur Turnover.,36,25
16:30,219,Foul on AJ Brodeur.,36,25
16:15,2523,Dachon Burke missed Layup.,36,25
16:15,2523,Dachon Burke Offensive Rebound.,36,25
16:14,219,Foul on Matt MacDonald.,36,25
16:14,2523,Dachon Burke missed Free Throw.,36,25
16:14,2523,Robert Morris Deadball Team Rebound.,36,25
16:14,2523,Dachon Burke made Free Throw.,36,26
16:04,219,Matt Howard made Three Point Jumper. Assisted by Darnell Foreman.,39,26
15:50,2523,Official TV Timeout,39,26
15:30,2523,Billy Giles Turnover.,39,26
15:29,219,Jackson Donahue Steal.,39,26
15:24,219,Jackson Donahue missed Three Point Jumper.,39,26
15:24,219,Darnell Foreman Offensive Rebound.,39,26
15:18,219,Matt MacDonald missed Three Point Jumper.,39,26
15:18,2523,Kavon Stewart Defensive Rebound.,39,26
14:38,2523,Kavon Stewart missed Layup.,39,26
14:38,2523,Billy Giles Offensive Rebound.,39,26
14:34,2523,Billy Giles made Layup.,39,28
14:23,2523,Foul on Dachon Burke.,39,28
14:08,2523,Foul on Kavon Stewart.,39,28
14:08,219,AJ Brodeur missed Free Throw.,39,28
14:08,219,Pennsylvania Deadball Team Rebound.,39,28
14:08,219,AJ Brodeur made Free Throw.,40,28
13:57,2523,Isaiah Still missed Three Point Jumper.,40,28
13:57,219,Darnell Foreman Defensive Rebound.,40,28
13:51,219,Max Rothschild made Layup. Assisted by Darnell Foreman.,42,28
13:51,2523,Foul on Matty McConnell.,42,28
13:51,219,Max Rothschild made Free Throw.,43,28
13:29,2523,Isaiah Still missed Layup.,43,28
13:29,219,Max Rothschild Defensive Rebound.,43,28
13:17,219,Jackson Donahue missed Three Point Jumper.,43,28
13:17,219,Darnell Foreman Offensive Rebound.,43,28
13:05,219,Matt Howard made Layup.,45,28
13:05,2523,Foul on Braden Burke.,45,28
13:03,219,Matt Howard missed Free Throw.,45,28
13:03,219,Darnell Foreman Offensive Rebound.,45,28
12:47,219,AJ Brodeur made Layup. Assisted by Max Rothschild.,47,28
12:29,2523,Braden Burke made Jumper. Assisted by Matty McConnell.,47,30
12:07,219,Matt Howard missed Layup.,47,30
12:07,2523,Aaron Tate Defensive Rebound.,47,30
12:01,2523,Matty McConnell Turnover.,47,30
12:01,219,Darnell Foreman Steal.,47,30
12:01,2523,Foul on Dachon Burke.,47,30
11:46,219,Max Rothschild made Layup.,49,30
11:16,2523,Clive Allen missed Three Point Jumper.,49,30
11:16,219,Matt Howard Defensive Rebound.,49,30
11:11,219,Matt Howard Turnover.,49,30
11:11,2523,Official TV Timeout,49,30
10:57,2523,Kavon Stewart missed Layup.,49,30
10:57,219,Max Rothschild Block.,49,30
10:56,219,Caleb Wood Defensive Rebound.,49,30
10:44,2523,Foul on Braden Burke.,49,30
10:44,219,Max Rothschild missed Free Throw.,49,30
10:44,2523,Braden Burke Defensive Rebound.,49,30
10:20,2523,Clive Allen made Layup.,49,32
10:20,219,Foul on Jake Silpe.,49,32
10:20,2523,Clive Allen missed Free Throw.,49,32
10:20,219,Caleb Wood Defensive Rebound.,49,32
10:00,219,Caleb Wood missed Jumper.,49,32
10:00,2523,Roberto Mantovani Defensive Rebound.,49,32
9:52,2523,Clive Allen Turnover.,49,32
9:43,2523,Foul on Roberto Mantovani.,49,32
9:43,219,Max Rothschild made Free Throw.,50,32
9:43,219,Matt MacDonald missed Free Throw.,50,32
9:43,2523,Billy Giles Defensive Rebound.,50,32
9:41,219,Foul on AJ Brodeur.,50,32
9:18,219,Foul on Max Rothschild.,50,32
9:18,2523,Billy Giles made Free Throw.,50,33
9:18,2523,Billy Giles missed Free Throw.,50,33
9:18,219,Max Rothschild Defensive Rebound.,50,33
9:01,219,Caleb Wood missed Layup.,50,33
9:01,219,AJ Brodeur Offensive Rebound.,50,33
8:58,219,AJ Brodeur made Layup.,52,33
8:32,2523,Billy Giles missed Jumper.,52,33
8:32,219,AJ Brodeur Defensive Rebound.,52,33
8:12,219,AJ Brodeur made Layup.,54,33
7:50,2523,Clive Allen missed Layup.,54,33
7:50,2523,Roberto Mantovani Offensive Rebound.,54,33
7:47,219,Foul on AJ Brodeur.,54,33
7:47,2523,Official TV Timeout,54,33
7:47,2523,Roberto Mantovani made Free Throw.,54,34
7:47,2523,Roberto Mantovani missed Free Throw.,54,34
7:47,219,Matt Howard Defensive Rebound.,54,34
7:29,219,Max Rothschild made Layup.,56,34
7:13,2523,Isaiah Still missed Three Point Jumper.,56,34
7:13,219,Matt Howard Defensive Rebound.,56,34
6:57,219,Matt Howard made Layup.,58,34
6:38,2523,Jordan Lester missed Three Point Jumper.,58,34
6:38,2523,Robert Morris Offensive Rebound.,58,34
6:35,219,Foul on Max Rothschild.,58,34
6:33,2523,Roberto Mantovani made Free Throw.,58,35
6:33,2523,Roberto Mantovani missed Free Throw.,58,35
6:33,219,Matt MacDonald Defensive Rebound.,58,35
6:04,2523,Foul on Matty McConnell.,58,35
6:04,219,Matt MacDonald made Free Throw.,59,35
6:04,219,Matt MacDonald made Free Throw.,60,35
5:53,2523,Isaiah Still made Three Point Jumper. Assisted by Kavon Stewart.,60,38
5:34,219,Matt MacDonald missed Three Point Jumper.,60,38
5:34,219,Matt MacDonald Offensive Rebound.,60,38
5:26,2523,Foul on Aaron Tate.,60,38
5:26,219,Matt Howard missed Free Throw.,60,38
5:26,219,Pennsylvania Deadball Team Rebound.,60,38
5:26,219,Matt Howard missed Free Throw.,60,38
5:26,2523,Kavon Stewart Defensive Rebound.,60,38
5:24,219,Foul on Caleb Wood.,60,38
5:24,2523,Kavon Stewart missed Free Throw.,60,38
5:24,2523,Robert Morris Offensive Rebound.,60,38
5:19,2523,Isaiah Still missed Layup.,60,38
5:19,219,AJ Brodeur Defensive Rebound.,60,38
5:13,219,Jake Silpe Turnover.,60,38
4:56,2523,Aaron Tate Turnover.,60,38
4:45,219,Matt Howard missed Three Point Jumper.,60,38
4:45,2523,Isaiah Still Defensive Rebound.,60,38
4:37,2523,Isaiah Still made Layup.,60,40
4:18,219,AJ Brodeur missed Layup.,60,40
4:18,2523,Braden Burke Defensive Rebound.,60,40
4:12,2523,Kavon Stewart made Layup.,60,42
4:12,219,Foul on Jake Silpe.,60,42
4:11,2523,Kavon Stewart made Free Throw.,60,43
3:55,219,AJ Brodeur made Layup.,62,43
3:33,2523,Dachon Burke Turnover.,62,43
3:32,219,Jackson Donahue Steal.,62,43
3:26,219,Matt Howard Turnover.,62,43
3:26,219,Foul on Matt Howard.,62,43
3:26,2523,Official TV Timeout,62,43
3:26,2523,Kavon Stewart missed Free Throw.,62,43
3:26,2523,Robert Morris Deadball Team Rebound.,62,43
3:26,2523,Kavon Stewart missed Free Throw.,62,43
3:26,219,Matt Howard Defensive Rebound.,62,43
3:09,219,Caleb Wood missed Layup.,62,43
3:09,2523,Aaron Tate Defensive Rebound.,62,43
2:58,2523,Kavon Stewart Turnover.,62,43
2:57,219,Matt Howard Steal.,62,43
2:45,219,AJ Brodeur missed Jumper.,62,43
2:45,2523,Aaron Tate Defensive Rebound.,62,43
2:41,2523,Aaron Tate Turnover.,62,43
2:40,219,Matt Howard Steal.,62,43
2:28,219,Jackson Donahue made Three Point Jumper. Assisted by Caleb Wood.,65,43
2:09,219,Foul on Matt Howard.,65,43
2:09,2523,Aaron Tate made Free Throw.,65,44
2:09,2523,Aaron Tate missed Free Throw.,65,44
2:09,2523,Roberto Mantovani Offensive Rebound.,65,44
2:09,219,Foul on Dan Dwyer.,65,44
2:09,2523,Roberto Mantovani made Free Throw.,65,45
2:09,2523,Roberto Mantovani made Free Throw.,65,46
1:53,219,Caleb Wood missed Three Point Jumper.,65,46
1:53,2523,Roberto Mantovani Defensive Rebound.,65,46
1:45,2523,Dachon Burke missed Layup.,65,46
1:45,2523,Isaiah Still Offensive Rebound.,65,46
1:38,219,Foul on Dan Dwyer.,65,46
1:38,2523,Isaiah Still made Free Throw.,65,47
1:38,2523,Isaiah Still made Free Throw.,65,48
1:25,219,Jake Silpe Turnover.,65,48
1:24,2523,Dachon Burke Steal.,65,48
1:21,2523,Dachon Burke Turnover.,65,48
1:19,219,Jake Silpe Steal.,65,48
1:13,219,Tyler Hamilton missed Layup.,65,48
1:13,2523,Robert Morris Defensive Rebound.,65,48
0:51,219,Tyler Hamilton made Layup.,67,48
0:50,219,Pennsylvania  Timeout,67,48
0:42,2523,Dachon Burke missed Jumper.,67,48
0:42,2523,Billy Giles Offensive Rebound.,67,48
0:37,2523,Roberto Mantovani made Layup. Assisted by Dachon Burke.,67,50
0:00,2523,End of Game,67,50
