Milligan,Error,Middle Tennessee,2393
13:19,2393,Antwain Johnson made Jumper.,4,21
13:10,-1,Foul on Bo Pless.,4,21
13:10,-1,Bo Pless Turnover.,4,21
12:57,2393,Antwain Johnson Turnover.,4,21
12:55,-1,Cole Anderson Steal.,4,21
12:48,-1,Will Buckner made Layup. Assisted by Alex Biggerstaff.,6,21
12:46,2393,Middle Tennessee  Timeout,6,21
12:31,-1,Foul on Ike Ndulue.,6,21
12:24,-1,Foul on Alex Biggerstaff.,6,21
12:24,2393,Karl Gamble missed Free Throw.,6,21
12:24,2393,Middle Tennessee Deadball Team Rebound.,6,21
12:24,2393,Karl Gamble made Free Throw.,6,22
12:11,-1,Tyler Faulkenberry missed Three Point Jumper.,6,22
12:11,2393,Aldonis Foote Defensive Rebound.,6,22
11:58,2393,Brandon Walters missed Layup.,6,22
11:58,2393,Antwain Johnson Offensive Rebound.,6,22
11:55,-1,Foul on Cole Anderson.,6,22
11:55,2393,Official TV Timeout,6,22
11:55,2393,Antwain Johnson made Free Throw.,6,23
11:55,2393,Antwain Johnson missed Free Throw.,6,23
11:55,2393,Middle Tennessee Deadball Team Rebound.,6,23
11:55,2393,Antwain Johnson made Free Throw.,6,24
11:44,2393,Foul on Quavius Copeland.,6,24
11:42,-1,Cole Anderson Turnover.,6,24
11:41,2393,Tyrik Dixon Steal.,6,24
11:38,2393,Antwain Johnson missed Layup.,6,24
11:38,2393,Brandon Walters Offensive Rebound.,6,24
11:22,2393,Foul on Aldonis Foote.,6,24
11:22,2393,Aldonis Foote Turnover.,6,24
11:07,-1,Aaron Levarity made Jumper.,8,24
10:56,2393,JaCorey Williams missed Three Point Jumper.,8,24
10:56,-1,Nathan Hastings Defensive Rebound.,8,24
10:50,-1,Jacob Cawood made Jumper.,10,24
10:41,2393,JaCorey Williams made Layup. Assisted by Antwain Johnson.,10,26
10:26,2393,Aldonis Foote made Layup. Assisted by Giddy Potts.,10,28
10:15,-1,Aaron Levarity missed Layup.,10,28
10:15,2393,Giddy Potts Block.,10,28
10:15,-1,Milligan Offensive Rebound.,10,28
10:09,-1,Will Buckner Turnover.,10,28
9:59,2393,JaCorey Williams made Dunk. Assisted by Tyrik Dixon.,10,30
9:49,-1,Daxton Bostian missed Three Point Jumper.,10,30
9:49,2393,Reggie Upshaw Defensive Rebound.,10,30
9:40,2393,Tyrik Dixon Turnover.,10,30
9:37,-1,Tyler Nichols Steal.,10,30
9:35,-1,Jacob Cawood made Layup. Assisted by Daxton Bostian.,12,30
9:35,2393,Foul on Giddy Potts.,12,30
9:35,-1,Jacob Cawood missed Free Throw.,12,30
9:35,2393,JaCorey Williams Defensive Rebound.,12,30
9:18,2393,Middle Tennessee  Turnover.,12,30
8:57,-1,Tyler Nichols missed Jumper.,12,30
8:57,-1,Jacob Cawood Offensive Rebound.,12,30
8:55,-1,Jacob Cawood Turnover.,12,30
8:41,2393,JaCorey Williams made Layup.,12,32
8:41,-1,Foul on Will Buckner.,12,32
8:41,2393,JaCorey Williams made Free Throw.,12,33
8:32,-1,David Casaday missed Three Point Jumper.,12,33
8:32,2393,Giddy Potts Defensive Rebound.,12,33
8:02,2393,Reggie Upshaw missed Jumper.,12,33
8:02,2393,Middle Tennessee Offensive Rebound.,12,33
7:55,2393,Karl Gamble made Layup.,12,35
7:55,-1,Foul on Mike Featherston.,12,35
7:55,2393,Official TV Timeout,12,35
7:55,2393,Karl Gamble missed Free Throw.,12,35
7:55,-1,Mike Featherston Defensive Rebound.,12,35
7:30,-1,Daxton Bostian made Three Point Jumper.,15,35
7:08,2393,Giddy Potts made Dunk. Assisted by Karl Gamble.,15,37
6:57,2393,Foul on Edward Simpson.,15,37
6:57,-1,Tyler Nichols made Free Throw.,16,37
6:57,-1,Tyler Nichols made Free Throw.,17,37
6:57,-1,Milligan  Timeout,17,37
6:38,2393,Antwain Johnson missed Jumper.,17,37
6:38,2393,Karl Gamble Offensive Rebound.,17,37
6:37,-1,Foul on Tyler Nichols.,17,37
6:37,2393,Karl Gamble made Free Throw.,17,38
6:37,2393,Karl Gamble made Free Throw.,17,39
6:29,-1,David Casaday Turnover.,17,39
6:11,-1,Foul on Tyler Nichols.,17,39
6:11,2393,Reggie Upshaw made Free Throw.,17,40
6:11,2393,Reggie Upshaw made Free Throw.,17,41
6:00,-1,Will Buckner missed Layup.,17,41
6:00,2393,Karl Gamble Block.,17,41
5:58,-1,Mike Featherston Offensive Rebound.,17,41
5:51,-1,Mike Featherston made Layup.,19,41
5:40,2393,Giddy Potts missed Three Point Jumper.,19,41
5:40,-1,Will Buckner Defensive Rebound.,19,41
5:28,-1,David Casaday missed Three Point Jumper.,19,41
5:28,-1,Mike Featherston Offensive Rebound.,19,41
5:07,-1,Tyler Nichols made Three Point Jumper. Assisted by Will Buckner.,22,41
4:47,2393,JaCorey Williams Turnover.,22,41
4:29,-1,David Casaday Turnover.,22,41
4:28,2393,Reggie Upshaw Steal.,22,41
4:24,2393,Quavius Copeland made Three Point Jumper. Assisted by Reggie Upshaw.,22,44
4:16,-1,David Casaday missed Three Point Jumper.,22,44
4:16,2393,Reggie Upshaw Defensive Rebound.,22,44
4:09,2393,Reggie Upshaw Turnover.,22,44
4:08,-1,David Casaday Steal.,22,44
3:52,-1,Daxton Bostian missed Three Point Jumper.,22,44
3:52,2393,Giddy Potts Defensive Rebound.,22,44
3:31,2393,Quavius Copeland missed Three Point Jumper.,22,44
3:31,2393,Brandon Walters Offensive Rebound.,22,44
3:27,2393,Brandon Walters missed Jumper.,22,44
3:27,-1,David Casaday Defensive Rebound.,22,44
3:27,2393,Foul on Brandon Walters.,22,44
3:27,2393,Official TV Timeout,22,44
3:27,-1,Mike Featherston missed Free Throw.,22,44
3:27,2393,Aldonis Foote Defensive Rebound.,22,44
3:11,-1,Foul on Tyler Nichols.,22,44
3:11,2393,Antwain Johnson made Free Throw.,22,45
3:11,2393,Antwain Johnson missed Free Throw.,22,45
3:11,-1,Mike Featherston Defensive Rebound.,22,45
2:57,-1,Tyler Faulkenberry made Three Point Jumper.,25,45
2:41,2393,Reggie Upshaw Turnover.,25,45
2:40,-1,Mike Featherston Steal.,25,45
2:36,-1,Bo Pless made Jumper. Assisted by Mike Featherston.,27,45
2:10,2393,Antwain Johnson made Three Point Jumper. Assisted by Quavius Copeland.,27,48
1:45,-1,Tyler Faulkenberry missed Three Point Jumper.,27,48
1:45,2393,JaCorey Williams Defensive Rebound.,27,48
1:38,2393,JaCorey Williams Turnover.,27,48
1:37,-1,Mike Featherston Steal.,27,48
1:36,-1,Mike Featherston Turnover.,27,48
1:17,2393,JaCorey Williams made Layup. Assisted by Giddy Potts.,27,50
1:10,-1,Bo Pless missed Three Point Jumper.,27,50
1:10,-1,Milligan Offensive Rebound.,27,50
0:52,-1,Tyler Faulkenberry missed Three Point Jumper.,27,50
0:52,2393,Antwain Johnson Defensive Rebound.,27,50
0:37,2393,Giddy Potts missed Three Point Jumper.,27,50
0:37,-1,Milligan Defensive Rebound.,27,50
0:10,-1,Cole Anderson made Layup.,29,50
0:01,-1,Foul on Bo Pless.,29,50
0:01,2393,Antwain Johnson made Free Throw.,29,51
0:01,2393,Antwain Johnson missed Free Throw.,29,51
0:01,-1,Ike Ndulue Defensive Rebound.,29,51
0:00,2393,End of 1st half,29,51
19:44,-1,David Casaday Turnover.,29,51
19:27,2393,JaCorey Williams missed Layup.,29,51
19:27,2393,Reggie Upshaw Offensive Rebound.,29,51
19:24,2393,Reggie Upshaw made Layup.,29,53
19:06,-1,Jacob Cawood made Layup.,31,53
18:57,2393,JaCorey Williams made Layup. Assisted by Giddy Potts.,31,55
18:37,-1,Will Buckner missed Three Point Jumper.,31,55
18:37,2393,Reggie Upshaw Defensive Rebound.,31,55
18:27,-1,Foul on Daxton Bostian.,31,55
18:27,2393,Giddy Potts made Three Point Jumper. Assisted by Tyrik Dixon.,31,58
18:07,-1,Tyler Nichols missed Three Point Jumper.,31,58
18:07,2393,Reggie Upshaw Defensive Rebound.,31,58
17:59,2393,JaCorey Williams missed Jumper.,31,58
17:59,-1,David Casaday Defensive Rebound.,31,58
17:36,-1,Tyler Nichols missed Jumper.,31,58
17:36,-1,Will Buckner Offensive Rebound.,31,58
17:33,-1,Will Buckner made Jumper.,33,58
17:21,2393,Xavier Habersham Turnover.,33,58
17:20,-1,Tyler Nichols Steal.,33,58
17:16,-1,David Casaday missed Three Point Jumper.,33,58
17:16,-1,Tyler Nichols Offensive Rebound.,33,58
17:03,-1,David Casaday made Three Point Jumper. Assisted by Will Buckner.,36,58
16:44,2393,Edward Simpson missed Jumper.,36,58
16:44,-1,David Casaday Defensive Rebound.,36,58
16:23,2393,Foul on Tyrik Dixon.,36,58
16:12,-1,Daxton Bostian missed Three Point Jumper.,36,58
16:12,2393,Antwain Johnson Defensive Rebound.,36,58
16:05,2393,Antwain Johnson missed Three Point Jumper.,36,58
16:05,2393,Giddy Potts Defensive Rebound.,36,58
16:01,-1,Foul on Daxton Bostian.,36,58
16:00,2393,Giddy Potts missed Three Point Jumper.,36,58
16:00,2393,JaCorey Williams Offensive Rebound.,36,58
15:48,2393,JaCorey Williams missed Layup.,36,58
15:48,-1,Tyler Nichols Block.,36,58
15:46,-1,Daxton Bostian Defensive Rebound.,36,58
15:41,-1,David Casaday missed Three Point Jumper.,36,58
15:41,2393,Reggie Upshaw Defensive Rebound.,36,58
15:25,2393,Giddy Potts missed Layup.,36,58
15:25,-1,Jacob Cawood Defensive Rebound.,36,58
15:09,-1,Will Buckner made Jumper. Assisted by Tyler Nichols.,38,58
14:46,2393,JaCorey Williams made Layup. Assisted by Antwain Johnson.,38,60
14:23,-1,Jacob Cawood missed Three Point Jumper.,38,60
14:23,2393,Antwain Johnson Defensive Rebound.,38,60
14:17,-1,Foul on Jacob Cawood.,38,60
14:17,2393,Official TV Timeout,38,60
14:15,2393,Reggie Upshaw made Dunk. Assisted by Giddy Potts.,38,62
14:04,-1,Tyler Nichols Turnover.,38,62
13:56,-1,Foul on David Casaday.,38,62
13:48,2393,Reggie Upshaw made Dunk. Assisted by Giddy Potts.,38,64
13:37,-1,Daxton Bostian made Jumper.,40,64
13:24,2393,Brandon Walters missed Layup.,40,64
13:24,2393,Aldonis Foote Offensive Rebound.,40,64
13:22,-1,Foul on Will Buckner.,40,64
13:22,2393,Aldonis Foote missed Free Throw.,40,64
13:22,2393,Middle Tennessee Deadball Team Rebound.,40,64
13:22,2393,Aldonis Foote missed Free Throw.,40,64
13:22,2393,Reggie Upshaw Offensive Rebound.,40,64
13:20,2393,Reggie Upshaw made Layup.,40,66
13:20,-1,Foul on Will Buckner.,40,66
13:20,2393,Reggie Upshaw made Free Throw.,40,67
13:08,2393,Foul on Reggie Upshaw.,40,67
12:47,-1,David Casaday missed Jumper.,40,67
12:47,2393,Brandon Walters Defensive Rebound.,40,67
12:36,2393,Antwain Johnson made Layup.,40,69
12:36,-1,Foul on Jacob Cawood.,40,69
12:36,2393,Antwain Johnson missed Free Throw.,40,69
12:36,2393,Giddy Potts Offensive Rebound.,40,69
12:25,2393,Aldonis Foote Turnover.,40,69
12:24,-1,Tyler Faulkenberry Steal.,40,69
11:58,-1,Tyler Faulkenberry missed Three Point Jumper.,40,69
11:58,2393,Aldonis Foote Defensive Rebound.,40,69
11:54,2393,Aldonis Foote Turnover.,40,69
11:53,-1,Daxton Bostian Steal.,40,69
11:51,-1,Tyler Faulkenberry missed Three Point Jumper.,40,69
11:51,-1,Tyler Faulkenberry Offensive Rebound.,40,69
11:44,-1,Will Buckner made Layup. Assisted by Mike Featherston.,42,69
11:43,-1,Milligan  Timeout,42,69
11:43,2393,Official TV Timeout,42,69
11:27,2393,Antwain Johnson made Jumper.,42,71
11:18,-1,Tyler Faulkenberry missed Three Point Jumper.,42,71
11:18,2393,Giddy Potts Defensive Rebound.,42,71
11:07,2393,Giddy Potts made Layup.,42,73
10:53,-1,Daxton Bostian Turnover.,42,73
10:52,2393,Brandon Walters Steal.,42,73
10:49,2393,Antwain Johnson missed Layup.,42,73
10:49,2393,Reggie Upshaw Defensive Rebound.,42,73
10:41,2393,Reggie Upshaw made Layup.,42,75
10:30,-1,Tyler Nichols missed Three Point Jumper.,42,75
10:30,2393,Giddy Potts Defensive Rebound.,42,75
10:21,2393,Reggie Upshaw made Layup. Assisted by Giddy Potts.,42,77
10:10,-1,Tyler Faulkenberry missed Three Point Jumper.,42,77
10:10,2393,Reggie Upshaw Defensive Rebound.,42,77
9:50,2393,Reggie Upshaw made Dunk. Assisted by Quavius Copeland.,42,79
9:37,-1,Mike Featherston missed Jumper.,42,79
9:37,2393,Brandon Walters Defensive Rebound.,42,79
9:27,2393,Quavius Copeland missed Three Point Jumper.,42,79
9:27,2393,Brandon Walters Offensive Rebound.,42,79
9:21,2393,Brandon Walters made Layup.,42,81
9:16,-1,Milligan  Timeout,42,81
9:16,2393,Official TV Timeout,42,81
8:50,-1,Mike Featherston made Jumper.,44,81
8:42,2393,JaCorey Williams missed Jumper.,44,81
8:42,-1,Ike Ndulue Defensive Rebound.,44,81
8:12,2393,Foul on Antwain Johnson.,44,81
7:59,2393,Foul on Tyrik Dixon.,44,81
7:59,2393,Official TV Timeout,44,81
7:49,-1,Mike Featherston made Layup.,46,81
7:31,-1,Foul on Ike Ndulue.,46,81
7:31,2393,JaCorey Williams made Free Throw.,46,82
7:31,2393,JaCorey Williams made Free Throw.,46,83
7:23,-1,Bo Pless made Three Point Jumper. Assisted by Cole Anderson.,49,83
7:12,2393,Giddy Potts made Three Point Jumper.,49,86
6:53,-1,Foul on Ike Ndulue.,49,86
6:53,-1,Ike Ndulue Turnover.,49,86
6:39,2393,JaCorey Williams missed Jumper.,49,86
6:39,-1,Cole Anderson Defensive Rebound.,49,86
6:09,-1,Bo Pless missed Jumper.,49,86
6:09,2393,JaCorey Williams Block.,49,86
6:07,-1,Ike Ndulue Offensive Rebound.,49,86
6:02,-1,Cole Anderson made Jumper. Assisted by Ike Ndulue.,51,86
5:50,-1,Foul on Deandre Thomas.,51,86
5:50,2393,Karl Gamble missed Free Throw.,51,86
5:50,2393,Middle Tennessee Deadball Team Rebound.,51,86
5:50,2393,Karl Gamble made Free Throw.,51,87
5:39,-1,Alex Biggerstaff missed Three Point Jumper.,51,87
5:39,2393,Giddy Potts Defensive Rebound.,51,87
5:24,2393,Tyrik Dixon missed Three Point Jumper.,51,87
5:24,-1,Cole Anderson Defensive Rebound.,51,87
5:12,-1,Bo Pless made Three Point Jumper.,54,87
5:07,2393,Middle Tennessee  Timeout,54,87
5:05,-1,Foul on Daxton Bostian.,54,87
5:05,2393,Antwain Johnson made Free Throw.,54,88
5:05,2393,Antwain Johnson made Free Throw.,54,89
4:54,2393,Foul on Antwain Johnson.,54,89
4:44,-1,Aaron Levarity made Three Point Jumper. Assisted by David Casaday.,57,89
4:27,2393,Brandon Walters made Layup. Assisted by Karl Gamble.,57,91
4:12,-1,Alex Biggerstaff made Three Point Jumper.,60,91
3:52,-1,Foul on Aaron Levarity.,60,91
3:49,2393,Official TV Timeout,60,91
3:49,2393,Antwain Johnson made Free Throw.,60,92
3:49,2393,Antwain Johnson made Free Throw.,60,93
3:42,-1,Daxton Bostian missed Three Point Jumper.,60,93
3:42,-1,Bo Pless Offensive Rebound.,60,93
3:39,2393,Foul on Karl Gamble.,60,93
3:39,-1,Bo Pless missed Free Throw.,60,93
3:39,-1,Milligan Deadball Team Rebound.,60,93
3:39,-1,Bo Pless missed Free Throw.,60,93
3:39,2393,Karl Gamble Defensive Rebound.,60,93
3:14,2393,Karl Gamble made Layup. Assisted by Edward Simpson.,60,95
2:55,-1,Aaron Levarity made Layup.,62,95
2:32,2393,Edward Simpson made Layup.,62,97
2:04,-1,Bo Pless missed Three Point Jumper.,62,97
2:04,2393,Brandon Walters Defensive Rebound.,62,97
1:51,-1,Foul on Nathan Hastings.,62,97
1:51,2393,Brandon Walters made Free Throw.,62,98
1:51,2393,Brandon Walters missed Free Throw.,62,98
1:51,-1,Nathan Hastings Defensive Rebound.,62,98
1:44,-1,Jacob Waldroop Turnover.,62,98
1:23,2393,Brandon Walters made Layup. Assisted by Quavius Copeland.,62,100
1:10,-1,Tyler Faulkenberry missed Layup.,62,100
1:10,2393,Chase Miller Defensive Rebound.,62,100
0:54,2393,Xavier Habersham Turnover.,62,100
0:54,-1,Cole Anderson Steal.,62,100
0:38,-1,Deandre Thomas made Jumper.,64,100
0:16,2393,Chase Miller missed Three Point Jumper.,64,100
0:16,-1,Aaron Levarity Block.,64,100
0:13,2393,Brandon Walters Offensive Rebound.,64,100
0:10,2393,Brandon Walters made Layup.,64,102
0:06,-1,Aaron Levarity missed Three Point Jumper.,64,102
0:06,2393,Xavier Habersham Defensive Rebound.,64,102
0:02,2393,Edward Simpson missed Jumper.,64,102
0:02,-1,Nathan Hastings Block.,64,102
0:02,-1,Jacob Waldroop Defensive Rebound.,64,102
0:00,2393,End of Game,64,102
