IUPUI,2198,Eastern Kentucky,85
11:42,2198,DeAndre Dishman Offensive Rebound.,9,16
11:39,85,Foul on Aaron Brennan.,9,16
11:39,2198,DeAndre Dishman missed Free Throw.,9,16
11:39,2198,Eastern Kentucky Deadball Team Rebound.,9,16
11:39,2198,DeAndre Dishman missed Free Throw.,9,16
11:39,85,Aaron Brennan Defensive Rebound.,9,16
11:10,85,Kellon Thomas missed Three Point Jumper.,9,16
11:10,85,Evan Hall Offensive Rebound.,9,16
10:59,85,D.J. McCall missed Jumper.,9,16
10:59,2198,Zach Charles Defensive Rebound.,9,16
10:51,2198,Jaylen Babb-Harrison missed Three Point Jumper.,9,16
10:51,85,Evan Hall Defensive Rebound.,9,16
10:48,2198,Foul on Zach Charles.,9,16
10:36,85,Matt O'Leary missed Layup.,9,16
10:36,2198,Zach Charles Defensive Rebound.,9,16
10:34,85,Foul on Matt O'Leary.,9,16
10:18,2198,Jaylen Babb-Harrison missed Jumper.,9,16
10:18,85,Matt O'Leary Defensive Rebound.,9,16
10:10,85,Kellon Thomas missed Jumper.,9,16
10:10,85,Kellon Thomas Offensive Rebound.,9,16
9:57,85,T.J. Henderson missed Three Point Jumper.,9,16
9:57,2198,Zach Charles Defensive Rebound.,9,16
9:38,2198,Nick Mayo made Jumper. Assisted by Asante Gist.,9,18
9:18,85,Ron Patterson made Three Point Jumper. Assisted by Darell Combs.,12,18
8:58,2198,Asante Gist missed Layup.,12,18
8:58,2198,Zach Charles Offensive Rebound.,12,18
8:54,2198,Zach Charles made Dunk.,12,20
8:41,85,Matt O'Leary missed Three Point Jumper.,12,20
8:41,85,Evan Hall Offensive Rebound.,12,20
8:37,85,Evan Hall missed Two Point Tip Shot.,12,20
8:37,2198,Asante Gist Defensive Rebound.,12,20
8:24,2198,Isaac McGlone missed Three Point Jumper.,12,20
8:24,85,Evan Hall Defensive Rebound.,12,20
8:15,85,Kellon Thomas made Jumper.,14,20
7:55,2198,Nick Mayo made Three Point Jumper. Assisted by Asante Gist.,14,23
7:39,85,Foul on Evan Hall.,14,23
7:39,85,Evan Hall Turnover.,14,23
7:39,2198,Official TV Timeout,14,23
7:23,2198,Jaylen Babb-Harrison missed Three Point Jumper.,14,23
7:23,2198,Zach Charles Offensive Rebound.,14,23
7:03,2198,Zach Charles made Layup. Assisted by Nick Mayo.,14,25
6:31,2198,Foul on Asante Gist.,14,25
6:27,85,Aaron Brennan made Layup. Assisted by Kellon Thomas.,16,25
6:06,85,Foul on Kellon Thomas.,16,25
6:06,2198,Asante Gist made Free Throw.,16,26
6:06,2198,Asante Gist made Free Throw.,16,27
6:02,2198,Foul on Asante Gist.,16,27
5:41,2198,Foul on Nick Mayo.,16,27
5:41,85,Evan Hall missed Free Throw.,16,27
5:41,85,IUPUI Deadball Team Rebound.,16,27
5:41,85,Evan Hall made Free Throw.,17,27
5:28,85,Foul on T.J. Henderson.,17,27
5:28,2198,Isaac McGlone made Free Throw.,17,28
5:28,2198,Isaac McGlone missed Free Throw.,17,28
5:28,85,Aaron Brennan Defensive Rebound.,17,28
5:17,85,T.J. Henderson made Three Point Jumper. Assisted by Aaron Brennan.,20,28
4:58,2198,Parker Chitty missed Three Point Jumper.,20,28
4:58,85,T.J. Henderson Defensive Rebound.,20,28
4:43,85,T.J. Henderson missed Jumper.,20,28
4:43,2198,DeAndre Dishman Defensive Rebound.,20,28
4:28,2198,Isaac McGlone missed Three Point Jumper.,20,28
4:28,85,T.J. Henderson Defensive Rebound.,20,28
4:16,85,Ron Patterson Turnover.,20,28
3:55,2198,Official TV Timeout,20,28
3:50,2198,Isaac McGlone missed Layup.,20,28
3:50,85,Aaron Brennan Block.,20,28
3:36,2198,DeAndre Dishman Offensive Rebound.,20,28
3:33,2198,DeAndre Dishman made Two Point Tip Shot.,20,30
3:32,85,Foul on Giovanni Fraser.,20,30
3:31,2198,DeAndre Dishman made Free Throw.,20,31
3:25,85,Darell Combs Turnover.,20,31
3:24,2198,Isaac McGlone Steal.,20,31
3:23,2198,Marlon Adams missed Layup.,20,31
3:22,2198,DeAndre Dishman Offensive Rebound.,20,31
3:21,2198,DeAndre Dishman made Dunk.,20,33
3:20,85,IUPUI  Timeout,20,33
3:06,85,Foul on Aaron Brennan.,20,33
3:06,85,Aaron Brennan Turnover.,20,33
3:03,85,Foul on Darell Combs.,20,33
3:02,2198,Asante Gist missed Free Throw.,20,33
3:02,2198,Eastern Kentucky Deadball Team Rebound.,20,33
3:01,2198,Asante Gist made Free Throw.,20,34
2:51,85,Darell Combs made Jumper. Assisted by Aaron Brennan.,22,34
2:36,2198,Isaac McGlone made Layup.,22,36
2:35,85,Foul on T.J. Henderson.,22,36
2:35,2198,Isaac McGlone made Free Throw.,22,37
2:24,85,Darell Combs missed Jumper.,22,37
2:24,85,T.J. Henderson Offensive Rebound.,22,37
2:16,2198,Foul on Dillon Avare.,22,37
2:16,85,T.J. Henderson made Free Throw.,23,37
2:16,85,T.J. Henderson made Free Throw.,24,37
1:59,2198,Jaylen Babb-Harrison missed Layup.,24,37
1:59,85,Evan Hall Block.,24,37
1:56,85,Josh James Defensive Rebound.,24,37
1:50,85,T.J. Henderson made Three Point Jumper. Assisted by Darell Combs.,27,37
1:22,2198,Asante Gist made Three Point Jumper.,27,40
1:22,2198,Eastern Kentucky  Timeout,27,40
1:04,2198,Foul on Jaylen Babb-Harrison.,27,40
1:04,85,Evan Hall missed Free Throw.,27,40
1:04,2198,Marlon Adams Defensive Rebound.,27,40
0:45,2198,Foul on Nick Mayo.,27,40
0:45,2198,Nick Mayo Turnover.,27,40
0:37,85,Darell Combs Turnover.,27,40
0:36,85,Foul on D.J. McCall.,27,40
0:36,2198,Asante Gist made Free Throw.,27,41
0:36,2198,Asante Gist made Free Throw.,27,42
0:18,2198,Foul on DeAndre Dishman.,27,42
0:18,85,Josh James missed Free Throw.,27,42
0:18,85,IUPUI Deadball Team Rebound.,27,42
0:18,85,Josh James made Free Throw.,28,42
0:06,2198,Asante Gist missed Jumper.,28,42
0:06,85,D.J. McCall Defensive Rebound.,28,42
0:00,2198,End of 1st half,28,43
19:51,85,Matt O'Leary missed Jumper.,28,42
19:51,85,Evan Hall Offensive Rebound.,28,42
19:31,85,Darell Combs missed Layup.,28,42
19:31,2198,Asante Gist Defensive Rebound.,28,42
19:12,2198,Nick Mayo missed Jumper.,28,42
19:12,85,Evan Hall Block.,28,42
19:11,2198,Asante Gist Offensive Rebound.,28,42
19:08,2198,Asante Gist missed Three Point Jumper.,28,42
19:08,85,IUPUI Deadball Team Rebound.,28,42
19:08,2198,Foul on Jaylen Babb-Harrison.,28,42
18:59,85,Kellon Thomas missed Jumper.,28,42
18:59,2198,Asante Gist Defensive Rebound.,28,42
18:51,85,Foul on Ron Patterson.,28,42
18:51,2198,Asante Gist made Free Throw.,28,43
18:51,2198,Asante Gist made Free Throw.,28,44
18:42,85,Matt O'Leary Turnover.,28,44
18:27,2198,Nick Mayo missed Jumper.,28,44
18:27,85,Kellon Thomas Defensive Rebound.,28,44
18:22,85,Kellon Thomas Turnover.,28,44
18:16,2198,Foul on Isaac McGlone.,28,44
18:16,2198,Isaac McGlone Turnover.,28,44
18:06,85,Foul on Evan Hall.,28,44
18:06,85,Evan Hall Turnover.,28,44
17:55,85,Foul on Evan Hall.,28,44
17:55,2198,Zach Charles made Free Throw.,28,45
17:55,2198,Zach Charles made Free Throw.,28,46
17:39,85,Ron Patterson Turnover.,28,46
17:39,2198,Isaac McGlone Steal.,28,46
17:39,2198,Isaac McGlone missed Layup.,28,46
17:39,85,Aaron Brennan Block.,28,46
17:39,2198,Nick Mayo Offensive Rebound.,28,46
17:39,2198,Nick Mayo made Dunk.,28,48
17:39,85,Ron Patterson missed Three Point Jumper.,28,48
17:39,2198,Jaylen Babb-Harrison Defensive Rebound.,28,48
17:39,2198,Zach Charles missed Layup.,28,48
17:39,85,Ron Patterson Block.,28,48
17:39,85,Kellon Thomas Defensive Rebound.,28,48
17:39,85,Darell Combs made Jumper.,30,48
17:39,2198,Asante Gist missed Three Point Jumper.,30,48
17:39,85,Aaron Brennan Defensive Rebound.,30,48
17:39,85,Kellon Thomas missed Three Point Jumper.,30,48
17:39,2198,Nick Mayo Defensive Rebound.,30,48
17:39,2198,Jaylen Babb-Harrison made Three Point Jumper.,30,51
16:02,2198,Foul on Zach Charles.,30,51
16:02,85,Darell Combs made Free Throw.,31,51
16:02,85,Darell Combs made Free Throw.,32,51
15:39,85,Foul on D.J. McCall.,32,51
15:39,2198,Official TV Timeout,32,51
15:39,2198,Asante Gist made Free Throw.,32,52
15:39,2198,Asante Gist made Free Throw.,32,53
15:26,85,Darell Combs missed Jumper.,32,53
15:26,85,Josh James Offensive Rebound.,32,53
15:23,85,Josh James made Two Point Tip Shot.,34,53
15:05,2198,Marlon Adams missed Jumper.,34,53
15:05,2198,Nick Mayo Offensive Rebound.,34,53
15:02,85,Foul on Aaron Brennan.,34,53
14:54,2198,Dillon Avare made Three Point Jumper. Assisted by Asante Gist.,34,56
14:46,85,T.J. Henderson missed Three Point Jumper.,34,56
14:46,85,IUPUI Offensive Rebound.,34,56
14:44,85,Darell Combs made Layup.,36,56
14:22,85,Foul on Josh James.,36,56
14:22,2198,Nick Mayo made Free Throw.,36,57
14:22,2198,Nick Mayo made Free Throw.,36,58
14:10,85,Matt O'Leary missed Jumper.,36,58
14:10,2198,Isaac McGlone Defensive Rebound.,36,58
14:06,85,Foul on Josh James.,36,58
14:06,2198,Isaac McGlone made Free Throw.,36,59
14:06,2198,Isaac McGlone made Free Throw.,36,60
13:53,2198,Foul on Dillon Avare.,36,60
13:49,85,Darell Combs made Three Point Jumper.,39,60
13:31,85,Foul on Josh James.,39,60
13:31,2198,DeAndre Dishman missed Free Throw.,39,60
13:31,2198,Eastern Kentucky Deadball Team Rebound.,39,60
13:31,2198,DeAndre Dishman made Free Throw.,39,61
13:19,85,Giovanni Fraser made Layup. Assisted by Matt O'Leary.,41,61
12:59,2198,Isaac McGlone Turnover.,41,61
12:43,2198,Foul on DeAndre Dishman.,41,61
12:41,85,Giovanni Fraser Turnover.,41,61
12:24,2198,Marlon Adams made Layup. Assisted by Isaac McGlone.,41,63
12:13,85,Darell Combs made Layup. Assisted by T.J. Henderson.,43,63
11:47,2198,Parker Chitty missed Three Point Jumper.,43,63
11:47,85,D.J. McCall Defensive Rebound.,43,63
11:45,2198,Foul on Marlon Adams.,43,63
11:44,2198,Official TV Timeout,43,63
11:30,85,Matt O'Leary missed Three Point Jumper.,43,63
11:30,2198,Nick Mayo Defensive Rebound.,43,63
11:22,2198,Jaylen Babb-Harrison Turnover.,43,63
11:10,2198,Foul on Nick Mayo.,43,63
11:10,85,D.J. McCall made Free Throw.,44,63
11:10,85,D.J. McCall made Free Throw.,45,63
11:00,2198,Asante Gist Turnover.,45,63
10:59,85,D.J. McCall Steal.,45,63
10:56,85,T.J. Henderson made Layup. Assisted by D.J. McCall.,47,63
10:23,2198,Asante Gist missed Three Point Jumper.,47,63
10:23,85,Evan Hall Defensive Rebound.,47,63
10:16,85,Matt O'Leary made Layup. Assisted by Darell Combs.,49,63
10:11,2198,Eastern Kentucky  Timeout,49,63
9:46,85,Foul on Matt O'Leary.,49,63
9:46,2198,Nick Mayo made Free Throw.,49,64
9:46,2198,Nick Mayo made Free Throw.,49,65
9:37,85,D.J. McCall missed Layup.,49,65
9:37,2198,Zach Charles Block.,49,65
9:36,85,IUPUI Offensive Rebound.,49,65
9:36,85,Darell Combs missed Jumper.,49,65
9:36,2198,Jaylen Babb-Harrison Defensive Rebound.,49,65
9:06,85,Foul on T.J. Henderson.,49,65
9:06,2198,Asante Gist missed Free Throw.,49,65
9:06,2198,Eastern Kentucky Deadball Team Rebound.,49,65
9:06,2198,Asante Gist made Free Throw.,49,66
8:51,85,Ron Patterson missed Three Point Jumper.,49,66
8:51,85,IUPUI Deadball Team Rebound.,49,66
8:46,2198,Foul on Nick Mayo.,49,66
8:46,85,Evan Hall missed Free Throw.,49,66
8:46,2198,Marlon Adams Defensive Rebound.,49,66
8:28,2198,Dillon Avare missed Three Point Jumper.,49,66
8:28,2198,DeAndre Dishman Offensive Rebound.,49,66
8:24,2198,DeAndre Dishman made Two Point Tip Shot.,49,68
8:12,85,D.J. McCall made Layup.,51,68
7:54,2198,Isaac McGlone missed Three Point Jumper.,51,68
7:54,85,Evan Hall Defensive Rebound.,51,68
7:49,2198,Foul on DeAndre Dishman.,51,68
7:49,2198,Official TV Timeout,51,68
7:49,85,Evan Hall missed Free Throw.,51,68
7:49,2198,Eastern Kentucky Deadball Team Rebound.,51,68
7:22,2198,DeAndre Dishman missed Layup.,51,68
7:22,85,Evan Hall Defensive Rebound.,51,68
7:14,2198,Foul on Isaac McGlone.,51,68
7:14,85,Darell Combs made Free Throw.,52,68
7:14,85,Darell Combs missed Free Throw.,52,68
7:14,2198,Marlon Adams Defensive Rebound.,52,68
7:04,2198,Dillon Avare made Three Point Jumper. Assisted by Asante Gist.,52,71
6:53,2198,Foul on DeAndre Dishman.,52,71
6:53,85,Aaron Brennan made Free Throw.,53,71
6:53,85,Aaron Brennan made Free Throw.,54,71
6:28,2198,Dillon Avare made Three Point Jumper. Assisted by Jaylen Babb-Harrison.,54,74
6:11,85,Ron Patterson made Three Point Jumper. Assisted by Kellon Thomas.,57,74
5:56,85,Foul on Kellon Thomas.,57,74
5:56,2198,Asante Gist made Free Throw.,57,75
5:56,2198,Asante Gist made Free Throw.,57,76
5:53,2198,Foul on Isaac McGlone.,57,76
5:53,85,Darell Combs made Free Throw.,58,76
5:53,85,Darell Combs made Free Throw.,59,76
5:43,2198,Jaylen Babb-Harrison Turnover.,59,76
5:42,85,Darell Combs Steal.,59,76
5:40,85,Ron Patterson Turnover.,59,76
5:13,85,Foul on Aaron Brennan.,59,76
5:13,2198,Zach Charles made Free Throw.,59,77
5:13,2198,Zach Charles missed Free Throw.,59,77
5:13,85,D.J. McCall Defensive Rebound.,59,77
5:08,2198,Foul on Zach Charles.,59,77
5:08,85,D.J. McCall made Free Throw.,60,77
5:08,85,D.J. McCall missed Free Throw.,60,77
5:08,2198,Nick Mayo Defensive Rebound.,60,77
4:50,2198,Nick Mayo made Jumper. Assisted by Isaac McGlone.,60,79
4:39,85,Aaron Brennan made Three Point Jumper. Assisted by Ron Patterson.,63,79
4:33,85,IUPUI  Timeout,63,79
4:32,85,Foul on T.J. Henderson.,63,79
4:32,2198,Asante Gist missed Free Throw.,63,79
4:32,2198,Eastern Kentucky Deadball Team Rebound.,63,79
4:30,2198,Asante Gist made Free Throw.,63,80
4:23,2198,Foul on Asante Gist.,63,80
4:23,85,Darell Combs made Free Throw.,64,80
4:23,85,Darell Combs made Free Throw.,65,80
3:59,2198,Nick Mayo Turnover.,65,80
3:59,2198,Official TV Timeout,65,80
3:48,85,T.J. Henderson missed Three Point Jumper.,65,80
3:48,2198,Isaac McGlone Defensive Rebound.,65,80
3:46,85,Foul on D.J. McCall.,65,80
3:46,2198,Isaac McGlone made Free Throw.,65,81
3:46,2198,Isaac McGlone made Free Throw.,65,82
3:38,2198,Foul on Zach Charles.,65,82
3:38,85,Kellon Thomas made Free Throw.,66,82
3:38,85,Kellon Thomas made Free Throw.,67,82
3:24,85,Foul on Darell Combs.,67,82
3:24,2198,Nick Mayo made Free Throw.,67,83
3:24,2198,Nick Mayo made Free Throw.,67,84
3:17,85,Kellon Thomas made Three Point Jumper.,70,84
3:03,2198,Eastern Kentucky  Timeout,70,84
2:57,85,Foul on T.J. Henderson.,70,84
2:57,2198,Asante Gist missed Free Throw.,70,84
2:57,2198,Eastern Kentucky Deadball Team Rebound.,70,84
2:57,2198,Asante Gist missed Free Throw.,70,84
2:57,85,Matt O'Leary Defensive Rebound.,70,84
2:49,85,Darell Combs made Layup.,72,84
2:29,2198,Foul on Jaylen Babb-Harrison.,72,84
2:29,2198,Jaylen Babb-Harrison Turnover.,72,84
2:19,2198,Foul on Asante Gist.,72,84
2:19,85,Kellon Thomas made Free Throw.,73,84
2:19,85,Kellon Thomas made Free Throw.,74,84
2:19,85,Foul on Ron Patterson.,74,84
2:19,2198,Nick Mayo made Free Throw.,74,85
2:19,2198,Nick Mayo made Free Throw.,74,86
2:12,85,Darell Combs made Layup.,76,86
1:34,85,Foul on Matt O'Leary.,76,86
1:34,2198,Nick Mayo made Free Throw.,76,87
1:34,2198,Nick Mayo made Free Throw.,76,88
1:24,85,Ron Patterson made Layup.,78,88
1:05,85,Foul on Ron Patterson.,78,88
1:05,2198,Asante Gist made Free Throw.,78,89
1:05,2198,Asante Gist missed Free Throw.,78,89
1:05,85,Matt O'Leary Defensive Rebound.,78,89
1:02,85,Darell Combs missed Three Point Jumper.,78,89
1:02,85,Matt O'Leary Offensive Rebound.,78,89
0:56,85,Matt O'Leary Turnover.,78,89
0:52,2198,Asante Gist Turnover.,78,89
0:49,85,Kellon Thomas missed Jumper.,78,89
0:49,85,Matt O'Leary Offensive Rebound.,78,89
0:46,85,Matt O'Leary made Two Point Tip Shot.,80,89
0:46,85,IUPUI  Timeout,80,89
0:39,85,Foul on Kellon Thomas.,80,89
0:39,2198,Jaylen Babb-Harrison made Free Throw.,80,90
0:39,2198,Jaylen Babb-Harrison made Free Throw.,80,91
0:34,85,Ron Patterson made Three Point Jumper. Assisted by Darell Combs.,83,91
0:32,2198,Eastern Kentucky  Timeout,83,91
0:26,85,Foul on Ron Patterson.,83,91
0:26,2198,Jaylen Babb-Harrison made Free Throw.,83,92
0:26,2198,Jaylen Babb-Harrison made Free Throw.,83,93
0:19,85,Darell Combs made Layup.,85,93
0:17,85,Foul on Darell Combs.,85,93
0:17,2198,Dillon Avare made Free Throw.,85,94
0:17,2198,Dillon Avare made Free Throw.,85,95
0:12,85,Kellon Thomas made Layup.,87,95
0:11,85,Foul on Ron Patterson.,87,95
0:11,2198,Asante Gist made Free Throw.,87,96
0:11,2198,Asante Gist made Free Throw.,87,97
0:09,85,Darell Combs missed Three Point Jumper.,87,97
0:09,85,Matt O'Leary Offensive Rebound.,87,97
0:05,85,Matt O'Leary missed Three Point Jumper.,87,97
0:05,2198,Nick Mayo Defensive Rebound.,87,97
0:00,2198,End of Game,87,97
