Idaho State,167,New Mexico,304
4:08,167,Elijah Brown missed Three Point Jumper.,27,23
4:08,167,Tim Williams Offensive Rebound.,27,23
4:07,167,Tim Williams missed Free Throw.,27,23
4:07,167,New Mexico Deadball Team Rebound.,27,23
4:07,304,Foul on Erik Nakken.,27,23
4:07,167,Tim Williams missed Free Throw.,27,23
4:07,304,Ethan Telfair Defensive Rebound.,27,23
3:58,167,Foul on Tim Williams.,27,23
3:58,304,Idaho State  Timeout,27,23
3:58,304,Novak Topalovic made Free Throw.,28,23
3:58,304,Novak Topalovic made Free Throw.,29,23
3:42,167,Jordan Hunter missed Layup.,29,23
3:42,167,New Mexico Offensive Rebound.,29,23
3:40,304,Foul on Erik Nakken.,29,23
3:40,167,Anthony Mathis made Free Throw.,29,24
3:40,167,Anthony Mathis made Free Throw.,29,25
3:24,304,Ethan Telfair missed Jumper.,29,25
3:24,167,Sam Logwood Defensive Rebound.,29,25
3:03,304,Foul on Balint Mocsan.,29,25
3:03,167,Xavier Adams made Free Throw.,29,26
3:03,167,Xavier Adams missed Free Throw.,29,26
3:03,304,Novak Topalovic Defensive Rebound.,29,26
2:34,304,Novak Topalovic Turnover.,29,26
2:12,167,Sam Logwood missed Three Point Jumper.,29,26
2:12,304,Ethan Telfair Defensive Rebound.,29,26
1:53,304,Novak Topalovic made Jumper. Assisted by Erik Nakken.,31,26
1:45,304,Foul on Novak Topalovic.,31,26
1:45,304,Foul on Novak Topalovic.,31,26
1:45,167,Technical Foul on Xavier Adams.,31,26
1:45,167,Sam Logwood made Free Throw.,31,27
1:45,167,Foul on Xavier Adams.,32,28
1:45,304,Technical Foul on Novak Topalovic.,31,26
1:45,167,Technical Foul on Obij Aget.,31,26
1:45,167,Sam Logwood made Free Throw.,31,28
1:45,304,Ethan Telfair missed Free Throw.,31,28
1:45,304,Idaho State Deadball Team Rebound.,31,28
1:45,304,Ethan Telfair made Free Throw.,32,28
1:45,167,Foul on Obij Aget.,32,28
1:14,304,Balint Mocsan missed Jumper.,32,28
1:14,304,Clark Wilkinson Offensive Rebound.,32,28
1:14,167,Foul on Anthony Mathis.,32,28
1:14,304,Clark Wilkinson made Free Throw.,33,28
1:14,304,Clark Wilkinson missed Free Throw.,33,28
1:14,167,Obij Aget Defensive Rebound.,33,28
1:00,167,Anthony Mathis made Three Point Jumper. Assisted by Sam Logwood.,33,31
1:00,304,Foul on Erik Nakken.,33,31
1:00,167,Anthony Mathis made Free Throw.,33,32
0:43,167,Foul on Jordan Hunter.,33,32
0:43,304,Ethan Telfair made Free Throw.,34,32
0:43,304,Ethan Telfair made Free Throw.,35,32
0:32,167,Foul on Sam Logwood.,35,32
0:32,167,Sam Logwood Turnover.,35,32
0:32,304,Idaho State  Timeout,35,32
0:05,304,Balint Mocsan made Three Point Jumper. Assisted by Ethan Telfair.,38,32
0:00,167,Anthony Mathis missed Three Point Jumper.,38,32
0:00,304,Idaho State Deadball Team Rebound.,38,32
0:00,167,End of 1st half,38,32
19:38,304,Ethan Telfair missed Jumper.,38,32
19:38,167,Elijah Brown Defensive Rebound.,38,32
19:27,167,Jordan Hunter Turnover.,38,32
19:26,304,Geno Luzcando Steal.,38,32
19:24,304,Geno Luzcando missed Layup.,38,32
19:24,304,Ethan Telfair Offensive Rebound.,38,32
19:22,304,Ethan Telfair made Two Point Tip Shot.,40,32
19:06,167,Sam Logwood made Dunk. Assisted by Elijah Brown.,40,34
18:48,304,Ethan Telfair missed Jumper.,40,34
18:48,167,Obij Aget Block.,40,34
18:46,167,Obij Aget Defensive Rebound.,40,34
18:41,167,Tim Williams made Layup. Assisted by Jordan Hunter.,40,36
18:38,304,Idaho State  Timeout,40,36
18:25,304,Ethan Telfair made Jumper.,42,36
18:01,167,Elijah Brown missed Jumper.,42,36
18:01,167,Elijah Brown Offensive Rebound.,42,36
17:59,167,Elijah Brown made Layup.,42,38
17:59,304,Foul on Ethan Telfair.,42,38
17:59,167,Elijah Brown made Free Throw.,42,39
17:31,304,Robert Jones III made Jumper. Assisted by Ethan Telfair.,44,39
17:12,167,Sam Logwood made Jumper.,44,41
16:47,167,Foul on Elijah Brown.,44,41
16:25,304,Stephen Lennox made Layup. Assisted by Ethan Telfair.,46,41
16:13,167,Obij Aget made Jumper. Assisted by Jordan Hunter.,46,43
16:12,304,Foul on Geno Luzcando.,46,43
16:12,304,Geno Luzcando Turnover.,46,43
16:08,304,Foul on Stephen Lennox.,46,43
16:08,167,Sam Logwood made Free Throw.,46,44
16:08,167,Sam Logwood made Free Throw.,46,45
15:56,304,Balint Mocsan missed Three Point Jumper.,46,45
15:56,167,Elijah Brown Defensive Rebound.,46,45
15:51,167,Jordan Hunter Turnover.,46,45
15:50,304,Idaho State  Timeout,46,45
15:30,304,Ethan Telfair missed Three Point Jumper.,46,45
15:30,167,New Mexico Deadball Team Rebound.,46,45
15:29,304,Foul on Robert Jones III.,46,45
15:08,167,Elijah Brown missed Three Point Jumper.,46,45
15:08,167,Tim Williams Offensive Rebound.,46,45
15:07,304,Foul on Robert Jones III.,46,45
