Adrian College,2174,Detroit Mercy,2003
8:24,-1,Isiah Crofford Offensive Rebound.,22,21
8:23,-1,Isiah Crofford made Jumper.,24,21
8:23,2174,Foul on Malik Eichler.,24,21
8:23,-1,Isiah Crofford missed Free Throw.,24,21
8:20,2174,Jarod Williams Defensive Rebound.,24,21
8:09,2174,Josh McFolley missed Three Point Jumper.,24,21
8:09,-1,Foul on Isiah Crofford.,24,21
8:09,2174,Jaleel Hogan Offensive Rebound.,24,21
8:08,2174,Jaleel Hogan missed Free Throw.,24,21
8:08,2174,Detroit Deadball Team Rebound.,24,21
8:08,2174,Jaleel Hogan made Free Throw.,24,22
7:56,-1,Travon Johnson made Layup.,26,22
7:35,-1,Foul on Logan Merrick.,26,24
7:35,2174,Official TV Timeout,26,24
7:35,2174,Jarod Williams made Jumper.,26,24
7:34,2174,Jarod Williams missed Free Throw.,26,24
7:34,-1,Justin Webster Defensive Rebound.,26,24
7:17,-1,DaVonte Harris missed Three Point Jumper.,26,24
7:17,2174,Josh McFolley Defensive Rebound.,26,24
7:05,2174,Jaleel Hogan made Jumper.,26,26
6:51,-1,Daton Aaron Turnover.,26,26
6:50,2174,Corey Allen Steal.,26,26
6:47,-1,Foul on Travon Johnson.,26,26
6:46,2174,Jarod Williams missed Free Throw.,26,26
6:46,2174,Detroit Deadball Team Rebound.,26,26
6:46,2174,Jarod Williams missed Free Throw.,26,26
6:46,-1,Justin Webster Defensive Rebound.,26,26
6:24,-1,DaVonte Harris made Jumper.,28,26
6:04,2174,Ed Carter III missed Three Point Jumper.,28,26
6:04,-1,DaVonte Harris Defensive Rebound.,28,26
5:54,-1,Daton Aaron made Three Point Jumper. Assisted by Travon Johnson.,31,26
5:33,2174,Josh McFolley Turnover.,31,26
5:15,-1,Foul on Anthony Cannon.,31,26
5:15,-1,Anthony Cannon Turnover.,31,26
5:05,2174,Josh McFolley missed Layup.,31,26
5:05,2174,Detroit Offensive Rebound.,31,26
5:01,2174,Gerald Blackshear made Jumper.,31,28
4:44,-1,Daton Aaron made Jumper.,33,28
4:26,2174,Josh McFolley made Three Point Jumper. Assisted by Ed Carter III.,33,31
4:00,-1,Travon Johnson missed Three Point Jumper.,33,31
4:00,-1,Adrian Offensive Rebound.,33,31
3:55,-1,DaVonte Harris missed Three Point Jumper.,33,31
3:55,-1,Travon Johnson Offensive Rebound.,33,31
3:43,-1,Travon Johnson missed Jumper.,33,31
3:43,2174,Gerald Blackshear Block.,33,31
3:40,2174,Jarod Williams Defensive Rebound.,33,31
3:27,2174,Chris Jenkins missed Three Point Jumper.,33,31
3:27,-1,Travon Johnson Defensive Rebound.,33,31
3:20,-1,Travon Johnson Turnover.,33,31
3:20,2174,Ed Carter III Steal.,33,31
3:19,2174,Ed Carter III missed Jumper.,33,31
3:19,2174,Jarod Williams Offensive Rebound.,33,31
3:17,-1,Foul on DaVonte Harris.,33,31
3:17,2174,Official TV Timeout,33,31
3:17,2174,Jarod Williams made Free Throw.,33,32
3:17,2174,Jarod Williams made Free Throw.,33,33
3:08,-1,Daton Aaron Turnover.,33,33
2:38,2174,Gerald Blackshear made Dunk. Assisted by Ed Carter III.,33,35
2:35,-1,Daton Aaron made Layup.,35,35
2:09,2174,DeShawndre Black missed Three Point Jumper.,35,35
2:09,2174,Gerald Blackshear Offensive Rebound.,35,35
2:04,2174,Gerald Blackshear made Jumper.,35,37
1:50,-1,Travon Johnson made Jumper.,37,37
1:34,2174,Aaron Foster-Smith Turnover.,37,37
1:26,2174,Foul on DeShawndre Black.,37,37
1:26,-1,Daton Aaron missed Free Throw.,37,37
1:26,-1,Adrian Deadball Team Rebound.,37,37
1:26,-1,Daton Aaron made Free Throw.,38,37
1:17,2174,Aaron Foster-Smith missed Three Point Jumper.,38,37
1:17,-1,Venson Bryant Defensive Rebound.,38,37
0:53,-1,Daton Aaron Turnover.,38,37
0:52,2174,Gerald Blackshear Steal.,38,37
0:50,2174,Gerald Blackshear made Dunk.,38,39
0:26,2174,Foul on Gerald Blackshear.,38,39
0:26,-1,Justin Webster missed Free Throw.,38,39
0:26,-1,Adrian Deadball Team Rebound.,38,39
0:26,-1,Justin Webster missed Free Throw.,38,39
0:26,2174,Aaron Foster-Smith Defensive Rebound.,38,39
0:21,2174,Detroit  Timeout,38,39
0:04,2174,Aaron Foster-Smith missed Three Point Jumper.,38,39
0:04,-1,Justin Webster Defensive Rebound.,38,39
0:00,2174,End of 1st half,38,39
19:39,2174,Jaleel Hogan made Jumper. Assisted by Josh McFolley.,38,41
19:16,2174,Foul on Josh McFolley.,38,41
19:04,-1,DaVonte Harris missed Layup.,38,41
19:04,2174,Jaleel Hogan Defensive Rebound.,38,41
18:55,2174,Josh McFolley made Three Point Jumper. Assisted by Jarod Williams.,38,44
18:45,2174,Foul on Jaleel Hogan.,38,44
18:45,-1,Daton Aaron made Free Throw.,39,44
18:45,-1,Daton Aaron made Free Throw.,40,44
18:37,-1,Foul on Isiah Crofford.,40,44
18:37,2174,Jaleel Hogan made Free Throw.,40,45
18:37,2174,Jaleel Hogan missed Free Throw.,40,45
18:37,-1,Justin Webster Defensive Rebound.,40,45
18:25,-1,DaVonte Harris missed Jumper.,40,45
18:25,2174,Jaleel Hogan Defensive Rebound.,40,45
18:07,2174,Chris Jenkins made Three Point Jumper. Assisted by Jaleel Hogan.,40,48
18:02,-1,Adrian  Timeout,40,48
18:02,2174,Official TV Timeout,40,48
17:51,-1,Travon Johnson made Jumper.,42,48
17:38,2174,Josh McFolley missed Three Point Jumper.,42,48
17:38,-1,Justin Webster Defensive Rebound.,42,48
17:26,-1,Daton Aaron missed Layup.,42,48
17:26,-1,Isiah Crofford Offensive Rebound.,42,48
17:23,-1,Isiah Crofford made Jumper.,44,48
17:10,2174,Jarod Williams Turnover.,44,48
16:53,-1,Isiah Crofford missed Layup.,44,48
16:53,2174,Chris Jenkins Defensive Rebound.,44,48
16:47,2174,Chris Jenkins made Layup.,44,50
16:47,-1,Daton Aaron missed Jumper.,44,50
16:27,2174,Josh McFolley Defensive Rebound.,44,50
16:18,2174,Josh McFolley missed Layup.,44,50
16:18,-1,Travon Johnson Defensive Rebound.,44,50
15:53,-1,Isiah Crofford Turnover.,44,50
15:52,2174,Corey Allen Steal.,44,50
15:45,2174,Corey Allen missed Jumper.,44,50
15:45,2174,Jaleel Hogan Offensive Rebound.,44,50
15:42,-1,Foul on Isiah Crofford.,44,50
15:42,2174,Official TV Timeout,44,50
15:42,2174,Jaleel Hogan made Free Throw.,44,51
15:42,2174,Jaleel Hogan made Free Throw.,44,52
15:29,-1,Travon Johnson made Jumper.,46,52
15:19,-1,Foul on Daton Aaron.,46,52
15:19,2174,Jaleel Hogan made Free Throw.,46,53
15:19,2174,Jaleel Hogan missed Free Throw.,46,53
15:19,-1,Venson Bryant Defensive Rebound.,46,53
15:07,-1,DaVonte Harris made Three Point Jumper.,49,53
14:54,2174,Corey Allen made Three Point Jumper. Assisted by Ed Carter III.,49,56
14:36,-1,Foul on Justin Webster.,49,56
14:36,-1,Justin Webster Turnover.,49,56
14:24,2174,Chris Jenkins missed Jumper.,49,56
14:24,2174,Corey Allen Offensive Rebound.,49,56
14:17,-1,Foul on Anthony Cannon.,49,56
14:16,2174,DeShawndre Black made Three Point Jumper. Assisted by Ed Carter III.,49,59
14:01,-1,DaVonte Harris made Three Point Jumper. Assisted by Anthony Cannon.,52,59
13:53,2174,Corey Allen made Layup. Assisted by DeShawndre Black.,52,61
13:36,-1,DaVonte Harris made Jumper.,54,61
13:19,2174,Jaleel Hogan missed Jumper.,54,61
13:19,2174,Jaleel Hogan Offensive Rebound.,54,61
13:17,2174,Jaleel Hogan made Two Point Tip Shot.,54,63
13:04,-1,Travon Johnson missed Jumper.,54,63
13:04,2174,Detroit Defensive Rebound.,54,63
12:50,2174,Patrick Robinson Jr. made Three Point Jumper. Assisted by DeShawndre Black.,54,66
12:37,-1,Adrian  Timeout,54,66
12:25,-1,Justin Webster Turnover.,54,66
12:02,2174,Patrick Robinson Jr. missed Three Point Jumper.,54,66
12:02,2174,Chris Jenkins Offensive Rebound.,54,66
12:00,-1,Foul on Travon Johnson.,54,66
12:00,2174,Chris Jenkins missed Free Throw.,54,66
12:00,2174,Detroit Deadball Team Rebound.,54,66
12:00,2174,Chris Jenkins made Free Throw.,54,67
11:35,-1,DaVonte Harris missed Three Point Jumper.,54,67
11:35,2174,Corey Allen Defensive Rebound.,54,67
11:22,2174,Official TV Timeout,54,67
11:13,2174,DeShawndre Black missed Three Point Jumper.,54,67
11:13,-1,Travon Johnson Defensive Rebound.,54,67
11:05,-1,DaVonte Harris made Layup. Assisted by Travon Johnson.,56,67
10:53,2174,Chris Jenkins made Jumper. Assisted by DeShawndre Black.,56,69
10:34,-1,Daton Aaron made Three Point Jumper.,59,69
10:15,2174,DeShawndre Black made Three Point Jumper. Assisted by Patrick Robinson Jr..,59,72
9:55,2174,Foul on Gerald Blackshear.,59,72
9:55,-1,Isiah Crofford missed Free Throw.,59,72
9:55,-1,Adrian Deadball Team Rebound.,59,72
9:54,-1,Isiah Crofford missed Free Throw.,59,72
9:54,2174,Cole Long Defensive Rebound.,59,72
9:51,2174,Malik Eichler missed Layup.,59,72
9:51,2174,Malik Eichler Offensive Rebound.,59,72
9:49,2174,Malik Eichler missed Layup.,59,72
9:49,-1,Anthony Cannon Defensive Rebound.,59,72
9:46,-1,Anthony Cannon made Layup.,61,72
9:05,2174,Patrick Robinson Jr. missed Three Point Jumper.,61,72
9:05,-1,Anthony Cannon Defensive Rebound.,61,72
8:42,-1,Anthony Cannon missed Jumper.,61,72
8:42,2174,Detroit Defensive Rebound.,61,72
8:27,2174,Corey Allen made Three Point Jumper. Assisted by Cole Long.,61,75
8:09,-1,DaVonte Harris made Layup.,63,75
7:52,2174,Cole Long missed Jumper.,63,75
7:52,2174,Cole Long Offensive Rebound.,63,75
7:49,2174,Cole Long made Jumper.,63,77
7:33,-1,Anthony Cannon Turnover.,63,77
7:32,2174,Josh McFolley Steal.,63,77
7:32,2174,Josh McFolley Turnover.,63,77
7:32,2174,Official TV Timeout,63,77
7:17,-1,Anthony Cannon Turnover.,63,77
7:02,2174,Jarod Williams made Layup.,63,79
6:46,-1,Anthony Cannon missed Three Point Jumper.,63,79
6:46,2174,Corey Allen Defensive Rebound.,63,79
6:32,-1,Foul on Ken Henry.,63,79
6:32,2174,Malik Eichler made Free Throw.,63,80
6:32,2174,Malik Eichler missed Free Throw.,63,80
6:31,-1,Travon Johnson Defensive Rebound.,63,80
6:22,-1,Isiah Crofford missed Layup.,63,80
6:22,2174,Cole Long Defensive Rebound.,63,80
6:14,-1,Foul on Travon Johnson.,63,80
6:14,2174,Ed Carter III made Free Throw.,63,81
6:14,2174,Ed Carter III made Free Throw.,63,82
5:53,-1,DaVonte Harris Turnover.,63,82
5:41,2174,Ed Carter III made Layup.,63,84
5:27,2174,Foul on Corey Allen.,63,84
5:21,-1,Justin Webster missed Jumper.,63,84
5:21,2174,Gerald Blackshear Defensive Rebound.,63,84
5:13,2174,Ed Carter III missed Three Point Jumper.,63,84
5:13,2174,Jarod Williams Offensive Rebound.,63,84
5:11,2174,Jarod Williams made Jumper.,63,86
4:54,-1,DaVonte Harris missed Three Point Jumper.,63,86
4:54,2174,Jarod Williams Defensive Rebound.,63,86
4:51,-1,Foul on Travon Johnson.,63,86
4:51,2174,Jarod Williams missed Free Throw.,63,86
4:51,-1,Michael Gold Defensive Rebound.,63,86
4:40,2174,Foul on Jarod Williams.,63,86
4:40,-1,Ken Henry missed Free Throw.,63,86
4:40,-1,Adrian Deadball Team Rebound.,63,86
4:40,-1,Ken Henry made Free Throw.,64,86
4:08,2174,Ed Carter III missed Jumper.,64,86
4:08,-1,Ken Henry Defensive Rebound.,64,86
4:06,-1,Daton Aaron missed Three Point Jumper.,64,86
4:06,-1,Chris Bell Offensive Rebound.,64,86
3:45,-1,Ken Henry made Jumper.,66,86
3:35,2174,Official TV Timeout,66,86
3:35,2174,Detroit  Timeout,66,86
3:24,-1,Foul on Michael Gold.,66,86
3:24,2174,Jaleel Hogan missed Free Throw.,66,86
3:24,2174,Detroit Deadball Team Rebound.,66,86
3:24,2174,Jaleel Hogan made Free Throw.,66,87
3:08,2174,Jaleel Hogan Turnover.,66,87
2:54,-1,Foul on Chris Bell.,66,87
2:54,2174,Chris Jenkins missed Free Throw.,66,87
2:54,2174,Detroit Deadball Team Rebound.,66,87
2:54,2174,Chris Jenkins made Free Throw.,66,88
2:31,-1,Daton Aaron made Three Point Jumper.,69,88
2:16,2174,Aaron Foster-Smith made Layup.,69,90
1:58,-1,Marcellous Williams missed Jumper.,69,90
1:58,2174,Patrick Robinson Jr. Defensive Rebound.,69,90
1:48,2174,Cole Long made Layup. Assisted by Ed Carter III.,69,92
1:29,-1,Daton Aaron missed Three Point Jumper.,69,92
1:29,2174,Aaron Foster-Smith Defensive Rebound.,69,92
1:20,-1,Foul on Logan Merrick.,69,92
1:20,2174,Patrick Robinson Jr. made Free Throw.,69,93
1:20,2174,Patrick Robinson Jr. made Free Throw.,69,94
1:02,-1,Michael Gold missed Layup.,69,94
1:02,2174,Malik Eichler Block.,69,94
1:00,2174,Cole Long Defensive Rebound.,69,94
0:41,2174,Aaron Foster-Smith missed Three Point Jumper.,69,94
0:41,2174,Cole Long Offensive Rebound.,69,94
0:39,2174,Cole Long made Jumper.,69,96
0:24,-1,Logan Merrick Turnover.,69,96
0:08,2174,Malik Eichler made Three Point Jumper. Assisted by Aaron Foster-Smith.,69,99
0:00,2174,End of Game,69,99
