Lamar,2184,Duquesne,2320
13:32,2184,Jordan Robinson missed Free Throw.,10,6
13:32,2184,Duquesne Deadball Team Rebound.,10,6
13:32,2184,Jordan Robinson made Free Throw.,10,7
13:10,2320,Nick Garth made Jumper. Assisted by Colton Weisbrod.,12,7
13:10,2184,Foul on Kellon Taylor.,12,7
13:10,2320,Nick Garth made Free Throw.,13,7
12:41,2184,Eric Williams Jr. Turnover.,13,7
12:36,2320,Torey Noel Steal.,13,7
12:34,2320,Josh Nzeakor missed Dunk.,13,7
12:34,2184,Kellon Taylor Defensive Rebound.,13,7
12:12,2184,Chas Brown missed Jumper.,13,7
12:12,2320,Nick Garth Defensive Rebound.,13,7
12:02,2320,T.J. Atwood missed Jumper.,13,7
12:02,2184,Kellon Taylor Defensive Rebound.,13,7
11:48,2320,Foul on Torey Noel.,13,7
11:48,2184,Official TV Timeout,13,7
11:28,2184,Tarin Smith missed Three Point Jumper.,13,7
11:28,2320,T.J. Atwood Defensive Rebound.,13,7
11:22,2184,Foul on Tydus Verhoeven.,13,7
11:22,2320,Torey Noel missed Free Throw.,13,7
11:22,2320,Lamar Deadball Team Rebound.,13,7
11:22,2320,Torey Noel made Free Throw.,14,7
11:12,2320,Foul on Avery Sullivan.,14,7
11:12,2184,Tarin Smith made Free Throw.,14,8
11:12,2184,Tarin Smith missed Free Throw.,14,8
11:12,2320,Torey Noel Defensive Rebound.,14,8
11:07,2320,Torey Noel missed Layup.,14,8
11:07,2184,Eric Williams Jr. Defensive Rebound.,14,8
10:44,2320,Foul on Avery Sullivan.,14,8
10:41,2184,Mike Lewis II missed Three Point Jumper.,14,8
10:33,2184,Chas Brown Offensive Rebound.,14,8
10:33,2184,Chas Brown Turnover.,14,8
10:14,2320,T.J. Atwood made Layup. Assisted by Colton Weisbrod.,16,8
9:59,2320,Foul on Nick Garth.,16,8
9:59,2184,Eric Williams Jr. made Free Throw.,16,9
9:59,2184,Eric Williams Jr. made Free Throw.,16,10
9:35,2320,Colton Weisbrod Turnover.,16,10
9:31,2184,Tarin Smith Steal.,16,10
9:27,2184,Chas Brown Turnover.,16,10
9:14,2320,Nick Garth missed Three Point Jumper.,16,10
9:14,2184,Mike Lewis II Defensive Rebound.,16,10
8:49,2184,Eric Williams Jr. Turnover.,16,10
8:24,2320,Zjori Bosha missed Jumper.,16,10
8:24,2184,Eric Williams Jr. Defensive Rebound.,16,10
8:23,2320,Foul on T.J. Atwood.,16,10
8:23,2184,Eric Williams Jr. made Free Throw.,16,11
8:23,2184,Eric Williams Jr. made Free Throw.,16,12
8:09,2320,Joey Frenchwood missed Three Point Jumper.,16,12
8:09,2184,Jordan Robinson Defensive Rebound.,16,12
7:49,2184,Jordan Robinson missed Jumper.,16,12
7:49,2184,Kellon Taylor Offensive Rebound.,16,12
7:45,2184,Mike Lewis II missed Three Point Jumper.,16,12
7:45,2320,Colton Weisbrod Defensive Rebound.,16,12
7:42,2184,Foul on Kellon Taylor.,16,12
7:42,2184,Official TV Timeout,16,12
7:42,2320,Colton Weisbrod made Free Throw.,17,12
7:42,2320,Colton Weisbrod missed Free Throw.,17,12
7:42,2184,Eric Williams Jr. Defensive Rebound.,17,12
7:30,2184,Rene Castro-Caneddy Turnover.,17,12
7:29,2320,Josh Nzeakor Steal.,17,12
7:26,2320,Josh Nzeakor missed Layup.,17,12
7:26,2184,Kellon Taylor Defensive Rebound.,17,12
7:08,2184,Eric Williams Jr. made Three Point Jumper.,17,15
6:47,2320,Joey Frenchwood missed Jumper.,17,15
6:47,2184,Jordan Robinson Defensive Rebound.,17,15
6:31,2184,Jordan Robinson missed Jumper.,17,15
6:31,2184,Kellon Taylor Offensive Rebound.,17,15
6:29,2320,Foul on Colton Weisbrod.,17,15
6:29,2184,Kellon Taylor missed Free Throw.,17,15
6:29,2184,Eric Williams Jr. Offensive Rebound.,17,15
6:06,2184,Rene Castro-Caneddy missed Layup.,17,15
6:06,2320,Zjori Bosha Defensive Rebound.,17,15
5:57,2320,T.J. Atwood Turnover.,17,15
5:56,2184,Rene Castro-Caneddy Steal.,17,15
5:32,2184,Kellon Taylor made Layup. Assisted by Tarin Smith.,17,17
5:18,2184,Foul on Eric Williams Jr..,17,17
5:18,2320,T.J. Atwood made Free Throw.,18,17
5:18,2320,T.J. Atwood missed Free Throw.,18,17
5:18,2184,Chas Brown Defensive Rebound.,18,17
5:05,2320,Foul on Nick Garth.,18,17
5:05,2184,Rene Castro-Caneddy made Free Throw.,18,18
5:05,2184,Rene Castro-Caneddy made Free Throw.,18,19
4:43,2320,T.J. Atwood made Jumper.,20,19
4:24,2320,Foul on James Harrison.,20,19
4:24,2184,Tarin Smith missed Free Throw.,20,19
4:24,2184,Duquesne Deadball Team Rebound.,20,19
4:24,2184,Tarin Smith made Free Throw.,20,20
4:09,2320,Josh Nzeakor made Layup. Assisted by T.J. Atwood.,22,20
3:44,2320,Foul on James Harrison.,22,20
3:44,2184,Official TV Timeout,22,20
3:44,2184,Tarin Smith made Free Throw.,22,21
3:44,2184,Tarin Smith made Free Throw.,22,22
3:20,2320,Joey Frenchwood missed Three Point Jumper.,22,22
3:20,2184,Kellon Taylor Defensive Rebound.,22,22
3:10,2184,Rene Castro-Caneddy missed Three Point Jumper.,22,22
3:10,2320,James Harrison Defensive Rebound.,22,22
2:47,2320,T.J. Atwood missed Jumper.,22,22
2:47,2184,Rene Castro-Caneddy Defensive Rebound.,22,22
2:41,2320,Foul on T.J. Atwood.,22,22
2:41,2184,Chas Brown missed Free Throw.,22,22
2:41,2184,Duquesne Deadball Team Rebound.,22,22
2:41,2184,Chas Brown missed Free Throw.,22,22
2:41,2320,Lamar Defensive Rebound.,22,22
2:36,2320,Torey Noel Turnover.,22,22
2:36,2320,Foul on Torey Noel.,22,22
2:23,2320,Foul on Zjori Bosha.,22,22
2:23,2184,Tarin Smith made Free Throw.,22,23
2:23,2184,Tarin Smith missed Free Throw.,22,23
2:23,2320,Zjori Bosha Defensive Rebound.,22,23
2:07,2320,Torey Noel missed Three Point Jumper.,22,23
2:07,2184,Duquesne Defensive Rebound.,22,23
1:47,2184,Tarin Smith made Three Point Jumper.,22,26
1:36,2184,Foul on Rene Castro-Caneddy.,22,26
1:36,2320,Torey Noel made Free Throw.,23,26
1:36,2320,Torey Noel missed Free Throw.,23,26
1:36,2184,Jordan Robinson Defensive Rebound.,23,26
1:26,2320,Foul on Josh Nzeakor.,23,26
1:26,2184,Mike Lewis II missed Free Throw.,23,26
1:26,2184,Duquesne Deadball Team Rebound.,23,26
1:26,2184,Mike Lewis II made Free Throw.,23,27
1:12,2320,James Harrison made Jumper.,25,27
0:50,2184,Rene Castro-Caneddy made Jumper.,25,29
0:41,2184,Foul on Rene Castro-Caneddy.,25,29
0:41,2320,Torey Noel missed Free Throw.,25,29
0:41,2320,Lamar Deadball Team Rebound.,25,29
0:41,2320,Torey Noel made Free Throw.,26,29
0:24,2184,Mike Lewis II Turnover.,26,29
0:23,2320,Torey Noel Steal.,26,29
0:20,2320,Torey Noel missed Layup.,26,29
0:20,2184,Kellon Taylor Defensive Rebound.,26,29
0:05,2184,Tarin Smith Turnover.,26,29
0:00,2184,End of 1st half,26,29
19:32,2184,Rene Castro-Caneddy missed Three Point Jumper.,26,29
19:32,2184,Tydus Verhoeven Offensive Rebound.,26,29
19:28,2320,Foul on T.J. Atwood.,26,29
19:28,2184,Chas Brown made Free Throw.,26,30
19:28,2184,Chas Brown missed Free Throw.,26,30
19:28,2320,Colton Weisbrod Defensive Rebound.,26,30
19:07,2320,T.J. Atwood made Three Point Jumper. Assisted by Joey Frenchwood.,29,30
18:44,2184,Rene Castro-Caneddy made Three Point Jumper. Assisted by Chas Brown.,29,33
18:23,2184,Foul on Chas Brown.,29,33
18:21,2320,James Harrison made Three Point Jumper. Assisted by Joey Frenchwood.,32,33
17:59,2320,Foul on Joey Frenchwood.,32,33
17:48,2320,Foul on Joey Frenchwood.,32,33
17:31,2184,Mike Lewis II made Three Point Jumper. Assisted by Chas Brown.,32,36
17:16,2184,Foul on Chas Brown.,32,36
17:16,2320,Zjori Bosha missed Free Throw.,32,36
17:16,2320,Lamar Deadball Team Rebound.,32,36
17:16,2320,Zjori Bosha made Free Throw.,33,36
16:52,2184,Eric Williams Jr. made Jumper.,33,38
16:26,2184,Foul on Jordan Robinson.,33,38
16:26,2320,Josh Nzeakor made Free Throw.,34,38
16:26,2320,Josh Nzeakor made Free Throw.,35,38
16:16,2184,Rene Castro-Caneddy Turnover.,35,38
16:15,2320,Torey Noel Steal.,35,38
16:12,2320,Colton Weisbrod made Layup. Assisted by Torey Noel.,37,38
16:12,2184,Foul on Tydus Verhoeven.,37,38
16:12,2320,Colton Weisbrod missed Free Throw.,37,38
16:12,2184,Jordan Robinson Defensive Rebound.,37,38
15:44,2184,Eric Williams Jr. missed Jumper.,37,38
15:44,2320,Josh Nzeakor Defensive Rebound.,37,38
15:37,2320,Torey Noel missed Layup.,37,38
15:37,2184,Jordan Robinson Defensive Rebound.,37,38
15:12,2184,Jordan Robinson made Layup.,37,40
14:50,2320,Colton Weisbrod made Layup. Assisted by James Harrison.,39,40
14:23,2184,Tarin Smith Turnover.,39,40
14:23,2184,Foul on Tarin Smith.,39,40
14:23,2184,Official TV Timeout,39,40
14:07,2320,James Harrison made Three Point Jumper.,42,40
13:44,2320,Foul on Josh Nzeakor.,42,40
13:39,2184,Rene Castro-Caneddy made Jumper.,42,42
13:16,2320,Zjori Bosha made Layup.,44,42
13:01,2184,Jordan Robinson made Jumper.,44,44
12:43,2320,James Harrison Turnover.,44,44
12:42,2184,Eric Williams Jr. Steal.,44,44
12:36,2184,Tarin Smith made Three Point Jumper. Assisted by Eric Williams Jr..,44,47
12:12,2320,Zjori Bosha Turnover.,44,47
12:00,2320,Foul on Nick Garth.,44,47
12:00,2184,Official TV Timeout,44,47
11:41,2184,Chas Brown missed Jumper.,44,47
11:41,2320,Lamar Defensive Rebound.,44,47
11:41,2184,Foul on Chas Brown.,44,47
11:25,2320,Josh Nzeakor missed Jumper.,44,47
11:25,2184,Eric James Defensive Rebound.,44,47
11:18,2184,Tarin Smith Turnover.,44,47
11:15,2320,Torey Noel Steal.,44,47
11:14,2320,Torey Noel made Layup.,46,47
10:47,2184,Jordan Robinson missed Jumper.,46,47
10:47,2320,Colton Weisbrod Defensive Rebound.,46,47
10:46,2320,Colton Weisbrod Turnover.,46,47
10:42,2184,Mike Lewis II made Jumper. Assisted by Tarin Smith.,46,49
10:35,2320,Nick Garth missed Layup.,46,49
10:35,2184,Tarin Smith Defensive Rebound.,46,49
10:21,2184,Eric James Turnover.,46,49
10:21,2184,Foul on Eric James.,46,49
10:01,2320,Zjori Bosha made Layup.,48,49
9:39,2320,Foul on Nick Garth.,48,49
9:39,2184,Tydus Verhoeven missed Free Throw.,48,49
9:39,2184,Duquesne Deadball Team Rebound.,48,49
9:39,2184,Tydus Verhoeven missed Free Throw.,48,49
9:39,2320,Josh Nzeakor Defensive Rebound.,48,49
9:12,2184,Foul on Jordan Robinson.,48,49
9:12,2320,Zjori Bosha missed Free Throw.,48,49
9:12,2320,Lamar Deadball Team Rebound.,48,49
9:12,2320,Zjori Bosha missed Free Throw.,48,49
9:12,2184,Jordan Robinson Defensive Rebound.,48,49
8:57,2184,Mike Lewis II missed Three Point Jumper.,48,49
8:57,2320,Josh Nzeakor Defensive Rebound.,48,49
8:49,2320,James Harrison missed Jumper.,48,49
8:49,2320,Colton Weisbrod Offensive Rebound.,48,49
8:46,2320,Colton Weisbrod missed Layup.,48,49
8:46,2184,Kellon Taylor Defensive Rebound.,48,49
8:20,2184,Eric Williams Jr. missed Three Point Jumper.,48,49
8:20,2320,Colton Weisbrod Defensive Rebound.,48,49
8:09,2320,Zjori Bosha missed Three Point Jumper.,48,49
8:09,2184,Jordan Robinson Defensive Rebound.,48,49
8:01,2184,Rene Castro-Caneddy made Layup.,48,51
7:52,2320,James Harrison missed Three Point Jumper.,48,51
7:52,2184,Mike Lewis II Defensive Rebound.,48,51
7:31,2320,Foul on Colton Weisbrod.,48,51
7:31,2184,Official TV Timeout,48,51
7:31,2184,Kellon Taylor made Free Throw.,48,52
7:31,2184,Kellon Taylor made Free Throw.,48,53
7:10,2184,Foul on Chas Brown.,48,53
7:10,2320,James Harrison made Free Throw.,49,53
7:10,2320,James Harrison made Free Throw.,50,53
6:52,2184,Eric Williams Jr. missed Jumper.,50,53
6:52,2184,Jordan Robinson Offensive Rebound.,50,53
6:49,2184,Jordan Robinson missed Two Point Tip Shot.,50,53
6:49,2320,Colton Weisbrod Defensive Rebound.,50,53
6:41,2320,James Harrison missed Three Point Jumper.,50,53
6:41,2184,Kellon Taylor Defensive Rebound.,50,53
6:34,2184,Mike Lewis II missed Three Point Jumper.,50,53
6:34,2184,Eric Williams Jr. Offensive Rebound.,50,53
6:34,2320,Foul on Colton Weisbrod.,50,53
6:34,2184,Eric Williams Jr. missed Free Throw.,50,53
6:34,2320,T.J. Atwood Defensive Rebound.,50,53
6:19,2320,Josh Nzeakor Turnover.,50,53
6:05,2184,Mike Lewis II missed Three Point Jumper.,50,53
6:05,2320,Josh Nzeakor Defensive Rebound.,50,53
5:51,2320,T.J. Atwood made Layup. Assisted by Joey Frenchwood.,52,53
5:33,2320,Foul on Torey Noel.,52,53
5:33,2184,Mike Lewis II made Free Throw.,52,54
5:33,2184,Mike Lewis II made Free Throw.,52,55
5:06,2320,T.J. Atwood Turnover.,52,55
5:06,2184,Kellon Taylor Steal.,52,55
5:06,2184,Kellon Taylor Turnover.,52,55
5:06,2320,T.J. Atwood Steal.,52,55
4:53,2320,Torey Noel missed Layup.,52,55
4:53,2184,Kellon Taylor Block.,52,55
4:52,2320,Lamar Offensive Rebound.,52,55
4:44,2320,Joey Frenchwood made Jumper.,54,55
4:20,2320,Foul on T.J. Atwood.,54,55
4:20,2184,Kellon Taylor missed Free Throw.,54,55
4:20,2184,Duquesne Deadball Team Rebound.,54,55
4:20,2184,Kellon Taylor missed Free Throw.,54,55
4:20,2320,James Harrison Defensive Rebound.,54,55
4:06,2320,James Harrison missed Three Point Jumper.,54,55
4:06,2320,Zjori Bosha Offensive Rebound.,54,55
3:59,2320,Joey Frenchwood made Three Point Jumper. Assisted by Torey Noel.,57,55
3:43,2320,Foul on Zjori Bosha.,57,55
3:43,2184,Official TV Timeout,57,55
3:43,2184,Jordan Robinson made Free Throw.,57,56
3:43,2184,Jordan Robinson made Free Throw.,57,57
3:16,2320,Joey Frenchwood made Layup.,59,57
3:00,2184,Rene Castro-Caneddy missed Three Point Jumper.,59,57
3:00,2320,Lamar Defensive Rebound.,59,57
2:43,2320,Zjori Bosha missed Layup.,59,57
2:43,2320,James Harrison Offensive Rebound.,59,57
2:41,2320,James Harrison made Layup.,61,57
2:32,2320,Lamar  Timeout,61,57
2:17,2184,Eric Williams Jr. missed Jumper.,61,57
2:17,2320,Joey Frenchwood Defensive Rebound.,61,57
1:54,2320,Colton Weisbrod made Layup.,63,57
1:54,2184,Foul on Eric Williams Jr..,63,57
1:54,2320,Colton Weisbrod made Free Throw.,64,57
1:32,2184,Mike Lewis II made Layup.,64,59
1:13,2320,Torey Noel Turnover.,64,59
1:13,2184,Mike Lewis II Steal.,64,59
0:57,2184,Mike Lewis II made Three Point Jumper. Assisted by Rene Castro-Caneddy.,64,62
0:29,2320,Joey Frenchwood missed Three Point Jumper.,64,62
0:29,2184,Duquesne Defensive Rebound.,64,62
0:23,2320,Lamar  Timeout,64,62
0:11,2184,Duquesne  Timeout,64,62
0:09,2184,Mike Lewis II made Three Point Jumper. Assisted by Tarin Smith.,64,65
0:01,2320,Joey Frenchwood missed Three Point Jumper.,64,65
0:00,2184,Duquesne Deadball Team Rebound.,64,65
0:00,2184,End of Game,64,65
