Texas College,Error,McNeese,2377
5:44,2377,James Harvey made Three Point Jumper. Assisted by Quatarrius Wilson.,20,33
5:30,-1,Nicolas Castillon missed Jumper.,20,33
5:30,-1,Dzifa Mallet Offensive Rebound.,20,33
5:26,-1,Jacorian Miller missed Three Point Jumper.,20,33
5:26,2377,Quatarrius Wilson Defensive Rebound.,20,33
5:19,-1,Foul on Patrick Petty.,20,33
5:19,2377,Jarren Greenwood made Free Throw.,20,34
5:19,2377,Jarren Greenwood made Free Throw.,20,35
5:03,2377,Foul on Kalob Ledoux.,20,35
5:03,-1,James Martin missed Free Throw.,20,35
5:03,-1,Texas College Deadball Team Rebound.,20,35
5:03,-1,James Martin missed Free Throw.,20,35
5:03,2377,Quatarrius Wilson Defensive Rebound.,20,35
4:56,2377,Kalob Ledoux missed Layup.,20,35
4:56,-1,Nathaniel Francis Defensive Rebound.,20,35
4:42,2377,Foul on Quatarrius Wilson.,20,35
4:42,-1,James Martin made Free Throw.,21,35
4:42,-1,James Martin missed Free Throw.,21,35
4:42,2377,Adrian Brown Defensive Rebound.,21,35
4:29,2377,Kalob Ledoux missed Jumper.,21,35
4:29,-1,Robert Washington Block.,21,35
4:27,-1,Patrick Petty Defensive Rebound.,21,35
4:26,-1,Robert Washington Turnover.,21,35
4:26,2377,Adrian Brown Steal.,21,35
4:26,-1,Foul on Nathaniel Francis.,21,35
4:26,2377,Adrian Brown made Free Throw.,21,36
4:26,2377,Adrian Brown made Free Throw.,21,37
4:11,-1,James Martin made Dunk.,23,37
3:59,2377,Adrian Brown missed Layup.,23,37
3:59,-1,James Martin Defensive Rebound.,23,37
3:48,-1,James Martin made Jumper.,25,37
3:21,2377,Jarren Greenwood missed Jumper.,25,37
3:21,-1,James Martin Defensive Rebound.,25,37
3:06,-1,Robert Washington missed Jumper.,25,37
3:06,2377,James Harvey Defensive Rebound.,25,37
3:02,2377,Official TV Timeout,25,37
3:00,2377,Jacob Ledoux missed Three Point Jumper.,25,37
3:00,2377,Demarco Owens Offensive Rebound.,25,37
2:58,-1,Foul on Patrick Petty.,25,37
2:58,2377,Demarco Owens made Free Throw.,25,38
2:58,2377,Demarco Owens made Free Throw.,25,39
2:45,-1,Nathaniel Francis missed Jumper.,25,39
2:45,2377,Demarco Owens Defensive Rebound.,25,39
2:37,-1,Foul on Michael Walker.,25,39
2:37,2377,James Harvey made Free Throw.,25,40
2:37,2377,James Harvey made Free Throw.,25,41
2:37,2377,James Harvey made Free Throw.,25,42
2:17,-1,James Martin missed Three Point Jumper.,25,42
2:17,2377,Jarren Greenwood Defensive Rebound.,25,42
2:09,2377,LaBarrius Hill made Layup.,25,44
1:54,-1,Nathaniel Francis made Jumper.,27,44
1:33,2377,Demarco Owens missed Layup.,27,44
1:33,-1,James Martin Defensive Rebound.,27,44
1:28,-1,Patrick Petty made Layup. Assisted by James Martin.,29,44
1:02,2377,Demarco Owens missed Jumper.,29,44
1:02,-1,James Martin Defensive Rebound.,29,44
0:42,-1,Nathaniel Francis missed Three Point Jumper.,29,44
0:42,2377,LaBarrius Hill Defensive Rebound.,29,44
0:13,2377,James Harvey Turnover.,29,44
0:12,-1,James Martin Steal.,29,44
0:06,-1,James Martin Turnover.,29,44
0:06,2377,LaBarrius Hill Steal.,29,44
0:06,2377,Jacob Ledoux missed Three Point Jumper.,29,44
0:06,-1,James Martin Defensive Rebound.,29,44
0:06,2377,Foul on Demarco Owens.,29,44
0:06,-1,James Martin missed Free Throw.,29,44
0:06,-1,James Martin Offensive Rebound.,29,44
0:00,-1,Nathaniel Francis missed Three Point Jumper.,29,44
0:00,-1,Robert Washington Offensive Rebound.,29,44
0:00,2377,End of 1st half,29,44
19:40,-1,Dzifa Mallet missed Layup.,29,44
19:40,2377,Jarren Greenwood Defensive Rebound.,29,44
19:28,2377,LaBarrius Hill made Free Throw.,29,45
19:28,2377,LaBarrius Hill missed Free Throw.,29,45
19:28,-1,Dzifa Mallet Defensive Rebound.,29,45
19:13,-1,Patrick Petty made Layup.,31,45
18:51,2377,Quatarrius Wilson made Layup.,31,47
18:44,-1,Dzifa Mallet made Layup. Assisted by Nathaniel Francis.,33,47
18:32,2377,Jarren Greenwood made Jumper.,33,49
18:22,-1,Cedric Carson made Layup.,35,49
17:59,2377,Kalob Ledoux missed Jumper.,35,49
17:59,-1,Patrick Petty Defensive Rebound.,35,49
17:53,-1,Patrick Petty missed Layup.,35,49
17:53,-1,James Martin Offensive Rebound.,35,49
17:46,-1,James Martin made Dunk.,37,49
17:37,-1,Foul on Dzifa Mallet.,37,49
17:31,-1,Foul on James Martin.,37,49
17:30,2377,Quatarrius Wilson made Free Throw.,37,50
17:30,2377,Quatarrius Wilson made Free Throw.,37,51
17:23,-1,Patrick Petty missed Layup.,37,51
17:23,2377,LaBarrius Hill Defensive Rebound.,37,51
17:09,2377,Kalob Ledoux missed Jumper.,37,51
17:09,2377,Quatarrius Wilson Offensive Rebound.,37,51
17:04,2377,LaBarrius Hill made Jumper. Assisted by Quatarrius Wilson.,37,53
16:50,2377,Foul on LaBarrius Hill.,37,53
16:33,-1,James Martin made Layup.,39,53
16:23,2377,Kalob Ledoux made Three Point Jumper. Assisted by James Harvey.,39,56
16:02,-1,Nicolas Castillon missed Three Point Jumper.,39,56
16:02,2377,Quatarrius Wilson Defensive Rebound.,39,56
15:52,2377,Quatarrius Wilson missed Three Point Jumper.,39,56
15:52,-1,Patrick Petty Defensive Rebound.,39,56
15:45,-1,Patrick Petty Turnover.,39,56
15:45,2377,Official TV Timeout,39,56
15:23,2377,Quatarrius Wilson made Layup.,39,58
15:11,-1,Cedric Carson missed Three Point Jumper.,39,58
15:11,2377,Kalob Ledoux Defensive Rebound.,39,58
15:05,2377,Quatarrius Wilson Turnover.,39,58
14:54,-1,James Martin missed Jumper.,39,58
14:54,-1,Jacorian Miller Offensive Rebound.,39,58
14:47,-1,Patrick Petty missed Three Point Jumper.,39,58
14:47,-1,Patrick Petty Offensive Rebound.,39,58
14:45,2377,Foul on LaBarrius Hill.,39,58
14:45,-1,Patrick Petty made Free Throw.,40,58
14:45,-1,Patrick Petty made Free Throw.,41,58
14:34,-1,Nicolas Castillon Turnover.,41,58
14:26,-1,Nathaniel Francis made Layup.,43,58
13:56,2377,Jarren Greenwood missed Three Point Jumper.,43,58
13:56,2377,Quatarrius Wilson Offensive Rebound.,43,58
13:44,2377,Kalob Ledoux made Three Point Jumper.,43,61
13:34,2377,Foul on Kalob Ledoux.,43,61
13:32,-1,James Martin Turnover.,43,61
13:22,2377,Quatarrius Wilson Turnover.,43,61
13:21,-1,Patrick Petty Steal.,43,61
13:17,2377,Foul on Quatarrius Wilson.,43,61
13:17,-1,James Martin made Free Throw.,44,61
13:17,-1,James Martin made Free Throw.,45,61
12:54,2377,Adrian Brown missed Jumper.,45,61
12:54,-1,Patrick Petty Defensive Rebound.,45,61
12:48,-1,Texas College  Timeout,45,61
12:38,-1,James Martin missed Layup.,45,61
12:38,2377,Quatarrius Wilson Defensive Rebound.,45,61
12:30,2377,Kalob Ledoux made Three Point Jumper. Assisted by Quatarrius Wilson.,45,64
12:07,-1,James Martin missed Jumper.,45,64
12:07,2377,Kalob Ledoux Defensive Rebound.,45,64
11:48,2377,Quatarrius Wilson made Layup.,45,66
11:48,2377,Official TV Timeout,45,66
11:32,-1,Patrick Petty made Layup.,47,66
11:16,2377,Kalob Ledoux missed Three Point Jumper.,47,66
11:16,2377,McNeese Offensive Rebound.,47,66
11:03,2377,Jacob Ledoux Turnover.,47,66
11:02,-1,Nathaniel Francis Steal.,47,66
11:00,-1,Nathaniel Francis made Layup.,49,66
10:53,2377,Jarren Greenwood missed Layup.,49,66
10:53,2377,Kalob Ledoux Offensive Rebound.,49,66
10:37,2377,Kalob Ledoux missed Three Point Jumper.,49,66
10:37,-1,Nicolas Castillon Defensive Rebound.,49,66
10:27,-1,Nicolas Castillon made Three Point Jumper. Assisted by Patrick Petty.,52,66
10:09,-1,Foul on Nicolas Castillon.,52,66
10:09,2377,Quatarrius Wilson made Free Throw.,52,67
10:09,2377,Quatarrius Wilson made Free Throw.,52,68
9:57,2377,Richard Laku missed Three Point Jumper.,52,68
9:57,-1,James Martin Defensive Rebound.,52,68
9:48,-1,Patrick Petty made Jumper.,54,68
9:31,2377,Jacob Ledoux made Layup.,54,70
9:18,2377,Foul on Jacob Ledoux.,54,70
9:09,-1,Patrick Petty Turnover.,54,70
9:07,2377,Quatarrius Wilson Steal.,54,70
9:05,2377,LaBarrius Hill made Layup.,54,72
8:45,-1,Nathaniel Francis made Layup.,56,72
8:33,2377,Jacob Ledoux made Three Point Jumper. Assisted by LaBarrius Hill.,56,75
8:19,-1,Nathaniel Francis missed Jumper.,56,75
8:19,2377,Quatarrius Wilson Defensive Rebound.,56,75
8:12,2377,Jacob Ledoux missed Three Point Jumper.,56,75
8:12,-1,Nathaniel Francis Defensive Rebound.,56,75
8:04,-1,Patrick Petty missed Jumper.,56,75
8:04,2377,Quatarrius Wilson Defensive Rebound.,56,75
7:59,2377,Official TV Timeout,56,75
7:47,-1,Nicolas Castillon missed Jumper.,56,75
7:47,2377,Jacob Ledoux Defensive Rebound.,56,75
7:31,2377,Richard Laku missed Three Point Jumper.,56,75
7:31,2377,James Harvey Offensive Rebound.,56,75
7:19,2377,Foul on LaBarrius Hill.,56,75
7:19,2377,LaBarrius Hill Turnover.,56,75
7:05,-1,Jaren Murphy missed Three Point Jumper.,56,75
7:05,2377,Jacob Ledoux Defensive Rebound.,56,75
6:57,2377,Jacob Ledoux made Layup.,56,77
6:42,-1,Nathaniel Francis Turnover.,56,77
6:28,2377,Jarren Greenwood missed Three Point Jumper.,56,77
6:28,-1,Texas College Defensive Rebound.,56,77
6:01,-1,Nicolas Castillon Turnover.,56,77
5:42,2377,Jarren Greenwood missed Layup.,56,77
5:42,2377,Jarren Greenwood Offensive Rebound.,56,77
5:38,2377,Jarren Greenwood made Two Point Tip Shot.,56,79
5:25,-1,Robert Washington made Layup.,58,79
5:25,2377,Foul on Richard Laku.,58,79
5:25,-1,Robert Washington missed Free Throw.,58,79
5:25,2377,Quatarrius Wilson Defensive Rebound.,58,79
5:18,2377,James Harvey Turnover.,58,79
5:16,-1,Robert Washington Steal.,58,79
5:09,-1,Shannon Bailey Turnover.,58,79
5:07,2377,Jacob Ledoux Steal.,58,79
5:05,2377,Jacob Ledoux Turnover.,58,79
5:04,-1,Nicolas Castillon Steal.,58,79
5:02,2377,Foul on James Harvey.,58,79
5:02,-1,Nicolas Castillon made Free Throw.,59,79
5:02,-1,Nicolas Castillon made Free Throw.,60,79
4:45,-1,Foul on Robert Washington.,60,79
4:39,-1,Foul on Dzifa Mallet.,60,79
4:25,2377,Quatarrius Wilson missed Layup.,60,79
4:25,-1,Nathaniel Francis Defensive Rebound.,60,79
4:08,-1,Nathaniel Francis missed Three Point Jumper.,60,79
4:08,-1,Robert Washington Offensive Rebound.,60,79
4:00,-1,Shannon Bailey missed Three Point Jumper.,60,79
4:00,2377,James Harvey Defensive Rebound.,60,79
3:43,-1,Foul on Nathaniel Francis.,60,79
3:43,2377,Official TV Timeout,60,79
3:43,2377,Quatarrius Wilson missed Free Throw.,60,79
3:43,2377,McNeese Deadball Team Rebound.,60,79
3:19,-1,James Martin made Layup. Assisted by Robert Washington.,62,79
3:10,-1,Foul on Nicolas Castillon.,62,79
3:10,2377,Quatarrius Wilson made Free Throw.,62,80
3:10,2377,Quatarrius Wilson made Free Throw.,62,81
2:40,-1,Nathaniel Francis missed Three Point Jumper.,62,81
2:40,2377,Kelvin Henry Jr. Defensive Rebound.,62,81
2:32,2377,Jacob Ledoux made Layup.,62,83
2:23,-1,Patrick Petty missed Layup.,62,83
2:23,-1,James Martin Offensive Rebound.,62,83
2:20,-1,James Martin made Dunk.,64,83
2:09,2377,Jacob Ledoux Turnover.,64,83
2:08,-1,Robert Washington Steal.,64,83
2:06,-1,Robert Washington made Dunk.,66,83
1:49,2377,Kelvin Henry Jr. Turnover.,66,83
1:49,-1,Nathaniel Francis Steal.,66,83
1:36,-1,Patrick Petty missed Three Point Jumper.,66,83
1:36,2377,Demarco Owens Defensive Rebound.,66,83
1:28,-1,Technical Foul on Texas College.,66,83
1:28,2377,James Harvey missed Free Throw.,66,83
1:23,2377,Myles Hutchinson Turnover.,66,83
1:22,-1,Robert Washington Steal.,66,83
1:20,-1,James Martin Turnover.,66,83
1:18,2377,Kelvin Henry Jr. Steal.,66,83
1:14,2377,Kelvin Henry Jr. missed Layup.,66,83
1:14,-1,Robert Washington Defensive Rebound.,66,83
0:59,2377,Foul on Fred Haywood.,66,83
0:59,-1,James Martin made Free Throw.,67,83
0:59,-1,James Martin missed Free Throw.,67,83
0:59,2377,James Harvey Defensive Rebound.,67,83
0:39,2377,Myles Hutchinson missed Three Point Jumper.,67,83
0:39,2377,Demarco Owens Offensive Rebound.,67,83
0:34,2377,Demarco Owens missed Three Point Jumper.,67,83
0:34,2377,Myles Hutchinson Offensive Rebound.,67,83
0:31,2377,Myles Hutchinson Turnover.,67,83
0:22,2377,Foul on Kelvin Henry Jr..,67,83
0:22,-1,James Martin missed Free Throw.,67,83
0:22,-1,Texas College Deadball Team Rebound.,67,83
0:22,-1,James Martin made Free Throw.,68,83
0:22,-1,Texas College  Timeout,68,83
0:10,-1,Foul on Shannon Bailey.,68,83
0:10,2377,Demarco Owens missed Free Throw.,68,83
0:10,2377,McNeese Deadball Team Rebound.,68,83
0:10,2377,Demarco Owens made Free Throw.,68,84
0:03,-1,Chris Kendricks missed Three Point Jumper.,68,84
0:03,2377,Fred Haywood Defensive Rebound.,68,84
0:00,2377,End of Game,68,84
