San Diego Christian,Error,UC Santa Barbara,2540
8:48,2540,Leland King II missed Free Throw.,14,32
8:48,2540,UC Santa Barbara Deadball Team Rebound.,14,32
8:48,2540,Leland King II made Free Throw.,14,33
8:21,3096,Derek Novsek missed Three Point Jumper.,14,33
8:21,2540,Jalen Canty Defensive Rebound.,14,33
8:06,2540,Brandon Davis made Layup.,14,35
7:47,3096,Derek Novsek missed Layup.,14,35
7:47,2540,Jalen Canty Defensive Rebound.,14,35
7:41,2540,Brandon Davis Turnover.,14,35
7:40,3096,Hayden Fredrick Steal.,14,35
7:34,3096,Derek Novsek missed Layup.,14,35
7:34,2540,Jalen Canty Block.,14,35
7:32,2540,Max Heidegger Defensive Rebound.,14,35
7:27,2540,Max Heidegger made Layup.,14,37
7:26,3096,San Diego Christian College  Timeout,14,37
7:26,2540,Official TV Timeout,14,37
7:15,3096,Nick Crankshaw missed Three Point Jumper.,14,37
7:15,3096,Derek Novsek Offensive Rebound.,14,37
7:04,3096,Hayden Fredrick made Layup. Assisted by Derek Novsek.,16,37
6:42,2540,Christian Terrell Turnover.,16,37
6:41,3096,Anthony Gonzalez Steal.,16,37
6:40,3096,San Diego Christian College  Timeout,16,37
6:27,3096,Hayden Fredrick made Jumper.,18,37
6:07,2540,Maxwell Kupchak Turnover.,18,37
6:06,3096,Anthony Gonzalez Steal.,18,37
6:01,3096,Hayden Fredrick missed Layup.,18,37
6:01,2540,Ami Lakoju Defensive Rebound.,18,37
5:47,2540,Foul on Ami Lakoju.,18,37
5:47,2540,Ami Lakoju Turnover.,18,37
5:37,3096,Anthony Gonzalez made Three Point Jumper. Assisted by Derek Novsek.,21,37
5:23,2540,Max Heidegger missed Three Point Jumper.,21,37
5:23,3096,Anthony Gonzalez Defensive Rebound.,21,37
5:13,3096,Derek Novsek made Three Point Jumper. Assisted by Nick Crankshaw.,24,37
4:53,2540,Brandon Davis made Layup.,24,39
4:42,3096,Anthony Gonzalez made Jumper.,26,39
4:22,2540,Max Heidegger missed Jumper.,26,39
4:22,2540,Max Heidegger Offensive Rebound.,26,39
4:20,2540,Max Heidegger missed Layup.,26,39
4:20,2540,Max Heidegger Offensive Rebound.,26,39
4:17,2540,Max Heidegger made Layup.,26,41
3:48,2540,Foul on Brandon Davis.,26,41
3:48,2540,Official TV Timeout,26,41
3:48,3096,Hayden Fredrick made Free Throw.,27,41
3:48,3096,Hayden Fredrick missed Free Throw.,27,41
3:48,3096,San Diego Christian College Deadball Team Rebound.,27,41
3:48,3096,Hayden Fredrick made Free Throw.,28,41
3:38,2540,Max Heidegger Turnover.,28,41
3:36,3096,Shawn Stanley Steal.,28,41
3:28,3096,Hayden Fredrick missed Three Point Jumper.,28,41
3:28,2540,Alex Hart Defensive Rebound.,28,41
3:07,2540,Max Heidegger made Layup.,28,43
2:40,3096,Hayden Fredrick Turnover.,28,43
2:29,2540,Gabe Vincent missed Three Point Jumper.,28,43
2:29,3096,Hayden Fredrick Defensive Rebound.,28,43
2:17,3096,Nick Crankshaw missed Layup.,28,43
2:17,2540,Leland King II Defensive Rebound.,28,43
2:11,2540,Brandon Davis made Layup. Assisted by Leland King II.,28,45
1:52,3096,Anthony Gonzalez made Layup.,30,45
1:38,2540,Max Heidegger made Layup.,30,47
1:14,3096,Anthony Gonzalez made Three Point Jumper. Assisted by Nick Crankshaw.,33,47
1:11,2540,UC Santa Barbara  Timeout,33,47
0:48,2540,Foul on Max Heidegger.,33,47
0:48,2540,Max Heidegger Turnover.,33,47
0:29,3096,Derek Novsek missed Jumper.,33,47
0:29,2540,Jalen Canty Defensive Rebound.,33,47
0:02,2540,Max Heidegger made Three Point Jumper. Assisted by Gabe Vincent.,33,50
0:00,2540,End of 1st half,33,50
19:34,3096,Rovan Halloway missed Layup.,33,50
19:34,2540,Leland King II Defensive Rebound.,33,50
19:16,2540,Jalen Canty made Layup. Assisted by Christian Terrell.,33,52
19:01,3096,Derek Novsek missed Jumper.,33,52
19:01,2540,Gabe Vincent Defensive Rebound.,33,52
18:58,3096,Foul on Rovan Halloway.,33,52
18:50,2540,Jalen Canty made Layup. Assisted by Christian Terrell.,33,54
18:35,2540,Foul on Max Heidegger.,33,54
18:29,3096,Hayden Fredrick missed Jumper.,33,54
18:29,2540,Christian Terrell Block.,33,54
18:27,2540,Christian Terrell Defensive Rebound.,33,54
18:26,3096,Foul on Hayden Fredrick.,33,54
18:04,2540,Leland King II missed Layup.,33,54
18:04,2540,Leland King II Offensive Rebound.,33,54
18:02,2540,Leland King II made Layup.,33,56
17:48,3096,Anthony Gonzalez missed Three Point Jumper.,33,56
17:48,2540,Christian Terrell Defensive Rebound.,33,56
17:33,2540,Gabe Vincent missed Layup.,33,56
17:33,2540,Jalen Canty Offensive Rebound.,33,56
17:32,2540,Jalen Canty missed Layup.,33,56
17:31,2540,Jalen Canty Offensive Rebound.,33,56
17:29,2540,Jalen Canty missed Free Throw.,33,56
17:29,2540,UC Santa Barbara Deadball Team Rebound.,33,56
17:29,2540,Jalen Canty made Free Throw.,33,57
17:05,3096,Anthony Gonzalez missed Layup.,33,57
17:05,2540,Leland King II Defensive Rebound.,33,57
16:52,2540,Leland King II made Three Point Jumper. Assisted by Christian Terrell.,33,60
16:36,3096,Anthony Gonzalez missed Jumper.,33,60
16:36,2540,Ami Lakoju Defensive Rebound.,33,60
16:21,2540,Gabe Vincent missed Three Point Jumper.,33,60
16:21,2540,Ami Lakoju Offensive Rebound.,33,60
16:17,2540,Ami Lakoju made Layup.,33,62
15:56,3096,Anthony Gonzalez made Three Point Jumper. Assisted by Nick Crankshaw.,36,62
15:37,2540,Ami Lakoju made Layup. Assisted by Gabe Vincent.,36,64
15:28,3096,Hayden Fredrick missed Layup.,36,64
15:28,2540,Christian Terrell Defensive Rebound.,36,64
15:11,3096,Foul on Anthony Gonzalez.,36,64
15:11,2540,Official TV Timeout,36,64
15:11,2540,Leland King II made Free Throw.,36,65
15:11,2540,Leland King II made Free Throw.,36,66
14:44,3096,Nick Crankshaw Turnover.,36,66
14:40,2540,Max Heidegger Steal.,36,66
14:37,3096,Foul on Kyle Corbett.,36,66
14:37,2540,Ami Lakoju made Free Throw.,36,67
14:37,2540,Ami Lakoju made Free Throw.,36,68
14:28,3096,Derek Novsek made Layup.,38,68
14:28,2540,Foul on Brandon Davis.,38,68
14:28,3096,Derek Novsek made Free Throw.,39,68
14:20,2540,Max Heidegger Turnover.,39,68
14:18,3096,Nick Crankshaw Steal.,39,68
14:07,3096,Caeden Williams missed Layup.,39,68
14:07,2540,Maxwell Kupchak Block.,39,68
14:03,2540,Sam Walters Defensive Rebound.,39,68
14:02,3096,Foul on Caeden Williams.,39,68
13:55,2540,Brandon Davis Turnover.,39,68
13:53,3096,Nick Crankshaw Steal.,39,68
13:50,3096,Derek Novsek made Three Point Jumper. Assisted by Caeden Williams.,42,68
13:39,2540,Maxwell Kupchak missed Layup.,42,68
13:39,3096,Kyle Corbett Defensive Rebound.,42,68
13:26,3096,Kyle Corbett made Layup. Assisted by Anthony Gonzalez.,44,68
13:04,2540,Maxwell Kupchak missed Jumper.,44,68
13:04,2540,Ami Lakoju Offensive Rebound.,44,68
13:00,2540,Ami Lakoju made Dunk.,44,70
12:46,3096,Foul on Kyle Corbett.,44,70
12:46,3096,Kyle Corbett Turnover.,44,70
12:35,2540,Sam Walters missed Three Point Jumper.,44,70
12:35,3096,Derek Novsek Defensive Rebound.,44,70
12:23,3096,Nick Crankshaw Turnover.,44,70
12:06,2540,Ami Lakoju made Layup. Assisted by Sam Walters.,44,72
11:50,3096,Derek Novsek Turnover.,44,72
11:49,2540,Ami Lakoju Steal.,44,72
11:43,3096,Foul on Derek Novsek.,44,72
11:43,2540,Maxwell Kupchak missed Free Throw.,44,72
11:43,2540,UC Santa Barbara Deadball Team Rebound.,44,72
11:43,2540,Maxwell Kupchak made Free Throw.,44,73
11:28,3096,Caeden Williams Turnover.,44,73
11:27,2540,Christian Terrell Steal.,44,73
11:24,2540,Christian Terrell Turnover.,44,73
11:20,3096,Caeden Williams Steal.,44,73
11:18,3096,Caeden Williams Turnover.,44,73
11:17,2540,Sam Walters Steal.,44,73
11:09,2540,Foul on Christian Terrell.,44,73
11:09,2540,Christian Terrell Turnover.,44,73
10:58,3096,Anthony Gonzalez missed Layup.,44,73
10:58,2540,Sam Walters Defensive Rebound.,44,73
10:45,2540,Maxwell Kupchak made Layup. Assisted by Brandon Davis.,44,75
10:27,3096,Nick Crankshaw missed Jumper.,44,75
10:27,2540,Alex Hart Defensive Rebound.,44,75
10:17,2540,Maxwell Kupchak missed Jumper.,44,75
10:17,3096,Anthony Gonzalez Defensive Rebound.,44,75
10:05,3096,Caeden Williams missed Jumper.,44,75
10:05,2540,Alex Hart Defensive Rebound.,44,75
9:50,2540,Brandon Davis made Layup.,44,77
9:29,3096,Hayden Fredrick missed Three Point Jumper.,44,77
9:29,3096,Rovan Halloway Offensive Rebound.,44,77
9:23,3096,Rovan Halloway missed Layup.,44,77
9:23,2540,Alex Hart Defensive Rebound.,44,77
9:17,2540,Foul on Brandon Davis.,44,77
9:17,2540,Brandon Davis Turnover.,44,77
9:16,2540,Foul on Brandon Davis.,44,77
8:55,2540,Foul on Alex Hart.,44,77
8:50,3096,Derek Novsek missed Three Point Jumper.,44,77
8:50,3096,Rovan Halloway Offensive Rebound.,44,77
8:45,3096,Rovan Halloway made Layup.,46,77
8:23,2540,Alex Hart missed Layup.,46,77
8:23,2540,Sam Walters Offensive Rebound.,46,77
7:59,2540,J.D. Slajchert Turnover.,46,77
7:49,3096,Hayden Fredrick missed Three Point Jumper.,46,77
7:49,2540,Alex Hart Defensive Rebound.,46,77
7:36,2540,Alex Hart made Layup. Assisted by Sam Walters.,46,79
7:27,3096,Derek Novsek missed Layup.,46,79
7:27,2540,Sam Walters Defensive Rebound.,46,79
7:15,3096,Foul on Rovan Halloway.,46,79
7:15,2540,Official TV Timeout,46,79
7:15,2540,Alex Hart made Free Throw.,46,80
7:15,2540,Alex Hart made Free Throw.,46,81
6:57,3096,Hayden Fredrick made Jumper.,48,81
6:41,2540,Sam Walters Turnover.,48,81
6:40,3096,Rovan Halloway Steal.,48,81
6:32,3096,Anthony Gonzalez missed Three Point Jumper.,48,81
6:32,2540,Ami Lakoju Defensive Rebound.,48,81
6:16,2540,Sam Walters missed Three Point Jumper.,48,81
6:16,3096,Hayden Fredrick Defensive Rebound.,48,81
5:52,3096,Dominique Watkins missed Three Point Jumper.,48,81
5:52,2540,Maxwell Kupchak Defensive Rebound.,48,81
5:43,2540,J.D. Slajchert missed Jumper.,48,81
5:43,3096,Anthony Gonzalez Defensive Rebound.,48,81
5:25,3096,Hayden Fredrick Turnover.,48,81
5:24,2540,Sam Walters Steal.,48,81
5:20,2540,Sam Walters Turnover.,48,81
5:19,3096,Derek Novsek Steal.,48,81
5:15,3096,Derek Novsek made Layup.,50,81
4:58,2540,Ami Lakoju missed Jumper.,50,81
4:58,2540,Maxwell Kupchak Offensive Rebound.,50,81
4:54,2540,Maxwell Kupchak made Layup.,50,83
4:42,3096,Derek Novsek missed Jumper.,50,83
4:42,2540,Brandon Davis Defensive Rebound.,50,83
4:32,3096,Foul on Rovan Halloway.,50,83
4:32,2540,Brandon Davis missed Free Throw.,50,83
4:32,2540,UC Santa Barbara Deadball Team Rebound.,50,83
4:32,2540,Brandon Davis made Free Throw.,50,84
4:17,3096,Nick Crankshaw made Three Point Jumper. Assisted by Hayden Fredrick.,53,84
3:54,2540,Brandon Davis missed Jumper.,53,84
3:54,3096,Nick Crankshaw Defensive Rebound.,53,84
3:43,3096,Hayden Fredrick made Three Point Jumper. Assisted by Nick Crankshaw.,56,84
3:20,2540,Sam Walters Turnover.,56,84
3:18,3096,Nick Crankshaw Steal.,56,84
3:14,3096,Derek Novsek made Layup. Assisted by Nick Crankshaw.,58,84
3:13,2540,Foul on Alex Hart.,58,84
3:13,3096,Derek Novsek missed Free Throw.,58,84
3:13,2540,J.D. Slajchert Defensive Rebound.,58,84
2:52,2540,Sam Walters made Three Point Jumper.,58,87
2:33,3096,Derek Novsek missed Jumper.,58,87
2:33,2540,Sam Walters Defensive Rebound.,58,87
2:19,2540,J.D. Slajchert missed Three Point Jumper.,58,87
2:19,3096,Hayden Fredrick Defensive Rebound.,58,87
2:10,3096,Caeden Williams missed Three Point Jumper.,58,87
2:10,2540,Maxwell Kupchak Defensive Rebound.,58,87
1:51,2540,Brandon Davis missed Layup.,58,87
1:51,3096,Derek Novsek Defensive Rebound.,58,87
1:41,3096,Hayden Fredrick made Layup. Assisted by Nick Crankshaw.,60,87
1:19,2540,J.D. Slajchert missed Jumper.,60,87
1:19,3096,Kyle Corbett Defensive Rebound.,60,87
1:07,3096,Caeden Williams made Three Point Jumper. Assisted by Hayden Fredrick.,63,87
0:44,2540,Maxwell Kupchak missed Jumper.,63,87
0:44,3096,Derek Novsek Defensive Rebound.,63,87
0:36,3096,Hayden Fredrick made Three Point Jumper. Assisted by Caeden Williams.,66,87
0:06,3096,Foul on Caeden Williams.,66,87
0:06,2540,Brandon Davis missed Free Throw.,66,87
0:06,2540,UC Santa Barbara Deadball Team Rebound.,66,87
0:06,2540,Brandon Davis missed Free Throw.,66,87
0:06,3096,Nick Crankshaw Defensive Rebound.,66,87
0:01,3096,Kyle Corbett made Three Point Jumper. Assisted by Derek Novsek.,69,87
0:00,2540,End of Game,69,87
