Lewis,Error,Northwestern,77
8:51,-1,Cristen Wilson missed Jumper.,10,18
8:51,77,Aaron Falzon Defensive Rebound.,10,18
8:47,77,Scottie Lindsey missed Three Point Jumper.,10,18
8:47,-1,Jake Reinhart Defensive Rebound.,10,18
8:43,77,Foul on Barret Benson.,10,18
8:26,-1,Jake Reinhart missed Three Point Jumper.,10,18
8:26,77,Scottie Lindsey Defensive Rebound.,10,18
8:19,77,Scottie Lindsey Turnover.,10,18
8:01,77,Foul on Barret Benson.,10,18
7:56,-1,Adam Pischke missed Jumper.,10,18
7:56,77,Anthony Gaines Defensive Rebound.,10,18
7:49,77,Scottie Lindsey made Three Point Jumper. Assisted by Anthony Gaines.,10,21
7:47,-1,Foul on Cristen Wilson.,10,21
7:47,77,Official TV Timeout,10,21
7:47,77,Dererk Pardon made Free Throw.,10,22
7:47,77,Dererk Pardon made Free Throw.,10,23
7:33,-1,Jake Reinhart Turnover.,10,23
7:32,77,Scottie Lindsey Steal.,10,23
7:29,77,Anthony Gaines missed Dunk.,10,23
7:29,77,Scottie Lindsey Offensive Rebound.,10,23
7:26,77,Scottie Lindsey made Layup.,10,25
7:06,-1,Nick Norton made Layup.,12,25
6:44,77,Dererk Pardon made Layup. Assisted by Bryant McIntosh.,12,27
6:22,-1,Nick Norton missed Three Point Jumper.,12,27
6:22,-1,Cristen Wilson Offensive Rebound.,12,27
6:17,-1,Foul on Cristen Wilson.,12,27
6:17,-1,Cristen Wilson Turnover.,12,27
6:06,77,Bryant McIntosh made Three Point Jumper. Assisted by Gavin Skelly.,12,30
6:03,-1,Lewis  Timeout,12,30
5:51,77,Foul on Jordan Ash.,12,30
5:51,-1,Nick Norton missed Free Throw.,12,30
5:51,77,Bryant McIntosh Defensive Rebound.,12,30
5:44,77,Dererk Pardon made Dunk. Assisted by Bryant McIntosh.,12,32
5:33,77,Foul on Scottie Lindsey.,12,32
5:33,-1,Dre Bell made Free Throw.,13,32
5:33,-1,Dre Bell made Free Throw.,14,32
5:28,77,Foul on Dererk Pardon.,14,32
5:28,77,Dererk Pardon Turnover.,14,32
5:15,-1,Brandon McCombs Turnover.,14,32
5:02,77,Bryant McIntosh made Three Point Jumper. Assisted by Isiah Brown.,14,35
4:52,-1,Foul on Adam Pischke.,14,35
4:52,-1,Adam Pischke Turnover.,14,35
4:34,77,Bryant McIntosh missed Three Point Jumper.,14,35
4:34,-1,Lewis Deadball Team Rebound.,14,35
4:33,77,Foul on Isiah Brown.,14,35
4:33,-1,Adam Pischke made Free Throw.,15,35
4:33,-1,Adam Pischke made Free Throw.,16,35
4:15,77,Gavin Skelly made Jumper. Assisted by Isiah Brown.,16,37
3:59,-1,Adam Pischke missed Layup.,16,37
3:59,77,Barret Benson Block.,16,37
3:57,77,Gavin Skelly Defensive Rebound.,16,37
3:54,77,Isiah Brown made Jumper. Assisted by Bryant McIntosh.,16,39
3:25,-1,Nick Norton Turnover.,16,39
3:25,77,Official TV Timeout,16,39
3:05,77,Bryant McIntosh made Three Point Jumper. Assisted by Isiah Brown.,16,42
3:05,-1,Foul on Adam Pischke.,16,42
3:05,77,Barret Benson made Free Throw.,16,43
3:05,77,Barret Benson made Free Throw.,16,44
2:49,-1,Josh Niego missed Three Point Jumper.,16,44
2:49,77,Isiah Brown Defensive Rebound.,16,44
2:40,77,Gavin Skelly Turnover.,16,44
2:30,-1,Delaney Blaylock missed Layup.,16,44
2:30,77,Barret Benson Block.,16,44
2:29,77,Jordan Ash Defensive Rebound.,16,44
2:23,-1,Foul on Nick Norton.,16,44
2:23,77,Gavin Skelly made Free Throw.,16,45
2:23,77,Gavin Skelly made Free Throw.,16,46
2:05,77,Foul on Isiah Brown.,16,46
2:05,-1,Brandon McCombs missed Free Throw.,16,46
2:05,-1,Lewis Deadball Team Rebound.,16,46
2:05,-1,Brandon McCombs made Free Throw.,17,46
1:46,77,Jordan Ash missed Three Point Jumper.,17,46
1:46,-1,Delaney Blaylock Defensive Rebound.,17,46
1:35,-1,Foul on Nick Norton.,17,46
1:35,-1,Nick Norton Turnover.,17,46
1:13,77,Bryant McIntosh made Three Point Jumper. Assisted by Jordan Ash.,17,49
0:51,-1,Nick Norton made Layup. Assisted by Josh Niego.,19,49
0:51,77,Foul on Barret Benson.,19,49
0:51,-1,Nick Norton made Free Throw.,20,49
0:39,77,Foul on Gavin Skelly.,20,49
0:39,77,Gavin Skelly Turnover.,20,49
0:18,-1,Delaney Blaylock made Jumper.,22,49
0:00,77,Bryant McIntosh missed Three Point Jumper.,22,49
0:00,77,Northwestern Deadball Team Rebound.,22,49
0:00,77,End of 1st half,22,49
19:40,-1,Cristen Wilson made Layup. Assisted by Nick Norton.,24,49
19:18,77,Aaron Falzon made Three Point Jumper. Assisted by Bryant McIntosh.,24,52
18:47,-1,Delaney Blaylock made Dunk. Assisted by Adam Pischke.,26,52
18:33,77,Aaron Falzon missed Jumper.,26,52
18:33,-1,Cristen Wilson Defensive Rebound.,26,52
18:15,-1,Josh Niego missed Jumper.,26,52
18:15,77,Dererk Pardon Defensive Rebound.,26,52
18:06,77,Bryant McIntosh made Three Point Jumper. Assisted by Jordan Ash.,26,55
17:53,-1,Foul on Adam Pischke.,26,55
17:53,-1,Adam Pischke Turnover.,26,55
17:46,77,Dererk Pardon made Dunk. Assisted by Aaron Falzon.,26,57
17:30,-1,Cristen Wilson missed Jumper.,26,57
17:30,77,Dererk Pardon Block.,26,57
17:28,77,Jordan Ash Defensive Rebound.,26,57
17:26,-1,Foul on Josh Niego.,26,57
17:04,77,Aaron Falzon missed Three Point Jumper.,26,57
17:04,-1,Cristen Wilson Defensive Rebound.,26,57
16:52,-1,Cristen Wilson missed Layup.,26,57
16:52,77,Aaron Falzon Defensive Rebound.,26,57
16:43,-1,Foul on Nick Norton.,26,57
16:40,77,Bryant McIntosh Turnover.,26,57
16:30,77,Foul on Aaron Falzon.,26,57
16:30,-1,Cristen Wilson missed Free Throw.,26,57
16:30,-1,Lewis Deadball Team Rebound.,26,57
16:30,-1,Cristen Wilson made Free Throw.,27,57
16:14,77,Aaron Falzon Turnover.,27,57
16:04,-1,Marco Pettinato Turnover.,27,57
16:02,77,Aaron Falzon Steal.,27,57
15:49,77,Aaron Falzon missed Layup.,27,57
15:49,-1,Lewis Defensive Rebound.,27,57
15:48,77,Official TV Timeout,27,57
15:40,-1,Dre Bell missed Three Point Jumper.,27,57
15:40,77,Gavin Skelly Defensive Rebound.,27,57
15:23,77,Dererk Pardon made Dunk.,27,59
15:08,-1,Josh Niego missed Three Point Jumper.,27,59
15:08,77,Northwestern Defensive Rebound.,27,59
14:50,77,Bryant McIntosh missed Three Point Jumper.,27,59
14:50,-1,Delaney Blaylock Defensive Rebound.,27,59
14:34,77,Foul on Gavin Skelly.,27,59
14:34,-1,Delaney Blaylock made Free Throw.,28,59
14:34,-1,Delaney Blaylock made Free Throw.,29,59
14:20,77,Scottie Lindsey missed Three Point Jumper.,29,59
14:20,-1,Dre Bell Defensive Rebound.,29,59
14:04,77,Foul on Isiah Brown.,29,59
14:04,-1,Nick Norton made Free Throw.,30,59
14:04,-1,Nick Norton made Free Throw.,31,59
13:48,77,Gavin Skelly made Three Point Jumper. Assisted by Jordan Ash.,31,62
13:30,-1,Nick Norton missed Three Point Jumper.,31,62
13:30,-1,Lewis Deadball Team Rebound.,31,62
13:28,77,Foul on Scottie Lindsey.,31,62
13:18,-1,Cristen Wilson missed Layup.,31,62
13:18,77,Dererk Pardon Defensive Rebound.,31,62
13:08,77,Isiah Brown missed Layup.,31,62
13:08,-1,Cristen Wilson Defensive Rebound.,31,62
12:38,-1,Bailey Basala missed Jumper.,31,62
12:38,77,Gavin Skelly Defensive Rebound.,31,62
12:25,-1,Foul on Bailey Basala.,31,62
12:25,77,Bryant McIntosh made Free Throw.,31,63
12:25,77,Bryant McIntosh made Free Throw.,31,64
12:15,-1,Nick Norton missed Layup.,31,64
12:15,77,Gavin Skelly Block.,31,64
12:13,77,Dererk Pardon Defensive Rebound.,31,64
12:06,77,Anthony Gaines missed Three Point Jumper.,31,64
12:06,-1,Marco Pettinato Defensive Rebound.,31,64
11:52,-1,Cristen Wilson made Layup. Assisted by Marco Pettinato.,33,64
11:41,77,Dererk Pardon missed Jumper.,33,64
11:41,-1,Bailey Basala Defensive Rebound.,33,64
11:33,-1,Bailey Basala made Three Point Jumper. Assisted by Nick Norton.,36,64
11:12,77,Gavin Skelly made Jumper. Assisted by Bryant McIntosh.,36,66
10:53,-1,Delaney Blaylock missed Jumper.,36,66
10:53,77,Isiah Brown Defensive Rebound.,36,66
10:44,77,Bryant McIntosh made Three Point Jumper. Assisted by Anthony Gaines.,36,69
10:19,77,Official TV Timeout,36,69
10:14,77,Foul on Jordan Ash.,36,69
10:14,-1,Jake Reinhart missed Free Throw.,36,69
10:14,-1,Lewis Deadball Team Rebound.,36,69
10:14,-1,Jake Reinhart made Free Throw.,37,69
9:49,77,Isiah Brown missed Three Point Jumper.,37,69
9:49,77,Anthony Gaines Offensive Rebound.,37,69
9:40,77,Gavin Skelly made Jumper. Assisted by Isiah Brown.,37,71
9:15,-1,Marco Pettinato missed Three Point Jumper.,37,71
9:15,-1,Donovan Oliver Offensive Rebound.,37,71
9:06,-1,Jake Reinhart missed Jumper.,37,71
9:06,77,Barret Benson Defensive Rebound.,37,71
8:54,77,Anthony Gaines missed Three Point Jumper.,37,71
8:54,77,Barret Benson Offensive Rebound.,37,71
8:50,77,Foul on Anthony Gaines.,37,71
8:50,77,Anthony Gaines Turnover.,37,71
8:42,-1,Bailey Basala missed Three Point Jumper.,37,71
8:42,77,Northwestern Deadball Team Rebound.,37,71
8:33,77,Jordan Ash Turnover.,37,71
8:21,-1,Bailey Basala missed Three Point Jumper.,37,71
8:21,-1,Donovan Oliver Offensive Rebound.,37,71
8:16,-1,Donovan Oliver missed Two Point Tip Shot.,37,71
8:16,-1,Jake Reinhart Offensive Rebound.,37,71
8:12,-1,Jake Reinhart missed Three Point Jumper.,37,71
8:12,77,Barret Benson Defensive Rebound.,37,71
8:04,-1,Foul on Marco Pettinato.,37,71
8:04,77,Isiah Brown made Free Throw.,37,72
8:04,77,Isiah Brown made Free Throw.,37,73
7:52,-1,Marco Pettinato Turnover.,37,73
7:52,77,Gavin Skelly Steal.,37,73
7:52,77,Official TV Timeout,37,73
7:41,-1,Foul on Brandon McCombs.,37,73
7:25,77,Isiah Brown made Jumper.,37,75
6:58,-1,Marco Pettinato missed Three Point Jumper.,37,75
6:58,77,Jordan Ash Defensive Rebound.,37,75
6:35,77,Jordan Ash missed Three Point Jumper.,37,75
6:35,-1,Donovan Oliver Defensive Rebound.,37,75
6:17,77,Foul on Barret Benson.,37,75
6:17,-1,Brandon McCombs made Free Throw.,38,75
6:17,-1,Brandon McCombs made Free Throw.,39,75
6:02,-1,Foul on Brandon McCombs.,39,75
6:02,77,Barret Benson missed Free Throw.,39,75
6:02,-1,Brandon McCombs Defensive Rebound.,39,75
5:42,-1,Jake Reinhart missed Three Point Jumper.,39,75
5:42,-1,Donovan Oliver Offensive Rebound.,39,75
5:28,-1,Jake Reinhart made Layup. Assisted by Bailey Basala.,41,75
5:14,77,Foul on Isiah Brown.,41,75
5:14,77,Isiah Brown Turnover.,41,75
4:55,-1,Bailey Basala missed Jumper.,41,75
4:55,77,Jordan Ash Defensive Rebound.,41,75
4:47,77,Aaron Falzon made Three Point Jumper. Assisted by Isiah Brown.,41,78
4:25,-1,Marco Pettinato missed Three Point Jumper.,41,78
4:25,77,Anthony Gaines Defensive Rebound.,41,78
4:21,-1,Foul on Jake Reinhart.,41,78
4:21,77,Anthony Gaines missed Free Throw.,41,78
4:21,-1,Brandon McCombs Defensive Rebound.,41,78
4:09,-1,Brandon McCombs missed Jumper.,41,78
4:09,77,Aaron Falzon Defensive Rebound.,41,78
3:48,-1,Foul on Brandon McCombs.,41,78
3:48,77,Official TV Timeout,41,78
3:48,77,Anthony Gaines made Free Throw.,41,79
3:48,77,Anthony Gaines made Free Throw.,41,80
3:28,-1,Jake Reinhart Turnover.,41,80
3:26,77,Barret Benson Steal.,41,80
3:23,77,Tino Malnati missed Three Point Jumper.,41,80
3:23,77,Barret Benson Offensive Rebound.,41,80
3:20,77,Barret Benson Turnover.,41,80
2:56,-1,Bailey Basala Turnover.,41,80
2:55,77,Isiah Brown Steal.,41,80
2:53,77,Anthony Gaines made Dunk. Assisted by Isiah Brown.,41,82
2:39,-1,Cristen Wilson made Layup.,43,82
2:39,77,Foul on Barret Benson.,43,82
2:39,-1,Cristen Wilson missed Free Throw.,43,82
2:39,77,Charlie Hall Defensive Rebound.,43,82
2:21,77,Tino Malnati missed Layup.,43,82
2:21,-1,Bailey Basala Defensive Rebound.,43,82
2:05,-1,Marco Pettinato Turnover.,43,82
2:02,77,Tino Malnati Steal.,43,82
2:00,77,Tino Malnati missed Layup.,43,82
2:00,77,Northwestern Offensive Rebound.,43,82
1:58,77,Anthony Gaines missed Layup.,43,82
1:58,-1,Jake Reinhart Block.,43,82
1:58,77,Anthony Gaines Offensive Rebound.,43,82
1:58,-1,Foul on Jake Reinhart.,43,82
1:58,77,Anthony Gaines made Free Throw.,43,83
1:58,77,Anthony Gaines made Free Throw.,43,84
1:34,-1,Bailey Basala made Three Point Jumper. Assisted by Marco Pettinato.,46,84
1:10,-1,Foul on Justin Windt.,46,84
1:10,77,Charlie Hall missed Free Throw.,46,84
1:10,77,Northwestern Deadball Team Rebound.,46,84
1:10,77,Charlie Hall made Free Throw.,46,85
1:10,77,Charlie Hall missed Free Throw.,46,85
1:10,-1,Lewis Defensive Rebound.,46,85
0:44,-1,Cristen Wilson made Layup.,48,85
0:20,77,Charlie Hall missed Three Point Jumper.,48,85
0:20,-1,Cristen Wilson Defensive Rebound.,48,85
0:00,77,End of Game,48,85
