High Point,2717,Western Carolina,2272
15:50,2272,Andre Fox made Three Point Jumper. Assisted by Jamal Wright.,43,28
15:37,2717,Onno Steger made Jumper.,43,30
15:37,2272,Foul on Justyn Mutts.,43,30
15:37,2717,Official TV Timeout,43,30
15:37,2717,Onno Steger missed Free Throw.,43,30
15:37,2272,Justyn Mutts Defensive Rebound.,43,30
15:13,2717,Foul on Onno Steger.,43,30
15:13,2272,Brandonn Kamga made Free Throw.,44,30
15:13,2272,Brandonn Kamga missed Free Throw.,44,30
15:13,2717,Devin Peterson Defensive Rebound.,44,30
15:11,2272,Foul on Brandonn Kamga.,44,30
14:59,2717,Mike Amius made Layup. Assisted by Deriece Parks.,44,32
14:40,2717,Foul on Mike Amius.,44,32
14:25,2272,Jamal Wright Turnover.,44,32
14:23,2717,Matt Halvorsen Steal.,44,32
14:10,2717,Devin Peterson missed Jumper.,44,32
14:10,2272,Brandonn Kamga Defensive Rebound.,44,32
14:05,2272,Brandonn Kamga made Layup.,46,32
13:55,2717,Matt Halvorsen made Three Point Jumper. Assisted by Devin Peterson.,46,35
13:38,2717,Foul on Onno Steger.,46,35
13:24,2717,Foul on Mike Amius.,46,35
13:24,2272,Brandonn Kamga made Free Throw.,47,35
13:24,2272,Brandonn Kamga missed Free Throw.,47,35
13:24,2272,High Point Offensive Rebound.,47,35
13:06,2272,Jahaad Proctor Turnover.,47,35
12:57,2717,Deriece Parks missed Three Point Jumper.,47,35
12:57,2272,Denny Slay Defensive Rebound.,47,35
12:50,2272,Austin White made Jumper. Assisted by Jahaad Proctor.,49,35
12:40,2717,Maurice Smith made Three Point Jumper. Assisted by Deriece Parks.,49,38
12:11,2272,Jahaad Proctor missed Three Point Jumper.,49,38
12:11,2717,Matt Halvorsen Defensive Rebound.,49,38
12:03,2717,Matt Halvorsen made Three Point Jumper. Assisted by Deriece Parks.,49,41
11:46,2272,High Point  Timeout,49,41
11:37,2272,Jordan Whitehead made Layup.,51,41
11:24,2717,Devin Peterson Turnover.,51,41
11:24,2717,Official TV Timeout,51,41
11:11,2272,Brandonn Kamga made Jumper.,53,41
10:45,2717,Deriece Parks missed Three Point Jumper.,53,41
10:45,2717,Maurice Smith Offensive Rebound.,53,41
10:41,2717,Matt Halvorsen missed Three Point Jumper.,53,41
10:41,2272,High Point Defensive Rebound.,53,41
10:15,2272,Jahaad Proctor missed Jumper.,53,41
10:15,2717,Maurice Smith Defensive Rebound.,53,41
10:06,2717,Onno Steger made Layup. Assisted by Devin Peterson.,53,43
9:36,2272,Denny Slay missed Jumper.,53,43
9:36,2272,Jahaad Proctor Offensive Rebound.,53,43
9:33,2272,Brandonn Kamga made Layup. Assisted by Jahaad Proctor.,55,43
9:16,2717,Deriece Parks made Layup.,55,45
8:54,2272,Andre Fox missed Jumper.,55,45
8:54,2717,Devin Peterson Defensive Rebound.,55,45
8:37,2717,Devin Peterson missed Layup.,55,45
8:37,2272,Brandonn Kamga Block.,55,45
8:37,2717,Maurice Smith Offensive Rebound.,55,45
8:33,2717,Maurice Smith missed Layup.,55,45
8:33,2717,Maurice Smith Offensive Rebound.,55,45
8:30,2717,Maurice Smith missed Layup.,55,45
8:30,2272,Andre Fox Defensive Rebound.,55,45
8:02,2272,Brandonn Kamga missed Jumper.,55,45
8:02,2717,Maurice Smith Defensive Rebound.,55,45
8:02,2272,Foul on Jordan Whitehead.,55,45
7:45,2717,Deriece Parks missed Three Point Jumper.,55,45
7:45,2272,Jamal Wright Defensive Rebound.,55,45
7:31,2272,Austin White Turnover.,55,45
7:30,2717,Deriece Parks Steal.,55,45
7:24,2717,Onno Steger missed Three Point Jumper.,55,45
7:24,2272,Andre Fox Defensive Rebound.,55,45
7:10,2272,Jamal Wright Turnover.,55,45
7:08,2717,Onno Steger Steal.,55,45
7:05,2717,Devin Peterson made Layup. Assisted by Onno Steger.,55,47
6:51,2272,High Point  Timeout,55,47
6:29,2272,High Point  Turnover.,55,47
6:14,2272,Foul on Jordan Whitehead.,55,47
6:14,2717,Matt Halvorsen missed Three Point Jumper.,55,47
6:14,2272,Justyn Mutts Defensive Rebound.,55,47
6:09,2717,Foul on Deriece Parks.,55,47
6:09,2272,Jahaad Proctor made Free Throw.,56,47
6:09,2272,Jahaad Proctor made Free Throw.,57,47
5:59,2717,Marc Gosselin missed Three Point Jumper.,57,47
5:59,2717,Mike Amius Offensive Rebound.,57,47
5:45,2717,Marcus Thomas missed Jumper.,57,47
5:45,2272,Jahaad Proctor Defensive Rebound.,57,47
5:22,2272,Brandonn Kamga missed Jumper.,57,47
5:22,2717,Deriece Parks Block.,57,47
5:22,2272,High Point Offensive Rebound.,57,47
5:18,2272,Jordan Whitehead Turnover.,57,47
4:58,2717,Marcus Thomas made Layup.,57,49
4:32,2272,Ricky Madison made Layup. Assisted by Denny Slay.,59,49
4:22,2272,Foul on Ricky Madison.,59,49
4:22,2717,Mike Amius made Free Throw.,59,50
4:22,2717,Mike Amius made Free Throw.,59,51
4:04,2717,Foul on Mike Amius.,59,51
4:04,2272,Ricky Madison missed Free Throw.,59,51
4:04,2272,High Point Deadball Team Rebound.,59,51
4:04,2272,Ricky Madison made Free Throw.,60,51
3:41,2717,Deriece Parks missed Three Point Jumper.,60,51
3:41,2272,Brandonn Kamga Defensive Rebound.,60,51
3:25,2272,Ricky Madison missed Layup.,60,51
3:25,2717,Mike Amius Defensive Rebound.,60,51
3:23,2272,Foul on Justyn Mutts.,60,51
3:23,2717,Official TV Timeout,60,51
3:23,2717,Mike Amius made Free Throw.,60,52
3:23,2717,Mike Amius made Free Throw.,60,53
2:55,2717,Foul on Marcus Thomas.,60,53
2:55,2272,Andre Fox made Free Throw.,61,53
2:55,2272,Andre Fox made Free Throw.,62,53
2:34,2717,Marcus Thomas missed Three Point Jumper.,62,53
2:34,2717,Mike Amius Offensive Rebound.,62,53
2:28,2717,Mike Amius missed Jumper.,62,53
2:28,2717,Marcus Thomas Offensive Rebound.,62,53
2:25,2717,Marcus Thomas missed Two Point Tip Shot.,62,53
2:24,2272,Andre Fox Defensive Rebound.,62,53
2:07,2717,Foul on Marcus Thomas.,62,53
2:07,2272,Andre Fox missed Free Throw.,62,53
2:07,2272,High Point Deadball Team Rebound.,62,53
2:07,2272,Andre Fox made Free Throw.,63,53
1:57,2717,Mike Amius made Dunk. Assisted by Desmond Johnson.,63,55
1:46,2717,Foul on Deriece Parks.,63,55
1:46,2272,Denny Slay made Free Throw.,64,55
1:46,2272,Denny Slay made Free Throw.,65,55
1:36,2717,Desmond Johnson missed Jumper.,65,55
1:36,2272,Jordan Whitehead Defensive Rebound.,65,55
1:12,2717,Foul on Ashley Williams.,65,55
1:12,2272,Jahaad Proctor made Free Throw.,66,55
1:12,2272,Jahaad Proctor made Free Throw.,67,55
1:01,2717,Desmond Johnson missed Jumper.,67,55
1:01,2717,Deriece Parks Offensive Rebound.,67,55
0:55,2717,Desmond Johnson missed Three Point Jumper.,67,55
0:55,2717,Western Carolina Offensive Rebound.,67,55
0:52,2272,Foul on Brandonn Kamga.,67,55
0:52,2717,Marc Gosselin missed Free Throw.,67,55
0:52,2272,Andre Fox Defensive Rebound.,67,55
0:45,2272,Jordan Whitehead made Layup. Assisted by Brandonn Kamga.,69,55
0:35,2717,Marc Gosselin missed Three Point Jumper.,69,55
0:35,2272,Brandonn Kamga Defensive Rebound.,69,55
0:35,2272,Brandonn Kamga Defensive Rebound.,69,55
0:31,2717,Foul on Desmond Johnson.,69,55
0:31,2272,Brandonn Kamga missed Free Throw.,69,55
0:31,2272,High Point Deadball Team Rebound.,69,55
0:31,2272,Brandonn Kamga made Free Throw.,70,55
0:26,2717,Ashley Williams missed Three Point Jumper.,70,55
0:26,2717,Ashley Williams Offensive Rebound.,70,55
0:21,2272,Foul on Jordan Whitehead.,70,55
0:21,2717,Ashley Williams made Free Throw.,70,56
0:21,2717,Ashley Williams made Free Throw.,70,57
0:20,2272,Brandonn Kamga Turnover.,70,57
0:18,2717,Desmond Johnson Steal.,70,57
0:18,2272,Foul on Brandonn Kamga.,70,57
0:18,2717,Ashley Williams made Free Throw.,70,58
0:18,2717,Ashley Williams made Free Throw.,70,59
0:16,2717,Foul on Deriece Parks.,70,59
0:16,2272,Andre Fox made Free Throw.,71,59
0:16,2272,Andre Fox made Free Throw.,72,59
0:09,2717,Ashley Williams missed Three Point Jumper.,72,59
0:09,2717,Western Carolina Offensive Rebound.,72,59
0:02,2717,Mike Amius made Layup.,72,61
0:00,2717,End of 2nd half,72,61
0:00,2717,End of Game,72,61
