South Carolina State,232,Charleston,2569
16:05,232,Grant Riller missed Jumper.,32,40
16:05,2569,Janai Raynor Powell Defensive Rebound.,32,40
15:44,2569,David Bottenberg missed Jumper.,32,40
15:44,232,Nick Harris Defensive Rebound.,32,40
15:34,2569,Foul on Janai Raynor Powell.,32,40
15:34,232,Official TV Timeout,32,40
15:25,232,Grant Riller made Layup.,32,42
15:11,2569,Janai Raynor Powell missed Three Point Jumper.,32,42
15:11,232,Joe Chealey Defensive Rebound.,32,42
15:01,232,Joe Chealey missed Three Point Jumper.,32,42
15:01,2569,Donte Wright Defensive Rebound.,32,42
14:53,232,Foul on Joe Chealey.,32,42
14:52,2569,Ian Kinard missed Layup.,32,42
14:52,2569,Ian Kinard Offensive Rebound.,32,42
14:50,232,Foul on Joe Chealey.,32,42
14:50,2569,Ian Kinard made Free Throw.,33,42
14:50,2569,Ian Kinard made Free Throw.,34,42
14:28,232,Grant Riller made Jumper. Assisted by Jarrell Brantley.,34,44
14:18,2569,Donte Wright made Three Point Jumper. Assisted by Ian Kinard.,37,44
13:59,2569,Foul on Damani Applewhite.,37,44
13:52,2569,Foul on James Richardson.,37,44
13:52,232,Nick Harris made Free Throw.,37,45
13:52,232,Nick Harris missed Free Throw.,37,45
13:52,2569,Janai Raynor Powell Defensive Rebound.,37,45
13:46,2569,Janai Raynor Powell missed Layup.,37,45
13:46,232,Nick Harris Block.,37,45
13:45,232,Jarrell Brantley Defensive Rebound.,37,45
13:40,232,Grant Riller made Layup. Assisted by Jarrell Brantley.,37,47
13:27,2569,Donte Wright missed Three Point Jumper.,37,47
13:27,232,Marquise Pointer Defensive Rebound.,37,47
13:18,232,Cameron Johnson missed Three Point Jumper.,37,47
13:18,2569,Janai Raynor Powell Defensive Rebound.,37,47
12:58,2569,Damani Applewhite missed Jumper.,37,47
12:58,232,Jarrell Brantley Defensive Rebound.,37,47
12:56,2569,Foul on Ian Kinard.,37,47
12:42,232,Foul on Nick Harris.,37,47
12:42,232,Nick Harris Turnover.,37,47
12:30,2569,Damani Applewhite made Dunk. Assisted by Janai Raynor Powell.,39,47
12:07,232,Jarrell Brantley made Layup.,39,49
11:48,2569,Damani Applewhite missed Layup.,39,49
11:48,232,Nick Harris Defensive Rebound.,39,49
11:40,232,Jarrell Brantley made Layup.,39,51
11:32,2569,South Carolina State  Timeout,39,51
11:32,232,Official TV Timeout,39,51
11:16,2569,Donte Wright made Three Point Jumper. Assisted by James Richardson.,42,51
10:53,232,Grant Riller made Three Point Jumper. Assisted by Cameron Johnson.,42,54
10:36,232,Foul on Grant Riller.,42,54
10:36,232,Official TV Timeout,42,54
10:36,2569,James Richardson made Free Throw.,43,54
10:36,2569,James Richardson made Free Throw.,44,54
10:36,2569,James Richardson made Free Throw.,45,54
10:34,232,Jarrell Brantley Turnover.,45,54
10:26,2569,Donte Wright missed Three Point Jumper.,45,54
10:26,232,Charleston Defensive Rebound.,45,54
10:00,232,Grant Riller made Three Point Jumper. Assisted by Cameron Johnson.,45,57
9:40,2569,Patrell Rogers made Layup.,47,57
9:24,232,Foul on Jarrell Brantley.,47,57
9:24,232,Jarrell Brantley Turnover.,47,57
9:04,2569,Patrell Rogers Turnover.,47,57
9:03,232,Joe Chealey Steal.,47,57
9:00,232,Grant Riller made Layup. Assisted by Joe Chealey.,47,59
8:47,2569,Dwayne Banks made Three Point Jumper. Assisted by Donte Wright.,50,59
8:42,232,Jaylen McManus Turnover.,50,59
8:41,2569,Dwayne Banks Turnover.,50,59
8:27,232,Jaylen McManus made Three Point Jumper. Assisted by Joe Chealey.,50,62
8:13,2569,Ian Kinard missed Jumper.,50,62
8:13,232,Cameron Johnson Defensive Rebound.,50,62
7:59,232,Nick Harris made Dunk. Assisted by Joe Chealey.,50,64
7:51,2569,Donte Wright made Three Point Jumper. Assisted by Dwayne Banks.,53,64
7:38,2569,Foul on Patrell Rogers.,53,64
7:38,232,Official TV Timeout,53,64
7:22,232,Jaylen McManus missed Three Point Jumper.,53,64
7:22,2569,James Richardson Defensive Rebound.,53,64
7:14,2569,Patrell Rogers missed Three Point Jumper.,53,64
7:14,232,Grant Riller Defensive Rebound.,53,64
7:07,232,Grant Riller missed Three Point Jumper.,53,64
7:07,2569,Ian Kinard Defensive Rebound.,53,64
6:55,2569,Patrell Rogers missed Jumper.,53,64
6:55,232,Jaylen McManus Block.,53,64
6:54,232,Nick Harris Defensive Rebound.,53,64
6:44,232,Jaylen McManus made Three Point Jumper. Assisted by Marquise Pointer.,53,67
6:23,232,Foul on Nick Harris.,53,67
6:23,2569,Ian Kinard missed Free Throw.,53,67
6:23,2569,South Carolina State Deadball Team Rebound.,53,67
6:23,2569,Ian Kinard made Free Throw.,54,67
6:05,232,Nick Harris missed Layup.,54,67
6:05,232,Nick Harris Offensive Rebound.,54,67
6:00,2569,Foul on Ian Kinard.,54,67
6:00,232,Jaylen McManus missed Free Throw.,54,67
6:00,232,Charleston Deadball Team Rebound.,54,67
6:00,232,Jaylen McManus made Free Throw.,54,68
5:49,2569,James Richardson missed Three Point Jumper.,54,68
5:49,232,Joe Chealey Defensive Rebound.,54,68
5:40,2569,Foul on Donte Wright.,54,68
5:40,232,Joe Chealey made Free Throw.,54,69
5:40,232,Joe Chealey made Free Throw.,54,70
5:14,2569,Donte Wright missed Jumper.,54,70
5:14,232,Jaylen McManus Defensive Rebound.,54,70
5:10,232,Grant Riller made Layup. Assisted by Jaylen McManus.,54,72
4:48,232,Foul on Jaylen McManus.,54,72
4:48,2569,Justin Jones made Free Throw.,55,72
4:48,2569,Justin Jones missed Free Throw.,55,72
4:48,232,Grant Riller Defensive Rebound.,55,72
4:31,2569,Foul on Donte Wright.,55,72
4:31,232,Nick Harris missed Free Throw.,55,72
4:31,232,Charleston Deadball Team Rebound.,55,72
4:31,232,Nick Harris made Free Throw.,55,73
4:17,2569,Damani Applewhite missed Jumper.,55,73
4:17,2569,South Carolina State Offensive Rebound.,55,73
4:11,2569,Donte Wright missed Three Point Jumper.,55,73
4:11,232,Grant Riller Defensive Rebound.,55,73
4:08,2569,Donte Wright made Free Throw.,57,73
4:08,232,Foul on Evan Bailey.,55,73
4:08,2569,Donte Wright made Free Throw.,56,73
4:07,232,Grant Riller Turnover.,57,73
4:07,2569,Donte Wright Steal.,57,73
3:40,232,Grant Riller made Jumper.,57,75
3:13,2569,Damani Applewhite missed Jumper.,57,75
3:13,2569,Janai Raynor Powell Offensive Rebound.,57,75
3:10,2569,Janai Raynor Powell made Jumper.,59,75
2:56,232,Grant Riller Turnover.,59,75
2:55,232,Official TV Timeout,59,75
2:46,2569,Rayshawn Neal Turnover.,59,75
2:46,232,Marquise Pointer Steal.,59,75
2:42,232,Marquise Pointer missed Jumper.,59,75
2:42,2569,Damani Applewhite Defensive Rebound.,59,75
2:27,2569,Damani Applewhite missed Jumper.,59,75
2:27,2569,Damani Applewhite Offensive Rebound.,59,75
2:23,232,Foul on Grant Riller.,59,75
2:23,2569,David Bottenberg missed Free Throw.,59,75
2:23,2569,South Carolina State Deadball Team Rebound.,59,75
2:23,2569,David Bottenberg made Free Throw.,60,75
1:59,232,Evan Bailey missed Three Point Jumper.,60,75
1:59,2569,Justin Jones Defensive Rebound.,60,75
1:48,2569,David Bottenberg made Layup. Assisted by Justin Jones.,62,75
1:23,232,Brevin Galloway missed Three Point Jumper.,62,75
1:23,2569,Janai Raynor Powell Defensive Rebound.,62,75
1:08,2569,Justin Jones missed Jumper.,62,75
1:08,232,Grant Riller Block.,62,75
1:07,232,Marquise Pointer Defensive Rebound.,62,75
1:02,232,Evan Bailey made Layup. Assisted by Grant Riller.,62,77
1:02,2569,Foul on Janai Raynor Powell.,62,77
1:02,232,Evan Bailey made Free Throw.,62,78
0:44,2569,Ian Kinard missed Jumper.,62,78
0:44,232,Jaylen McManus Defensive Rebound.,62,78
0:32,232,Samba Ndiaye made Jumper.,62,80
0:19,232,Foul on Jaylen McManus.,62,80
0:19,2569,David Bottenberg made Free Throw.,63,80
0:19,2569,David Bottenberg made Free Throw.,64,80
0:00,232,End of Game,64,80
