Binghamton,213,Penn State,2066
19:11,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,36,44
19:07,213,Official TV Timeout,36,44
18:41,2066,Willie Rodriguez made Three Point Jumper. Assisted by Timmy Rose.,39,44
18:20,213,Josh Reaves Turnover.,39,44
18:18,2066,Thomas Bruce Steal.,39,44
18:14,2066,Everson Davis missed Three Point Jumper.,39,44
18:14,213,Penn State Defensive Rebound.,39,44
17:58,213,Lamar Stevens missed Jumper.,39,44
17:58,2066,Thomas Bruce Defensive Rebound.,39,44
17:47,2066,J.C. Show missed Jumper.,39,44
17:47,213,Tony Carr Defensive Rebound.,39,44
17:37,2066,Foul on Everson Davis.,39,44
17:37,213,Josh Reaves missed Layup.,39,44
17:37,2066,Thomas Bruce Defensive Rebound.,39,44
17:29,2066,Willie Rodriguez missed Layup.,39,44
17:29,213,Mike Watkins Defensive Rebound.,39,44
17:13,213,Mike Watkins made Layup.,39,46
16:59,2066,J.C. Show missed Layup.,39,46
16:59,213,Mike Watkins Defensive Rebound.,39,46
16:48,2066,Foul on Thomas Bruce.,39,46
16:33,213,Shep Garner missed Three Point Jumper.,39,46
16:33,213,Josh Reaves Offensive Rebound.,39,46
16:28,213,Josh Reaves made Two Point Tip Shot.,39,48
16:05,2066,J.C. Show made Jumper.,41,48
15:49,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,41,51
15:28,2066,Thomas Bruce missed Layup.,41,51
15:28,213,Tony Carr Defensive Rebound.,41,51
15:17,213,Tony Carr made Jumper.,41,53
14:55,2066,J.C. Show missed Jumper.,41,53
14:55,213,Lamar Stevens Defensive Rebound.,41,53
14:53,213,Lamar Stevens Turnover.,41,53
14:53,213,Official TV Timeout,41,53
14:33,2066,Caleb Stewart Turnover.,41,53
14:31,213,Nazeer Bostick Steal.,41,53
14:17,213,Shep Garner Turnover.,41,53
14:09,2066,J.C. Show missed Three Point Jumper.,41,53
14:09,213,Nazeer Bostick Defensive Rebound.,41,53
14:07,2066,Foul on Caleb Stewart.,41,53
13:59,2066,Foul on Bobby Ahearn.,41,53
13:50,213,Lamar Stevens made Layup.,41,55
13:31,2066,Fard Muhammad made Three Point Jumper.,44,55
13:08,213,Lamar Stevens made Jumper.,44,57
12:46,2066,J.C. Show made Three Point Jumper.,47,57
12:24,213,Tony Carr Turnover.,47,57
12:16,2066,J.C. Show Turnover.,47,57
12:08,2066,Foul on Bobby Ahearn.,47,57
12:08,213,Mike Watkins made Free Throw.,47,58
12:08,213,Mike Watkins made Free Throw.,47,59
11:59,2066,Fard Muhammad made Three Point Jumper. Assisted by J.C. Show.,50,59
11:30,213,Jamari Wheeler Turnover.,50,59
11:29,2066,Fard Muhammad Steal.,50,59
11:23,2066,Willie Rodriguez missed Layup.,50,59
11:23,213,Jamari Wheeler Defensive Rebound.,50,59
11:17,213,Jamari Wheeler missed Layup.,50,59
11:17,2066,J.C. Show Defensive Rebound.,50,59
11:12,213,Foul on Jamari Wheeler.,50,59
11:12,213,Official TV Timeout,50,59
10:56,2066,J.C. Show missed Jumper.,50,59
10:56,213,Mike Watkins Defensive Rebound.,50,59
10:44,2066,Foul on Caleb Stewart.,50,59
10:30,2066,Foul on Thomas Bruce.,50,59
10:30,213,Lamar Stevens missed Free Throw.,50,59
10:30,213,Penn State Deadball Team Rebound.,50,59
10:30,213,Lamar Stevens missed Free Throw.,50,59
10:30,2066,Tyler Stewart Defensive Rebound.,50,59
10:23,2066,Fard Muhammad missed Three Point Jumper.,50,59
10:23,213,Lamar Stevens Defensive Rebound.,50,59
10:06,213,Josh Reaves Turnover.,50,59
10:00,2066,Caleb Stewart missed Layup.,50,59
10:00,213,Lamar Stevens Defensive Rebound.,50,59
9:50,213,Josh Reaves made Layup.,50,61
9:36,2066,Tyler Stewart missed Layup.,50,61
9:36,2066,Binghamton Offensive Rebound.,50,61
8:58,213,Foul on Lamar Stevens.,50,61
8:57,2066,J.C. Show Turnover.,50,61
8:56,213,Tony Carr Steal.,50,61
8:50,213,Tony Carr missed Jumper.,50,61
8:50,2066,Tyler Stewart Defensive Rebound.,50,61
8:39,2066,J.C. Show made Jumper.,52,61
8:25,213,Tony Carr made Jumper.,52,63
8:25,2066,Foul on Dusan Perovic.,52,63
8:25,213,Tony Carr made Free Throw.,52,64
8:09,213,Foul on Shep Garner.,52,64
8:01,2066,J.C. Show missed Jumper.,52,64
8:01,213,Julian Moore Defensive Rebound.,52,64
7:50,213,Tony Carr missed Jumper.,52,64
7:50,2066,Fard Muhammad Defensive Rebound.,52,64
7:41,2066,Dusan Perovic missed Three Point Jumper.,52,64
7:41,213,Julian Moore Defensive Rebound.,52,64
7:23,213,Tony Carr made Jumper.,52,66
7:03,2066,Tyler Stewart made Jumper.,54,66
6:55,213,Jamari Wheeler Turnover.,54,66
6:55,213,Official TV Timeout,54,66
6:37,2066,Tyler Stewart made Layup. Assisted by J.C. Show.,56,66
6:13,213,Lamar Stevens made Jumper. Assisted by Josh Reaves.,56,68
5:53,2066,Fard Muhammad missed Three Point Jumper.,56,68
5:53,2066,Binghamton Offensive Rebound.,56,68
5:46,213,Foul on Lamar Stevens.,56,68
5:36,2066,Tyler Stewart made Jumper.,58,68
5:20,213,Lamar Stevens missed Dunk.,58,68
5:20,2066,Thomas Bruce Block.,58,68
5:20,2066,Willie Rodriguez Defensive Rebound.,58,68
5:20,2066,Thomas Bruce made Layup. Assisted by J.C. Show.,60,68
4:57,213,Penn State  Timeout,60,68
4:45,213,Tony Carr missed Three Point Jumper.,60,68
4:45,2066,J.C. Show Defensive Rebound.,60,68
4:31,2066,Willie Rodriguez missed Layup.,60,68
4:31,2066,Willie Rodriguez Offensive Rebound.,60,68
4:10,2066,Fard Muhammad missed Layup.,60,68
4:10,213,Lamar Stevens Defensive Rebound.,60,68
3:43,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,60,71
3:24,2066,Thomas Bruce made Layup. Assisted by J.C. Show.,62,71
3:24,213,Foul on Mike Watkins.,62,71
3:24,213,Official TV Timeout,62,71
3:24,2066,Thomas Bruce missed Free Throw.,62,71
3:24,213,Lamar Stevens Defensive Rebound.,62,71
3:07,213,Josh Reaves made Three Point Jumper. Assisted by Tony Carr.,62,74
2:51,2066,J.C. Show missed Three Point Jumper.,62,74
2:51,213,Mike Watkins Defensive Rebound.,62,74
2:39,213,Shep Garner made Three Point Jumper. Assisted by Josh Reaves.,62,77
2:22,2066,Fard Muhammad missed Three Point Jumper.,62,77
2:22,213,Mike Watkins Defensive Rebound.,62,77
2:01,213,Mike Watkins Turnover.,62,77
2:00,2066,Willie Rodriguez Steal.,62,77
1:57,213,Foul on Josh Reaves.,62,77
1:46,2066,J.C. Show missed Three Point Jumper.,62,77
1:46,213,Josh Reaves Defensive Rebound.,62,77
1:26,2066,Foul on J.C. Show.,62,77
1:26,213,Mike Watkins missed Free Throw.,62,77
1:26,2066,J.C. Show Defensive Rebound.,62,77
1:14,213,Foul on Mike Watkins.,62,77
1:14,2066,Willie Rodriguez missed Free Throw.,62,77
1:14,2066,Binghamton Deadball Team Rebound.,62,77
1:14,2066,Willie Rodriguez made Free Throw.,63,77
1:02,2066,Foul on Tyler Stewart.,63,77
1:02,213,Josh Reaves missed Free Throw.,63,77
1:02,213,Penn State Deadball Team Rebound.,63,77
1:02,213,Josh Reaves made Free Throw.,63,78
0:51,2066,J.C. Show missed Three Point Jumper.,63,78
0:51,2066,Thomas Bruce Offensive Rebound.,63,78
0:47,2066,Thomas Bruce made Dunk.,65,78
0:45,2066,Binghamton  Timeout,65,78
0:44,2066,Foul on Tyler Stewart.,65,78
0:44,213,Lamar Stevens made Free Throw.,65,79
0:44,213,Lamar Stevens made Free Throw.,65,80
0:32,2066,Everson Davis missed Jumper.,65,80
0:32,213,Josh Reaves Block.,65,80
0:31,2066,J.C. Show Offensive Rebound.,65,80
0:25,2066,Thomas Bruce missed Dunk.,65,80
0:25,213,Shep Garner Defensive Rebound.,65,80
0:00,213,End of Game,65,80
