Florida Gulf Coast,2229,Florida Intl,526
9:52,2229,Eric Lockett Steal.,16,19
9:44,2229,Brian Beard Jr. missed Three Point Jumper.,16,19
9:44,526,Brandon Goodwin Defensive Rebound.,16,19
9:36,526,Antravious Simmons made Jumper. Assisted by Brandon Goodwin.,18,19
9:13,2229,Foul on Ronald Whitaker.,18,19
9:13,2229,Ronald Whitaker Turnover.,18,19
9:06,526,Michael Gilmore missed Three Point Jumper.,18,19
9:06,2229,Michael Douglas Defensive Rebound.,18,19
8:34,2229,Brian Beard Jr. Turnover.,18,19
8:32,526,Brandon Goodwin Steal.,18,19
8:17,526,Zach Johnson made Layup. Assisted by Brandon Goodwin.,20,19
7:58,2229,Brian Beard Jr. missed Jumper.,20,19
7:58,526,Michael Gilmore Defensive Rebound.,20,19
7:49,526,Brandon Goodwin Turnover.,20,19
7:48,2229,Brian Beard Jr. Steal.,20,19
7:45,526,Foul on Michael Gilmore.,20,19
7:45,2229,Official TV Timeout,20,19
7:45,2229,Trejon Jacob made Free Throw.,20,20
7:45,2229,Trejon Jacob missed Free Throw.,20,20
7:45,526,Antravious Simmons Defensive Rebound.,20,20
7:32,526,Brandon Goodwin made Layup.,22,20
7:32,2229,Foul on Cordell Veira.,22,20
7:32,526,Brandon Goodwin made Free Throw.,23,20
7:16,2229,Trejon Jacob made Three Point Jumper. Assisted by Eric Lockett.,23,23
7:08,2229,Foul on Trejon Jacob.,23,23
7:08,526,Antravious Simmons made Free Throw.,24,23
7:08,526,Antravious Simmons made Free Throw.,25,23
6:49,2229,Trejon Jacob made Three Point Jumper.,25,26
6:29,526,Christian Terrell made Three Point Jumper. Assisted by Zach Johnson.,28,26
6:01,2229,Hassan Hussein missed Jumper.,28,26
6:01,526,Brandon Goodwin Defensive Rebound.,28,26
5:55,526,Christian Terrell missed Three Point Jumper.,28,26
5:55,2229,Eric Lockett Defensive Rebound.,28,26
5:40,2229,Eric Lockett missed Jumper.,28,26
5:40,526,RaySean Scott Jr. Defensive Rebound.,28,26
5:34,2229,Foul on Cordell Veira.,28,26
5:34,526,Brandon Goodwin made Free Throw.,29,26
5:34,526,Brandon Goodwin made Free Throw.,30,26
5:17,2229,Trejon Jacob made Three Point Jumper. Assisted by Eric Lockett.,30,29
4:52,526,Brandon Goodwin made Jumper.,32,29
4:36,2229,Hassan Hussein made Jumper. Assisted by Brian Beard Jr..,32,31
4:14,526,Dinero Mercurius made Three Point Jumper. Assisted by Brandon Goodwin.,35,31
3:41,2229,Hassan Hussein missed Three Point Jumper.,35,31
3:41,2229,Brian Beard Jr. Offensive Rebound.,35,31
3:35,2229,Brian Beard Jr. made Layup.,35,33
3:13,2229,Foul on Brian Beard Jr..,35,33
3:13,2229,Official TV Timeout,35,33
3:03,526,Christian Terrell made Three Point Jumper.,38,33
2:42,2229,Brian Beard Jr. missed Layup.,38,33
2:42,526,Michael Gilmore Block.,38,33
2:41,2229,Florida International Offensive Rebound.,38,33
2:39,2229,Trejon Jacob made Jumper.,38,35
2:18,526,Michael Gilmore missed Three Point Jumper.,38,35
2:18,2229,Eric Lockett Defensive Rebound.,38,35
2:10,2229,Trejon Jacob made Three Point Jumper. Assisted by Eric Lockett.,38,38
1:55,2229,Foul on Trejon Jacob.,38,38
1:55,526,Christian Terrell made Free Throw.,39,38
1:55,526,Christian Terrell made Free Throw.,40,38
1:27,526,Foul on Michael Gilmore.,40,38
1:27,2229,Eric Lockett made Free Throw.,40,39
1:27,2229,Eric Lockett made Free Throw.,40,40
1:19,2229,Foul on Hassan Hussein.,40,40
1:19,526,Christian Terrell missed Free Throw.,40,40
1:19,526,Florida Gulf Coast Deadball Team Rebound.,40,40
1:19,526,Christian Terrell made Free Throw.,41,40
0:48,2229,Florida International  Turnover.,41,40
0:48,526,Florida Gulf Coast  Timeout,41,40
0:38,526,RaySean Scott Jr. made Layup. Assisted by Antravious Simmons.,43,40
0:37,2229,Florida International  Timeout,43,40
0:17,2229,Hassan Hussein Turnover.,43,40
0:03,526,Christian Terrell missed Jumper.,43,40
0:03,2229,Eric Lockett Defensive Rebound.,43,40
0:00,2229,End of 1st half,43,40
19:44,526,Foul on Antravious Simmons.,43,40
19:20,2229,Brian Beard Jr. missed Three Point Jumper.,43,40
19:20,526,Antravious Simmons Defensive Rebound.,43,40
19:13,526,Antravious Simmons made Layup. Assisted by Brandon Goodwin.,45,40
18:41,2229,Hassan Hussein missed Jumper.,45,40
18:41,526,Brandon Goodwin Defensive Rebound.,45,40
18:35,526,Zach Johnson made Three Point Jumper. Assisted by Brandon Goodwin.,48,40
18:32,2229,Florida International  Timeout,48,40
18:32,2229,Official TV Timeout,48,40
18:21,2229,Trejon Jacob missed Dunk.,48,40
18:21,526,Michael Gilmore Defensive Rebound.,48,40
18:16,526,Brandon Goodwin missed Three Point Jumper.,48,40
18:16,2229,Osasumwen Osaghae Defensive Rebound.,48,40
17:57,526,Foul on Michael Gilmore.,48,40
17:57,2229,Osasumwen Osaghae made Free Throw.,48,41
17:57,2229,Osasumwen Osaghae made Free Throw.,48,42
17:39,526,Brandon Goodwin made Layup.,50,42
17:39,2229,Foul on Hassan Hussein.,50,42
17:39,526,Brandon Goodwin missed Free Throw.,50,42
17:31,526,RaySean Scott Jr. Offensive Rebound.,50,42
17:31,2229,Foul on Brian Beard Jr..,50,42
17:31,526,Zach Johnson made Free Throw.,51,42
17:31,526,Zach Johnson made Free Throw.,52,42
17:21,2229,Brian Beard Jr. missed Layup.,52,42
17:21,526,RaySean Scott Jr. Defensive Rebound.,52,42
17:11,526,Brady Ernst missed Layup.,52,42
17:11,2229,Trejon Jacob Defensive Rebound.,52,42
17:05,2229,Eric Lockett Turnover.,52,42
17:03,526,Brady Ernst Steal.,52,42
16:58,526,Christian Terrell Turnover.,52,42
16:39,2229,Trejon Jacob made Jumper.,52,44
16:32,526,Dinero Mercurius missed Three Point Jumper.,52,44
16:32,526,Brandon Goodwin Offensive Rebound.,52,44
16:27,526,Brady Ernst made Dunk. Assisted by Brandon Goodwin.,54,44
16:13,526,Foul on Brady Ernst.,54,44
15:57,2229,Michael Douglas missed Layup.,54,44
15:57,526,Brady Ernst Block.,54,44
15:56,526,Zach Johnson Defensive Rebound.,54,44
15:51,526,Zach Johnson missed Jumper.,54,44
15:51,2229,Osasumwen Osaghae Block.,54,44
15:49,2229,Brian Beard Jr. Defensive Rebound.,54,44
15:47,526,Foul on Dinero Mercurius.,54,44
15:47,2229,Official TV Timeout,54,44
15:47,2229,Brian Beard Jr. made Free Throw.,54,45
15:47,2229,Brian Beard Jr. missed Free Throw.,54,45
15:47,526,RaySean Scott Jr. Defensive Rebound.,54,45
15:31,526,Brady Ernst made Layup. Assisted by Dinero Mercurius.,56,45
15:24,2229,Trejon Jacob made Three Point Jumper. Assisted by Brian Beard Jr..,56,48
15:09,526,Brandon Goodwin Turnover.,56,48
15:07,2229,Brian Beard Jr. Steal.,56,48
15:05,2229,Trejon Jacob made Layup. Assisted by Brian Beard Jr..,56,50
14:51,526,Zach Johnson Turnover.,56,50
14:51,2229,Trejon Jacob Steal.,56,50
14:34,2229,Trejon Jacob missed Three Point Jumper.,56,50
14:34,526,Brady Ernst Defensive Rebound.,56,50
14:12,526,Zach Johnson missed Three Point Jumper.,56,50
14:12,526,Brandon Goodwin Offensive Rebound.,56,50
14:06,526,Brandon Goodwin made Layup.,58,50
13:44,526,Foul on Zach Johnson.,58,50
13:29,2229,Jay Harvey made Layup. Assisted by Brian Beard Jr..,58,52
13:18,526,Brandon Goodwin Turnover.,58,52
13:17,2229,Eric Lockett Steal.,58,52
13:13,526,Foul on Brady Ernst.,58,52
13:13,2229,Trejon Jacob made Free Throw.,58,53
13:13,2229,Trejon Jacob missed Free Throw.,58,53
13:13,526,Michael Gilmore Defensive Rebound.,58,53
12:59,526,Dinero Mercurius missed Three Point Jumper.,58,53
12:59,2229,Florida International Defensive Rebound.,58,53
12:41,2229,Eric Lockett made Layup.,58,55
12:29,526,Dinero Mercurius missed Three Point Jumper.,58,55
12:29,2229,Hassan Hussein Defensive Rebound.,58,55
12:20,2229,Trejon Jacob made Three Point Jumper. Assisted by Brian Beard Jr..,58,58
12:01,526,Christian Terrell Turnover.,58,58
12:00,2229,Brian Beard Jr. Steal.,58,58
11:58,2229,Trejon Jacob made Layup.,58,60
11:56,526,Florida Gulf Coast  Timeout,58,60
11:56,2229,Official TV Timeout,58,60
11:45,526,Dinero Mercurius missed Three Point Jumper.,58,60
11:45,526,Dinero Mercurius Offensive Rebound.,58,60
11:40,2229,Foul on Hassan Hussein.,58,60
11:35,526,Christian Terrell missed Three Point Jumper.,58,60
11:35,2229,Hassan Hussein Defensive Rebound.,58,60
11:24,2229,Eric Lockett missed Jumper.,58,60
11:24,2229,Florida International Offensive Rebound.,58,60
11:17,2229,Trejon Jacob made Layup.,58,62
11:17,526,Foul on Antravious Simmons.,58,62
11:17,2229,Trejon Jacob missed Free Throw.,58,62
11:17,526,Christian Terrell Defensive Rebound.,58,62
11:03,526,Christian Terrell made Three Point Jumper. Assisted by Michael Gilmore.,61,62
10:31,2229,Trejon Jacob missed Three Point Jumper.,61,62
10:31,526,Christian Terrell Defensive Rebound.,61,62
10:19,2229,Foul on Michael Douglas.,61,62
10:15,526,Brandon Goodwin missed Layup.,61,62
10:15,2229,Michael Douglas Defensive Rebound.,61,62
10:07,2229,Michael Douglas missed Jumper.,61,62
10:07,526,Brandon Goodwin Defensive Rebound.,61,62
9:56,526,Christian Terrell missed Three Point Jumper.,61,62
9:56,2229,Brian Beard Jr. Defensive Rebound.,61,62
9:44,2229,Brian Beard Jr. made Layup.,61,64
9:35,526,Michael Gilmore Turnover.,61,64
9:34,2229,Trejon Jacob Steal.,61,64
9:25,526,Foul on Brady Ernst.,61,64
9:25,2229,Brian Beard Jr. made Free Throw.,61,65
9:25,2229,Brian Beard Jr. made Free Throw.,61,66
9:04,2229,Foul on Osasumwen Osaghae.,61,66
9:04,526,Zach Johnson made Free Throw.,62,66
9:04,526,Zach Johnson made Free Throw.,63,66
8:46,526,Foul on Michael Gilmore.,63,66
8:46,2229,Michael Douglas made Free Throw.,63,67
8:46,2229,Michael Douglas made Free Throw.,63,68
8:30,526,Christian Terrell Turnover.,63,68
8:29,2229,Brian Beard Jr. Steal.,63,68
8:26,2229,Brian Beard Jr. made Layup.,63,70
8:01,526,Zach Johnson missed Layup.,63,70
8:01,526,Antravious Simmons Offensive Rebound.,63,70
8:00,2229,Foul on Brian Beard Jr..,63,70
8:00,2229,Official TV Timeout,63,70
8:00,526,Antravious Simmons missed Free Throw.,63,70
8:00,526,Florida Gulf Coast Deadball Team Rebound.,63,70
8:00,526,Antravious Simmons missed Free Throw.,63,70
8:00,2229,Osasumwen Osaghae Defensive Rebound.,63,70
7:45,2229,Trejon Jacob Turnover.,63,70
7:44,526,RaySean Scott Jr. Steal.,63,70
7:29,2229,Foul on Trejon Jacob.,63,70
7:29,526,RaySean Scott Jr. made Free Throw.,64,70
7:29,526,RaySean Scott Jr. made Free Throw.,65,70
7:08,526,Foul on Christian Terrell.,65,70
7:08,2229,Michael Douglas made Free Throw.,65,71
7:08,2229,Michael Douglas made Free Throw.,65,72
6:52,526,Brandon Goodwin Turnover.,65,72
6:39,2229,Osasumwen Osaghae made Layup. Assisted by Eric Lockett.,65,74
6:32,526,Florida Gulf Coast  Timeout,65,74
6:19,2229,Foul on Osasumwen Osaghae.,65,74
6:19,526,Brandon Goodwin missed Free Throw.,65,74
6:19,526,Florida Gulf Coast Deadball Team Rebound.,65,74
6:19,526,Brandon Goodwin made Free Throw.,66,74
5:56,2229,Brian Beard Jr. missed Three Point Jumper.,66,74
5:56,2229,Eric Lockett Offensive Rebound.,66,74
5:41,2229,Foul on Brian Beard Jr..,66,74
5:41,2229,Brian Beard Jr. Turnover.,66,74
5:18,526,Antravious Simmons missed Layup.,66,74
5:18,2229,Michael Douglas Defensive Rebound.,66,74
5:01,526,Foul on RaySean Scott Jr..,66,74
5:01,2229,Michael Douglas made Free Throw.,66,75
5:01,2229,Michael Douglas missed Free Throw.,66,75
5:01,526,Christian Terrell Defensive Rebound.,66,75
4:46,2229,Foul on Osasumwen Osaghae.,66,75
4:46,526,Antravious Simmons missed Free Throw.,66,75
4:46,526,Florida Gulf Coast Deadball Team Rebound.,66,75
4:46,526,Antravious Simmons made Free Throw.,67,75
4:24,2229,Eric Lockett missed Jumper.,67,75
4:24,526,Antravious Simmons Defensive Rebound.,67,75
4:08,2229,Foul on Cordell Veira.,67,75
4:08,526,Brandon Goodwin made Free Throw.,68,75
4:08,526,Brandon Goodwin made Free Throw.,69,75
3:41,2229,Trejon Jacob made Three Point Jumper. Assisted by Cordell Veira.,69,78
3:28,526,Dinero Mercurius made Layup.,71,78
3:15,2229,Cordell Veira missed Three Point Jumper.,71,78
3:15,2229,Eric Lockett Offensive Rebound.,71,78
3:09,2229,Trejon Jacob missed Three Point Jumper.,71,78
3:09,526,Michael Gilmore Defensive Rebound.,71,78
2:59,526,Christian Terrell missed Three Point Jumper.,71,78
2:59,2229,Florida International Defensive Rebound.,71,78
2:57,526,Foul on Brandon Goodwin.,71,78
2:57,2229,Official TV Timeout,71,78
2:57,2229,Cordell Veira made Free Throw.,71,79
2:57,2229,Cordell Veira missed Free Throw.,71,79
2:53,2229,Jay Harvey Offensive Rebound.,71,79
2:53,526,Foul on Michael Gilmore.,71,79
2:53,2229,Jay Harvey missed Free Throw.,71,79
2:53,2229,Florida International Deadball Team Rebound.,71,79
2:53,2229,Jay Harvey missed Free Throw.,71,79
2:53,2229,Florida International Offensive Rebound.,71,79
2:51,526,Foul on Zach Johnson.,71,79
2:51,2229,Trejon Jacob made Free Throw.,71,80
2:51,2229,Trejon Jacob missed Free Throw.,71,80
2:51,526,Antravious Simmons Defensive Rebound.,71,80
2:31,526,Christian Terrell missed Jumper.,71,80
2:31,526,Antravious Simmons Offensive Rebound.,71,80
2:29,526,Antravious Simmons made Layup.,73,80
2:19,526,Foul on Zach Johnson.,73,80
2:19,2229,Brian Beard Jr. made Free Throw.,73,81
2:19,2229,Brian Beard Jr. missed Free Throw.,73,81
2:19,526,Christian Terrell Defensive Rebound.,73,81
2:07,526,Foul on Antravious Simmons.,73,81
2:07,526,Antravious Simmons Turnover.,73,81
1:49,2229,Trejon Jacob Turnover.,73,81
1:48,526,Brandon Goodwin Steal.,73,81
1:47,526,Brandon Goodwin made Layup.,75,81
1:30,526,Foul on RaySean Scott Jr..,75,81
1:30,2229,Michael Douglas missed Free Throw.,75,81
1:30,2229,Florida International Deadball Team Rebound.,75,81
1:30,2229,Michael Douglas made Free Throw.,75,82
1:22,526,Zach Johnson missed Three Point Jumper.,75,82
1:22,2229,Brian Beard Jr. Defensive Rebound.,75,82
1:14,2229,Brian Beard Jr. made Layup.,75,84
1:14,526,Foul on Christian Terrell.,75,84
1:14,2229,Brian Beard Jr. missed Free Throw.,75,84
1:14,526,Christian Terrell Defensive Rebound.,75,84
1:07,526,Zach Johnson made Three Point Jumper. Assisted by Christian Terrell.,78,84
1:04,526,Florida Gulf Coast  Timeout,78,84
0:54,526,Foul on RaySean Scott Jr..,78,84
0:54,2229,Michael Douglas made Free Throw.,78,85
0:54,2229,Michael Douglas missed Free Throw.,78,85
0:54,526,Christian Terrell Defensive Rebound.,78,85
0:47,526,Zach Johnson missed Three Point Jumper.,78,85
0:47,526,Brandon Goodwin Offensive Rebound.,78,85
0:41,526,Brandon Goodwin missed Three Point Jumper.,78,85
0:41,526,RaySean Scott Jr. Offensive Rebound.,78,85
0:36,526,RaySean Scott Jr. missed Layup.,78,85
0:36,2229,Michael Douglas Block.,78,85
0:36,2229,Brian Beard Jr. Defensive Rebound.,78,85
0:36,526,Foul on RaySean Scott Jr..,78,85
0:36,2229,Brian Beard Jr. missed Free Throw.,78,85
0:36,2229,Florida International Deadball Team Rebound.,78,85
0:36,2229,Brian Beard Jr. made Free Throw.,78,86
0:31,526,Brandon Goodwin missed Three Point Jumper.,78,86
0:31,526,RaySean Scott Jr. Offensive Rebound.,78,86
0:30,526,RaySean Scott Jr. made Dunk.,80,86
0:29,526,Foul on Zach Johnson.,80,86
0:29,2229,Brian Beard Jr. made Free Throw.,80,87
0:29,2229,Brian Beard Jr. made Free Throw.,80,88
0:24,526,Zach Johnson missed Three Point Jumper.,80,88
0:24,526,Brandon Goodwin Offensive Rebound.,80,88
0:20,526,Brandon Goodwin missed Layup.,80,88
0:20,526,RaySean Scott Jr. Offensive Rebound.,80,88
0:19,526,RaySean Scott Jr. made Two Point Tip Shot.,82,88
0:19,2229,Florida International  Timeout,82,88
0:16,526,Foul on Zach Johnson.,82,88
0:16,2229,Trejon Jacob made Free Throw.,82,89
0:16,2229,Trejon Jacob made Free Throw.,82,90
0:11,526,Brandon Goodwin made Three Point Jumper.,85,90
0:07,526,Foul on Christian Terrell.,85,90
0:07,2229,Brian Beard Jr. missed Free Throw.,85,90
0:07,2229,Florida International Deadball Team Rebound.,85,90
0:07,2229,Brian Beard Jr. made Free Throw.,85,91
0:05,526,Christian Terrell made Three Point Jumper.,88,91
0:02,526,Foul on Christian Terrell.,88,91
0:02,2229,Trejon Jacob missed Free Throw.,88,91
0:02,2229,Florida International Deadball Team Rebound.,88,91
0:02,2229,Trejon Jacob missed Free Throw.,88,91
0:02,526,Brandon Goodwin Defensive Rebound.,88,91
0:01,2229,Foul on Eric Lockett.,88,91
0:01,526,Brandon Goodwin missed Free Throw.,88,91
0:01,526,Florida Gulf Coast Deadball Team Rebound.,88,91
0:01,526,Brandon Goodwin missed Free Throw.,88,91
0:01,526,Dinero Mercurius Offensive Rebound.,88,91
0:00,526,Dinero Mercurius missed Three Point Jumper.,88,91
0:00,526,Florida Gulf Coast Deadball Team Rebound.,88,91
0:00,2229,End of Game,88,91
