Elon,2099,Canisius,2210
8:56,2210,Jack Anton made Free Throw.,16,22
8:56,2210,Jack Anton missed Free Throw.,16,22
8:56,2099,Spencer Foley Defensive Rebound.,16,22
8:42,2099,Jermaine Crumpton missed Three Point Jumper.,16,22
8:42,2210,Steven Santa Ana Defensive Rebound.,16,22
8:35,2210,Dainan Swoope missed Three Point Jumper.,16,22
8:35,2099,Isaiah Reese Defensive Rebound.,16,22
8:25,2099,Isaiah Reese made Layup.,16,24
7:59,2210,Dainan Swoope Turnover.,16,24
7:59,2099,Official TV Timeout,16,24
7:32,2210,Foul on Sheldon Eberhardt.,16,24
7:32,2099,Malik Johnson made Free Throw.,16,25
7:32,2099,Malik Johnson missed Free Throw.,16,25
7:32,2210,Tyler Seibring Defensive Rebound.,16,25
7:18,2210,Brian Dawkins made Layup.,18,25
6:53,2099,Jermaine Crumpton missed Jumper.,18,25
6:53,2210,Dmitri Thompson Defensive Rebound.,18,25
6:28,2210,Brian Dawkins missed Three Point Jumper.,18,25
6:28,2099,Jonathan Sanks Defensive Rebound.,18,25
6:06,2099,Selvedin Planincic missed Jumper.,18,25
6:06,2099,Selvedin Planincic Offensive Rebound.,18,25
6:03,2099,Selvedin Planincic made Jumper.,18,27
5:48,2210,Sheldon Eberhardt missed Layup.,18,27
5:48,2099,Jermaine Crumpton Block.,18,27
5:46,2099,Spencer Foley Defensive Rebound.,18,27
5:39,2099,Jermaine Crumpton Turnover.,18,27
5:39,2099,Foul on Jermaine Crumpton.,18,27
5:36,2210,Dainan Swoope Turnover.,18,27
5:35,2099,Spencer Foley Steal.,18,27
5:31,2210,Foul on Brian Dawkins.,18,27
5:15,2099,Jermaine Crumpton missed Three Point Jumper.,18,27
5:15,2210,Brian Dawkins Defensive Rebound.,18,27
5:05,2210,Brian Dawkins made Three Point Jumper. Assisted by Dainan Swoope.,21,27
4:42,2099,Spencer Foley missed Three Point Jumper.,21,27
4:42,2210,Tyler Seibring Defensive Rebound.,21,27
4:25,2210,Tyler Seibring missed Jumper.,21,27
4:25,2099,Selvedin Planincic Defensive Rebound.,21,27
4:00,2099,Selvedin Planincic missed Three Point Jumper.,21,27
4:00,2099,Spencer Foley Offensive Rebound.,21,27
3:36,2099,Jermaine Crumpton missed Three Point Jumper.,21,27
3:36,2210,Steven Santa Ana Defensive Rebound.,21,27
3:18,2210,Dmitri Thompson missed Three Point Jumper.,21,27
3:18,2099,Malik Johnson Defensive Rebound.,21,27
3:00,2099,Selvedin Planincic missed Three Point Jumper.,21,27
3:00,2210,Steven Santa Ana Defensive Rebound.,21,27
2:39,2210,Brian Dawkins missed Three Point Jumper.,21,27
2:39,2099,Malik Johnson Defensive Rebound.,21,27
2:32,2099,Selvedin Planincic made Layup. Assisted by Spencer Foley.,21,29
2:30,2210,Elon  Timeout,21,29
2:30,2099,Official TV Timeout,21,29
2:22,2210,Sheldon Eberhardt missed Three Point Jumper.,21,29
2:22,2099,Malik Johnson Defensive Rebound.,21,29
2:18,2210,Foul on Dainan Swoope.,21,29
1:58,2099,Isaiah Reese missed Three Point Jumper.,21,29
1:58,2210,Dainan Swoope Defensive Rebound.,21,29
1:43,2099,Foul on Jonathan Sanks.,21,29
1:43,2210,Tyler Seibring missed Free Throw.,21,29
1:43,2099,Jermaine Crumpton Defensive Rebound.,21,29
1:31,2099,Spencer Foley made Three Point Jumper. Assisted by Selvedin Planincic.,21,32
1:08,2210,Brian Dawkins Turnover.,21,32
1:07,2099,Isaiah Reese Steal.,21,32
1:05,2099,Isaiah Reese made Layup. Assisted by Malik Johnson.,21,34
0:54,2210,Brian Dawkins made Layup. Assisted by Dainan Swoope.,23,34
0:47,2099,Canisius  Timeout,23,34
0:27,2099,Jermaine Crumpton made Layup.,23,36
0:06,2210,Brian Dawkins made Three Point Jumper. Assisted by Sheldon Eberhardt.,26,36
0:00,2099,End of 1st half,26,36
19:45,2210,Brian Dawkins Turnover.,26,36
19:32,2099,Jermaine Crumpton made Layup. Assisted by Malik Johnson.,26,38
19:16,2210,Dainan Swoope missed Three Point Jumper.,26,38
19:16,2210,Elon Offensive Rebound.,26,38
19:09,2210,Dmitri Thompson made Three Point Jumper. Assisted by Dainan Swoope.,29,38
18:51,2210,Foul on Tyler Seibring.,29,38
18:38,2099,Jermaine Crumpton made Layup. Assisted by Takal Molson.,29,40
18:23,2210,Steven Santa Ana made Layup.,31,40
18:04,2099,Isaiah Reese missed Three Point Jumper.,31,40
18:04,2210,Steven Santa Ana Defensive Rebound.,31,40
17:46,2099,Foul on Selvedin Planincic.,31,40
17:36,2210,Steven Santa Ana missed Three Point Jumper.,31,40
17:36,2099,Malik Johnson Defensive Rebound.,31,40
17:13,2210,Foul on Tyler Seibring.,31,40
17:13,2099,Jermaine Crumpton made Free Throw.,31,41
17:13,2099,Jermaine Crumpton made Free Throw.,31,42
16:52,2210,Karolis Kundrotas Turnover.,31,42
16:51,2099,Isaiah Reese Steal.,31,42
16:45,2099,Malik Johnson made Three Point Jumper. Assisted by Isaiah Reese.,31,45
16:26,2210,Steven Santa Ana missed Layup.,31,45
16:26,2099,Jermaine Crumpton Defensive Rebound.,31,45
16:20,2099,Takal Molson missed Layup.,31,45
16:20,2210,Brian Dawkins Defensive Rebound.,31,45
15:58,2210,Dainan Swoope Turnover.,31,45
15:58,2099,Official TV Timeout,31,45
15:41,2099,Isaiah Reese missed Three Point Jumper.,31,45
15:41,2210,Dainan Swoope Defensive Rebound.,31,45
15:22,2210,Dmitri Thompson missed Layup.,31,45
15:22,2099,Jermaine Crumpton Defensive Rebound.,31,45
14:57,2099,Takal Molson made Three Point Jumper. Assisted by Isaiah Reese.,31,48
14:38,2099,Foul on Malik Johnson.,31,48
14:26,2210,Dmitri Thompson made Layup.,33,48
14:10,2099,Jermaine Crumpton missed Three Point Jumper.,33,48
14:10,2099,Canisius Offensive Rebound.,33,48
14:09,2210,Foul on Tyler Seibring.,33,48
13:52,2099,Malik Johnson made Layup.,33,50
13:36,2210,Sheldon Eberhardt missed Layup.,33,50
13:36,2099,Malik Johnson Defensive Rebound.,33,50
13:20,2099,Isaiah Reese Turnover.,33,50
13:15,2099,Foul on Selvedin Planincic.,33,50
13:15,2210,Dmitri Thompson made Free Throw.,34,50
13:15,2210,Dmitri Thompson made Free Throw.,35,50
12:57,2099,Jonathan Sanks missed Three Point Jumper.,35,50
12:57,2099,Jonathan Sanks Offensive Rebound.,35,50
12:48,2099,Selvedin Planincic Turnover.,35,50
12:46,2210,Sheldon Eberhardt Steal.,35,50
12:44,2210,Sheldon Eberhardt made Layup. Assisted by Simon Wright.,37,50
12:42,2099,Canisius  Timeout,37,50
12:42,2099,Official TV Timeout,37,50
12:18,2099,Spencer Foley missed Three Point Jumper.,37,50
12:18,2099,Jalanni White Offensive Rebound.,37,50
12:12,2099,Malik Johnson Turnover.,37,50
11:46,2210,Simon Wright missed Jumper.,37,50
11:46,2099,Jermaine Crumpton Defensive Rebound.,37,50
11:30,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Malik Johnson.,37,53
11:05,2210,Dmitri Thompson missed Layup.,37,53
11:05,2210,Brian Dawkins Offensive Rebound.,37,53
11:02,2210,Brian Dawkins missed Layup.,37,53
11:02,2210,Brian Dawkins Offensive Rebound.,37,53
10:59,2210,Brian Dawkins missed Two Point Tip Shot.,37,53
10:59,2099,Jonathan Sanks Defensive Rebound.,37,53
10:32,2099,Malik Johnson made Layup. Assisted by Selvedin Planincic.,37,55
10:19,2210,Simon Wright missed Three Point Jumper.,37,55
10:19,2099,Selvedin Planincic Block.,37,55
10:17,2099,Selvedin Planincic Defensive Rebound.,37,55
9:52,2210,Foul on Dmitri Thompson.,37,55
9:52,2099,Official TV Timeout,37,55
9:31,2099,Jermaine Crumpton missed Three Point Jumper.,37,55
9:31,2099,Canisius Deadball Team Rebound.,37,55
9:30,2099,Canisius  Turnover.,37,55
9:15,2099,Foul on Selvedin Planincic.,37,55
9:05,2210,Sheldon Eberhardt Turnover.,37,55
9:05,2210,Foul on Sheldon Eberhardt.,37,55
8:36,2099,Takal Molson Turnover.,37,55
8:23,2210,Brian Dawkins missed Layup.,37,55
8:23,2099,D.J. Heath Defensive Rebound.,37,55
8:15,2099,Jermaine Crumpton missed Three Point Jumper.,37,55
8:15,2210,Brian Dawkins Defensive Rebound.,37,55
8:06,2210,Steven Santa Ana made Three Point Jumper. Assisted by Sheldon Eberhardt.,40,55
7:46,2099,Official TV Timeout,40,55
7:26,2099,D.J. Heath missed Three Point Jumper.,40,55
7:26,2099,Takal Molson Offensive Rebound.,40,55
7:22,2099,Takal Molson missed Layup.,40,55
7:22,2099,Canisius Offensive Rebound.,40,55
7:21,2210,Foul on Sheldon Eberhardt.,40,55
7:12,2099,Isaiah Reese missed Jumper.,40,55
7:12,2210,Sheldon Eberhardt Defensive Rebound.,40,55
7:05,2210,Sheldon Eberhardt Turnover.,40,55
7:04,2099,Isaiah Reese Steal.,40,55
7:01,2099,Takal Molson missed Dunk.,40,55
7:01,2099,D.J. Heath Offensive Rebound.,40,55
6:59,2210,Foul on Sheldon Eberhardt.,40,55
6:59,2099,D.J. Heath missed Free Throw.,40,55
6:59,2210,Tyler Seibring Defensive Rebound.,40,55
6:40,2210,Steven Santa Ana Turnover.,40,55
6:40,2210,Foul on Steven Santa Ana.,40,55
6:31,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Isaiah Reese.,40,58
6:17,2210,Brian Dawkins Turnover.,40,58
6:17,2210,Foul on Brian Dawkins.,40,58
5:56,2099,Takal Molson made Three Point Jumper. Assisted by Selvedin Planincic.,40,61
5:46,2210,Steven Santa Ana missed Three Point Jumper.,40,61
5:46,2099,Selvedin Planincic Defensive Rebound.,40,61
5:32,2210,Foul on Tyler Seibring.,40,61
5:32,2099,Selvedin Planincic missed Free Throw.,40,61
5:32,2099,Canisius Deadball Team Rebound.,40,61
5:32,2099,Selvedin Planincic made Free Throw.,40,62
5:23,2210,Nathan Priddy missed Layup.,40,62
5:23,2210,Elon Offensive Rebound.,40,62
5:23,2099,Foul on Jermaine Crumpton.,40,62
5:04,2210,Dmitri Thompson missed Jumper.,40,62
5:04,2099,Isaiah Reese Defensive Rebound.,40,62
4:58,2099,Isaiah Reese missed Three Point Jumper.,40,62
4:58,2210,Dmitri Thompson Defensive Rebound.,40,62
4:49,2210,Nathan Priddy made Layup. Assisted by Dmitri Thompson.,42,62
4:28,2099,Takal Molson missed Jumper.,42,62
4:28,2210,Duje Radja Defensive Rebound.,42,62
4:22,2210,Steven Santa Ana missed Three Point Jumper.,42,62
4:22,2099,Malik Johnson Defensive Rebound.,42,62
3:55,2099,Official TV Timeout,42,62
3:53,2210,Foul on Nathan Priddy.,42,62
3:53,2099,Takal Molson made Free Throw.,42,63
3:53,2099,Takal Molson made Free Throw.,42,64
3:44,2210,Seth Fuller made Three Point Jumper. Assisted by Collin Luther.,45,64
3:18,2099,Spencer Foley made Three Point Jumper.,45,67
3:05,2210,Seth Fuller missed Three Point Jumper.,45,67
3:05,2099,Malik Johnson Defensive Rebound.,45,67
2:44,2099,Jermaine Crumpton missed Three Point Jumper.,45,67
2:44,2210,Duje Radja Defensive Rebound.,45,67
2:24,2210,Duje Radja made Layup. Assisted by Seth Fuller.,47,67
1:55,2099,Jermaine Crumpton missed Three Point Jumper.,47,67
1:55,2210,Elon Defensive Rebound.,47,67
1:42,2210,Duje Radja missed Layup.,47,67
1:42,2099,Dantai St. Louis Block.,47,67
1:40,2099,Scott Hitchon Defensive Rebound.,47,67
1:12,2099,Spencer Foley Turnover.,47,67
0:55,2210,Duje Radja made Jumper.,49,67
0:25,2099,Takal Molson missed Three Point Jumper.,49,67
0:25,2099,Canisius Deadball Team Rebound.,49,67
0:24,2099,Canisius  Turnover.,49,67
0:17,2210,Nathan Priddy made Jumper.,51,67
0:00,2099,End of Game,51,67
