Wake Forest,77,Northwestern,154
12:44,77,Barret Benson missed Jumper.,14,14
12:44,154,Konstantinos Mitoglou Defensive Rebound.,14,14
12:32,154,John Collins missed Jumper.,14,14
12:32,154,Konstantinos Mitoglou Offensive Rebound.,14,14
12:25,77,Foul on Vic Law.,14,14
12:20,154,Keyshawn Woods missed Three Point Jumper.,14,14
12:20,77,Nathan Taphorn Defensive Rebound.,14,14
12:13,77,Bryant McIntosh made Jumper. Assisted by Nathan Taphorn.,14,16
12:01,154,Brandon Childress missed Jumper.,14,16
12:01,77,Barret Benson Defensive Rebound.,14,16
11:54,77,Barret Benson Turnover.,14,16
11:54,154,Brandon Childress Steal.,14,16
11:49,154,Brandon Childress missed Layup.,14,16
11:49,154,John Collins Offensive Rebound.,14,16
11:49,154,John Collins made Two Point Tip Shot.,16,16
11:33,154,Foul on Bryant Crawford.,16,16
11:33,77,Official TV Timeout,16,16
11:13,77,Bryant McIntosh missed Three Point Jumper.,16,16
11:13,77,Gavin Skelly Offensive Rebound.,16,16
11:07,77,Scottie Lindsey missed Three Point Jumper.,16,16
11:07,154,Brandon Childress Defensive Rebound.,16,16
10:51,154,Konstantinos Mitoglou Turnover.,16,16
10:51,77,Gavin Skelly Steal.,16,16
10:28,77,Bryant McIntosh missed Jumper.,16,16
10:28,77,Dererk Pardon Offensive Rebound.,16,16
10:28,77,Dererk Pardon missed Two Point Tip Shot.,16,16
10:28,154,Keyshawn Woods Defensive Rebound.,16,16
10:17,154,Brandon Childress missed Jumper.,16,16
10:17,77,Scottie Lindsey Defensive Rebound.,16,16
9:50,77,Nathan Taphorn missed Three Point Jumper.,16,16
9:50,77,Northwestern Deadball Team Rebound.,16,16
9:46,154,Foul on Keyshawn Woods.,16,16
9:42,77,Foul on Dererk Pardon.,16,16
9:42,77,Dererk Pardon Turnover.,16,16
9:24,154,Konstantinos Mitoglou made Dunk. Assisted by Keyshawn Woods.,18,16
9:12,77,Nathan Taphorn Turnover.,18,16
9:12,154,Konstantinos Mitoglou Steal.,18,16
9:05,154,Greg McClinton missed Layup.,18,16
9:05,154,Konstantinos Mitoglou Offensive Rebound.,18,16
9:01,77,Foul on Dererk Pardon.,18,16
9:01,154,Konstantinos Mitoglou made Free Throw.,19,16
9:01,154,Konstantinos Mitoglou made Free Throw.,20,16
8:50,77,Isiah Brown missed Three Point Jumper.,20,16
8:50,154,Konstantinos Mitoglou Defensive Rebound.,20,16
8:38,77,Foul on Sanjay Lumpkin.,20,16
8:38,154,Bryant Crawford made Free Throw.,21,16
8:38,154,Bryant Crawford made Free Throw.,22,16
8:15,77,Gavin Skelly Turnover.,22,16
7:59,154,John Collins made Jumper. Assisted by Keyshawn Woods.,24,16
7:40,77,Vic Law made Jumper. Assisted by Scottie Lindsey.,24,18
7:24,154,Foul on John Collins.,24,18
7:24,154,John Collins Turnover.,24,18
7:24,77,Official TV Timeout,24,18
7:18,77,Sanjay Lumpkin missed Three Point Jumper.,24,18
7:18,154,Keyshawn Woods Defensive Rebound.,24,18
6:49,154,Bryant Crawford missed Jumper.,24,18
6:49,77,Vic Law Defensive Rebound.,24,18
6:43,77,Scottie Lindsey made Three Point Jumper. Assisted by Vic Law.,24,21
6:20,154,Bryant Crawford Turnover.,24,21
6:20,77,Gavin Skelly Steal.,24,21
6:15,77,Bryant McIntosh missed Layup.,24,21
6:15,77,Sanjay Lumpkin Offensive Rebound.,24,21
6:15,77,Sanjay Lumpkin missed Two Point Tip Shot.,24,21
6:15,77,Sanjay Lumpkin Offensive Rebound.,24,21
6:08,154,Foul on Mitchell Wilbekin.,24,21
6:08,77,Sanjay Lumpkin made Free Throw.,24,22
6:08,77,Sanjay Lumpkin made Free Throw.,24,23
5:50,154,Keyshawn Woods missed Jumper.,24,23
5:50,77,Sanjay Lumpkin Defensive Rebound.,24,23
5:42,77,Scottie Lindsey missed Three Point Jumper.,24,23
5:42,154,Keyshawn Woods Defensive Rebound.,24,23
5:32,154,Mitchell Wilbekin missed Three Point Jumper.,24,23
5:32,77,Scottie Lindsey Defensive Rebound.,24,23
5:17,77,Gavin Skelly made Three Point Jumper. Assisted by Scottie Lindsey.,24,26
5:03,154,Bryant Crawford missed Three Point Jumper.,24,26
5:03,77,Gavin Skelly Defensive Rebound.,24,26
4:48,77,Scottie Lindsey missed Jumper.,24,26
4:48,77,Gavin Skelly Offensive Rebound.,24,26
4:47,154,Foul on Mitchell Wilbekin.,24,26
4:47,77,Gavin Skelly missed Free Throw.,24,26
4:47,154,Konstantinos Mitoglou Defensive Rebound.,24,26
4:34,154,Konstantinos Mitoglou missed Three Point Jumper.,24,26
4:34,77,Bryant McIntosh Defensive Rebound.,24,26
4:23,77,Vic Law missed Three Point Jumper.,24,26
4:23,154,Brandon Childress Defensive Rebound.,24,26
4:02,154,Brandon Childress made Jumper.,26,26
3:39,77,Bryant McIntosh missed Jumper.,26,26
3:39,154,Bryant Crawford Defensive Rebound.,26,26
3:19,77,Official TV Timeout,26,26
3:04,154,Bryant Crawford Turnover.,26,26
2:54,77,Scottie Lindsey made Layup. Assisted by Sanjay Lumpkin.,26,28
2:33,154,Keyshawn Woods made Three Point Jumper. Assisted by Bryant Crawford.,29,28
2:00,77,Gavin Skelly made Layup. Assisted by Bryant McIntosh.,29,30
1:35,154,Konstantinos Mitoglou made Layup. Assisted by Bryant Crawford.,31,30
1:29,77,Northwestern  Timeout,31,30
1:15,77,Gavin Skelly missed Three Point Jumper.,31,30
1:15,154,Bryant Crawford Defensive Rebound.,31,30
1:09,154,Bryant Crawford Turnover.,31,30
1:09,77,Jordan Ash Steal.,31,30
1:03,77,Jordan Ash missed Layup.,31,30
1:03,77,Sanjay Lumpkin Offensive Rebound.,31,30
1:01,77,Sanjay Lumpkin Turnover.,31,30
1:01,154,Brandon Childress Steal.,31,30
0:56,154,Austin Arians missed Layup.,31,30
0:56,77,Bryant McIntosh Defensive Rebound.,31,30
0:49,77,Bryant McIntosh missed Layup.,31,30
0:49,77,Northwestern Offensive Rebound.,31,30
0:45,77,Gavin Skelly Turnover.,31,30
0:31,154,Bryant Crawford missed Jumper.,31,30
0:31,77,Northwestern Defensive Rebound.,31,30
0:23,154,Wake Forest  Timeout,31,30
0:06,77,Scottie Lindsey missed Three Point Jumper.,31,30
0:06,154,Keyshawn Woods Defensive Rebound.,31,30
0:00,77,End of 1st half,31,30
20:00,154,Jump Ball won by Wake Forest,31,30
19:49,154,Bryant Crawford missed Jumper.,31,30
19:49,77,Dererk Pardon Defensive Rebound.,31,30
19:33,77,Vic Law made Layup. Assisted by Sanjay Lumpkin.,31,32
19:09,154,Konstantinos Mitoglou missed Layup.,31,32
19:09,154,Austin Arians Offensive Rebound.,31,32
19:03,154,Bryant Crawford made Layup. Assisted by Austin Arians.,33,32
18:53,77,Sanjay Lumpkin made Layup. Assisted by Scottie Lindsey.,33,34
18:25,154,John Collins missed Jumper.,33,34
18:24,154,John Collins Offensive Rebound.,33,34
18:23,154,John Collins missed Layup.,33,34
18:22,154,John Collins Offensive Rebound.,33,34
18:20,77,Foul on Bryant McIntosh.,33,34
18:19,154,Konstantinos Mitoglou made Three Point Jumper. Assisted by Bryant Crawford.,36,34
18:03,77,Sanjay Lumpkin missed Three Point Jumper.,36,34
18:03,154,Konstantinos Mitoglou Defensive Rebound.,36,34
17:51,154,Austin Arians missed Three Point Jumper.,36,34
17:51,77,Dererk Pardon Defensive Rebound.,36,34
17:26,77,Jordan Ash missed Three Point Jumper.,36,34
17:26,154,Austin Arians Defensive Rebound.,36,34
17:20,154,Bryant Crawford Turnover.,36,34
17:20,77,Scottie Lindsey Steal.,36,34
17:11,77,Scottie Lindsey made Dunk.,36,36
16:52,154,Mitchell Wilbekin missed Three Point Jumper.,36,36
16:52,154,John Collins Offensive Rebound.,36,36
16:45,154,John Collins made Layup.,38,36
16:26,77,Vic Law missed Jumper.,38,36
16:26,154,Mitchell Wilbekin Defensive Rebound.,38,36
16:17,154,Keyshawn Woods Turnover.,38,36
16:17,77,Sanjay Lumpkin Steal.,38,36
15:53,77,Vic Law missed Three Point Jumper.,38,36
15:53,154,John Collins Defensive Rebound.,38,36
15:39,154,Konstantinos Mitoglou missed Jumper.,38,36
15:39,154,John Collins Offensive Rebound.,38,36
15:30,154,John Collins made Jumper.,40,36
15:10,77,Scottie Lindsey missed Three Point Jumper.,40,36
15:10,154,John Collins Defensive Rebound.,40,36
14:55,154,Konstantinos Mitoglou missed Three Point Jumper.,40,36
14:55,154,Wake Forest Deadball Team Rebound.,40,36
14:49,77,Foul on Dererk Pardon.,40,36
14:49,77,Official TV Timeout,40,36
14:42,154,John Collins missed Layup.,40,36
14:42,77,Gavin Skelly Block.,40,36
14:42,154,Konstantinos Mitoglou Offensive Rebound.,40,36
14:40,154,John Collins missed Layup.,40,36
14:40,77,Dererk Pardon Block.,40,36
14:40,154,John Collins Offensive Rebound.,40,36
14:40,154,Keyshawn Woods missed Jumper.,40,36
14:40,77,Dererk Pardon Defensive Rebound.,40,36
14:00,77,Scottie Lindsey missed Jumper.,40,36
14:00,154,John Collins Defensive Rebound.,40,36
13:48,77,Foul on Dererk Pardon.,40,36
13:48,154,John Collins missed Free Throw.,40,36
13:48,154,Wake Forest Deadball Team Rebound.,40,36
13:48,154,John Collins missed Free Throw.,40,36
13:48,77,Northwestern Deadball Team Rebound.,40,36
13:48,154,Foul on Konstantinos Mitoglou.,40,36
13:38,77,Gavin Skelly made Layup.,40,38
13:17,154,Foul on Greg McClinton.,40,38
13:17,154,Greg McClinton Turnover.,40,38
13:06,77,Scottie Lindsey missed Layup.,40,38
13:06,154,Konstantinos Mitoglou Defensive Rebound.,40,38
12:48,77,Foul on Gavin Skelly.,40,38
12:29,154,Bryant Crawford made Jumper.,42,38
12:06,77,Bryant McIntosh made Layup. Assisted by Gavin Skelly.,42,40
11:49,154,Konstantinos Mitoglou missed Three Point Jumper.,42,40
11:49,77,Vic Law Defensive Rebound.,42,40
11:41,77,Bryant McIntosh made Layup.,42,42
11:22,154,Brandon Childress missed Jumper.,42,42
11:22,77,Scottie Lindsey Defensive Rebound.,42,42
11:04,77,Bryant McIntosh made Layup.,42,44
10:42,154,Keyshawn Woods missed Jumper.,42,44
10:42,77,Northwestern Defensive Rebound.,42,44
10:37,77,Official TV Timeout,42,44
10:30,77,Scottie Lindsey missed Three Point Jumper.,42,44
10:30,154,John Collins Defensive Rebound.,42,44
10:25,77,Foul on Gavin Skelly.,42,44
10:03,154,Brandon Childress missed Jumper.,42,44
10:03,77,Gavin Skelly Block.,42,44
10:03,77,Gavin Skelly Defensive Rebound.,42,44
10:03,77,Jump Ball won by Northwestern,42,44
9:53,77,Gavin Skelly missed Three Point Jumper.,42,44
9:53,77,Sanjay Lumpkin Offensive Rebound.,42,44
9:45,77,Vic Law missed Jumper.,42,44
9:45,154,John Collins Defensive Rebound.,42,44
9:26,154,Bryant Crawford Turnover.,42,44
9:26,77,Sanjay Lumpkin Steal.,42,44
9:14,77,Vic Law missed Three Point Jumper.,42,44
9:14,154,John Collins Defensive Rebound.,42,44
8:57,154,Brandon Childress made Three Point Jumper. Assisted by Keyshawn Woods.,45,44
8:30,77,Scottie Lindsey made Jumper.,45,46
8:05,77,Foul on Vic Law.,45,46
7:55,154,Greg McClinton missed Layup.,45,46
7:55,77,Jordan Ash Block.,45,46
7:55,154,Wake Forest Offensive Rebound.,45,46
7:55,77,Official TV Timeout,45,46
7:46,154,Bryant Crawford missed Three Point Jumper.,45,46
7:46,77,Scottie Lindsey Defensive Rebound.,45,46
7:29,77,Bryant McIntosh made Three Point Jumper. Assisted by Sanjay Lumpkin.,45,49
7:14,154,Bryant Crawford made Jumper.,47,49
6:45,77,Scottie Lindsey missed Three Point Jumper.,47,49
6:45,154,Greg McClinton Defensive Rebound.,47,49
6:29,154,Bryant Crawford missed Jumper.,47,49
6:29,77,Jordan Ash Defensive Rebound.,47,49
6:11,154,Foul on Greg McClinton.,47,49
6:11,77,Gavin Skelly made Free Throw.,47,50
6:11,77,Gavin Skelly made Free Throw.,47,51
5:58,154,Foul on Bryant Crawford.,47,51
5:58,154,Bryant Crawford Turnover.,47,51
5:41,77,Gavin Skelly Turnover.,47,51
5:41,154,Keyshawn Woods Steal.,47,51
5:35,77,Foul on Gavin Skelly.,47,51
5:35,154,Keyshawn Woods made Free Throw.,48,51
5:35,154,Keyshawn Woods made Free Throw.,49,51
5:11,77,Foul on Bryant McIntosh.,49,51
5:11,77,Bryant McIntosh Turnover.,49,51
5:00,154,Konstantinos Mitoglou made Jumper. Assisted by Keyshawn Woods.,51,51
4:45,77,Northwestern  Timeout,51,51
4:36,77,Gavin Skelly missed Layup.,51,51
4:36,154,John Collins Block.,51,51
4:36,154,Keyshawn Woods Defensive Rebound.,51,51
4:05,154,Mitchell Wilbekin missed Jumper.,51,51
4:05,77,Sanjay Lumpkin Block.,51,51
4:05,154,Wake Forest Offensive Rebound.,51,51
4:02,154,Wake Forest  Turnover.,51,51
3:50,77,Bryant McIntosh made Jumper.,51,53
3:34,154,Bryant Crawford missed Jumper.,51,53
3:34,154,Keyshawn Woods Offensive Rebound.,51,53
3:25,77,Foul on Scottie Lindsey.,51,53
3:25,77,Official TV Timeout,51,53
3:25,154,Keyshawn Woods made Free Throw.,52,53
3:25,154,Keyshawn Woods made Free Throw.,53,53
3:13,77,Bryant McIntosh made Jumper.,53,55
3:13,154,Foul on John Collins.,53,55
3:13,77,Bryant McIntosh made Free Throw.,53,56
3:03,154,Bryant Crawford Turnover.,53,56
3:03,77,Vic Law Steal.,53,56
2:36,77,Vic Law missed Three Point Jumper.,53,56
2:36,154,Konstantinos Mitoglou Defensive Rebound.,53,56
2:34,154,Konstantinos Mitoglou Turnover.,53,56
2:24,77,Bryant McIntosh made Jumper.,53,58
2:08,154,Keyshawn Woods Turnover.,53,58
2:08,77,Sanjay Lumpkin Steal.,53,58
2:03,154,Foul on Keyshawn Woods.,53,58
2:03,154,Wake Forest  Timeout,53,58
1:43,77,Gavin Skelly missed Three Point Jumper.,53,58
1:43,154,Konstantinos Mitoglou Defensive Rebound.,53,58
1:33,77,Foul on Bryant McIntosh.,53,58
1:33,154,Keyshawn Woods made Free Throw.,54,58
1:33,154,Keyshawn Woods made Free Throw.,55,58
1:06,77,Bryant McIntosh made Three Point Jumper. Assisted by Scottie Lindsey.,55,61
0:51,154,Konstantinos Mitoglou missed Three Point Jumper.,55,61
0:51,77,Bryant McIntosh Defensive Rebound.,55,61
0:44,154,Foul on Bryant Crawford.,55,61
0:44,77,Bryant McIntosh missed Free Throw.,55,61
0:44,154,Bryant Crawford Defensive Rebound.,55,61
0:39,154,Bryant Crawford missed Three Point Jumper.,55,61
0:39,154,John Collins Offensive Rebound.,55,61
0:34,154,Jump Ball won by Wake Forest,55,61
0:32,154,Keyshawn Woods made Three Point Jumper. Assisted by Konstantinos Mitoglou.,58,61
0:30,154,Wake Forest  Timeout,58,61
0:23,77,Sanjay Lumpkin made Layup. Assisted by Gavin Skelly.,58,63
0:19,154,Keyshawn Woods missed Three Point Jumper.,58,63
0:19,77,Gavin Skelly Defensive Rebound.,58,63
0:12,77,Sanjay Lumpkin made Dunk. Assisted by Gavin Skelly.,58,65
0:08,154,Mitchell Wilbekin missed Three Point Jumper.,58,65
0:08,77,Gavin Skelly Defensive Rebound.,58,65
0:00,77,End of Game,58,65
