Mt. St. Mary's,8,Arkansas,116
4:17,116,Elijah Long Defensive Rebound.,26,33
4:11,116,Elijah Long Turnover.,26,33
4:10,8,Manuale Watkins Steal.,26,33
4:05,8,Dustin Thomas made Layup. Assisted by Anton Beard.,26,35
3:56,116,Greg Alexander made Dunk. Assisted by Miles Wilson.,28,35
3:48,8,Manuale Watkins made Layup.,28,37
3:33,116,Elijah Long made Layup.,30,37
3:33,8,Foul on Dustin Thomas.,30,37
3:33,8,Official TV Timeout,30,37
3:33,116,Elijah Long made Free Throw.,31,37
3:27,8,Jaylen Barford made Three Point Jumper. Assisted by Daryl Macon.,31,40
2:49,116,Greg Alexander Turnover.,31,40
2:48,8,Jaylen Barford Steal.,31,40
2:38,8,Anton Beard made Three Point Jumper.,31,43
2:09,8,Foul on Trey Thompson.,31,43
2:09,116,Elijah Long made Free Throw.,32,43
2:09,116,Elijah Long made Free Throw.,33,43
1:59,8,Daryl Macon Turnover.,33,43
1:58,116,Chris Wray Steal.,33,43
1:56,116,Chris Wray made Layup.,35,43
1:50,8,Anton Beard missed Jumper.,35,43
1:50,8,Arkansas Deadball Team Rebound.,35,43
1:49,116,Foul on Mawdo Sallah.,35,43
1:43,8,Daryl Macon missed Layup.,35,43
1:43,116,Will Miller Defensive Rebound.,35,43
1:15,116,Greg Alexander missed Three Point Jumper.,35,43
1:15,8,Anton Beard Defensive Rebound.,35,43
1:02,8,Anton Beard missed Three Point Jumper.,35,43
1:02,8,Anton Beard Offensive Rebound.,35,43
0:57,8,Trey Thompson missed Jumper.,35,43
0:57,116,Elijah Long Defensive Rebound.,35,43
0:48,116,Elijah Long made Jumper.,37,43
0:31,8,Daryl Macon made Layup.,37,45
0:01,116,Elijah Long missed Jumper.,37,45
0:01,8,Arkansas Defensive Rebound.,37,45
0:00,8,End of 1st half,37,45
19:47,116,Greg Alexander missed Three Point Jumper.,37,45
19:47,8,Manuale Watkins Defensive Rebound.,37,45
19:39,8,Moses Kingsley missed Jumper.,37,45
19:39,116,Elijah Long Defensive Rebound.,37,45
19:17,116,Chris Wray missed Jumper.,37,45
19:17,116,Chris Wray Offensive Rebound.,37,45
19:12,116,Chris Wray made Layup.,39,45
18:57,8,Dustin Thomas made Layup. Assisted by Moses Kingsley.,39,47
18:42,116,Junior Robinson Turnover.,39,47
18:40,8,Dusty Hannahs Steal.,39,47
18:36,8,Dustin Thomas made Layup. Assisted by Manuale Watkins.,39,49
18:29,116,Greg Alexander made Dunk. Assisted by Elijah Long.,41,49
18:18,8,Dusty Hannahs missed Three Point Jumper.,41,49
18:18,116,Mawdo Sallah Defensive Rebound.,41,49
18:09,116,Greg Alexander missed Three Point Jumper.,41,49
18:09,8,Dusty Hannahs Defensive Rebound.,41,49
17:47,116,Foul on Mawdo Sallah.,41,49
17:45,8,Dusty Hannahs made Layup. Assisted by Manuale Watkins.,41,51
17:19,116,Greg Alexander made Three Point Jumper. Assisted by Junior Robinson.,44,51
17:09,8,Dusty Hannahs missed Jumper.,44,51
17:09,8,Moses Kingsley Offensive Rebound.,44,51
17:00,8,Manuale Watkins made Layup. Assisted by Anton Beard.,44,53
16:46,116,Will Miller missed Three Point Jumper.,44,53
16:46,8,Manuale Watkins Defensive Rebound.,44,53
16:40,8,Anton Beard missed Jumper.,44,53
16:40,8,Anton Beard Offensive Rebound.,44,53
16:33,8,Dusty Hannahs missed Layup.,44,53
16:33,116,Greg Alexander Defensive Rebound.,44,53
16:32,8,Foul on Moses Kingsley.,44,53
16:18,116,Will Miller missed Three Point Jumper.,44,53
16:18,8,Trey Thompson Defensive Rebound.,44,53
15:57,8,Dusty Hannahs missed Three Point Jumper.,44,53
15:57,8,Trey Thompson Offensive Rebound.,44,53
15:52,8,Anton Beard made Layup. Assisted by Manuale Watkins.,44,55
15:25,8,Foul on Dustin Thomas.,44,55
15:25,8,Official TV Timeout,44,55
15:25,116,Junior Robinson missed Free Throw.,44,55
15:25,116,Mt. St. Mary's Deadball Team Rebound.,44,55
15:25,116,Junior Robinson made Free Throw.,45,55
15:18,116,Foul on Miles Wilson.,45,55
15:15,116,Foul on Elijah Long.,45,55
15:00,8,Anton Beard made Jumper.,45,57
14:55,8,Foul on Dustin Thomas.,45,57
14:42,116,Will Miller made Three Point Jumper. Assisted by Junior Robinson.,48,57
14:25,8,Manuale Watkins missed Layup.,48,57
14:25,116,Mt. St. Mary's Defensive Rebound.,48,57
13:52,116,Junior Robinson missed Layup.,48,57
13:52,8,Trey Thompson Defensive Rebound.,48,57
13:45,116,Foul on Will Miller.,48,57
13:45,8,Dusty Hannahs made Free Throw.,48,58
13:45,8,Dusty Hannahs made Free Throw.,48,59
13:23,116,Greg Alexander made Three Point Jumper. Assisted by Elijah Long.,51,59
13:07,8,C.J. Jones missed Three Point Jumper.,51,59
13:07,116,Mawdo Sallah Defensive Rebound.,51,59
12:57,116,Will Miller missed Three Point Jumper.,51,59
12:57,8,Arlando Cook Defensive Rebound.,51,59
12:39,8,C.J. Jones missed Jumper.,51,59
12:39,116,Mt. St. Mary's Deadball Team Rebound.,51,59
12:38,8,Foul on Trey Thompson.,51,59
12:23,8,Foul on Trey Thompson.,51,59
12:06,116,Mawdo Sallah made Layup.,53,59
11:48,8,Daryl Macon made Three Point Jumper. Assisted by Moses Kingsley.,53,62
11:37,116,Elijah Long missed Layup.,53,62
11:37,8,Moses Kingsley Block.,53,62
11:35,116,Mt. St. Mary's Offensive Rebound.,53,62
11:35,8,Official TV Timeout,53,62
11:14,116,Chris Wray missed Jumper.,53,62
11:14,116,Mt. St. Mary's Offensive Rebound.,53,62
10:55,116,Elijah Long missed Three Point Jumper.,53,62
10:55,8,Moses Kingsley Defensive Rebound.,53,62
10:45,116,Foul on Greg Alexander.,53,62
10:45,8,C.J. Jones made Free Throw.,53,63
10:45,8,C.J. Jones made Free Throw.,53,64
10:26,116,Junior Robinson missed Three Point Jumper.,53,64
10:26,8,Arkansas Deadball Team Rebound.,53,64
10:23,116,Foul on Mawdo Sallah.,53,64
10:09,116,Foul on Elijah Long.,53,64
10:09,8,Daryl Macon made Free Throw.,53,65
10:09,8,Daryl Macon made Free Throw.,53,66
10:05,8,Foul on Daryl Macon.,53,66
9:44,116,Junior Robinson missed Layup.,53,66
9:44,8,Jaylen Barford Defensive Rebound.,53,66
9:36,8,Arlando Cook missed Layup.,53,66
9:36,8,Moses Kingsley Offensive Rebound.,53,66
9:33,8,Moses Kingsley made Two Point Tip Shot.,53,68
9:09,116,Will Miller missed Three Point Jumper.,53,68
9:09,8,Moses Kingsley Defensive Rebound.,53,68
9:00,116,Foul on Miles Wilson.,53,68
9:00,8,Arlando Cook missed Free Throw.,53,68
9:00,8,Arkansas Deadball Team Rebound.,53,68
9:00,8,Arlando Cook made Free Throw.,53,69
8:46,8,Foul on Arlando Cook.,53,69
8:46,116,Chris Wray missed Free Throw.,53,69
8:46,8,Moses Kingsley Defensive Rebound.,53,69
8:37,116,Foul on Chris Wray.,53,69
8:37,8,Moses Kingsley missed Free Throw.,53,69
8:37,8,Arkansas Deadball Team Rebound.,53,69
8:37,8,Moses Kingsley made Free Throw.,53,70
8:21,116,Will Miller made Three Point Jumper. Assisted by Elijah Long.,56,70
8:04,8,Moses Kingsley missed Jumper.,56,70
8:04,116,Will Miller Defensive Rebound.,56,70
7:46,116,Will Miller missed Three Point Jumper.,56,70
7:46,8,Moses Kingsley Defensive Rebound.,56,70
7:38,8,Official TV Timeout,56,70
7:31,116,Foul on Junior Robinson.,56,70
7:31,8,Daryl Macon made Free Throw.,56,71
7:31,8,Daryl Macon made Free Throw.,56,72
7:12,116,Elijah Long missed Jumper.,56,72
7:12,8,Moses Kingsley Defensive Rebound.,56,72
7:04,8,Jaylen Barford made Three Point Jumper. Assisted by Daryl Macon.,56,75
6:52,8,Foul on Daryl Macon.,56,75
6:52,116,Chris Wray missed Free Throw.,56,75
6:52,116,Mt. St. Mary's Deadball Team Rebound.,56,75
6:52,116,Chris Wray made Free Throw.,57,75
6:41,8,Jaylen Barford made Layup. Assisted by Moses Kingsley.,57,77
6:41,116,Foul on Miles Wilson.,57,77
6:41,8,Jaylen Barford made Free Throw.,57,78
6:24,8,Foul on Jaylen Barford.,57,78
6:24,116,Chris Wray missed Free Throw.,57,78
6:24,8,Moses Kingsley Defensive Rebound.,57,78
6:14,8,Anton Beard Turnover.,57,78
5:57,8,Foul on Moses Kingsley.,57,78
5:57,116,Elijah Long made Free Throw.,58,78
5:57,116,Elijah Long made Free Throw.,59,78
5:50,116,Foul on Khalid Nwandu.,59,78
5:50,8,Anton Beard made Free Throw.,59,79
5:50,8,Anton Beard missed Free Throw.,59,79
5:50,8,Dusty Hannahs Offensive Rebound.,59,79
5:46,8,Jaylen Barford missed Three Point Jumper.,59,79
5:46,8,Arkansas Offensive Rebound.,59,79
5:41,8,Dusty Hannahs missed Jumper.,59,79
5:41,116,Junior Robinson Block.,59,79
5:39,116,Elijah Long Defensive Rebound.,59,79
5:29,116,Charles Glover missed Three Point Jumper.,59,79
5:29,116,Mt. St. Mary's Deadball Team Rebound.,59,79
5:26,8,Foul on Dusty Hannahs.,59,79
5:26,116,Elijah Long made Free Throw.,60,79
5:26,116,Elijah Long made Free Throw.,61,79
5:15,8,Dusty Hannahs missed Three Point Jumper.,61,79
5:15,116,Elijah Long Defensive Rebound.,61,79
5:12,116,Junior Robinson made Three Point Jumper. Assisted by Elijah Long.,64,79
4:55,8,Moses Kingsley made Dunk. Assisted by Jaylen Barford.,64,81
4:25,116,Greg Alexander missed Three Point Jumper.,64,81
4:25,8,Dustin Thomas Defensive Rebound.,64,81
4:15,116,Foul on Junior Robinson.,64,81
4:15,8,Dusty Hannahs made Free Throw.,64,82
4:15,8,Dusty Hannahs made Free Throw.,64,83
4:01,8,Foul on C.J. Jones.,64,83
4:01,116,Elijah Long made Free Throw.,65,83
4:01,116,Elijah Long made Free Throw.,66,83
4:01,116,Elijah Long made Free Throw.,67,83
3:52,116,Foul on Junior Robinson.,67,83
3:52,8,Official TV Timeout,67,83
3:52,8,Moses Kingsley made Free Throw.,67,84
3:52,8,Moses Kingsley missed Free Throw.,67,84
3:52,116,Elijah Long Defensive Rebound.,67,84
3:36,116,Greg Alexander missed Three Point Jumper.,67,84
3:36,8,Dustin Thomas Defensive Rebound.,67,84
3:24,8,Moses Kingsley made Layup.,67,86
3:10,116,Junior Robinson made Three Point Jumper. Assisted by Elijah Long.,70,86
2:47,8,Moses Kingsley missed Layup.,70,86
2:47,8,Moses Kingsley Offensive Rebound.,70,86
2:41,8,Moses Kingsley Turnover.,70,86
2:35,116,Elijah Long missed Layup.,70,86
2:35,8,Dustin Thomas Defensive Rebound.,70,86
2:25,8,Jaylen Barford missed Three Point Jumper.,70,86
2:25,8,Anton Beard Offensive Rebound.,70,86
1:54,8,Anton Beard made Three Point Jumper. Assisted by C.J. Jones.,70,89
1:29,116,Charles Glover made Layup.,72,89
1:20,8,Arkansas  Timeout,72,89
1:16,116,Foul on Ryan Gomes.,72,89
1:16,8,Brachen Hazen missed Free Throw.,72,89
1:16,8,Arkansas Deadball Team Rebound.,72,89
1:16,8,Brachen Hazen missed Free Throw.,72,89
1:16,116,Bryce Thurston Defensive Rebound.,72,89
1:00,116,Ryan Gomes made Jumper. Assisted by Sean Gurdon.,74,89
0:33,8,C.J. Jones missed Three Point Jumper.,74,89
0:33,116,Khalid Nwandu Defensive Rebound.,74,89
0:20,116,Charles Glover made Layup.,76,89
0:18,116,Charles Glover made Layup.,76,89
0:00,8,End of Game,76,89
