SIU-Edwardsville,2253,Grand Canyon,2565
1:45,2565,Burak Eslik made Free Throw.,39,25
1:24,2253,DeWayne Russell Turnover.,39,25
1:23,2565,Justin Benton Steal.,39,25
1:20,2565,Burak Eslik made Layup.,41,25
1:01,2253,DeWayne Russell missed Three Point Jumper.,41,25
1:01,2565,Keenan Simmons Defensive Rebound.,41,25
0:58,2253,Foul on Kerwin Smith.,41,25
0:58,2565,Keenan Simmons made Free Throw.,42,25
0:58,2565,Keenan Simmons missed Free Throw.,42,25
0:58,2253,Keonta Vernon Defensive Rebound.,42,25
0:28,2253,Gerard Martin missed Three Point Jumper.,42,25
0:28,2565,Carlos Anderson Defensive Rebound.,42,25
0:19,2565,SIU-Edwardsville  Timeout,42,25
0:07,2565,Burak Eslik made Three Point Jumper. Assisted by Justin Benton.,45,25
0:00,2253,End of 1st half,45,25
19:41,2565,Carlos Anderson missed Three Point Jumper.,45,25
19:41,2565,Carlos Anderson Offensive Rebound.,45,25
19:25,2565,Christian Ellis missed Layup.,45,25
19:25,2253,Shaq Carr Defensive Rebound.,45,25
19:10,2565,Foul on Jalen Henry.,45,25
19:07,2253,DeWayne Russell made Layup.,45,27
18:45,2253,Foul on Gerard Martin.,45,27
18:45,2565,Keenan Simmons made Free Throw.,46,27
18:45,2565,Keenan Simmons made Free Throw.,47,27
18:25,2253,Oscar Frayer missed Three Point Jumper.,47,27
18:25,2565,Keenan Simmons Defensive Rebound.,47,27
18:17,2565,Carlos Anderson made Layup.,49,27
18:17,2253,Foul on Oscar Frayer.,49,27
18:17,2565,Carlos Anderson made Free Throw.,50,27
17:51,2253,DeWayne Russell missed Jumper.,50,27
17:51,2565,Keenan Simmons Defensive Rebound.,50,27
17:32,2565,Christian Ellis missed Layup.,50,27
17:32,2253,Darion Clark Defensive Rebound.,50,27
17:26,2565,Foul on Jalen Henry.,50,27
17:26,2253,Shaq Carr made Free Throw.,50,28
17:26,2253,Shaq Carr made Free Throw.,50,29
17:10,2565,Keenan Simmons missed Jumper.,50,29
17:10,2253,DeWayne Russell Defensive Rebound.,50,29
16:59,2253,Shaq Carr Turnover.,50,29
16:58,2565,Christian Ellis Steal.,50,29
16:55,2565,Christian Ellis Turnover.,50,29
16:54,2253,Gerard Martin Steal.,50,29
16:50,2253,Darion Clark missed Dunk.,50,29
16:50,2253,Oscar Frayer Offensive Rebound.,50,29
16:35,2253,DeWayne Russell made Jumper.,50,31
16:01,2565,Christian Ellis Turnover.,50,31
16:01,2253,Official TV Timeout,50,31
15:40,2253,Gerard Martin missed Three Point Jumper.,50,31
15:40,2565,SIU-Edwardsville Defensive Rebound.,50,31
15:23,2565,Carlos Anderson missed Jumper.,50,31
15:23,2253,Gerard Martin Defensive Rebound.,50,31
15:21,2565,Foul on Keenan Simmons.,50,31
15:08,2253,Shaq Carr missed Layup.,50,31
15:08,2565,Brandon Jackson Defensive Rebound.,50,31
14:55,2565,Christian Ellis missed Layup.,50,31
14:55,2565,Brandon Jackson Offensive Rebound.,50,31
14:51,2253,Oscar Frayer Block.,50,31
14:49,2565,Burak Eslik missed Three Point Jumper.,50,31
14:49,2565,SIU-Edwardsville Offensive Rebound.,50,31
14:39,2565,Foul on Brandon Jackson.,50,31
14:39,2253,Oscar Frayer made Free Throw.,50,32
14:39,2253,Oscar Frayer made Free Throw.,50,33
14:27,2565,Keenan Simmons made Dunk. Assisted by Christian Ellis.,52,33
14:18,2253,DeWayne Russell missed Layup.,52,33
14:18,2565,Keenan Simmons Block.,52,33
14:15,2253,Keonta Vernon Offensive Rebound.,52,33
14:14,2253,Keonta Vernon made Layup.,52,35
14:02,2565,Devin Thornton Turnover.,52,35
14:01,2253,Gerard Martin Steal.,52,35
13:54,2253,Shaq Carr Turnover.,52,35
13:52,2565,Keenan Simmons Steal.,52,35
13:40,2565,Christian Ellis Turnover.,52,35
13:39,2253,Shaq Carr Steal.,52,35
13:34,2253,Keonta Vernon made Layup. Assisted by Shaq Carr.,52,37
13:31,2565,SIU-Edwardsville  Timeout,52,37
13:16,2565,Jalen Henry missed Layup.,52,37
13:16,2565,Keenan Simmons Offensive Rebound.,52,37
13:13,2565,Keenan Simmons made Layup.,54,37
12:56,2253,Keonta Vernon made Dunk. Assisted by Shaq Carr.,54,39
12:21,2565,Tre Harris missed Jumper.,54,39
12:21,2253,Fiifi Aidoo Defensive Rebound.,54,39
12:10,2253,DeWayne Russell missed Three Point Jumper.,54,39
12:10,2565,Keenan Simmons Defensive Rebound.,54,39
11:46,2565,Jalen Henry Turnover.,54,39
11:45,2253,Gerard Martin Steal.,54,39
11:38,2253,Shaq Carr missed Three Point Jumper.,54,39
11:38,2253,Fiifi Aidoo Offensive Rebound.,54,39
11:24,2253,Keonta Vernon missed Jumper.,54,39
11:24,2565,Keenan Simmons Defensive Rebound.,54,39
11:08,2565,Keenan Simmons missed Layup.,54,39
11:08,2253,Gerard Martin Defensive Rebound.,54,39
10:58,2565,Foul on Tre Harris.,54,39
10:58,2253,Official TV Timeout,54,39
10:58,2253,Gerard Martin made Free Throw.,54,40
10:58,2253,Gerard Martin made Free Throw.,54,41
10:53,2565,Christian Ellis Turnover.,54,41
10:52,2253,Gerard Martin Steal.,54,41
10:48,2253,Gerard Martin made Layup. Assisted by Shaq Carr.,54,43
10:28,2565,Tre Harris made Three Point Jumper. Assisted by Christian Ellis.,57,43
9:59,2253,Gerard Martin missed Layup.,57,43
9:59,2565,Carlos Anderson Defensive Rebound.,57,43
9:43,2565,Tre Harris missed Jumper.,57,43
9:43,2565,Keenan Simmons Offensive Rebound.,57,43
9:35,2565,Tre Harris missed Three Point Jumper.,57,43
9:35,2253,Keonta Vernon Defensive Rebound.,57,43
9:26,2253,Gerard Martin missed Three Point Jumper.,57,43
9:26,2253,Keonta Vernon Offensive Rebound.,57,43
9:21,2253,Keonta Vernon made Layup.,57,45
8:59,2565,Jalen Henry made Layup.,59,45
8:59,2253,Foul on Keonta Vernon.,59,45
8:59,2565,Jalen Henry made Free Throw.,60,45
8:45,2253,Shaq Carr Turnover.,60,45
8:24,2565,Carlos Anderson made Layup.,62,45
8:08,2253,Fiifi Aidoo missed Layup.,62,45
8:08,2253,Keonta Vernon Offensive Rebound.,62,45
8:05,2253,Keonta Vernon made Dunk.,62,47
7:51,2565,Tre Harris missed Three Point Jumper.,62,47
7:51,2253,Fiifi Aidoo Defensive Rebound.,62,47
7:36,2253,DeWayne Russell Turnover.,62,47
7:05,2253,Foul on Oscar Frayer.,62,47
7:05,2565,Carlos Anderson missed Free Throw.,62,47
7:05,2565,SIU-Edwardsville Deadball Team Rebound.,62,47
7:05,2565,Carlos Anderson made Free Throw.,63,47
6:50,2253,Fiifi Aidoo Turnover.,63,47
6:31,2565,Carlos Anderson Turnover.,63,47
6:30,2253,Gerard Martin Steal.,63,47
6:27,2565,Foul on Christian Ellis.,63,47
6:27,2253,Shaq Carr missed Free Throw.,63,47
6:27,2253,Grand Canyon Deadball Team Rebound.,63,47
6:27,2253,Shaq Carr made Free Throw.,63,48
6:07,2565,Jalen Henry missed Layup.,63,48
6:07,2253,Fiifi Aidoo Defensive Rebound.,63,48
5:59,2253,Shaq Carr missed Layup.,63,48
5:59,2253,Keonta Vernon Offensive Rebound.,63,48
5:56,2253,Keonta Vernon made Layup.,63,50
5:46,2253,Foul on Fiifi Aidoo.,63,50
5:46,2565,Jalen Henry missed Free Throw.,63,50
5:46,2565,SIU-Edwardsville Deadball Team Rebound.,63,50
5:46,2565,Jalen Henry made Free Throw.,64,50
5:24,2253,Fiifi Aidoo missed Three Point Jumper.,64,50
5:24,2253,Shaq Carr Offensive Rebound.,64,50
5:18,2253,Foul on Shaq Carr.,64,50
5:18,2253,Shaq Carr Turnover.,64,50
5:08,2565,SIU-Edwardsville  Turnover.,64,50
4:58,2565,Foul on Keenan Simmons.,64,50
4:58,2253,Keonta Vernon missed Free Throw.,64,50
4:58,2565,Keenan Simmons Defensive Rebound.,64,50
4:37,2565,Jalen Henry Turnover.,64,50
4:23,2253,DeWayne Russell made Three Point Jumper.,64,53
3:53,2565,Tre Harris Turnover.,64,53
3:53,2253,Official TV Timeout,64,53
3:39,2253,Gerard Martin missed Three Point Jumper.,64,53
3:39,2565,SIU-Edwardsville Defensive Rebound.,64,53
3:24,2565,Tre Harris made Three Point Jumper. Assisted by Christian Ellis.,67,53
2:55,2565,Foul on Carlos Anderson.,67,53
2:55,2253,Shaq Carr missed Free Throw.,67,53
2:55,2253,Grand Canyon Deadball Team Rebound.,67,53
2:55,2253,Shaq Carr made Free Throw.,67,54
2:37,2565,Carlos Anderson made Jumper.,69,54
2:18,2253,Gerard Martin missed Three Point Jumper.,69,54
2:18,2253,Shaq Carr Offensive Rebound.,69,54
2:07,2253,DeWayne Russell made Three Point Jumper. Assisted by Shaq Carr.,69,57
2:07,2253,Grand Canyon  Timeout,69,57
2:04,2565,Christian Ellis Turnover.,69,57
2:03,2253,Gerard Martin Steal.,69,57
2:00,2565,Foul on Carlos Anderson.,69,57
2:00,2253,DeWayne Russell made Free Throw.,69,58
2:00,2253,DeWayne Russell made Free Throw.,69,59
1:56,2253,Gerard Martin missed Three Point Jumper.,69,59
1:56,2565,Christian Ellis Defensive Rebound.,69,59
1:37,2565,SIU-Edwardsville  Timeout,69,59
1:37,2253,Foul on Gerard Martin.,69,59
1:37,2565,Christian Ellis made Free Throw.,70,59
1:37,2565,Christian Ellis missed Free Throw.,70,59
1:37,2253,Keonta Vernon Defensive Rebound.,70,59
1:30,2253,Foul on Fiifi Aidoo.,70,59
1:30,2253,Fiifi Aidoo Turnover.,70,59
1:11,2565,Carlos Anderson made Layup. Assisted by Christian Ellis.,72,59
1:02,2253,DeWayne Russell missed Three Point Jumper.,72,59
1:02,2565,Carlos Anderson Defensive Rebound.,72,59
0:53,2253,Foul on Gerard Martin.,72,59
0:53,2565,Carlos Anderson made Free Throw.,73,59
0:53,2565,Carlos Anderson made Free Throw.,74,59
0:46,2253,Gerard Martin made Three Point Jumper. Assisted by DeWayne Russell.,74,62
0:44,2253,Grand Canyon  Timeout,74,62
0:44,2253,Foul on Shaq Carr.,74,62
0:44,2565,Burak Eslik made Free Throw.,75,62
0:44,2565,Burak Eslik missed Free Throw.,75,62
0:44,2253,Keonta Vernon Defensive Rebound.,75,62
0:34,2253,DeWayne Russell missed Layup.,75,62
0:34,2565,Jalen Henry Block.,75,62
0:32,2565,Christian Ellis Defensive Rebound.,75,62
0:32,2253,Foul on Keonta Vernon.,75,62
0:32,2565,Technical Foul on Christian Ellis.,75,62
0:32,2253,Technical Foul on Shaq Carr.,75,62
0:32,2565,Christian Ellis missed Free Throw.,75,62
0:32,2565,SIU-Edwardsville Deadball Team Rebound.,75,62
0:32,2565,Christian Ellis made Free Throw.,76,62
0:24,2565,Foul on Tre Harris.,76,62
0:24,2253,Gerard Martin made Free Throw.,76,63
0:24,2253,Gerard Martin made Free Throw.,76,64
0:00,2253,End of Game,76,64
