Montreat College,Error,Appalachian State,2026
8:13,2410,Patrick Roulette made Free Throw.,22,35
8:13,2026,Foul on Matt O'Boyle.,21,35
8:13,2410,Patrick Roulette made Free Throw.,23,35
8:02,2026,Griffin Kinney missed Layup.,23,35
8:02,2410,Patrick Roulette Defensive Rebound.,23,35
7:39,2410,Patrick Roulette missed Jumper.,23,35
7:39,2026,Griffin Kinney Defensive Rebound.,23,35
7:28,2026,Emarius Logan missed Three Point Jumper.,23,35
7:28,2026,Kelvin Robinson Offensive Rebound.,23,35
7:16,2410,Foul on David Everage.,23,35
7:16,2026,Official TV Timeout,23,35
7:16,2026,Griffin Kinney missed Free Throw.,23,35
7:16,2026,Appalachian St Deadball Team Rebound.,23,35
7:16,2026,Griffin Kinney made Free Throw.,23,36
7:06,2410,Jordan Eaton made Layup. Assisted by Patrick Roulette.,25,36
6:45,2026,Emarius Logan missed Three Point Jumper.,25,36
6:45,2026,Griffin Kinney Offensive Rebound.,25,36
6:40,2026,Ronshad Shabazz missed Three Point Jumper.,25,36
6:40,2410,Jordan Eaton Defensive Rebound.,25,36
6:15,2410,Amire Lewis Turnover.,25,36
6:14,2026,Ronshad Shabazz Steal.,25,36
6:10,2026,Ronshad Shabazz missed Layup.,25,36
6:10,2026,Isaac Johnson Offensive Rebound.,25,36
6:09,2410,Foul on Terrell Sheffey.,25,36
6:09,2026,Isaac Johnson missed Free Throw.,25,36
6:09,2026,Appalachian St Deadball Team Rebound.,25,36
6:09,2026,Isaac Johnson made Free Throw.,25,37
5:59,2410,Patrick Roulette Turnover.,25,37
5:58,2026,Jake Wilson Steal.,25,37
5:50,2026,Kelvin Robinson made Three Point Jumper. Assisted by Ronshad Shabazz.,25,40
5:34,2410,Amire Lewis Turnover.,25,40
5:33,2026,Craig Hinton Steal.,25,40
5:30,2026,Craig Hinton made Dunk.,25,42
5:29,2410,Montreat  Timeout,25,42
5:17,2410,Spencer Norris missed Layup.,25,42
5:17,2026,Jake Wilson Block.,25,42
5:14,2026,Craig Hinton Defensive Rebound.,25,42
5:14,2410,Foul on Spencer Norris.,25,42
5:14,2026,Craig Hinton made Free Throw.,25,43
5:14,2026,Craig Hinton made Free Throw.,25,44
5:03,2410,Terrell Sheffey missed Three Point Jumper.,25,44
5:03,2026,Jake Wilson Defensive Rebound.,25,44
4:54,2026,Ronshad Shabazz made Layup.,25,46
4:29,2410,Jordan Eaton missed Layup.,25,46
4:29,2026,Jake Wilson Block.,25,46
4:29,2410,Montreat Offensive Rebound.,25,46
4:27,2410,Jordan Eaton missed Layup.,25,46
4:27,2026,Jake Wilson Block.,25,46
4:27,2026,Craig Hinton Defensive Rebound.,25,46
4:13,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Emarius Logan.,25,49
4:00,2410,Derrick Cusano made Jumper.,27,49
3:41,2026,Emarius Logan made Three Point Jumper. Assisted by Ronshad Shabazz.,27,52
3:24,2410,Derrick Cusano made Jumper.,29,52
3:07,2026,Jake Wilson missed Layup.,29,52
3:07,2026,Appalachian St Offensive Rebound.,29,52
3:07,2026,Official TV Timeout,29,52
3:00,2026,Zach Cottrell missed Three Point Jumper.,29,52
3:00,2026,Patrick Good Offensive Rebound.,29,52
2:50,2410,Foul on Kristian Williams.,29,52
2:50,2026,Jake Wilson missed Free Throw.,29,52
2:50,2026,Appalachian St Deadball Team Rebound.,29,52
2:50,2026,Jake Wilson made Free Throw.,29,53
2:29,2410,Cody Miller missed Layup.,29,53
2:29,2026,Jake Wilson Block.,29,53
2:27,2026,Craig Hinton Defensive Rebound.,29,53
2:12,2410,Foul on Spencer Norris.,29,53
2:12,2026,Jake Babic made Free Throw.,29,54
2:12,2026,Jake Babic made Free Throw.,29,55
1:58,2410,Terrell Sheffey missed Jumper.,29,55
1:58,2410,Kristian Williams Offensive Rebound.,29,55
1:53,2410,Kristian Williams missed Layup.,29,55
1:53,2026,Jake Babic Defensive Rebound.,29,55
1:30,2026,Craig Hinton made Three Point Jumper. Assisted by Jake Babic.,29,58
1:19,2026,Foul on Patrick Good.,29,58
1:19,2410,Terrell Sheffey made Free Throw.,30,58
1:19,2410,Terrell Sheffey made Free Throw.,31,58
1:03,2026,Jake Babic Turnover.,31,58
1:02,2410,Kristian Williams Steal.,31,58
0:57,2410,Cody Miller missed Three Point Jumper.,31,58
0:57,2410,Kristian Williams Offensive Rebound.,31,58
0:52,2410,Terrell Sheffey missed Three Point Jumper.,31,58
0:52,2026,Jake Wilson Defensive Rebound.,31,58
0:44,2026,Patrick Good made Three Point Jumper. Assisted by Jake Babic.,31,61
0:30,2410,Spencer Norris Turnover.,31,61
0:28,2026,Jake Wilson Steal.,31,61
0:01,2026,Jake Babic Turnover.,31,61
0:00,2410,Terrell Sheffey Steal.,31,61
0:00,2026,End of 1st half,31,61
19:44,2026,Ronshad Shabazz missed Three Point Jumper.,31,61
19:44,2026,Kelvin Robinson Offensive Rebound.,31,61
19:41,2026,Kelvin Robinson made Layup.,31,63
19:11,2026,Foul on Tyrell Johnson.,31,63
19:11,2410,David Everage missed Free Throw.,31,63
19:11,2410,Montreat Deadball Team Rebound.,31,63
19:11,2410,David Everage made Free Throw.,32,63
18:59,2026,Emarius Logan made Three Point Jumper. Assisted by Kelvin Robinson.,32,66
18:42,2026,Foul on Emarius Logan.,32,66
18:38,2410,Alonzo Mobley Turnover.,32,66
18:38,2026,Emarius Logan Steal.,32,66
18:37,2410,Foul on Dj Caldwell.,32,66
18:33,2026,Griffin Kinney made Layup. Assisted by Jake Wilson.,32,68
18:06,2410,David Everage made Jumper. Assisted by Justin Storr.,34,68
17:47,2026,Emarius Logan missed Jumper.,34,68
17:47,2410,Justin Storr Defensive Rebound.,34,68
17:38,2410,Dj Caldwell missed Three Point Jumper.,34,68
17:38,2026,Appalachian St Defensive Rebound.,34,68
17:22,2410,Foul on Dj Caldwell.,34,68
17:22,2026,Griffin Kinney made Free Throw.,34,69
17:22,2026,Griffin Kinney made Free Throw.,34,70
17:08,2410,Alonzo Mobley missed Layup.,34,70
17:08,2026,Kelvin Robinson Defensive Rebound.,34,70
16:59,2026,Kelvin Robinson missed Three Point Jumper.,34,70
16:59,2410,Sean Doman Defensive Rebound.,34,70
16:48,2410,Spencer Norris missed Layup.,34,70
16:48,2026,Griffin Kinney Block.,34,70
16:46,2026,Kelvin Robinson Defensive Rebound.,34,70
16:42,2026,Griffin Kinney missed Layup.,34,70
16:42,2410,Alonzo Mobley Block.,34,70
16:39,2026,Tyrell Johnson Offensive Rebound.,34,70
16:39,2026,Tyrell Johnson Turnover.,34,70
16:30,2410,Foul on Alonzo Mobley.,34,70
16:30,2410,Alonzo Mobley Turnover.,34,70
16:20,2410,Foul on David Everage.,34,70
16:20,2410,Technical Foul on Alonzo Mobley.,34,70
16:20,2410,Foul on Alonzo Mobley.,34,70
16:20,2026,Emarius Logan missed Free Throw.,34,70
16:20,2026,Appalachian St Deadball Team Rebound.,34,70
16:20,2026,Emarius Logan made Free Throw.,34,71
16:07,2026,Griffin Kinney made Dunk. Assisted by Ronshad Shabazz.,34,73
15:46,2410,David Everage missed Jumper.,34,73
15:46,2026,Tyrell Johnson Defensive Rebound.,34,73
15:37,2026,Ronshad Shabazz made Layup. Assisted by Emarius Logan.,34,75
15:06,2410,David Everage made Layup.,36,75
14:53,2026,Tyrell Johnson Turnover.,36,75
14:53,2026,Official TV Timeout,36,75
14:41,2410,Terrell Sheffey missed Three Point Jumper.,36,75
14:41,2026,Isaac Johnson Defensive Rebound.,36,75
14:18,2026,Isaac Johnson missed Three Point Jumper.,36,75
14:18,2410,Terrell Sheffey Defensive Rebound.,36,75
13:59,2410,David Everage made Layup. Assisted by Amire Lewis.,38,75
13:48,2026,Isaac Johnson made Layup. Assisted by Patrick Good.,38,77
13:33,2410,Derrick Cusano Turnover.,38,77
13:19,2410,Foul on Derrick Cusano.,38,77
13:19,2026,Craig Hinton missed Free Throw.,38,77
13:19,2026,Appalachian St Deadball Team Rebound.,38,77
13:19,2026,Craig Hinton made Free Throw.,38,78
13:11,2410,Amire Lewis missed Three Point Jumper.,38,78
13:11,2026,Craig Hinton Defensive Rebound.,38,78
13:02,2026,Jake Babic made Layup.,38,80
12:52,2026,Foul on Jake Babic.,38,80
12:52,2410,Terrell Sheffey made Free Throw.,39,80
12:52,2410,Terrell Sheffey made Free Throw.,40,80
12:38,2026,Jake Babic missed Three Point Jumper.,40,80
12:38,2026,Craig Hinton Offensive Rebound.,40,80
12:33,2026,Craig Hinton made Two Point Tip Shot.,40,82
12:27,2410,Austin Butler missed Three Point Jumper.,40,82
12:27,2026,Patrick Good Defensive Rebound.,40,82
12:20,2026,Matt O'Boyle made Three Point Jumper. Assisted by Patrick Good.,40,85
12:02,2410,Patrick Roulette missed Jumper.,40,85
12:02,2026,Isaac Johnson Defensive Rebound.,40,85
11:51,2026,Matt O'Boyle made Three Point Jumper. Assisted by Patrick Good.,40,88
11:43,2410,Montreat  Timeout,40,88
11:29,2410,Derrick Cusano missed Jumper.,40,88
11:29,2410,Derrick Cusano Offensive Rebound.,40,88
11:20,2410,Terrell Sheffey Turnover.,40,88
11:19,2026,Matt O'Boyle Steal.,40,88
11:11,2026,Isaac Johnson missed Layup.,40,88
11:11,2410,Patrick Roulette Defensive Rebound.,40,88
11:03,2410,Austin Butler Turnover.,40,88
11:02,2026,Jake Babic Steal.,40,88
10:51,2026,Jake Babic made Three Point Jumper. Assisted by Isaac Johnson.,40,91
10:25,2410,Terrell Sheffey missed Layup.,40,91
10:25,2026,Isaac Johnson Defensive Rebound.,40,91
10:15,2026,Matt O'Boyle made Layup. Assisted by Jake Babic.,40,93
10:15,2410,Foul on Austin Butler.,40,93
10:15,2026,Official TV Timeout,40,93
10:15,2026,Matt O'Boyle missed Free Throw.,40,93
10:15,2410,Montreat Defensive Rebound.,40,93
10:06,2410,Austin Butler Turnover.,40,93
9:57,2026,Patrick Good missed Three Point Jumper.,40,93
9:57,2410,Montreat Defensive Rebound.,40,93
9:28,2410,Andrew McGuire missed Layup.,40,93
9:28,2026,Isaac Johnson Defensive Rebound.,40,93
9:18,2026,Isaac Johnson made Layup. Assisted by Patrick Good.,40,95
9:02,2410,Isaiah Williams missed Three Point Jumper.,40,95
9:02,2026,Craig Hinton Defensive Rebound.,40,95
8:51,2026,Craig Hinton missed Three Point Jumper.,40,95
8:51,2410,Isaiah Williams Defensive Rebound.,40,95
8:44,2410,Kristian Williams missed Layup.,40,95
8:44,2026,Craig Hinton Block.,40,95
8:42,2410,Montreat Offensive Rebound.,40,95
8:40,2410,Kristian Williams missed Three Point Jumper.,40,95
8:40,2026,Jake Wilson Defensive Rebound.,40,95
8:26,2026,Zach Cottrell missed Layup.,40,95
8:26,2026,Zach Cottrell Offensive Rebound.,40,95
8:23,2026,Zach Cottrell made Layup.,40,97
8:16,2410,Spencer Norris made Layup. Assisted by Isaiah Williams.,42,97
8:06,2026,Patrick Good missed Three Point Jumper.,42,97
8:06,2410,Montreat Defensive Rebound.,42,97
7:54,2026,Foul on Zach Cottrell.,42,97
7:54,2026,Official TV Timeout,42,97
7:53,2410,Austin Butler missed Three Point Jumper.,42,97
7:53,2026,Jake Wilson Defensive Rebound.,42,97
7:36,2410,Foul on Cody Miller.,42,97
7:36,2026,Jake Wilson missed Free Throw.,42,97
7:36,2410,Jordan Eaton Defensive Rebound.,42,97
7:26,2410,Spencer Norris missed Three Point Jumper.,42,97
7:26,2026,Jake Wilson Defensive Rebound.,42,97
7:13,2026,Patrick Good Turnover.,42,97
7:12,2410,Isaiah Williams Steal.,42,97
7:01,2410,Cody Miller missed Layup.,42,97
7:01,2410,Isaiah Williams Offensive Rebound.,42,97
6:56,2410,Austin Butler missed Three Point Jumper.,42,97
6:56,2026,Jake Wilson Block.,42,97
6:55,2410,Austin Butler Offensive Rebound.,42,97
6:50,2410,Jordan Eaton made Layup. Assisted by Spencer Norris.,44,97
6:49,2026,Appalachian St  Timeout,44,97
6:37,2026,Jake Wilson Turnover.,44,97
6:20,2410,Austin Butler missed Three Point Jumper.,44,97
6:20,2410,Jordan Eaton Offensive Rebound.,44,97
6:15,2410,Jordan Eaton Turnover.,44,97
6:02,2026,Kevin Kerley made Jumper. Assisted by Zach Cottrell.,44,99
5:47,2410,Austin Butler made Three Point Jumper. Assisted by Isaiah Williams.,47,99
5:38,2026,Bennett Holley made Three Point Jumper. Assisted by Patrick Good.,47,102
5:03,2410,Austin Butler made Jumper. Assisted by Jordan Eaton.,49,102
5:03,2026,Foul on Kevin Kerley.,49,102
5:03,2410,Austin Butler missed Free Throw.,49,102
5:03,2026,Bennett Holley Defensive Rebound.,49,102
4:58,2026,Zach Cottrell made Layup. Assisted by Kevin Kerley.,49,104
4:45,2410,Andrew McGuire missed Three Point Jumper.,49,104
4:45,2410,Jordan Eaton Offensive Rebound.,49,104
4:39,2410,Isaiah Williams missed Three Point Jumper.,49,104
4:39,2026,Bennett Holley Defensive Rebound.,49,104
4:29,2026,Kevin Kerley Turnover.,49,104
4:16,2410,Andrew McGuire Turnover.,49,104
4:14,2026,Bennett Holley Steal.,49,104
3:57,2410,Foul on Austin Butler.,49,104
3:57,2026,Official TV Timeout,49,104
3:57,2026,Jake Wilson missed Free Throw.,49,104
3:57,2026,Appalachian St Deadball Team Rebound.,49,104
3:57,2026,Jake Wilson made Free Throw.,49,105
3:42,2026,Foul on Jake Wilson.,49,105
3:42,2410,Andrew McGuire made Free Throw.,50,105
3:42,2410,Andrew McGuire missed Free Throw.,50,105
3:42,2410,Cody Miller Offensive Rebound.,50,105
3:42,2026,Foul on Jake Wilson.,50,105
3:42,2410,Cody Miller missed Free Throw.,50,105
3:42,2026,Jake Wilson Defensive Rebound.,50,105
3:29,2026,Trey Ford missed Three Point Jumper.,50,105
3:29,2026,Bennett Holley Offensive Rebound.,50,105
3:22,2410,Foul on Cody Miller.,50,105
3:22,2026,Bennett Holley made Free Throw.,50,106
3:22,2026,Bennett Holley made Free Throw.,50,107
3:10,2410,Jordan Eaton missed Jumper.,50,107
3:10,2026,Jake Wilson Defensive Rebound.,50,107
2:59,2026,Zach Cottrell made Three Point Jumper. Assisted by Kevin Kerley.,50,110
2:30,2410,Austin Butler missed Jumper.,50,110
2:30,2026,Jake Wilson Block.,50,110
2:28,2410,Montreat Offensive Rebound.,50,110
2:26,2410,Andrew McGuire Turnover.,50,110
2:24,2026,Bennett Holley Steal.,50,110
2:19,2026,Bennett Holley made Three Point Jumper. Assisted by Kevin Kerley.,50,113
2:05,2410,Isaiah Williams missed Three Point Jumper.,50,113
2:05,2410,Kristian Williams Offensive Rebound.,50,113
1:57,2410,Austin Butler missed Three Point Jumper.,50,113
1:57,2410,Montreat Offensive Rebound.,50,113
1:46,2410,Jordan Eaton made Layup. Assisted by Austin Butler.,52,113
1:40,2026,Zach Cottrell missed Three Point Jumper.,52,113
1:40,2410,Kristian Williams Defensive Rebound.,52,113
1:29,2410,Kristian Williams missed Layup.,52,113
1:29,2410,Jordan Eaton Offensive Rebound.,52,113
1:20,2410,Isaiah Williams made Three Point Jumper. Assisted by Jordan Eaton.,55,113
0:51,2026,Kevin Kerley made Three Point Jumper.,55,116
0:38,2410,Andrew McGuire missed Three Point Jumper.,55,116
0:38,2410,Jordan Eaton Offensive Rebound.,55,116
0:34,2410,Jordan Eaton missed Layup.,55,116
0:34,2410,Montreat Offensive Rebound.,55,116
0:25,2026,Foul on Zach Cottrell.,55,116
0:25,2410,Andrew McGuire made Free Throw.,56,116
0:25,2410,Andrew McGuire made Free Throw.,57,116
0:00,2026,End of Game,57,116
