Savannah State,204,Oregon State,2542
9:33,204,Ronnie Stacy made Free Throw.,25,22
9:29,2542,Joshua Floyd Turnover.,25,22
9:07,204,Jaquori McLaughlin missed Three Point Jumper.,25,22
9:07,2542,Jordan Gaines Defensive Rebound.,25,22
8:52,2542,Austin Dasent missed Three Point Jumper.,25,22
8:52,204,Ben Kone Defensive Rebound.,25,22
8:41,204,Drew Eubanks made Dunk. Assisted by Jaquori McLaughlin.,25,24
8:25,2542,Austin Dasent made Three Point Jumper. Assisted by Jahir Cabeza.,28,24
8:11,204,Drew Eubanks made Dunk. Assisted by Kendal Manuel.,28,26
8:01,2542,Casey Wells made Three Point Jumper. Assisted by Zach Sellers.,31,26
8:00,204,Foul on Ronnie Stacy.,31,26
8:00,2542,Casey Wells made Free Throw.,32,26
7:47,204,Ben Kone Turnover.,32,26
7:47,204,Foul on Ben Kone.,32,26
7:47,204,Official TV Timeout,32,26
7:37,2542,Jahir Cabeza missed Three Point Jumper.,32,26
7:37,204,Stephen Thompson Jr. Defensive Rebound.,32,26
7:09,2542,Foul on Casey Wells.,32,26
7:09,204,Stephen Thompson Jr. missed Free Throw.,32,26
7:09,204,Kendal Manuel Offensive Rebound.,32,26
7:04,204,Kendal Manuel Turnover.,32,26
7:02,2542,Kamil Williams Steal.,32,26
6:47,2542,Troyce Manassa missed Layup.,32,26
6:47,204,Drew Eubanks Defensive Rebound.,32,26
6:44,2542,Foul on Jordan Gaines.,32,26
6:44,204,Drew Eubanks made Free Throw.,32,27
6:44,204,Drew Eubanks made Free Throw.,32,28
6:34,2542,Jahir Cabeza missed Layup.,32,28
6:34,204,Drew Eubanks Block.,32,28
6:34,2542,Savannah St Offensive Rebound.,32,28
6:21,204,Foul on Ronnie Stacy.,32,28
6:21,2542,Robert Kelly Jr. missed Free Throw.,32,28
6:21,2542,Savannah St Deadball Team Rebound.,32,28
6:21,2542,Robert Kelly Jr. missed Free Throw.,32,28
6:21,204,Drew Eubanks Defensive Rebound.,32,28
6:11,204,Ben Kone missed Layup.,32,28
6:11,2542,Robert Kelly Jr. Block.,32,28
6:11,204,Ben Kone Offensive Rebound.,32,28
6:01,204,Ben Kone made Layup.,32,30
5:55,2542,Kamil Williams made Three Point Jumper. Assisted by Jahir Cabeza.,35,30
5:45,204,Drew Eubanks made Dunk. Assisted by Ben Kone.,35,32
5:38,2542,Jahir Cabeza missed Three Point Jumper.,35,32
5:38,204,Drew Eubanks Defensive Rebound.,35,32
5:22,2542,Foul on Jahir Cabeza.,35,32
5:22,204,Stephen Thompson Jr. made Free Throw.,35,33
5:22,204,Stephen Thompson Jr. made Free Throw.,35,34
5:12,204,Jaquori McLaughlin missed Layup.,35,34
5:12,2542,Casey Wells Block.,35,34
5:12,204,Oregon St Offensive Rebound.,35,34
4:59,204,Foul on Tanner Sanders.,35,34
4:59,2542,Kamil Williams made Free Throw.,36,34
4:59,2542,Kamil Williams made Free Throw.,37,34
4:51,2542,Foul on Austin Dasent.,37,34
4:51,204,Jaquori McLaughlin made Free Throw.,37,35
4:51,204,Jaquori McLaughlin missed Free Throw.,37,35
4:51,2542,Troyce Manassa Defensive Rebound.,37,35
4:42,2542,Kamil Williams made Layup.,39,35
4:24,204,Stephen Thompson Jr. missed Three Point Jumper.,39,35
4:24,204,Tanner Sanders Offensive Rebound.,39,35
4:21,2542,Foul on Kamil Williams.,39,35
4:21,204,Tanner Sanders missed Free Throw.,39,35
4:21,204,Oregon St Deadball Team Rebound.,39,35
4:21,204,Tanner Sanders missed Free Throw.,39,35
4:21,2542,Robert Kelly Jr. Defensive Rebound.,39,35
4:14,204,Foul on Tanner Sanders.,39,35
4:14,2542,Joshua Floyd made Free Throw.,40,35
4:14,2542,Joshua Floyd missed Free Throw.,40,35
4:14,204,Daine Muller Defensive Rebound.,40,35
3:59,204,Drew Eubanks missed Jumper.,40,35
3:59,2542,Austin Dasent Defensive Rebound.,40,35
3:57,204,Foul on Stephen Thompson Jr..,40,35
3:57,204,Official TV Timeout,40,35
3:57,2542,Austin Dasent made Free Throw.,41,35
3:57,2542,Austin Dasent made Free Throw.,42,35
3:26,204,Kendal Manuel Turnover.,42,35
3:18,2542,Robert Kelly Jr. made Layup. Assisted by Austin Dasent.,44,35
3:18,204,Oregon St  Timeout,44,35
2:55,204,Stephen Thompson Jr. made Layup.,44,37
2:34,2542,Austin Dasent made Layup.,46,37
2:04,204,Daine Muller made Three Point Jumper. Assisted by Jaquori McLaughlin.,46,40
1:49,2542,Robert Kelly Jr. made Layup. Assisted by Joshua Floyd.,48,40
1:29,204,Stephen Thompson Jr. missed Three Point Jumper.,48,40
1:29,204,Drew Eubanks Offensive Rebound.,48,40
1:21,204,Drew Eubanks made Layup. Assisted by Stephen Thompson Jr..,48,42
1:03,2542,Austin Dasent made Layup.,50,42
0:34,204,Kendal Manuel made Jumper.,50,44
0:29,2542,Savannah St  Timeout,50,44
0:03,2542,Dexter McClanahan missed Three Point Jumper.,50,44
0:03,2542,Austin Dasent Offensive Rebound.,50,44
0:00,204,End of 1st half,50,44
19:38,2542,Jahir Cabeza Turnover.,50,44
19:17,204,Stephen Thompson Jr. missed Three Point Jumper.,50,44
19:17,204,Matt Dahlen Offensive Rebound.,50,44
19:00,204,Kendal Manuel made Three Point Jumper. Assisted by Stephen Thompson Jr..,50,47
18:52,2542,Joshua Floyd made Three Point Jumper. Assisted by Troyce Manassa.,53,47
18:49,2542,Savannah St  Timeout,53,47
18:49,204,Official TV Timeout,53,47
18:37,204,Stephen Thompson Jr. missed Layup.,53,47
18:37,2542,Troyce Manassa Block.,53,47
18:35,204,Stephen Thompson Jr. Offensive Rebound.,53,47
18:35,204,Stephen Thompson Jr. missed Layup.,53,47
18:35,204,Drew Eubanks Offensive Rebound.,53,47
18:35,2542,Foul on Robert Kelly Jr..,53,47
18:35,204,Drew Eubanks made Free Throw.,53,48
18:35,204,Drew Eubanks missed Free Throw.,53,48
18:35,2542,Robert Kelly Jr. Defensive Rebound.,53,48
18:26,2542,Robert Kelly Jr. made Three Point Jumper. Assisted by Joshua Floyd.,56,48
17:52,204,Kendal Manuel missed Jumper.,56,48
17:52,204,Jaquori McLaughlin Offensive Rebound.,56,48
17:49,204,Jaquori McLaughlin Turnover.,56,48
17:37,2542,Troyce Manassa missed Three Point Jumper.,56,48
17:37,204,Stephen Thompson Jr. Defensive Rebound.,56,48
17:16,204,Drew Eubanks made Dunk. Assisted by Jaquori McLaughlin.,56,50
16:57,2542,Joshua Floyd made Three Point Jumper. Assisted by Casey Wells.,59,50
16:25,204,Stephen Thompson Jr. made Jumper.,59,52
16:25,2542,Foul on Casey Wells.,59,52
16:25,204,Stephen Thompson Jr. missed Free Throw.,59,52
16:25,2542,Robert Kelly Jr. Defensive Rebound.,59,52
16:19,2542,Troyce Manassa missed Three Point Jumper.,59,52
16:19,204,Stephen Thompson Jr. Defensive Rebound.,59,52
16:11,204,Stephen Thompson Jr. Turnover.,59,52
16:10,2542,Troyce Manassa Steal.,59,52
16:03,2542,Joshua Floyd missed Three Point Jumper.,59,52
16:03,2542,Joshua Floyd Offensive Rebound.,59,52
15:57,2542,Joshua Floyd Turnover.,59,52
15:57,204,Official TV Timeout,59,52
15:42,204,Matt Dahlen made Layup. Assisted by Ronnie Stacy.,59,54
15:34,2542,Troyce Manassa missed Layup.,59,54
15:34,204,Drew Eubanks Block.,59,54
15:32,2542,Joshua Floyd Offensive Rebound.,59,54
15:27,204,Foul on Matt Dahlen.,59,54
15:27,2542,Dexter McClanahan made Free Throw.,60,54
15:27,2542,Dexter McClanahan made Free Throw.,61,54
15:18,2542,Foul on Robert Kelly Jr..,61,54
15:18,204,Drew Eubanks made Free Throw.,61,55
15:18,204,Drew Eubanks made Free Throw.,61,56
15:11,2542,Jordan Gaines missed Layup.,61,56
15:11,204,Drew Eubanks Defensive Rebound.,61,56
14:55,204,Jaquori McLaughlin missed Three Point Jumper.,61,56
14:55,2542,Dexter McClanahan Defensive Rebound.,61,56
14:47,2542,Dexter McClanahan Turnover.,61,56
14:41,2542,Foul on Maricus Glenn.,61,56
14:29,204,Daine Muller made Three Point Jumper. Assisted by Ronnie Stacy.,61,59
14:20,2542,Dexter McClanahan missed Three Point Jumper.,61,59
14:20,204,Drew Eubanks Defensive Rebound.,61,59
14:02,204,Stephen Thompson Jr. made Three Point Jumper. Assisted by Jaquori McLaughlin.,61,62
13:50,2542,Savannah St  Timeout,61,62
13:44,2542,Jahir Cabeza missed Three Point Jumper.,61,62
13:44,204,Ronnie Stacy Defensive Rebound.,61,62
13:38,204,Ronnie Stacy made Dunk.,61,64
13:15,2542,Dexter McClanahan missed Three Point Jumper.,61,64
13:15,204,Ronnie Stacy Defensive Rebound.,61,64
13:00,204,Daine Muller missed Three Point Jumper.,61,64
13:00,204,Ronnie Stacy Offensive Rebound.,61,64
12:54,204,Ronnie Stacy missed Layup.,61,64
12:54,2542,Jahir Cabeza Block.,61,64
12:53,2542,Jahir Cabeza Defensive Rebound.,61,64
12:43,2542,Casey Wells made Three Point Jumper. Assisted by Dexter McClanahan.,64,64
12:18,204,Stephen Thompson Jr. missed Three Point Jumper.,64,64
12:18,204,Stephen Thompson Jr. Offensive Rebound.,64,64
11:53,204,Drew Eubanks made Jumper. Assisted by Daine Muller.,64,66
11:43,2542,Zach Sellers made Three Point Jumper. Assisted by Robert Kelly Jr..,67,66
11:05,204,Stephen Thompson Jr. made Jumper.,67,68
10:55,2542,Jahir Cabeza made Dunk.,69,68
10:20,2542,Foul on Jahir Cabeza.,69,68
10:20,204,Official TV Timeout,69,68
10:20,204,Drew Eubanks missed Free Throw.,69,68
10:20,204,Oregon St Deadball Team Rebound.,69,68
10:20,204,Drew Eubanks made Free Throw.,69,69
10:03,2542,Austin Dasent missed Jumper.,69,69
10:03,204,Daine Muller Defensive Rebound.,69,69
9:38,204,Jaquori McLaughlin made Three Point Jumper. Assisted by Kendal Manuel.,69,72
9:27,2542,Robert Kelly Jr. made Layup. Assisted by Dexter McClanahan.,71,72
9:03,204,Kendal Manuel missed Three Point Jumper.,71,72
9:03,204,Stephen Thompson Jr. Offensive Rebound.,71,72
8:45,204,Jaquori McLaughlin missed Three Point Jumper.,71,72
8:45,2542,Troyce Manassa Defensive Rebound.,71,72
8:40,204,Foul on Daine Muller.,71,72
8:40,2542,Robert Kelly Jr. made Free Throw.,72,72
8:40,2542,Robert Kelly Jr. made Free Throw.,73,72
8:15,204,Stephen Thompson Jr. Turnover.,73,72
8:14,2542,Dexter McClanahan Steal.,73,72
8:05,2542,Jahir Cabeza made Layup. Assisted by Austin Dasent.,75,72
7:36,204,Drew Eubanks made Jumper. Assisted by Kendal Manuel.,75,74
7:26,2542,Dexter McClanahan made Layup.,77,74
7:26,204,Foul on Drew Eubanks.,77,74
7:26,204,Official TV Timeout,77,74
7:26,2542,Dexter McClanahan missed Free Throw.,77,74
7:26,204,Drew Eubanks Defensive Rebound.,77,74
7:10,204,Drew Eubanks Turnover.,77,74
7:08,2542,Jahir Cabeza Steal.,77,74
6:51,2542,Jahir Cabeza missed Three Point Jumper.,77,74
6:51,2542,Zach Sellers Offensive Rebound.,77,74
6:45,2542,Dexter McClanahan missed Three Point Jumper.,77,74
6:45,2542,Jahir Cabeza Offensive Rebound.,77,74
6:35,2542,Dexter McClanahan missed Jumper.,77,74
6:35,204,Drew Eubanks Defensive Rebound.,77,74
6:11,204,Stephen Thompson Jr. missed Three Point Jumper.,77,74
6:11,2542,Troyce Manassa Defensive Rebound.,77,74
5:57,2542,Joshua Floyd made Jumper.,79,74
5:35,2542,Foul on Zach Sellers.,79,74
5:28,204,Jaquori McLaughlin missed Layup.,79,74
5:28,2542,Austin Dasent Defensive Rebound.,79,74
5:22,2542,Dexter McClanahan missed Three Point Jumper.,79,74
5:22,204,Ronnie Stacy Defensive Rebound.,79,74
5:13,204,Oregon St  Timeout,79,74
5:01,204,Stephen Thompson Jr. made Three Point Jumper. Assisted by Kendal Manuel.,79,77
4:47,204,Foul on Kendal Manuel.,79,77
4:47,2542,Robert Kelly Jr. missed Free Throw.,79,77
4:47,2542,Savannah St Deadball Team Rebound.,79,77
4:47,2542,Robert Kelly Jr. missed Free Throw.,79,77
4:47,204,Stephen Thompson Jr. Defensive Rebound.,79,77
4:19,204,Kendal Manuel made Three Point Jumper. Assisted by Stephen Thompson Jr..,79,80
4:05,2542,Robert Kelly Jr. made Three Point Jumper. Assisted by Troyce Manassa.,82,80
3:37,204,Stephen Thompson Jr. missed Three Point Jumper.,82,80
3:37,204,Matt Dahlen Offensive Rebound.,82,80
3:13,204,Stephen Thompson Jr. missed Three Point Jumper.,82,80
3:13,2542,Joshua Floyd Defensive Rebound.,82,80
3:05,204,Foul on Stephen Thompson Jr..,82,80
3:05,204,Official TV Timeout,82,80
2:50,2542,Austin Dasent Turnover.,82,80
2:50,204,Jaquori McLaughlin Steal.,82,80
2:23,204,Drew Eubanks missed Layup.,82,80
2:23,204,Drew Eubanks Offensive Rebound.,82,80
2:22,2542,Foul on Troyce Manassa.,82,80
2:22,204,Drew Eubanks made Free Throw.,82,81
2:22,204,Drew Eubanks missed Free Throw.,82,81
2:22,2542,Troyce Manassa Defensive Rebound.,82,81
1:51,2542,Joshua Floyd made Layup.,84,81
1:28,204,Jaquori McLaughlin made Three Point Jumper. Assisted by Drew Eubanks.,84,84
1:00,2542,Robert Kelly Jr. Turnover.,84,84
0:35,2542,Foul on Austin Dasent.,84,84
0:35,204,Stephen Thompson Jr. missed Free Throw.,84,84
0:32,2542,Savannah St Defensive Rebound.,84,84
0:17,2542,Savannah St  Timeout,84,84
0:06,2542,Troyce Manassa missed Jumper.,84,84
0:06,204,Ronnie Stacy Defensive Rebound.,84,84
0:03,204,Oregon St  Timeout,84,84
0:01,204,Stephen Thompson Jr. missed Three Point Jumper.,84,84
0:00,2542,Savannah St Defensive Rebound.,84,84
0:00,204,End of 2nd half,84,84
4:38,204,Drew Eubanks missed Jumper.,84,84
4:38,204,Ronnie Stacy Offensive Rebound.,84,84
4:16,204,Kendal Manuel missed Layup.,84,84
4:16,204,Drew Eubanks Offensive Rebound.,84,84
4:14,204,Drew Eubanks made Layup.,84,86
3:58,2542,Troyce Manassa Turnover.,84,86
3:58,2542,Foul on Troyce Manassa.,84,86
3:29,204,Stephen Thompson Jr. missed Three Point Jumper.,84,86
3:29,2542,Dexter McClanahan Defensive Rebound.,84,86
3:22,2542,Robert Kelly Jr. missed Layup.,84,86
3:22,204,Drew Eubanks Block.,84,86
3:20,2542,Troyce Manassa Offensive Rebound.,84,86
3:17,2542,Casey Wells missed Three Point Jumper.,84,86
3:17,2542,Savannah St Offensive Rebound.,84,86
3:02,2542,Joshua Floyd missed Layup.,84,86
3:02,204,Drew Eubanks Block.,84,86
3:00,2542,Robert Kelly Jr. Offensive Rebound.,84,86
2:58,2542,Robert Kelly Jr. made Layup.,86,86
2:37,204,Ronnie Stacy Turnover.,86,86
2:25,2542,Troyce Manassa made Three Point Jumper.,89,86
1:53,204,Kendal Manuel missed Three Point Jumper.,89,86
1:53,2542,Robert Kelly Jr. Defensive Rebound.,89,86
1:33,2542,Troyce Manassa made Layup.,91,86
1:29,204,Oregon St  Timeout,91,86
1:29,204,Official TV Timeout,91,86
1:00,204,Jaquori McLaughlin missed Three Point Jumper.,91,86
1:00,2542,Joshua Floyd Defensive Rebound.,91,86
0:27,2542,Robert Kelly Jr. missed Layup.,91,86
0:27,204,Drew Eubanks Block.,91,86
0:25,204,Jaquori McLaughlin Defensive Rebound.,91,86
0:24,2542,Foul on Jahir Cabeza.,91,86
0:24,204,Kendal Manuel made Free Throw.,91,87
0:24,204,Kendal Manuel made Free Throw.,91,88
0:22,204,Foul on Jaquori McLaughlin.,91,88
0:21,204,Foul on Drew Eubanks.,91,88
0:11,204,Jaquori McLaughlin made Layup.,91,90
0:11,204,Oregon St  Timeout,91,90
0:07,2542,Savannah St  Timeout,91,90
0:06,204,Foul on Kendal Manuel.,91,90
0:06,2542,Zach Sellers made Free Throw.,92,90
0:06,2542,Zach Sellers made Free Throw.,93,90
0:02,204,Jaquori McLaughlin missed Three Point Jumper.,93,90
0:02,2542,Savannah St Defensive Rebound.,93,90
0:00,204,End of Game,93,90
