UC Irvine,2608,Saint Mary's,300
11:39,300,Jonathan Galloway Defensive Rebound.,7,14
11:22,300,Evan Leonard missed Three Point Jumper.,7,14
11:21,2608,Evan Fitzner Defensive Rebound.,7,14
11:21,2608,Official TV Timeout,7,14
11:05,2608,Emmett Naar made Three Point Jumper. Assisted by Joe Rahon.,7,17
10:30,300,Spencer Rivers missed Jumper.,7,17
10:30,2608,Dane Pineau Defensive Rebound.,7,17
10:29,300,Foul on Tommy Rutherford.,7,17
10:10,2608,Joe Rahon Turnover.,7,17
10:06,300,Max Hazzard made Jumper.,9,17
9:43,2608,Emmett Naar missed Three Point Jumper.,9,17
9:43,300,Eyassu Worku Defensive Rebound.,9,17
9:25,2608,Foul on Joe Rahon.,9,17
9:25,300,Max Hazzard made Free Throw.,10,17
9:25,300,Max Hazzard made Free Throw.,11,17
9:07,2608,Dane Pineau made Jumper.,11,19
8:43,300,Max Hazzard made Three Point Jumper. Assisted by Ioannis Dimakopoulos.,14,19
8:17,2608,Joe Rahon Turnover.,14,19
7:58,300,Ioannis Dimakopoulos missed Jumper.,14,19
7:58,2608,Kyle Clark Defensive Rebound.,14,19
7:48,2608,Jock Landale missed Jumper.,14,19
7:48,300,Spencer Rivers Defensive Rebound.,14,19
7:35,300,Eyassu Worku missed Layup.,14,19
7:35,300,Eyassu Worku Offensive Rebound.,14,19
7:33,300,Eyassu Worku made Layup.,16,19
7:24,300,Foul on Ioannis Dimakopoulos.,16,19
7:24,2608,Official TV Timeout,16,19
7:24,2608,Calvin Hermanson made Free Throw.,16,20
7:24,2608,Calvin Hermanson made Free Throw.,16,21
7:09,300,Tommy Rutherford made Layup. Assisted by Eyassu Worku.,18,21
6:56,2608,Calvin Hermanson missed Layup.,18,21
6:56,300,Brad Greene Block.,18,21
6:56,2608,Saint Mary's Offensive Rebound.,18,21
6:47,2608,Emmett Naar Turnover.,18,21
6:47,2608,Foul on Evan Fitzner.,18,21
6:20,300,Tommy Rutherford missed Jumper.,18,21
6:20,2608,Calvin Hermanson Defensive Rebound.,18,21
6:08,2608,Evan Fitzner made Three Point Jumper. Assisted by Emmett Naar.,18,24
5:42,300,Eyassu Worku missed Jumper.,18,24
5:42,300,Brad Greene Offensive Rebound.,18,24
5:39,300,Brad Greene missed Layup.,18,24
5:39,2608,Calvin Hermanson Defensive Rebound.,18,24
5:22,2608,Jock Landale missed Jumper.,18,24
5:22,300,Brad Greene Defensive Rebound.,18,24
5:09,300,Eyassu Worku missed Layup.,18,24
5:09,2608,Jock Landale Defensive Rebound.,18,24
4:46,2608,Jock Landale Turnover.,18,24
4:46,2608,Foul on Jock Landale.,18,24
4:31,300,Jonathan Galloway Turnover.,18,24
4:31,300,Foul on Jonathan Galloway.,18,24
4:02,2608,Joe Rahon made Jumper.,18,26
3:45,2608,Foul on Jock Landale.,18,26
3:45,2608,Official TV Timeout,18,26
3:45,300,Jonathan Galloway made Jumper. Assisted by Jaron Martin.,20,26
3:23,300,Foul on Ioannis Dimakopoulos.,20,26
3:23,2608,Jock Landale made Free Throw.,20,27
3:23,2608,Jock Landale made Free Throw.,20,28
3:05,300,Ioannis Dimakopoulos Turnover.,20,28
2:36,2608,Evan Fitzner made Jumper.,20,30
2:07,300,Brandon Smith made Jumper.,22,30
1:51,2608,Joe Rahon missed Layup.,22,30
1:51,2608,Dane Pineau Offensive Rebound.,22,30
1:50,300,Foul on Brandon Smith.,22,30
1:50,2608,Dane Pineau made Free Throw.,22,31
1:50,2608,Dane Pineau missed Free Throw.,22,31
1:50,300,John Edgar Jr. Defensive Rebound.,22,31
1:30,300,John Edgar Jr. Turnover.,22,31
1:16,300,Foul on Spencer Rivers.,22,31
1:16,2608,Calvin Hermanson made Free Throw.,22,32
1:16,2608,Calvin Hermanson made Free Throw.,22,33
1:00,300,Eyassu Worku made Three Point Jumper. Assisted by Spencer Rivers.,25,33
0:27,2608,Jordan Ford missed Layup.,25,33
0:27,2608,Dane Pineau Offensive Rebound.,25,33
0:01,300,Foul on John Edgar Jr..,25,33
0:01,2608,Evan Fitzner made Free Throw.,25,34
0:01,2608,Evan Fitzner made Free Throw.,25,35
0:01,300,UC Irvine  Timeout,25,35
0:00,300,Jaron Martin Turnover.,25,35
0:00,2608,Jordan Hunter Steal.,25,35
0:00,2608,Jordan Hunter made Three Point Jumper.,25,38
0:00,2608,End of 1st half,25,33
19:48,300,Jaron Martin Turnover.,25,38
19:34,2608,Evan Fitzner made Three Point Jumper. Assisted by Emmett Naar.,25,41
19:17,300,Brandon Smith missed Jumper.,25,41
19:17,2608,Emmett Naar Defensive Rebound.,25,41
19:04,2608,Joe Rahon made Layup. Assisted by Jock Landale.,25,43
18:46,300,Jaron Martin made Layup.,27,43
18:29,2608,Emmett Naar made Layup.,27,45
18:08,300,Jaron Martin Turnover.,27,45
18:07,2608,Jock Landale Steal.,27,45
18:05,2608,Jock Landale made Dunk.,27,47
18:02,300,UC Irvine  Timeout,27,47
18:02,2608,Official TV Timeout,27,47
17:47,300,Eyassu Worku made Three Point Jumper.,30,47
17:34,2608,Jock Landale Turnover.,30,47
17:34,2608,Foul on Jock Landale.,30,47
17:03,300,John Edgar Jr. missed Three Point Jumper.,30,47
17:03,300,Tommy Rutherford Offensive Rebound.,30,47
16:59,2608,Foul on Calvin Hermanson.,30,47
16:59,300,Tommy Rutherford missed Free Throw.,30,47
16:59,300,UC Irvine Deadball Team Rebound.,30,47
16:59,300,Tommy Rutherford made Free Throw.,31,47
16:49,2608,Calvin Hermanson made Layup. Assisted by Joe Rahon.,31,49
16:20,300,Spencer Rivers Turnover.,31,49
16:19,2608,Dane Pineau Steal.,31,49
15:56,2608,Evan Fitzner made Jumper.,31,51
15:40,300,Evan Leonard made Layup.,33,51
15:19,2608,Emmett Naar missed Three Point Jumper.,33,51
15:19,300,Spencer Rivers Defensive Rebound.,33,51
15:12,300,Spencer Rivers Turnover.,33,51
15:12,2608,Official TV Timeout,33,51
15:03,300,Foul on Evan Leonard.,33,51
14:37,300,Foul on Jonathan Galloway.,33,51
14:37,2608,Joe Rahon made Free Throw.,33,52
14:37,2608,Joe Rahon made Free Throw.,33,53
14:07,300,Spencer Rivers missed Layup.,33,53
14:07,2608,Evan Fitzner Defensive Rebound.,33,53
13:58,2608,Dane Pineau Turnover.,33,53
13:58,2608,Foul on Dane Pineau.,33,53
13:48,2608,Foul on Dane Pineau.,33,53
13:43,300,Eyassu Worku missed Three Point Jumper.,33,53
13:43,2608,Saint Mary's Defensive Rebound.,33,53
13:41,300,Foul on Jonathan Galloway.,33,53
13:33,2608,Joe Rahon missed Three Point Jumper.,33,53
13:33,2608,Dane Pineau Offensive Rebound.,33,53
13:32,300,Foul on Evan Leonard.,33,53
13:12,2608,Emmett Naar Turnover.,33,53
12:51,300,Ioannis Dimakopoulos missed Jumper.,33,53
12:51,2608,Evan Fitzner Defensive Rebound.,33,53
12:41,2608,Evan Fitzner missed Three Point Jumper.,33,53
12:41,300,Eyassu Worku Defensive Rebound.,33,53
12:22,300,Ioannis Dimakopoulos missed Three Point Jumper.,33,53
12:22,2608,Calvin Hermanson Defensive Rebound.,33,53
11:52,2608,Jordan Ford made Three Point Jumper. Assisted by Calvin Hermanson.,33,56
11:36,300,Jaron Martin missed Three Point Jumper.,33,56
11:36,2608,Jordan Ford Defensive Rebound.,33,56
11:23,2608,Dane Pineau made Layup. Assisted by Jordan Ford.,33,58
10:59,2608,Foul on Joe Rahon.,33,58
10:59,2608,Official TV Timeout,33,58
10:52,300,Ioannis Dimakopoulos missed Jumper.,33,58
10:52,300,Evan Leonard Offensive Rebound.,33,58
10:44,300,Ioannis Dimakopoulos made Jumper. Assisted by Jaron Martin.,35,58
10:24,2608,Dane Pineau Offensive Rebound.,35,58
10:24,2608,Dane Pineau missed Layup.,35,58
10:24,300,Ioannis Dimakopoulos Block.,35,58
10:24,2608,Dane Pineau made Layup.,35,60
10:24,300,Foul on Jonathan Galloway.,35,60
10:24,2608,Dane Pineau missed Free Throw.,35,60
10:24,300,UC Irvine Defensive Rebound.,35,60
10:11,300,Eyassu Worku Turnover.,35,60
10:10,2608,Dane Pineau Steal.,35,60
9:43,300,Foul on Tommy Rutherford.,35,60
9:41,2608,Joe Rahon Turnover.,35,60
9:40,300,Eyassu Worku Steal.,35,60
9:38,300,Eyassu Worku made Layup.,37,60
9:17,2608,Jordan Ford Turnover.,37,60
9:16,300,Jaron Martin Steal.,37,60
9:12,300,Jaron Martin made Layup.,39,60
8:41,2608,Joe Rahon missed Jumper.,39,60
8:41,300,Ioannis Dimakopoulos Block.,39,60
8:41,2608,Joe Rahon Offensive Rebound.,39,60
8:35,2608,Joe Rahon missed Three Point Jumper.,39,60
8:35,2608,Kyle Clark Offensive Rebound.,39,60
8:21,2608,Dane Pineau Turnover.,39,60
8:21,2608,Foul on Dane Pineau.,39,60
7:53,300,Ioannis Dimakopoulos missed Jumper.,39,60
7:53,2608,Emmett Naar Defensive Rebound.,39,60
7:40,2608,Calvin Hermanson made Three Point Jumper. Assisted by Jock Landale.,39,63
7:18,300,Ioannis Dimakopoulos missed Jumper.,39,63
7:18,300,Tommy Rutherford Offensive Rebound.,39,63
7:15,300,Tommy Rutherford made Two Point Tip Shot.,41,63
6:54,300,Foul on Ioannis Dimakopoulos.,41,63
6:54,2608,Official TV Timeout,41,63
6:54,2608,Jock Landale made Free Throw.,41,64
6:54,2608,Jock Landale made Free Throw.,41,65
6:38,300,Tommy Rutherford made Jumper.,43,65
6:13,2608,Jock Landale made Layup. Assisted by Evan Fitzner.,43,67
5:55,300,Brandon Smith Turnover.,43,67
5:54,2608,Emmett Naar Steal.,43,67
5:43,2608,Evan Fitzner Turnover.,43,67
5:42,300,Jaron Martin Steal.,43,67
5:37,300,Brandon Smith missed Layup.,43,67
5:37,2608,Jock Landale Defensive Rebound.,43,67
5:13,2608,Stefan Gonzalez missed Three Point Jumper.,43,67
5:13,300,Brad Greene Defensive Rebound.,43,67
5:00,300,Tommy Rutherford made Layup. Assisted by Jaron Martin.,45,67
4:29,2608,Stefan Gonzalez made Three Point Jumper. Assisted by Joe Rahon.,45,70
4:09,300,Eyassu Worku Turnover.,45,70
4:02,300,Foul on Max Hazzard.,45,70
4:02,2608,Jordan Ford made Free Throw.,45,71
4:02,2608,Jordan Ford made Free Throw.,45,72
3:38,300,Eyassu Worku made Jumper.,47,72
3:23,2608,Jordan Hunter missed Jumper.,47,72
3:23,300,Brad Greene Defensive Rebound.,47,72
3:16,300,Max Hazzard missed Three Point Jumper.,47,72
3:16,2608,Jordan Hunter Defensive Rebound.,47,72
3:14,300,Foul on Brad Greene.,47,72
3:13,2608,Official TV Timeout,47,72
3:13,2608,Jordan Hunter made Free Throw.,47,73
3:13,2608,Jordan Hunter missed Free Throw.,47,73
3:13,300,Darrian Traylor Defensive Rebound.,47,73
2:53,2608,Foul on Tanner Krebs.,47,73
2:53,300,Darrian Traylor missed Free Throw.,47,73
2:53,2608,Jordan Hunter Defensive Rebound.,47,73
2:36,2608,Jordan Ford made Jumper.,47,75
2:17,300,Spencer Rivers missed Jumper.,47,75
2:17,300,Brad Greene Offensive Rebound.,47,75
2:16,2608,Foul on Jordan Hunter.,47,75
2:16,300,Brad Greene missed Free Throw.,47,75
2:16,300,UC Irvine Deadball Team Rebound.,47,75
2:16,300,Brad Greene missed Free Throw.,47,75
2:16,2608,Jordan Ford Defensive Rebound.,47,75
1:55,2608,Stefan Gonzalez Turnover.,47,75
1:54,300,Max Hazzard Steal.,47,75
1:48,2608,Foul on Jordan Hunter.,47,75
1:48,300,Max Hazzard made Free Throw.,48,75
1:48,300,Max Hazzard missed Free Throw.,48,75
1:48,300,Darrian Traylor Offensive Rebound.,48,75
1:40,300,Darrian Traylor made Three Point Jumper. Assisted by Max Hazzard.,51,75
1:23,2608,Jordan Ford made Three Point Jumper.,51,78
1:23,300,Foul on Brad Greene.,51,78
1:23,2608,Jordan Hunter made Free Throw.,51,79
1:23,2608,Jordan Hunter made Free Throw.,51,80
1:07,300,Max Hazzard missed Layup.,51,80
1:07,2608,Jordan Hunter Defensive Rebound.,51,80
0:49,2608,Jordan Ford made Layup.,51,82
0:34,300,Spencer Rivers made Jumper.,53,82
0:13,2608,Stefan Gonzalez missed Layup.,53,82
0:13,300,Spencer Rivers Block.,53,82
0:13,2608,Saint Mary's Offensive Rebound.,53,82
0:09,2608,Stefan Gonzalez made Layup.,53,84
0:03,300,Darrian Traylor missed Three Point Jumper.,53,84
0:03,2608,Stefan Gonzalez Defensive Rebound.,53,84
0:00,2608,End of 2nd half,53,84
0:00,2608,End of Game,53,84
