UC Santa Barbara,301,San Diego,2540
0:32,2540,Eric Childress made Jumper.,34,37
0:05,301,Mark Carbone missed Three Point Jumper.,34,37
0:05,2540,Eric Childress Defensive Rebound.,34,37
0:01,2540,Eric Childress Turnover.,34,37
0:00,301,End of 1st half,34,37
19:53,301,Olin Carter III made Three Point Jumper. Assisted by Brett Bailey.,34,40
19:22,2540,Jalen Canty made Layup.,36,40
18:52,301,Olin Carter III made Three Point Jumper. Assisted by Cameron Neubauer.,36,43
18:33,2540,Jalen Canty made Layup.,38,43
17:55,301,Olin Carter III made Three Point Jumper.,38,46
17:37,301,Foul on Cameron Neubauer.,38,46
17:31,301,Foul on Juwan Gray.,38,46
17:31,2540,Max Heidegger missed Free Throw.,38,46
17:31,2540,UC Santa Barbara Deadball Team Rebound.,38,46
17:31,2540,Max Heidegger made Free Throw.,39,46
17:04,301,Olin Carter III missed Three Point Jumper.,39,46
17:04,2540,Alex Hart Defensive Rebound.,39,46
16:52,2540,Jalen Canty Turnover.,39,46
16:51,301,Juwan Gray Steal.,39,46
16:48,2540,Foul on Gabe Vincent.,39,46
16:48,301,Olin Carter III made Free Throw.,39,47
16:48,301,Olin Carter III made Free Throw.,39,48
16:38,2540,Eric Childress Turnover.,39,48
16:15,301,Frank Ryder made Layup.,39,50
15:55,301,Foul on Frank Ryder.,39,50
15:55,301,Official TV Timeout,39,50
15:55,2540,Jalen Canty made Free Throw.,40,50
15:55,2540,Jalen Canty missed Free Throw.,40,50
15:55,301,Brett Bailey Defensive Rebound.,40,50
15:39,301,Olin Carter III missed Layup.,40,50
15:39,2540,Max Heidegger Defensive Rebound.,40,50
15:33,2540,Max Heidegger missed Layup.,40,50
15:33,2540,Jalen Canty Offensive Rebound.,40,50
15:30,2540,Jalen Canty made Layup.,42,50
15:08,301,Olin Carter III missed Jumper.,42,50
15:08,2540,Jalen Canty Defensive Rebound.,42,50
14:54,2540,Max Heidegger missed Three Point Jumper.,42,50
14:54,2540,Alex Hart Offensive Rebound.,42,50
14:52,301,Foul on Brett Bailey.,42,50
14:44,301,Foul on Olin Carter III.,42,50
14:39,2540,Ami Lakoju made Layup. Assisted by Gabe Vincent.,44,50
14:13,301,Frank Ryder made Layup. Assisted by Juwan Gray.,44,52
14:13,2540,Foul on Ami Lakoju.,44,52
14:13,301,Frank Ryder made Free Throw.,44,53
13:59,2540,Max Heidegger Turnover.,44,53
13:47,301,Cameron Neubauer Turnover.,44,53
13:45,2540,Eric Childress Steal.,44,53
13:36,2540,Max Heidegger Turnover.,44,53
13:35,301,Frank Ryder Steal.,44,53
13:28,301,Olin Carter III Turnover.,44,53
13:27,2540,Gabe Vincent Steal.,44,53
13:25,301,Foul on Olin Carter III.,44,53
13:25,2540,Gabe Vincent made Free Throw.,45,53
13:25,2540,Gabe Vincent missed Free Throw.,45,53
13:25,301,Cameron Neubauer Defensive Rebound.,45,53
13:24,2540,Foul on Eric Childress.,45,53
13:04,301,Cameron Neubauer missed Three Point Jumper.,45,53
13:04,301,Frank Ryder Offensive Rebound.,45,53
13:01,301,Frank Ryder missed Layup.,45,53
13:01,2540,Clifton Powell Defensive Rebound.,45,53
12:36,2540,Gabe Vincent missed Jumper.,45,53
12:36,301,Juwan Gray Defensive Rebound.,45,53
12:09,301,Olin Carter III missed Three Point Jumper.,45,53
12:09,2540,Ami Lakoju Defensive Rebound.,45,53
12:00,2540,Alex Hart made Layup. Assisted by Eric Childress.,47,53
12:00,301,Olin Carter III missed Jumper.,47,53
12:00,2540,Gabe Vincent Defensive Rebound.,47,53
12:00,2540,Ami Lakoju missed Layup.,47,53
12:00,2540,Ami Lakoju Offensive Rebound.,47,53
11:58,301,Foul on Cameron Neubauer.,47,53
11:19,301,Official TV Timeout,47,53
11:19,2540,Ami Lakoju made Free Throw.,48,53
11:19,2540,Ami Lakoju missed Free Throw.,48,53
11:19,301,Brett Bailey Defensive Rebound.,48,53
11:02,301,Tyler Williams Turnover.,48,53
11:00,2540,Clifton Powell Steal.,48,53
10:54,2540,Ami Lakoju Turnover.,48,53
10:54,2540,Foul on Ami Lakoju.,48,53
10:36,301,Mark Carbone made Three Point Jumper. Assisted by Juwan Gray.,48,56
10:08,301,Foul on Juwan Gray.,48,56
10:08,2540,Jalen Canty made Free Throw.,49,56
10:08,2540,Jalen Canty missed Free Throw.,49,56
10:08,301,Brett Bailey Defensive Rebound.,49,56
9:44,301,Olin Carter III missed Three Point Jumper.,49,56
9:44,2540,Ami Lakoju Defensive Rebound.,49,56
9:34,2540,Jalen Canty made Layup. Assisted by Eric Childress.,51,56
9:14,2540,Foul on Clifton Powell.,51,56
9:14,301,Brett Bailey made Free Throw.,51,57
9:14,301,Brett Bailey made Free Throw.,51,58
8:54,2540,Jalen Canty made Layup.,53,58
8:52,2540,Foul on Jalen Canty.,53,58
8:34,301,Brett Bailey made Free Throw.,53,59
8:34,301,Brett Bailey made Free Throw.,53,60
8:18,2540,Max Heidegger made Layup.,55,60
7:56,301,Brett Bailey Turnover.,55,60
7:56,301,Official TV Timeout,55,60
7:38,2540,Max Heidegger missed Three Point Jumper.,55,60
7:38,2540,Jalen Canty Offensive Rebound.,55,60
7:27,2540,Jalen Canty made Layup.,57,60
7:06,2540,Foul on Jalen Canty.,57,60
7:05,301,Frank Ryder made Free Throw.,57,61
7:05,301,Frank Ryder made Free Throw.,57,62
6:45,2540,Max Heidegger missed Three Point Jumper.,57,62
6:45,2540,Gabe Vincent Offensive Rebound.,57,62
6:40,2540,Gabe Vincent missed Three Point Jumper.,57,62
6:40,301,Brett Bailey Defensive Rebound.,57,62
6:39,2540,Foul on Jalen Canty.,57,62
6:37,301,Brett Bailey made Free Throw.,57,63
6:37,301,Brett Bailey made Free Throw.,57,64
6:21,301,Foul on Brett Bailey.,57,64
6:21,2540,Alex Hart made Free Throw.,58,64
6:21,2540,Alex Hart made Free Throw.,59,64
5:49,301,Tyler Williams made Three Point Jumper.,59,67
5:30,2540,Max Heidegger missed Three Point Jumper.,59,67
5:30,301,Cameron Neubauer Defensive Rebound.,59,67
5:07,301,Mark Carbone missed Three Point Jumper.,59,67
5:07,2540,Gabe Vincent Defensive Rebound.,59,67
4:55,2540,Gabe Vincent missed Three Point Jumper.,59,67
4:55,301,Tyler Williams Defensive Rebound.,59,67
4:30,301,Olin Carter III missed Three Point Jumper.,59,67
4:30,2540,Alex Hart Defensive Rebound.,59,67
4:03,2540,Gabe Vincent missed Three Point Jumper.,59,67
4:03,301,Cameron Neubauer Defensive Rebound.,59,67
3:33,2540,Foul on Clifton Powell.,59,67
3:33,301,Official TV Timeout,59,67
3:33,301,Juwan Gray made Free Throw.,59,68
3:33,301,Juwan Gray made Free Throw.,59,69
3:10,2540,Eric Childress missed Three Point Jumper.,59,69
3:10,2540,Alex Hart Offensive Rebound.,59,69
3:00,2540,Alex Hart missed Layup.,59,69
3:00,2540,Eric Childress Offensive Rebound.,59,69
2:49,2540,Gabe Vincent missed Jumper.,59,69
2:49,301,Juwan Gray Defensive Rebound.,59,69
2:32,301,Cameron Neubauer Turnover.,59,69
2:32,2540,Clifton Powell Steal.,59,69
2:27,2540,Clifton Powell made Layup.,61,69
1:55,301,Juwan Gray missed Three Point Jumper.,61,69
1:55,301,Frank Ryder Offensive Rebound.,61,69
1:53,2540,Foul on Jalen Canty.,61,69
1:53,301,Frank Ryder made Free Throw.,61,70
1:53,301,Frank Ryder made Free Throw.,61,71
1:45,2540,Clifton Powell made Layup.,63,71
1:08,301,Tyler Williams made Three Point Jumper. Assisted by Brett Bailey.,63,74
0:58,2540,Alex Hart made Dunk.,65,74
0:40,2540,Foul on Gabe Vincent.,65,74
0:40,301,Brett Bailey missed Free Throw.,65,74
0:40,301,San Diego Deadball Team Rebound.,65,74
0:40,301,Brett Bailey made Free Throw.,65,75
0:34,2540,Gabe Vincent missed Layup.,65,75
0:34,2540,Alex Hart Offensive Rebound.,65,75
0:29,301,Foul on Juwan Gray.,65,75
0:29,2540,Alex Hart made Free Throw.,66,75
0:29,2540,Alex Hart missed Free Throw.,66,75
0:29,2540,Gabe Vincent Offensive Rebound.,66,75
0:23,2540,Clifton Powell missed Three Point Jumper.,66,75
0:23,2540,Gabe Vincent Offensive Rebound.,66,75
0:17,2540,Gabe Vincent made Layup.,68,75
0:16,2540,UC Santa Barbara  Timeout,68,75
0:13,2540,Foul on Gabe Vincent.,68,75
0:13,301,Tyler Williams made Free Throw.,68,76
0:13,301,Tyler Williams made Free Throw.,68,77
0:08,2540,Eric Childress missed Three Point Jumper.,68,77
0:08,301,Juwan Gray Defensive Rebound.,68,77
0:00,301,End of Game,68,77
