Western Kentucky,282,Indiana State,98
12:21,98,Foul on Ben Lawson.,18,8
12:21,282,Brandon Murphy made Free Throw.,18,9
12:21,282,Brandon Murphy made Free Throw.,18,10
12:04,98,Que Johnson missed Three Point Jumper.,18,10
12:04,282,Everett Clemons Defensive Rebound.,18,10
11:52,282,Laquarious Paige missed Jumper.,18,10
11:52,282,Brandon Murphy Offensive Rebound.,18,10
11:51,98,Foul on Ben Lawson.,18,10
11:50,282,Official TV Timeout,18,10
11:50,282,Brandon Murphy missed Free Throw.,18,10
11:50,282,Indiana St Deadball Team Rebound.,18,10
11:50,282,Brandon Murphy made Free Throw.,18,11
11:33,98,Que Johnson Turnover.,18,11
11:31,282,Everett Clemons Steal.,18,11
11:21,282,Laquarious Paige Turnover.,18,11
11:21,282,Foul on Laquarious Paige.,18,11
11:09,98,Justin Johnson made Three Point Jumper. Assisted by Tobias Howard.,21,11
10:47,282,Laquarious Paige Turnover.,21,11
10:45,98,Tobias Howard Steal.,21,11
10:33,98,Que Johnson Turnover.,21,11
10:17,282,Matt Van Scyoc Turnover.,21,11
10:16,98,Anton Waters Steal.,21,11
10:09,98,Que Johnson missed Layup.,21,11
10:09,98,Anton Waters Offensive Rebound.,21,11
10:06,98,Anton Waters made Layup.,23,11
9:50,282,Brenton Scott made Layup.,23,13
9:23,98,Anton Waters made Jumper.,25,13
9:00,282,Brenton Scott made Jumper.,25,15
8:38,98,Tobias Howard Turnover.,25,15
8:37,282,Everett Clemons Steal.,25,15
8:34,282,Everett Clemons made Layup.,25,17
8:31,98,Western Kentucky  Timeout,25,17
8:20,98,Que Johnson Turnover.,25,17
8:06,282,Everett Clemons made Layup.,25,19
7:52,98,Pancake Thomas made Jumper.,27,19
7:30,282,Brenton Scott Turnover.,27,19
7:27,98,Que Johnson Steal.,27,19
7:24,98,Jabari McGhee missed Layup.,27,19
7:24,282,T.J. Bell Block.,27,19
7:22,282,T.J. Bell Defensive Rebound.,27,19
7:16,282,Official TV Timeout,27,19
7:16,282,Brenton Scott made Free Throw.,27,20
7:16,98,Foul on Jabari McGhee.,27,19
7:16,282,Brenton Scott made Free Throw.,27,21
7:00,282,Foul on Donovan Franklin.,27,21
7:00,98,Que Johnson made Free Throw.,28,21
7:00,98,Que Johnson made Free Throw.,29,21
6:37,282,Brenton Scott Turnover.,29,21
6:36,98,Pancake Thomas Steal.,29,21
6:32,98,Pancake Thomas missed Layup.,29,21
6:32,98,Que Johnson Offensive Rebound.,29,21
6:27,98,Que Johnson missed Jumper.,29,21
6:27,282,Brenton Scott Defensive Rebound.,29,21
6:06,282,Brenton Scott made Layup.,29,23
5:53,98,Anton Waters missed Layup.,29,23
5:53,282,Brenton Scott Defensive Rebound.,29,23
5:42,282,Matt Van Scyoc missed Three Point Jumper.,29,23
5:42,98,Jabari McGhee Block.,29,23
5:40,282,Indiana St Offensive Rebound.,29,23
5:35,282,Donovan Franklin missed Three Point Jumper.,29,23
5:35,98,Jabari McGhee Defensive Rebound.,29,23
5:26,98,Jabari McGhee Turnover.,29,23
5:13,282,Brenton Scott missed Three Point Jumper.,29,23
5:13,98,Junior Lomomba Defensive Rebound.,29,23
4:49,98,Junior Lomomba made Three Point Jumper. Assisted by Justin Johnson.,32,23
4:35,282,Brenton Scott missed Three Point Jumper.,32,23
4:35,282,Brandon Murphy Offensive Rebound.,32,23
4:21,282,Demonte Ojinnaka missed Three Point Jumper.,32,23
4:21,98,Junior Lomomba Defensive Rebound.,32,23
3:56,282,Foul on Demonte Ojinnaka.,32,23
3:56,282,Official TV Timeout,32,23
3:52,98,Justin Johnson missed Jumper.,32,23
3:52,282,Jordan Barnes Defensive Rebound.,32,23
3:33,98,Foul on Jabari McGhee.,32,23
3:33,282,Brandon Murphy made Free Throw.,32,24
3:33,282,Brandon Murphy missed Free Throw.,32,24
3:33,98,Justin Johnson Defensive Rebound.,32,24
3:13,98,Justin Johnson made Jumper.,34,24
2:56,282,Niels Bunschoten missed Three Point Jumper.,34,24
2:56,98,Anton Waters Defensive Rebound.,34,24
2:34,282,Foul on Laquarious Paige.,34,24
2:34,98,Pancake Thomas made Free Throw.,35,24
2:34,98,Pancake Thomas missed Free Throw.,35,24
2:34,282,Everett Clemons Defensive Rebound.,35,24
2:18,282,Brandon Murphy made Layup. Assisted by Jordan Barnes.,35,26
2:05,98,Junior Lomomba Turnover.,35,26
1:53,282,Jordan Barnes missed Three Point Jumper.,35,26
1:53,98,Anton Waters Defensive Rebound.,35,26
1:30,98,Pancake Thomas missed Jumper.,35,26
1:30,98,Anton Waters Offensive Rebound.,35,26
1:11,98,Pancake Thomas Turnover.,35,26
1:11,282,Brenton Scott Steal.,35,26
1:11,98,Foul on Pancake Thomas.,35,26
0:50,282,Niels Bunschoten made Three Point Jumper. Assisted by Everett Clemons.,35,29
0:33,98,Junior Lomomba Turnover.,35,29
0:33,282,Everett Clemons Steal.,35,29
0:33,98,Foul on Junior Lomomba.,35,29
0:16,282,Niels Bunschoten made Layup.,35,31
0:07,98,Junior Lomomba missed Jumper.,35,31
0:07,282,Brandon Murphy Defensive Rebound.,35,31
0:02,282,Brandon Murphy Turnover.,35,31
0:01,98,Junior Lomomba Steal.,35,31
0:00,282,End of 1st half,35,31
19:41,282,Foul on Matt Van Scyoc.,35,31
19:20,98,Que Johnson missed Jumper.,35,31
19:20,282,Brandon Murphy Defensive Rebound.,35,31
19:07,282,Brenton Scott missed Jumper.,35,31
19:07,98,Junior Lomomba Defensive Rebound.,35,31
18:59,98,Pancake Thomas missed Three Point Jumper.,35,31
18:59,282,Laquarious Paige Defensive Rebound.,35,31
18:50,282,Brenton Scott made Layup.,35,33
18:31,282,Foul on Brenton Scott.,35,33
18:31,282,Foul on Brenton Scott.,35,33
18:31,282,Technical Foul on Brenton Scott.,35,33
18:31,98,Pancake Thomas made Free Throw.,36,33
18:31,98,Pancake Thomas made Free Throw.,37,33
18:31,98,Justin Johnson made Free Throw.,38,33
18:31,98,Justin Johnson made Free Throw.,39,33
18:21,282,Brandon Murphy missed Layup.,39,33
18:21,98,Que Johnson Defensive Rebound.,39,33
17:48,98,Pancake Thomas made Layup. Assisted by Justin Johnson.,41,33
17:33,282,Laquarious Paige missed Jumper.,41,33
17:33,98,Junior Lomomba Defensive Rebound.,41,33
17:24,98,Que Johnson missed Three Point Jumper.,41,33
17:24,282,Brandon Murphy Defensive Rebound.,41,33
17:15,282,Laquarious Paige Turnover.,41,33
16:53,98,Junior Lomomba missed Jumper.,41,33
16:53,98,Tobias Howard Offensive Rebound.,41,33
16:40,98,Junior Lomomba Turnover.,41,33
16:27,98,Foul on Que Johnson.,41,33
16:27,282,Brenton Scott made Free Throw.,41,34
16:27,282,Brenton Scott missed Free Throw.,41,34
16:27,98,Justin Johnson Defensive Rebound.,41,34
16:13,98,Anton Waters Turnover.,41,34
16:12,282,Brenton Scott Steal.,41,34
16:08,98,Foul on Anton Waters.,41,34
16:08,282,Brenton Scott made Free Throw.,41,35
16:08,282,Brenton Scott made Free Throw.,41,36
15:51,98,Junior Lomomba Turnover.,41,36
15:51,282,Everett Clemons Steal.,41,36
15:51,282,Official TV Timeout,41,36
15:28,282,Donovan Franklin made Layup.,41,38
15:28,98,Foul on Marty Leahy.,41,38
15:28,282,Donovan Franklin missed Free Throw.,41,38
15:28,282,T.J. Bell Offensive Rebound.,41,38
15:23,282,T.J. Bell made Layup.,41,40
15:07,282,Foul on T.J. Bell.,41,40
15:00,98,Anton Waters made Jumper. Assisted by Pancake Thomas.,43,40
14:33,282,Brenton Scott missed Layup.,43,40
14:33,98,Anton Waters Defensive Rebound.,43,40
14:12,98,Pancake Thomas made Jumper.,45,40
13:55,282,Brenton Scott missed Three Point Jumper.,45,40
13:55,98,Anton Waters Defensive Rebound.,45,40
13:43,282,Foul on Everett Clemons.,45,40
13:40,98,Pancake Thomas missed Three Point Jumper.,45,40
13:40,98,Justin Johnson Offensive Rebound.,45,40
13:22,98,Junior Lomomba Turnover.,45,40
12:57,282,Donovan Franklin made Jumper.,45,42
12:38,282,Foul on Brandon Murphy.,45,42
12:36,98,Que Johnson made Jumper.,47,42
12:23,98,Foul on Jabari McGhee.,47,42
12:23,282,Brandon Murphy made Free Throw.,47,43
12:23,282,Brandon Murphy missed Free Throw.,47,43
12:23,98,Anton Waters Defensive Rebound.,47,43
12:12,282,Foul on Laquarious Paige.,47,43
12:12,98,Que Johnson made Free Throw.,48,43
12:12,98,Que Johnson missed Free Throw.,48,43
12:12,282,Brandon Murphy Defensive Rebound.,48,43
12:03,282,Donovan Franklin made Three Point Jumper. Assisted by Jordan Barnes.,48,46
11:43,98,Que Johnson missed Jumper.,48,46
11:43,98,Jabari McGhee Offensive Rebound.,48,46
11:28,282,Official TV Timeout,48,46
11:27,282,Foul on Jordan Barnes.,48,46
11:27,98,Jabari McGhee made Free Throw.,49,46
11:27,98,Jabari McGhee made Free Throw.,50,46
11:09,282,Niels Bunschoten Turnover.,50,46
11:08,98,Jabari McGhee Steal.,50,46
10:49,98,Anton Waters missed Jumper.,50,46
10:49,282,Donovan Franklin Defensive Rebound.,50,46
10:37,282,Niels Bunschoten made Layup.,50,48
10:10,98,Pancake Thomas missed Layup.,50,48
10:10,98,Jabari McGhee Offensive Rebound.,50,48
10:08,98,Jabari McGhee made Two Point Tip Shot.,52,48
9:54,282,Niels Bunschoten missed Three Point Jumper.,52,48
9:54,98,Western Kentucky Defensive Rebound.,52,48
9:31,98,Justin Johnson missed Jumper.,52,48
9:31,282,Everett Clemons Defensive Rebound.,52,48
9:21,98,Foul on Justin Johnson.,52,48
9:21,282,Niels Bunschoten made Free Throw.,52,49
9:21,282,Niels Bunschoten made Free Throw.,52,50
8:56,98,Jabari McGhee made Layup. Assisted by Tobias Howard.,54,50
8:42,98,Foul on Jabari McGhee.,54,50
8:26,282,Donovan Franklin missed Three Point Jumper.,54,50
8:26,98,Anton Waters Defensive Rebound.,54,50
8:23,282,Foul on Brandon Murphy.,54,50
8:23,98,Anton Waters missed Free Throw.,54,50
8:23,282,Everett Clemons Defensive Rebound.,54,50
8:06,282,Brenton Scott made Layup.,54,52
7:46,98,Pancake Thomas made Three Point Jumper. Assisted by Tobias Howard.,57,52
7:25,282,Brenton Scott missed Layup.,57,52
7:24,98,Anton Waters Defensive Rebound.,57,52
7:17,98,Que Johnson made Layup.,59,52
7:04,98,Foul on Que Johnson.,59,52
7:03,282,Official TV Timeout,59,52
7:03,282,Donovan Franklin missed Free Throw.,59,52
7:03,98,Justin Johnson Defensive Rebound.,59,52
6:50,98,Que Johnson made Dunk. Assisted by Justin Johnson.,61,52
6:31,282,Brenton Scott missed Three Point Jumper.,61,52
6:31,98,Anton Waters Defensive Rebound.,61,52
6:12,282,Foul on Matt Van Scyoc.,61,52
6:12,98,Anton Waters missed Free Throw.,61,52
6:12,98,Western Kentucky Deadball Team Rebound.,61,52
6:12,98,Anton Waters missed Free Throw.,61,52
6:12,282,Matt Van Scyoc Defensive Rebound.,61,52
5:51,282,Donovan Franklin missed Three Point Jumper.,61,52
5:51,98,Justin Johnson Defensive Rebound.,61,52
5:20,98,Pancake Thomas made Jumper. Assisted by Justin Johnson.,63,52
5:05,282,Brenton Scott missed Layup.,63,52
5:05,98,Anton Waters Block.,63,52
5:03,98,Pancake Thomas Defensive Rebound.,63,52
4:41,98,Justin Johnson made Jumper.,65,52
4:34,282,Indiana St  Timeout,65,52
4:34,282,Official TV Timeout,65,52
4:33,282,Brenton Scott missed Three Point Jumper.,65,52
4:33,98,Western Kentucky Defensive Rebound.,65,52
4:04,98,Justin Johnson Turnover.,65,52
4:04,282,Brenton Scott Steal.,65,52
3:58,282,Niels Bunschoten missed Three Point Jumper.,65,52
3:58,98,Pancake Thomas Defensive Rebound.,65,52
3:39,282,Official TV Timeout,65,52
3:27,282,Foul on Laquarious Paige.,65,52
3:27,98,Pancake Thomas made Free Throw.,66,52
3:27,98,Pancake Thomas made Free Throw.,67,52
3:15,282,Brenton Scott missed Layup.,67,52
3:15,282,Brandon Murphy Offensive Rebound.,67,52
3:12,282,Brandon Murphy made Dunk.,67,54
2:39,98,Que Johnson made Three Point Jumper. Assisted by Junior Lomomba.,70,54
2:36,98,Western Kentucky  Timeout,70,54
2:30,98,Foul on Que Johnson.,70,54
2:30,282,Matt Van Scyoc made Free Throw.,70,55
2:30,282,Matt Van Scyoc missed Free Throw.,70,55
2:30,282,Indiana St Deadball Team Rebound.,70,55
2:30,282,Matt Van Scyoc missed Free Throw.,70,55
2:30,98,Pancake Thomas Defensive Rebound.,70,55
2:21,282,Foul on Niels Bunschoten.,70,55
2:21,98,Junior Lomomba missed Free Throw.,70,55
2:21,98,Western Kentucky Deadball Team Rebound.,70,55
2:21,98,Junior Lomomba made Free Throw.,71,55
2:16,282,Everett Clemons made Layup.,71,57
2:16,98,Foul on Tobias Howard.,71,57
2:16,282,Everett Clemons missed Free Throw.,71,57
2:16,282,Matt Van Scyoc Offensive Rebound.,71,57
2:13,282,Brenton Scott missed Three Point Jumper.,71,57
2:13,98,Tobias Howard Defensive Rebound.,71,57
2:09,282,Foul on Niels Bunschoten.,71,57
2:09,98,Tobias Howard made Free Throw.,72,57
2:09,98,Tobias Howard made Free Throw.,73,57
2:05,282,Niels Bunschoten missed Three Point Jumper.,73,57
2:05,282,Brenton Scott Offensive Rebound.,73,57
1:57,282,Brenton Scott missed Layup.,73,57
1:57,282,Donovan Franklin Offensive Rebound.,73,57
1:55,282,Donovan Franklin missed Two Point Tip Shot.,73,57
1:55,98,Justin Johnson Defensive Rebound.,73,57
1:54,282,Foul on Matt Van Scyoc.,73,57
1:54,98,Justin Johnson missed Free Throw.,73,57
1:54,98,Western Kentucky Deadball Team Rebound.,73,57
1:54,98,Justin Johnson missed Free Throw.,73,57
1:54,282,Matt Van Scyoc Defensive Rebound.,73,57
1:48,282,Matt Van Scyoc missed Three Point Jumper.,73,57
1:48,98,Justin Johnson Defensive Rebound.,73,57
1:44,282,Foul on Everett Clemons.,73,57
1:44,98,Justin Johnson missed Free Throw.,73,57
1:44,98,Western Kentucky Deadball Team Rebound.,73,57
1:44,98,Justin Johnson made Free Throw.,74,57
1:34,282,Donovan Franklin missed Three Point Jumper.,74,57
1:34,282,Demonte Ojinnaka Offensive Rebound.,74,57
1:30,282,Demonte Ojinnaka missed Layup.,74,57
1:30,98,Justin Johnson Defensive Rebound.,74,57
1:28,282,Foul on Trey Knight III.,74,57
1:28,98,Justin Johnson made Free Throw.,75,57
1:28,98,Justin Johnson made Free Throw.,76,57
1:21,282,Jordan Barnes made Jumper.,76,59
0:50,282,Foul on Donovan Franklin.,76,59
0:50,98,Pancake Thomas missed Free Throw.,76,59
0:50,98,Western Kentucky Deadball Team Rebound.,76,59
0:50,98,Pancake Thomas made Free Throw.,77,59
0:47,282,Jordan Barnes missed Three Point Jumper.,77,59
0:47,98,Tobias Howard Defensive Rebound.,77,59
0:11,98,Anton Waters missed Three Point Jumper.,77,59
0:11,282,Jordan Barnes Defensive Rebound.,77,59
0:03,282,Jordan Barnes Turnover.,77,59
0:02,98,Pancake Thomas Steal.,77,59
0:00,282,End of Game,77,59
