Cent. Washington,265,Washington State,2120
10:27,2120,Fuquan Niles missed Free Throw.,30,24
10:27,2120,Chris-Michael Garret Offensive Rebound.,30,24
10:14,2120,Naim Ladd missed Three Point Jumper.,30,24
10:14,265,Charles Callison Defensive Rebound.,30,24
10:07,265,Malachi Flynn missed Layup.,30,24
10:07,2120,Chris-Michael Garret Defensive Rebound.,30,24
10:00,2120,Chris-Michael Garret missed Jumper.,30,24
10:00,265,Josh Hawkinson Defensive Rebound.,30,24
9:53,265,Charles Callison Turnover.,30,24
9:40,2120,Dom Hunter missed Three Point Jumper.,30,24
9:40,2120,Fuquan Niles Offensive Rebound.,30,24
9:34,2120,Fuquan Niles Turnover.,30,24
9:24,265,Josh Hawkinson made Jumper. Assisted by Ike Iroegbu.,30,26
8:54,2120,Dom Hunter missed Jumper.,30,26
8:54,265,Derrien King Defensive Rebound.,30,26
8:48,265,Charles Callison missed Three Point Jumper.,30,26
8:48,265,Ike Iroegbu Offensive Rebound.,30,26
8:45,265,Ike Iroegbu missed Layup.,30,26
8:45,2120,Fuquan Niles Defensive Rebound.,30,26
8:36,2120,Sage Woodruff missed Three Point Jumper.,30,26
8:36,265,Josh Hawkinson Defensive Rebound.,30,26
8:17,265,Conor Clifford missed Jumper.,30,26
8:17,2120,Dom Hunter Defensive Rebound.,30,26
7:48,2120,Chris-Michael Garret made Jumper. Assisted by Marc Rodgers.,32,26
7:40,265,Ike Iroegbu Turnover.,32,26
7:40,265,Official TV Timeout,32,26
7:25,2120,Chris-Michael Garret missed Jumper.,32,26
7:25,2120,Chris-Michael Garret Offensive Rebound.,32,26
7:07,2120,Jerome Bryant made Layup. Assisted by Dom Hunter.,34,26
6:53,265,Conor Clifford missed Jumper.,34,26
6:53,2120,Dom Hunter Defensive Rebound.,34,26
6:34,2120,Dom Hunter made Jumper.,36,26
6:05,265,Josh Hawkinson missed Jumper.,36,26
6:05,2120,Sage Woodruff Defensive Rebound.,36,26
5:45,2120,Sage Woodruff Turnover.,36,26
5:45,265,Malachi Flynn Steal.,36,26
5:42,265,Viont'e Daniels made Jumper.,36,28
5:17,2120,Sage Woodruff missed Three Point Jumper.,36,28
5:17,265,Josh Hawkinson Defensive Rebound.,36,28
4:53,265,Malachi Flynn made Three Point Jumper. Assisted by Ike Iroegbu.,36,31
4:38,2120,Dom Hunter missed Layup.,36,31
4:38,265,Ike Iroegbu Block.,36,31
4:37,2120,Marc Rodgers Offensive Rebound.,36,31
4:27,2120,Dom Hunter missed Jumper.,36,31
4:27,265,Viont'e Daniels Defensive Rebound.,36,31
4:15,2120,Foul on Chris-Michael Garret.,36,31
4:15,265,Conor Clifford made Free Throw.,36,32
4:15,265,Conor Clifford made Free Throw.,36,33
3:59,2120,Sage Woodruff made Layup.,38,33
3:50,265,Foul on Robert Franks.,38,33
3:50,265,Robert Franks Turnover.,38,33
3:50,265,Official TV Timeout,38,33
3:33,2120,Naim Ladd made Jumper.,40,33
3:10,265,Josh Hawkinson missed Three Point Jumper.,40,33
3:10,2120,Jawan Stepney Defensive Rebound.,40,33
3:04,2120,Sage Woodruff Turnover.,40,33
3:03,265,Josh Hawkinson Steal.,40,33
2:41,265,Ike Iroegbu missed Layup.,40,33
2:41,2120,Sage Woodruff Defensive Rebound.,40,33
2:27,2120,Naim Ladd missed Jumper.,40,33
2:27,265,Malachi Flynn Defensive Rebound.,40,33
2:15,2120,Foul on Sage Woodruff.,40,33
2:15,265,Ike Iroegbu made Free Throw.,40,34
2:15,265,Ike Iroegbu missed Free Throw.,40,34
2:15,2120,Fuquan Niles Defensive Rebound.,40,34
1:59,2120,Terry Dawn missed Jumper.,40,34
1:59,265,Josh Hawkinson Defensive Rebound.,40,34
1:53,265,Derrien King missed Three Point Jumper.,40,34
1:53,2120,Fuquan Niles Defensive Rebound.,40,34
1:22,2120,Jawan Stepney missed Three Point Jumper.,40,34
1:22,265,Derrien King Defensive Rebound.,40,34
1:17,2120,Foul on Fuquan Niles.,40,34
1:17,265,Washington St  Timeout,40,34
1:17,265,Josh Hawkinson made Free Throw.,40,35
1:17,265,Josh Hawkinson made Free Throw.,40,36
0:57,2120,Naim Ladd missed Layup.,40,36
0:57,2120,Fuquan Niles Offensive Rebound.,40,36
0:53,2120,Fuquan Niles made Layup.,42,36
0:42,265,Josh Hawkinson missed Jumper.,42,36
0:42,2120,Dom Hunter Defensive Rebound.,42,36
0:37,2120,Central Washington  Timeout,42,36
0:19,2120,Dom Hunter missed Jumper.,42,36
0:19,265,Josh Hawkinson Defensive Rebound.,42,36
0:03,265,Malachi Flynn missed Jumper.,42,36
0:03,2120,Jawan Stepney Defensive Rebound.,42,36
0:00,265,End of 1st half,42,36
19:51,2120,Terry Dawn missed Three Point Jumper.,42,36
19:51,265,Josh Hawkinson Defensive Rebound.,42,36
19:29,265,Malachi Flynn Turnover.,42,36
19:28,2120,Dom Hunter Steal.,42,36
19:26,2120,Dom Hunter made Jumper.,44,36
19:09,265,Derrien King missed Jumper.,44,36
19:09,2120,Jerome Bryant Block.,44,36
19:08,265,Derrien King Offensive Rebound.,44,36
19:06,2120,Foul on Terry Dawn.,44,36
19:02,265,Ike Iroegbu made Layup.,44,38
18:46,2120,Dom Hunter missed Jumper.,44,38
18:46,265,Josh Hawkinson Block.,44,38
18:44,265,Ike Iroegbu Defensive Rebound.,44,38
18:35,265,Josh Hawkinson made Jumper. Assisted by Viont'e Daniels.,44,40
18:20,2120,Foul on Dom Hunter.,44,40
18:20,2120,Dom Hunter Turnover.,44,40
18:06,265,Josh Hawkinson missed Jumper.,44,40
18:06,2120,Naim Ladd Defensive Rebound.,44,40
18:00,2120,Dom Hunter missed Three Point Jumper.,44,40
18:00,2120,Jerome Bryant Offensive Rebound.,44,40
17:54,2120,Dom Hunter made Layup. Assisted by Jerome Bryant.,46,40
17:47,2120,Foul on Jerome Bryant.,46,40
17:47,265,Viont'e Daniels made Free Throw.,46,41
17:47,265,Viont'e Daniels made Free Throw.,46,42
17:36,2120,Naim Ladd missed Jumper.,46,42
17:36,2120,Fuquan Niles Offensive Rebound.,46,42
17:33,2120,Fuquan Niles missed Two Point Tip Shot.,46,42
17:33,2120,Fuquan Niles Offensive Rebound.,46,42
17:30,2120,Fuquan Niles missed Layup.,46,42
17:30,265,Malachi Flynn Defensive Rebound.,46,42
17:25,265,Viont'e Daniels missed Three Point Jumper.,46,42
17:25,2120,Fuquan Niles Defensive Rebound.,46,42
16:53,265,Foul on Malachi Flynn.,46,42
16:53,2120,Naim Ladd missed Free Throw.,46,42
16:53,2120,Central Washington Deadball Team Rebound.,46,42
16:53,2120,Naim Ladd made Free Throw.,47,42
16:36,265,Josh Hawkinson missed Jumper.,47,42
16:36,265,Derrien King Offensive Rebound.,47,42
16:28,2120,Foul on Fuquan Niles.,47,42
16:24,265,Ike Iroegbu made Layup.,47,44
16:08,2120,Dom Hunter missed Jumper.,47,44
16:08,265,Derrien King Defensive Rebound.,47,44
16:01,265,Ike Iroegbu made Layup. Assisted by Derrien King.,47,46
15:53,2120,Jawan Stepney missed Three Point Jumper.,47,46
15:53,265,Derrien King Defensive Rebound.,47,46
15:46,2120,Foul on Jawan Stepney.,47,46
15:46,265,Official TV Timeout,47,46
15:31,2120,Foul on Fuquan Niles.,47,46
15:29,265,Josh Hawkinson missed Jumper.,47,46
15:29,2120,Central Washington Defensive Rebound.,47,46
15:12,2120,Fuquan Niles missed Jumper.,47,46
15:12,2120,Fuquan Niles Offensive Rebound.,47,46
15:05,2120,Fuquan Niles missed Jumper.,47,46
15:05,265,Josh Hawkinson Defensive Rebound.,47,46
14:58,265,Viont'e Daniels made Layup. Assisted by Josh Hawkinson.,47,48
14:43,2120,Jawan Stepney missed Jumper.,47,48
14:43,2120,Jawan Stepney Offensive Rebound.,47,48
14:38,265,Foul on Josh Hawkinson.,47,48
14:38,2120,Fuquan Niles missed Free Throw.,47,48
14:38,2120,Central Washington Deadball Team Rebound.,47,48
14:37,2120,Fuquan Niles made Free Throw.,48,48
14:23,265,Derrien King Turnover.,48,48
14:21,2120,Fuquan Niles Steal.,48,48
14:10,2120,Naim Ladd missed Three Point Jumper.,48,48
14:10,265,Josh Hawkinson Defensive Rebound.,48,48
13:54,265,Derrien King missed Three Point Jumper.,48,48
13:54,2120,Sage Woodruff Defensive Rebound.,48,48
13:37,2120,Chris-Michael Garret made Jumper.,50,48
13:21,265,Josh Hawkinson missed Three Point Jumper.,50,48
13:21,2120,Naim Ladd Defensive Rebound.,50,48
13:03,2120,Dom Hunter made Three Point Jumper. Assisted by Chris-Michael Garret.,53,48
12:56,265,Ike Iroegbu made Layup. Assisted by Charles Callison.,53,50
12:56,2120,Foul on Chris-Michael Garret.,53,50
12:56,265,Ike Iroegbu made Free Throw.,53,51
12:31,2120,Chris-Michael Garret missed Jumper.,53,51
12:31,265,Josh Hawkinson Defensive Rebound.,53,51
12:24,265,Charles Callison made Layup. Assisted by Ike Iroegbu.,53,53
12:16,2120,Central Washington  Timeout,53,53
12:16,265,Official TV Timeout,53,53
11:56,2120,Dom Hunter missed Layup.,53,53
11:56,265,Josh Hawkinson Block.,53,53
11:54,265,Viont'e Daniels Defensive Rebound.,53,53
11:50,265,Ike Iroegbu made Layup. Assisted by Viont'e Daniels.,53,55
11:29,2120,Marc Rodgers missed Jumper.,53,55
11:29,265,Josh Hawkinson Block.,53,55
11:28,265,Viont'e Daniels Defensive Rebound.,53,55
11:25,2120,Foul on Chris-Michael Garret.,53,55
11:25,265,Official TV Timeout,53,55
11:25,265,Ike Iroegbu made Free Throw.,53,56
11:25,265,Ike Iroegbu missed Free Throw.,53,56
11:25,265,Washington St Deadball Team Rebound.,53,56
11:25,265,Washington St  Turnover.,53,56
11:10,265,Foul on Ike Iroegbu.,53,56
10:53,2120,Dom Hunter missed Jumper.,53,56
10:53,265,Josh Hawkinson Defensive Rebound.,53,56
10:34,265,Malachi Flynn made Layup.,53,58
10:34,2120,Foul on Dom Hunter.,53,58
10:34,265,Malachi Flynn made Free Throw.,53,59
10:23,2120,Jerome Bryant missed Jumper.,53,59
10:23,265,Malachi Flynn Defensive Rebound.,53,59
10:07,265,Viont'e Daniels Turnover.,53,59
9:42,265,Foul on Charles Callison.,53,59
9:32,2120,Naim Ladd missed Three Point Jumper.,53,59
9:32,265,Viont'e Daniels Defensive Rebound.,53,59
9:15,2120,Foul on Marc Rodgers.,53,59
9:15,265,Charles Callison made Free Throw.,53,60
9:15,265,Charles Callison made Free Throw.,53,61
8:59,2120,Marc Rodgers made Jumper.,55,61
8:39,2120,Foul on Jerome Bryant.,55,61
8:39,265,Josh Hawkinson made Free Throw.,55,62
8:39,265,Josh Hawkinson made Free Throw.,55,63
8:23,2120,Jawan Stepney missed Jumper.,55,63
8:23,2120,Fuquan Niles Offensive Rebound.,55,63
8:12,265,Foul on Charles Callison.,55,63
7:57,265,Official TV Timeout,55,63
7:47,2120,Marc Rodgers missed Jumper.,55,63
7:47,265,Viont'e Daniels Defensive Rebound.,55,63
7:26,2120,Foul on Marc Rodgers.,55,63
7:26,265,Ike Iroegbu made Free Throw.,55,64
7:26,265,Ike Iroegbu made Free Throw.,55,65
7:10,2120,Naim Ladd missed Jumper.,55,65
7:10,265,Malachi Flynn Defensive Rebound.,55,65
6:52,265,Derrien King missed Three Point Jumper.,55,65
6:52,2120,Jawan Stepney Defensive Rebound.,55,65
6:46,2120,Chris-Michael Garret Turnover.,55,65
6:35,265,Ike Iroegbu missed Layup.,55,65
6:35,2120,Fuquan Niles Defensive Rebound.,55,65
6:23,2120,Chris-Michael Garret made Jumper.,57,65
6:22,265,Foul on Derrien King.,57,65
6:22,2120,Chris-Michael Garret made Free Throw.,58,65
5:57,265,Malachi Flynn missed Three Point Jumper.,58,65
5:57,265,Malachi Flynn Offensive Rebound.,58,65
5:40,2120,Foul on Fuquan Niles.,58,65
5:40,265,Malachi Flynn made Free Throw.,58,66
5:40,265,Malachi Flynn made Free Throw.,58,67
5:19,2120,Fuquan Niles Turnover.,58,67
5:18,265,Josh Hawkinson Steal.,58,67
5:14,265,Malachi Flynn made Layup. Assisted by Derrien King.,58,69
4:59,2120,Jawan Stepney made Layup. Assisted by Naim Ladd.,60,69
4:35,265,Malachi Flynn made Layup.,60,71
4:26,2120,Naim Ladd missed Three Point Jumper.,60,71
4:26,2120,Jawan Stepney Offensive Rebound.,60,71
4:19,2120,Fuquan Niles made Layup.,62,71
4:19,265,Foul on Derrien King.,62,71
4:19,2120,Fuquan Niles made Free Throw.,63,71
4:05,265,Charles Callison made Layup.,63,73
3:50,2120,Dom Hunter made Three Point Jumper.,66,73
3:23,265,Josh Hawkinson missed Jumper.,66,73
3:23,2120,Fuquan Niles Defensive Rebound.,66,73
2:52,2120,Dom Hunter missed Jumper.,66,73
2:52,265,Ike Iroegbu Defensive Rebound.,66,73
2:43,265,Viont'e Daniels made Three Point Jumper. Assisted by Charles Callison.,66,76
2:41,265,Washington St  Timeout,66,76
2:41,265,Official TV Timeout,66,76
2:28,2120,Dom Hunter made Three Point Jumper. Assisted by Naim Ladd.,69,76
1:56,265,Foul on Ike Iroegbu.,69,76
1:56,265,Ike Iroegbu Turnover.,69,76
1:38,2120,Dom Hunter missed Three Point Jumper.,69,76
1:38,2120,Fuquan Niles Offensive Rebound.,69,76
1:35,2120,Fuquan Niles made Layup.,71,76
1:34,2120,Central Washington  Timeout,71,76
1:10,265,Malachi Flynn missed Jumper.,71,76
1:10,265,Josh Hawkinson Offensive Rebound.,71,76
1:06,265,Josh Hawkinson made Layup.,71,78
0:43,265,Foul on Charles Callison.,71,78
0:43,2120,Dom Hunter missed Free Throw.,71,78
0:43,2120,Central Washington Deadball Team Rebound.,71,78
0:43,2120,Dom Hunter made Free Throw.,72,78
0:42,2120,Foul on Naim Ladd.,72,78
0:42,265,Viont'e Daniels missed Free Throw.,72,78
0:42,265,Washington St Deadball Team Rebound.,72,78
0:42,265,Viont'e Daniels made Free Throw.,72,79
0:32,2120,Dom Hunter missed Three Point Jumper.,72,79
0:32,265,Charles Callison Block.,72,79
0:30,2120,Fuquan Niles Offensive Rebound.,72,79
0:27,2120,Jawan Stepney missed Three Point Jumper.,72,79
0:27,265,Malachi Flynn Defensive Rebound.,72,79
0:22,2120,Foul on Chris-Michael Garret.,72,79
0:22,265,Malachi Flynn missed Free Throw.,72,79
0:22,265,Washington St Deadball Team Rebound.,72,79
0:22,265,Malachi Flynn made Free Throw.,72,80
0:16,2120,Naim Ladd missed Three Point Jumper.,72,80
0:16,2120,Terry Dawn Offensive Rebound.,72,80
0:12,2120,Terry Dawn missed Three Point Jumper.,72,80
0:12,265,Josh Hawkinson Block.,72,80
0:10,2120,Naim Ladd Offensive Rebound.,72,80
0:06,2120,Naim Ladd made Jumper.,74,80
0:06,2120,Central Washington  Timeout,74,80
0:06,2120,Foul on Terry Dawn.,74,80
0:06,265,Josh Hawkinson missed Free Throw.,74,80
0:06,265,Washington St Deadball Team Rebound.,74,80
0:06,265,Josh Hawkinson made Free Throw.,74,81
0:00,2120,Dom Hunter made Layup.,76,81
0:00,265,End of Game,76,81
