Louisiana College,Error,McNeese,2377
13:12,-1,D'Aaron Davis Offensive Rebound.,5,6
13:06,-1,D'Aaron Davis Turnover.,5,6
13:02,2377,Jarren Greenwood Steal.,5,6
13:01,2377,Jarren Greenwood Turnover.,5,6
13:01,-1,Taylan Grogan Steal.,5,6
13:01,2377,Foul on Jarren Greenwood.,5,6
13:01,-1,Taylan Grogan made Free Throw.,6,6
13:01,-1,Taylan Grogan made Free Throw.,7,6
12:52,-1,Foul on Torrian Lee.,7,6
12:52,2377,Jarren Greenwood made Free Throw.,7,7
12:52,2377,Jarren Greenwood made Free Throw.,7,8
12:37,-1,Nick Burks made Layup.,9,8
12:37,2377,Foul on James Harvey.,9,8
12:37,-1,Nick Burks made Free Throw.,10,8
12:36,-1,Torrian Lee Turnover.,10,8
12:18,-1,D'Aaron Davis made Dunk. Assisted by Torrian Lee.,12,8
12:09,2377,Jarren Greenwood missed Jumper.,12,8
12:09,2377,Jarren Greenwood Offensive Rebound.,12,8
12:04,2377,Kalob Ledoux missed Three Point Jumper.,12,8
12:04,-1,Timothy Stokes Defensive Rebound.,12,8
12:00,-1,Nick Burks Turnover.,12,8
11:42,2377,Jarren Greenwood made Three Point Jumper. Assisted by Kalob Ledoux.,12,11
11:25,-1,Nick Burks made Three Point Jumper. Assisted by Torrian Lee.,15,11
11:12,2377,Kalob Ledoux missed Jumper.,15,11
11:12,-1,Louisiana Defensive Rebound.,15,11
10:53,-1,Timothy Stokes missed Layup.,15,11
10:53,2377,LaBarrius Hill Defensive Rebound.,15,11
10:30,2377,Kalob Ledoux missed Three Point Jumper.,15,11
10:30,-1,Louisiana Defensive Rebound.,15,11
10:21,2377,Foul on Jarren Greenwood.,15,11
10:21,-1,D'Aaron Davis made Free Throw.,16,11
10:21,-1,D'Aaron Davis missed Free Throw.,16,11
10:21,2377,LaBarrius Hill Defensive Rebound.,16,11
10:15,2377,Jacob Ledoux Turnover.,16,11
10:13,-1,Steve Evans Steal.,16,11
10:10,-1,Steve Evans made Dunk.,18,11
9:56,-1,Foul on John Parker.,18,11
9:47,2377,Jacob Ledoux missed Layup.,18,11
9:47,-1,D'Aaron Davis Defensive Rebound.,18,11
9:30,2377,Foul on LaBarrius Hill.,18,11
9:24,2377,Foul on LaBarrius Hill.,18,11
9:24,-1,Steve Evans made Free Throw.,19,11
9:24,-1,Steve Evans made Free Throw.,20,11
9:09,-1,Steve Evans Turnover.,20,11
8:48,2377,Foul on Kalob Ledoux.,20,11
8:48,-1,Kevin Cottonham made Free Throw.,21,11
8:48,-1,Kevin Cottonham made Free Throw.,22,11
8:35,2377,James Harvey missed Three Point Jumper.,22,11
8:35,-1,John Parker Defensive Rebound.,22,11
8:07,-1,Kevin Cottonham missed Three Point Jumper.,22,11
8:07,2377,LaBarrius Hill Defensive Rebound.,22,11
7:48,2377,Stephen Ugochukwu Turnover.,22,11
7:48,-1,Kevin Cottonham Steal.,22,11
7:48,2377,Foul on Stephen Ugochukwu.,22,11
7:48,2377,Official TV Timeout,22,11
7:48,-1,Kevin Cottonham made Free Throw.,23,11
7:48,-1,Kevin Cottonham made Free Throw.,24,11
7:28,2377,Jamaya Burr missed Layup.,24,11
7:28,-1,Steve Evans Defensive Rebound.,24,11
7:01,-1,Steve Evans Turnover.,24,11
6:59,2377,James Harvey Steal.,24,11
6:57,2377,Jamaya Burr made Layup. Assisted by James Harvey.,24,13
6:38,-1,John Parker Turnover.,24,13
6:26,2377,Foul on Richard Laku.,24,13
6:26,2377,Richard Laku Turnover.,24,13
5:59,-1,Steve Evans missed Jumper.,24,13
5:59,-1,D'Aaron Davis Offensive Rebound.,24,13
5:54,-1,Torrian Lee missed Three Point Jumper.,24,13
5:54,-1,Louisiana Offensive Rebound.,24,13
5:48,-1,Nick Burks made Three Point Jumper. Assisted by Torrian Lee.,27,13
5:39,-1,Foul on Nick Burks.,27,13
5:31,2377,Jamaya Burr missed Layup.,27,13
5:31,-1,Steve Evans Block.,27,13
5:29,-1,Nick Burks Defensive Rebound.,27,13
5:26,-1,Timothy Stokes missed Layup.,27,13
5:26,-1,D'Aaron Davis Offensive Rebound.,27,13
5:19,-1,D'Aaron Davis made Layup.,29,13
5:06,2377,Stephen Ugochukwu missed Jumper.,29,13
5:06,-1,Torrian Lee Defensive Rebound.,29,13
4:58,-1,Steve Evans made Layup. Assisted by Torrian Lee.,31,13
4:48,-1,Foul on Nick Burks.,31,13
4:48,2377,Jamaya Burr made Free Throw.,31,14
4:48,2377,Jamaya Burr made Free Throw.,31,15
4:33,-1,Torrian Lee Turnover.,31,15
4:32,2377,Jarren Greenwood Steal.,31,15
4:31,2377,Jarren Greenwood made Layup.,31,17
4:31,-1,Foul on Timothy Stokes.,31,17
4:31,2377,Jarren Greenwood missed Free Throw.,31,17
4:31,-1,John Parker Defensive Rebound.,31,17
4:04,-1,Torrian Lee missed Three Point Jumper.,31,17
4:04,-1,John Parker Offensive Rebound.,31,17
3:59,-1,John Parker made Layup.,33,17
3:39,2377,Stephen Ugochukwu made Layup. Assisted by Kalob Ledoux.,33,19
3:21,-1,John Parker Turnover.,33,19
3:19,2377,Jamaya Burr Steal.,33,19
3:17,2377,Jamaya Burr Turnover.,33,19
3:17,2377,Official TV Timeout,33,19
2:58,-1,John Parker made Layup.,35,19
2:52,-1,Foul on Timothy Stokes.,35,19
2:52,2377,Jamaya Burr missed Free Throw.,35,19
2:52,-1,Steve Evans Defensive Rebound.,35,19
2:43,-1,John Parker Turnover.,35,19
2:30,-1,Foul on Brandon Watkins.,35,19
2:30,2377,Jarren Greenwood missed Free Throw.,35,19
2:30,2377,McNeese Deadball Team Rebound.,35,19
2:30,2377,Jarren Greenwood missed Free Throw.,35,19
2:30,-1,Steve Evans Defensive Rebound.,35,19
2:19,-1,Louisiana  Turnover.,35,19
2:19,-1,Louisiana  Timeout,35,19
2:10,-1,Foul on John Parker.,35,19
2:10,2377,Kalob Ledoux made Free Throw.,35,20
2:10,2377,Kalob Ledoux missed Free Throw.,35,20
2:10,-1,Steve Evans Defensive Rebound.,35,20
1:40,-1,Nick Burks missed Layup.,35,20
1:40,-1,Brandon Watkins Offensive Rebound.,35,20
1:36,-1,Brandon Watkins missed Layup.,35,20
1:36,-1,Steve Evans Offensive Rebound.,35,20
1:36,2377,Foul on LaBarrius Hill.,35,20
1:36,-1,Steve Evans missed Free Throw.,35,20
1:36,-1,Louisiana Deadball Team Rebound.,35,20
1:36,-1,Steve Evans made Free Throw.,36,20
1:23,2377,Howard Thomas missed Layup.,36,20
1:23,-1,Steve Evans Defensive Rebound.,36,20
1:17,-1,Brandon Watkins made Layup. Assisted by Kevin Cottonham.,38,20
0:52,2377,James Harvey made Jumper. Assisted by Jarren Greenwood.,38,22
0:33,-1,Taylan Grogan made Three Point Jumper. Assisted by Kevin Cottonham.,41,22
0:23,-1,Foul on Taylan Grogan.,41,22
0:23,2377,Jamaya Burr missed Free Throw.,41,22
0:23,2377,McNeese Deadball Team Rebound.,41,22
0:23,2377,Jamaya Burr missed Free Throw.,41,22
0:23,-1,Steve Evans Defensive Rebound.,41,22
0:03,-1,Taylan Grogan missed Jumper.,41,22
0:03,2377,Kalob Ledoux Defensive Rebound.,41,22
0:00,2377,End of 1st half,41,22
19:40,-1,Brandon Watkins made Jumper. Assisted by Kevin Cottonham.,43,22
19:16,2377,James Harvey missed Three Point Jumper.,43,22
19:16,-1,Louisiana Defensive Rebound.,43,22
18:49,-1,Taylan Grogan missed Three Point Jumper.,43,22
18:49,2377,LaBarrius Hill Defensive Rebound.,43,22
18:40,2377,James Harvey made Three Point Jumper. Assisted by Jamaya Burr.,43,25
18:14,-1,John Parker missed Layup.,43,25
18:14,2377,Stephen Ugochukwu Defensive Rebound.,43,25
18:08,-1,Foul on Steve Evans.,43,25
18:08,2377,Jamaya Burr missed Free Throw.,43,25
18:08,2377,McNeese Deadball Team Rebound.,43,25
18:08,2377,Jamaya Burr made Free Throw.,43,26
17:41,-1,John Parker made Layup. Assisted by Kevin Cottonham.,45,26
17:35,2377,James Harvey missed Three Point Jumper.,45,26
17:35,-1,Brandon Watkins Defensive Rebound.,45,26
17:22,-1,Kevin Cottonham Turnover.,45,26
17:22,2377,James Harvey Steal.,45,26
17:22,-1,Foul on Kevin Cottonham.,45,26
17:09,-1,Foul on Nick Burks.,45,26
17:09,2377,Jarren Greenwood made Free Throw.,45,27
17:09,2377,Jarren Greenwood made Free Throw.,45,28
16:38,-1,Louisiana  Turnover.,45,28
16:27,2377,James Harvey missed Three Point Jumper.,45,28
16:27,-1,Brandon Watkins Defensive Rebound.,45,28
16:04,-1,Steve Evans made Jumper. Assisted by Kevin Cottonham.,47,28
15:48,-1,Foul on Nick Burks.,47,28
15:48,2377,James Harvey made Free Throw.,47,29
15:48,2377,James Harvey made Free Throw.,47,30
15:24,-1,Torrian Lee missed Layup.,47,30
15:24,2377,Stephen Ugochukwu Defensive Rebound.,47,30
15:17,2377,Kalob Ledoux Turnover.,47,30
15:16,-1,Torrian Lee Steal.,47,30
15:13,-1,Taylan Grogan made Layup. Assisted by Torrian Lee.,49,30
14:57,2377,Kalob Ledoux missed Three Point Jumper.,49,30
14:57,2377,Stephen Ugochukwu Offensive Rebound.,49,30
14:53,2377,Stephen Ugochukwu made Layup.,49,32
14:53,-1,Foul on D'Aaron Davis.,49,32
14:53,2377,Stephen Ugochukwu missed Free Throw.,49,32
14:53,2377,Stephen Ugochukwu Offensive Rebound.,49,32
14:49,2377,Stephen Ugochukwu missed Layup.,49,32
14:49,2377,LaBarrius Hill Offensive Rebound.,49,32
14:44,-1,Foul on Taylan Grogan.,49,32
14:37,2377,LaBarrius Hill made Free Throw.,49,33
14:32,2377,Foul on Stephen Ugochukwu.,49,33
14:32,-1,Steve Evans made Free Throw.,50,33
14:32,-1,Steve Evans made Free Throw.,51,33
14:27,2377,LaBarrius Hill missed Free Throw.,51,33
14:27,-1,Steve Evans Defensive Rebound.,51,33
14:16,2377,Jarren Greenwood made Jumper.,51,35
13:57,-1,John Parker made Layup.,53,35
13:51,2377,Jarren Greenwood missed Layup.,53,35
13:51,-1,Torrian Lee Defensive Rebound.,53,35
13:43,-1,Taylan Grogan made Three Point Jumper. Assisted by Torrian Lee.,56,35
13:33,2377,McNeese  Timeout,56,35
13:26,2377,Jamaya Burr made Layup.,56,37
13:14,-1,Taylan Grogan missed Three Point Jumper.,56,37
13:14,2377,Stephen Ugochukwu Defensive Rebound.,56,37
13:08,2377,Kalob Ledoux missed Three Point Jumper.,56,37
13:08,-1,Taylan Grogan Defensive Rebound.,56,37
12:40,-1,John Parker made Layup. Assisted by Taylan Grogan.,58,37
12:29,2377,Jarren Greenwood missed Three Point Jumper.,58,37
12:29,2377,McNeese Offensive Rebound.,58,37
12:24,2377,Kalob Ledoux missed Three Point Jumper.,58,37
12:24,-1,Steve Evans Defensive Rebound.,58,37
12:03,-1,Torrian Lee missed Jumper.,58,37
12:03,2377,McNeese Defensive Rebound.,58,37
11:54,2377,Jamaya Burr missed Layup.,58,37
11:54,-1,Steve Evans Defensive Rebound.,58,37
11:23,-1,Louisiana  Turnover.,58,37
11:08,2377,Jarren Greenwood made Layup.,58,39
10:41,-1,D'Aaron Davis Turnover.,58,39
10:39,2377,Jamaya Burr Steal.,58,39
10:38,-1,Foul on D'Aaron Davis.,58,39
10:38,2377,Jamaya Burr missed Free Throw.,58,39
10:38,2377,McNeese Deadball Team Rebound.,58,39
10:38,2377,Jamaya Burr made Free Throw.,58,40
10:32,2377,Foul on James Harvey.,58,40
10:32,-1,D'Aaron Davis made Free Throw.,59,40
10:32,-1,D'Aaron Davis missed Free Throw.,59,40
10:32,2377,Jarren Greenwood Defensive Rebound.,59,40
10:24,2377,Jacob Ledoux missed Layup.,59,40
10:24,-1,Brandon Watkins Defensive Rebound.,59,40
10:13,2377,Foul on Jarren Greenwood.,59,40
9:45,-1,D'Aaron Davis made Layup. Assisted by Kevin Cottonham.,61,40
9:35,-1,Foul on Brandon Watkins.,61,40
9:35,2377,Jacob Ledoux made Free Throw.,61,41
9:35,2377,Jacob Ledoux missed Free Throw.,61,41
9:35,-1,Brandon Watkins Defensive Rebound.,61,41
9:23,-1,Foul on Timothy Stokes.,61,41
9:23,-1,Timothy Stokes Turnover.,61,41
9:12,2377,Jacob Ledoux made Layup.,61,43
9:01,-1,D'Aaron Davis Turnover.,61,43
8:56,2377,Jamaya Burr Steal.,61,43
8:56,2377,James Harvey made Layup.,61,45
8:56,-1,Louisiana  Timeout,61,45
8:49,-1,Kevin Cottonham Turnover.,61,45
8:38,2377,Jamaya Burr made Three Point Jumper. Assisted by Jacob Ledoux.,61,48
8:33,2377,Foul on James Harvey.,61,48
8:17,-1,Taylan Grogan made Layup. Assisted by Brandon Watkins.,63,48
8:09,2377,Jacob Ledoux missed Layup.,63,48
8:09,2377,Richard Laku Offensive Rebound.,63,48
8:05,2377,Richard Laku Turnover.,63,48
8:03,-1,Nick Burks Steal.,63,48
8:01,-1,Nick Burks Turnover.,63,48
7:49,2377,Jamaya Burr made Three Point Jumper.,63,51
7:21,2377,Foul on Jarren Greenwood.,63,51
7:17,-1,Steve Evans missed Layup.,63,51
7:17,2377,Jarren Greenwood Defensive Rebound.,63,51
7:10,2377,James Harvey made Three Point Jumper. Assisted by Jarren Greenwood.,63,54
6:54,-1,Kevin Cottonham Turnover.,63,54
6:48,2377,James Harvey missed Three Point Jumper.,63,54
6:48,2377,Jacob Ledoux Offensive Rebound.,63,54
6:40,2377,Jacob Ledoux made Layup.,63,56
6:38,2377,Foul on Jacob Ledoux.,63,56
6:32,-1,Brandon Watkins missed Layup.,63,56
6:32,2377,Jacob Ledoux Defensive Rebound.,63,56
6:26,2377,Kalob Ledoux made Layup.,63,58
6:19,-1,Louisiana  Timeout,63,58
5:50,-1,Taylan Grogan Turnover.,63,58
5:48,2377,Stephen Ugochukwu Steal.,63,58
5:46,2377,Kalob Ledoux made Dunk. Assisted by Stephen Ugochukwu.,63,60
5:36,-1,Louisiana  Timeout,63,60
5:25,-1,Kevin Cottonham Turnover.,63,60
5:03,2377,Jamaya Burr missed Layup.,63,60
5:03,2377,Jamaya Burr Offensive Rebound.,63,60
5:01,-1,Foul on Brandon Watkins.,63,60
5:01,2377,Jamaya Burr made Free Throw.,63,61
5:01,2377,Jamaya Burr missed Free Throw.,63,61
5:01,-1,Steve Evans Defensive Rebound.,63,61
4:42,-1,Kevin Cottonham made Layup.,65,61
4:42,2377,Foul on Stephen Ugochukwu.,65,61
4:42,-1,Kevin Cottonham missed Free Throw.,65,61
4:42,2377,Stephen Ugochukwu Defensive Rebound.,65,61
4:34,-1,Foul on Steve Evans.,65,61
4:34,2377,Kalob Ledoux made Free Throw.,65,62
4:34,2377,Kalob Ledoux made Free Throw.,65,63
4:09,-1,Steve Evans made Layup. Assisted by Kevin Cottonham.,67,63
3:55,2377,Jamaya Burr missed Layup.,67,63
3:55,-1,D'Aaron Davis Block.,67,63
3:55,2377,McNeese Offensive Rebound.,67,63
3:55,2377,Official TV Timeout,67,63
3:42,2377,Kalob Ledoux missed Jumper.,67,63
3:42,2377,Stephen Ugochukwu Offensive Rebound.,67,63
3:37,2377,Stephen Ugochukwu made Layup.,67,65
3:33,2377,Foul on Stephen Ugochukwu.,67,65
3:33,-1,Torrian Lee made Free Throw.,68,65
3:33,-1,Torrian Lee made Free Throw.,69,65
3:15,2377,James Harvey made Jumper. Assisted by Jamaya Burr.,69,67
3:07,2377,Foul on Adrian Brown.,69,67
3:07,-1,Kevin Cottonham made Free Throw.,70,67
3:07,-1,Kevin Cottonham made Free Throw.,71,67
2:51,2377,Jacob Ledoux missed Three Point Jumper.,71,67
2:51,-1,Taylan Grogan Defensive Rebound.,71,67
2:45,-1,Taylan Grogan missed Layup.,71,67
2:45,-1,D'Aaron Davis Offensive Rebound.,71,67
2:40,-1,D'Aaron Davis made Layup.,73,67
2:26,2377,James Harvey missed Jumper.,73,67
2:26,-1,D'Aaron Davis Defensive Rebound.,73,67
2:17,-1,Kevin Cottonham made Three Point Jumper. Assisted by Torrian Lee.,76,67
2:05,2377,Jacob Ledoux made Jumper.,76,69
2:01,2377,Foul on Jacob Ledoux.,76,69
2:01,-1,Kevin Cottonham made Free Throw.,77,69
2:01,-1,Kevin Cottonham made Free Throw.,78,69
1:53,2377,Jamaya Burr made Layup.,78,71
1:53,-1,Foul on D'Aaron Davis.,78,71
1:53,2377,Jamaya Burr missed Free Throw.,78,71
1:53,-1,Steve Evans Defensive Rebound.,78,71
1:37,-1,Louisiana  Timeout,78,71
1:29,2377,Jacob Ledoux missed Three Point Jumper.,78,71
1:29,2377,Kalob Ledoux Offensive Rebound.,78,71
1:24,2377,Kalob Ledoux made Two Point Tip Shot.,78,73
1:13,-1,Torrian Lee Turnover.,78,73
1:12,2377,Stephen Ugochukwu Steal.,78,73
1:09,2377,Kalob Ledoux made Dunk.,78,75
0:56,2377,Foul on Jacob Ledoux.,78,75
0:54,-1,Steve Evans made Free Throw.,79,75
0:54,-1,Steve Evans made Free Throw.,80,75
0:46,2377,Jamaya Burr missed Layup.,80,75
0:46,-1,Kevin Cottonham Defensive Rebound.,80,75
0:28,2377,Foul on Jacob Ledoux.,80,75
0:28,-1,Kevin Cottonham made Free Throw.,81,75
0:28,-1,Kevin Cottonham made Free Throw.,82,75
0:20,2377,Stephen Ugochukwu missed Layup.,82,75
0:20,-1,Steve Evans Block.,82,75
0:18,2377,Stephen Ugochukwu Offensive Rebound.,82,75
0:15,2377,Stephen Ugochukwu missed Layup.,82,75
0:15,2377,Kalob Ledoux Offensive Rebound.,82,75
0:13,-1,Foul on D'Aaron Davis.,82,75
0:13,2377,Stephen Ugochukwu missed Free Throw.,82,75
0:13,2377,McNeese Deadball Team Rebound.,82,75
0:13,2377,Stephen Ugochukwu missed Free Throw.,82,75
0:13,-1,Steve Evans Defensive Rebound.,82,75
0:11,2377,Foul on Jacob Ledoux.,82,75
0:11,-1,Steve Evans missed Free Throw.,82,75
0:11,-1,Louisiana Deadball Team Rebound.,82,75
0:11,-1,Steve Evans made Free Throw.,83,75
0:07,-1,Torrian Lee Turnover.,78,75
0:04,2377,Jamaya Burr missed Three Point Jumper.,83,75
0:04,-1,Torrian Lee Defensive Rebound.,83,75
0:02,2377,Foul on Kalob Ledoux.,83,75
0:02,-1,Torrian Lee made Free Throw.,84,75
0:02,-1,Torrian Lee made Free Throw.,85,75
0:00,2377,End of Game,83,75
