Piedmont,Error,Lipscomb,288
4:59,-1,Foul on Malik Abdulgader.,25,42
4:59,288,Rob Marberry made Free Throw.,25,43
4:59,288,Rob Marberry missed Free Throw.,25,43
4:59,-1,Sam Mingledoff Defensive Rebound.,25,43
4:54,-1,Chase England missed Layup.,25,43
4:54,288,Michael Buckland Defensive Rebound.,25,43
4:42,288,Rob Marberry missed Layup.,25,43
4:42,-1,Malik Abdulgader Defensive Rebound.,25,43
4:29,-1,Chase England made Layup.,27,43
4:05,-1,Foul on Taylor Mills.,27,43
4:05,288,Michael Buckland missed Free Throw.,27,43
4:05,288,Lipscomb Deadball Team Rebound.,27,43
4:05,288,Michael Buckland made Free Throw.,27,44
3:53,-1,Sam Mingledoff Turnover.,27,44
3:53,288,Official TV Timeout,27,44
3:42,288,George Brammeier made Layup. Assisted by Kenny Cooper.,27,46
3:24,-1,Chase England missed Layup.,27,46
3:24,288,Eli Pepper Defensive Rebound.,27,46
3:20,288,Nathan Moran missed Three Point Jumper.,27,46
3:20,-1,Sam Mingledoff Defensive Rebound.,27,46
3:05,288,Foul on Eli Pepper.,27,46
3:05,-1,Chase England missed Free Throw.,27,46
3:05,-1,Piedmont (GA) Deadball Team Rebound.,27,46
3:05,-1,Chase England made Free Throw.,28,46
2:56,-1,Foul on Kelly Assinesi.,28,46
2:56,288,Kenny Cooper missed Free Throw.,28,46
2:56,288,Lipscomb Deadball Team Rebound.,28,46
2:56,288,Kenny Cooper made Free Throw.,28,47
2:46,-1,Foul on Elijah Alston.,28,47
2:46,-1,Elijah Alston Turnover.,28,47
2:35,288,George Brammeier Turnover.,28,47
2:15,288,Foul on Kenny Cooper.,28,47
2:15,-1,Taylor Mills made Free Throw.,29,47
2:15,-1,Taylor Mills made Free Throw.,30,47
2:06,288,Brett Wishon Turnover.,30,47
1:49,-1,Elijah Alston made Three Point Jumper. Assisted by Kelly Assinesi.,33,47
1:31,288,Brett Wishon missed Three Point Jumper.,33,47
1:31,-1,Kelly Assinesi Defensive Rebound.,33,47
1:14,-1,Foul on Taylor Mills.,33,47
1:14,-1,Taylor Mills Turnover.,33,47
1:00,288,Nathan Moran made Three Point Jumper. Assisted by Michael Buckland.,33,50
0:42,-1,Malik Abdulgader missed Three Point Jumper.,33,50
0:42,288,Lipscomb Defensive Rebound.,33,50
0:23,288,Josh Williams made Three Point Jumper. Assisted by George Brammeier.,33,53
0:06,-1,Kelly Assinesi missed Jumper.,33,53
0:06,288,George Brammeier Defensive Rebound.,33,53
0:00,288,End of 1st half,33,53
19:43,-1,Justin Vallejo missed Jumper.,33,53
19:43,288,Garrison Mathews Defensive Rebound.,33,53
19:23,288,Garrison Mathews missed Three Point Jumper.,33,53
19:23,-1,Justin Vallejo Defensive Rebound.,33,53
19:12,-1,Chase England Turnover.,33,53
18:56,288,Aaron Korn missed Three Point Jumper.,33,53
18:56,-1,Justin Vallejo Defensive Rebound.,33,53
18:43,-1,Justin Vallejo made Jumper.,35,53
18:31,288,Rob Marberry made Layup. Assisted by Josh Williams.,35,55
18:15,288,Foul on Garrison Mathews.,35,55
18:15,-1,Piedmont (GA)  Timeout,35,55
18:04,-1,Chase England missed Jumper.,35,55
18:04,288,Nathan Moran Defensive Rebound.,35,55
17:56,288,Garrison Mathews made Three Point Jumper. Assisted by Aaron Korn.,35,58
17:42,-1,Justin Vallejo Turnover.,35,58
17:28,288,Garrison Mathews made Layup.,35,60
17:15,-1,Trae Gaines missed Jumper.,35,60
17:15,288,Garrison Mathews Defensive Rebound.,35,60
17:04,288,Rob Marberry made Jumper. Assisted by Garrison Mathews.,35,62
16:48,-1,Justin Vallejo made Jumper. Assisted by Taylor Mills.,37,62
16:37,288,Aaron Korn made Layup. Assisted by Rob Marberry.,37,64
16:25,-1,Taylor Mills made Three Point Jumper. Assisted by Kelly Assinesi.,40,64
16:22,-1,Piedmont (GA)  Timeout,40,64
16:22,288,Official TV Timeout,40,64
16:06,288,George Brammeier made Layup. Assisted by Kenny Cooper.,40,66
15:53,288,Foul on George Brammeier.,40,66
15:47,-1,Daniel McCravy missed Jumper.,40,66
15:47,288,Kenny Cooper Defensive Rebound.,40,66
15:39,288,Kenny Cooper missed Jumper.,40,66
15:39,-1,Daniel McCravy Defensive Rebound.,40,66
15:24,-1,Taylor Mills missed Three Point Jumper.,40,66
15:24,-1,Nick Ryan Offensive Rebound.,40,66
15:21,288,Foul on George Brammeier.,40,66
15:10,-1,Trae Gaines made Jumper.,42,66
14:53,288,Michael Buckland missed Three Point Jumper.,42,66
14:53,-1,Nick Ryan Defensive Rebound.,42,66
14:42,-1,Trae Gaines missed Layup.,42,66
14:42,288,Josh Williams Defensive Rebound.,42,66
14:35,288,Garrison Mathews missed Three Point Jumper.,42,66
14:35,-1,Trae Gaines Defensive Rebound.,42,66
14:32,288,Foul on Michael Buckland.,42,66
14:10,-1,Foul on Trae Gaines.,42,66
14:10,-1,Trae Gaines Turnover.,42,66
13:54,288,Michael Buckland made Jumper.,42,68
13:37,-1,Kelly Assinesi Turnover.,42,68
13:26,288,Josh Williams Turnover.,42,68
13:25,-1,Nick Ryan Steal.,42,68
13:16,-1,Nick Ryan missed Jumper.,42,68
13:16,288,Eli Pepper Defensive Rebound.,42,68
13:11,288,Eli Pepper missed Three Point Jumper.,42,68
13:11,-1,Nick Ryan Defensive Rebound.,42,68
12:57,-1,Taylor Mills made Jumper.,44,68
12:47,288,Rob Marberry made Layup. Assisted by Michael Buckland.,44,70
12:25,-1,Daniel McCravy missed Jumper.,44,70
12:25,-1,Sam Mingledoff Offensive Rebound.,44,70
12:20,-1,Sam Mingledoff missed Layup.,44,70
12:20,288,Rob Marberry Defensive Rebound.,44,70
12:14,288,Michael Buckland missed Layup.,44,70
12:14,288,Eli Pepper Offensive Rebound.,44,70
12:09,288,Eli Pepper Turnover.,44,70
12:07,-1,Sam Mingledoff Steal.,44,70
11:58,288,Official TV Timeout,44,70
11:57,-1,Daniel McCravy Turnover.,44,70
11:55,288,Aaron Korn Steal.,44,70
11:53,288,Aaron Korn missed Layup.,44,70
11:53,-1,Nick Ryan Defensive Rebound.,44,70
11:47,-1,Daniel McCravy Turnover.,44,70
11:45,288,Nathan Moran Steal.,44,70
11:35,-1,Foul on Taylor Mills.,44,70
11:28,288,Garrison Mathews Turnover.,44,70
11:12,-1,Sam Mingledoff made Jumper.,46,70
10:59,288,Rob Marberry missed Jumper.,46,70
10:59,-1,Elijah Alston Defensive Rebound.,46,70
10:48,-1,Taylor Mills Turnover.,46,70
10:46,288,Nathan Moran Steal.,46,70
10:44,288,Rob Marberry made Dunk. Assisted by Nathan Moran.,46,72
10:17,-1,Trae Gaines made Three Point Jumper. Assisted by Elijah Alston.,49,72
10:04,-1,Foul on Landry Assinesi.,49,72
9:58,288,Foul on Rob Marberry.,49,72
9:58,288,Rob Marberry Turnover.,49,72
9:46,-1,Nick Ryan missed Jumper.,49,72
9:46,288,Eli Pepper Defensive Rebound.,49,72
9:38,288,Josh Williams missed Three Point Jumper.,49,72
9:38,-1,Nick Ryan Defensive Rebound.,49,72
9:26,-1,Nick Ryan Turnover.,49,72
9:24,288,Rob Marberry Steal.,49,72
9:22,288,Rob Marberry Turnover.,49,72
9:21,-1,Sam Mingledoff Steal.,49,72
9:20,-1,Trae Gaines missed Three Point Jumper.,49,72
9:20,-1,Elijah Alston Offensive Rebound.,49,72
9:19,288,Foul on Eli Pepper.,49,72
9:12,-1,Foul on Trae Gaines.,49,72
9:12,288,Michael Buckland missed Free Throw.,49,72
9:12,288,Lipscomb Deadball Team Rebound.,49,72
9:12,288,Michael Buckland made Free Throw.,49,73
9:06,-1,Taylor Mills missed Jumper.,49,73
9:06,288,Eli Pepper Defensive Rebound.,49,73
8:55,288,Michael Buckland Turnover.,49,73
8:53,-1,Sam Mingledoff Steal.,49,73
8:52,-1,Sam Mingledoff made Layup.,51,73
8:37,288,Lipscomb  Timeout,51,73
8:37,288,Josh Williams missed Jumper.,51,73
8:37,-1,Elijah Alston Defensive Rebound.,51,73
8:26,-1,Elijah Alston missed Three Point Jumper.,51,73
8:26,288,Michael Buckland Defensive Rebound.,51,73
8:17,288,Michael Buckland made Three Point Jumper.,51,76
8:04,288,Foul on Eli Pepper.,51,76
8:04,-1,Sam Mingledoff made Free Throw.,52,76
8:04,-1,Sam Mingledoff made Free Throw.,53,76
7:58,288,Eli Pepper Turnover.,53,76
7:58,288,Official TV Timeout,53,76
7:47,-1,Elijah Alston made Three Point Jumper.,56,76
7:33,288,Josh Williams made Three Point Jumper. Assisted by Rob Marberry.,56,79
7:20,288,Foul on Nathan Moran.,56,79
7:20,-1,Sam Mingledoff made Free Throw.,57,79
7:20,-1,Sam Mingledoff made Free Throw.,58,79
7:08,-1,Foul on Sam Mingledoff.,58,79
7:04,288,Nathan Moran missed Jumper.,58,79
7:04,288,Aaron Korn Offensive Rebound.,58,79
7:00,288,Aaron Korn made Layup.,58,81
6:48,-1,Sam Mingledoff Turnover.,58,81
6:38,-1,Foul on Taylor Mills.,58,81
6:35,288,Michael Buckland made Three Point Jumper. Assisted by Garrison Mathews.,58,84
6:11,-1,Sam Mingledoff missed Jumper.,58,84
6:11,-1,Elijah Alston Offensive Rebound.,58,84
6:04,-1,Chase England missed Three Point Jumper.,58,84
6:04,288,Garrison Mathews Defensive Rebound.,58,84
5:44,288,Garrison Mathews missed Three Point Jumper.,58,84
5:44,-1,Piedmont (GA) Deadball Team Rebound.,58,84
5:41,288,Foul on Aaron Korn.,58,84
5:41,-1,Miles Riley made Free Throw.,59,84
5:41,-1,Miles Riley made Free Throw.,60,84
5:24,288,Kenny Cooper Turnover.,60,84
5:12,-1,Chase England missed Three Point Jumper.,60,84
5:12,288,Aaron Korn Defensive Rebound.,60,84
5:09,288,Aaron Korn Turnover.,60,84
5:03,-1,Chase England made Layup.,62,84
4:54,288,Kenny Cooper made Three Point Jumper. Assisted by Garrison Mathews.,62,87
4:36,-1,Sam Mingledoff Turnover.,62,87
4:33,288,Garrison Mathews Steal.,62,87
4:32,288,Garrison Mathews made Layup.,62,89
4:19,-1,Elijah Alston made Three Point Jumper. Assisted by Kelly Assinesi.,65,89
3:55,288,George Brammeier made Layup. Assisted by Kenny Cooper.,65,91
3:43,-1,Sam Mingledoff missed Three Point Jumper.,65,91
3:43,-1,Kelly Assinesi Offensive Rebound.,65,91
3:30,-1,Sam Mingledoff missed Jumper.,65,91
3:30,288,Michael Buckland Defensive Rebound.,65,91
3:23,288,Garrison Mathews made Three Point Jumper. Assisted by Michael Buckland.,65,94
3:14,288,Foul on Kenny Cooper.,65,94
3:14,288,Official TV Timeout,65,94
3:14,-1,Sam Mingledoff missed Free Throw.,65,94
3:14,-1,Piedmont (GA) Deadball Team Rebound.,65,94
3:14,-1,Sam Mingledoff missed Free Throw.,65,94
3:14,288,Eli Pepper Defensive Rebound.,65,94
3:01,-1,Foul on Miles Riley.,65,94
3:01,288,Kenny Cooper made Free Throw.,65,95
3:01,288,Kenny Cooper missed Free Throw.,65,95
3:01,-1,Malik Abdulgader Defensive Rebound.,65,95
2:44,-1,Miles Riley missed Layup.,65,95
2:44,288,Josh Williams Defensive Rebound.,65,95
2:27,288,Eli Pepper made Layup. Assisted by Kenny Cooper.,65,97
2:01,-1,Miles Riley missed Layup.,65,97
2:01,-1,Austin Young Offensive Rebound.,65,97
1:55,-1,Chase England Turnover.,65,97
1:46,288,Foul on Eli Pepper.,65,97
1:46,288,Eli Pepper Turnover.,65,97
1:38,-1,Malik Abdulgader missed Jumper.,65,97
1:38,288,Kenny Cooper Defensive Rebound.,65,97
1:29,288,Rob Marberry Turnover.,65,97
1:21,-1,Tariq Abdulgader made Jumper. Assisted by Austin Young.,67,97
1:11,288,Rob Marberry made Layup. Assisted by Kenny Cooper.,67,99
0:48,-1,Austin Young made Three Point Jumper. Assisted by David Ogelsby.,70,99
0:15,288,Aaron Korn Turnover.,70,99
0:09,-1,Malik Abdulgader missed Jumper.,70,99
0:09,288,Michael Buckland Defensive Rebound.,70,99
0:00,288,End of Game,70,99
