Canisius,325,Cleveland State,2099
10:15,325,Foul on Nelson Maxwell.,19,15
10:06,2099,Phil Valenti missed Jumper.,19,15
10:06,325,Bobby Word Defensive Rebound.,19,15
9:54,325,Jibri Blount made Layup.,19,17
9:31,2099,Martin Dixon-Green missed Three Point Jumper.,19,17
9:31,325,Bobby Word Defensive Rebound.,19,17
9:19,325,Jamarcus Hairston missed Jumper.,19,17
9:19,2099,Kiefer Douse Defensive Rebound.,19,17
8:59,2099,Jermaine Crumpton made Jumper.,21,17
8:48,325,Jibri Blount missed Layup.,21,17
8:48,2099,Isaiah Reese Defensive Rebound.,21,17
8:42,2099,Jermaine Crumpton made Layup. Assisted by Isaiah Reese.,23,17
8:39,325,Cleveland St  Timeout,23,17
8:17,325,Rob Edwards made Three Point Jumper.,23,20
7:56,2099,Jermaine Crumpton missed Three Point Jumper.,23,20
7:56,2099,Kiefer Douse Offensive Rebound.,23,20
7:54,325,Foul on Derek Sloan.,23,20
7:53,325,Foul on Rob Edwards.,23,20
7:53,325,Official TV Timeout,23,20
7:44,2099,Kiefer Douse missed Three Point Jumper.,23,20
7:44,325,Jibri Blount Defensive Rebound.,23,20
7:28,2099,Foul on Dantai St. Louis.,23,20
7:28,325,Jibri Blount made Free Throw.,23,21
7:28,325,Jibri Blount made Free Throw.,23,22
7:20,2099,Isaiah Reese made Jumper.,25,22
7:10,2099,Foul on Isaiah Reese.,25,22
7:01,325,Jibri Blount missed Three Point Jumper.,25,22
7:01,325,Rob Edwards Offensive Rebound.,25,22
6:55,325,Kenny Carpenter made Layup. Assisted by Jibri Blount.,25,24
6:32,2099,Phil Valenti missed Three Point Jumper.,25,24
6:32,2099,Jermaine Crumpton Offensive Rebound.,25,24
6:28,325,Foul on Evan Clayborne.,25,24
6:28,2099,Jermaine Crumpton made Free Throw.,26,24
6:28,2099,Jermaine Crumpton made Free Throw.,27,24
6:16,325,Kasheem Thomas missed Layup.,27,24
6:16,2099,Jermaine Crumpton Defensive Rebound.,27,24
5:57,325,Foul on Jamarcus Hairston.,27,24
5:57,2099,Jermaine Crumpton made Free Throw.,28,24
5:57,2099,Jermaine Crumpton missed Free Throw.,28,24
5:57,325,Jamarcus Hairston Defensive Rebound.,28,24
5:45,325,Jibri Blount missed Three Point Jumper.,28,24
5:45,325,Jamarcus Hairston Offensive Rebound.,28,24
5:40,325,Rob Edwards missed Three Point Jumper.,28,24
5:40,325,Rob Edwards Offensive Rebound.,28,24
5:36,325,Rob Edwards missed Three Point Jumper.,28,24
5:36,325,Jibri Blount Offensive Rebound.,28,24
5:30,325,Jibri Blount missed Layup.,28,24
5:30,2099,Jermaine Crumpton Defensive Rebound.,28,24
5:10,325,Foul on Kasheem Thomas.,28,24
5:10,2099,Jibreel Faulkner made Free Throw.,29,24
5:10,2099,Jibreel Faulkner missed Free Throw.,29,24
5:10,325,Anthony Wright Defensive Rebound.,29,24
4:49,325,Jibri Blount made Jumper. Assisted by Kasheem Thomas.,29,26
4:24,2099,Isaiah Reese made Layup. Assisted by Phil Valenti.,31,26
4:16,325,Foul on Rob Edwards.,31,26
4:16,325,Rob Edwards Turnover.,31,26
4:00,2099,Kassius Robertson Turnover.,31,26
3:47,325,Foul on Anthony Wright.,31,26
3:47,325,Anthony Wright Turnover.,31,26
3:47,325,Official TV Timeout,31,26
3:39,2099,Jibreel Faulkner missed Three Point Jumper.,31,26
3:39,325,Kasheem Thomas Defensive Rebound.,31,26
3:16,325,Bobby Word made Three Point Jumper. Assisted by Jibri Blount.,31,29
3:06,2099,Kiefer Douse missed Layup.,31,29
3:06,325,Jibri Blount Block.,31,29
3:04,325,Jibri Blount Defensive Rebound.,31,29
2:59,325,Kasheem Thomas missed Three Point Jumper.,31,29
2:59,2099,Isaiah Reese Defensive Rebound.,31,29
2:38,2099,Canisius  Timeout,31,29
2:33,2099,Foul on Kiefer Douse.,31,29
2:33,2099,Kiefer Douse Turnover.,31,29
2:05,325,Kenny Carpenter missed Three Point Jumper.,31,29
2:05,2099,Canisius Deadball Team Rebound.,31,29
1:50,2099,Phil Valenti Turnover.,31,29
1:48,325,Jibri Blount Steal.,31,29
1:37,325,Jibri Blount Turnover.,31,29
1:26,2099,Jermaine Crumpton missed Jumper.,31,29
1:26,325,Kasheem Thomas Defensive Rebound.,31,29
1:21,2099,Foul on Jermaine Crumpton.,31,29
1:21,325,Kasheem Thomas missed Free Throw.,31,29
1:21,2099,Dantai St. Louis Defensive Rebound.,31,29
0:59,2099,Kassius Robertson made Three Point Jumper. Assisted by Phil Valenti.,34,29
0:31,325,Derek Sloan made Layup.,34,31
0:03,2099,Phil Valenti missed Layup.,34,31
0:03,2099,Phil Valenti Offensive Rebound.,34,31
0:01,2099,Phil Valenti missed Layup.,34,31
0:01,2099,Phil Valenti Offensive Rebound.,34,31
0:01,2099,Phil Valenti made Two Point Tip Shot.,36,31
0:00,325,End of 1st half,34,31
19:42,2099,Kassius Robertson made Three Point Jumper. Assisted by Kiefer Douse.,39,31
19:09,325,Bobby Word missed Jumper.,39,31
19:09,325,Derek Sloan Offensive Rebound.,39,31
18:55,325,Derek Sloan made Layup. Assisted by Kasheem Thomas.,39,33
18:36,325,Foul on Derek Sloan.,39,33
18:36,2099,Kassius Robertson missed Free Throw.,39,33
18:36,2099,Canisius Deadball Team Rebound.,39,33
18:36,2099,Kassius Robertson made Free Throw.,40,33
18:16,325,Rob Edwards made Jumper.,40,35
18:00,2099,Phil Valenti missed Jumper.,40,35
18:00,325,Rob Edwards Defensive Rebound.,40,35
17:47,325,Kasheem Thomas made Layup.,40,37
17:31,2099,Kassius Robertson missed Jumper.,40,37
17:31,325,Jamarcus Hairston Defensive Rebound.,40,37
17:18,325,Rob Edwards made Three Point Jumper.,40,40
16:58,2099,Jermaine Crumpton made Layup. Assisted by Phil Valenti.,42,40
16:32,325,Jibri Blount missed Three Point Jumper.,42,40
16:32,2099,Kiefer Douse Defensive Rebound.,42,40
16:13,2099,Malik Johnson Turnover.,42,40
16:13,325,Jamarcus Hairston Steal.,42,40
16:13,2099,Foul on Malik Johnson.,42,40
15:55,325,Foul on Bobby Word.,42,40
15:55,325,Bobby Word Turnover.,42,40
15:55,325,Official TV Timeout,42,40
15:37,2099,Kassius Robertson missed Jumper.,42,40
15:37,325,Kasheem Thomas Defensive Rebound.,42,40
15:28,325,Bobby Word made Layup.,42,42
15:08,2099,Phil Valenti missed Layup.,42,42
15:08,325,Jamarcus Hairston Block.,42,42
15:06,325,Rob Edwards Defensive Rebound.,42,42
15:01,325,Bobby Word missed Three Point Jumper.,42,42
15:01,325,Bobby Word Offensive Rebound.,42,42
14:57,325,Bobby Word made Jumper.,42,44
14:35,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Kassius Robertson.,45,44
14:07,325,Jibri Blount made Layup.,45,46
13:55,2099,Jermaine Crumpton missed Three Point Jumper.,45,46
13:55,2099,Malik Johnson Offensive Rebound.,45,46
13:49,2099,Malik Johnson made Layup.,47,46
13:42,325,Rob Edwards missed Three Point Jumper.,47,46
13:42,2099,Kassius Robertson Defensive Rebound.,47,46
13:28,2099,Phil Valenti made Layup. Assisted by Jermaine Crumpton.,49,46
13:01,2099,Foul on Jermaine Crumpton.,49,46
12:48,2099,Foul on Malik Johnson.,49,46
12:43,325,Jibri Blount made Jumper. Assisted by Kasheem Thomas.,49,48
12:23,2099,Kiefer Douse made Layup.,51,48
12:09,325,Kasheem Thomas made Three Point Jumper.,51,51
11:42,2099,Dantai St. Louis missed Layup.,51,51
11:42,2099,Dantai St. Louis Offensive Rebound.,51,51
11:39,325,Foul on Kasheem Thomas.,51,51
11:39,325,Official TV Timeout,51,51
11:37,2099,Phil Valenti made Layup. Assisted by Isaiah Reese.,53,51
11:09,325,Daniel Levitt missed Three Point Jumper.,53,51
11:09,325,Evan Clayborne Offensive Rebound.,53,51
10:58,325,Kenny Carpenter missed Jumper.,53,51
10:58,2099,Isaiah Reese Defensive Rebound.,53,51
10:38,2099,Canisius  Timeout,53,51
10:25,2099,Kiefer Douse Turnover.,53,51
10:05,325,Kasheem Thomas made Layup.,53,53
9:56,2099,Dantai St. Louis missed Layup.,53,53
9:56,325,Derek Sloan Defensive Rebound.,53,53
9:26,325,Kasheem Thomas made Three Point Jumper.,53,56
9:07,2099,Phil Valenti missed Three Point Jumper.,53,56
9:07,325,Bobby Word Defensive Rebound.,53,56
8:46,325,Rob Edwards missed Layup.,53,56
8:46,325,Evan Clayborne Offensive Rebound.,53,56
8:34,325,Rob Edwards Turnover.,53,56
8:08,2099,Kassius Robertson missed Layup.,53,56
8:08,325,Evan Clayborne Block.,53,56
8:07,2099,Kiefer Douse Offensive Rebound.,53,56
8:07,325,Foul on Nelson Maxwell.,53,56
7:55,2099,Isaiah Reese Turnover.,53,56
7:53,325,Evan Clayborne Steal.,53,56
7:47,2099,Foul on Phil Valenti.,53,56
7:47,325,Official TV Timeout,53,56
7:39,325,Rob Edwards Turnover.,53,56
7:38,2099,Jermaine Crumpton Steal.,53,56
7:26,325,Foul on Evan Clayborne.,53,56
7:26,2099,Martin Dixon-Green made Free Throw.,54,56
7:26,2099,Martin Dixon-Green made Free Throw.,55,56
7:12,2099,Foul on Malik Johnson.,55,56
7:00,325,Derek Sloan made Jumper.,55,58
6:39,2099,Foul on Malik Johnson.,55,58
6:39,2099,Malik Johnson Turnover.,55,58
6:35,325,Jibri Blount Turnover.,55,58
6:27,2099,Phil Valenti made Layup. Assisted by Jermaine Crumpton.,57,58
6:08,325,Jibri Blount missed Three Point Jumper.,57,58
6:08,325,Bobby Word Offensive Rebound.,57,58
6:02,325,Rob Edwards Turnover.,57,58
5:36,2099,Phil Valenti Turnover.,57,58
5:06,325,Rob Edwards made Three Point Jumper. Assisted by Kasheem Thomas.,57,61
4:52,2099,Martin Dixon-Green Turnover.,57,61
4:34,325,Rob Edwards missed Three Point Jumper.,57,61
4:34,2099,Canisius Deadball Team Rebound.,57,61
4:11,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Isaiah Reese.,60,61
3:56,2099,Foul on Martin Dixon-Green.,60,61
3:56,325,Official TV Timeout,60,61
3:56,325,Rob Edwards made Free Throw.,60,62
3:56,325,Rob Edwards made Free Throw.,60,63
3:29,325,Foul on Derek Sloan.,60,63
3:29,2099,Jermaine Crumpton missed Free Throw.,60,63
3:29,2099,Canisius Deadball Team Rebound.,60,63
3:29,2099,Jermaine Crumpton made Free Throw.,61,63
3:03,325,Rob Edwards missed Jumper.,61,63
3:03,325,Jibri Blount Offensive Rebound.,61,63
2:57,325,Jibri Blount missed Layup.,61,63
2:57,2099,Isaiah Reese Defensive Rebound.,61,63
2:48,2099,Jermaine Crumpton missed Layup.,61,63
2:48,2099,Canisius Offensive Rebound.,61,63
2:30,2099,Kiefer Douse missed Layup.,61,63
2:30,2099,Kiefer Douse Offensive Rebound.,61,63
2:28,2099,Kiefer Douse missed Two Point Tip Shot.,61,63
2:28,325,Kasheem Thomas Defensive Rebound.,61,63
2:21,325,Cleveland St  Timeout,61,63
1:58,325,Evan Clayborne made Layup. Assisted by Kasheem Thomas.,61,65
1:48,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Kiefer Douse.,64,65
1:46,2099,Canisius  Timeout,64,65
1:45,2099,Canisius  Timeout,64,65
1:19,325,Kasheem Thomas missed Jumper.,64,65
1:19,2099,Kiefer Douse Defensive Rebound.,64,65
0:51,2099,Phil Valenti missed Three Point Jumper.,64,65
0:51,325,Kasheem Thomas Defensive Rebound.,64,65
0:33,325,Cleveland St  Timeout,64,65
0:22,325,Jibri Blount missed Jumper.,64,65
0:22,325,Derek Sloan Offensive Rebound.,64,65
0:18,325,Derek Sloan missed Two Point Tip Shot.,64,65
0:18,325,Bobby Word Offensive Rebound.,64,65
0:15,325,Bobby Word made Two Point Tip Shot.,64,67
0:09,2099,Canisius  Timeout,64,67
0:04,2099,Kassius Robertson missed Three Point Jumper.,64,67
0:04,325,Derek Sloan Defensive Rebound.,64,67
0:00,325,End of Game,64,67
