Murray State,2393,Middle Tennessee,93
3:13,93,Bryce Jones made Free Throw.,33,36
3:13,93,Bryce Jones made Free Throw.,34,36
3:09,2393,JaCorey Williams made Layup. Assisted by Edward Simpson.,34,38
2:48,2393,Foul on Quavius Copeland.,34,38
2:04,93,Bryce Jones made Free Throw.,35,38
2:04,93,Bryce Jones made Free Throw.,36,38
2:04,93,Bryce Jones made Free Throw.,37,38
1:50,2393,JaCorey Williams missed Three Point Jumper.,37,38
1:50,93,Terrell Miller Jr. Defensive Rebound.,37,38
1:40,93,Bryce Jones missed Jumper.,37,38
1:40,2393,Reggie Upshaw Defensive Rebound.,37,38
1:19,2393,Xavier Habersham made Three Point Jumper. Assisted by Edward Simpson.,37,41
0:48,93,Damarcus Croaker made Jumper.,39,41
0:30,2393,Edward Simpson Turnover.,39,41
0:06,93,Jerami Grace missed Layup.,39,41
0:06,2393,Reggie Upshaw Block.,39,41
0:06,93,Damarcus Croaker Offensive Rebound.,39,41
0:06,93,Jonathan Stark missed Three Point Jumper.,39,41
0:06,93,Jerami Grace Offensive Rebound.,39,41
0:00,2393,End of 1st half,39,41
19:43,93,Terrell Miller Jr. made Layup.,41,41
19:18,2393,JaCorey Williams made Jumper. Assisted by Tyrik Dixon.,41,43
19:05,93,Bryce Jones Turnover.,41,43
18:48,2393,Giddy Potts missed Jumper.,41,43
18:48,93,Jonathan Stark Defensive Rebound.,41,43
18:34,93,Terrell Miller Jr. missed Jumper.,41,43
18:34,2393,Giddy Potts Defensive Rebound.,41,43
18:18,2393,Reggie Upshaw missed Jumper.,41,43
18:18,93,Jonathan Stark Defensive Rebound.,41,43
18:13,93,Damarcus Croaker made Dunk. Assisted by Jonathan Stark.,43,43
18:02,2393,Giddy Potts made Jumper.,43,45
17:55,93,Damarcus Croaker made Layup.,45,45
17:55,2393,Foul on Edward Simpson.,45,45
17:55,93,Damarcus Croaker made Free Throw.,46,45
17:35,93,Foul on Damarcus Croaker.,46,45
17:25,93,Foul on Bryce Jones.,46,45
17:17,2393,JaCorey Williams made Jumper.,46,47
16:58,93,Damarcus Croaker missed Jumper.,46,47
16:58,93,Brion Sanchious Offensive Rebound.,46,47
16:58,2393,Foul on Xavier Habersham.,46,47
16:54,93,Bryce Jones made Jumper.,48,47
16:44,2393,Xavier Habersham made Layup. Assisted by JaCorey Williams.,48,49
16:36,93,Foul on Terrell Miller Jr..,48,49
16:28,2393,Xavier Habersham missed Free Throw.,48,49
16:28,93,Damarcus Croaker Defensive Rebound.,48,49
16:20,93,Jonathan Stark Turnover.,48,49
16:20,2393,Giddy Potts Steal.,48,49
16:10,2393,Reggie Upshaw made Layup. Assisted by Giddy Potts.,48,51
15:55,93,Terrell Miller Jr. Turnover.,48,51
15:54,2393,Official TV Timeout,48,51
15:26,2393,Giddy Potts missed Three Point Jumper.,48,51
15:26,2393,Tyrik Dixon Offensive Rebound.,48,51
15:17,2393,Tyrik Dixon missed Three Point Jumper.,48,51
15:17,2393,Giddy Potts Offensive Rebound.,48,51
15:11,2393,Tyrik Dixon missed Layup.,48,51
15:11,93,Bryce Jones Block.,48,51
15:08,2393,Giddy Potts Offensive Rebound.,48,51
15:07,2393,Giddy Potts made Layup.,48,53
14:45,93,Foul on Terrell Miller Jr..,48,53
14:45,93,Terrell Miller Jr. Turnover.,48,53
14:25,93,Foul on Jalen Dupree.,48,53
14:25,2393,JaCorey Williams made Free Throw.,48,54
14:25,2393,JaCorey Williams made Free Throw.,48,55
14:15,93,Jonathan Stark missed Jumper.,48,55
14:15,2393,Xavier Habersham Defensive Rebound.,48,55
13:58,2393,Reggie Upshaw missed Jumper.,48,55
13:58,93,Jonathan Stark Defensive Rebound.,48,55
13:51,93,Gilbert Thomas Jr. missed Layup.,48,55
13:51,2393,Reggie Upshaw Defensive Rebound.,48,55
13:31,2393,JaCorey Williams missed Jumper.,48,55
13:31,93,Damarcus Croaker Defensive Rebound.,48,55
13:23,93,Jalen Dupree missed Layup.,48,55
13:23,2393,Reggie Upshaw Block.,48,55
13:21,2393,Edward Simpson Defensive Rebound.,48,55
13:15,2393,Quavius Copeland missed Three Point Jumper.,48,55
13:15,93,Damarcus Croaker Defensive Rebound.,48,55
13:05,93,Jonathan Stark made Three Point Jumper.,51,55
12:41,2393,Reggie Upshaw made Layup. Assisted by Xavier Habersham.,51,57
12:41,93,Foul on Gilbert Thomas Jr..,51,57
12:41,2393,Reggie Upshaw made Free Throw.,51,58
12:25,93,Jonathan Stark made Jumper.,53,58
12:17,2393,Quavius Copeland Turnover.,53,58
12:17,93,Jonathan Stark Steal.,53,58
12:17,2393,Foul on Brandon Walters.,53,58
12:03,93,Jerami Grace missed Three Point Jumper.,53,58
12:03,2393,Karl Gamble Defensive Rebound.,53,58
11:43,2393,Karl Gamble made Jumper.,53,60
11:18,2393,Foul on Karl Gamble.,53,60
11:15,2393,Official TV Timeout,53,60
11:02,93,Jonathan Stark Turnover.,53,60
10:52,2393,Giddy Potts missed Three Point Jumper.,53,60
10:52,93,Damarcus Croaker Defensive Rebound.,53,60
10:40,93,Terrell Miller Jr. missed Layup.,53,60
10:40,93,Terrell Miller Jr. Offensive Rebound.,53,60
10:39,2393,Foul on Aldonis Foote.,53,60
10:37,93,Jonathan Stark made Three Point Jumper. Assisted by Damarcus Croaker.,56,60
10:18,2393,Giddy Potts missed Three Point Jumper.,56,60
10:18,93,Bryce Jones Defensive Rebound.,56,60
10:09,93,Jonathan Stark missed Three Point Jumper.,56,60
10:09,2393,Giddy Potts Defensive Rebound.,56,60
9:59,2393,Karl Gamble missed Layup.,56,60
9:59,2393,Karl Gamble Offensive Rebound.,56,60
9:56,2393,Karl Gamble made Layup.,56,62
9:45,93,Damarcus Croaker made Three Point Jumper. Assisted by Bryce Jones.,59,62
9:14,2393,Giddy Potts made Three Point Jumper.,59,65
9:01,93,Jonathan Stark missed Three Point Jumper.,59,65
9:01,93,Terrell Miller Jr. Offensive Rebound.,59,65
8:56,93,Terrell Miller Jr. missed Layup.,59,65
8:56,2393,Aldonis Foote Defensive Rebound.,59,65
8:55,93,Foul on Brion Sanchious.,59,65
8:55,2393,Aldonis Foote missed Free Throw.,59,65
8:55,2393,Xavier Habersham Offensive Rebound.,59,65
8:40,93,Foul on Brion Sanchious.,59,65
8:40,2393,Aldonis Foote made Free Throw.,59,66
8:40,2393,Aldonis Foote made Free Throw.,59,67
8:27,93,Bryce Jones missed Layup.,59,67
8:27,2393,Reggie Upshaw Defensive Rebound.,59,67
8:17,2393,Xavier Habersham made Three Point Jumper. Assisted by Reggie Upshaw.,59,70
8:06,93,Murray St  Timeout,59,70
8:06,2393,Official TV Timeout,59,70
7:50,93,Terrell Miller Jr. made Three Point Jumper. Assisted by Jonathan Stark.,62,70
7:32,2393,JaCorey Williams made Jumper.,62,72
7:16,2393,Foul on Giddy Potts.,62,72
7:16,93,Jonathan Stark missed Free Throw.,62,72
7:16,93,Murray St Deadball Team Rebound.,62,72
7:16,93,Jonathan Stark made Free Throw.,63,72
6:54,2393,JaCorey Williams made Layup.,63,74
6:47,93,Jalen Dupree made Layup. Assisted by Jonathan Stark.,65,74
6:47,2393,Foul on JaCorey Williams.,65,74
6:47,93,Jalen Dupree missed Free Throw.,65,74
6:47,2393,Reggie Upshaw Defensive Rebound.,65,74
6:28,2393,JaCorey Williams made Layup.,65,76
6:16,93,Terrell Miller Jr. missed Three Point Jumper.,65,76
6:16,2393,Giddy Potts Defensive Rebound.,65,76
5:57,2393,Giddy Potts missed Jumper.,65,76
5:57,93,Terrell Miller Jr. Defensive Rebound.,65,76
5:55,2393,Foul on Reggie Upshaw.,65,76
5:55,93,Terrell Miller Jr. made Free Throw.,66,76
5:55,93,Terrell Miller Jr. made Free Throw.,67,76
5:32,2393,Reggie Upshaw made Jumper.,67,78
5:25,93,Jonathan Stark Turnover.,67,78
5:03,2393,JaCorey Williams Turnover.,67,78
5:02,93,Damarcus Croaker Steal.,67,78
4:43,93,Bryce Jones made Three Point Jumper. Assisted by Jonathan Stark.,70,78
4:38,93,Murray St  Timeout,70,78
4:16,2393,JaCorey Williams missed Jumper.,70,78
4:16,93,Bryce Jones Defensive Rebound.,70,78
4:06,93,Brion Sanchious made Layup. Assisted by Terrell Miller Jr..,72,78
3:37,2393,Reggie Upshaw missed Jumper.,72,78
3:37,93,Terrell Miller Jr. Defensive Rebound.,72,78
3:32,2393,Foul on Giddy Potts.,72,78
3:32,2393,Official TV Timeout,72,78
3:32,93,Bryce Jones made Free Throw.,73,78
3:32,93,Bryce Jones made Free Throw.,74,78
3:16,93,Foul on Damarcus Croaker.,74,78
3:16,2393,Giddy Potts made Free Throw.,74,79
3:16,2393,Giddy Potts made Free Throw.,74,80
2:54,93,Jonathan Stark missed Three Point Jumper.,74,80
2:54,93,Damarcus Croaker Offensive Rebound.,74,80
2:50,93,Bryce Jones missed Three Point Jumper.,74,80
2:50,2393,Giddy Potts Defensive Rebound.,74,80
2:26,2393,Reggie Upshaw made Jumper.,74,82
2:18,93,Brion Sanchious made Layup. Assisted by Jonathan Stark.,76,82
2:02,2393,Middle Tennessee  Timeout,76,82
1:49,2393,JaCorey Williams made Layup.,76,84
1:32,93,Damarcus Croaker missed Layup.,76,84
1:32,2393,Reggie Upshaw Defensive Rebound.,76,84
1:04,2393,Giddy Potts missed Jumper.,76,84
1:04,2393,Giddy Potts Offensive Rebound.,76,84
0:58,93,Foul on Jonathan Stark.,76,84
0:58,2393,Xavier Habersham missed Free Throw.,76,84
0:58,2393,Middle Tennessee Deadball Team Rebound.,76,84
0:58,2393,Xavier Habersham made Free Throw.,76,85
0:51,93,Bryce Jones missed Three Point Jumper.,76,85
0:51,2393,Edward Simpson Defensive Rebound.,76,85
0:48,93,Foul on Brion Sanchious.,76,85
0:48,2393,Edward Simpson missed Free Throw.,76,85
0:48,2393,Middle Tennessee Deadball Team Rebound.,76,85
0:48,2393,Edward Simpson missed Free Throw.,76,85
0:48,93,Terrell Miller Jr. Defensive Rebound.,76,85
0:39,93,Bryce Jones made Layup. Assisted by Jonathan Stark.,78,85
0:38,93,Murray St  Timeout,78,85
0:36,2393,Xavier Habersham Turnover.,78,85
0:33,93,Jonathan Stark missed Three Point Jumper.,78,85
0:33,2393,Middle Tennessee Defensive Rebound.,78,85
0:21,93,Foul on Jerami Grace.,78,85
0:21,2393,Giddy Potts made Free Throw.,78,86
0:21,2393,Giddy Potts made Free Throw.,78,87
0:15,93,Jerami Grace missed Three Point Jumper.,78,87
0:15,93,Terrell Miller Jr. Offensive Rebound.,78,87
0:10,93,Damarcus Croaker made Three Point Jumper. Assisted by Jonathan Stark.,81,87
0:06,2393,Xavier Habersham Turnover.,81,87
0:05,93,Bryce Jones Steal.,81,87
0:03,93,Bryce Jones missed Three Point Jumper.,81,87
0:03,2393,JaCorey Williams Defensive Rebound.,81,87
0:00,2393,End of Game,81,87
