Concordia OR,Error,Utah,254
15:47,254,Gabe Bealer Offensive Rebound.,27,60
15:37,254,Gabe Bealer made Three Point Jumper. Assisted by Lorenzo Bonam.,27,63
15:17,-1,Christopher Edward made Dunk. Assisted by Bryan Michaels.,29,63
14:59,254,Jayce Johnson missed Layup.,29,63
14:59,-1,Drew Martin Defensive Rebound.,29,63
14:54,-1,Jarrett Gray missed Three Point Jumper.,29,63
14:54,-1,Bryan Michaels Offensive Rebound.,29,63
14:49,-1,Bryan Michaels made Layup.,31,63
14:49,254,Foul on Gabe Bealer.,31,63
14:49,-1,Bryan Michaels made Free Throw.,32,63
14:49,254,Tyler Rawson made Layup. Assisted by Devon Daniels.,32,65
14:40,254,Tyler Rawson made Layup. Assisted by Devon Daniels.,32,65
14:30,-1,Jarrett Gray missed Three Point Jumper.,32,65
14:30,254,Devon Daniels Defensive Rebound.,32,65
14:15,254,Tyler Rawson missed Three Point Jumper.,32,65
14:15,-1,Drew Martin Defensive Rebound.,32,65
14:04,254,Foul on Jayce Johnson.,32,65
14:04,-1,Drew Martin made Free Throw.,33,65
14:04,-1,Tre Vance Offensive Rebound.,32,65
14:04,-1,Drew Martin missed Free Throw.,33,65
14:04,-1,Tre Vance Offensive Rebound.,33,65
14:01,-1,Tre Vance made Layup.,35,65
13:42,-1,Foul on Bryan Michaels.,35,65
13:42,254,Devon Daniels made Free Throw.,34,66
13:42,254,Devon Daniels made Free Throw.,35,67
13:23,-1,Jarrett Gray missed Layup.,35,67
13:23,254,Tyler Rawson Defensive Rebound.,34,67
13:16,254,JoJo Zamora missed Layup.,35,67
13:16,-1,Tre Vance Block.,35,67
13:15,-1,Tre Vance Defensive Rebound.,35,67
12:53,-1,Tre Vance missed Jumper.,35,67
12:53,254,Devon Daniels Defensive Rebound.,35,67
12:35,254,Jayce Johnson missed Jumper.,35,67
12:35,-1,Taylor Harris Defensive Rebound.,35,67
12:27,-1,Taylor Harris Turnover.,35,67
12:27,254,Devon Daniels Steal.,35,67
12:06,-1,Foul on Tre Vance.,35,67
12:06,254,Devon Daniels made Free Throw.,35,68
12:06,254,Devon Daniels made Free Throw.,35,69
11:53,-1,Drew Martin missed Jumper.,35,69
11:53,254,Kyle Kuzma Defensive Rebound.,35,69
11:46,-1,Foul on Tre Vance.,35,69
11:46,254,Official TV Timeout,35,69
11:46,254,Jakub Jokl made Free Throw.,35,70
11:46,254,Jakub Jokl missed Free Throw.,35,70
11:46,-1,Drew Martin Defensive Rebound.,35,70
11:23,-1,Drew Martin Turnover.,35,70
11:01,254,Kyle Kuzma missed Layup.,35,70
11:01,-1,Drew Martin Defensive Rebound.,35,70
10:59,254,Foul on Jakub Jokl.,35,70
10:41,-1,Drew Martin Turnover.,35,70
10:25,254,Lorenzo Bonam Turnover.,35,70
10:02,-1,Taylor Harris missed Jumper.,35,70
10:02,-1,Tre Vance Offensive Rebound.,35,70
10:00,-1,Tre Vance made Two Point Tip Shot.,37,70
9:53,254,Lorenzo Bonam made Layup.,37,72
9:46,-1,Jace Cates missed Three Point Jumper.,37,72
9:46,254,Devon Daniels Defensive Rebound.,37,72
9:39,254,Beau Rydalch missed Three Point Jumper.,37,72
9:39,-1,Jace Cates Defensive Rebound.,37,72
9:19,-1,Jace Cates missed Jumper.,37,72
9:19,254,Devon Daniels Block.,37,72
9:16,254,Lorenzo Bonam Defensive Rebound.,37,72
9:10,254,Lorenzo Bonam made Layup.,37,74
8:52,-1,Drew Martin made Jumper.,39,74
8:49,254,Marc Reininger Turnover.,39,74
8:35,-1,Jace Cates Turnover.,39,74
8:35,254,Jake Connor Steal.,39,74
8:28,254,Parker Van Dyke missed Jumper.,39,74
8:28,-1,Christopher Edward Defensive Rebound.,39,74
8:13,-1,Christopher Edward missed Jumper.,39,74
8:13,254,Beau Rydalch Defensive Rebound.,39,74
8:04,254,Parker Van Dyke made Layup.,39,76
7:49,-1,Tre Vance missed Jumper.,39,76
7:49,254,Jakub Jokl Defensive Rebound.,39,76
7:28,-1,Foul on Jace Cates.,39,76
7:28,254,Official TV Timeout,39,76
7:18,254,Jake Connor Turnover.,39,76
7:18,-1,Taylor Harris Steal.,39,76
7:15,-1,Latrell Wilson made Layup.,41,76
7:15,254,Foul on Jake Connor.,41,76
7:15,-1,Latrell Wilson made Free Throw.,42,76
6:47,254,Jake Connor made Three Point Jumper. Assisted by Parker Van Dyke.,42,79
6:36,-1,Christopher Edward made Jumper. Assisted by Latrell Wilson.,44,79
6:14,254,Parker Van Dyke made Three Point Jumper. Assisted by JoJo Zamora.,44,82
6:06,-1,Taylor Harris made Three Point Jumper. Assisted by Latrell Wilson.,47,82
5:42,254,JoJo Zamora missed Three Point Jumper.,47,82
5:42,-1,Christopher Edward Defensive Rebound.,47,82
5:33,-1,Taylor Harris made Three Point Jumper. Assisted by Latrell Wilson.,50,82
5:02,254,Jake Connor missed Three Point Jumper.,50,82
5:02,-1,Latrell Wilson Defensive Rebound.,50,82
4:55,-1,Bryan Michaels missed Three Point Jumper.,50,82
4:55,254,JoJo Zamora Defensive Rebound.,50,82
4:47,254,Jake Connor made Layup. Assisted by JoJo Zamora.,50,84
4:47,254,Utah  Timeout,50,84
4:22,-1,Christopher Edward missed Layup.,50,84
4:22,254,Jakub Jokl Block.,50,84
4:22,254,Jakub Jokl Defensive Rebound.,50,84
4:13,254,Parker Van Dyke made Three Point Jumper. Assisted by JoJo Zamora.,50,87
3:59,254,Foul on Parker Van Dyke.,50,87
3:59,254,Official TV Timeout,50,87
3:47,-1,Christopher Edward missed Dunk.,50,87
3:47,254,Gabe Bealer Defensive Rebound.,50,87
3:39,254,Jake Connor missed Three Point Jumper.,50,87
3:35,-1,Dennis Ahana Defensive Rebound.,50,87
3:19,-1,Bryan Michaels missed Jumper.,50,87
3:19,254,Utah Defensive Rebound.,50,87
2:59,254,JoJo Zamora made Three Point Jumper. Assisted by Jake Connor.,50,90
2:45,-1,Artur Mkrtchyan missed Layup.,50,90
2:45,254,Parker Van Dyke Defensive Rebound.,50,90
2:34,254,Parker Van Dyke missed Three Point Jumper.,50,90
2:34,-1,Artur Mkrtchyan Defensive Rebound.,50,90
2:05,-1,Dennis Ahana missed Jumper.,50,90
2:05,-1,Artur Mkrtchyan Offensive Rebound.,50,90
2:00,-1,Artur Mkrtchyan missed Layup.,50,90
2:00,254,Jakub Jokl Block.,50,90
2:00,254,Parker Van Dyke Defensive Rebound.,50,90
1:55,254,JoJo Zamora made Layup. Assisted by Parker Van Dyke.,50,92
1:45,-1,Concordia (OR)  Timeout,50,92
1:39,-1,Taylor Harris missed Three Point Jumper.,50,92
1:39,254,Jakub Jokl Defensive Rebound.,50,92
1:22,254,JoJo Zamora made Layup. Assisted by Jake Connor.,50,94
0:57,-1,Taylor Harris missed Jumper.,50,94
0:57,254,Jakub Jokl Block.,50,94
0:56,254,JoJo Zamora Defensive Rebound.,50,94
0:52,254,JoJo Zamora made Layup.,50,96
0:42,-1,Brandon McGurkin missed Three Point Jumper.,50,96
0:42,254,Jakub Jokl Defensive Rebound.,50,96
0:34,254,Beau Rydalch Turnover.,50,96
0:21,-1,Brandon McGurkin made Three Point Jumper. Assisted by Jace Cates.,53,96
0:00,254,End of Game,53,96
