Towson,2325,La Salle,119
16:51,119,Zane Martin made Layup. Assisted by Brian Starr.,39,37
16:24,2325,B.J. Johnson made Jumper.,39,39
16:05,2325,Foul on Saul Phiri.,39,39
16:03,2325,Foul on Saul Phiri.,39,39
15:45,119,Towson  Timeout,39,39
15:45,119,Jordan McNeil Turnover.,39,39
15:24,119,Foul on Alex Thomas.,39,39
15:24,2325,B.J. Johnson made Free Throw.,39,40
15:24,2325,B.J. Johnson made Free Throw.,39,41
14:55,119,Alex Thomas missed Jumper.,39,41
14:55,2325,B.J. Johnson Defensive Rebound.,39,41
14:40,2325,Saul Phiri made Three Point Jumper. Assisted by B.J. Johnson.,39,44
14:13,119,Deshaun Morman missed Three Point Jumper.,39,44
14:13,2325,Miles Brookins Defensive Rebound.,39,44
13:55,2325,B.J. Johnson missed Jumper.,39,44
13:55,119,Justin Gorham Defensive Rebound.,39,44
13:51,119,Justin Gorham Turnover.,39,44
13:29,2325,B.J. Johnson missed Jumper.,39,44
13:29,119,Mike Morsell Defensive Rebound.,39,44
13:20,2325,Foul on Isiah Deas.,39,44
13:18,2325,Foul on B.J. Johnson.,39,44
13:18,119,Eddie Keith II missed Free Throw.,39,44
13:18,119,Brian Starr Offensive Rebound.,39,44
13:12,119,Mike Morsell made Three Point Jumper. Assisted by Brian Starr.,42,44
12:51,2325,B.J. Johnson missed Three Point Jumper.,42,44
12:51,119,Towson Defensive Rebound.,42,44
12:34,119,Eddie Keith II missed Layup.,42,44
12:34,2325,La Salle Defensive Rebound.,42,44
12:16,119,Foul on Deshaun Morman.,42,44
12:16,2325,Miles Brookins missed Free Throw.,42,44
12:16,2325,La Salle Deadball Team Rebound.,42,44
12:16,2325,Miles Brookins made Free Throw.,42,45
12:02,119,Mike Morsell missed Three Point Jumper.,42,45
12:02,2325,B.J. Johnson Defensive Rebound.,42,45
11:40,2325,B.J. Johnson missed Jumper.,42,45
11:40,119,Eddie Keith II Defensive Rebound.,42,45
11:34,119,Brian Starr missed Three Point Jumper.,42,45
11:34,2325,Saul Phiri Defensive Rebound.,42,45
11:30,2325,La Salle  Timeout,42,45
11:30,119,Foul on Dennis Tunstall.,42,45
11:01,2325,B.J. Johnson missed Three Point Jumper.,42,45
11:01,119,Deshaun Morman Defensive Rebound.,42,45
10:48,119,Mike Morsell missed Three Point Jumper.,42,45
10:48,2325,B.J. Johnson Defensive Rebound.,42,45
10:28,2325,Isiah Deas missed Three Point Jumper.,42,45
10:28,2325,Isiah Deas Offensive Rebound.,42,45
10:02,2325,Tony Washington missed Layup.,42,45
10:02,119,Eddie Keith II Defensive Rebound.,42,45
9:55,119,Mike Morsell made Layup.,44,45
9:37,2325,Tony Washington missed Layup.,44,45
9:37,119,Deshaun Morman Defensive Rebound.,44,45
9:37,2325,Foul on Tony Washington.,44,45
9:37,119,Deshaun Morman made Free Throw.,45,45
9:37,119,Deshaun Morman made Free Throw.,46,45
9:17,2325,B.J. Johnson made Three Point Jumper. Assisted by Pookie Powell.,46,48
8:57,119,Foul on Zane Martin.,46,48
8:34,2325,B.J. Johnson missed Jumper.,46,48
8:34,119,Justin Gorham Defensive Rebound.,46,48
8:30,119,Zane Martin made Layup.,48,48
8:13,119,Foul on Alex Thomas.,48,48
8:13,2325,B.J. Johnson made Free Throw.,48,49
8:13,2325,B.J. Johnson made Free Throw.,48,50
7:57,119,Brian Starr Turnover.,48,50
7:56,2325,Pookie Powell Steal.,48,50
7:54,2325,Isiah Deas made Dunk. Assisted by Pookie Powell.,48,52
7:38,119,Zane Martin missed Three Point Jumper.,48,52
7:38,2325,La Salle Defensive Rebound.,48,52
7:36,2325,La Salle  Timeout,48,52
7:20,2325,Foul on B.J. Johnson.,48,52
7:20,2325,B.J. Johnson Turnover.,48,52
7:03,119,Mike Morsell made Jumper.,50,52
6:39,2325,Pookie Powell missed Three Point Jumper.,50,52
6:39,119,Towson Defensive Rebound.,50,52
6:25,2325,Foul on Amar Stukes.,50,52
6:25,119,Deshaun Morman made Free Throw.,51,52
6:25,119,Deshaun Morman made Free Throw.,52,52
6:07,119,Foul on Eddie Keith II.,52,52
6:07,2325,B.J. Johnson made Free Throw.,52,53
6:07,2325,B.J. Johnson missed Free Throw.,52,53
6:07,119,Zane Martin Defensive Rebound.,52,53
5:54,119,Justin Gorham made Layup. Assisted by Mike Morsell.,54,53
5:39,2325,B.J. Johnson missed Three Point Jumper.,54,53
5:39,119,Mike Morsell Defensive Rebound.,54,53
5:31,119,Mike Morsell missed Three Point Jumper.,54,53
5:31,2325,La Salle Defensive Rebound.,54,53
5:11,2325,Amar Stukes Turnover.,54,53
5:01,119,Zane Martin made Layup.,56,53
4:52,2325,Saul Phiri Turnover.,56,53
4:43,119,Zane Martin missed Jumper.,56,53
4:43,2325,Tony Washington Defensive Rebound.,56,53
4:24,119,Foul on Mike Morsell.,56,53
4:24,2325,B.J. Johnson made Free Throw.,56,54
4:24,2325,B.J. Johnson made Free Throw.,56,55
4:10,119,Zane Martin made Layup.,58,55
3:52,2325,Pookie Powell missed Three Point Jumper.,58,55
3:52,119,Jordan McNeil Defensive Rebound.,58,55
3:44,119,Deshaun Morman missed Jumper.,58,55
3:44,2325,Saul Phiri Defensive Rebound.,58,55
3:32,2325,Tony Washington made Dunk. Assisted by Pookie Powell.,58,57
3:16,119,Zane Martin missed Three Point Jumper.,58,57
3:16,2325,B.J. Johnson Defensive Rebound.,58,57
3:01,119,Foul on Mike Morsell.,58,57
3:01,2325,La Salle  Timeout,58,57
3:01,2325,Pookie Powell made Free Throw.,58,58
3:01,2325,Pookie Powell missed Free Throw.,58,58
3:01,119,Mike Morsell Defensive Rebound.,58,58
2:35,119,Eddie Keith II made Layup. Assisted by Brian Starr.,60,58
2:21,2325,B.J. Johnson missed Three Point Jumper.,60,58
2:21,119,Alex Thomas Defensive Rebound.,60,58
2:05,119,Deshaun Morman Turnover.,60,58
1:58,2325,La Salle  Timeout,60,58
1:48,2325,B.J. Johnson missed Layup.,60,58
1:48,119,Eddie Keith II Defensive Rebound.,60,58
1:34,119,Towson  Timeout,60,58
1:21,119,Zane Martin missed Layup.,60,58
1:21,119,Towson Offensive Rebound.,60,58
1:13,119,Brian Starr made Three Point Jumper.,63,58
1:10,119,Towson  Timeout,63,58
0:55,2325,B.J. Johnson made Jumper.,63,60
0:37,119,Mike Morsell missed Jumper.,63,60
0:37,2325,Tony Washington Defensive Rebound.,63,60
0:27,2325,Pookie Powell missed Three Point Jumper.,63,60
0:27,119,Alex Thomas Defensive Rebound.,63,60
0:22,2325,Foul on Amar Stukes.,63,60
0:22,119,Zane Martin made Free Throw.,64,60
0:22,119,Zane Martin made Free Throw.,65,60
0:15,2325,B.J. Johnson missed Jumper.,65,60
0:15,119,Zane Martin Defensive Rebound.,65,60
0:11,2325,Foul on Amar Stukes.,65,60
0:11,119,Zane Martin made Free Throw.,66,60
0:11,119,Zane Martin made Free Throw.,67,60
0:05,2325,Saul Phiri missed Three Point Jumper.,67,60
0:05,119,Towson Defensive Rebound.,67,60
0:00,2325,End of Game,67,60
