Illinois,77,Northwestern,356
2:40,356,Trent Frazier Turnover.,28,26
2:40,77,Isiah Brown Steal.,28,26
2:40,356,Foul on Trent Frazier.,28,26
2:40,77,Isiah Brown missed Free Throw.,28,26
2:40,77,Northwestern Deadball Team Rebound.,28,26
2:40,77,Isiah Brown made Free Throw.,28,27
2:15,77,Foul on Isiah Brown.,28,27
2:15,356,Aaron Jordan made Free Throw.,29,27
2:15,356,Aaron Jordan made Free Throw.,30,27
1:57,77,Bryant McIntosh made Three Point Jumper. Assisted by Aaron Falzon.,30,30
1:39,356,Mark Alstork made Layup.,32,30
1:24,77,Foul on Scottie Lindsey.,32,30
1:24,77,Scottie Lindsey Turnover.,32,30
1:01,356,Leron Black missed Jumper.,32,30
1:01,77,Northwestern Deadball Team Rebound.,32,30
1:00,356,Foul on Aaron Jordan.,32,30
1:00,77,Aaron Falzon made Free Throw.,32,31
1:00,77,Aaron Falzon made Free Throw.,32,32
0:47,356,Trent Frazier missed Three Point Jumper.,32,32
0:47,356,Mark Alstork Offensive Rebound.,32,32
0:44,77,Foul on Anthony Gaines.,32,32
0:44,356,Mark Alstork made Free Throw.,33,32
0:44,356,Mark Alstork made Free Throw.,34,32
0:35,77,Bryant McIntosh Turnover.,34,32
0:35,356,Illinois  Timeout,34,32
0:14,356,Mark Alstork made Layup.,36,32
0:01,77,Aaron Falzon missed Three Point Jumper.,36,32
0:01,356,Trent Frazier Defensive Rebound.,36,32
0:00,77,End of 1st half,36,32
19:47,77,Dererk Pardon made Layup. Assisted by Bryant McIntosh.,36,34
19:28,356,Te'Jon Lucas Turnover.,36,34
19:27,77,Dererk Pardon Steal.,36,34
19:22,77,Scottie Lindsey made Three Point Jumper. Assisted by Vic Law.,36,37
18:52,356,Leron Black missed Jumper.,36,37
18:52,77,Northwestern Deadball Team Rebound.,36,37
18:51,356,Foul on Michael Finke.,36,37
18:36,77,Vic Law made Dunk. Assisted by Bryant McIntosh.,36,39
18:05,356,Te'Jon Lucas missed Layup.,36,39
18:05,77,Dererk Pardon Block.,36,39
18:03,77,Bryant McIntosh Defensive Rebound.,36,39
17:56,77,Scottie Lindsey missed Three Point Jumper.,36,39
17:56,356,Leron Black Defensive Rebound.,36,39
17:39,356,Leron Black Turnover.,36,39
17:24,77,Scottie Lindsey missed Layup.,36,39
17:24,77,Northwestern Offensive Rebound.,36,39
17:06,77,Vic Law missed Three Point Jumper.,36,39
17:06,356,Mark Alstork Defensive Rebound.,36,39
16:48,356,Da'Monte Williams missed Three Point Jumper.,36,39
16:48,356,Michael Finke Offensive Rebound.,36,39
16:35,77,Foul on Aaron Falzon.,36,39
16:26,356,Mark Alstork missed Three Point Jumper.,36,39
16:26,356,Leron Black Offensive Rebound.,36,39
16:20,356,Leron Black made Jumper.,38,39
16:02,77,Bryant McIntosh missed Three Point Jumper.,38,39
16:02,356,Te'Jon Lucas Defensive Rebound.,38,39
15:56,356,Te'Jon Lucas made Layup.,40,39
15:34,77,Bryant McIntosh Turnover.,40,39
15:34,77,Official TV Timeout,40,39
15:12,356,Leron Black made Jumper.,42,39
14:46,77,Dererk Pardon missed Layup.,42,39
14:46,356,Kipper Nichols Defensive Rebound.,42,39
14:36,356,Leron Black missed Three Point Jumper.,42,39
14:36,77,Bryant McIntosh Defensive Rebound.,42,39
14:30,77,Vic Law missed Three Point Jumper.,42,39
14:30,77,Gavin Skelly Offensive Rebound.,42,39
14:25,77,Gavin Skelly made Layup.,42,41
13:53,356,Mark Smith made Jumper.,44,41
13:37,77,Scottie Lindsey made Three Point Jumper. Assisted by Bryant McIntosh.,44,44
13:23,356,Mark Smith missed Three Point Jumper.,44,44
13:23,77,Northwestern Defensive Rebound.,44,44
13:10,77,Isiah Brown missed Jumper.,44,44
13:10,356,Kipper Nichols Defensive Rebound.,44,44
12:58,356,Aaron Jordan made Three Point Jumper. Assisted by Trent Frazier.,47,44
12:31,356,Foul on Kipper Nichols.,47,44
12:25,77,Dererk Pardon made Layup.,47,46
12:06,77,Foul on Gavin Skelly.,47,46
12:00,77,Foul on Scottie Lindsey.,47,46
12:00,77,Official TV Timeout,47,46
11:55,356,Kipper Nichols made Layup.,49,46
11:42,77,Aaron Falzon missed Three Point Jumper.,49,46
11:42,356,Kipper Nichols Defensive Rebound.,49,46
11:36,356,Kipper Nichols missed Layup.,49,46
11:36,77,Jordan Ash Defensive Rebound.,49,46
11:11,77,Aaron Falzon missed Jumper.,49,46
11:11,356,Mark Alstork Defensive Rebound.,49,46
10:46,356,Trent Frazier missed Three Point Jumper.,49,46
10:46,77,Vic Law Defensive Rebound.,49,46
10:15,77,Vic Law missed Three Point Jumper.,49,46
10:15,356,Kipper Nichols Defensive Rebound.,49,46
9:53,356,Kipper Nichols missed Three Point Jumper.,49,46
9:53,77,Northwestern Defensive Rebound.,49,46
9:30,77,Bryant McIntosh made Jumper. Assisted by Scottie Lindsey.,49,48
9:30,356,Foul on Aaron Jordan.,49,48
9:30,77,Bryant McIntosh made Free Throw.,49,49
9:10,356,Te'Jon Lucas made Layup.,51,49
8:56,77,Dererk Pardon made Dunk. Assisted by Bryant McIntosh.,51,51
8:50,77,Foul on Bryant McIntosh.,51,51
8:34,356,Leron Black Turnover.,51,51
8:33,77,Scottie Lindsey Steal.,51,51
8:27,77,Vic Law missed Three Point Jumper.,51,51
8:27,356,Te'Jon Lucas Defensive Rebound.,51,51
8:21,356,Mark Alstork missed Three Point Jumper.,51,51
8:21,77,Vic Law Defensive Rebound.,51,51
8:02,77,Bryant McIntosh missed Layup.,51,51
8:02,356,Mark Alstork Defensive Rebound.,51,51
7:53,77,Foul on Bryant McIntosh.,51,51
7:53,77,Official TV Timeout,51,51
7:49,77,Foul on Gavin Skelly.,51,51
7:40,356,Mark Alstork made Jumper.,53,51
7:18,77,Scottie Lindsey missed Three Point Jumper.,53,51
7:18,356,Kipper Nichols Defensive Rebound.,53,51
7:06,77,Foul on Jordan Ash.,53,51
7:06,356,Leron Black made Free Throw.,54,51
7:06,356,Leron Black made Free Throw.,55,51
6:47,77,Scottie Lindsey made Jumper.,55,53
6:32,356,Mark Alstork Turnover.,55,53
6:31,77,Scottie Lindsey Steal.,55,53
6:28,77,Scottie Lindsey Turnover.,55,53
6:28,356,Kipper Nichols Steal.,55,53
6:28,356,Kipper Nichols Turnover.,55,53
6:20,77,Bryant McIntosh missed Jumper.,55,53
6:20,356,Illinois Deadball Team Rebound.,55,53
6:19,77,Foul on Dererk Pardon.,55,53
6:19,356,Mark Alstork made Free Throw.,56,53
6:19,356,Mark Alstork made Free Throw.,57,53
5:59,356,Foul on Aaron Jordan.,57,53
5:42,77,Bryant McIntosh made Three Point Jumper. Assisted by Dererk Pardon.,57,56
5:12,356,Te'Jon Lucas missed Layup.,57,56
5:12,77,Vic Law Defensive Rebound.,57,56
5:00,356,Foul on Leron Black.,57,56
5:00,356,Foul on Michael Finke.,57,56
5:00,77,Foul on Aaron Falzon.,57,56
5:00,77,Aaron Falzon Turnover.,57,56
4:38,356,Mark Alstork made Layup. Assisted by Te'Jon Lucas.,59,56
4:23,77,Northwestern  Timeout,59,56
4:13,356,Foul on Mark Alstork.,59,56
4:13,77,Vic Law made Free Throw.,59,57
4:13,77,Vic Law made Free Throw.,59,58
3:50,356,Te'Jon Lucas missed Layup.,59,58
3:50,77,Dererk Pardon Block.,59,58
3:48,77,Gavin Skelly Defensive Rebound.,59,58
3:34,77,Scottie Lindsey made Dunk. Assisted by Gavin Skelly.,59,60
3:19,77,Foul on Gavin Skelly.,59,60
3:19,77,Official TV Timeout,59,60
3:19,356,Te'Jon Lucas made Free Throw.,60,60
3:19,356,Te'Jon Lucas made Free Throw.,61,60
3:08,77,Vic Law made Three Point Jumper. Assisted by Dererk Pardon.,61,63
2:47,77,Foul on Dererk Pardon.,61,63
2:47,356,Leron Black made Free Throw.,62,63
2:47,356,Leron Black made Free Throw.,63,63
2:47,356,Illinois  Timeout,63,63
2:37,77,Bryant McIntosh Turnover.,63,63
2:17,356,Illinois  Timeout,63,63
2:10,356,Kipper Nichols missed Layup.,63,63
2:10,77,Vic Law Defensive Rebound.,63,63
1:55,77,Bryant McIntosh Turnover.,63,63
1:54,356,Aaron Jordan Steal.,63,63
1:31,356,Aaron Jordan missed Jumper.,63,63
1:31,356,Leron Black Offensive Rebound.,63,63
1:09,356,Aaron Jordan Turnover.,63,63
1:09,77,Vic Law Steal.,63,63
0:46,77,Aaron Falzon Turnover.,63,63
0:45,356,Mark Alstork Steal.,63,63
0:21,356,Foul on Leron Black.,63,63
0:21,356,Leron Black Turnover.,63,63
0:21,77,Northwestern  Timeout,63,63
0:00,77,Bryant McIntosh Turnover.,63,63
0:00,356,Da'Monte Williams Steal.,63,63
0:00,77,End of 2nd half,63,63
4:30,356,Leron Black missed Three Point Jumper.,63,63
4:30,77,Scottie Lindsey Defensive Rebound.,63,63
4:09,77,Bryant McIntosh missed Jumper.,63,63
4:09,356,Mark Alstork Defensive Rebound.,63,63
4:01,356,Mark Alstork Turnover.,63,63
3:43,77,Scottie Lindsey missed Jumper.,63,63
3:43,356,Da'Monte Williams Defensive Rebound.,63,63
3:26,77,Foul on Aaron Falzon.,63,63
3:26,356,Foul on Leron Black.,63,63
3:26,356,Technical Foul on Leron Black.,63,63
3:26,77,Technical Foul on Vic Law.,63,63
3:26,77,Foul on Vic Law.,63,63
3:26,356,Michael Finke made Free Throw.,64,63
3:26,356,Michael Finke missed Free Throw.,64,63
3:26,77,Dererk Pardon Defensive Rebound.,64,63
3:06,77,Bryant McIntosh Turnover.,64,63
3:05,356,Da'Monte Williams Steal.,64,63
3:01,356,Te'Jon Lucas missed Three Point Jumper.,64,63
3:01,77,Isiah Brown Defensive Rebound.,64,63
2:51,77,Scottie Lindsey made Three Point Jumper. Assisted by Bryant McIntosh.,64,66
2:17,356,Te'Jon Lucas made Layup.,66,66
1:56,77,Scottie Lindsey missed Jumper.,66,66
1:56,356,Leron Black Defensive Rebound.,66,66
1:49,77,Foul on Vic Law.,66,66
1:49,356,Te'Jon Lucas missed Free Throw.,66,66
1:49,356,Illinois Deadball Team Rebound.,66,66
1:49,356,Te'Jon Lucas missed Free Throw.,66,66
1:49,77,Jordan Ash Defensive Rebound.,66,66
1:30,77,Isiah Brown made Jumper.,66,68
1:18,356,Te'Jon Lucas made Layup.,68,68
1:16,356,Illinois  Timeout,68,68
0:59,356,Foul on Mark Alstork.,68,68
0:59,77,Scottie Lindsey made Free Throw.,68,69
0:59,77,Scottie Lindsey made Free Throw.,68,70
0:45,356,Mark Alstork missed Jumper.,68,70
0:45,77,Dererk Pardon Block.,68,70
0:44,77,Anthony Gaines Defensive Rebound.,68,70
0:33,77,Northwestern  Timeout,68,70
0:13,77,Bryant McIntosh missed Jumper.,68,70
0:13,356,Aaron Jordan Defensive Rebound.,68,70
0:03,356,Te'Jon Lucas missed Layup.,68,70
0:03,77,Dererk Pardon Block.,68,70
0:02,77,Isiah Brown Defensive Rebound.,68,70
0:02,356,Foul on Mark Alstork.,68,70
0:02,77,Isiah Brown made Free Throw.,68,71
0:02,77,Isiah Brown made Free Throw.,68,72
0:02,77,Northwestern  Timeout,68,72
0:00,77,End of Game,68,72
