Marist,2643,The Citadel,2368
10:15,2643,Zane Najdawi made Layup.,17,27
10:15,2368,Foul on Kristinn Palsson.,17,27
10:15,2643,Zane Najdawi made Free Throw.,17,28
10:01,2368,Ryan Funk missed Three Point Jumper.,17,28
10:01,2643,Rob Johnson Defensive Rebound.,17,28
9:33,2643,Tariq Simmons Turnover.,17,28
9:25,2368,Aleksandar Dozic missed Three Point Jumper.,17,28
9:25,2643,Matt Frierson Defensive Rebound.,17,28
9:11,2643,Hayden Brown missed Layup.,17,28
9:11,2368,Brian Parker Defensive Rebound.,17,28
9:05,2368,Brian Parker made Layup.,19,28
8:52,2643,Tariq Simmons missed Three Point Jumper.,19,28
8:52,2643,Rob Johnson Offensive Rebound.,19,28
8:47,2643,Rob Johnson Turnover.,19,28
8:30,2368,Brian Parker missed Three Point Jumper.,19,28
8:30,2643,The Citadel Defensive Rebound.,19,28
8:18,2643,Quayson Williams missed Three Point Jumper.,19,28
8:18,2643,The Citadel Offensive Rebound.,19,28
8:02,2643,Leandro Allende made Layup.,19,30
7:48,2368,Marist  Turnover.,19,30
7:48,2643,Official TV Timeout,19,30
7:46,2643,Zane Najdawi missed Layup.,19,30
7:46,2368,Brian Parker Defensive Rebound.,19,30
7:35,2368,Brian Parker missed Jumper.,19,30
7:35,2643,Zane Najdawi Block.,19,30
7:33,2643,Zane Najdawi Defensive Rebound.,19,30
7:31,2643,Zane Najdawi Turnover.,19,30
7:29,2368,Andrea Bernardi Steal.,19,30
7:29,2643,Foul on Zane Najdawi.,19,30
7:29,2368,Andrea Bernardi missed Free Throw.,19,30
7:29,2368,Marist Deadball Team Rebound.,19,30
7:29,2368,Andrea Bernardi made Free Throw.,20,30
7:16,2643,Quayson Williams made Jumper.,20,32
7:11,2643,Foul on Quayson Williams.,20,32
7:01,2368,Andrea Bernardi made Layup. Assisted by Isaiah Lamb.,22,32
7:01,2643,Foul on Kaelon Harris.,22,32
7:01,2368,Andrea Bernardi made Free Throw.,23,32
6:37,2643,Tariq Simmons made Layup.,23,34
6:26,2368,Isaiah Lamb made Layup.,25,34
6:16,2643,Tariq Simmons missed Three Point Jumper.,25,34
6:16,2643,Derek Webster Jr. Offensive Rebound.,25,34
6:11,2643,Derek Webster Jr. missed Jumper.,25,34
6:11,2368,Aleksandar Dozic Defensive Rebound.,25,34
6:03,2368,Isaiah Lamb made Layup.,27,34
6:03,2643,Foul on Tariq Simmons.,27,34
6:03,2368,Isaiah Lamb made Free Throw.,28,34
5:54,2368,Foul on Andrea Bernardi.,28,34
5:49,2643,Rob Johnson missed Jumper.,28,34
5:49,2368,Isaiah Lamb Defensive Rebound.,28,34
5:32,2368,Brian Parker missed Three Point Jumper.,28,34
5:32,2643,Kaelon Harris Defensive Rebound.,28,34
5:22,2643,Rob Johnson made Layup. Assisted by Tariq Simmons.,28,36
5:02,2368,Isaiah Lamb missed Three Point Jumper.,28,36
5:02,2643,Tariq Simmons Defensive Rebound.,28,36
4:41,2643,Matt Frierson missed Three Point Jumper.,28,36
4:41,2368,Ryan Funk Defensive Rebound.,28,36
4:41,2643,Foul on Quayson Williams.,28,36
4:41,2368,Ryan Funk made Free Throw.,29,36
4:41,2368,Ryan Funk missed Free Throw.,29,36
4:41,2643,Rob Johnson Defensive Rebound.,29,36
4:28,2643,Hayden Brown missed Layup.,29,36
4:28,2643,Rob Johnson Offensive Rebound.,29,36
4:22,2643,Rob Johnson made Layup.,29,38
4:07,2368,Ryan Funk missed Three Point Jumper.,29,38
4:07,2643,Hayden Brown Defensive Rebound.,29,38
4:01,2643,Matt Frierson made Three Point Jumper. Assisted by Quayson Williams.,29,41
3:43,2368,Ryan Funk made Layup. Assisted by Brian Parker.,31,41
3:36,2368,Foul on Isaiah Lamb.,31,41
3:36,2643,Official TV Timeout,31,41
3:36,2643,Tariq Simmons missed Free Throw.,31,41
3:36,2643,The Citadel Deadball Team Rebound.,31,41
3:36,2643,Tariq Simmons made Free Throw.,31,42
3:27,2368,Kristinn Palsson Turnover.,31,42
3:27,2643,Kaelon Harris Steal.,31,42
3:14,2643,Frankie Johnson made Layup.,31,44
3:02,2368,Brian Parker Turnover.,31,44
2:54,2643,Kaiden Rice missed Three Point Jumper.,31,44
2:54,2368,Kristinn Palsson Defensive Rebound.,31,44
2:43,2368,Ryan Funk made Three Point Jumper. Assisted by Kristinn Palsson.,34,44
2:35,2643,Hayden Brown missed Three Point Jumper.,34,44
2:35,2368,Kristinn Palsson Defensive Rebound.,34,44
2:26,2368,David Knudsen missed Three Point Jumper.,34,44
2:26,2643,Kaelon Harris Defensive Rebound.,34,44
2:16,2643,Kaelon Harris made Layup.,34,46
2:00,2368,Lasse Gummerus made Three Point Jumper. Assisted by David Knudsen.,37,46
1:40,2643,Kaiden Rice missed Layup.,37,46
1:40,2368,Ryan Funk Defensive Rebound.,37,46
1:31,2368,Lasse Gummerus made Layup.,39,46
1:24,2643,Frankie Johnson made Layup.,39,48
1:21,2643,The Citadel  Timeout,39,48
1:14,2368,Lasse Gummerus Turnover.,39,48
1:00,2643,Matt Frierson made Three Point Jumper. Assisted by Tariq Simmons.,39,51
0:42,2368,Marist  Turnover.,39,51
0:31,2643,Alex Reed missed Jumper.,39,51
0:31,2643,Leandro Allende Offensive Rebound.,39,51
0:27,2643,Matt Frierson made Three Point Jumper. Assisted by Leandro Allende.,39,54
0:06,2368,Marist  Timeout,39,54
0:05,2368,Marist  Turnover.,39,54
0:01,2643,Quayson Williams made Three Point Jumper. Assisted by Tariq Simmons.,39,57
0:00,2643,End of 1st half,39,57
19:44,2643,Tariq Simmons Turnover.,39,57
19:27,2368,Aleksandar Dozic missed Layup.,39,57
19:27,2643,Zane Najdawi Defensive Rebound.,39,57
19:18,2368,Foul on Isaiah Lamb.,39,57
19:08,2368,Foul on Brian Parker.,39,57
18:56,2643,Frankie Johnson Turnover.,39,57
18:47,2368,Foul on Brian Parker.,39,57
18:47,2368,Brian Parker Turnover.,39,57
18:35,2643,Zane Najdawi made Layup. Assisted by Hayden Brown.,39,59
18:20,2368,Ryan Funk made Three Point Jumper. Assisted by Brian Parker.,42,59
18:10,2643,Kaelon Harris missed Three Point Jumper.,42,59
18:10,2368,Brian Parker Defensive Rebound.,42,59
18:08,2643,Foul on Zane Najdawi.,42,59
17:56,2368,Isaiah Lamb missed Dunk.,42,59
17:56,2643,The Citadel Defensive Rebound.,42,59
17:51,2643,Tariq Simmons missed Three Point Jumper.,42,59
17:51,2368,Isaiah Lamb Defensive Rebound.,42,59
17:36,2368,Ryan Funk missed Three Point Jumper.,42,59
17:36,2368,Ryan Funk Offensive Rebound.,42,59
17:30,2368,Aleksandar Dozic made Jumper. Assisted by Ryan Funk.,44,59
17:22,2643,Tariq Simmons Turnover.,44,59
17:08,2368,Brian Parker missed Layup.,44,59
17:08,2643,Rob Johnson Defensive Rebound.,44,59
16:54,2643,Quayson Williams missed Three Point Jumper.,44,59
16:54,2368,Brian Parker Defensive Rebound.,44,59
16:43,2368,Aleksandar Dozic made Jumper.,46,59
16:33,2368,Foul on Aleksandar Dozic.,46,59
16:33,2643,Rob Johnson missed Free Throw.,46,59
16:33,2643,The Citadel Deadball Team Rebound.,46,59
16:33,2643,Rob Johnson made Free Throw.,46,60
16:25,2368,Brian Parker made Layup.,48,60
16:08,2643,Foul on Matt Frierson.,48,60
16:08,2643,Matt Frierson Turnover.,48,60
15:53,2368,Brian Parker made Three Point Jumper. Assisted by Andrea Bernardi.,51,60
15:36,2643,Frankie Johnson missed Jumper.,51,60
15:36,2368,Brian Parker Defensive Rebound.,51,60
15:28,2368,Brian Parker Turnover.,51,60
15:27,2643,Frankie Johnson Steal.,51,60
15:26,2643,Frankie Johnson made Layup.,51,62
15:09,2643,Foul on Derek Webster Jr..,51,62
15:09,2643,Official TV Timeout,51,62
15:09,2368,Isaiah Lamb missed Free Throw.,51,62
15:09,2368,Marist Deadball Team Rebound.,51,62
15:09,2368,Isaiah Lamb made Free Throw.,52,62
14:58,2643,Frankie Johnson Turnover.,52,62
14:50,2368,Andrea Bernardi Turnover.,52,62
14:49,2643,Zane Najdawi Steal.,52,62
14:46,2643,Frankie Johnson missed Three Point Jumper.,52,62
14:46,2368,Andrea Bernardi Defensive Rebound.,52,62
14:39,2643,Foul on Frankie Johnson.,52,62
14:39,2368,Andrea Bernardi made Free Throw.,53,62
14:39,2368,Andrea Bernardi made Free Throw.,54,62
14:34,2643,Matt Frierson missed Three Point Jumper.,54,62
14:34,2368,Andrea Bernardi Defensive Rebound.,54,62
14:19,2368,Aleksandar Dozic made Three Point Jumper. Assisted by Kristinn Palsson.,57,62
14:10,2643,Tariq Simmons missed Jumper.,57,62
14:10,2368,David Knudsen Defensive Rebound.,57,62
14:03,2368,Kristinn Palsson made Layup. Assisted by David Knudsen.,59,62
13:56,2643,The Citadel  Timeout,59,62
13:50,2643,Zane Najdawi made Jumper.,59,64
13:46,2368,Aleksandar Dozic Turnover.,59,64
13:45,2368,Foul on Aleksandar Dozic.,59,64
13:44,2643,Zane Najdawi made Layup. Assisted by Kaelon Harris.,59,66
13:29,2368,Andrea Bernardi Turnover.,59,66
13:25,2368,Foul on Ryan Funk.,59,66
13:25,2643,Kaelon Harris missed Free Throw.,59,66
13:25,2643,The Citadel Deadball Team Rebound.,59,66
13:25,2643,Kaelon Harris made Free Throw.,59,67
13:06,2368,David Knudsen made Three Point Jumper.,62,67
12:53,2643,Matt Frierson made Three Point Jumper. Assisted by Quayson Williams.,62,70
12:36,2368,David Knudsen missed Three Point Jumper.,62,70
12:36,2643,Kaelon Harris Defensive Rebound.,62,70
12:27,2643,Quayson Williams made Three Point Jumper. Assisted by Kaelon Harris.,62,73
12:08,2368,Ryan Funk made Three Point Jumper. Assisted by Isaiah Lamb.,65,73
11:54,2368,Foul on Ryan Funk.,65,73
11:54,2643,Official TV Timeout,65,73
11:54,2643,Kaelon Harris made Free Throw.,65,74
11:54,2643,Kaelon Harris made Free Throw.,65,75
11:47,2643,Foul on Quayson Williams.,65,75
11:37,2368,Brian Parker made Three Point Jumper. Assisted by Lasse Gummerus.,68,75
11:26,2643,Tariq Simmons Turnover.,68,75
11:25,2368,David Knudsen Steal.,68,75
11:19,2368,Brian Parker made Three Point Jumper. Assisted by Isaiah Lamb.,71,75
11:05,2643,Quayson Williams made Three Point Jumper. Assisted by Frankie Johnson.,71,78
10:43,2368,Isaiah Lamb made Three Point Jumper. Assisted by David Knudsen.,74,78
10:31,2643,Frankie Johnson made Three Point Jumper. Assisted by Quayson Williams.,74,81
10:22,2368,Isaiah Lamb Turnover.,74,81
10:14,2643,Foul on Hayden Brown.,74,81
10:14,2643,Hayden Brown Turnover.,74,81
9:55,2368,Ryan Funk made Three Point Jumper. Assisted by Brian Parker.,77,81
9:40,2643,Zane Najdawi missed Jumper.,77,81
9:40,2368,Ryan Funk Defensive Rebound.,77,81
9:32,2643,Foul on Matt Frierson.,77,81
9:32,2368,Brian Parker made Free Throw.,78,81
9:32,2368,Brian Parker missed Free Throw.,78,81
9:32,2643,Kaelon Harris Defensive Rebound.,78,81
9:24,2368,Foul on Aleksandar Dozic.,78,81
9:24,2643,Kaelon Harris made Free Throw.,78,82
9:24,2643,Kaelon Harris made Free Throw.,78,83
9:11,2368,Ryan Funk missed Three Point Jumper.,78,83
9:11,2643,Kaelon Harris Defensive Rebound.,78,83
9:03,2643,Matt Frierson made Three Point Jumper. Assisted by Quayson Williams.,78,86
8:47,2368,Ryan Funk made Layup. Assisted by Andrea Bernardi.,80,86
8:22,2643,Zane Najdawi missed Jumper.,80,86
8:22,2368,Marist Defensive Rebound.,80,86
8:02,2368,Aleksandar Dozic made Three Point Jumper. Assisted by David Knudsen.,83,86
7:48,2643,Quayson Williams missed Three Point Jumper.,83,86
7:48,2368,Aleksandar Dozic Defensive Rebound.,83,86
7:40,2368,David Knudsen made Three Point Jumper. Assisted by Aleksandar Dozic.,86,86
7:29,2643,Matt Frierson missed Three Point Jumper.,86,86
7:29,2643,Rob Johnson Offensive Rebound.,86,86
7:25,2643,Rob Johnson missed Layup.,86,86
7:25,2368,Aleksandar Dozic Block.,86,86
7:23,2368,Aleksandar Dozic Defensive Rebound.,86,86
7:03,2368,Andrea Bernardi missed Three Point Jumper.,86,86
7:03,2368,Aleksandar Dozic Offensive Rebound.,86,86
7:01,2643,Foul on Rob Johnson.,86,86
7:01,2643,Official TV Timeout,86,86
7:01,2368,Aleksandar Dozic made Free Throw.,87,86
7:01,2368,Aleksandar Dozic missed Free Throw.,87,86
7:01,2643,Zane Najdawi Defensive Rebound.,87,86
6:49,2368,Foul on Isaiah Lamb.,87,86
6:49,2643,Kaelon Harris missed Free Throw.,87,86
6:49,2643,The Citadel Deadball Team Rebound.,87,86
6:49,2643,Kaelon Harris made Free Throw.,87,87
6:35,2368,Aleksandar Dozic made Three Point Jumper. Assisted by David Knudsen.,90,87
6:23,2643,Quayson Williams missed Three Point Jumper.,90,87
6:23,2368,Marist Defensive Rebound.,90,87
5:56,2368,Brian Parker Turnover.,90,87
5:55,2643,Zane Najdawi Steal.,90,87
5:52,2643,Tariq Simmons made Layup. Assisted by Quayson Williams.,90,89
5:22,2368,Isaiah Lamb missed Layup.,90,89
5:22,2368,Aleksandar Dozic Offensive Rebound.,90,89
5:18,2368,Aleksandar Dozic made Layup.,92,89
5:08,2643,Tariq Simmons missed Three Point Jumper.,92,89
5:08,2368,Aleksandar Dozic Defensive Rebound.,92,89
4:51,2368,Isaiah Lamb missed Three Point Jumper.,92,89
4:51,2643,The Citadel Defensive Rebound.,92,89
4:32,2368,Foul on Ryan Funk.,92,89
4:32,2643,Quayson Williams made Free Throw.,92,90
4:32,2643,Quayson Williams made Free Throw.,92,91
4:21,2368,Kristinn Palsson Turnover.,92,91
4:20,2643,Quayson Williams Steal.,92,91
4:16,2643,Matt Frierson missed Three Point Jumper.,92,91
4:16,2368,Kristinn Palsson Block.,92,91
4:14,2368,David Knudsen Defensive Rebound.,92,91
4:08,2368,Marist  Timeout,92,91
4:08,2643,Official TV Timeout,92,91
3:57,2368,Kristinn Palsson made Three Point Jumper. Assisted by Brian Parker.,95,91
3:47,2643,Frankie Johnson missed Jumper.,95,91
3:47,2368,Marist Defensive Rebound.,95,91
3:29,2368,Isaiah Lamb missed Three Point Jumper.,95,91
3:29,2643,Matt Frierson Defensive Rebound.,95,91
3:07,2643,Quayson Williams missed Three Point Jumper.,95,91
3:07,2368,Ryan Funk Defensive Rebound.,95,91
2:53,2368,Marist  Turnover.,95,91
2:33,2643,Matt Frierson missed Three Point Jumper.,95,91
2:33,2643,Zane Najdawi Offensive Rebound.,95,91
2:28,2643,Matt Frierson missed Three Point Jumper.,95,91
2:28,2643,Quayson Williams Offensive Rebound.,95,91
2:24,2643,Quayson Williams Turnover.,95,91
2:18,2643,Foul on Leandro Allende.,95,91
2:18,2368,Ryan Funk made Free Throw.,96,91
2:18,2368,Ryan Funk made Free Throw.,97,91
2:10,2643,Tariq Simmons missed Jumper.,97,91
2:10,2368,Aleksandar Dozic Defensive Rebound.,97,91
1:48,2368,Isaiah Lamb missed Three Point Jumper.,97,91
1:48,2643,Quayson Williams Defensive Rebound.,97,91
1:43,2643,Kaelon Harris missed Three Point Jumper.,97,91
1:43,2368,Kristinn Palsson Block.,97,91
1:40,2368,Brian Parker Defensive Rebound.,97,91
1:16,2368,Aleksandar Dozic missed Three Point Jumper.,97,91
1:16,2368,Marist Offensive Rebound.,97,91
1:09,2368,Isaiah Lamb made Layup. Assisted by Aleksandar Dozic.,99,91
1:09,2643,Foul on Quayson Williams.,99,91
1:09,2368,Isaiah Lamb made Free Throw.,100,91
1:05,2643,Tariq Simmons missed Jumper.,100,91
1:05,2368,Aleksandar Dozic Defensive Rebound.,100,91
0:39,2368,Brian Parker missed Layup.,100,91
0:39,2643,Zane Najdawi Defensive Rebound.,100,91
0:33,2643,Quayson Williams missed Three Point Jumper.,100,91
0:33,2368,Ryan Funk Defensive Rebound.,100,91
0:00,2368,Marist  Turnover.,100,91
0:00,2643,End of Game,100,91
