Johnson &amp; Wales (NC),Error,High Point,2272
1:25,-1,Kajuan Madden-McAfee Block.,52,89
1:22,-1,Christian Creswell Defensive Rebound.,52,89
1:19,-1,Majerle Poole missed Three Point Jumper.,52,89
1:19,2272,Dexter Gooding Defensive Rebound.,52,89
1:13,2272,Dexter Gooding Turnover.,52,89
1:12,-1,Majerle Poole Steal.,52,89
1:10,-1,Majerle Poole made Layup.,54,89
0:48,2272,Denny Slay missed Layup.,54,89
0:48,-1,Robert Hobson Defensive Rebound.,54,89
0:45,2272,Foul on Cliff Thomas Jr..,54,89
0:37,-1,Kajuan Madden-McAfee Turnover.,54,89
0:36,2272,Jordan Whitehead Steal.,54,89
0:29,-1,Foul on Kajuan Madden-McAfee.,54,89
0:29,2272,Jordan Whitehead missed Free Throw.,54,89
0:29,2272,High Point Deadball Team Rebound.,54,89
0:29,2272,Jordan Whitehead made Free Throw.,54,90
0:13,-1,Kajuan Madden-McAfee missed Three Point Jumper.,54,90
0:13,-1,Majerle Poole Offensive Rebound.,54,90
0:08,-1,Majerle Poole missed Layup.,54,90
0:08,-1,Johnson & Wales (NC) Offensive Rebound.,54,90
0:08,2272,Foul on Jordan Whitehead.,54,90
0:04,2272,Foul on Cliff Thomas Jr..,54,90
0:04,-1,Christian Creswell missed Free Throw.,54,90
0:04,2272,Cliff Thomas Jr. Defensive Rebound.,54,90
