Holy Cross,2363,Manhattan,107
9:48,2363,Aaron Walker Jr. missed Three Point Jumper.,38,55
9:48,107,Jehyve Floyd Defensive Rebound.,38,55
9:16,2363,Foul on Patrick Strzala.,38,55
9:03,107,Karl Charles made Layup.,40,55
9:03,2363,Foul on Calvin Crawford.,40,55
9:03,107,Karl Charles missed Free Throw.,40,55
9:03,2363,Calvin Crawford Defensive Rebound.,40,55
8:44,2363,Zane Waterman missed Three Point Jumper.,40,55
8:44,2363,Manhattan Offensive Rebound.,40,55
8:34,2363,Aaron Walker Jr. missed Jumper.,40,55
8:34,2363,Ebube Ebube Offensive Rebound.,40,55
8:32,2363,Ebube Ebube missed Layup.,40,55
8:32,2363,Ebube Ebube Offensive Rebound.,40,55
8:30,107,Foul on Patrick Benzan.,40,55
8:30,2363,Ebube Ebube missed Free Throw.,40,55
8:30,2363,Manhattan Deadball Team Rebound.,40,55
8:30,2363,Ebube Ebube made Free Throw.,40,56
7:58,107,Caleb Green missed Three Point Jumper.,40,56
7:58,107,Patrick Benzan Offensive Rebound.,40,56
7:55,107,Jehyve Floyd missed Layup.,40,56
7:55,2363,Pauly Paulicap Defensive Rebound.,40,56
7:32,2363,Foul on Ebube Ebube.,40,56
7:32,2363,Ebube Ebube Turnover.,40,56
7:32,107,Holy Cross  Timeout,40,56
7:00,107,Patrick Benzan Turnover.,40,56
6:48,2363,Pauly Paulicap Turnover.,40,56
6:45,107,Matt Zignorski Steal.,40,56
6:40,2363,Foul on Ebube Ebube.,40,56
6:32,107,Caleb Green Turnover.,40,56
6:13,2363,Zane Waterman made Three Point Jumper. Assisted by Zavier Turner.,40,59
5:59,107,Jehyve Floyd Turnover.,40,59
5:57,2363,Aaron Walker Jr. Steal.,40,59
5:55,107,Foul on Caleb Green.,40,59
5:55,2363,Calvin Crawford made Free Throw.,40,60
5:55,2363,Calvin Crawford made Free Throw.,40,61
5:33,107,Caleb Green made Jumper. Assisted by Patrick Benzan.,42,61
5:05,2363,Zane Waterman missed Three Point Jumper.,42,61
5:05,2363,Pauly Paulicap Offensive Rebound.,42,61
5:00,107,Foul on Patrick Benzan.,42,61
5:00,2363,Pauly Paulicap missed Free Throw.,42,61
5:00,2363,Manhattan Deadball Team Rebound.,42,61
5:00,2363,Pauly Paulicap made Free Throw.,42,62
4:39,2363,Aaron Walker Jr. missed Layup.,42,62
4:39,107,Matt Zignorski Defensive Rebound.,42,62
4:21,107,Matt Zignorski Turnover.,42,62
4:05,2363,Foul on Calvin Crawford.,42,62
4:05,107,Jacob Grandison made Free Throw.,43,62
4:05,107,Jacob Grandison made Free Throw.,44,62
3:40,107,Foul on Austin Butler.,44,62
3:40,2363,Manhattan  Timeout,44,62
3:40,2363,Zane Waterman made Free Throw.,44,63
3:40,2363,Zane Waterman missed Free Throw.,44,63
3:40,2363,Nehemiah Mack Offensive Rebound.,44,63
3:26,2363,Nehemiah Mack Turnover.,44,63
3:12,107,Caleb Green Turnover.,44,63
3:12,2363,Zane Waterman Steal.,44,63
3:00,2363,Patrick Strzala missed Three Point Jumper.,44,63
3:00,2363,Pauly Paulicap Offensive Rebound.,44,63
2:56,2363,Pauly Paulicap made Layup.,44,65
2:32,107,Jacob Grandison made Three Point Jumper. Assisted by Jehyve Floyd.,47,65
2:23,2363,Nehemiah Mack Turnover.,47,65
2:08,107,Matt Faw made Layup. Assisted by Jacob Grandison.,49,65
2:08,2363,Foul on Zane Waterman.,49,65
2:08,107,Matt Faw made Free Throw.,50,65
1:45,2363,Patrick Strzala Turnover.,50,65
1:33,107,Matt Faw made Jumper.,52,65
1:28,107,Holy Cross  Timeout,52,65
1:10,2363,Calvin Crawford made Three Point Jumper. Assisted by Zavier Turner.,52,68
0:48,107,Kyle Copeland missed Three Point Jumper.,52,68
0:48,2363,Zane Waterman Defensive Rebound.,52,68
0:37,107,Foul on Austin Butler.,52,68
0:37,2363,Zavier Turner made Free Throw.,52,69
0:37,2363,Zavier Turner made Free Throw.,52,70
0:29,107,Matt Faw missed Three Point Jumper.,52,70
0:29,2363,Jesse Boyce Defensive Rebound.,52,70
0:20,107,Foul on Jacob Grandison.,52,70
0:20,2363,Zane Waterman missed Free Throw.,52,70
0:20,107,Jacob Grandison Defensive Rebound.,52,70
0:11,107,Kyle Copeland made Jumper.,54,70
0:00,2363,End of Game,54,70
