Eastern Illinois,71,Bradley,2197
15:39,71,Official TV Timeout,26,35
15:11,2197,Muusa Dama missed Three Point Jumper.,26,35
15:11,2197,Jajuan Starks Offensive Rebound.,26,35
15:09,71,Foul on Koch Bar.,26,35
14:55,2197,Jajuan Starks made Jumper.,28,35
14:43,2197,Foul on Jajuan Starks.,28,35
14:40,2197,Foul on Muusa Dama.,28,35
14:33,71,Donte Thomas Turnover.,28,35
14:33,71,Foul on Donte Thomas.,28,35
14:18,71,Foul on Donte Thomas.,28,35
14:18,2197,Muusa Dama made Free Throw.,29,35
14:18,2197,Muusa Dama missed Free Throw.,29,35
14:18,2197,Montell Goodwin Offensive Rebound.,29,35
14:08,2197,Montell Goodwin missed Three Point Jumper.,29,35
14:08,2197,Ray Crossland Offensive Rebound.,29,35
14:01,2197,Montell Goodwin missed Three Point Jumper.,29,35
14:01,71,Koch Bar Defensive Rebound.,29,35
13:39,2197,Foul on Ray Crossland.,29,35
13:32,71,Koch Bar Turnover.,29,35
13:32,71,Foul on Koch Bar.,29,35
13:20,2197,Muusa Dama missed Layup.,29,35
13:20,71,Elijah Childs Defensive Rebound.,29,35
13:08,71,Koch Bar Turnover.,29,35
13:08,2197,Muusa Dama made Free Throw.,32,35
13:08,2197,Terrell Lewis made Free Throw.,30,35
13:08,71,Foul on Koch Bar.,29,35
13:08,2197,Terrell Lewis made Free Throw.,31,35
13:08,71,Foul on Bradley.,29,35
13:08,71,Technical Foul on Bradley.,29,35
13:08,2197,Muusa Dama made Free Throw.,33,35
12:54,71,Elijah Childs made Jumper. Assisted by Jayden Hodgson.,33,37
12:38,71,Foul on Ryan Stipanovich.,33,37
12:38,2197,D'Angelo Jackson missed Free Throw.,33,37
12:38,71,Elijah Childs Defensive Rebound.,33,37
12:26,71,Jayden Hodgson made Three Point Jumper. Assisted by Darrell Brown.,33,40
12:21,2197,Foul on Montell Goodwin.,33,40
12:21,71,Dwayne Lautier-Ogunleye made Free Throw.,33,41
12:21,71,Dwayne Lautier-Ogunleye made Free Throw.,33,42
12:12,71,Jayden Hodgson made Layup.,33,44
11:53,2197,Muusa Dama made Layup. Assisted by D'Angelo Jackson.,35,44
11:42,71,Dwayne Lautier-Ogunleye made Layup.,35,46
11:40,2197,Eastern Illinois  Timeout,35,46
11:29,2197,Terrell Lewis missed Three Point Jumper.,35,46
11:29,71,Dwayne Lautier-Ogunleye Defensive Rebound.,35,46
11:02,71,Jayden Hodgson missed Jumper.,35,46
11:02,2197,Montell Goodwin Defensive Rebound.,35,46
10:51,2197,Terrell Lewis made Jumper.,37,46
10:37,71,Elijah Childs made Dunk. Assisted by Jayden Hodgson.,37,48
10:21,71,Foul on Ryan Stipanovich.,37,48
10:21,2197,D'Angelo Jackson made Free Throw.,38,48
10:21,2197,D'Angelo Jackson missed Free Throw.,38,48
10:21,71,Darrell Brown Defensive Rebound.,38,48
