Bethesda,Error,Idaho State,304
14:02,-1,Foul on Jesse Henderson.,7,11
14:02,304,Official TV Timeout,7,11
14:02,304,Geno Luzcando made Free Throw.,7,12
14:02,304,Geno Luzcando missed Free Throw.,7,12
14:02,304,Novak Topalovic Offensive Rebound.,7,12
14:00,-1,Foul on Khalfani Williams.,7,12
14:00,304,Novak Topalovic missed Free Throw.,7,12
14:00,304,Idaho State Deadball Team Rebound.,7,12
14:00,304,Novak Topalovic made Free Throw.,7,13
13:43,-1,Khalfani Williams made Jumper.,9,13
13:21,304,Jared Stutzman made Layup.,9,15
13:00,-1,Lawrence Weatherall made Three Point Jumper. Assisted by Khalfani Williams.,12,15
12:48,304,Jared Stutzman Turnover.,12,15
12:46,-1,Isaiah Hicks Steal.,12,15
12:43,-1,Isaiah Hicks made Layup.,14,15
12:23,304,Gary Chivichyan missed Three Point Jumper.,14,15
12:23,-1,Khalfani Williams Defensive Rebound.,14,15
12:10,-1,Khalfani Williams missed Jumper.,14,15
12:10,304,Gary Chivichyan Defensive Rebound.,14,15
11:53,304,Gary Chivichyan made Three Point Jumper.,14,18
11:28,-1,Javonte Willis missed Jumper.,14,18
11:28,304,Novak Topalovic Defensive Rebound.,14,18
11:01,304,Novak Topalovic made Layup.,14,20
10:46,304,Official TV Timeout,14,20
10:34,-1,Javonte Willis missed Three Point Jumper.,14,20
10:34,304,Balint Mocsan Defensive Rebound.,14,20
10:25,304,Erik Nakken made Three Point Jumper. Assisted by Balint Mocsan.,14,23
10:00,-1,Shaquille Moore missed Jumper.,14,23
10:00,-1,Bethesda University Offensive Rebound.,14,23
9:56,-1,Isaiah Hicks made Jumper.,16,23
9:34,304,Gary Chivichyan missed Jumper.,16,23
9:34,304,Balint Mocsan Offensive Rebound.,16,23
9:26,304,Balint Mocsan missed Jumper.,16,23
9:26,-1,Khalfani Williams Defensive Rebound.,16,23
9:08,304,Foul on Sam Dowd.,16,23
9:07,-1,Shaquille Moore Turnover.,16,23
9:03,-1,Foul on Shaquille Moore.,16,23
9:03,304,Sam Dowd made Free Throw.,16,24
9:03,304,Sam Dowd made Free Throw.,16,25
8:46,-1,Lawrence Weatherall missed Layup.,16,25
8:46,304,Jacob McCord Defensive Rebound.,16,25
8:44,-1,Foul on Lawrence Weatherall.,16,25
8:29,304,Gary Chivichyan made Jumper. Assisted by Jacob McCord.,16,27
8:08,304,Foul on Erik Nakken.,16,27
8:08,-1,Gabriel Adersteg made Free Throw.,17,27
8:08,-1,Gabriel Adersteg made Free Throw.,18,27
7:56,304,Gary Chivichyan made Three Point Jumper. Assisted by Balint Mocsan.,18,30
7:36,-1,Gabriel Adersteg made Jumper.,20,30
7:24,304,Balint Mocsan Turnover.,20,30
7:24,304,Official TV Timeout,20,30
7:09,-1,Shawn Barca-Patrick missed Dunk.,20,30
7:09,304,Gary Chivichyan Defensive Rebound.,20,30
6:50,304,Balint Mocsan missed Three Point Jumper.,20,30
6:50,-1,Mario Winfrey Defensive Rebound.,20,30
6:39,-1,Mario Winfrey Turnover.,20,30
6:37,304,Balint Mocsan Steal.,20,30
6:35,304,Balint Mocsan made Dunk.,20,32
6:23,304,Foul on Sam Dowd.,20,32
6:20,-1,Gabriel Adersteg Turnover.,20,32
6:18,304,Geno Luzcando Steal.,20,32
6:04,304,Erik Nakken missed Three Point Jumper.,20,32
6:04,304,Jacob McCord Offensive Rebound.,20,32
5:57,304,Jacob McCord Turnover.,20,32
5:55,-1,Ammar Rehman Steal.,20,32
5:51,-1,Foul on Michael Morrissey.,20,32
5:51,-1,Michael Morrissey Turnover.,20,32
5:37,304,Novak Topalovic Turnover.,20,32
5:21,304,Foul on Geno Luzcando.,20,32
5:21,-1,Michael Morrissey missed Free Throw.,20,32
5:21,-1,Bethesda University Deadball Team Rebound.,20,32
5:21,-1,Michael Morrissey made Free Throw.,21,32
5:05,304,Jared Stutzman Turnover.,21,32
5:03,-1,Ammar Rehman Steal.,21,32
4:47,-1,Shawn Barca-Patrick made Jumper. Assisted by Gabriel Adersteg.,23,32
4:31,304,Jared Stutzman made Three Point Jumper. Assisted by Balint Mocsan.,23,35
4:16,-1,Ammar Rehman made Three Point Jumper. Assisted by Michael Morrissey.,26,35
3:56,-1,Foul on Shawn Barca-Patrick.,26,35
3:56,304,Official TV Timeout,26,35
3:56,304,Novak Topalovic made Free Throw.,26,36
3:56,304,Novak Topalovic made Free Throw.,26,37
3:31,304,Novak Topalovic Block.,26,37
3:31,-1,Khalfani Williams missed Jumper.,26,37
3:31,304,Geno Luzcando Defensive Rebound.,26,37
3:20,304,Blake Truman Turnover.,26,37
2:54,-1,Jesse Henderson made Jumper.,28,37
2:37,304,Balint Mocsan missed Three Point Jumper.,28,37
2:37,-1,Isaiah Hicks Defensive Rebound.,28,37
2:28,-1,Isaiah Hicks missed Layup.,28,37
2:28,-1,Bethesda University Deadball Team Rebound.,28,37
2:27,304,Foul on Geno Luzcando.,28,37
2:27,-1,Khalfani Williams missed Free Throw.,28,37
2:27,-1,Bethesda University Deadball Team Rebound.,28,37
2:27,-1,Khalfani Williams missed Free Throw.,28,37
2:27,304,Balint Mocsan Defensive Rebound.,28,37
2:21,304,Balint Mocsan Turnover.,28,37
2:09,-1,Jesse Henderson missed Three Point Jumper.,28,37
2:09,304,Novak Topalovic Defensive Rebound.,28,37
1:57,304,Novak Topalovic missed Dunk.,28,37
1:57,-1,Khalfani Williams Defensive Rebound.,28,37
1:52,-1,Isaiah Hicks missed Jumper.,28,37
1:52,304,Novak Topalovic Defensive Rebound.,28,37
1:33,304,Geno Luzcando made Three Point Jumper. Assisted by Novak Topalovic.,28,40
1:05,-1,Khalfani Williams Turnover.,28,40
0:55,-1,Foul on Khalfani Williams.,28,40
0:55,304,Novak Topalovic missed Free Throw.,28,40
0:55,304,Idaho State Deadball Team Rebound.,28,40
0:55,304,Novak Topalovic made Free Throw.,28,41
0:29,-1,Javonte Willis missed Jumper.,28,41
0:29,304,Geno Luzcando Defensive Rebound.,28,41
0:22,304,Idaho State  Timeout,28,41
0:02,304,Jared Stutzman missed Three Point Jumper.,28,41
0:02,304,Blake Truman Offensive Rebound.,28,41
0:00,304,End of 1st half,28,41
19:36,304,Geno Luzcando Turnover.,28,41
19:17,-1,Ammar Rehman made Jumper.,30,41
18:59,304,Idaho State  Timeout,30,41
18:47,-1,Foul on Shawn Barca-Patrick.,30,41
18:47,304,Novak Topalovic missed Free Throw.,30,41
18:47,304,Idaho State Deadball Team Rebound.,30,41
18:47,304,Novak Topalovic made Free Throw.,30,42
18:31,-1,Shawn Barca-Patrick missed Jumper.,30,42
18:31,304,Novak Topalovic Defensive Rebound.,30,42
18:24,304,Balint Mocsan made Three Point Jumper. Assisted by Geno Luzcando.,30,45
18:09,-1,Jesse Henderson missed Three Point Jumper.,30,45
18:09,304,Idaho State Deadball Team Rebound.,30,45
18:09,-1,Foul on Gabriel Adersteg.,30,45
18:05,304,Jared Stutzman missed Three Point Jumper.,30,45
18:05,-1,Jesse Henderson Defensive Rebound.,30,45
17:52,-1,Michael Morrissey missed Jumper.,30,45
17:52,-1,Gabriel Adersteg Offensive Rebound.,30,45
17:48,304,Foul on Balint Mocsan.,30,45
17:48,-1,Gabriel Adersteg made Free Throw.,31,45
17:48,-1,Gabriel Adersteg missed Free Throw.,31,45
17:48,304,Kyle Ingram Defensive Rebound.,31,45
17:34,-1,Foul on Shawn Barca-Patrick.,31,45
17:34,304,Kyle Ingram made Free Throw.,31,46
17:34,304,Kyle Ingram made Free Throw.,31,47
17:18,-1,Michael Morrissey missed Layup.,31,47
17:18,-1,Shawn Barca-Patrick Offensive Rebound.,31,47
17:16,304,Foul on Kyle Ingram.,31,47
17:16,-1,Shawn Barca-Patrick made Free Throw.,32,47
17:16,-1,Shawn Barca-Patrick made Free Throw.,33,47
16:55,304,Novak Topalovic made Layup.,33,49
16:35,-1,Jesse Henderson Turnover.,33,49
16:33,304,Geno Luzcando Steal.,33,49
16:32,304,Geno Luzcando made Dunk.,33,51
16:25,-1,Bethesda University  Timeout,33,51
16:20,-1,Gabriel Adersteg Turnover.,33,51
16:15,304,Geno Luzcando Turnover.,33,51
16:10,304,Foul on Geno Luzcando.,33,51
16:10,-1,Gabriel Adersteg made Free Throw.,34,51
16:10,-1,Gabriel Adersteg missed Free Throw.,34,51
16:10,304,Idaho State Deadball Team Rebound.,34,51
16:09,-1,Foul on Jesse Henderson.,34,51
15:45,304,Novak Topalovic missed Jumper.,34,51
15:45,-1,Ammar Rehman Defensive Rebound.,34,51
15:34,-1,Ammar Rehman missed Jumper.,34,51
15:34,304,Novak Topalovic Defensive Rebound.,34,51
15:30,-1,Foul on Ammar Rehman.,34,51
15:11,304,Balint Mocsan made Three Point Jumper. Assisted by Kyle Ingram.,34,54
14:53,-1,Shawn Barca-Patrick missed Jumper.,34,54
14:53,-1,Shawn Barca-Patrick Offensive Rebound.,34,54
14:49,-1,Shawn Barca-Patrick made Layup.,36,54
14:36,304,Novak Topalovic made Dunk.,36,56
14:22,-1,Jesse Henderson missed Three Point Jumper.,36,56
14:22,304,Idaho State Defensive Rebound.,36,56
13:53,304,Jacob McCord made Jumper.,36,58
13:32,304,Foul on Jacob McCord.,36,58
13:32,-1,Khalfani Williams made Free Throw.,37,58
13:32,-1,Khalfani Williams missed Free Throw.,37,58
13:32,304,Jacob McCord Defensive Rebound.,37,58
13:22,304,Jared Stutzman made Three Point Jumper. Assisted by Jacob McCord.,37,61
13:12,-1,Isaiah Hicks made Jumper.,39,61
13:02,304,Sam Dowd Turnover.,39,61
12:46,-1,Shaquille Moore made Layup.,41,61
12:30,304,Gary Chivichyan missed Layup.,41,61
12:30,-1,Khalfani Williams Block.,41,61
12:29,304,Idaho State Offensive Rebound.,41,61
12:28,304,Erik Nakken made Three Point Jumper. Assisted by Sam Dowd.,41,64
12:06,-1,Khalfani Williams made Jumper.,43,64
11:52,304,Jared Stutzman made Jumper.,43,66
11:52,-1,Foul on Isaiah Hicks.,43,66
11:52,304,Official TV Timeout,43,66
11:52,304,Jared Stutzman made Free Throw.,43,67
11:34,-1,Isaiah Hicks missed Layup.,43,67
11:34,-1,Khalfani Williams Offensive Rebound.,43,67
11:31,-1,Khalfani Williams missed Dunk.,43,67
11:31,304,Erik Nakken Defensive Rebound.,43,67
11:25,304,Jared Stutzman Turnover.,43,67
11:19,-1,Isaiah Hicks made Layup. Assisted by Shaquille Moore.,45,67
11:02,304,Jared Stutzman missed Three Point Jumper.,45,67
11:02,-1,Shaquille Moore Defensive Rebound.,45,67
10:47,-1,Khalfani Williams missed Jumper.,45,67
10:47,304,Gary Chivichyan Defensive Rebound.,45,67
10:39,304,Sam Dowd missed Layup.,45,67
10:39,304,Jared Stutzman Offensive Rebound.,45,67
10:36,-1,Foul on Lawrence Weatherall.,45,67
10:36,304,Jared Stutzman made Free Throw.,45,68
10:36,304,Jared Stutzman missed Free Throw.,45,68
10:36,-1,Mario Winfrey Defensive Rebound.,45,68
10:15,-1,Isaiah Hicks missed Jumper.,45,68
10:15,304,Blake Truman Defensive Rebound.,45,68
9:55,304,Blake Truman missed Jumper.,45,68
9:55,304,Blake Truman Offensive Rebound.,45,68
9:52,304,Erik Nakken missed Three Point Jumper.,45,68
9:52,-1,Khalfani Williams Defensive Rebound.,45,68
9:31,-1,Isaiah Hicks missed Three Point Jumper.,45,68
9:31,304,Jared Stutzman Defensive Rebound.,45,68
9:24,304,Gary Chivichyan made Layup. Assisted by Sam Dowd.,45,70
8:55,-1,Bethesda University  Timeout,45,70
8:54,-1,Isaiah Hicks Turnover.,45,70
8:50,-1,Foul on Lawrence Weatherall.,45,70
8:50,304,Sam Dowd made Free Throw.,45,71
8:50,304,Sam Dowd missed Free Throw.,45,71
8:50,-1,Lawrence Weatherall Defensive Rebound.,45,71
8:30,-1,Mario Winfrey missed Jumper.,45,71
8:30,-1,Shaquille Moore Offensive Rebound.,45,71
8:20,-1,Lawrence Weatherall missed Three Point Jumper.,45,71
8:20,-1,Shaquille Moore Offensive Rebound.,45,71
8:13,-1,Khalfani Williams made Dunk. Assisted by Shaquille Moore.,47,71
7:51,304,Blake Truman missed Jumper.,47,71
7:51,304,Blake Truman Offensive Rebound.,47,71
7:46,304,Blake Truman missed Layup.,47,71
7:46,304,Lyle Sutton Offensive Rebound.,47,71
7:40,-1,Foul on Khalfani Williams.,47,71
7:40,304,Official TV Timeout,47,71
7:40,304,Lyle Sutton missed Free Throw.,47,71
7:40,304,Idaho State Offensive Rebound.,47,71
7:29,304,Blake Truman Turnover.,47,71
7:27,-1,Isaiah Hicks Steal.,47,71
7:25,-1,Khalfani Williams made Dunk. Assisted by Isaiah Hicks.,49,71
7:12,304,Lyle Sutton Defensive Rebound.,49,71
7:12,304,Erik Nakken missed Three Point Jumper.,49,71
6:25,304,Blake Truman missed Jumper.,49,71
6:25,-1,Isaiah Hicks Defensive Rebound.,49,71
6:13,-1,Isaiah Hicks made Layup. Assisted by Shaquille Moore.,51,71
6:13,304,Foul on Blake Truman.,51,71
6:13,-1,Isaiah Hicks made Free Throw.,52,71
6:13,304,Gary Chivichyan missed Three Point Jumper.,52,71
6:13,-1,Bethesda University Deadball Team Rebound.,52,71
6:09,304,Foul on Blake Truman.,52,71
6:05,-1,Isaiah Hicks made Layup.,54,71
5:41,304,Lyle Sutton missed Three Point Jumper.,54,71
5:41,304,Blake Truman Offensive Rebound.,54,71
5:37,304,Blake Truman missed Layup.,54,71
5:37,-1,Khalfani Williams Block.,54,71
5:36,-1,Bethesda University Defensive Rebound.,54,71
5:23,304,Foul on Gary Chivichyan.,54,71
5:23,-1,Gabriel Adersteg made Free Throw.,55,71
5:23,-1,Gabriel Adersteg made Free Throw.,56,71
5:18,304,Geno Luzcando Turnover.,56,71
5:16,-1,Shaquille Moore Steal.,56,71
5:14,-1,Shaquille Moore missed Three Point Jumper.,56,71
5:14,304,Geno Luzcando Defensive Rebound.,56,71
4:53,-1,Foul on Shaquille Moore.,56,71
4:53,304,Geno Luzcando made Free Throw.,56,72
4:53,304,Geno Luzcando made Free Throw.,56,73
4:42,-1,Ammar Rehman made Three Point Jumper. Assisted by Isaiah Hicks.,59,73
4:12,-1,Foul on Gabriel Adersteg.,59,73
4:12,304,Gary Chivichyan made Free Throw.,59,74
4:12,-1,Bethesda University  Timeout,59,74
4:12,304,Gary Chivichyan made Free Throw.,59,75
4:05,-1,Shaquille Moore missed Three Point Jumper.,59,75
4:05,304,Geno Luzcando Defensive Rebound.,59,75
3:53,304,Balint Mocsan missed Layup.,59,75
3:53,-1,Michael Morrissey Defensive Rebound.,59,75
3:43,-1,Ammar Rehman made Three Point Jumper.,62,75
3:29,304,Balint Mocsan Turnover.,62,75
3:26,-1,Isaiah Hicks Steal.,62,75
3:25,-1,Isaiah Hicks made Layup.,64,75
3:25,304,Idaho State  Timeout,64,75
3:13,304,Geno Luzcando made Layup.,64,77
2:57,-1,Isaiah Hicks missed Three Point Jumper.,64,77
2:57,-1,Michael Morrissey Offensive Rebound.,64,77
2:49,-1,Isaiah Hicks missed Three Point Jumper.,64,77
2:49,304,Gary Chivichyan Defensive Rebound.,64,77
2:46,-1,Foul on Ammar Rehman.,64,77
2:46,304,Gary Chivichyan made Free Throw.,64,78
2:46,304,Gary Chivichyan missed Free Throw.,64,78
2:46,-1,Michael Morrissey Defensive Rebound.,64,78
2:39,-1,Michael Morrissey Turnover.,64,78
2:37,304,Geno Luzcando Steal.,64,78
2:37,-1,Foul on Gabriel Adersteg.,64,78
2:37,304,Geno Luzcando missed Free Throw.,64,78
2:37,304,Idaho State Deadball Team Rebound.,64,78
2:37,304,Geno Luzcando made Free Throw.,64,79
2:28,-1,Gabriel Adersteg missed Three Point Jumper.,64,79
2:28,304,Geno Luzcando Defensive Rebound.,64,79
2:12,304,Balint Mocsan made Three Point Jumper. Assisted by Geno Luzcando.,64,82
1:54,-1,Isaiah Hicks Turnover.,64,82
1:51,304,Geno Luzcando Steal.,64,82
1:49,-1,Foul on Gabriel Adersteg.,64,82
1:49,304,Geno Luzcando missed Free Throw.,64,82
1:49,304,Idaho State Deadball Team Rebound.,64,82
1:49,304,Geno Luzcando made Free Throw.,64,83
1:49,-1,Ammar Rehman Turnover.,64,83
1:46,304,Geno Luzcando made Layup.,64,85
1:35,-1,Michael Morrissey Turnover.,64,85
1:34,304,Geno Luzcando Steal.,64,85
1:33,304,Geno Luzcando made Dunk. Assisted by Sam Dowd.,64,87
1:24,304,Foul on Novak Topalovic.,64,87
1:24,-1,Gabriel Adersteg made Free Throw.,65,87
1:24,-1,Bethesda University Deadball Team Rebound.,65,87
1:24,-1,Gabriel Adersteg made Free Throw.,66,87
1:19,-1,Foul on Gabriel Adersteg.,66,87
1:19,304,Sam Dowd made Free Throw.,66,88
1:19,304,Sam Dowd missed Free Throw.,66,88
1:19,304,Novak Topalovic Offensive Rebound.,66,88
1:11,-1,Foul on Michael Morrissey.,66,88
1:11,304,Novak Topalovic missed Free Throw.,66,88
1:11,304,Idaho State Deadball Team Rebound.,66,88
1:11,304,Novak Topalovic missed Free Throw.,66,88
1:11,-1,Ammar Rehman Defensive Rebound.,66,88
1:09,-1,Jesse Henderson missed Three Point Jumper.,66,88
1:09,304,Geno Luzcando Defensive Rebound.,66,88
0:57,304,Geno Luzcando made Layup. Assisted by Lyle Sutton.,66,90
0:45,-1,Shaquille Moore made Jumper.,68,90
0:45,-1,Shaquille Moore made Free Throw.,69,90
0:45,-1,Foul on Jesse Henderson.,69,90
0:45,304,Sam Dowd missed Free Throw.,69,90
0:45,304,Idaho State Deadball Team Rebound.,69,90
0:45,304,Sam Dowd missed Free Throw.,69,90
0:45,-1,Michael Morrissey Defensive Rebound.,69,90
0:45,304,Foul on Houston Wahlen.,68,90
0:42,-1,Michael Morrissey missed Layup.,69,90
0:42,-1,Bethesda University Offensive Rebound.,69,90
0:38,-1,Michael Morrissey missed Three Point Jumper.,69,90
0:38,-1,Isaiah Hicks Offensive Rebound.,69,90
0:36,-1,Isaiah Hicks made Layup.,71,90
0:24,304,Houston Wahlen made Layup.,71,92
0:14,-1,Michael Morrissey Turnover.,71,92
0:00,304,End of Game,71,92
