Edward Waters,Error,Stetson,56
8:08,-1,Rasaad Morgan made Layup.,43,67
8:05,56,Keith Matthews made Layup.,43,69
7:46,-1,Rasaad Morgan missed Layup.,43,69
7:46,56,Stetson Defensive Rebound.,43,69
7:44,56,Official TV Timeout,43,69
7:31,56,Abayomi Iyiola missed Jumper.,43,69
7:31,-1,Prince Braynen Defensive Rebound.,43,69
7:11,-1,Charles-Eddie Smith missed Jumper.,43,69
7:11,56,Abayomi Iyiola Defensive Rebound.,43,69
7:03,56,Divine Myles missed Layup.,43,69
7:03,-1,Rasaad Morgan Defensive Rebound.,43,69
6:48,56,Foul on Abayomi Iyiola.,43,69
6:44,-1,Rasaad Morgan missed Jumper.,43,69
6:44,56,Abayomi Iyiola Defensive Rebound.,43,69
6:25,56,Keith Matthews missed Layup.,43,69
6:25,56,Abayomi Iyiola Offensive Rebound.,43,69
6:23,56,Abayomi Iyiola Turnover.,43,69
6:02,-1,Blake Harper made Layup. Assisted by Prince Braynen.,45,69
5:50,56,Christiaan Jones made Three Point Jumper. Assisted by B.J. Glasford.,45,72
5:34,-1,Deatry Lang made Jumper. Assisted by Blake Harper.,47,72
5:24,56,Christiaan Jones missed Three Point Jumper.,47,72
5:24,-1,Deatry Lang Defensive Rebound.,47,72
5:09,-1,Prince Braynen made Layup.,49,72
4:57,56,Divine Myles missed Jumper.,49,72
4:57,-1,Blake Harper Defensive Rebound.,49,72
4:50,-1,Deatry Lang Turnover.,49,72
4:37,56,Keith Matthews made Three Point Jumper.,49,75
4:05,-1,Rasaad Morgan missed Layup.,49,75
4:05,56,Angel Rivera Defensive Rebound.,49,75
3:54,-1,Foul on Rasaad Morgan.,49,75
3:54,56,Official TV Timeout,49,75
3:54,56,Keith Matthews made Free Throw.,49,76
3:54,56,Keith Matthews made Free Throw.,49,77
3:24,-1,Trummel Mccrimmon missed Layup.,49,77
3:24,56,Angel Rivera Defensive Rebound.,49,77
3:19,56,Luke Doyle made Layup. Assisted by Angel Rivera.,49,79
3:10,-1,Blake Harper Turnover.,49,79
2:53,56,Matthew Cioce missed Three Point Jumper.,49,79
2:53,56,Brady Moses Offensive Rebound.,49,79
2:41,56,Adam Webb missed Layup.,49,79
2:41,-1,Robert Thomas III Defensive Rebound.,49,79
2:34,-1,Blake Harper missed Jumper.,49,79
2:34,56,Kenny Aninye Defensive Rebound.,49,79
2:26,56,Matthew Cioce missed Three Point Jumper.,49,79
2:26,-1,Prince Braynen Defensive Rebound.,49,79
2:07,-1,Trummel Mccrimmon Turnover.,49,79
2:06,56,Matthew Cioce Steal.,49,79
2:03,56,Raine McKeython Turnover.,49,79
2:03,-1,Robert Thomas III Steal.,49,79
1:54,-1,Blake Harper missed Jumper.,49,79
1:54,56,Adam Webb Defensive Rebound.,49,79
1:45,56,Matthew Cioce missed Three Point Jumper.,49,79
1:45,-1,Trummel Mccrimmon Defensive Rebound.,49,79
1:39,-1,Robert Thomas III missed Layup.,49,79
1:39,-1,Edward Waters College Fla Offensive Rebound.,49,79
1:33,-1,Preston Harvey Turnover.,49,79
1:32,56,Kenny Aninye Steal.,49,79
1:28,56,Kenny Aninye made Layup.,49,81
1:10,56,Foul on Adam Webb.,49,81
1:10,-1,Trummel Mccrimmon missed Free Throw.,49,81
1:10,-1,Edward Waters College Fla Deadball Team Rebound.,49,81
1:10,-1,Trummel Mccrimmon made Free Throw.,50,81
0:51,56,Raine McKeython missed Layup.,50,81
0:51,56,Adam Webb Offensive Rebound.,50,81
0:49,56,Adam Webb made Two Point Tip Shot.,50,83
0:36,-1,Robert Thomas III missed Jumper.,50,83
0:36,56,Matthew Cioce Defensive Rebound.,50,83
0:23,56,Kenny Aninye made Layup.,50,85
0:11,-1,Trummel Mccrimmon made Jumper.,52,85
0:00,56,End of Game,52,85
