Delaware,2426,Navy,48
8:26,2426,Foul on George Kiernan.,15,19
8:26,48,Kevin Anderson made Free Throw.,16,19
8:12,2426,Shawn Anderson made Layup.,16,21
7:55,48,Kevin Anderson Turnover.,16,21
7:55,2426,Official TV Timeout,16,21
7:41,48,Foul on Ryan Allen.,16,21
7:41,2426,Bryce Dulin made Free Throw.,16,22
7:41,2426,Bryce Dulin made Free Throw.,16,23
7:24,48,Ryan Daly missed Jumper.,16,23
7:24,2426,Tom Lacey Defensive Rebound.,16,23
7:13,2426,Mo Lewis Turnover.,16,23
7:12,48,Ryan Daly Steal.,16,23
7:10,48,Ryan Daly made Layup.,18,23
6:46,2426,Bryce Dulin made Three Point Jumper. Assisted by Tom Lacey.,18,26
6:24,48,Ryan Allen Turnover.,18,26
6:11,2426,Hasan Abdullah Turnover.,18,26
5:53,48,Kevin Anderson missed Three Point Jumper.,18,26
5:53,2426,Tom Lacey Defensive Rebound.,18,26
5:39,2426,Tom Lacey made Layup. Assisted by Shawn Anderson.,18,28
5:36,48,Delaware  Timeout,18,28
5:21,48,Darian Bryant Turnover.,18,28
5:08,2426,Tom Lacey Turnover.,18,28
5:07,48,Darian Bryant Steal.,18,28
5:03,48,Anthony Mosley made Layup.,20,28
4:34,2426,Hasan Abdullah Turnover.,20,28
4:33,48,Kevin Anderson Steal.,20,28
4:23,2426,Foul on Evan Wieck.,20,28
4:23,48,Anthony Mosley missed Free Throw.,20,28
4:23,48,Delaware Deadball Team Rebound.,20,28
4:23,48,Anthony Mosley missed Free Throw.,20,28
4:23,2426,Ryan Pearson Defensive Rebound.,20,28
4:10,48,Foul on Darian Bryant.,20,28
4:10,2426,Shawn Anderson made Free Throw.,20,29
4:10,2426,Shawn Anderson missed Free Throw.,20,29
4:10,48,Kevin Anderson Defensive Rebound.,20,29
3:52,48,Kevin Anderson made Jumper. Assisted by Anthony Mosley.,22,29
3:32,48,Foul on Ryan Daly.,22,29
3:32,2426,Official TV Timeout,22,29
3:32,2426,Tom Lacey made Free Throw.,22,30
3:32,2426,Tom Lacey missed Free Throw.,22,30
3:32,48,Derrick Woods Defensive Rebound.,22,30
3:20,48,Ryan Daly missed Jumper.,22,30
3:20,48,Delaware Offensive Rebound.,22,30
3:07,48,Derrick Woods Turnover.,22,30
3:07,48,Foul on Derrick Woods.,22,30
2:52,2426,Ryan Pearson made Three Point Jumper. Assisted by Shawn Anderson.,22,33
2:26,2426,Foul on Tom Lacey.,22,33
2:26,48,Derrick Woods made Free Throw.,23,33
2:26,48,Derrick Woods missed Free Throw.,23,33
2:26,2426,Tyler Riemersma Defensive Rebound.,23,33
2:07,2426,Shawn Anderson missed Jumper.,23,33
2:07,2426,Tyler Riemersma Offensive Rebound.,23,33
1:36,2426,Ryan Pearson missed Three Point Jumper.,23,33
1:36,2426,Mo Lewis Offensive Rebound.,23,33
1:34,2426,Navy  Turnover.,23,33
1:28,2426,Foul on Ryan Pearson.,23,33
1:28,48,Anthony Mosley made Free Throw.,24,33
1:28,48,Anthony Mosley made Free Throw.,25,33
1:15,2426,Bryce Dulin missed Jumper.,25,33
1:15,2426,Mo Lewis Offensive Rebound.,25,33
0:54,2426,Shawn Anderson made Layup.,25,35
0:38,48,Kevin Anderson made Layup.,27,35
0:29,2426,Navy  Timeout,27,35
0:09,2426,Nourse Fox missed Three Point Jumper.,27,35
0:09,48,Kevin Anderson Defensive Rebound.,27,35
0:01,48,Ryan Daly missed Three Point Jumper.,27,35
0:01,2426,Shawn Anderson Defensive Rebound.,27,35
0:00,2426,End of 1st half,27,35
19:49,2426,Shawn Anderson made Layup. Assisted by Tom Lacey.,27,37
19:37,2426,Foul on Evan Wieck.,27,37
19:28,48,Ryan Allen missed Jumper.,27,37
19:28,2426,Tom Lacey Defensive Rebound.,27,37
19:19,2426,Bryce Dulin made Three Point Jumper. Assisted by Tom Lacey.,27,40
19:08,48,Delaware  Timeout,27,40
18:49,48,Anthony Mosley missed Jumper.,27,40
18:49,48,Anthony Mosley Offensive Rebound.,27,40
18:46,48,Anthony Mosley missed Layup.,27,40
18:46,48,Anthony Mosley Offensive Rebound.,27,40
18:46,2426,Foul on Shawn Anderson.,27,40
18:46,48,Anthony Mosley missed Free Throw.,27,40
18:46,48,Delaware Deadball Team Rebound.,27,40
18:46,48,Anthony Mosley missed Free Throw.,27,40
18:46,2426,Shawn Anderson Defensive Rebound.,27,40
18:20,48,Foul on Kevin Anderson.,27,40
18:13,2426,Bryce Dulin missed Jumper.,27,40
18:13,48,Derrick Woods Defensive Rebound.,27,40
18:03,2426,Foul on Evan Wieck.,27,40
17:58,2426,Foul on Mo Lewis.,27,40
17:50,48,Ryan Allen missed Three Point Jumper.,27,40
17:50,2426,Mo Lewis Defensive Rebound.,27,40
17:48,48,Foul on Derrick Woods.,27,40
17:34,2426,Bryce Dulin missed Three Point Jumper.,27,40
17:34,2426,Bryce Dulin Offensive Rebound.,27,40
17:26,2426,Mo Lewis missed Jumper.,27,40
17:26,48,Derrick Woods Defensive Rebound.,27,40
17:19,48,Kevin Anderson Turnover.,27,40
17:05,2426,Bryce Dulin made Jumper.,27,42
16:43,2426,Foul on Mo Lewis.,27,42
16:30,48,Ryan Daly made Three Point Jumper. Assisted by Anthony Mosley.,30,42
16:10,48,Foul on Ryan Daly.,30,42
16:10,2426,Tom Lacey missed Free Throw.,30,42
16:10,2426,Navy Deadball Team Rebound.,30,42
16:10,2426,Tom Lacey made Free Throw.,30,43
15:55,48,Ryan Daly missed Jumper.,30,43
15:55,2426,Hasan Abdullah Defensive Rebound.,30,43
15:48,2426,Hasan Abdullah Turnover.,30,43
15:48,2426,Official TV Timeout,30,43
15:25,48,Anthony Mosley made Layup.,32,43
14:59,2426,Hasan Abdullah missed Layup.,32,43
14:59,48,Anthony Mosley Defensive Rebound.,32,43
14:53,48,Anthony Mosley made Layup.,34,43
14:53,2426,Foul on Shawn Anderson.,34,43
14:53,48,Anthony Mosley missed Free Throw.,34,43
14:53,2426,Tom Lacey Defensive Rebound.,34,43
14:43,2426,Bryce Dulin Turnover.,34,43
14:41,48,Ryan Daly Steal.,34,43
14:39,48,Ryan Allen made Layup. Assisted by Anthony Mosley.,36,43
14:39,2426,Foul on George Kiernan.,36,43
14:39,48,Ryan Allen made Free Throw.,37,43
14:25,48,Foul on Anthony Mosley.,37,43
14:15,2426,George Kiernan missed Three Point Jumper.,37,43
14:15,48,Anthony Mosley Defensive Rebound.,37,43
14:09,48,Ryan Daly made Three Point Jumper. Assisted by Anthony Mosley.,40,43
14:05,2426,Navy  Timeout,40,43
13:55,2426,Hasan Abdullah missed Jumper.,40,43
13:55,48,Ryan Allen Defensive Rebound.,40,43
13:44,48,Darian Bryant made Layup. Assisted by Kevin Anderson.,42,43
13:28,2426,George Kiernan Turnover.,42,43
13:28,2426,Foul on George Kiernan.,42,43
13:11,48,Kevin Anderson made Three Point Jumper. Assisted by Darian Bryant.,45,43
12:55,48,Foul on Kevin Anderson.,45,43
12:50,2426,Tom Lacey Turnover.,45,43
12:49,48,Ryan Daly Steal.,45,43
12:45,48,Anthony Mosley made Layup. Assisted by Ryan Allen.,47,43
12:15,2426,Cam Davis made Three Point Jumper. Assisted by Mo Lewis.,47,46
11:51,48,Anthony Mosley Turnover.,47,46
11:49,2426,Hasan Abdullah Steal.,47,46
11:43,48,Foul on Ryan Allen.,47,46
11:43,2426,Official TV Timeout,47,46
11:41,2426,Cam Davis made Three Point Jumper. Assisted by Hasan Abdullah.,47,49
11:21,48,Ryan Daly missed Three Point Jumper.,47,49
11:21,2426,Hasan Abdullah Defensive Rebound.,47,49
11:14,2426,Tom Lacey made Layup. Assisted by Hasan Abdullah.,47,51
10:55,48,Darian Bryant made Three Point Jumper. Assisted by Kevin Anderson.,50,51
10:33,2426,Shawn Anderson missed Jumper.,50,51
10:33,48,Ryan Allen Defensive Rebound.,50,51
10:22,48,Ryan Allen made Three Point Jumper. Assisted by Ryan Daly.,53,51
9:58,48,Foul on Anthony Mosley.,53,51
9:58,2426,Tom Lacey made Free Throw.,53,52
9:58,2426,Tom Lacey made Free Throw.,53,53
9:38,48,Kevin Anderson made Three Point Jumper. Assisted by Jacob Cushing.,56,53
9:15,48,Foul on Darian Bryant.,56,53
9:15,2426,Bryce Dulin made Free Throw.,56,54
9:15,2426,Bryce Dulin made Free Throw.,56,55
8:53,48,Ryan Daly Turnover.,56,55
8:37,48,Foul on Kevin Anderson.,56,55
8:37,2426,Shawn Anderson made Free Throw.,56,56
8:37,2426,Shawn Anderson made Free Throw.,56,57
8:12,48,Darian Bryant made Jumper.,58,57
7:51,48,Foul on Darian Bryant.,58,57
7:51,2426,Official TV Timeout,58,57
7:51,2426,Tyler Riemersma made Free Throw.,58,58
7:51,2426,Tyler Riemersma made Free Throw.,58,59
7:41,48,Ryan Daly missed Jumper.,58,59
7:41,2426,Tyler Riemersma Defensive Rebound.,58,59
7:33,2426,Bryce Dulin made Three Point Jumper. Assisted by Hasan Abdullah.,58,62
7:14,2426,Foul on Hasan Abdullah.,58,62
7:14,48,Ryan Allen missed Free Throw.,58,62
7:14,48,Delaware Deadball Team Rebound.,58,62
7:14,48,Ryan Allen made Free Throw.,59,62
7:00,2426,Hasan Abdullah missed Three Point Jumper.,59,62
7:00,2426,Shawn Anderson Offensive Rebound.,59,62
6:53,2426,Shawn Anderson made Layup.,59,64
6:44,2426,Foul on Bryce Dulin.,59,64
6:44,48,Anthony Mosley made Free Throw.,60,64
6:44,48,Anthony Mosley made Free Throw.,61,64
6:34,2426,Bryce Dulin made Three Point Jumper. Assisted by Shawn Anderson.,61,67
6:21,48,Delaware  Timeout,61,67
6:09,48,Ryan Daly made Layup.,63,67
5:43,2426,Hasan Abdullah made Three Point Jumper. Assisted by Shawn Anderson.,63,70
5:31,48,Ryan Allen missed Three Point Jumper.,63,70
5:31,2426,Hasan Abdullah Defensive Rebound.,63,70
5:02,2426,Shawn Anderson missed Layup.,63,70
5:02,48,Ryan Allen Defensive Rebound.,63,70
4:49,48,Kevin Anderson missed Layup.,63,70
4:49,2426,Tom Lacey Defensive Rebound.,63,70
4:32,48,Foul on Ryan Allen.,63,70
4:32,2426,Shawn Anderson missed Free Throw.,63,70
4:32,2426,Navy Deadball Team Rebound.,63,70
4:32,2426,Shawn Anderson made Free Throw.,63,71
4:22,48,Ryan Daly missed Jumper.,63,71
4:22,2426,Shawn Anderson Defensive Rebound.,63,71
3:56,48,Foul on Kevin Anderson.,63,71
3:56,2426,Official TV Timeout,63,71
3:56,2426,Hasan Abdullah missed Free Throw.,63,71
3:56,2426,Navy Deadball Team Rebound.,63,71
3:56,2426,Hasan Abdullah made Free Throw.,63,72
3:45,2426,Foul on Bryce Dulin.,63,72
3:45,48,Anthony Mosley made Free Throw.,64,72
3:45,48,Anthony Mosley made Free Throw.,65,72
3:27,2426,Hasan Abdullah missed Jumper.,65,72
3:27,48,Ryan Daly Defensive Rebound.,65,72
3:05,48,Ryan Allen made Layup.,67,72
2:26,2426,Cam Davis missed Three Point Jumper.,67,72
2:26,48,Ryan Daly Defensive Rebound.,67,72
2:15,48,Ryan Allen missed Jumper.,67,72
2:15,2426,Tom Lacey Defensive Rebound.,67,72
2:03,2426,Navy  Timeout,67,72
2:03,48,Foul on Ryan Allen.,67,72
2:03,2426,Hasan Abdullah made Free Throw.,67,73
2:03,2426,Hasan Abdullah missed Free Throw.,67,73
2:03,2426,Hasan Abdullah Offensive Rebound.,67,73
1:43,2426,Hasan Abdullah Turnover.,67,73
1:42,48,Ryan Daly Steal.,67,73
1:36,48,Jacob Cushing missed Three Point Jumper.,67,73
1:36,2426,Shawn Anderson Defensive Rebound.,67,73
1:04,2426,Hasan Abdullah missed Three Point Jumper.,67,73
1:04,2426,Tyler Riemersma Offensive Rebound.,67,73
1:00,48,Foul on Jacob Cushing.,67,73
0:59,2426,Tyler Riemersma missed Free Throw.,67,73
0:59,2426,Navy Deadball Team Rebound.,67,73
0:59,2426,Tyler Riemersma made Free Throw.,67,74
0:49,48,Anthony Mosley missed Jumper.,67,74
0:49,2426,Tyler Riemersma Defensive Rebound.,67,74
0:38,2426,Tom Lacey Turnover.,67,74
0:37,48,Anthony Mosley Steal.,67,74
0:33,48,Ryan Daly made Three Point Jumper. Assisted by Darian Bryant.,70,74
0:32,48,Delaware  Timeout,70,74
0:29,2426,Bryce Dulin made Layup. Assisted by Hasan Abdullah.,70,76
0:29,48,Foul on Anthony Mosley.,70,76
0:29,2426,Bryce Dulin made Free Throw.,70,77
0:21,48,Ryan Daly made Three Point Jumper.,73,77
0:19,48,Foul on Derrick Woods.,73,77
0:19,2426,Bryce Dulin made Free Throw.,73,78
0:19,2426,Bryce Dulin missed Free Throw.,73,78
0:19,48,Derrick Woods Defensive Rebound.,73,78
0:12,48,Ryan Daly missed Three Point Jumper.,73,78
0:12,2426,Navy Defensive Rebound.,73,78
0:10,48,Foul on Chyree Walker.,73,78
0:10,2426,Bryce Dulin made Free Throw.,73,79
0:10,2426,Bryce Dulin made Free Throw.,73,80
0:04,48,Darian Bryant made Three Point Jumper.,76,80
0:01,48,Foul on Ryan Daly.,76,80
0:01,2426,Shawn Anderson made Free Throw.,76,81
0:01,2426,Shawn Anderson made Free Throw.,76,82
0:00,2426,End of Game,76,82
