UMBC,349,Army,2378
8:57,349,Foul on Jacob Kessler.,27,30
8:48,2378,Brandon Horvath missed Three Point Jumper.,27,30
8:48,2378,Max Portmann Offensive Rebound.,27,30
8:42,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,30,30
8:33,349,Jacob Kessler missed Three Point Jumper.,30,30
8:33,2378,K.J. Maura Defensive Rebound.,30,30
8:24,349,Foul on Babacar Thiombane.,30,30
8:19,2378,Arkel Lamar missed Jumper.,30,30
8:19,2378,Brandon Horvath Offensive Rebound.,30,30
8:10,2378,Brandon Horvath Turnover.,30,30
7:49,349,Tucker Blackwell missed Three Point Jumper.,30,30
7:49,2378,Arkel Lamar Defensive Rebound.,30,30
7:41,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,33,30
7:29,349,Official TV Timeout,33,30
7:16,349,Jordan Fox made Three Point Jumper. Assisted by Thomas Funk.,33,33
6:58,2378,Arkel Lamar Turnover.,33,33
6:57,349,Tucker Blackwell Steal.,33,33
6:49,349,Thomas Funk Turnover.,33,33
6:48,2378,Joe Sherburne Steal.,33,33
6:32,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,36,33
6:23,349,Tucker Blackwell Turnover.,36,33
5:58,2378,Joe Sherburne missed Jumper.,36,33
5:58,349,Luke Morrison Defensive Rebound.,36,33
5:50,349,Jordan Fox made Layup.,36,35
5:24,349,Foul on Jordan Fox.,36,35
5:24,2378,K.J. Maura missed Free Throw.,36,35
5:24,349,Luke Morrison Defensive Rebound.,36,35
5:13,2378,Foul on Daniel Akin.,36,35
5:07,349,Matthew Wilson Turnover.,36,35
5:07,349,Foul on Matthew Wilson.,36,35
4:49,2378,Ishmail Jabbie missed Three Point Jumper.,36,35
4:49,2378,Daniel Akin Offensive Rebound.,36,35
4:26,2378,Daniel Akin made Layup. Assisted by Joe Sherburne.,38,35
4:19,349,Thomas Funk made Layup.,38,37
4:02,2378,K.J. Maura missed Jumper.,38,37
4:02,349,Matthew Wilson Defensive Rebound.,38,37
3:56,349,Matthew Wilson Turnover.,38,37
3:56,349,Official TV Timeout,38,37
3:35,2378,Jourdan Grant Turnover.,38,37
3:34,349,Jacob Kessler Steal.,38,37
3:29,349,Babacar Thiombane Turnover.,38,37
3:29,349,Foul on Babacar Thiombane.,38,37
3:07,2378,Arkel Lamar made Layup.,40,37
2:35,349,Babacar Thiombane made Layup.,40,39
2:23,2378,K.J. Maura missed Three Point Jumper.,40,39
2:23,349,John Emezie Defensive Rebound.,40,39
2:20,2378,Foul on Max Curran.,40,39
1:53,349,Thomas Funk made Jumper.,40,41
1:41,349,Foul on Matthew Wilson.,40,41
1:41,2378,Max Portmann missed Free Throw.,40,41
1:41,2378,UMBC Deadball Team Rebound.,40,41
1:41,2378,Max Portmann made Free Throw.,41,41
1:14,349,Thomas Funk missed Jumper.,41,41
1:14,2378,UMBC Defensive Rebound.,41,41
0:57,349,Foul on John Miller.,41,41
0:57,2378,Max Portmann made Free Throw.,42,41
0:57,2378,Max Portmann made Free Throw.,43,41
0:40,349,John Emezie missed Three Point Jumper.,43,41
0:39,2378,UMBC Defensive Rebound.,43,41
0:06,2378,Joe Sherburne missed Three Point Jumper.,43,41
0:05,349,Army Defensive Rebound.,43,41
0:00,349,End of 1st half,43,41
19:53,349,Jordan Fox made Three Point Jumper. Assisted by Thomas Funk.,43,44
19:22,2378,Max Curran missed Jumper.,43,44
19:22,2378,Joe Sherburne Offensive Rebound.,43,44
19:17,2378,Joe Sherburne missed Layup.,43,44
19:17,349,Thomas Funk Defensive Rebound.,43,44
19:09,349,Luke Morrison missed Three Point Jumper.,43,44
19:08,349,Thomas Funk Offensive Rebound.,43,44
19:05,349,Thomas Funk made Jumper.,43,46
19:00,2378,K.J. Maura Turnover.,43,46
18:48,349,Matthew Wilson missed Layup.,43,46
18:48,2378,Max Curran Block.,43,46
18:45,2378,Arkel Lamar Defensive Rebound.,43,46
18:40,2378,Max Curran made Three Point Jumper. Assisted by K.J. Maura.,46,46
18:15,2378,Foul on Joe Sherburne.,46,46
18:15,349,Jordan Fox made Free Throw.,46,47
18:15,349,Jordan Fox made Free Throw.,46,48
18:02,2378,K.J. Maura missed Three Point Jumper.,46,48
18:02,349,Thomas Funk Defensive Rebound.,46,48
17:53,349,Thomas Funk missed Layup.,46,48
17:53,2378,Max Curran Block.,46,48
17:53,349,Army Offensive Rebound.,46,48
17:52,349,Luke Morrison made Jumper. Assisted by Thomas Funk.,46,50
17:34,2378,K.J. Maura missed Layup.,46,50
17:34,349,Thomas Funk Block.,46,50
17:34,2378,UMBC Offensive Rebound.,46,50
17:22,2378,Jourdan Grant Turnover.,46,50
17:22,2378,Foul on Jourdan Grant.,46,50
17:03,349,Tucker Blackwell missed Jumper.,46,50
17:03,2378,Joe Sherburne Defensive Rebound.,46,50
16:49,349,Foul on John Emezie.,46,50
16:47,2378,Jourdan Grant made Layup.,48,50
16:37,349,Jordan Fox Turnover.,48,50
16:37,349,Foul on Jordan Fox.,48,50
16:21,349,Foul on Tucker Blackwell.,48,50
16:19,2378,Arkel Lamar made Layup.,50,50
15:58,349,John Emezie made Layup.,50,52
15:58,2378,Foul on Joe Sherburne.,50,52
15:58,349,Official TV Timeout,50,52
15:58,349,John Emezie missed Free Throw.,50,52
15:58,2378,Ishmail Jabbie Defensive Rebound.,50,52
15:42,2378,Arkel Lamar missed Jumper.,50,52
15:42,2378,Arkel Lamar Offensive Rebound.,50,52
15:38,2378,Arkel Lamar missed Layup.,50,52
15:38,2378,Arkel Lamar Offensive Rebound.,50,52
15:35,2378,Arkel Lamar missed Layup.,50,52
15:35,349,Army Defensive Rebound.,50,52
15:04,349,Jordan Fox missed Three Point Jumper.,50,52
15:04,2378,Jourdan Grant Defensive Rebound.,50,52
14:50,2378,K.J. Maura missed Three Point Jumper.,50,52
14:50,349,Luke Morrison Defensive Rebound.,50,52
14:42,349,Thomas Funk made Layup.,50,54
14:26,2378,Arkel Lamar missed Three Point Jumper.,50,54
14:26,349,Jordan Fox Defensive Rebound.,50,54
14:18,349,Jacob Kessler missed Three Point Jumper.,50,54
14:18,2378,UMBC Defensive Rebound.,50,54
13:58,349,Foul on Luke Morrison.,50,54
13:58,2378,Daniel Akin missed Free Throw.,50,54
13:58,2378,UMBC Deadball Team Rebound.,50,54
13:58,2378,Daniel Akin missed Free Throw.,50,54
13:58,349,Jacob Kessler Defensive Rebound.,50,54
13:43,349,Matthew Wilson Turnover.,50,54
13:26,2378,Jourdan Grant missed Three Point Jumper.,50,54
13:26,349,Luke Morrison Defensive Rebound.,50,54
13:15,349,Luke Morrison made Three Point Jumper. Assisted by Jordan Fox.,50,57
13:03,349,Foul on Tucker Blackwell.,50,57
12:58,349,Foul on Jacob Kessler.,50,57
12:50,2378,Arkel Lamar missed Jumper.,50,57
12:50,349,Jordan Fox Defensive Rebound.,50,57
12:32,349,Matthew Wilson made Layup. Assisted by Jacob Kessler.,50,59
12:26,349,Foul on Tucker Blackwell.,50,59
12:26,2378,K.J. Maura made Free Throw.,51,59
12:26,2378,K.J. Maura missed Free Throw.,51,59
12:26,2378,Ishmail Jabbie Offensive Rebound.,51,59
12:20,2378,Joe Sherburne missed Three Point Jumper.,51,59
12:20,349,Matthew Wilson Defensive Rebound.,51,59
12:08,349,Matthew Wilson missed Jumper.,51,59
12:08,2378,Joe Sherburne Defensive Rebound.,51,59
11:56,2378,Ishmail Jabbie Turnover.,51,59
11:56,2378,Foul on Ishmail Jabbie.,51,59
11:56,349,Official TV Timeout,51,59
11:35,2378,Foul on Max Portmann.,51,59
11:35,349,Matthew Wilson made Free Throw.,51,60
11:35,349,Matthew Wilson missed Free Throw.,51,60
11:35,2378,Arkel Lamar Defensive Rebound.,51,60
11:34,349,Foul on Alex King.,51,60
11:34,2378,Arkel Lamar made Free Throw.,52,60
11:34,2378,Arkel Lamar missed Free Throw.,52,60
11:34,349,Jacob Kessler Defensive Rebound.,52,60
11:13,349,Alex King made Jumper.,52,62
10:58,349,Foul on Alex King.,52,62
10:58,2378,Arkel Lamar made Free Throw.,53,62
10:58,2378,Arkel Lamar made Free Throw.,54,62
10:58,2378,Arkel Lamar made Free Throw.,55,62
10:42,349,Matthew Wilson made Layup.,55,64
10:20,2378,Joe Sherburne Turnover.,55,64
10:17,349,Thomas Funk Turnover.,55,64
10:17,349,Foul on Thomas Funk.,55,64
10:09,349,Foul on Matthew Wilson.,55,64
10:09,2378,Arkel Lamar missed Free Throw.,55,64
10:09,2378,UMBC Deadball Team Rebound.,55,64
10:09,2378,Arkel Lamar missed Free Throw.,55,64
10:09,349,Jacob Kessler Defensive Rebound.,55,64
9:45,349,Luke Morrison missed Three Point Jumper.,55,64
9:45,349,Matthew Wilson Offensive Rebound.,55,64
9:41,349,Matthew Wilson made Layup.,55,66
9:31,2378,Arkel Lamar made Three Point Jumper. Assisted by Joe Sherburne.,58,66
9:29,2378,UMBC  Timeout,58,66
9:29,349,Official TV Timeout,58,66
9:01,349,Thomas Funk missed Three Point Jumper.,58,66
9:01,2378,K.J. Maura Defensive Rebound.,58,66
8:32,2378,Max Portmann Turnover.,58,66
8:20,349,Thomas Funk Turnover.,58,66
7:53,349,Foul on Luke Morrison.,58,66
7:53,349,Official TV Timeout,58,66
7:53,2378,K.J. Maura made Free Throw.,59,66
7:53,2378,K.J. Maura missed Free Throw.,59,66
7:53,349,Army Defensive Rebound.,59,66
7:36,349,Thomas Funk made Layup.,59,68
7:13,2378,Max Portmann made Layup.,61,68
6:59,349,Jordan Fox Turnover.,61,68
6:38,2378,Max Portmann Turnover.,61,68
6:38,349,Tucker Blackwell Steal.,61,68
6:22,349,Matthew Wilson made Layup. Assisted by Thomas Funk.,61,70
6:06,2378,Jourdan Grant missed Layup.,61,70
6:06,349,John Emezie Block.,61,70
6:03,349,Alex King Defensive Rebound.,61,70
5:59,349,Thomas Funk missed Layup.,61,70
5:59,349,Army Offensive Rebound.,61,70
5:48,2378,Foul on Jourdan Grant.,61,70
5:48,2378,Technical Foul on Jourdan Grant.,61,70
5:48,2378,Foul on Jourdan Grant.,61,70
5:48,349,Alex King made Free Throw.,61,71
5:48,349,Alex King made Free Throw.,61,72
5:48,349,Tucker Blackwell missed Free Throw.,61,72
5:48,349,Army Deadball Team Rebound.,61,72
5:48,349,Tucker Blackwell missed Free Throw.,61,72
5:48,2378,Arkel Lamar Defensive Rebound.,61,72
5:31,2378,Arkel Lamar missed Three Point Jumper.,61,72
5:31,349,Army Defensive Rebound.,61,72
5:18,349,Jordan Fox missed Three Point Jumper.,61,72
5:18,2378,UMBC Defensive Rebound.,61,72
5:02,2378,Max Portmann made Three Point Jumper. Assisted by K.J. Maura.,64,72
4:44,349,Alex King missed Three Point Jumper.,64,72
4:44,349,Alex King Offensive Rebound.,64,72
4:40,349,Alex King made Layup.,64,74
4:27,2378,Joe Sherburne missed Three Point Jumper.,64,74
4:27,349,Matthew Wilson Defensive Rebound.,64,74
4:19,349,Thomas Funk made Layup.,64,76
4:19,2378,Foul on Max Portmann.,64,76
4:19,349,Thomas Funk made Free Throw.,64,77
4:08,2378,Ishmail Jabbie missed Three Point Jumper.,64,77
4:08,349,John Emezie Defensive Rebound.,64,77
3:44,349,Jacob Kessler missed Jumper.,64,77
3:44,349,Jacob Kessler Offensive Rebound.,64,77
3:16,2378,Foul on Daniel Akin.,64,77
3:16,349,Official TV Timeout,64,77
3:16,349,Matthew Wilson missed Free Throw.,64,77
3:16,349,Army Deadball Team Rebound.,64,77
3:16,349,Matthew Wilson made Free Throw.,64,78
3:16,2378,Max Curran Turnover.,64,78
2:51,349,Jordan Fox Turnover.,64,78
2:37,2378,Josh Rosario missed Three Point Jumper.,64,78
2:37,349,Jordan Fox Defensive Rebound.,64,78
2:23,349,Jordan Fox Turnover.,64,78
2:01,2378,Max Curran Turnover.,64,78
1:40,349,John Emezie Turnover.,64,78
1:39,2378,Josh Rosario Steal.,64,78
1:35,349,Foul on Jacob Kessler.,64,78
1:35,2378,Ishmail Jabbie made Free Throw.,65,78
1:35,2378,Ishmail Jabbie made Free Throw.,66,78
1:23,349,Jordan Fox missed Jumper.,66,78
1:23,2378,Ishmail Jabbie Defensive Rebound.,66,78
1:14,349,Foul on Luke Morrison.,66,78
1:14,349,Army  Timeout,66,78
1:14,2378,Ishmail Jabbie made Free Throw.,67,78
1:14,2378,Ishmail Jabbie made Free Throw.,68,78
1:07,349,Lonnie Grayson Turnover.,68,78
1:05,2378,Josh Rosario Turnover.,68,78
0:42,349,John Emezie made Three Point Jumper. Assisted by Lonnie Grayson.,68,81
0:27,2378,Josh Rosario missed Layup.,68,81
0:27,2378,Daniel Akin Offensive Rebound.,68,81
0:25,2378,Daniel Akin made Two Point Tip Shot.,70,81
