VMI,2168,Dayton,2678
3:55,2168,Xeyrius Williams made Three Point Jumper. Assisted by John Crosby.,22,40
3:36,2168,Foul on Xeyrius Williams.,22,40
3:36,2168,Official TV Timeout,22,40
3:25,2168,Foul on Kendall Pollard.,22,40
3:25,2678,Fred Iruafemi made Free Throw.,23,40
3:25,2678,Fred Iruafemi missed Free Throw.,23,40
3:25,2168,Ryan Mikesell Defensive Rebound.,23,40
3:12,2168,Scoochie Smith missed Three Point Jumper.,23,40
3:12,2678,Fred Iruafemi Defensive Rebound.,23,40
3:03,2168,Foul on John Crosby.,23,40
3:03,2678,Adrian Rich made Free Throw.,24,40
3:03,2678,Adrian Rich made Free Throw.,25,40
2:39,2678,Foul on Fred Iruafemi.,25,40
2:39,2168,Scoochie Smith made Free Throw.,25,41
2:39,2168,Scoochie Smith made Free Throw.,25,42
2:30,2678,QJ Peterson missed Three Point Jumper.,25,42
2:30,2168,Ryan Mikesell Defensive Rebound.,25,42
2:21,2168,Kyle Davis missed Three Point Jumper.,25,42
2:21,2678,QJ Peterson Defensive Rebound.,25,42
2:10,2678,QJ Peterson Turnover.,25,42
2:10,2168,Kyle Davis Steal.,25,42
2:07,2168,Kyle Davis made Layup.,25,44
2:06,2678,Foul on QJ Peterson.,25,44
2:06,2168,Kyle Davis missed Free Throw.,25,44
2:06,2678,Tyler Creammer Defensive Rebound.,25,44
1:57,2678,Tyler Creammer missed Jumper.,25,44
1:57,2168,Scoochie Smith Defensive Rebound.,25,44
1:45,2168,John Crosby made Three Point Jumper. Assisted by Scoochie Smith.,25,47
1:26,2168,Foul on Ryan Mikesell.,25,47
1:26,2678,Austin Vereen made Free Throw.,26,47
1:26,2678,Austin Vereen made Free Throw.,27,47
1:21,2168,John Crosby missed Jumper.,27,47
1:21,2678,Tyler Creammer Defensive Rebound.,27,47
1:04,2678,QJ Peterson Turnover.,27,47
1:04,2168,Kyle Davis Steal.,27,47
0:46,2168,Scoochie Smith Turnover.,27,47
0:31,2678,Adrian Rich made Jumper.,29,47
0:07,2168,Trey Landers Turnover.,29,47
0:05,2678,Tyler Creammer Steal.,29,47
0:00,2678,QJ Peterson missed Three Point Jumper.,29,47
0:00,2168,Dayton Defensive Rebound.,29,47
0:00,2168,End of 1st half,29,47
19:39,2678,Adrian Rich Turnover.,29,47
19:39,2168,Kendall Pollard Steal.,29,47
19:28,2168,Scoochie Smith made Three Point Jumper. Assisted by Kyle Davis.,29,50
18:56,2678,Trey Chapman made Jumper. Assisted by Julian Eleby.,31,50
18:23,2168,Kendall Pollard missed Jumper.,31,50
18:23,2678,Julian Eleby Defensive Rebound.,31,50
18:08,2678,Trey Chapman missed Jumper.,31,50
18:08,2168,Kendall Pollard Defensive Rebound.,31,50
17:55,2168,Ryan Mikesell made Three Point Jumper. Assisted by Darrell Davis.,31,53
17:32,2678,Adrian Rich missed Three Point Jumper.,31,53
17:32,2168,Scoochie Smith Defensive Rebound.,31,53
17:20,2168,Darrell Davis missed Three Point Jumper.,31,53
17:20,2678,QJ Peterson Defensive Rebound.,31,53
17:10,2168,Foul on Scoochie Smith.,31,53
17:00,2678,Julian Eleby missed Jumper.,31,53
17:00,2168,Xeyrius Williams Defensive Rebound.,31,53
16:54,2168,Scoochie Smith missed Three Point Jumper.,31,53
16:54,2678,QJ Peterson Defensive Rebound.,31,53
16:25,2678,Julian Eleby Turnover.,31,53
16:14,2168,Kyle Davis made Three Point Jumper. Assisted by Kendall Pollard.,31,56
15:39,2678,Julian Eleby Turnover.,31,56
15:38,2168,Kendall Pollard Steal.,31,56
15:36,2168,Kendall Pollard made Dunk. Assisted by Darrell Davis.,31,58
15:35,2678,VMI  Timeout,31,58
15:10,2678,Adrian Rich made Layup.,33,58
15:00,2168,Darrell Davis missed Three Point Jumper.,33,58
15:00,2678,Fred Iruafemi Defensive Rebound.,33,58
14:38,2678,Trey Chapman made Three Point Jumper. Assisted by QJ Peterson.,36,58
14:29,2168,Xeyrius Williams Turnover.,36,58
14:29,2168,Official TV Timeout,36,58
13:59,2678,Adrian Rich missed Three Point Jumper.,36,58
13:59,2168,Ryan Mikesell Defensive Rebound.,36,58
13:51,2678,Foul on Fred Iruafemi.,36,58
13:42,2168,Sam Miller made Layup. Assisted by John Crosby.,36,60
13:25,2678,QJ Peterson missed Three Point Jumper.,36,60
13:25,2168,Kyle Davis Defensive Rebound.,36,60
13:13,2168,Darrell Davis made Layup.,36,62
12:59,2168,Foul on Darrell Davis.,36,62
12:49,2678,QJ Peterson missed Three Point Jumper.,36,62
12:49,2678,Garrett Gilkeson Offensive Rebound.,36,62
12:34,2678,Garrett Gilkeson made Three Point Jumper. Assisted by Adrian Rich.,39,62
12:15,2168,Sam Miller made Jumper. Assisted by Kendall Pollard.,39,64
12:06,2168,Foul on Kendall Pollard.,39,64
12:06,2678,Trey Chapman made Free Throw.,40,64
12:06,2678,Trey Chapman made Free Throw.,41,64
12:00,2168,Kyle Davis missed Jumper.,41,64
11:59,2678,Garrett Gilkeson Block.,41,64
11:58,2168,Dayton Offensive Rebound.,41,64
11:58,2168,Official TV Timeout,41,64
11:45,2168,Sam Miller made Jumper. Assisted by Kendall Pollard.,41,66
11:17,2678,Keith Smith missed Jumper.,41,66
11:17,2168,Kyle Davis Defensive Rebound.,41,66
10:56,2168,Kyle Davis Turnover.,41,66
10:53,2678,Keith Smith Steal.,41,66
10:44,2678,Foul on Fred Iruafemi.,41,66
10:44,2678,Fred Iruafemi Turnover.,41,66
10:28,2678,Foul on Will Miller.,41,66
10:24,2168,Kendall Pollard missed Layup.,41,66
10:24,2678,QJ Peterson Defensive Rebound.,41,66
10:10,2678,Armani Branch made Layup. Assisted by Keith Smith.,43,66
9:52,2168,Scoochie Smith made Jumper.,43,68
9:34,2678,Will Miller missed Jumper.,43,68
9:34,2168,Scoochie Smith Defensive Rebound.,43,68
9:29,2678,Foul on Keith Smith.,43,68
9:25,2168,John Crosby made Jumper. Assisted by Darrell Davis.,43,70
9:10,2678,QJ Peterson made Layup.,45,70
8:49,2168,Xeyrius Williams missed Three Point Jumper.,45,70
8:49,2678,Keith Smith Defensive Rebound.,45,70
8:27,2678,Keith Smith Turnover.,45,70
8:26,2168,Kyle Davis Steal.,45,70
8:22,2168,Kyle Davis made Layup.,45,72
7:57,2678,QJ Peterson missed Jumper.,45,72
7:57,2168,Xeyrius Williams Defensive Rebound.,45,72
7:43,2168,Darrell Davis missed Three Point Jumper.,45,72
7:43,2678,Armani Branch Defensive Rebound.,45,72
7:12,2678,Trey Chapman missed Three Point Jumper.,45,72
7:12,2168,Ryan Mikesell Defensive Rebound.,45,72
7:04,2168,John Crosby made Three Point Jumper.,45,75
6:52,2678,Keith Smith Turnover.,45,75
6:50,2168,Kyle Davis Steal.,45,75
6:49,2168,Kyle Davis made Layup.,45,77
6:47,2678,VMI  Timeout,45,77
6:29,2678,QJ Peterson Turnover.,45,77
6:27,2168,Darrell Davis Steal.,45,77
6:08,2168,Darrell Davis missed Jumper.,45,77
6:08,2168,Trey Landers Offensive Rebound.,45,77
5:50,2678,Foul on Adrian Rich.,45,77
5:45,2168,Darrell Davis Turnover.,45,77
5:29,2678,Julian Eleby made Three Point Jumper. Assisted by Adrian Rich.,48,77
5:07,2168,Ryan Mikesell made Three Point Jumper. Assisted by Trey Landers.,48,80
4:50,2678,QJ Peterson missed Three Point Jumper.,48,80
4:50,2168,Xeyrius Williams Defensive Rebound.,48,80
4:42,2168,John Crosby missed Jumper.,48,80
4:42,2678,Trey Chapman Defensive Rebound.,48,80
4:31,2168,Foul on Xeyrius Williams.,48,80
4:31,2678,Armani Branch made Free Throw.,49,80
4:31,2678,Armani Branch missed Free Throw.,49,80
4:31,2168,Trey Landers Defensive Rebound.,49,80
4:00,2168,Trey Landers made Three Point Jumper. Assisted by John Crosby.,49,83
3:41,2168,Foul on Ryan Mikesell.,49,83
3:41,2168,Official TV Timeout,49,83
3:41,2678,Trey Chapman made Free Throw.,50,83
3:41,2678,Trey Chapman made Free Throw.,51,83
3:25,2168,Darrell Davis made Three Point Jumper. Assisted by John Crosby.,51,86
3:05,2678,QJ Peterson made Three Point Jumper. Assisted by Julian Eleby.,54,86
2:42,2168,Ryan Mikesell missed Jumper.,54,86
2:42,2678,Armani Branch Block.,54,86
2:39,2168,Ryan Mikesell Offensive Rebound.,54,86
2:29,2168,Sam Miller made Dunk. Assisted by John Crosby.,54,88
2:09,2678,Armani Branch made Jumper.,56,88
2:07,2168,Foul on Sam Miller.,56,88
2:07,2678,Armani Branch missed Free Throw.,56,88
2:07,2168,Trey Landers Defensive Rebound.,56,88
1:49,2168,Sam Miller made Three Point Jumper. Assisted by John Crosby.,56,91
1:22,2678,Trey Chapman missed Layup.,56,91
1:21,2168,Trey Landers Block.,56,91
1:20,2168,Sam Miller Defensive Rebound.,56,91
1:13,2678,Foul on Garrett Gilkeson.,56,91
1:13,2168,Trey Landers missed Free Throw.,56,91
1:13,2168,Dayton Deadball Team Rebound.,56,91
1:13,2168,Trey Landers made Free Throw.,56,92
1:08,2678,Austin Vereen missed Three Point Jumper.,56,92
1:08,2168,Sam Miller Defensive Rebound.,56,92
0:46,2168,Jack Westerfield missed Three Point Jumper.,56,92
0:46,2678,Will Miller Defensive Rebound.,56,92
0:14,2678,Garrett Gilkeson missed Three Point Jumper.,56,92
0:13,2168,Dayton Defensive Rebound.,56,92
0:00,2168,End of Game,56,92
