Northern Kentucky,277,West Virginia,94
7:09,277,Jevon Carter Steal.,21,23
7:02,277,Teyvon Myers missed Three Point Jumper.,21,23
7:02,277,Nathan Adrian Offensive Rebound.,21,23
7:00,94,Foul on Drew McDonald.,21,23
7:00,277,Nathan Adrian made Free Throw.,21,24
7:00,277,Nathan Adrian missed Free Throw.,21,24
7:00,94,Mason Faulkner Defensive Rebound.,21,24
6:42,94,Lavone Holland II made Layup.,23,24
6:42,277,Foul on Esa Ahmad.,23,24
6:42,94,Lavone Holland II made Free Throw.,24,24
6:23,277,Jevon Carter missed Jumper.,24,24
6:23,277,Nathan Adrian Offensive Rebound.,24,24
6:14,277,Nathan Adrian missed Layup.,24,24
6:14,277,Nathan Adrian Offensive Rebound.,24,24
6:08,277,Nathan Adrian made Layup.,24,26
5:47,94,Lavone Holland II missed Three Point Jumper.,24,26
5:47,277,Jevon Carter Defensive Rebound.,24,26
5:41,277,Elijah Macon Turnover.,24,26
5:41,94,Lavone Holland II Steal.,24,26
5:34,94,Carson Williams Turnover.,24,26
5:24,277,Elijah Macon missed Jumper.,24,26
5:24,94,Jordan Garnett Defensive Rebound.,24,26
5:18,94,Jump Ball won by Northern Kentucky,24,26
4:56,94,Brennan Gillis Turnover.,24,26
4:56,277,Tarik Phillip Steal.,24,26
4:34,94,Foul on Cole Murray.,24,26
4:34,277,Esa Ahmad missed Free Throw.,24,26
4:34,277,West Virginia Deadball Team Rebound.,24,26
4:34,277,Esa Ahmad made Free Throw.,24,27
4:14,94,Lavone Holland II missed Three Point Jumper.,24,27
4:14,94,Drew McDonald Offensive Rebound.,24,27
4:08,94,Lavone Holland II Turnover.,24,27
4:08,277,Nathan Adrian Steal.,24,27
4:01,277,Tarik Phillip missed Jumper.,24,27
4:01,94,Drew McDonald Block.,24,27
4:01,94,Mason Faulkner Defensive Rebound.,24,27
4:01,94,Mason Faulkner Turnover.,24,27
4:01,277,Teyvon Myers Steal.,24,27
3:48,277,Sagaba Konate made Layup. Assisted by Teyvon Myers.,24,29
3:48,94,Jordan Garnett made Layup.,26,29
3:40,277,Foul on Nathan Adrian.,26,29
3:40,277,Official TV Timeout,26,29
3:40,94,Jordan Garnett missed Free Throw.,26,29
3:40,277,Sagaba Konate Defensive Rebound.,26,29
3:16,277,Tarik Phillip missed Jumper.,26,29
3:16,277,Sagaba Konate Offensive Rebound.,26,29
3:08,277,Sagaba Konate made Layup.,26,31
2:50,94,Blake Spellman Turnover.,26,31
2:50,277,Tarik Phillip Steal.,26,31
2:50,277,Tarik Phillip Turnover.,26,31
2:50,94,Blake Spellman Steal.,26,31
2:50,94,Carson Williams missed Layup.,26,31
2:50,277,Sagaba Konate Block.,26,31
2:50,94,Carson Williams Offensive Rebound.,26,31
2:50,94,Carson Williams missed Layup.,26,31
2:50,277,Sagaba Konate Block.,26,31
2:50,94,Brennan Gillis Offensive Rebound.,26,31
2:35,94,Brennan Gillis made Layup.,28,31
2:29,277,Teyvon Myers missed Layup.,28,31
2:29,94,Blake Spellman Defensive Rebound.,28,31
2:25,277,Foul on Tarik Phillip.,28,31
2:25,94,Brennan Gillis missed Free Throw.,28,31
2:25,94,Northern Kentucky Deadball Team Rebound.,28,31
2:25,94,Brennan Gillis made Free Throw.,29,31
1:57,277,Jevon Carter made Three Point Jumper. Assisted by Nathan Adrian.,29,34
1:31,94,Northern Kentucky  Timeout,29,34
1:21,94,Jordan Garnett missed Three Point Jumper.,29,34
1:21,277,Brandon Watkins Defensive Rebound.,29,34
1:03,94,Foul on Dantez Walton.,29,34
1:03,277,Daxter Miles Jr. made Free Throw.,29,35
1:03,277,Daxter Miles Jr. made Free Throw.,29,36
0:48,94,Mason Faulkner missed Three Point Jumper.,29,36
0:48,277,Nathan Adrian Defensive Rebound.,29,36
0:39,277,Nathan Adrian missed Three Point Jumper.,29,36
0:39,94,Mason Faulkner Defensive Rebound.,29,36
0:24,94,Dantez Walton missed Three Point Jumper.,29,36
0:24,94,Drew McDonald Offensive Rebound.,29,36
0:02,94,Lavone Holland II missed Three Point Jumper.,29,36
0:02,277,Brandon Watkins Defensive Rebound.,29,36
0:00,277,End of 1st half,29,36
20:00,277,Jump Ball won by West Virginia,29,36
19:40,277,Brandon Watkins made Jumper. Assisted by Jevon Carter.,29,38
19:18,94,Cole Murray missed Three Point Jumper.,29,38
19:18,277,Esa Ahmad Defensive Rebound.,29,38
19:06,94,Foul on Carson Williams.,29,38
18:58,277,Brandon Watkins missed Jumper.,29,38
18:58,94,Drew McDonald Defensive Rebound.,29,38
18:46,94,Jordan Garnett made Layup.,31,38
18:24,277,Esa Ahmad made Jumper.,31,40
18:03,94,Drew McDonald Turnover.,31,40
18:03,277,Jevon Carter Steal.,31,40
17:57,277,Esa Ahmad made Layup. Assisted by Jevon Carter.,31,42
17:32,94,Drew McDonald Turnover.,31,42
17:32,277,Jevon Carter Steal.,31,42
17:32,277,Jevon Carter Turnover.,31,42
17:11,94,Carson Williams missed Jumper.,31,42
17:11,94,Jordan Garnett Offensive Rebound.,31,42
17:06,94,Jordan Garnett Turnover.,31,42
17:06,277,Nathan Adrian Steal.,31,42
17:03,277,Nathan Adrian made Layup.,31,44
16:43,94,Drew McDonald missed Layup.,31,44
16:43,277,Brandon Watkins Block.,31,44
16:43,277,Jevon Carter Defensive Rebound.,31,44
16:37,277,Tarik Phillip made Layup.,31,46
16:37,94,Technical Foul on Northern Kentucky.,31,46
16:37,277,Nathan Adrian made Free Throw.,31,47
16:37,277,Nathan Adrian made Free Throw.,31,48
16:32,277,Foul on Esa Ahmad.,31,48
16:32,94,Carson Williams made Free Throw.,32,48
16:32,94,Carson Williams made Free Throw.,33,48
16:19,277,Nathan Adrian missed Three Point Jumper.,33,48
16:19,277,Jevon Carter Offensive Rebound.,33,48
16:06,277,Nathan Adrian made Layup. Assisted by Esa Ahmad.,33,50
15:44,94,Drew McDonald missed Three Point Jumper.,33,50
15:44,94,Jordan Garnett Offensive Rebound.,33,50
15:40,94,Jordan Garnett missed Layup.,33,50
15:40,277,Esa Ahmad Block.,33,50
15:40,94,Northern Kentucky Offensive Rebound.,33,50
15:38,277,Official TV Timeout,33,50
15:29,94,Carson Williams made Layup.,35,50
15:29,277,Foul on Jevon Carter.,35,50
15:29,94,Carson Williams missed Free Throw.,35,50
15:29,277,Nathan Adrian Defensive Rebound.,35,50
15:14,277,Foul on Elijah Macon.,35,50
15:14,277,Elijah Macon Turnover.,35,50
15:14,277,Foul on Teyvon Myers.,35,50
14:54,277,Foul on Elijah Macon.,35,50
14:46,277,Foul on Tarik Phillip.,35,50
14:46,94,Jeff Garrett missed Free Throw.,35,50
14:46,94,Northern Kentucky Deadball Team Rebound.,35,50
14:46,94,Jeff Garrett missed Free Throw.,35,50
14:46,277,Brandon Watkins Defensive Rebound.,35,50
14:40,277,Teyvon Myers made Layup.,35,52
14:16,94,Brennan Gillis made Jumper.,37,52
13:56,277,Brandon Watkins missed Jumper.,37,52
13:56,277,Nathan Adrian Offensive Rebound.,37,52
13:55,94,Foul on Cole Murray.,37,52
13:52,277,Nathan Adrian missed Jumper.,37,52
13:52,94,Lavone Holland II Defensive Rebound.,37,52
13:43,94,Jeff Garrett made Layup.,39,52
13:31,277,Teyvon Myers made Jumper.,39,54
13:03,94,Lavone Holland II Turnover.,39,54
12:49,94,Foul on Mason Faulkner.,39,54
12:49,277,Teyvon Myers made Free Throw.,39,55
12:49,277,Teyvon Myers made Free Throw.,39,56
12:45,94,Jeff Garrett made Dunk. Assisted by Mason Faulkner.,41,56
12:33,277,Teyvon Myers missed Jumper.,41,56
12:33,94,Drew McDonald Defensive Rebound.,41,56
12:23,94,Jordan Garnett missed Layup.,41,56
12:23,277,Brandon Watkins Block.,41,56
12:23,94,Drew McDonald Offensive Rebound.,41,56
12:16,94,Drew McDonald Turnover.,41,56
12:16,277,Daxter Miles Jr. Steal.,41,56
12:11,94,Foul on Mason Faulkner.,41,56
12:11,94,Technical Foul on Mason Faulkner.,41,56
12:11,277,Teyvon Myers made Free Throw.,41,57
12:11,277,Teyvon Myers made Free Throw.,41,58
12:09,277,Esa Ahmad made Layup.,41,60
11:42,277,Foul on Brandon Watkins.,41,60
11:42,277,Official TV Timeout,41,60
11:42,94,Jeff Garrett missed Free Throw.,41,60
11:42,277,Jevon Carter Defensive Rebound.,41,60
11:29,277,Lamont West missed Three Point Jumper.,41,60
11:29,94,Northern Kentucky Defensive Rebound.,41,60
11:21,94,Drew McDonald Turnover.,41,60
11:10,277,Esa Ahmad Turnover.,41,60
10:54,94,Northern Kentucky  Timeout,41,60
10:45,94,Brennan Gillis made Jumper.,43,60
10:28,94,Foul on Lavone Holland II.,43,60
10:11,277,Tarik Phillip made Three Point Jumper. Assisted by Lamont West.,43,63
9:58,277,Foul on Daxter Miles Jr..,43,63
9:58,94,Mason Faulkner made Free Throw.,44,63
9:58,94,Mason Faulkner made Free Throw.,45,63
9:47,277,Tarik Phillip missed Three Point Jumper.,45,63
9:47,94,Brennan Gillis Defensive Rebound.,45,63
9:39,277,Foul on Lamont West.,45,63
9:39,94,Mason Faulkner made Free Throw.,46,63
9:39,94,Mason Faulkner made Free Throw.,47,63
9:21,277,Brandon Watkins missed Jumper.,47,63
9:21,94,Mason Faulkner Defensive Rebound.,47,63
9:09,94,Carson Williams missed Layup.,47,63
9:09,277,Brandon Watkins Block.,47,63
9:09,277,Brandon Watkins Defensive Rebound.,47,63
9:01,277,Brandon Watkins made Layup. Assisted by Jevon Carter.,47,65
9:01,94,Foul on Brennan Gillis.,47,65
9:01,277,Brandon Watkins missed Free Throw.,47,65
9:01,94,Carson Williams Defensive Rebound.,47,65
8:53,94,Jordan Garnett Turnover.,47,65
8:53,277,Daxter Miles Jr. Steal.,47,65
8:46,277,Daxter Miles Jr. made Dunk.,47,67
8:26,94,Jordan Garnett made Layup.,49,67
8:26,277,Foul on Brandon Watkins.,49,67
8:26,94,Jordan Garnett made Free Throw.,50,67
8:16,277,Daxter Miles Jr. missed Three Point Jumper.,50,67
8:16,94,Jordan Garnett Defensive Rebound.,50,67
8:08,94,Cole Murray missed Three Point Jumper.,50,67
8:08,277,Jevon Carter Defensive Rebound.,50,67
8:05,94,Foul on Jordan Garnett.,50,67
8:05,277,Jevon Carter missed Free Throw.,50,67
8:05,94,Carson Williams Defensive Rebound.,50,67
7:43,277,Foul on Daxter Miles Jr..,50,67
7:43,277,Official TV Timeout,50,67
7:43,94,Brennan Gillis made Free Throw.,51,67
7:43,94,Brennan Gillis made Free Throw.,52,67
7:33,277,Brandon Watkins Turnover.,52,67
7:33,94,Cole Murray Steal.,52,67
7:23,94,Cole Murray missed Three Point Jumper.,52,67
7:23,277,Brandon Watkins Defensive Rebound.,52,67
7:04,94,Foul on Cole Murray.,52,67
7:04,277,Brandon Watkins missed Free Throw.,52,67
7:04,277,West Virginia Deadball Team Rebound.,52,67
7:04,277,Brandon Watkins missed Free Throw.,52,67
7:04,94,Mason Faulkner Defensive Rebound.,52,67
6:56,94,Foul on Brennan Gillis.,52,67
6:56,94,Brennan Gillis Turnover.,52,67
6:56,277,Jevon Carter Steal.,52,67
6:56,277,Brandon Watkins made Free Throw.,52,68
6:56,277,Brandon Watkins made Free Throw.,52,69
6:49,277,Foul on Jevon Carter.,52,69
6:49,94,Mason Faulkner made Free Throw.,53,69
6:49,94,Mason Faulkner missed Free Throw.,53,69
6:49,277,Elijah Macon Defensive Rebound.,53,69
6:25,277,Elijah Macon made Jumper. Assisted by Nathan Adrian.,53,71
6:16,94,Jordan Garnett Turnover.,53,71
6:16,277,Daxter Miles Jr. Steal.,53,71
6:01,94,Foul on Mason Faulkner.,53,71
6:01,277,Jevon Carter made Free Throw.,53,72
6:01,277,Jevon Carter made Free Throw.,53,73
5:59,94,Jordan Garnett Turnover.,53,73
5:59,277,Esa Ahmad Steal.,53,73
5:46,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,53,76
5:21,277,Foul on Daxter Miles Jr..,53,76
5:21,94,Lavone Holland II made Free Throw.,54,76
5:21,94,Lavone Holland II made Free Throw.,55,76
5:03,277,Tarik Phillip made Three Point Jumper. Assisted by Nathan Adrian.,55,79
4:34,94,Jump Ball won by Northern Kentucky,55,79
4:28,94,Lavone Holland II missed Three Point Jumper.,55,79
4:28,277,Elijah Macon Defensive Rebound.,55,79
4:25,94,Foul on Brennan Gillis.,55,79
4:25,94,Northern Kentucky  Timeout,55,79
4:25,277,Elijah Macon made Free Throw.,55,80
4:25,277,Elijah Macon missed Free Throw.,55,80
4:25,277,Jevon Carter Offensive Rebound.,55,80
4:13,277,Esa Ahmad made Layup. Assisted by Tarik Phillip.,55,82
4:00,94,Brandon Maxwell missed Three Point Jumper.,55,82
4:00,94,Brennan Gillis Offensive Rebound.,55,82
3:50,277,Foul on Sagaba Konate.,55,82
3:50,94,Brennan Gillis missed Free Throw.,55,82
3:50,94,Northern Kentucky Deadball Team Rebound.,55,82
3:50,94,Brennan Gillis made Free Throw.,56,82
3:45,94,Foul on Tre Cobbs.,56,82
3:45,277,Esa Ahmad missed Free Throw.,56,82
3:45,277,West Virginia Deadball Team Rebound.,56,82
3:45,277,Esa Ahmad made Free Throw.,56,83
3:37,277,Foul on Teyvon Myers.,56,83
3:37,94,Tre Cobbs missed Free Throw.,56,83
3:37,94,Northern Kentucky Deadball Team Rebound.,56,83
3:37,94,Tre Cobbs made Free Throw.,57,83
3:33,277,Sagaba Konate made Dunk.,57,85
3:19,94,Tre Cobbs missed Layup.,57,85
3:19,277,Sagaba Konate Block.,57,85
3:19,94,Northern Kentucky Offensive Rebound.,57,85
3:13,94,Jeff Garrett made Dunk.,59,85
3:01,277,Jevon Carter made Layup.,59,87
2:45,277,Foul on James Long.,59,87
2:45,94,Tre Cobbs made Free Throw.,60,87
2:45,94,Tre Cobbs made Free Throw.,61,87
2:44,94,Foul on Tre Cobbs.,61,87
2:44,277,James Bolden made Free Throw.,61,88
2:44,277,James Bolden made Free Throw.,61,89
2:33,94,Tre Cobbs Turnover.,61,89
2:33,277,James Long Steal.,61,89
2:33,277,Jump Ball won by West Virginia,61,89
2:17,94,Foul on Jeff Garrett.,61,89
2:17,277,Maciej Bender missed Free Throw.,61,89
2:17,277,West Virginia Deadball Team Rebound.,61,89
2:17,277,Maciej Bender made Free Throw.,61,90
2:00,94,Jeff Garrett missed Jumper.,61,90
2:00,277,James Long Defensive Rebound.,61,90
1:45,94,Foul on Dantez Walton.,61,90
1:45,277,Lamont West made Free Throw.,61,91
1:45,277,Lamont West made Free Throw.,61,92
1:21,94,Brennan Gillis Turnover.,61,92
1:21,277,James Bolden Steal.,61,92
1:16,277,James Long missed Three Point Jumper.,61,92
1:16,94,Jeff Garrett Defensive Rebound.,61,92
1:07,94,Brandon Maxwell Turnover.,61,92
1:07,277,Chase Harler Steal.,61,92
0:45,277,James Bolden missed Layup.,61,92
0:45,94,Jeff Garrett Defensive Rebound.,61,92
0:37,94,Jeff Garrett missed Layup.,61,92
0:37,94,Jordan Garnett Offensive Rebound.,61,92
0:26,94,Brennan Gillis missed Jumper.,61,92
0:26,277,Maciej Bender Defensive Rebound.,61,92
0:00,277,End of Game,61,92
