Grace College,Error,Radford,2515
5:07,-1,Jaret Sons made Free Throw.,54,72
5:07,-1,Jaret Sons missed Free Throw.,54,72
5:07,2515,Christian Lutete Defensive Rebound.,54,72
4:59,2515,Ed Polite Jr. made Layup. Assisted by Christian Lutete.,54,74
4:33,-1,John Swanson missed Jumper.,54,74
4:33,2515,Christian Lutete Defensive Rebound.,54,74
4:04,2515,Christian Bradford missed Layup.,54,74
4:04,2515,Randy Phillips Offensive Rebound.,54,74
4:01,2515,Randy Phillips made Layup.,54,76
3:51,-1,Braxton Linville missed Jumper.,54,76
3:51,2515,Ed Polite Jr. Defensive Rebound.,54,76
3:29,2515,Randy Phillips Turnover.,54,76
3:28,-1,Tre Olive Steal.,54,76
3:26,-1,Tre Olive made Layup.,56,76
3:11,2515,Christian Lutete missed Three Point Jumper.,56,76
3:11,-1,Jaret Sons Defensive Rebound.,56,76
2:56,-1,Charlie Warner missed Three Point Jumper.,56,76
2:56,-1,John Swanson Offensive Rebound.,56,76
2:42,-1,Jaret Sons missed Jumper.,56,76
2:42,2515,Justin Cousin Defensive Rebound.,56,76
2:06,2515,Brian Rodriguez made Three Point Jumper. Assisted by Sterling Christy.,56,79
1:38,-1,John Swanson made Jumper. Assisted by Ian Kissell.,58,79
1:17,2515,Brian Rodriguez missed Three Point Jumper.,58,79
1:17,-1,David Holden Defensive Rebound.,58,79
1:09,-1,David Holden missed Layup.,58,79
1:09,2515,Sterling Christy Defensive Rebound.,58,79
0:45,2515,Christian Lutete made Three Point Jumper. Assisted by Christian Bradford.,58,82
0:19,-1,Tre Olive Turnover.,58,82
0:00,2515,End of Game,58,82
