Georgia,2473,Oakland,61
14:43,2473,Oakland Deadball Team Rebound.,19,6
14:43,2473,Jalen Hayes made Free Throw.,19,7
14:17,61,J.J. Frazier Turnover.,19,7
14:05,61,Foul on Pape Diatta.,19,7
14:00,2473,Xavier Hill-Mais missed Layup.,19,7
14:00,2473,Martez Walker Offensive Rebound.,19,7
14:00,61,Foul on Jordan Harris.,19,7
13:58,2473,Martez Walker made Free Throw.,19,8
13:58,2473,Martez Walker made Free Throw.,19,9
13:43,2473,Foul on Nick Daniels.,19,9
13:35,2473,Foul on Jalen Hayes.,19,9
13:26,61,Jordan Harris missed Layup.,19,9
13:26,61,Georgia Offensive Rebound.,19,9
13:22,2473,Foul on Brailen Neely.,19,9
13:07,61,Pape Diatta missed Three Point Jumper.,19,9
13:07,61,Derek Ogbeide Offensive Rebound.,19,9
13:02,61,Derek Ogbeide Turnover.,19,9
13:01,2473,Martez Walker Steal.,19,9
12:49,2473,Martez Walker made Three Point Jumper.,19,12
12:41,61,Jordan Harris made Three Point Jumper. Assisted by William Jackson II.,22,12
12:28,2473,Xavier Hill-Mais made Jumper. Assisted by Brailen Neely.,22,14
12:17,61,Pape Diatta Turnover.,22,14
12:04,2473,Sherron Dorsey-Walker Turnover.,22,14
12:03,61,J.J. Frazier Steal.,22,14
12:00,61,J.J. Frazier made Jumper.,24,14
11:41,2473,Jalen Hayes missed Jumper.,24,14
11:41,61,Derek Ogbeide Defensive Rebound.,24,14
11:22,2473,Foul on Jalen Hayes.,24,14
11:22,2473,Official TV Timeout,24,14
11:22,61,Juwan Parker made Free Throw.,25,14
11:22,61,Juwan Parker made Free Throw.,26,14
11:07,2473,Stevie Clark missed Layup.,26,14
11:07,61,Mike Edwards Defensive Rebound.,26,14
10:55,61,Juwan Parker Turnover.,26,14
10:43,61,Foul on Mike Edwards.,26,14
10:41,2473,Xavier Hill-Mais made Dunk. Assisted by Stevie Clark.,26,16
10:12,61,J.J. Frazier missed Three Point Jumper.,26,16
10:12,2473,Oakland Defensive Rebound.,26,16
9:58,2473,Stevie Clark made Layup. Assisted by Martez Walker.,26,18
9:58,61,Foul on Juwan Parker.,26,18
9:58,2473,Stevie Clark made Free Throw.,26,19
9:40,61,Derek Ogbeide made Layup.,28,19
9:30,2473,Stevie Clark Turnover.,28,19
9:28,61,Jordan Harris Steal.,28,19
9:15,61,Foul on Derek Ogbeide.,28,19
9:15,61,Juwan Parker Turnover.,28,19
9:04,2473,Stevie Clark missed Three Point Jumper.,28,19
9:04,61,Derek Ogbeide Defensive Rebound.,28,19
8:50,61,Juwan Parker made Jumper. Assisted by Derek Ogbeide.,30,19
8:30,2473,Chris Palombizio missed Layup.,30,19
8:30,2473,Chris Palombizio Offensive Rebound.,30,19
8:27,2473,Chris Palombizio made Layup.,30,21
8:16,61,Juwan Parker Turnover.,30,21
8:14,2473,Xavier Hill-Mais Steal.,30,21
8:07,61,Foul on J.J. Frazier.,30,21
8:07,2473,Stevie Clark made Free Throw.,30,22
8:07,2473,Stevie Clark made Free Throw.,30,23
7:41,61,Juwan Parker missed Jumper.,30,23
7:41,61,Derek Ogbeide Offensive Rebound.,30,23
7:27,61,J.J. Frazier made Jumper.,32,23
7:17,61,Foul on J.J. Frazier.,32,23
7:17,2473,Brailen Neely made Free Throw.,32,24
7:17,2473,Brailen Neely made Free Throw.,32,25
7:06,61,Yante Maten missed Layup.,32,25
7:06,2473,Isaiah Brock Block.,32,25
7:04,61,Yante Maten Offensive Rebound.,32,25
7:02,61,Georgia  Timeout,32,25
6:40,61,William Jackson II made Layup.,34,25
6:32,2473,Martez Walker missed Layup.,34,25
6:32,61,Yante Maten Block.,34,25
6:32,2473,Oakland Offensive Rebound.,34,25
6:16,2473,Jalen Hayes missed Jumper.,34,25
6:16,61,William Jackson II Defensive Rebound.,34,25
5:53,61,William Jackson II made Three Point Jumper.,37,25
5:32,61,Foul on William Jackson II.,37,25
5:32,2473,Brailen Neely made Free Throw.,37,26
5:32,2473,Brailen Neely made Free Throw.,37,27
5:22,61,Jordan Harris Turnover.,37,27
5:00,2473,Stevie Clark missed Jumper.,37,27
5:00,2473,Martez Walker Offensive Rebound.,37,27
4:57,2473,Martez Walker Turnover.,37,27
4:43,61,Yante Maten Turnover.,37,27
4:42,2473,Sherron Dorsey-Walker Steal.,37,27
4:38,2473,Martez Walker Turnover.,37,27
4:29,61,Jordan Harris missed Three Point Jumper.,37,27
4:29,2473,Isaiah Brock Defensive Rebound.,37,27
4:12,2473,Xavier Hill-Mais made Jumper. Assisted by Stevie Clark.,37,29
3:56,2473,Foul on Isaiah Brock.,37,29
3:56,2473,Official TV Timeout,37,29
3:46,61,Yante Maten missed Jumper.,37,29
3:46,2473,Oakland Defensive Rebound.,37,29
3:28,2473,Xavier Hill-Mais missed Layup.,37,29
3:28,61,Derek Ogbeide Block.,37,29
3:26,61,Yante Maten Defensive Rebound.,37,29
3:20,61,Yante Maten missed Three Point Jumper.,37,29
3:20,2473,Xavier Hill-Mais Defensive Rebound.,37,29
3:12,2473,Isaiah Brock made Layup. Assisted by Stevie Clark.,37,31
3:02,2473,Foul on Stevie Clark.,37,31
3:02,61,Yante Maten made Free Throw.,38,31
3:02,61,Yante Maten made Free Throw.,39,31
2:45,2473,Xavier Hill-Mais missed Jumper.,39,31
2:45,61,Houston Kessler Defensive Rebound.,39,31
2:36,61,Houston Kessler missed Three Point Jumper.,39,31
2:36,2473,Sherron Dorsey-Walker Defensive Rebound.,39,31
2:29,2473,Sherron Dorsey-Walker missed Layup.,39,31
2:29,61,Yante Maten Defensive Rebound.,39,31
2:22,61,Jordan Harris Turnover.,39,31
2:21,2473,Stevie Clark Steal.,39,31
2:17,61,Foul on Houston Kessler.,39,31
2:17,2473,Sherron Dorsey-Walker missed Free Throw.,39,31
2:17,2473,Oakland Deadball Team Rebound.,39,31
2:17,2473,Sherron Dorsey-Walker made Free Throw.,39,32
1:56,61,J.J. Frazier made Jumper.,41,32
1:48,2473,Stevie Clark missed Layup.,41,32
1:48,61,Houston Kessler Defensive Rebound.,41,32
1:39,61,Foul on Yante Maten.,41,32
1:39,61,Yante Maten Turnover.,41,32
1:25,2473,Chris Palombizio missed Three Point Jumper.,41,32
1:25,61,William Jackson II Defensive Rebound.,41,32
1:22,2473,Foul on Brad Brechting.,41,32
1:22,61,Juwan Parker made Free Throw.,42,32
1:22,61,Juwan Parker made Free Throw.,43,32
1:17,2473,Nick Daniels made Three Point Jumper. Assisted by Brailen Neely.,43,35
1:02,61,Juwan Parker missed Three Point Jumper.,43,35
1:02,2473,Brailen Neely Defensive Rebound.,43,35
0:45,2473,Nick Daniels made Three Point Jumper. Assisted by Xavier Hill-Mais.,43,38
0:28,61,Tyree Crump missed Jumper.,43,38
0:28,61,Derek Ogbeide Offensive Rebound.,43,38
0:24,61,Derek Ogbeide missed Layup.,43,38
0:24,2473,Nick Daniels Defensive Rebound.,43,38
0:21,2473,Oakland  Timeout,43,38
0:03,2473,Stevie Clark Turnover.,43,38
0:01,61,Derek Ogbeide Steal.,43,38
0:00,61,Juwan Parker made Dunk. Assisted by Derek Ogbeide.,45,38
0:00,2473,End of 1st half,45,38
20:00,2473,Jalen Hayes made Jumper.,45,40
19:30,2473,Foul on Jalen Hayes.,45,40
19:17,61,Yante Maten Turnover.,45,40
19:15,2473,Martez Walker Steal.,45,40
18:53,2473,Martez Walker made Layup. Assisted by Nick Daniels.,45,42
18:42,61,Derek Ogbeide made Layup. Assisted by Juwan Parker.,47,42
18:15,2473,Nick Daniels made Jumper.,47,44
17:55,2473,Foul on Jalen Hayes.,47,44
17:55,61,Yante Maten made Free Throw.,48,44
17:55,61,Yante Maten made Free Throw.,49,44
17:38,2473,Isaiah Brock made Layup. Assisted by Sherron Dorsey-Walker.,49,46
17:16,61,J.J. Frazier missed Jumper.,49,46
17:16,2473,Nick Daniels Defensive Rebound.,49,46
17:09,2473,Martez Walker made Layup. Assisted by Nick Daniels.,49,48
17:03,61,Juwan Parker missed Jumper.,49,48
17:03,61,Mike Edwards Offensive Rebound.,49,48
16:57,61,Mike Edwards missed Jumper.,49,48
16:57,2473,Sherron Dorsey-Walker Defensive Rebound.,49,48
16:48,2473,Xavier Hill-Mais missed Jumper.,49,48
16:48,61,Yante Maten Block.,49,48
16:46,2473,Xavier Hill-Mais Offensive Rebound.,49,48
16:45,2473,Nick Daniels Turnover.,49,48
16:30,61,J.J. Frazier Turnover.,49,48
16:30,2473,Sherron Dorsey-Walker Steal.,49,48
16:30,61,Foul on Yante Maten.,49,48
16:16,2473,Xavier Hill-Mais missed Jumper.,49,48
16:16,2473,Oakland Offensive Rebound.,49,48
16:00,61,Foul on Kenny Paul Geno.,49,48
16:00,2473,Martez Walker made Free Throw.,49,49
16:00,2473,Martez Walker made Free Throw.,49,50
16:00,2473,Martez Walker made Free Throw.,49,51
15:41,61,J.J. Frazier missed Jumper.,49,51
15:41,2473,Sherron Dorsey-Walker Defensive Rebound.,49,51
15:35,2473,Martez Walker made Layup. Assisted by Sherron Dorsey-Walker.,49,53
15:27,61,Jordan Harris missed Layup.,49,53
15:27,2473,Brad Brechting Defensive Rebound.,49,53
15:19,2473,Martez Walker made Three Point Jumper. Assisted by Brailen Neely.,49,56
15:12,61,Georgia  Timeout,49,56
14:58,61,Juwan Parker made Layup. Assisted by J.J. Frazier.,51,56
14:42,61,Foul on Derek Ogbeide.,51,56
14:42,2473,Martez Walker made Free Throw.,51,57
14:42,2473,Martez Walker made Free Throw.,51,58
14:31,61,Foul on Yante Maten.,51,58
14:31,61,Yante Maten Turnover.,51,58
14:07,2473,Sherron Dorsey-Walker made Three Point Jumper. Assisted by Brailen Neely.,51,61
13:41,61,Juwan Parker missed Jumper.,51,61
13:41,2473,Brailen Neely Defensive Rebound.,51,61
13:36,2473,Brailen Neely Turnover.,51,61
13:34,61,William Jackson II Steal.,51,61
13:30,61,Juwan Parker missed Jumper.,51,61
13:30,2473,Sherron Dorsey-Walker Defensive Rebound.,51,61
13:04,2473,Xavier Hill-Mais missed Jumper.,51,61
13:04,2473,Brad Brechting Offensive Rebound.,51,61
12:59,2473,Martez Walker missed Three Point Jumper.,51,61
12:59,61,Derek Ogbeide Defensive Rebound.,51,61
12:28,61,Georgia  Turnover.,51,61
12:11,2473,Sherron Dorsey-Walker missed Three Point Jumper.,51,61
12:11,2473,Chris Palombizio Offensive Rebound.,51,61
12:05,2473,Chris Palombizio missed Jumper.,51,61
12:05,61,Derek Ogbeide Defensive Rebound.,51,61
11:52,61,Jordan Harris Turnover.,51,61
11:50,2473,Brailen Neely Steal.,51,61
11:40,2473,Brad Brechting Turnover.,51,61
11:29,61,Derek Ogbeide made Layup. Assisted by E'Torrion Wilridge.,53,61
11:12,2473,Sherron Dorsey-Walker missed Jumper.,53,61
11:12,2473,Oakland Offensive Rebound.,53,61
10:53,2473,Nick Daniels missed Layup.,53,61
10:53,61,Derek Ogbeide Block.,53,61
10:51,2473,Martez Walker Offensive Rebound.,53,61
10:47,2473,Martez Walker made Layup.,53,63
10:39,2473,Foul on Isaiah Brock.,53,63
10:27,61,Derek Ogbeide made Jumper.,55,63
10:08,2473,Nick Daniels missed Three Point Jumper.,55,63
10:08,61,Derek Ogbeide Defensive Rebound.,55,63
9:57,61,Derek Ogbeide made Dunk. Assisted by J.J. Frazier.,57,63
9:44,61,Foul on Jordan Harris.,57,63
9:28,2473,Jalen Hayes made Jumper. Assisted by Stevie Clark.,57,65
9:08,61,Derek Ogbeide made Layup. Assisted by Juwan Parker.,59,65
8:47,2473,Jalen Hayes Turnover.,59,65
8:45,61,Mike Edwards Steal.,59,65
8:42,61,Juwan Parker made Layup. Assisted by J.J. Frazier.,61,65
8:42,2473,Foul on Stevie Clark.,61,65
8:42,61,Juwan Parker made Free Throw.,62,65
8:24,2473,Martez Walker made Three Point Jumper.,62,68
8:04,61,J.J. Frazier missed Layup.,62,68
8:04,61,Mike Edwards Offensive Rebound.,62,68
8:01,61,Mike Edwards missed Layup.,62,68
8:01,61,Houston Kessler Offensive Rebound.,62,68
7:56,61,J.J. Frazier missed Three Point Jumper.,62,68
7:56,61,Georgia Offensive Rebound.,62,68
7:54,2473,Official TV Timeout,62,68
7:41,61,J.J. Frazier missed Three Point Jumper.,62,68
7:39,61,Kenny Paul Geno Offensive Rebound.,62,68
7:39,2473,Foul on Jalen Hayes.,62,68
7:31,61,Mike Edwards made Jumper. Assisted by J.J. Frazier.,64,68
6:58,2473,Brailen Neely made Three Point Jumper. Assisted by Martez Walker.,64,71
6:39,61,J.J. Frazier missed Three Point Jumper.,64,71
6:39,2473,Isaiah Brock Defensive Rebound.,64,71
6:19,61,Foul on Yante Maten.,64,71
6:19,2473,Foul on Xavier Hill-Mais.,64,71
6:12,2473,Sherron Dorsey-Walker missed Jumper.,64,71
6:12,2473,Martez Walker Offensive Rebound.,64,71
5:48,2473,Martez Walker made Jumper.,64,73
5:39,2473,Foul on Brailen Neely.,64,73
5:39,61,J.J. Frazier made Free Throw.,65,73
5:39,61,J.J. Frazier made Free Throw.,66,73
5:19,2473,Xavier Hill-Mais missed Jumper.,66,73
5:19,61,Mike Edwards Defensive Rebound.,66,73
5:12,61,Jordan Harris made Three Point Jumper. Assisted by Juwan Parker.,69,73
4:48,2473,Foul on Sherron Dorsey-Walker.,69,73
4:48,61,J.J. Frazier Turnover.,69,73
4:27,61,J.J. Frazier missed Three Point Jumper.,69,73
4:27,2473,Isaiah Brock Defensive Rebound.,69,73
4:17,61,Foul on Jordan Harris.,69,73
4:17,2473,Brailen Neely made Free Throw.,69,74
4:17,2473,Brailen Neely made Free Throw.,69,75
4:07,61,Juwan Parker Turnover.,69,75
4:05,2473,Isaiah Brock Steal.,69,75
4:04,2473,Isaiah Brock Turnover.,69,75
3:48,61,Jordan Harris made Layup.,71,75
3:36,61,Foul on Juwan Parker.,71,75
3:36,2473,Official TV Timeout,71,75
3:36,2473,Xavier Hill-Mais made Free Throw.,71,76
3:36,2473,Xavier Hill-Mais made Free Throw.,71,77
3:09,61,J.J. Frazier missed Layup.,71,77
3:09,61,Mike Edwards Offensive Rebound.,71,77
3:05,61,Mike Edwards made Layup.,73,77
2:54,61,Foul on Jordan Harris.,73,77
2:54,2473,Xavier Hill-Mais made Free Throw.,73,78
2:54,2473,Xavier Hill-Mais missed Free Throw.,73,78
2:54,61,Mike Edwards Defensive Rebound.,73,78
2:29,61,J.J. Frazier missed Jumper.,73,78
2:29,61,Derek Ogbeide Offensive Rebound.,73,78
2:19,61,Derek Ogbeide Turnover.,73,78
2:18,2473,Brailen Neely Steal.,73,78
2:14,2473,Martez Walker Turnover.,73,78
2:02,2473,Foul on Martez Walker.,73,78
2:02,61,Jordan Harris made Free Throw.,74,78
2:02,61,Jordan Harris missed Free Throw.,74,78
2:02,61,Derek Ogbeide Offensive Rebound.,74,78
2:01,2473,Foul on Isaiah Brock.,74,78
2:01,61,Derek Ogbeide missed Free Throw.,74,78
2:01,61,Georgia Deadball Team Rebound.,74,78
2:01,61,Derek Ogbeide made Free Throw.,75,78
1:44,2473,Sherron Dorsey-Walker missed Layup.,75,78
1:44,2473,Martez Walker Offensive Rebound.,75,78
1:40,2473,Martez Walker made Three Point Jumper.,75,81
1:18,61,William Jackson II missed Three Point Jumper.,75,81
1:18,2473,Oakland Defensive Rebound.,75,81
1:15,2473,Oakland  Timeout,75,81
0:50,2473,Martez Walker missed Layup.,75,81
0:50,61,Derek Ogbeide Block.,75,81
0:48,61,Jordan Harris Defensive Rebound.,75,81
0:44,2473,Foul on Brailen Neely.,75,81
0:44,61,J.J. Frazier made Free Throw.,76,81
0:44,61,J.J. Frazier made Free Throw.,77,81
0:22,2473,Isaiah Brock made Dunk. Assisted by Sherron Dorsey-Walker.,77,83
0:21,61,J.J. Frazier missed Three Point Jumper.,77,83
0:21,2473,Sherron Dorsey-Walker Defensive Rebound.,77,83
0:16,61,Foul on Juwan Parker.,77,83
0:16,2473,Sherron Dorsey-Walker made Free Throw.,77,84
0:16,2473,Sherron Dorsey-Walker made Free Throw.,77,85
0:13,61,William Jackson II made Layup.,79,85
0:11,61,Foul on Mike Edwards.,79,85
0:11,2473,Martez Walker missed Free Throw.,79,85
0:11,2473,Oakland Deadball Team Rebound.,79,85
0:11,2473,Martez Walker made Free Throw.,79,86
0:08,61,William Jackson II missed Three Point Jumper.,79,86
0:08,2473,Xavier Hill-Mais Defensive Rebound.,79,86
0:00,2473,End of Game,79,86
