Navy,42,Hartford,2426
14:08,42,Jalen Ross made Jumper.,31,37
13:44,2426,Tom Lacey Turnover.,31,37
13:44,42,Jack Hobbs Steal.,31,37
13:40,2426,Foul on Hasan Abdullah.,31,37
13:37,42,Jalen Ross made Three Point Jumper. Assisted by J.R. Lynch.,31,40
13:14,2426,Shawn Anderson missed Layup.,31,40
13:14,2426,George Kiernan Offensive Rebound.,31,40
13:02,2426,George Kiernan made Two Point Tip Shot.,33,40
12:47,42,Jason Dunne missed Three Point Jumper.,33,40
12:47,42,TreVaughn Wilkerson Offensive Rebound.,33,40
12:34,42,Jalen Ross missed Three Point Jumper.,33,40
12:34,2426,Tim Abruzzo Defensive Rebound.,33,40
12:19,2426,Shawn Anderson made Jumper.,35,40
11:59,42,Jalen Ross missed Layup.,35,40
11:59,2426,Tom Lacey Defensive Rebound.,35,40
11:51,2426,Tim Abruzzo missed Three Point Jumper.,35,40
11:51,2426,Shawn Anderson Offensive Rebound.,35,40
11:46,2426,Shawn Anderson made Layup.,37,40
11:43,42,Official TV Timeout,37,40
11:20,42,John Carroll missed Layup.,37,40
11:20,42,John Carroll Offensive Rebound.,37,40
11:12,42,Jack Hobbs missed Three Point Jumper.,37,40
11:12,2426,Hasan Abdullah Defensive Rebound.,37,40
11:02,2426,George Kiernan made Three Point Jumper. Assisted by Shawn Anderson.,40,40
10:36,42,J.R. Lynch made Jumper.,40,42
10:19,2426,Shawn Anderson missed Three Point Jumper.,40,42
10:19,42,John Carroll Defensive Rebound.,40,42
10:04,2426,Foul on George Kiernan.,40,42
9:52,42,Jack Hobbs made Three Point Jumper. Assisted by Jalen Ross.,40,45
9:35,2426,Hasan Abdullah made Jumper. Assisted by Shawn Anderson.,42,45
9:17,42,J.R. Lynch made Layup. Assisted by John Carroll.,42,47
9:03,2426,Shawn Anderson missed Layup.,42,47
9:03,42,John Carroll Defensive Rebound.,42,47
8:52,42,Jalen Ross made Three Point Jumper. Assisted by Jason Dunne.,42,50
8:42,2426,Navy  Timeout,42,50
8:35,2426,Hasan Abdullah missed Jumper.,42,50
8:35,2426,Bryce Dulin Offensive Rebound.,42,50
8:19,2426,Bryce Dulin Turnover.,42,50
8:18,42,Jason Dunne Steal.,42,50
8:12,42,Jalen Ross missed Jumper.,42,50
8:12,2426,Bryce Dulin Defensive Rebound.,42,50
8:01,2426,Tim Abruzzo missed Three Point Jumper.,42,50
8:01,42,J.R. Lynch Defensive Rebound.,42,50
7:57,2426,Foul on Hasan Abdullah.,42,50
7:40,42,Jason Dunne missed Three Point Jumper.,42,50
7:40,2426,Tim Abruzzo Defensive Rebound.,42,50
7:25,2426,George Kiernan missed Three Point Jumper.,42,50
7:25,42,Hassan Attia Defensive Rebound.,42,50
7:09,42,Official TV Timeout,42,50
7:09,42,Jack Hobbs missed Three Point Jumper.,42,50
7:09,2426,George Kiernan Defensive Rebound.,42,50
6:53,2426,Nourse Fox missed Jumper.,42,50
6:53,42,Hassan Attia Defensive Rebound.,42,50
6:35,2426,Foul on Nourse Fox.,42,50
6:27,42,J.R. Lynch missed Three Point Jumper.,42,50
6:27,2426,Tim Abruzzo Defensive Rebound.,42,50
6:13,2426,Nourse Fox missed Three Point Jumper.,42,50
6:13,42,Hassan Attia Defensive Rebound.,42,50
6:02,42,J.R. Lynch missed Three Point Jumper.,42,50
6:02,2426,Shawn Anderson Defensive Rebound.,42,50
5:58,42,Foul on Hassan Attia.,42,50
5:41,2426,Nourse Fox made Layup.,44,50
5:30,42,J.R. Lynch missed Three Point Jumper.,44,50
5:30,42,J.R. Lynch Offensive Rebound.,44,50
5:15,2426,Foul on Shawn Anderson.,44,50
5:01,42,Jason Dunne Turnover.,44,50
4:59,2426,Nourse Fox Steal.,44,50
4:57,2426,Shawn Anderson made Layup. Assisted by Tom Lacey.,46,50
4:28,42,Jalen Ross made Three Point Jumper.,46,53
4:02,2426,Tim Abruzzo missed Three Point Jumper.,46,53
4:02,42,John Carroll Defensive Rebound.,46,53
3:33,42,Jack Hobbs missed Three Point Jumper.,46,53
3:33,2426,Shawn Anderson Defensive Rebound.,46,53
3:23,2426,Shawn Anderson missed Jumper.,46,53
3:23,42,J.R. Lynch Defensive Rebound.,46,53
3:17,42,Official TV Timeout,46,53
2:56,42,Jason Dunne missed Three Point Jumper.,46,53
2:56,2426,Navy Defensive Rebound.,46,53
2:53,42,Foul on John Carroll.,46,53
2:53,2426,Tom Lacey made Free Throw.,47,53
2:53,2426,Tom Lacey made Free Throw.,48,53
2:35,2426,Foul on Tom Lacey.,48,53
2:32,42,John Carroll missed Free Throw.,48,53
2:32,42,Hartford Deadball Team Rebound.,48,53
2:32,42,John Carroll made Free Throw.,48,54
2:24,42,Foul on Jason Dunne.,48,54
2:24,2426,Tom Lacey missed Free Throw.,48,54
2:24,2426,Navy Deadball Team Rebound.,48,54
2:24,2426,Tom Lacey missed Free Throw.,48,54
2:24,42,Jason Dunne Defensive Rebound.,48,54
2:11,42,Jason Dunne made Jumper.,48,56
1:55,2426,Bryce Dulin made Jumper.,50,56
1:30,42,Jalen Ross missed Jumper.,50,56
1:30,2426,Tom Lacey Defensive Rebound.,50,56
1:22,2426,Shawn Anderson made Layup.,52,56
1:20,2426,Navy  Timeout,52,56
1:12,2426,Foul on Bryce Dulin.,52,56
1:12,42,Jalen Ross missed Free Throw.,52,56
1:12,2426,Tom Lacey Defensive Rebound.,52,56
1:08,2426,Hasan Abdullah Turnover.,52,56
1:08,42,Jason Dunne Steal.,52,56
1:08,42,Hartford  Timeout,52,56
1:08,42,J.R. Lynch Turnover.,52,56
1:08,42,Foul on J.R. Lynch.,52,56
1:01,2426,Shawn Anderson missed Three Point Jumper.,52,56
1:01,2426,Hasan Abdullah Offensive Rebound.,52,56
0:56,2426,Hasan Abdullah missed Layup.,52,56
0:56,42,Hassan Attia Block.,52,56
0:53,42,Jalen Ross Defensive Rebound.,52,56
0:51,2426,Foul on Hasan Abdullah.,52,56
0:51,42,Jalen Ross made Free Throw.,52,57
0:51,42,Jalen Ross made Free Throw.,52,58
0:41,2426,Hasan Abdullah missed Three Point Jumper.,52,58
0:41,42,Jack Hobbs Defensive Rebound.,52,58
0:36,2426,Foul on Tom Lacey.,52,58
0:36,42,J.R. Lynch made Free Throw.,52,59
0:36,42,J.R. Lynch made Free Throw.,52,60
0:32,2426,Zach Fong missed Three Point Jumper.,52,60
0:32,2426,Shawn Anderson Offensive Rebound.,52,60
0:15,2426,Shawn Anderson Turnover.,52,60
0:13,2426,Foul on Zach Fong.,52,60
0:13,42,J.R. Lynch made Free Throw.,52,61
0:13,42,J.R. Lynch made Free Throw.,52,62
0:09,2426,Foul on Zach Fong.,54,62
0:09,42,Jalen Ross made Free Throw.,54,63
0:09,42,Jalen Ross missed Free Throw.,54,63
0:09,2426,Tom Lacey Defensive Rebound.,54,63
0:08,2426,Tom Lacey made Dunk. Assisted by Hasan Abdullah.,54,62
0:05,2426,George Kiernan missed Three Point Jumper.,54,63
0:05,42,Jalen Ross Defensive Rebound.,54,63
0:00,42,End of Game,54,63
