Kansas,2439,UNLV,2305
14:41,2439,Kris Clyburn missed Layup.,10,5
14:41,2305,Lagerald Vick Block.,10,5
14:41,2305,Carlton Bragg Jr. Defensive Rebound.,10,5
14:30,2305,Josh Jackson made Jumper.,12,5
14:00,2439,Troy Baxter Jr. missed Three Point Jumper.,12,5
14:00,2305,Devonte' Graham Defensive Rebound.,12,5
13:52,2439,Foul on Jovan Mooring.,12,5
13:46,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,12,5
13:46,2439,Jalen Poyser Defensive Rebound.,12,5
13:30,2439,Kris Clyburn Turnover.,12,5
13:23,2305,Josh Jackson made Three Point Jumper. Assisted by Lagerald Vick.,15,5
12:57,2439,Jump Ball won by UNLV,15,5
12:53,2305,Foul on Sviatoslav Mykhailiuk.,15,5
12:48,2439,Jovan Mooring missed Three Point Jumper.,15,5
12:48,2305,Landen Lucas Defensive Rebound.,15,5
12:42,2305,Lagerald Vick Turnover.,15,5
12:42,2439,Christian Jones Steal.,15,5
12:24,2439,Jovan Mooring missed Three Point Jumper.,15,5
12:24,2439,Christian Jones Offensive Rebound.,15,5
12:18,2439,Christian Jones made Jumper.,15,7
12:08,2305,Lagerald Vick made Three Point Jumper. Assisted by Frank Mason III.,18,7
11:56,2439,Official TV Timeout,18,7
11:44,2439,Christian Jones missed Jumper.,18,7
11:44,2305,Carlton Bragg Jr. Defensive Rebound.,18,7
11:29,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Carlton Bragg Jr..,21,7
11:10,2439,Christian Jones made Layup. Assisted by Jovan Mooring.,21,9
11:10,2305,Foul on Carlton Bragg Jr..,21,9
11:10,2439,Christian Jones missed Free Throw.,21,9
11:10,2305,Josh Jackson Defensive Rebound.,21,9
10:55,2305,Devonte' Graham missed Three Point Jumper.,21,9
10:55,2305,Josh Jackson Offensive Rebound.,21,9
10:49,2305,Lagerald Vick missed Three Point Jumper.,21,9
10:49,2305,Josh Jackson Offensive Rebound.,21,9
10:49,2305,Josh Jackson made Two Point Tip Shot.,23,9
10:20,2439,Tyrell Green missed Three Point Jumper.,23,9
10:20,2305,Sviatoslav Mykhailiuk Defensive Rebound.,23,9
10:09,2305,Josh Jackson made Dunk.,25,9
9:47,2439,Zion Morgan missed Three Point Jumper.,25,9
9:47,2305,Landen Lucas Defensive Rebound.,25,9
9:34,2305,Josh Jackson missed Three Point Jumper.,25,9
9:34,2439,Christian Jones Defensive Rebound.,25,9
9:31,2305,Foul on Landen Lucas.,25,9
9:31,2439,UNLV  Timeout,25,9
9:18,2305,Foul on Devonte' Graham.,25,9
9:14,2305,Foul on Mitch Lightfoot.,25,9
9:14,2439,Cheickna Dembele missed Free Throw.,25,9
9:14,2439,UNLV Deadball Team Rebound.,25,9
9:14,2439,Cheickna Dembele made Free Throw.,25,10
9:00,2305,Sviatoslav Mykhailiuk missed Jumper.,25,10
9:00,2305,Sviatoslav Mykhailiuk Offensive Rebound.,25,10
8:54,2305,Devonte' Graham missed Three Point Jumper.,25,10
8:54,2439,Jalen Poyser Defensive Rebound.,25,10
8:47,2439,Jovan Mooring made Layup. Assisted by Jalen Poyser.,25,12
8:29,2305,Josh Jackson made Layup.,27,12
7:59,2439,Cheickna Dembele Turnover.,27,12
7:59,2305,Devonte' Graham Steal.,27,12
7:50,2439,Foul on Jalen Poyser.,27,12
7:50,2439,Official TV Timeout,27,12
7:50,2305,Frank Mason III made Free Throw.,28,12
7:50,2305,Frank Mason III missed Free Throw.,28,12
7:50,2439,Uche Ofoegbu Defensive Rebound.,28,12
7:37,2439,Jalen Poyser missed Three Point Jumper.,28,12
7:37,2305,Lagerald Vick Defensive Rebound.,28,12
7:11,2305,Josh Jackson made Dunk. Assisted by Landen Lucas.,30,12
6:58,2439,Christian Jones made Jumper. Assisted by Jalen Poyser.,30,14
6:26,2305,Frank Mason III missed Jumper.,30,14
6:26,2439,Jovan Mooring Defensive Rebound.,30,14
6:18,2305,Foul on Josh Jackson.,30,14
6:18,2439,Uche Ofoegbu made Free Throw.,30,15
6:18,2439,Uche Ofoegbu missed Free Throw.,30,15
6:18,2305,Landen Lucas Defensive Rebound.,30,15
6:01,2305,Sviatoslav Mykhailiuk made Layup.,32,15
5:52,2439,Jalen Poyser missed Three Point Jumper.,32,15
5:52,2305,Frank Mason III Defensive Rebound.,32,15
5:33,2305,Sviatoslav Mykhailiuk missed Layup.,32,15
5:33,2439,Christian Jones Defensive Rebound.,32,15
5:32,2305,Foul on Josh Jackson.,32,15
5:32,2439,Christian Jones missed Free Throw.,32,15
5:32,2305,Sviatoslav Mykhailiuk Defensive Rebound.,32,15
5:22,2305,Carlton Bragg Jr. made Layup. Assisted by Frank Mason III.,34,15
5:05,2305,Foul on Devonte' Graham.,34,15
5:05,2439,Zion Morgan missed Free Throw.,34,15
5:05,2439,UNLV Deadball Team Rebound.,34,15
5:05,2439,Zion Morgan made Free Throw.,34,16
4:49,2305,Frank Mason III Turnover.,34,16
4:49,2439,Christian Jones Steal.,34,16
4:34,2439,Jovan Mooring Turnover.,34,16
4:28,2305,Lagerald Vick missed Three Point Jumper.,34,16
4:28,2439,Uche Ofoegbu Defensive Rebound.,34,16
4:17,2439,Jovan Mooring missed Layup.,34,16
4:17,2305,Landen Lucas Defensive Rebound.,34,16
4:11,2305,Foul on Frank Mason III.,34,16
4:11,2305,Frank Mason III Turnover.,34,16
3:59,2439,Tyrell Green Turnover.,34,16
3:59,2305,Frank Mason III Steal.,34,16
3:53,2439,Foul on Jovan Mooring.,34,16
3:53,2439,Official TV Timeout,34,16
3:53,2305,Frank Mason III missed Free Throw.,34,16
3:53,2305,Kansas Deadball Team Rebound.,34,16
3:53,2305,Frank Mason III made Free Throw.,35,16
3:36,2439,Christian Jones Turnover.,35,16
3:36,2305,Sviatoslav Mykhailiuk Steal.,35,16
3:31,2305,Sviatoslav Mykhailiuk made Layup. Assisted by Frank Mason III.,37,16
3:06,2305,Foul on Carlton Bragg Jr..,37,16
3:06,2439,Kris Clyburn missed Free Throw.,37,16
3:06,2439,UNLV Deadball Team Rebound.,37,16
3:06,2439,Kris Clyburn made Free Throw.,37,17
2:52,2305,Landen Lucas Turnover.,37,17
2:35,2439,Christian Jones missed Jumper.,37,17
2:35,2305,Landen Lucas Defensive Rebound.,37,17
2:25,2439,Foul on Jovan Mooring.,37,17
2:25,2305,Frank Mason III made Free Throw.,38,17
2:25,2305,Frank Mason III missed Free Throw.,38,17
2:25,2305,Landen Lucas Offensive Rebound.,38,17
2:13,2305,Lagerald Vick Turnover.,38,17
2:13,2439,Kris Clyburn Steal.,38,17
2:08,2439,Kris Clyburn made Dunk.,38,19
1:42,2305,Landen Lucas missed Layup.,38,19
1:42,2439,Tyrell Green Defensive Rebound.,38,19
1:41,2305,Foul on Mitch Lightfoot.,38,19
1:41,2439,Tyrell Green missed Free Throw.,38,19
1:41,2439,UNLV Deadball Team Rebound.,38,19
1:41,2439,Tyrell Green missed Free Throw.,38,19
1:41,2305,Landen Lucas Defensive Rebound.,38,19
1:29,2305,Frank Mason III missed Jumper.,38,19
1:29,2305,Frank Mason III Offensive Rebound.,38,19
1:18,2439,Foul on Tyrell Green.,38,19
1:18,2305,Frank Mason III made Free Throw.,39,19
1:18,2305,Frank Mason III missed Free Throw.,39,19
1:18,2439,Kris Clyburn Defensive Rebound.,39,19
1:06,2305,Foul on Dwight Coleby.,39,19
1:06,2439,Kris Clyburn made Free Throw.,39,20
1:06,2439,Kris Clyburn missed Free Throw.,39,20
1:06,2305,Dwight Coleby Defensive Rebound.,39,20
0:50,2305,Dwight Coleby missed Layup.,39,20
0:50,2439,Cheickna Dembele Block.,39,20
0:50,2439,Cheickna Dembele Defensive Rebound.,39,20
0:47,2305,Foul on Dwight Coleby.,39,20
0:47,2439,Cheickna Dembele missed Free Throw.,39,20
0:47,2439,UNLV Deadball Team Rebound.,39,20
0:47,2439,Cheickna Dembele missed Free Throw.,39,20
0:47,2305,Lagerald Vick Defensive Rebound.,39,20
0:43,2305,Kansas  Timeout,39,20
0:39,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Frank Mason III.,42,20
0:06,2439,Kris Clyburn missed Three Point Jumper.,42,20
0:06,2439,Uche Ofoegbu Offensive Rebound.,42,20
0:01,2439,Uche Ofoegbu missed Jumper.,42,20
0:01,2439,UNLV Offensive Rebound.,42,20
0:00,2439,End of 1st half,42,20
20:00,2305,Jump Ball won by Kansas,42,20
19:47,2305,Josh Jackson made Dunk. Assisted by Frank Mason III.,44,20
19:20,2439,Uche Ofoegbu Turnover.,44,20
19:08,2305,Devonte' Graham missed Three Point Jumper.,44,20
19:08,2305,Kansas Offensive Rebound.,44,20
19:03,2439,Foul on Tyrell Green.,44,20
18:58,2305,Frank Mason III missed Jumper.,44,20
18:58,2439,Kris Clyburn Defensive Rebound.,44,20
18:37,2439,Jalen Poyser made Three Point Jumper. Assisted by Uche Ofoegbu.,44,23
18:15,2305,Josh Jackson missed Jumper.,44,23
18:15,2439,Tyrell Green Defensive Rebound.,44,23
18:07,2305,Foul on Landen Lucas.,44,23
18:07,2439,Jalen Poyser made Free Throw.,44,24
18:07,2439,Jalen Poyser made Free Throw.,44,25
17:49,2439,Foul on Cheickna Dembele.,44,25
17:49,2305,Josh Jackson missed Free Throw.,44,25
17:49,2305,Kansas Deadball Team Rebound.,44,25
17:49,2305,Josh Jackson made Free Throw.,45,25
17:33,2439,Tyrell Green made Jumper.,45,27
17:23,2305,Josh Jackson made Layup. Assisted by Frank Mason III.,47,27
16:59,2439,Uche Ofoegbu made Jumper.,47,29
16:49,2305,Frank Mason III made Layup.,49,29
16:35,2439,Uche Ofoegbu Turnover.,49,29
16:18,2305,Sviatoslav Mykhailiuk missed Jumper.,49,29
16:18,2439,Tyrell Green Defensive Rebound.,49,29
16:03,2439,Jalen Poyser made Jumper.,49,31
15:48,2305,Frank Mason III missed Three Point Jumper.,49,31
15:48,2305,Landen Lucas Offensive Rebound.,49,31
15:42,2305,Frank Mason III missed Three Point Jumper.,49,31
15:42,2305,Landen Lucas Offensive Rebound.,49,31
15:34,2439,Foul on Tyrell Green.,49,31
15:34,2439,Official TV Timeout,49,31
15:34,2305,Frank Mason III missed Free Throw.,49,31
15:34,2305,Kansas Deadball Team Rebound.,49,31
15:34,2305,Frank Mason III missed Free Throw.,49,31
15:34,2439,Tyrell Green Defensive Rebound.,49,31
15:20,2439,Tyrell Green missed Three Point Jumper.,49,31
15:20,2439,Kris Clyburn Offensive Rebound.,49,31
15:13,2439,Kris Clyburn made Layup.,49,33
14:58,2305,Devonte' Graham missed Jumper.,49,33
14:58,2439,Tyrell Green Defensive Rebound.,49,33
14:54,2305,Foul on Landen Lucas.,49,33
14:41,2439,Tyrell Green made Layup. Assisted by Jovan Mooring.,49,35
14:30,2305,Kansas  Timeout,49,35
14:10,2305,Sviatoslav Mykhailiuk made Jumper.,51,35
13:52,2439,Jovan Mooring missed Three Point Jumper.,51,35
13:52,2305,Sviatoslav Mykhailiuk Defensive Rebound.,51,35
13:44,2305,Devonte' Graham Turnover.,51,35
13:44,2439,Jovan Mooring Steal.,51,35
13:38,2439,Jovan Mooring missed Layup.,51,35
13:38,2305,Lagerald Vick Block.,51,35
13:38,2439,UNLV Offensive Rebound.,51,35
13:27,2439,Kris Clyburn made Three Point Jumper. Assisted by Jovan Mooring.,51,38
13:11,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Carlton Bragg Jr..,54,38
12:47,2439,Christian Jones missed Layup.,54,38
12:47,2305,Carlton Bragg Jr. Defensive Rebound.,54,38
12:34,2305,Sviatoslav Mykhailiuk missed Layup.,54,38
12:34,2439,Zion Morgan Block.,54,38
12:34,2439,Kris Clyburn Defensive Rebound.,54,38
12:26,2439,Jovan Mooring missed Three Point Jumper.,54,38
12:26,2439,Kris Clyburn Offensive Rebound.,54,38
12:22,2439,Kris Clyburn missed Layup.,54,38
12:22,2305,Josh Jackson Block.,54,38
12:22,2305,Carlton Bragg Jr. Defensive Rebound.,54,38
12:13,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,54,38
12:13,2439,Tyrell Green Defensive Rebound.,54,38
11:55,2439,Jovan Mooring made Jumper.,54,40
11:37,2305,Josh Jackson made Dunk. Assisted by Devonte' Graham.,56,40
11:37,2439,Foul on Christian Jones.,56,40
11:37,2439,Official TV Timeout,56,40
11:37,2305,Josh Jackson missed Free Throw.,56,40
11:37,2305,Carlton Bragg Jr. Offensive Rebound.,56,40
11:37,2305,Carlton Bragg Jr. Turnover.,56,40
11:14,2439,Jovan Mooring missed Layup.,56,40
11:14,2305,Landen Lucas Defensive Rebound.,56,40
10:57,2305,Devonte' Graham missed Three Point Jumper.,56,40
10:57,2439,Jalen Poyser Defensive Rebound.,56,40
10:32,2439,Uche Ofoegbu missed Jumper.,56,40
10:32,2305,Landen Lucas Defensive Rebound.,56,40
10:12,2305,Carlton Bragg Jr. missed Dunk.,56,40
10:12,2439,Troy Baxter Jr. Defensive Rebound.,56,40
10:05,2439,Uche Ofoegbu missed Three Point Jumper.,56,40
10:05,2305,Carlton Bragg Jr. Defensive Rebound.,56,40
9:56,2305,Frank Mason III made Layup. Assisted by Devonte' Graham.,58,40
9:21,2439,Jovan Mooring missed Three Point Jumper.,58,40
9:21,2305,Frank Mason III Defensive Rebound.,58,40
9:10,2305,Josh Jackson missed Layup.,58,40
9:10,2305,Landen Lucas Offensive Rebound.,58,40
9:04,2439,Foul on Jovan Mooring.,58,40
9:04,2305,Landen Lucas made Free Throw.,59,40
9:04,2305,Landen Lucas made Free Throw.,60,40
8:54,2439,Jalen Poyser missed Layup.,60,40
8:54,2439,Kris Clyburn Offensive Rebound.,60,40
8:33,2439,Tyrell Green made Three Point Jumper. Assisted by Jalen Poyser.,60,43
8:07,2305,Josh Jackson missed Jumper.,60,43
8:07,2439,Kris Clyburn Defensive Rebound.,60,43
7:55,2439,Tyrell Green missed Jumper.,60,43
7:55,2305,Josh Jackson Defensive Rebound.,60,43
7:38,2305,Frank Mason III made Layup.,62,43
7:10,2439,Uche Ofoegbu missed Three Point Jumper.,62,43
7:10,2305,Josh Jackson Defensive Rebound.,62,43
6:45,2305,Carlton Bragg Jr. missed Jumper.,62,43
6:45,2439,Tyrell Green Defensive Rebound.,62,43
6:36,2439,UNLV  Timeout,62,43
6:21,2305,Foul on Frank Mason III.,62,43
6:21,2439,Jalen Poyser made Free Throw.,62,44
6:21,2439,Jalen Poyser missed Free Throw.,62,44
6:21,2305,Josh Jackson Defensive Rebound.,62,44
6:05,2305,Lagerald Vick made Dunk. Assisted by Landen Lucas.,64,44
5:53,2305,Foul on Lagerald Vick.,64,44
5:53,2439,Jovan Mooring missed Free Throw.,64,44
5:53,2439,UNLV Deadball Team Rebound.,64,44
5:53,2439,Jovan Mooring made Free Throw.,64,45
5:30,2305,Josh Jackson missed Jumper.,64,45
5:30,2439,Kris Clyburn Defensive Rebound.,64,45
5:15,2439,Jump Ball won by UNLV,64,45
5:14,2439,Tyrell Green made Three Point Jumper. Assisted by Jovan Mooring.,64,48
4:52,2305,Lagerald Vick Turnover.,64,48
4:37,2439,Jalen Poyser made Layup. Assisted by Tyrell Green.,64,50
4:29,2439,Foul on Tyrell Green.,64,50
4:28,2305,Josh Jackson missed Dunk.,64,50
4:28,2439,Jalen Poyser Defensive Rebound.,64,50
4:22,2439,Kris Clyburn missed Three Point Jumper.,64,50
4:22,2439,Christian Jones Offensive Rebound.,64,50
4:13,2305,Foul on Frank Mason III.,64,50
4:00,2439,Christian Jones made Layup. Assisted by Jovan Mooring.,64,52
3:49,2305,Kansas  Timeout,64,52
3:33,2305,Sviatoslav Mykhailiuk made Jumper.,66,52
3:18,2305,Foul on Landen Lucas.,66,52
3:09,2439,Kris Clyburn missed Dunk.,66,52
3:09,2439,Christian Jones Offensive Rebound.,66,52
3:05,2439,Tyrell Green Turnover.,66,52
3:05,2305,Landen Lucas Steal.,66,52
2:36,2305,Josh Jackson missed Jumper.,66,52
2:36,2439,Kris Clyburn Defensive Rebound.,66,52
2:32,2439,Jalen Poyser missed Layup.,66,52
2:32,2305,Josh Jackson Block.,66,52
2:32,2305,Frank Mason III Defensive Rebound.,66,52
2:23,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Frank Mason III.,69,52
2:17,2439,Jovan Mooring missed Jumper.,69,52
2:17,2305,Frank Mason III Defensive Rebound.,69,52
2:13,2305,Frank Mason III missed Layup.,69,52
2:13,2439,Christian Jones Block.,69,52
2:13,2439,Jalen Poyser Defensive Rebound.,69,52
1:44,2439,Jalen Poyser missed Jumper.,69,52
1:44,2305,Devonte' Graham Defensive Rebound.,69,52
1:28,2305,Landen Lucas missed Layup.,69,52
1:28,2439,Kris Clyburn Defensive Rebound.,69,52
1:14,2305,Foul on Sviatoslav Mykhailiuk.,69,52
1:14,2439,Kris Clyburn made Free Throw.,69,53
1:14,2439,Kris Clyburn missed Free Throw.,69,53
1:14,2305,Josh Jackson Defensive Rebound.,69,53
0:55,2305,Mitch Lightfoot made Jumper. Assisted by Frank Mason III.,71,53
0:42,2439,Jalen Poyser Turnover.,71,53
0:42,2305,Devonte' Graham Steal.,71,53
0:38,2305,Josh Jackson Turnover.,71,53
0:38,2439,Kris Clyburn Steal.,71,53
0:33,2439,Jalen Poyser missed Three Point Jumper.,71,53
0:33,2305,Sviatoslav Mykhailiuk Defensive Rebound.,71,53
0:00,2439,End of Game,71,53
