Cleveland State,2057,Belmont,325
10:27,325,Rob Edwards made Free Throw.,12,17
10:27,325,Rob Edwards made Free Throw.,13,17
10:01,2057,Foul on Evan Bradds.,13,17
10:01,2057,Evan Bradds Turnover.,13,17
9:34,325,Anthony Wright made Layup. Assisted by Rob Edwards.,15,17
9:23,2057,Amanze Egekeze missed Layup.,15,17
9:23,325,Terrell Hales Block.,15,17
9:21,325,Jibri Blount Defensive Rebound.,15,17
9:17,325,Rob Edwards Turnover.,15,17
9:06,2057,Taylor Barnette Turnover.,15,17
9:03,325,Terrell Hales Steal.,15,17
9:01,325,Terrell Hales Turnover.,15,17
8:32,2057,Taylor Barnette missed Three Point Jumper.,15,17
8:32,325,Anthony Wright Defensive Rebound.,15,17
8:09,325,Rob Edwards missed Jumper.,15,17
8:09,325,Anthony Wright Offensive Rebound.,15,17
8:05,325,Rob Edwards missed Three Point Jumper.,15,17
8:05,2057,Evan Bradds Defensive Rebound.,15,17
8:02,325,Foul on Jibri Blount.,15,17
8:02,2057,Evan Bradds made Free Throw.,15,18
8:02,2057,Evan Bradds made Free Throw.,15,19
7:37,325,Kasheem Thomas missed Three Point Jumper.,15,19
7:37,2057,Austin Luke Defensive Rebound.,15,19
7:26,2057,Seth Adelsperger made Layup. Assisted by Austin Luke.,15,21
7:20,325,Cleveland St  Timeout,15,21
7:20,2057,Official TV Timeout,15,21
7:05,325,Anthony Wright missed Jumper.,15,21
7:05,325,Anthony Wright Offensive Rebound.,15,21
7:00,325,Anthony Wright made Layup.,17,21
6:49,325,Foul on Bobby Word.,17,21
6:49,2057,Seth Adelsperger missed Free Throw.,17,21
6:49,2057,Belmont Deadball Team Rebound.,17,21
6:49,2057,Seth Adelsperger missed Free Throw.,17,21
6:49,325,Jamarcus Hairston Defensive Rebound.,17,21
6:35,325,Anthony Wright made Three Point Jumper. Assisted by Rob Edwards.,20,21
6:12,2057,Taylor Barnette Turnover.,20,21
6:11,325,Jamarcus Hairston Steal.,20,21
6:08,2057,Foul on Taylor Barnette.,20,21
6:08,325,Rob Edwards made Free Throw.,21,21
6:08,325,Rob Edwards made Free Throw.,22,21
5:51,2057,Austin Luke Turnover.,22,21
5:47,325,Rob Edwards missed Three Point Jumper.,22,21
5:47,325,Anthony Wright Offensive Rebound.,22,21
5:44,325,Jamarcus Hairston made Layup. Assisted by Anthony Wright.,24,21
5:31,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,24,24
5:06,325,Kenny Carpenter Turnover.,24,24
5:05,2057,Dylan Windler Steal.,24,24
5:02,2057,Dylan Windler made Layup.,24,26
4:48,2057,Foul on Evan Bradds.,24,26
4:48,325,Rob Edwards made Free Throw.,25,26
4:48,325,Rob Edwards made Free Throw.,26,26
4:37,2057,Amanze Egekeze made Three Point Jumper. Assisted by Michael Benkert.,26,29
4:22,325,Jamarcus Hairston missed Three Point Jumper.,26,29
4:22,2057,Dylan Windler Defensive Rebound.,26,29
4:13,2057,Amanze Egekeze missed Jumper.,26,29
4:13,325,Jamarcus Hairston Defensive Rebound.,26,29
3:59,325,Jamarcus Hairston Turnover.,26,29
3:59,2057,Dylan Windler Steal.,26,29
3:58,2057,Official TV Timeout,26,29
3:44,325,Foul on Daniel Levitt.,26,29
3:44,2057,Nick Smith made Free Throw.,26,30
3:44,2057,Nick Smith made Free Throw.,26,31
3:16,325,Kenny Carpenter missed Jumper.,26,31
3:16,2057,Amanze Egekeze Defensive Rebound.,26,31
3:07,2057,Amanze Egekeze missed Three Point Jumper.,26,31
3:07,325,Cleveland St Defensive Rebound.,26,31
2:36,325,Anthony Wright made Three Point Jumper. Assisted by Kasheem Thomas.,29,31
2:12,2057,Michael Benkert made Three Point Jumper. Assisted by Dylan Windler.,29,34
1:56,325,Jamarcus Hairston missed Jumper.,29,34
1:56,2057,Dylan Windler Defensive Rebound.,29,34
1:47,2057,Kevin McClain missed Three Point Jumper.,29,34
1:47,325,Anthony Wright Defensive Rebound.,29,34
1:40,325,Rob Edwards made Three Point Jumper. Assisted by Anthony Wright.,32,34
1:11,2057,Austin Luke made Three Point Jumper.,32,37
0:54,2057,Foul on Dylan Windler.,32,37
0:54,325,Rob Edwards missed Free Throw.,32,37
0:54,325,Cleveland St Deadball Team Rebound.,32,37
0:54,325,Rob Edwards made Free Throw.,33,37
0:45,2057,Belmont  Timeout,33,37
0:34,2057,Taylor Barnette made Three Point Jumper. Assisted by Nick Smith.,33,40
0:09,325,Kenny Carpenter missed Three Point Jumper.,33,40
0:09,325,Evan Clayborne Offensive Rebound.,33,40
0:04,325,Kasheem Thomas missed Three Point Jumper.,33,40
0:04,325,Anthony Wright Offensive Rebound.,33,40
0:00,325,Anthony Wright made Layup.,35,40
0:00,2057,End of 1st half,35,40
19:40,325,Demonte Flannigan made Jumper.,37,40
19:15,2057,Amanze Egekeze made Dunk. Assisted by Evan Bradds.,37,42
18:57,325,Demonte Flannigan made Jumper.,39,42
18:37,2057,Evan Bradds made Jumper.,39,44
18:37,325,Foul on Derek Sloan.,39,44
18:37,2057,Evan Bradds made Free Throw.,39,45
18:17,325,Bobby Word missed Layup.,39,45
18:17,2057,Amanze Egekeze Defensive Rebound.,39,45
17:50,2057,Dylan Windler made Three Point Jumper. Assisted by Taylor Barnette.,39,48
17:29,325,Bobby Word missed Three Point Jumper.,39,48
17:29,2057,Evan Bradds Defensive Rebound.,39,48
17:14,2057,Evan Bradds missed Jumper.,39,48
17:14,2057,Evan Bradds Offensive Rebound.,39,48
17:12,2057,Evan Bradds missed Layup.,39,48
17:12,325,Derek Sloan Block.,39,48
17:10,325,Kasheem Thomas Defensive Rebound.,39,48
17:03,2057,Foul on Amanze Egekeze.,39,48
17:03,325,Demonte Flannigan missed Free Throw.,39,48
17:03,325,Cleveland St Deadball Team Rebound.,39,48
17:03,325,Demonte Flannigan made Free Throw.,40,48
16:46,2057,Evan Bradds missed Jumper.,40,48
16:46,2057,Seth Adelsperger Offensive Rebound.,40,48
16:43,2057,Seth Adelsperger missed Layup.,40,48
16:43,2057,Evan Bradds Offensive Rebound.,40,48
16:40,2057,Evan Bradds made Layup.,40,50
16:25,2057,Foul on Seth Adelsperger.,40,50
16:25,325,Kasheem Thomas made Free Throw.,41,50
16:25,325,Kasheem Thomas made Free Throw.,42,50
16:09,2057,Evan Bradds missed Three Point Jumper.,42,50
16:09,325,Kasheem Thomas Defensive Rebound.,42,50
15:55,325,Kasheem Thomas made Three Point Jumper.,45,50
15:26,2057,Evan Bradds made Layup.,45,52
15:10,325,Demonte Flannigan missed Three Point Jumper.,45,52
15:10,2057,Dylan Windler Defensive Rebound.,45,52
14:53,2057,Dylan Windler made Three Point Jumper. Assisted by Evan Bradds.,45,55
14:44,325,Cleveland St  Timeout,45,55
14:27,325,Rob Edwards missed Three Point Jumper.,45,55
14:27,2057,Kevin McClain Defensive Rebound.,45,55
14:10,2057,Michael Benkert Turnover.,45,55
14:09,325,Kasheem Thomas Steal.,45,55
13:57,325,Demonte Flannigan made Jumper.,47,55
13:44,2057,Kevin McClain made Three Point Jumper.,47,58
13:16,325,Rob Edwards made Jumper.,49,58
12:57,2057,Nick Smith made Three Point Jumper. Assisted by Kevin McClain.,49,61
12:50,325,Cleveland St  Timeout,49,61
12:50,2057,Official TV Timeout,49,61
12:23,325,Kasheem Thomas missed Three Point Jumper.,49,61
12:23,2057,Amanze Egekeze Defensive Rebound.,49,61
12:20,325,Foul on Jamarcus Hairston.,49,61
12:06,325,Foul on Kasheem Thomas.,49,61
12:01,2057,Kevin McClain made Layup.,49,63
12:01,325,Foul on Kasheem Thomas.,49,63
12:01,2057,Kevin McClain made Free Throw.,49,64
11:40,325,Kasheem Thomas missed Three Point Jumper.,49,64
11:40,2057,Evan Bradds Defensive Rebound.,49,64
11:29,2057,Kevin McClain made Three Point Jumper. Assisted by Amanze Egekeze.,49,67
11:28,325,Foul on Kasheem Thomas.,49,67
11:28,2057,Official TV Timeout,49,67
11:28,2057,Kevin McClain made Free Throw.,49,68
11:23,325,Rob Edwards missed Layup.,49,68
11:23,2057,Kevin McClain Block.,49,68
11:21,2057,Taylor Barnette Defensive Rebound.,49,68
11:08,2057,Taylor Barnette missed Three Point Jumper.,49,68
11:08,325,Demonte Flannigan Defensive Rebound.,49,68
11:05,2057,Foul on Dylan Windler.,49,68
10:42,325,Demonte Flannigan missed Jumper.,49,68
10:42,2057,Burton Sampson Defensive Rebound.,49,68
10:18,2057,Taylor Barnette missed Three Point Jumper.,49,68
10:18,325,Rob Edwards Defensive Rebound.,49,68
10:08,2057,Foul on Burton Sampson.,49,68
9:47,325,Demonte Flannigan missed Jumper.,49,68
9:47,325,Cleveland St Offensive Rebound.,49,68
9:31,325,Foul on Rob Edwards.,49,68
9:31,325,Rob Edwards Turnover.,49,68
9:23,2057,Nick Smith missed Three Point Jumper.,49,68
9:23,325,Rob Edwards Defensive Rebound.,49,68
9:15,2057,Foul on Austin Luke.,49,68
9:12,325,Bobby Word Turnover.,49,68
8:51,2057,Nick Smith missed Three Point Jumper.,49,68
8:51,325,Demonte Flannigan Defensive Rebound.,49,68
8:38,325,Demonte Flannigan missed Jumper.,49,68
8:38,2057,Evan Bradds Defensive Rebound.,49,68
8:23,2057,Taylor Barnette made Layup. Assisted by Evan Bradds.,49,70
7:51,325,Kenny Carpenter missed Three Point Jumper.,49,70
7:51,2057,Taylor Barnette Defensive Rebound.,49,70
7:39,2057,Nick Smith made Three Point Jumper. Assisted by Austin Luke.,49,73
7:34,325,Cleveland St  Timeout,49,73
7:34,2057,Official TV Timeout,49,73
7:19,325,Rob Edwards missed Jumper.,49,73
7:19,2057,Dylan Windler Defensive Rebound.,49,73
7:07,2057,Evan Bradds made Layup. Assisted by Austin Luke.,49,75
6:44,2057,Foul on Evan Bradds.,49,75
6:25,325,Kasheem Thomas missed Layup.,49,75
6:25,325,Anthony Wright Offensive Rebound.,49,75
6:23,325,Foul on Anthony Wright.,49,75
6:23,325,Anthony Wright Turnover.,49,75
6:07,2057,Evan Bradds made Layup.,49,77
5:53,325,Daniel Levitt missed Three Point Jumper.,49,77
5:53,2057,Amanze Egekeze Defensive Rebound.,49,77
5:25,2057,Evan Bradds made Layup. Assisted by Austin Luke.,49,79
5:04,325,Anthony Wright missed Layup.,49,79
5:04,2057,Dylan Windler Block.,49,79
5:03,2057,Austin Luke Defensive Rebound.,49,79
4:50,2057,Taylor Barnette Turnover.,49,79
4:49,325,Anthony Wright Steal.,49,79
4:47,2057,Foul on Taylor Barnette.,49,79
4:47,325,Anthony Wright made Free Throw.,50,79
4:47,325,Anthony Wright made Free Throw.,51,79
4:36,325,Foul on Demonte Flannigan.,51,79
4:36,2057,Seth Adelsperger missed Free Throw.,51,79
4:36,2057,Belmont Deadball Team Rebound.,51,79
4:36,2057,Seth Adelsperger missed Free Throw.,51,79
4:36,325,Kasheem Thomas Defensive Rebound.,51,79
4:22,325,Demonte Flannigan Turnover.,51,79
4:22,2057,Dylan Windler Steal.,51,79
4:09,2057,Nick Smith missed Three Point Jumper.,51,79
4:09,2057,Seth Adelsperger Offensive Rebound.,51,79
3:53,2057,Dylan Windler missed Three Point Jumper.,51,79
3:53,325,Daniel Levitt Defensive Rebound.,51,79
3:39,325,Demonte Flannigan missed Jumper.,51,79
3:39,2057,Kevin McClain Defensive Rebound.,51,79
3:21,2057,Seth Adelsperger made Layup. Assisted by Kevin McClain.,51,81
3:21,325,Foul on Kasheem Thomas.,51,81
3:21,2057,Official TV Timeout,51,81
3:21,2057,Seth Adelsperger made Free Throw.,51,82
3:06,325,Nelson Maxwell missed Layup.,51,82
3:06,2057,Seth Adelsperger Defensive Rebound.,51,82
3:04,325,Foul on Nelson Maxwell.,51,82
3:04,2057,Seth Adelsperger made Free Throw.,51,83
3:04,2057,Seth Adelsperger made Free Throw.,51,84
2:53,325,Tim Hasbargen made Jumper.,53,84
2:53,2057,Foul on Tyler Hadden.,53,84
2:53,325,Tim Hasbargen made Free Throw.,54,84
2:50,2057,Kevin McClain Turnover.,54,84
2:49,325,Daniel Levitt Steal.,54,84
2:35,325,Nelson Maxwell missed Layup.,54,84
2:35,325,Evan Clayborne Offensive Rebound.,54,84
2:35,2057,Foul on Josh Lester.,54,84
2:35,325,Evan Clayborne missed Free Throw.,54,84
2:35,325,Cleveland St Deadball Team Rebound.,54,84
2:35,325,Evan Clayborne missed Free Throw.,54,84
2:35,2057,Josh Lester Defensive Rebound.,54,84
2:23,325,Foul on Nelson Maxwell.,54,84
2:23,2057,Seth Adelsperger missed Free Throw.,54,84
2:23,2057,Belmont Deadball Team Rebound.,54,84
2:23,2057,Seth Adelsperger made Free Throw.,54,85
2:09,325,Daniel Levitt missed Three Point Jumper.,54,85
2:09,2057,Kevin McClain Defensive Rebound.,54,85
1:41,2057,Kevin McClain made Layup.,54,87
1:29,325,Tim Hasbargen missed Three Point Jumper.,54,87
1:29,2057,Kevin McClain Defensive Rebound.,54,87
1:15,325,Foul on Nelson Maxwell.,54,87
1:15,2057,Kevin McClain missed Free Throw.,54,87
1:15,2057,Belmont Deadball Team Rebound.,54,87
1:15,2057,Kevin McClain missed Free Throw.,54,87
1:15,325,Evan Clayborne Defensive Rebound.,54,87
1:02,325,Evan Clayborne made Dunk. Assisted by Tim Hasbargen.,56,87
0:37,2057,Burton Sampson Turnover.,56,87
0:36,325,Nelson Maxwell Steal.,56,87
0:32,325,Nelson Maxwell made Layup.,58,87
0:30,325,Foul on Nelson Maxwell.,58,87
0:30,2057,Kevin McClain missed Free Throw.,58,87
0:30,2057,Belmont Deadball Team Rebound.,58,87
0:30,2057,Kevin McClain made Free Throw.,58,88
0:19,325,Tim Hasbargen made Three Point Jumper. Assisted by Evan Clayborne.,61,88
0:00,2057,End of Game,61,88
