Walla Walla University,Error,Portland State,2502
12:12,-1,Ethan Osias missed Three Point Jumper.,46,94
12:12,2502,Montie Leunen Defensive Rebound.,46,94
12:01,2502,Brandon Hollins made Layup. Assisted by Khari Holloway.,46,96
11:43,-1,Stuart Tonack made Jumper. Assisted by Chad Torkelsen.,48,96
11:28,2502,Deontae North made Three Point Jumper. Assisted by Michael Mayhew.,48,99
11:09,-1,Chad Torkelsen missed Three Point Jumper.,48,99
11:09,2502,Portland St Defensive Rebound.,48,99
11:06,2502,Official TV Timeout,48,99
10:54,2502,Michael Mayhew missed Three Point Jumper.,48,99
10:54,2502,Brendan Rumel Offensive Rebound.,48,99
10:50,2502,Brendan Rumel made Layup.,48,101
10:37,-1,Dylan Browning Turnover.,48,101
10:26,2502,Brendan Rumel missed Jumper.,48,101
10:26,-1,Ethan Osias Defensive Rebound.,48,101
10:16,-1,Dylan Browning missed Jumper.,48,101
10:16,-1,Zayne Browning Offensive Rebound.,48,101
10:11,-1,Zayne Browning missed Jumper.,48,101
10:11,2502,Brendan Rumel Defensive Rebound.,48,101
10:04,2502,Khari Holloway missed Jumper.,48,101
10:04,2502,Portland St Offensive Rebound.,48,101
9:52,2502,Michael Mayhew missed Jumper.,48,101
9:52,-1,Dylan Browning Defensive Rebound.,48,101
9:42,-1,Trent Torkelsen Turnover.,48,101
9:40,2502,Michael Mayhew Steal.,48,101
9:29,2502,Michael Mayhew made Three Point Jumper. Assisted by Khari Holloway.,48,104
9:14,-1,Dylan Browning made Jumper. Assisted by Zayne Browning.,50,104
8:57,2502,Brendan Rumel missed Jumper.,50,104
8:57,-1,Joey Inman Defensive Rebound.,50,104
8:43,-1,Dylan Browning missed Three Point Jumper.,50,104
8:43,-1,Trent Torkelsen Offensive Rebound.,50,104
8:37,-1,Trent Torkelsen made Jumper.,52,104
8:20,-1,Foul on Zayne Browning.,52,104
8:17,2502,Michael Mayhew missed Three Point Jumper.,52,104
8:17,-1,Walla Walla University Defensive Rebound.,52,104
7:51,-1,Isaiah Taylor missed Three Point Jumper.,52,104
7:51,2502,Tyrell Henderson Defensive Rebound.,52,104
7:40,2502,Tyrell Henderson missed Jumper.,52,104
7:40,-1,Dylan Browning Block.,52,104
7:37,-1,Spencer Woodworth Defensive Rebound.,52,104
7:29,-1,Zayne Browning made Jumper.,54,104
7:18,2502,Brendan Rumel made Jumper. Assisted by Tyrell Henderson.,54,106
6:50,-1,Zayne Browning missed Jumper.,54,106
6:50,2502,Brendan Rumel Defensive Rebound.,54,106
6:36,2502,Michael Mayhew Turnover.,54,106
6:36,-1,Joey Inman Steal.,54,106
6:36,2502,Foul on Michael Mayhew.,54,106
6:36,2502,Official TV Timeout,54,106
6:17,-1,Zayne Browning made Three Point Jumper. Assisted by Alec Calloway.,57,106
6:00,2502,Tyrell Henderson missed Jumper.,57,106
6:00,2502,Brendan Rumel Offensive Rebound.,57,106
5:56,2502,Brendan Rumel made Jumper.,57,108
5:45,-1,Alec Calloway Turnover.,57,108
5:43,2502,Khari Holloway Steal.,57,108
5:41,2502,Khari Holloway made Layup.,57,110
5:22,-1,Isaiah Taylor missed Three Point Jumper.,57,110
5:22,2502,Brendan Rumel Defensive Rebound.,57,110
5:02,2502,Montie Leunen made Layup.,57,112
5:02,-1,Foul on Stuart Tonack.,57,112
5:02,2502,Montie Leunen made Free Throw.,57,113
4:54,-1,Stuart Tonack missed Jumper.,57,113
4:54,2502,Montie Leunen Defensive Rebound.,57,113
4:36,2502,Khari Holloway missed Three Point Jumper.,57,113
4:36,-1,Trent Torkelsen Defensive Rebound.,57,113
4:20,-1,Zayne Browning made Layup.,59,113
4:05,2502,Montie Leunen missed Jumper.,59,113
4:05,2502,Tyrell Henderson Offensive Rebound.,59,113
4:02,2502,Tyrell Henderson Turnover.,59,113
3:54,-1,Alec Calloway missed Three Point Jumper.,59,113
3:54,-1,Zayne Browning Offensive Rebound.,59,113
3:49,2502,Official TV Timeout,59,113
3:19,-1,Spencer Woodworth missed Three Point Jumper.,59,113
3:19,2502,Brendan Rumel Defensive Rebound.,59,113
2:55,2502,Tyrell Henderson made Jumper. Assisted by Montie Leunen.,59,115
2:31,-1,Trent Torkelsen missed Jumper.,59,115
2:31,2502,Portland St Defensive Rebound.,59,115
2:29,-1,Foul on Austin Jennings.,59,115
2:07,2502,Tyrell Henderson missed Three Point Jumper.,59,115
2:07,-1,Joey Inman Defensive Rebound.,59,115
1:46,-1,Austin Jennings Turnover.,59,115
1:45,2502,Tyrell Henderson Steal.,59,115
1:42,-1,Foul on Trent Torkelsen.,59,115
1:42,2502,Khari Holloway missed Free Throw.,59,115
1:42,2502,Portland St Deadball Team Rebound.,59,115
1:42,2502,Khari Holloway missed Free Throw.,59,115
1:42,-1,Joey Inman Defensive Rebound.,59,115
1:36,-1,Trent Torkelsen Turnover.,59,115
1:35,2502,Tyrell Henderson Steal.,59,115
1:31,2502,Tyrell Henderson missed Jumper.,59,115
1:31,2502,Tyrell Henderson Offensive Rebound.,59,115
1:26,2502,Tyrell Henderson made Three Point Jumper. Assisted by Khari Holloway.,59,118
1:04,-1,Dylan Browning Turnover.,59,118
0:56,2502,Michael Mayhew missed Three Point Jumper.,59,118
0:56,-1,Chad Torkelsen Defensive Rebound.,59,118
0:32,-1,Trent Torkelsen missed Jumper.,59,118
0:32,2502,Portland St Defensive Rebound.,59,118
0:21,2502,Brendan Rumel missed Jumper.,59,118
0:21,-1,Spencer Woodworth Defensive Rebound.,59,118
0:12,-1,Spencer Woodworth missed Jumper.,59,118
0:12,2502,Montie Leunen Defensive Rebound.,59,118
0:00,2502,End of Game,59,118
