Santa Clara,2674,Valparaiso,2541
10:25,2674,Alec Peters Offensive Rebound.,21,17
10:24,2674,Alec Peters made Layup.,21,19
10:05,2541,Jarvis Pugh missed Three Point Jumper.,21,19
10:05,2674,Micah Bradford Defensive Rebound.,21,19
9:51,2541,Foul on Jarvis Pugh.,21,19
9:47,2674,Nick Davidson missed Three Point Jumper.,21,19
9:47,2674,Alec Peters Offensive Rebound.,21,19
9:26,2674,Derrik Smits made Layup. Assisted by Shane Hammink.,21,21
9:15,2541,Emmanuel Ndumanya Turnover.,21,21
8:55,2674,Alec Peters missed Three Point Jumper.,21,21
8:55,2541,KJ Feagin Defensive Rebound.,21,21
8:42,2541,Nate Kratch missed Three Point Jumper.,21,21
8:42,2674,Micah Bradford Defensive Rebound.,21,21
8:33,2541,Foul on Nate Kratch.,21,21
8:26,2674,Shane Hammink Turnover.,21,21
8:04,2541,Jared Brownridge missed Jumper.,21,21
8:04,2674,Alec Peters Defensive Rebound.,21,21
7:49,2674,Micah Bradford Turnover.,21,21
7:49,2674,Official TV Timeout,21,21
7:26,2541,Nate Kratch made Jumper.,23,21
7:00,2541,Foul on Emmanuel Ndumanya.,23,21
7:00,2674,Derrik Smits missed Free Throw.,23,21
7:00,2541,Nate Kratch Defensive Rebound.,23,21
6:41,2541,Matt Hauser missed Jumper.,23,21
6:41,2674,Derrik Smits Defensive Rebound.,23,21
6:20,2674,Lexus Williams Turnover.,23,21
6:19,2541,Matt Hauser Steal.,23,21
6:17,2674,Foul on Shane Hammink.,23,21
5:52,2541,Jared Brownridge made Three Point Jumper. Assisted by KJ Feagin.,26,21
5:19,2674,Lexus Williams made Layup.,26,23
5:03,2541,Jared Brownridge made Three Point Jumper. Assisted by KJ Feagin.,29,23
4:58,2674,Valparaiso  Timeout,29,23
4:45,2541,Foul on Henrik Jadersten.,29,23
4:45,2674,Alec Peters missed Free Throw.,29,23
4:45,2674,Valparaiso Deadball Team Rebound.,29,23
4:45,2674,Alec Peters missed Free Throw.,29,23
4:45,2541,Nate Kratch Defensive Rebound.,29,23
4:34,2541,Henrik Jadersten made Three Point Jumper. Assisted by Matt Hauser.,32,23
4:15,2674,Jaume Sorolla made Jumper.,32,25
3:55,2541,KJ Feagin made Three Point Jumper. Assisted by Jared Brownridge.,35,25
3:39,2674,Shane Hammink made Layup.,35,27
3:25,2541,Henrik Jadersten missed Jumper.,35,27
3:25,2674,Shane Hammink Defensive Rebound.,35,27
3:11,2674,Jaume Sorolla missed Jumper.,35,27
3:11,2541,Nate Kratch Defensive Rebound.,35,27
2:55,2541,Henrik Jadersten missed Jumper.,35,27
2:55,2674,Shane Hammink Defensive Rebound.,35,27
2:35,2674,Jaume Sorolla missed Jumper.,35,27
2:35,2541,Henrik Jadersten Defensive Rebound.,35,27
2:15,2541,Jared Brownridge Turnover.,35,27
2:15,2674,Official TV Timeout,35,27
2:00,2674,Alec Peters made Jumper.,35,29
1:45,2541,Henrik Jadersten made Three Point Jumper. Assisted by Matt Hauser.,38,29
1:31,2541,Foul on Henrik Jadersten.,38,29
1:31,2674,Shane Hammink made Free Throw.,38,30
1:31,2674,Shane Hammink made Free Throw.,38,31
1:07,2541,Nate Kratch missed Jumper.,38,31
1:07,2674,Alec Peters Defensive Rebound.,38,31
0:54,2674,Shane Hammink made Jumper.,38,33
0:41,2541,Nate Kratch missed Jumper.,38,33
0:41,2674,Alec Peters Defensive Rebound.,38,33
0:17,2674,Shane Hammink missed Three Point Jumper.,38,33
0:17,2541,Santa Clara Defensive Rebound.,38,33
0:13,2541,Santa Clara  Timeout,38,33
0:04,2541,Matt Hauser missed Jumper.,38,33
0:04,2674,Lexus Williams Defensive Rebound.,38,33
0:00,2674,End of 1st half,38,33
19:50,2541,Nate Kratch made Jumper. Assisted by Matt Hauser.,40,33
19:30,2674,Foul on Jaume Sorolla.,40,33
19:30,2674,Jaume Sorolla Turnover.,40,33
19:06,2541,Nate Kratch missed Three Point Jumper.,40,33
19:06,2541,Emmanuel Ndumanya Offensive Rebound.,40,33
18:44,2541,Matt Hauser made Jumper. Assisted by Jared Brownridge.,42,33
18:27,2674,Alec Peters made Jumper. Assisted by Lexus Williams.,42,35
18:04,2541,Kai Healy made Layup.,44,35
17:42,2541,Foul on Nate Kratch.,44,35
17:37,2674,Alec Peters made Three Point Jumper. Assisted by Tevonn Walker.,44,38
17:21,2541,Nate Kratch missed Jumper.,44,38
17:21,2674,Jaume Sorolla Defensive Rebound.,44,38
17:08,2674,Alec Peters made Jumper.,44,40
17:08,2541,Foul on Emmanuel Ndumanya.,44,40
17:08,2674,Alec Peters made Free Throw.,44,41
16:52,2541,Matt Hauser made Jumper. Assisted by Jared Brownridge.,46,41
16:32,2674,Alec Peters missed Three Point Jumper.,46,41
16:32,2674,Jaume Sorolla Offensive Rebound.,46,41
16:27,2674,Jaume Sorolla missed Jumper.,46,41
16:27,2541,Jared Brownridge Defensive Rebound.,46,41
16:01,2541,Foul on Emmanuel Ndumanya.,46,41
16:01,2541,Emmanuel Ndumanya Turnover.,46,41
15:51,2674,Alec Peters missed Jumper.,46,41
15:51,2541,Matt Hauser Defensive Rebound.,46,41
15:46,2541,Jared Brownridge missed Three Point Jumper.,46,41
15:46,2674,Jaume Sorolla Defensive Rebound.,46,41
15:36,2541,Foul on Kai Healy.,46,41
15:36,2674,Official TV Timeout,46,41
15:29,2674,Tevonn Walker missed Jumper.,46,41
15:29,2541,Henrik Jadersten Defensive Rebound.,46,41
15:14,2541,Henrik Jadersten missed Three Point Jumper.,46,41
15:14,2674,Tevonn Walker Defensive Rebound.,46,41
14:55,2674,Tevonn Walker made Layup.,46,43
14:29,2541,Henrik Jadersten missed Jumper.,46,43
14:29,2674,Shane Hammink Defensive Rebound.,46,43
14:08,2674,Max Joseph made Layup.,46,45
13:56,2674,Foul on Max Joseph.,46,45
13:41,2674,Foul on Jaume Sorolla.,46,45
13:41,2541,Henrik Jadersten made Free Throw.,47,45
13:41,2541,Henrik Jadersten made Free Throw.,48,45
13:31,2674,Alec Peters made Three Point Jumper. Assisted by Shane Hammink.,48,48
13:13,2541,Matt Hauser missed Jumper.,48,48
13:13,2674,Alec Peters Defensive Rebound.,48,48
12:46,2674,Alec Peters made Three Point Jumper.,48,51
12:21,2541,Jared Brownridge made Three Point Jumper. Assisted by Jarvis Pugh.,51,51
11:55,2541,Foul on Jared Brownridge.,51,51
11:55,2674,Official TV Timeout,51,51
11:55,2674,Valparaiso  Timeout,51,51
11:55,2674,Official TV Timeout,51,51
11:45,2674,Tevonn Walker made Three Point Jumper. Assisted by Shane Hammink.,51,54
11:19,2541,Jarvis Pugh missed Three Point Jumper.,51,54
11:19,2674,Jaume Sorolla Defensive Rebound.,51,54
10:59,2674,Jaume Sorolla missed Jumper.,51,54
10:59,2541,Nate Kratch Defensive Rebound.,51,54
10:47,2541,Nate Kratch missed Three Point Jumper.,51,54
10:47,2674,Jaume Sorolla Defensive Rebound.,51,54
10:27,2674,Alec Peters missed Three Point Jumper.,51,54
10:27,2541,Nate Kratch Defensive Rebound.,51,54
10:13,2541,KJ Feagin made Jumper.,53,54
9:53,2674,Shane Hammink Turnover.,53,54
9:53,2541,Jarvis Pugh Steal.,53,54
9:53,2541,Jarvis Pugh Turnover.,53,54
9:53,2674,Alec Peters Steal.,53,54
9:44,2541,Foul on Nate Kratch.,53,54
9:44,2674,Shane Hammink made Free Throw.,53,55
9:44,2674,Shane Hammink made Free Throw.,53,56
9:29,2541,Kai Healy made Three Point Jumper. Assisted by Jared Brownridge.,56,56
9:11,2674,Shane Hammink Turnover.,56,56
8:55,2541,Jared Brownridge made Layup.,58,56
8:34,2674,Tevonn Walker missed Three Point Jumper.,58,56
8:34,2674,Alec Peters Offensive Rebound.,58,56
8:30,2674,Tevonn Walker missed Dunk.,58,56
8:30,2541,Kai Healy Defensive Rebound.,58,56
8:21,2541,Foul on Jarvis Pugh.,58,56
8:21,2541,Jarvis Pugh Turnover.,58,56
8:11,2674,Alec Peters made Three Point Jumper. Assisted by Lexus Williams.,58,59
7:47,2541,Matt Hauser missed Three Point Jumper.,58,59
7:47,2674,Shane Hammink Defensive Rebound.,58,59
7:37,2541,Foul on Jarvis Pugh.,58,59
7:37,2674,Official TV Timeout,58,59
7:37,2674,Alec Peters made Free Throw.,58,60
7:37,2674,Alec Peters made Free Throw.,58,61
7:15,2541,KJ Feagin missed Layup.,58,61
7:15,2674,Alec Peters Defensive Rebound.,58,61
7:02,2674,Tevonn Walker missed Layup.,58,61
7:02,2541,Nate Kratch Defensive Rebound.,58,61
6:57,2541,Jared Brownridge missed Three Point Jumper.,58,61
6:57,2674,Nick Davidson Defensive Rebound.,58,61
6:29,2541,Foul on Henrik Jadersten.,58,61
6:29,2674,Alec Peters made Free Throw.,58,62
6:29,2674,Alec Peters made Free Throw.,58,63
6:22,2541,Matt Hauser made Three Point Jumper. Assisted by KJ Feagin.,61,63
6:02,2674,Alec Peters made Three Point Jumper. Assisted by Nick Davidson.,61,66
5:33,2674,Foul on Nick Davidson.,61,66
5:32,2674,Foul on Lexus Williams.,61,66
5:32,2541,Jared Brownridge made Free Throw.,62,66
5:32,2541,Jared Brownridge made Free Throw.,63,66
5:21,2674,Shane Hammink made Layup.,63,68
4:59,2541,Jarvis Pugh made Jumper. Assisted by Matt Hauser.,65,68
4:25,2674,Lexus Williams missed Jumper.,65,68
4:25,2541,Nate Kratch Defensive Rebound.,65,68
4:03,2541,Jarvis Pugh missed Layup.,65,68
4:03,2674,Lexus Williams Defensive Rebound.,65,68
3:52,2674,Alec Peters missed Jumper.,65,68
3:52,2541,Kai Healy Defensive Rebound.,65,68
3:23,2541,Jared Brownridge made Three Point Jumper.,68,68
2:52,2674,Shane Hammink made Layup.,68,70
2:43,2541,Santa Clara  Timeout,68,70
2:43,2674,Official TV Timeout,68,70
2:32,2541,KJ Feagin Turnover.,68,70
2:30,2674,Alec Peters Steal.,68,70
2:04,2674,Shane Hammink missed Three Point Jumper.,68,70
2:04,2541,KJ Feagin Defensive Rebound.,68,70
1:56,2541,KJ Feagin missed Three Point Jumper.,68,70
1:56,2541,Jarvis Pugh Offensive Rebound.,68,70
1:38,2541,Nate Kratch made Jumper.,70,70
1:09,2674,Alec Peters missed Jumper.,70,70
1:09,2541,Nate Kratch Defensive Rebound.,70,70
0:51,2541,Santa Clara  Timeout,70,70
0:43,2541,KJ Feagin Turnover.,70,70
0:30,2674,Valparaiso  Timeout,70,70
0:19,2674,Shane Hammink Turnover.,70,70
0:18,2541,Matt Hauser Steal.,70,70
0:02,2541,Jared Brownridge missed Three Point Jumper.,70,70
0:02,2674,Alec Peters Defensive Rebound.,70,70
0:00,2674,End of 2nd half,70,70
4:43,2541,Foul on Jarvis Pugh.,70,70
4:43,2674,Tevonn Walker made Free Throw.,70,71
4:43,2674,Tevonn Walker made Free Throw.,70,72
4:16,2541,Henrik Jadersten missed Three Point Jumper.,70,72
4:16,2674,Alec Peters Defensive Rebound.,70,72
3:45,2674,Tevonn Walker missed Three Point Jumper.,70,72
3:45,2674,Alec Peters Offensive Rebound.,70,72
3:41,2674,Alec Peters missed Layup.,70,72
3:41,2541,Jared Brownridge Defensive Rebound.,70,72
3:17,2541,Jared Brownridge missed Jumper.,70,72
3:17,2541,Nate Kratch Offensive Rebound.,70,72
3:12,2541,Nate Kratch made Two Point Tip Shot.,72,72
2:54,2674,Alec Peters missed Jumper.,72,72
2:54,2541,Nate Kratch Defensive Rebound.,72,72
2:28,2541,Jared Brownridge made Jumper. Assisted by Kai Healy.,74,72
2:05,2674,Alec Peters missed Layup.,74,72
2:05,2541,Henrik Jadersten Block.,74,72
2:04,2541,Henrik Jadersten Defensive Rebound.,74,72
1:48,2541,Foul on Henrik Jadersten.,74,72
1:48,2541,Henrik Jadersten Turnover.,74,72
1:27,2674,Lexus Williams made Layup.,74,74
1:10,2674,Foul on Tevonn Walker.,74,74
1:03,2541,Jared Brownridge missed Jumper.,74,74
1:03,2541,Emmanuel Ndumanya Offensive Rebound.,74,74
0:54,2541,Santa Clara  Timeout,74,74
0:54,2674,Official TV Timeout,74,74
0:31,2541,KJ Feagin missed Jumper.,74,74
0:31,2674,Tevonn Walker Defensive Rebound.,74,74
0:04,2674,Alec Peters missed Three Point Jumper.,74,74
0:04,2541,Jared Brownridge Defensive Rebound.,74,74
0:00,2674,End of 1st overtime,74,74
4:39,2541,Matt Hauser made Jumper.,76,74
4:24,2674,Tevonn Walker Turnover.,76,74
4:00,2541,Nate Kratch missed Three Point Jumper.,76,74
4:00,2674,Valparaiso Defensive Rebound.,76,74
3:37,2674,Tevonn Walker Turnover.,76,74
3:19,2541,Matt Hauser missed Jumper.,76,74
3:19,2541,Nate Kratch Offensive Rebound.,76,74
2:55,2541,Jared Brownridge missed Three Point Jumper.,76,74
2:55,2541,Kai Healy Offensive Rebound.,76,74
2:52,2541,Kai Healy missed Layup.,76,74
2:52,2674,Alec Peters Defensive Rebound.,76,74
2:37,2674,Valparaiso  Timeout,76,74
2:37,2674,Official TV Timeout,76,74
2:27,2674,Alec Peters made Jumper. Assisted by Nick Davidson.,76,76
1:58,2541,Jared Brownridge made Layup.,78,76
1:39,2674,Shane Hammink made Layup. Assisted by Nick Davidson.,78,78
1:11,2541,Jared Brownridge made Layup. Assisted by Matt Hauser.,80,78
0:54,2674,Alec Peters missed Three Point Jumper.,80,78
0:54,2541,Jared Brownridge Defensive Rebound.,80,78
0:28,2674,Foul on Lexus Williams.,80,78
0:28,2541,Matt Hauser made Free Throw.,81,78
0:28,2674,Valparaiso  Timeout,81,78
0:28,2541,Matt Hauser made Free Throw.,82,78
0:28,2541,Santa Clara  Timeout,82,78
0:24,2674,Shane Hammink made Layup.,82,80
0:24,2674,Foul on Alec Peters.,82,80
0:24,2541,Jared Brownridge made Free Throw.,83,80
0:24,2541,Jared Brownridge made Free Throw.,84,80
0:24,2674,Alec Peters Turnover.,84,80
0:23,2541,Kai Healy Steal.,84,80
0:21,2674,Foul on Alec Peters.,84,80
0:21,2541,Kai Healy made Free Throw.,85,80
0:21,2541,Kai Healy made Free Throw.,86,80
0:16,2674,Shane Hammink missed Layup.,86,80
0:16,2541,Kai Healy Defensive Rebound.,86,80
0:13,2674,Foul on Lexus Williams.,86,80
0:13,2541,Kai Healy missed Free Throw.,86,80
0:13,2541,Santa Clara Deadball Team Rebound.,86,80
0:13,2541,Kai Healy made Free Throw.,87,80
0:09,2674,Alec Peters missed Three Point Jumper.,87,80
0:09,2674,Tevonn Walker Offensive Rebound.,87,80
0:04,2674,Alec Peters missed Three Point Jumper.,87,80
0:04,2541,Nate Kratch Defensive Rebound.,87,80
0:00,2674,End of Game,87,80
