McNeese,152,NC State,2377
14:12,2377,LaBarrius Hill Turnover.,8,16
14:01,152,Abdul-Malik Abu missed Jumper.,8,16
14:01,152,Omer Yurtseven Offensive Rebound.,8,16
13:51,152,Dennis Smith Jr. missed Layup.,8,16
13:51,2377,LaBarrius Hill Block.,8,16
13:49,152,Abdul-Malik Abu Offensive Rebound.,8,16
13:48,152,Abdul-Malik Abu made Layup.,8,18
13:48,2377,Foul on Jamaya Burr.,8,18
13:48,152,Abdul-Malik Abu made Free Throw.,8,19
13:27,2377,Jamaya Burr missed Layup.,8,19
13:27,152,Dennis Smith Jr. Block.,8,19
13:23,152,Dennis Smith Jr. Defensive Rebound.,8,19
13:18,152,Maverick Rowan missed Three Point Jumper.,8,19
13:18,152,Omer Yurtseven Offensive Rebound.,8,19
13:05,152,Dennis Smith Jr. Turnover.,8,19
13:03,2377,Stephen Ugochukwu Steal.,8,19
12:58,2377,Kalob Ledoux Turnover.,8,19
12:46,152,Dennis Smith Jr. made Dunk. Assisted by Markell Johnson.,8,21
12:36,2377,Stephen Ugochukwu Turnover.,8,21
12:35,152,Dennis Smith Jr. Steal.,8,21
12:32,152,Dennis Smith Jr. made Dunk.,8,23
12:30,2377,McNeese  Timeout,8,23
12:08,2377,Kalob Ledoux missed Three Point Jumper.,8,23
12:08,2377,McNeese Deadball Team Rebound.,8,23
12:00,2377,Stephen Ugochukwu made Layup.,10,23
11:44,152,Markell Johnson Turnover.,10,23
11:18,2377,Jamaya Burr made Jumper.,12,23
11:01,152,Maverick Rowan made Jumper. Assisted by Omer Yurtseven.,12,25
10:51,2377,Stephen Ugochukwu missed Jumper.,12,25
10:51,152,Ted Kapita Defensive Rebound.,12,25
10:49,2377,Foul on Howard Thomas.,12,25
10:36,152,Maverick Rowan missed Three Point Jumper.,12,25
10:36,152,Omer Yurtseven Offensive Rebound.,12,25
10:30,152,Torin Dorn made Jumper.,12,27
10:14,2377,James Harvey missed Three Point Jumper.,12,27
10:14,152,Ted Kapita Defensive Rebound.,12,27
10:07,2377,Foul on James Harvey.,12,27
10:07,152,Torin Dorn missed Free Throw.,12,27
10:07,152,NC State Deadball Team Rebound.,12,27
10:07,152,Torin Dorn made Free Throw.,12,28
9:51,2377,Jarren Greenwood missed Three Point Jumper.,12,28
9:51,152,Maverick Rowan Defensive Rebound.,12,28
9:35,152,Ted Kapita missed Jumper.,12,28
9:35,2377,LaBarrius Hill Defensive Rebound.,12,28
9:21,2377,Howard Thomas Turnover.,12,28
9:21,2377,Foul on Howard Thomas.,12,28
9:10,152,Markell Johnson missed Jumper.,12,28
9:10,2377,Kalob Ledoux Defensive Rebound.,12,28
8:55,2377,Kalob Ledoux missed Three Point Jumper.,12,28
8:55,152,Ted Kapita Defensive Rebound.,12,28
8:47,152,Torin Dorn missed Layup.,12,28
8:47,152,Omer Yurtseven Offensive Rebound.,12,28
8:44,152,Omer Yurtseven made Two Point Tip Shot.,12,30
8:39,2377,Jarren Greenwood made Jumper.,14,30
8:24,152,Maverick Rowan made Three Point Jumper. Assisted by Markell Johnson.,14,33
8:08,152,Foul on Markell Johnson.,14,33
7:55,2377,Kalob Ledoux made Jumper.,16,33
7:26,152,Terry Henderson missed Three Point Jumper.,16,33
7:26,2377,McNeese Defensive Rebound.,16,33
7:24,152,Foul on Abdul-Malik Abu.,16,33
7:24,152,Official TV Timeout,16,33
7:24,2377,Jarren Greenwood made Free Throw.,17,33
7:24,2377,Jarren Greenwood missed Free Throw.,17,33
7:24,152,Abdul-Malik Abu Defensive Rebound.,17,33
7:14,152,Maverick Rowan made Three Point Jumper. Assisted by Abdul-Malik Abu.,17,36
6:59,2377,Kalob Ledoux Turnover.,17,36
6:50,152,Dennis Smith Jr. made Three Point Jumper.,17,39
6:49,2377,Foul on Lance Potier.,17,39
6:49,152,Dennis Smith Jr. made Free Throw.,17,40
6:37,2377,Stephen Ugochukwu missed Jumper.,17,40
6:37,152,Ted Kapita Defensive Rebound.,17,40
6:30,152,Dennis Smith Jr. missed Three Point Jumper.,17,40
6:30,2377,Stephen Ugochukwu Defensive Rebound.,17,40
6:18,2377,Jamaya Burr made Layup.,19,40
6:02,152,Ted Kapita Turnover.,19,40
5:49,2377,Lance Potier Turnover.,19,40
5:37,152,Maverick Rowan made Three Point Jumper. Assisted by Dennis Smith Jr..,19,43
5:16,2377,Jarren Greenwood missed Three Point Jumper.,19,43
5:16,2377,LaBarrius Hill Offensive Rebound.,19,43
5:12,2377,LaBarrius Hill made Layup.,21,43
5:12,152,Foul on Omer Yurtseven.,21,43
5:12,2377,LaBarrius Hill made Free Throw.,22,43
5:01,2377,Foul on Stephen Ugochukwu.,22,43
5:01,152,Terry Henderson made Free Throw.,22,44
5:01,152,Terry Henderson made Free Throw.,22,45
4:37,2377,Jamaya Burr made Three Point Jumper. Assisted by Lance Potier.,25,45
4:20,152,BeeJay Anya missed Layup.,25,45
4:20,2377,Stephen Ugochukwu Defensive Rebound.,25,45
4:11,2377,Jamaya Burr missed Layup.,25,45
4:11,152,Dennis Smith Jr. Defensive Rebound.,25,45
4:04,152,Maverick Rowan missed Three Point Jumper.,25,45
4:04,152,Abdul-Malik Abu Offensive Rebound.,25,45
3:59,152,Abdul-Malik Abu Turnover.,25,45
3:44,2377,Lance Potier missed Three Point Jumper.,25,45
3:44,152,BeeJay Anya Defensive Rebound.,25,45
3:27,152,Dennis Smith Jr. missed Jumper.,25,45
3:27,2377,Lance Potier Defensive Rebound.,25,45
3:16,2377,Stephen Ugochukwu missed Layup.,25,45
3:16,152,Terry Henderson Defensive Rebound.,25,45
3:10,152,Terry Henderson Turnover.,25,45
3:09,2377,Lance Potier Steal.,25,45
3:04,2377,Jarren Greenwood missed Three Point Jumper.,25,45
3:04,152,Terry Henderson Block.,25,45
3:03,152,Dennis Smith Jr. Defensive Rebound.,25,45
2:59,152,Terry Henderson Turnover.,25,45
2:59,152,Foul on Terry Henderson.,25,45
2:59,152,Official TV Timeout,25,45
2:45,2377,Jacob Ledoux Turnover.,25,45
2:45,2377,Foul on Jacob Ledoux.,25,45
2:29,152,Markell Johnson missed Jumper.,25,45
2:29,2377,Jamaya Burr Block.,25,45
2:29,152,NC State Offensive Rebound.,25,45
2:26,2377,Foul on Jarren Greenwood.,25,45
2:26,152,Torin Dorn missed Free Throw.,25,45
2:26,2377,Stephen Ugochukwu Defensive Rebound.,25,45
2:09,2377,Stephen Ugochukwu missed Jumper.,25,45
2:09,152,Maverick Rowan Defensive Rebound.,25,45
1:41,2377,Foul on Stephen Ugochukwu.,25,45
1:41,152,Torin Dorn made Free Throw.,25,46
1:41,152,Torin Dorn made Free Throw.,25,47
1:28,2377,Richard Laku made Three Point Jumper. Assisted by Jamaya Burr.,28,47
1:00,152,Markell Johnson missed Jumper.,28,47
1:00,152,Ted Kapita Offensive Rebound.,28,47
0:57,2377,Foul on LaBarrius Hill.,28,47
0:57,152,Ted Kapita made Free Throw.,28,48
0:57,152,Ted Kapita made Free Throw.,28,49
0:47,2377,LaBarrius Hill missed Jumper.,28,49
0:47,152,Maverick Rowan Defensive Rebound.,28,49
0:40,152,Maverick Rowan Turnover.,28,49
0:33,2377,Jacob Ledoux missed Three Point Jumper.,28,49
0:33,152,Torin Dorn Defensive Rebound.,28,49
0:03,152,Markell Johnson missed Jumper.,28,49
0:03,2377,LaBarrius Hill Block.,28,49
0:03,152,NC State Offensive Rebound.,28,49
0:03,152,NC State  Timeout,28,49
0:02,152,Maverick Rowan missed Three Point Jumper.,28,49
0:02,152,Ted Kapita Offensive Rebound.,28,49
0:00,152,End of 1st half,28,49
19:33,2377,Jarren Greenwood missed Three Point Jumper.,28,49
19:33,152,NC State Defensive Rebound.,28,49
19:12,2377,Foul on Stephen Ugochukwu.,28,49
19:12,152,Abdul-Malik Abu made Free Throw.,28,50
19:12,152,Abdul-Malik Abu made Free Throw.,28,51
18:53,2377,Jarren Greenwood Turnover.,28,51
18:48,152,Torin Dorn missed Layup.,28,51
18:48,2377,LaBarrius Hill Block.,28,51
18:46,152,Torin Dorn Offensive Rebound.,28,51
18:44,152,Torin Dorn made Layup.,28,53
18:30,2377,Jamaya Burr missed Jumper.,28,53
18:30,152,NC State Defensive Rebound.,28,53
18:10,152,Dennis Smith Jr. Turnover.,28,53
18:09,2377,Stephen Ugochukwu Steal.,28,53
18:04,2377,Jarren Greenwood missed Jumper.,28,53
18:04,2377,LaBarrius Hill Offensive Rebound.,28,53
18:01,2377,LaBarrius Hill made Layup.,30,53
17:36,152,Abdul-Malik Abu Turnover.,30,53
17:36,152,Foul on Abdul-Malik Abu.,30,53
17:22,2377,James Harvey made Three Point Jumper. Assisted by LaBarrius Hill.,33,53
17:04,152,Terry Henderson made Three Point Jumper. Assisted by Dennis Smith Jr..,33,56
16:41,152,Foul on Torin Dorn.,33,56
16:39,2377,Jamaya Burr Turnover.,33,56
16:38,152,Dennis Smith Jr. Steal.,33,56
16:37,152,Dennis Smith Jr. made Dunk.,33,58
16:14,2377,James Harvey missed Jumper.,33,58
16:14,152,Abdul-Malik Abu Defensive Rebound.,33,58
15:54,2377,Foul on James Harvey.,33,58
15:54,152,Official TV Timeout,33,58
15:54,152,BeeJay Anya missed Free Throw.,33,58
15:54,152,NC State Deadball Team Rebound.,33,58
15:54,152,BeeJay Anya made Free Throw.,33,59
15:31,2377,James Harvey missed Three Point Jumper.,33,59
15:31,2377,LaBarrius Hill Offensive Rebound.,33,59
15:02,152,Foul on BeeJay Anya.,33,59
15:02,2377,LaBarrius Hill made Free Throw.,34,59
15:02,2377,LaBarrius Hill missed Free Throw.,34,59
15:02,152,Omer Yurtseven Defensive Rebound.,34,59
14:55,152,Terry Henderson made Three Point Jumper. Assisted by Dennis Smith Jr..,34,62
14:41,2377,Jamaya Burr Turnover.,34,62
14:29,2377,Foul on LaBarrius Hill.,34,62
14:29,152,Omer Yurtseven made Free Throw.,34,63
14:29,152,Omer Yurtseven made Free Throw.,34,64
14:29,2377,Jamaya Burr made Three Point Jumper. Assisted by Stephen Ugochukwu.,37,64
13:54,152,Dennis Smith Jr. made Three Point Jumper. Assisted by Omer Yurtseven.,37,67
13:32,2377,Stephen Ugochukwu missed Jumper.,37,67
13:32,152,Dennis Smith Jr. Defensive Rebound.,37,67
13:22,152,Dennis Smith Jr. made Layup.,37,69
12:52,2377,Jamaya Burr missed Layup.,37,69
12:52,2377,Jamaya Burr Offensive Rebound.,37,69
12:49,2377,Jamaya Burr missed Layup.,37,69
12:49,152,Abdul-Malik Abu Defensive Rebound.,37,69
12:42,152,Maverick Rowan made Layup. Assisted by Dennis Smith Jr..,37,71
12:31,2377,McNeese  Timeout,37,71
12:11,152,Foul on Shaun Kirk.,37,71
12:11,2377,Kalob Ledoux made Free Throw.,38,71
12:11,2377,Kalob Ledoux made Free Throw.,39,71
11:54,152,Maverick Rowan made Jumper. Assisted by Markell Johnson.,39,73
11:38,2377,Richard Laku missed Three Point Jumper.,39,73
11:38,152,Ted Kapita Defensive Rebound.,39,73
11:28,152,Markell Johnson made Jumper.,39,75
11:15,2377,Kalob Ledoux Turnover.,39,75
11:15,152,Official TV Timeout,39,75
11:04,2377,Foul on Stephen Ugochukwu.,39,75
11:04,152,Shaun Kirk made Free Throw.,39,76
11:04,152,Shaun Kirk made Free Throw.,39,77
10:53,2377,Lance Potier missed Jumper.,39,77
10:53,2377,Richard Laku Offensive Rebound.,39,77
10:49,2377,Richard Laku made Two Point Tip Shot.,41,77
10:39,152,Maverick Rowan missed Jumper.,41,77
10:39,2377,Stephen Ugochukwu Defensive Rebound.,41,77
10:31,2377,Richard Laku missed Three Point Jumper.,41,77
10:31,152,Maverick Rowan Defensive Rebound.,41,77
10:12,152,Markell Johnson missed Jumper.,41,77
10:12,2377,Lance Potier Defensive Rebound.,41,77
10:05,2377,Jarren Greenwood missed Jumper.,41,77
10:05,152,Omer Yurtseven Defensive Rebound.,41,77
9:46,152,Shaun Kirk missed Three Point Jumper.,41,77
9:46,2377,Kalob Ledoux Defensive Rebound.,41,77
9:38,2377,Kalob Ledoux made Jumper.,43,77
9:16,152,Ted Kapita Turnover.,43,77
9:16,152,Foul on Ted Kapita.,43,77
8:48,2377,Kalob Ledoux missed Jumper.,43,77
8:48,2377,Kalob Ledoux Offensive Rebound.,43,77
8:43,2377,Kalob Ledoux missed Layup.,43,77
8:43,152,Ted Kapita Defensive Rebound.,43,77
8:28,152,Omer Yurtseven Turnover.,43,77
8:28,152,Foul on Omer Yurtseven.,43,77
8:18,2377,Richard Laku made Three Point Jumper. Assisted by Jarren Greenwood.,46,77
8:01,152,Omer Yurtseven missed Jumper.,46,77
8:01,2377,Richard Laku Defensive Rebound.,46,77
7:52,2377,James Harvey missed Three Point Jumper.,46,77
7:52,2377,Richard Laku Offensive Rebound.,46,77
7:50,152,Official TV Timeout,46,77
7:44,2377,Richard Laku made Three Point Jumper. Assisted by Lance Potier.,49,77
7:22,152,Omer Yurtseven missed Layup.,49,77
7:22,2377,LaBarrius Hill Block.,49,77
7:19,152,Shaun Kirk Offensive Rebound.,49,77
7:16,152,Darius Hicks Turnover.,49,77
7:15,2377,James Harvey Steal.,49,77
7:04,2377,Richard Laku missed Three Point Jumper.,49,77
7:04,152,Darius Hicks Defensive Rebound.,49,77
6:56,152,Shaun Kirk missed Three Point Jumper.,49,77
6:56,152,Darius Hicks Offensive Rebound.,49,77
6:41,152,Darius Hicks Turnover.,49,77
6:41,152,Foul on Darius Hicks.,49,77
6:16,152,Foul on Markell Johnson.,49,77
6:16,2377,Jamaya Burr missed Free Throw.,49,77
6:16,2377,McNeese Deadball Team Rebound.,49,77
6:16,2377,Jamaya Burr made Free Throw.,50,77
5:59,152,Torin Dorn made Jumper.,50,79
5:48,2377,Lance Potier made Jumper.,52,79
5:24,152,Shaun Kirk Turnover.,52,79
5:24,152,Foul on Shaun Kirk.,52,79
5:15,2377,Richard Laku missed Three Point Jumper.,52,79
5:15,152,Torin Dorn Defensive Rebound.,52,79
4:55,152,Darius Hicks missed Jumper.,52,79
4:55,2377,Jamaya Burr Defensive Rebound.,52,79
4:47,152,Foul on Omer Yurtseven.,52,79
4:47,2377,Jamaya Burr made Free Throw.,53,79
4:47,2377,Jamaya Burr missed Free Throw.,53,79
4:47,152,Darius Hicks Defensive Rebound.,53,79
4:40,152,Shaun Kirk made Dunk. Assisted by Markell Johnson.,53,81
4:29,2377,Jamaya Burr made Layup.,55,81
4:08,152,Torin Dorn missed Jumper.,55,81
4:08,2377,James Harvey Defensive Rebound.,55,81
4:01,2377,Jamaya Burr Turnover.,55,81
4:00,152,Shaun Kirk Steal.,55,81
3:56,152,Shaun Kirk made Dunk. Assisted by Markell Johnson.,55,83
3:48,2377,McNeese  Timeout,55,83
3:48,152,Official TV Timeout,55,83
3:32,152,Foul on Darius Hicks.,55,83
3:32,2377,Adrian Brown made Free Throw.,56,83
3:32,2377,Adrian Brown missed Free Throw.,56,83
3:32,152,Ted Kapita Defensive Rebound.,56,83
3:12,152,Markell Johnson missed Three Point Jumper.,56,83
3:12,2377,Howard Thomas Defensive Rebound.,56,83
2:48,2377,Adrian Brown missed Three Point Jumper.,56,83
2:48,152,Shaun Kirk Defensive Rebound.,56,83
2:30,152,Shaun Kirk Turnover.,56,83
2:00,2377,Howard Thomas missed Jumper.,56,83
2:00,2377,Richard Laku Offensive Rebound.,56,83
1:55,2377,Richard Laku missed Dunk.,56,83
1:55,152,Darius Hicks Defensive Rebound.,56,83
1:28,152,Tucker Thompson missed Jumper.,56,83
1:28,152,Chris Brickhouse Offensive Rebound.,56,83
1:24,152,Chris Brickhouse missed Two Point Tip Shot.,56,83
1:24,152,Tucker Thompson Offensive Rebound.,56,83
1:21,152,Tucker Thompson made Layup.,56,85
1:05,2377,Howard Thomas missed Layup.,56,85
1:05,152,Chris Brickhouse Block.,56,85
1:02,2377,Howard Thomas Offensive Rebound.,56,85
0:57,152,Foul on Tucker Thompson.,56,85
0:57,2377,Howard Thomas made Free Throw.,57,85
0:57,2377,Howard Thomas missed Free Throw.,57,85
0:57,152,Tucker Thompson Defensive Rebound.,57,85
0:46,152,Tucker Thompson missed Layup.,57,85
0:46,2377,Richard Laku Block.,57,85
0:46,152,NC State Offensive Rebound.,57,85
0:42,152,Chris Corchiani Jr. missed Jumper.,57,85
0:42,152,NC State Offensive Rebound.,57,85
0:37,152,Chris Corchiani Jr. missed Jumper.,57,85
0:37,152,Chris Brickhouse Offensive Rebound.,57,85
0:36,2377,Foul on Richard Laku.,57,85
0:32,152,Chris Corchiani Jr. made Jumper.,57,87
0:07,2377,James Harvey missed Three Point Jumper.,57,87
0:07,152,Shaun Kirk Defensive Rebound.,57,87
0:01,152,Chris Corchiani Jr. made Layup. Assisted by Chris Brickhouse.,57,89
0:00,152,End of Game,57,89
