Rust College,2016,Alcorn State,2892
3:42,2016,Rahamanh Katumbusi Defensive Rebound.,63,78
3:27,-1,Foul on Antonio Jones.,63,78
3:16,2016,Avery Patterson missed Three Point Jumper.,63,78
3:16,2016,Reginal Johnson Offensive Rebound.,63,78
3:10,2016,Reginal Johnson missed Layup.,63,78
3:10,-1,Antonio Jones Defensive Rebound.,63,78
2:59,-1,Antonio Jones missed Jumper.,63,78
2:59,2016,Reginal Johnson Defensive Rebound.,63,78
2:42,-1,Foul on Antonio Jones.,63,78
2:42,2016,Marquis Vance missed Free Throw.,63,78
2:42,2016,Alcorn St Offensive Rebound.,63,78
2:20,-1,Foul on Michael Gray.,63,78
2:20,2016,A.J. Mosby made Free Throw.,63,79
2:20,2016,A.J. Mosby made Free Throw.,63,80
2:07,-1,Antonio Jones made Jumper. Assisted by Romeo Carter.,65,80
1:41,2016,Marquis Vance Turnover.,65,80
1:39,-1,Omar Wright Steal.,65,80
1:35,-1,Omar Wright Turnover.,65,80
1:34,2016,A.J. Mosby Steal.,65,80
1:29,2016,Yalen Reed Turnover.,65,80
1:11,-1,Antonio Jones made Jumper. Assisted by Dewaun Fowler.,67,80
0:58,2016,Rahamanh Katumbusi missed Three Point Jumper.,67,80
0:58,-1,Antonio Jones Defensive Rebound.,67,80
0:48,2016,Foul on Yalen Reed.,67,80
0:48,-1,Romeo Carter missed Free Throw.,67,80
0:48,-1,Rust Deadball Team Rebound.,67,80
0:48,-1,Romeo Carter missed Free Throw.,67,80
0:48,2016,Rahamanh Katumbusi Defensive Rebound.,67,80
0:34,2016,Maurice Howard made Three Point Jumper.,67,83
0:15,-1,Omar Wright missed Jumper.,67,83
0:15,-1,Antonio Jones Offensive Rebound.,67,83
0:14,2016,Foul on TyQuaylon Smith.,67,83
0:14,-1,Antonio Jones made Free Throw.,68,83
0:14,-1,Antonio Jones missed Free Throw.,68,83
0:14,2016,A.J. Mosby Defensive Rebound.,68,83
0:00,2016,End of Game,68,83
