Fisk,Error,Georgia Southern,290
14:29,-1,Ryainni Scott made Dunk. Assisted by Walter Arnold.,36,62
14:12,290,Tookie Brown made Layup.,36,64
13:47,-1,Ryainni Scott Turnover.,36,64
13:47,290,B.J. Gladden Steal.,36,64
13:43,290,B.J. Gladden made Layup.,36,66
13:43,-1,Foul on Ryainni Scott.,36,66
13:43,290,B.J. Gladden missed Free Throw.,36,66
13:43,-1,Ryainni Scott Defensive Rebound.,36,66
13:32,-1,Walter Arnold made Three Point Jumper. Assisted by Joshua Madison.,39,66
13:18,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,39,69
13:05,-1,Walter Arnold missed Three Point Jumper.,39,69
13:05,290,Shawn O'Connell Defensive Rebound.,39,69
12:56,290,Jake Allsmiller missed Three Point Jumper.,39,69
12:56,-1,Fisk Defensive Rebound.,39,69
12:41,-1,Joshua Madison made Jumper.,41,69
12:29,290,Tookie Brown made Jumper.,41,71
12:19,-1,Walter Arnold Turnover.,41,71
12:05,290,Devonte Boykins made Layup.,41,73
11:55,-1,David Patton missed Jumper.,41,73
11:55,290,Jake Allsmiller Defensive Rebound.,41,73
11:45,-1,Foul on Victor Reid.,41,73
11:45,290,Official TV Timeout,41,73
11:45,290,Shawn O'Connell made Free Throw.,41,74
11:45,290,Shawn O'Connell missed Free Throw.,41,74
11:45,-1,Joshua Madison Defensive Rebound.,41,74
11:32,-1,David Patton Turnover.,41,74
11:31,290,Aubrey McRae Steal.,41,74
11:17,290,Aubrey McRae missed Jumper.,41,74
11:17,290,Aubrey McRae Offensive Rebound.,41,74
11:11,290,Aubrey McRae missed Jumper.,41,74
11:11,-1,David Patton Block.,41,74
11:11,290,Georgia Southern Offensive Rebound.,41,74
11:03,290,B.J. Gladden made Jumper.,41,76
11:03,-1,Foul on Ryainni Scott.,41,76
11:03,290,B.J. Gladden made Free Throw.,41,77
10:41,-1,Magic Harris Turnover.,41,77
10:37,290,Jake Allsmiller Steal.,41,77
10:35,290,B.J. Gladden missed Three Point Jumper.,41,77
10:35,290,Shawn O'Connell Offensive Rebound.,41,77
10:28,290,Jake Allsmiller made Three Point Jumper. Assisted by Devonte Boykins.,41,80
10:08,-1,Kameron Foster missed Three Point Jumper.,41,80
10:08,290,Shawn O'Connell Defensive Rebound.,41,80
10:00,290,Jake Allsmiller missed Three Point Jumper.,41,80
10:00,-1,Fisk Defensive Rebound.,41,80
9:47,-1,Joshua Madison missed Jumper.,41,80
9:47,290,Devonte Boykins Defensive Rebound.,41,80
9:39,290,Aubrey McRae missed Layup.,41,80
9:39,290,Shawn O'Connell Offensive Rebound.,41,80
9:36,290,Shawn O'Connell made Two Point Tip Shot.,41,82
9:12,-1,Victor Reid made Jumper. Assisted by Kameron Foster.,43,82
8:55,290,B.J. Gladden missed Layup.,43,82
8:55,290,Shawn O'Connell Offensive Rebound.,43,82
8:52,290,Shawn O'Connell made Dunk.,43,84
8:46,-1,Kameron Foster missed Jumper.,43,84
8:46,290,B.J. Gladden Defensive Rebound.,43,84
8:42,290,B.J. Gladden Turnover.,43,84
8:41,-1,Kameron Foster Steal.,43,84
8:25,290,Foul on Shawn O'Connell.,43,84
8:25,-1,Joshua Madison made Free Throw.,44,84
8:25,-1,Joshua Madison made Free Throw.,45,84
8:21,290,Aubrey McRae missed Three Point Jumper.,45,84
8:21,-1,Joshua Madison Defensive Rebound.,45,84
8:11,-1,Joshua Madison missed Jumper.,45,84
8:11,290,Aubrey McRae Defensive Rebound.,45,84
8:03,290,Aubrey McRae Turnover.,45,84
8:02,-1,Joshua Madison Steal.,45,84
7:59,-1,Ryainni Scott made Dunk. Assisted by Walter Arnold.,47,84
7:39,290,Shawn O'Connell Turnover.,47,84
7:39,-1,Craig Juedy Steal.,47,84
7:39,290,Official TV Timeout,47,84
7:24,-1,Craig Juedy missed Three Point Jumper.,47,84
7:24,-1,Fisk Offensive Rebound.,47,84
7:22,290,Foul on Devonte Boykins.,47,84
7:12,-1,Craig Juedy Turnover.,47,84
7:11,290,Devonte Boykins Steal.,47,84
7:07,290,B.J. Gladden Turnover.,47,84
7:06,-1,Walter Arnold Steal.,47,84
6:53,-1,Walter Arnold missed Layup.,47,84
6:53,290,B.J. Gladden Block.,47,84
6:52,290,Devonte Boykins Defensive Rebound.,47,84
6:47,290,B.J. Gladden made Layup. Assisted by Devonte Boykins.,47,86
6:47,-1,Foul on Craig Juedy.,47,86
6:47,290,B.J. Gladden made Free Throw.,47,87
6:38,-1,Ryainni Scott made Layup.,49,87
6:28,290,Devonte Boykins missed Three Point Jumper.,49,87
6:28,-1,Magic Harris Defensive Rebound.,49,87
6:19,-1,Joshua Madison missed Jumper.,49,87
6:19,-1,Ryainni Scott Offensive Rebound.,49,87
6:09,-1,Joshua Madison missed Jumper.,49,87
6:09,290,B.J. Gladden Defensive Rebound.,49,87
5:57,290,Aubrey McRae missed Three Point Jumper.,49,87
5:57,-1,David Patton Defensive Rebound.,49,87
5:43,-1,David Patton missed Three Point Jumper.,49,87
5:43,290,Jake Allsmiller Defensive Rebound.,49,87
5:34,290,Aubrey McRae missed Three Point Jumper.,49,87
5:34,-1,Ryainni Scott Defensive Rebound.,49,87
5:31,290,Foul on Montae Glenn.,49,87
5:21,290,Foul on Aubrey McRae.,49,87
5:14,-1,Walter Arnold made Three Point Jumper.,52,87
5:01,290,Aubrey McRae missed Three Point Jumper.,52,87
5:01,-1,Malik Yant Defensive Rebound.,52,87
4:55,290,Foul on Jake Allsmiller.,52,87
4:55,-1,Joshua Madison missed Free Throw.,52,87
4:55,-1,Fisk Deadball Team Rebound.,52,87
4:55,-1,Joshua Madison missed Free Throw.,52,87
4:55,290,Shawn O'Connell Defensive Rebound.,52,87
4:48,290,Aubrey McRae made Three Point Jumper. Assisted by Devonte Boykins.,52,90
4:27,-1,David Patton missed Three Point Jumper.,52,90
4:27,290,Georgia Southern Defensive Rebound.,52,90
4:14,290,Aubrey McRae missed Three Point Jumper.,52,90
4:14,290,Shawn O'Connell Offensive Rebound.,52,90
4:12,-1,Foul on David Patton.,52,90
4:09,290,James Holder missed Three Point Jumper.,52,90
4:09,-1,David Patton Defensive Rebound.,52,90
4:01,-1,Malik Yant missed Three Point Jumper.,52,90
4:01,290,Devonte Boykins Defensive Rebound.,52,90
3:53,290,Aubrey McRae made Three Point Jumper. Assisted by Devonte Boykins.,52,93
3:45,-1,David Patton made Jumper.,54,93
3:37,290,Official TV Timeout,54,93
3:29,290,Brandon Wimberly missed Jumper.,54,93
3:29,-1,Joshua Madison Defensive Rebound.,54,93
3:06,-1,Rickie Bowser Turnover.,54,93
3:06,-1,Foul on Rickie Bowser.,54,93
2:54,290,David Georgiev missed Three Point Jumper.,54,93
2:54,290,Georgia Southern Offensive Rebound.,54,93
2:50,290,Deshaven Reynolds missed Three Point Jumper.,54,93
2:50,-1,Malik Yant Defensive Rebound.,54,93
2:42,-1,Kyle Smith missed Layup.,54,93
2:42,-1,Rickie Bowser Offensive Rebound.,54,93
2:39,-1,Rickie Bowser made Layup.,56,93
2:29,290,Dominique Bullock made Three Point Jumper. Assisted by David Georgiev.,56,96
2:11,-1,Malik Yant missed Three Point Jumper.,56,96
2:11,-1,Ishmael Dukes Offensive Rebound.,56,96
2:05,-1,Rickie Bowser missed Three Point Jumper.,56,96
2:05,290,Deshaven Reynolds Defensive Rebound.,56,96
1:59,-1,Foul on Malik Yant.,56,96
1:59,290,Deshaven Reynolds made Free Throw.,56,97
1:59,290,Deshaven Reynolds missed Free Throw.,56,97
1:59,-1,Ryainni Scott Defensive Rebound.,56,97
1:51,-1,Ishmael Dukes Turnover.,56,97
1:50,290,Dominique Bullock Steal.,56,97
1:47,290,Deshaven Reynolds missed Layup.,56,97
1:47,-1,Ishmael Dukes Defensive Rebound.,56,97
1:39,-1,Rickie Bowser missed Layup.,56,97
1:39,290,David Georgiev Defensive Rebound.,56,97
1:28,-1,Foul on Rickie Bowser.,56,97
1:28,290,Deshaven Reynolds missed Free Throw.,56,97
1:28,290,Georgia Southern Deadball Team Rebound.,56,97
1:28,290,Deshaven Reynolds missed Free Throw.,56,97
1:28,-1,Ishmael Dukes Defensive Rebound.,56,97
1:21,290,Foul on David Georgiev.,56,97
1:21,-1,Kyle Smith missed Free Throw.,56,97
1:21,-1,Fisk Deadball Team Rebound.,56,97
1:21,-1,Kyle Smith missed Free Throw.,56,97
1:21,290,David Georgiev Defensive Rebound.,56,97
1:14,290,Dominique Bullock Turnover.,56,97
1:13,-1,Ryainni Scott Steal.,56,97
1:12,-1,Ryainni Scott made Layup.,58,97
1:06,290,David Georgiev made Three Point Jumper. Assisted by James Holder.,58,100
0:53,-1,Ishmael Dukes missed Three Point Jumper.,58,100
0:53,290,Brandon Wimberly Defensive Rebound.,58,100
0:44,290,James Holder missed Three Point Jumper.,58,100
0:44,290,David Georgiev Offensive Rebound.,58,100
0:40,290,James Holder made Three Point Jumper. Assisted by David Georgiev.,58,103
0:30,-1,Kyle Smith missed Three Point Jumper.,58,103
0:30,290,James Holder Defensive Rebound.,58,103
0:23,290,David Georgiev made Layup. Assisted by James Holder.,58,105
0:04,-1,Kyle Smith missed Layup.,58,105
0:04,290,David Georgiev Block.,58,105
0:03,-1,Fisk Offensive Rebound.,58,105
0:02,-1,Kyle Smith Turnover.,58,105
0:00,290,James Holder Steal.,58,105
0:00,-1,Foul on Ryainni Scott.,58,105
0:00,290,James Holder missed Free Throw.,58,105
0:00,290,Georgia Southern Deadball Team Rebound.,58,105
0:00,290,James Holder made Free Throw.,58,106
0:00,290,End of Game,58,105
