Wofford,59,Georgia Tech,2747
0:04,59,Quinton Stephens Defensive Rebound.,30,38
0:00,59,End of 1st half,30,38
19:31,2747,Ryan Sawvell missed Three Point Jumper.,30,38
19:31,59,Tadric Jackson Defensive Rebound.,30,38
19:09,59,Tadric Jackson missed Jumper.,30,38
19:09,2747,Fletcher Magee Defensive Rebound.,30,38
18:48,2747,Jaylen Allen Turnover.,30,38
18:44,59,Josh Okogie made Dunk. Assisted by Tadric Jackson.,30,40
18:37,59,Foul on Justin Moore.,30,40
18:22,59,Foul on Josh Okogie.,30,40
18:18,2747,Eric Garcia made Three Point Jumper. Assisted by Fletcher Magee.,33,40
17:58,59,Ben Lammers Turnover.,33,40
17:49,2747,Eric Garcia made Three Point Jumper. Assisted by Matthew Pegram.,36,40
17:35,59,Justin Moore missed Layup.,36,40
17:35,2747,Ryan Sawvell Defensive Rebound.,36,40
17:18,2747,Nathan Hoover made Layup.,38,40
16:59,59,Josh Heath Turnover.,38,40
16:49,2747,Fletcher Magee missed Jumper.,38,40
16:49,59,Quinton Stephens Defensive Rebound.,38,40
16:37,59,Josh Heath made Layup. Assisted by Ben Lammers.,38,42
16:13,2747,Nathan Hoover missed Three Point Jumper.,38,42
16:11,59,Josh Heath Defensive Rebound.,38,42
16:11,59,Foul on Ben Lammers.,38,42
16:11,59,Ben Lammers Turnover.,38,42
16:08,2747,Nathan Hoover made Three Point Jumper. Assisted by Eric Garcia.,41,42
15:40,59,Christian Matthews missed Three Point Jumper.,41,42
15:40,59,Josh Heath Offensive Rebound.,41,42
15:35,59,Ben Lammers made Layup. Assisted by Josh Heath.,41,44
15:17,2747,Nathan Hoover missed Three Point Jumper.,41,44
15:17,59,Ben Lammers Defensive Rebound.,41,44
15:15,2747,Foul on Matthew Pegram.,41,44
15:15,59,Official TV Timeout,41,44
15:01,59,Tadric Jackson missed Jumper.,41,44
15:01,2747,Donovan Theme-Love Defensive Rebound.,41,44
14:55,2747,Derrick Brooks missed Layup.,41,44
14:55,2747,Nathan Hoover Offensive Rebound.,41,44
14:52,59,Foul on Tadric Jackson.,41,44
14:52,2747,Nathan Hoover made Free Throw.,42,44
14:52,2747,Nathan Hoover made Free Throw.,43,44
14:32,59,Josh Okogie made Jumper. Assisted by Ben Lammers.,43,46
14:09,59,Foul on Corey Heyward.,43,46
13:55,2747,Cameron Jackson made Jumper. Assisted by Donovan Theme-Love.,45,46
13:45,59,Christian Matthews missed Jumper.,45,46
13:45,2747,Nathan Hoover Defensive Rebound.,45,46
13:38,2747,Dishon Lowery Turnover.,45,46
13:19,59,Justin Moore missed Layup.,45,46
13:19,2747,Cameron Jackson Block.,45,46
13:17,59,Ben Lammers Offensive Rebound.,45,46
13:15,59,Ben Lammers made Layup.,45,48
12:54,2747,Nathan Hoover missed Layup.,45,48
12:54,59,Josh Okogie Block.,45,48
12:52,59,Justin Moore Defensive Rebound.,45,48
12:49,59,Justin Moore made Layup.,45,50
12:22,2747,Derrick Brooks made Layup.,47,50
12:09,2747,Foul on Donovan Theme-Love.,47,50
11:56,59,Ben Lammers missed Jumper.,47,50
11:56,2747,Fletcher Magee Defensive Rebound.,47,50
11:22,2747,Wofford  Turnover.,47,50
11:22,59,Official TV Timeout,47,50
11:09,59,Josh Okogie Turnover.,47,50
10:49,59,Foul on Justin Moore.,47,50
10:40,2747,Fletcher Magee missed Layup.,47,50
10:40,59,Josh Okogie Defensive Rebound.,47,50
10:34,2747,Foul on Derrick Brooks.,47,50
10:20,59,Josh Heath missed Three Point Jumper.,47,50
10:20,2747,Cameron Jackson Defensive Rebound.,47,50
10:04,2747,Foul on Ryan Sawvell.,47,50
10:04,2747,Ryan Sawvell Turnover.,47,50
9:42,59,Quinton Stephens made Jumper.,47,52
9:11,2747,Cameron Jackson missed Jumper.,47,52
9:11,59,Quinton Stephens Defensive Rebound.,47,52
9:04,59,Josh Heath missed Layup.,47,52
9:04,2747,Fletcher Magee Block.,47,52
9:02,59,Quinton Stephens Offensive Rebound.,47,52
8:56,59,Justin Moore made Layup.,47,54
8:56,2747,Foul on Eric Garcia.,47,54
8:56,59,Justin Moore missed Free Throw.,47,54
8:56,2747,Wofford Deadball Team Rebound.,47,54
8:56,59,Foul on Quinton Stephens.,47,54
8:56,2747,Ryan Sawvell missed Free Throw.,47,54
8:56,2747,Cameron Jackson Offensive Rebound.,47,54
8:53,2747,Eric Garcia made Three Point Jumper. Assisted by Cameron Jackson.,50,54
8:35,59,Ben Lammers made Dunk.,50,56
8:17,2747,Fletcher Magee missed Jumper.,50,56
8:17,59,Justin Moore Defensive Rebound.,50,56
8:08,59,Justin Moore missed Layup.,50,56
8:08,2747,Cameron Jackson Block.,50,56
8:06,2747,Wofford Defensive Rebound.,50,56
7:51,2747,Ryan Sawvell made Jumper. Assisted by Derrick Brooks.,52,56
7:30,59,Official TV Timeout,52,56
7:15,59,Ben Lammers made Dunk. Assisted by Josh Heath.,52,58
6:51,59,Foul on Josh Heath.,52,58
6:51,2747,Nathan Hoover made Free Throw.,53,58
6:51,2747,Nathan Hoover made Free Throw.,54,58
6:31,59,Josh Heath made Layup. Assisted by Tadric Jackson.,54,60
6:17,2747,Eric Garcia made Three Point Jumper. Assisted by Fletcher Magee.,57,60
5:47,59,Justin Moore Turnover.,57,60
5:46,2747,Jaylen Allen Steal.,57,60
5:26,2747,Matthew Pegram made Layup. Assisted by Jaylen Allen.,59,60
5:08,59,Quinton Stephens missed Layup.,59,60
5:08,2747,Matthew Pegram Defensive Rebound.,59,60
4:56,2747,Fletcher Magee missed Three Point Jumper.,59,60
4:56,2747,Matthew Pegram Offensive Rebound.,59,60
4:51,2747,Fletcher Magee missed Three Point Jumper.,59,60
4:51,59,Josh Heath Defensive Rebound.,59,60
4:43,59,Tadric Jackson missed Layup.,59,60
4:43,2747,Wofford Defensive Rebound.,59,60
4:21,2747,Jaylen Allen Turnover.,59,60
4:21,59,Quinton Stephens Steal.,59,60
4:17,2747,Foul on Cameron Jackson.,59,60
4:17,59,Josh Okogie made Free Throw.,59,61
4:17,59,Josh Okogie made Free Throw.,59,62
4:07,2747,Eric Garcia made Jumper.,61,62
3:52,2747,Foul on Nathan Hoover.,61,62
3:52,59,Official TV Timeout,61,62
3:52,59,Josh Okogie made Free Throw.,61,63
3:52,59,Josh Okogie made Free Throw.,61,64
3:26,2747,Ryan Sawvell missed Jumper.,61,64
3:26,59,Corey Heyward Defensive Rebound.,61,64
3:07,59,Ben Lammers made Layup. Assisted by Josh Heath.,61,66
2:46,2747,Eric Garcia made Three Point Jumper. Assisted by Fletcher Magee.,64,66
2:42,2747,Wofford  Timeout,64,66
2:42,59,Official TV Timeout,64,66
2:19,59,Ben Lammers missed Layup.,64,66
2:19,59,Quinton Stephens Offensive Rebound.,64,66
2:18,2747,Foul on Jaylen Allen.,64,66
2:18,59,Quinton Stephens missed Free Throw.,64,66
2:18,2747,Cameron Jackson Defensive Rebound.,64,66
1:55,2747,Fletcher Magee missed Three Point Jumper.,64,66
1:55,59,Quinton Stephens Defensive Rebound.,64,66
1:35,59,Ben Lammers made Dunk. Assisted by Quinton Stephens.,64,68
1:07,2747,Fletcher Magee missed Three Point Jumper.,64,68
1:07,59,Josh Okogie Defensive Rebound.,64,68
0:57,2747,Foul on Nathan Hoover.,64,68
0:57,59,Josh Heath made Free Throw.,64,69
0:57,59,Josh Heath made Free Throw.,64,70
0:45,2747,Fletcher Magee made Three Point Jumper. Assisted by Ryan Sawvell.,67,70
0:44,2747,Wofford  Timeout,67,70
0:43,2747,Foul on Derrick Brooks.,67,70
0:43,59,Josh Heath missed Free Throw.,67,70
0:43,59,Georgia Tech Deadball Team Rebound.,67,70
0:43,59,Josh Heath missed Free Throw.,67,70
0:43,2747,Cameron Jackson Defensive Rebound.,67,70
0:27,2747,Nathan Hoover missed Three Point Jumper.,67,70
0:27,59,Quinton Stephens Defensive Rebound.,67,70
0:22,2747,Foul on Cameron Jackson.,67,70
0:22,59,Quinton Stephens made Free Throw.,67,71
0:22,59,Quinton Stephens made Free Throw.,67,72
0:22,59,Georgia Tech  Timeout,67,72
0:05,59,Foul on Quinton Stephens.,67,72
0:05,2747,Eric Garcia made Free Throw.,68,72
0:05,2747,Eric Garcia made Free Throw.,69,72
0:05,2747,Eric Garcia made Free Throw.,70,72
0:05,2747,Foul on Nathan Hoover.,70,72
0:05,2747,Wofford  Timeout,70,72
0:05,59,Josh Heath made Free Throw.,70,73
0:05,59,Josh Heath made Free Throw.,70,74
0:05,59,Georgia Tech  Timeout,70,74
0:02,2747,Eric Garcia missed Three Point Jumper.,70,74
0:02,2747,Cameron Jackson Offensive Rebound.,70,74
0:01,2747,Cameron Jackson made Two Point Tip Shot.,72,74
0:01,59,Georgia Tech  Timeout,72,74
0:00,2747,Foul on Jaylen Allen.,72,74
0:00,59,Josh Heath made Free Throw.,72,75
0:00,59,Josh Heath made Free Throw.,72,76
0:00,59,End of Game,72,74
