UNC Greensboro,46,Georgetown,2430
7:22,2430,Marvin Smith made Free Throw.,14,25
7:15,46,Jessie Govan made Layup. Assisted by L.J. Peak.,14,27
6:57,2430,Francis Alonso missed Three Point Jumper.,14,27
6:57,46,Rodney Pryor Defensive Rebound.,14,27
6:46,46,Rodney Pryor made Jumper.,14,29
6:23,2430,Diante Baldwin missed Jumper.,14,29
6:23,46,Tre Campbell Defensive Rebound.,14,29
6:13,46,Tre Campbell Turnover.,14,29
6:00,2430,Demetrius Troy missed Three Point Jumper.,14,29
6:00,46,L.J. Peak Defensive Rebound.,14,29
5:51,2430,Foul on Francis Alonso.,14,29
5:51,46,L.J. Peak made Free Throw.,14,30
5:51,46,L.J. Peak made Free Throw.,14,31
5:31,2430,Diante Baldwin made Jumper.,16,31
5:16,46,Foul on Rodney Pryor.,16,31
5:16,46,Rodney Pryor Turnover.,16,31
5:00,2430,R.J. White missed Jumper.,16,31
5:00,46,Bradley Hayes Defensive Rebound.,16,31
4:41,46,Jump Ball won by Georgetown,16,31
4:41,46,Georgetown  Timeout,16,31
4:27,46,Georgetown  Turnover.,16,31
4:15,2430,Diante Baldwin missed Jumper.,16,31
4:15,2430,R.J. White Offensive Rebound.,16,31
4:03,2430,R.J. White made Jumper. Assisted by Demetrius Troy.,18,31
3:50,46,L.J. Peak made Three Point Jumper. Assisted by Jonathan Mulmore.,18,34
3:32,2430,Francis Alonso missed Layup.,18,34
3:32,46,Tre Campbell Defensive Rebound.,18,34
3:26,46,L.J. Peak missed Three Point Jumper.,18,34
3:26,2430,R.J. White Defensive Rebound.,18,34
3:10,2430,Francis Alonso missed Layup.,18,34
3:10,46,Bradley Hayes Block.,18,34
3:10,2430,UNC Greensboro Offensive Rebound.,18,34
3:10,46,Official TV Timeout,18,34
3:03,2430,Diante Baldwin missed Three Point Jumper.,18,34
3:03,2430,Francis Alonso Offensive Rebound.,18,34
2:36,2430,R.J. White made Jumper.,20,34
2:22,46,Bradley Hayes missed Jumper.,20,34
2:22,2430,James Dickey Defensive Rebound.,20,34
2:10,46,Foul on Jagan Mosely.,20,34
2:10,2430,Demetrius Troy made Free Throw.,21,34
2:10,2430,Demetrius Troy made Free Throw.,22,34
2:01,46,Jessie Govan missed Jumper.,22,34
2:01,2430,Jordy Kuiper Defensive Rebound.,22,34
1:54,2430,Demetrius Troy missed Jumper.,22,34
1:54,2430,UNC Greensboro Offensive Rebound.,22,34
1:40,2430,R.J. White made Dunk. Assisted by Francis Alonso.,24,34
1:40,46,Foul on Kaleb Johnson.,24,34
1:40,2430,R.J. White missed Free Throw.,24,34
1:40,46,Kaleb Johnson Defensive Rebound.,24,34
1:38,2430,Foul on Demetrius Troy.,24,34
1:38,46,Kaleb Johnson missed Free Throw.,24,34
1:38,2430,Demetrius Troy Defensive Rebound.,24,34
1:22,2430,R.J. White made Layup. Assisted by Diante Baldwin.,26,34
1:00,46,Kaleb Johnson made Three Point Jumper. Assisted by Tre Campbell.,26,37
0:47,2430,Demetrius Troy missed Layup.,26,37
0:47,2430,R.J. White Offensive Rebound.,26,37
0:43,2430,R.J. White missed Jumper.,26,37
0:43,46,Jessie Govan Defensive Rebound.,26,37
0:22,46,Jessie Govan made Three Point Jumper. Assisted by Tre Campbell.,26,40
0:03,2430,Diante Baldwin missed Jumper.,26,40
0:03,46,Jessie Govan Defensive Rebound.,26,40
0:00,46,End of 1st half,26,40
20:00,2430,Jump Ball won by UNC Greensboro,26,40
19:45,2430,R.J. White made Dunk. Assisted by Diante Baldwin.,28,40
19:30,46,Jessie Govan made Jumper. Assisted by L.J. Peak.,28,42
19:13,2430,Francis Alonso missed Three Point Jumper.,28,42
19:13,2430,Jordy Kuiper Offensive Rebound.,28,42
19:07,2430,Jordy Kuiper missed Layup.,28,42
19:07,46,Jessie Govan Block.,28,42
19:07,2430,Jordy Kuiper Offensive Rebound.,28,42
19:01,2430,R.J. White made Three Point Jumper. Assisted by Diante Baldwin.,31,42
18:45,46,Marcus Derrickson missed Three Point Jumper.,31,42
18:45,2430,R.J. White Defensive Rebound.,31,42
18:35,2430,Marvin Smith Turnover.,31,42
18:29,46,Rodney Pryor missed Three Point Jumper.,31,42
18:29,2430,Marvin Smith Defensive Rebound.,31,42
18:10,2430,Francis Alonso made Jumper.,33,42
17:56,46,Georgetown  Timeout,33,42
17:41,46,Jessie Govan missed Jumper.,33,42
17:41,46,Marcus Derrickson Offensive Rebound.,33,42
17:40,2430,Foul on R.J. White.,33,42
17:26,2430,Foul on Diante Baldwin.,33,42
17:09,46,Marcus Derrickson made Three Point Jumper. Assisted by Rodney Pryor.,33,45
17:02,46,Foul on Rodney Pryor.,33,45
16:51,2430,Francis Alonso missed Jumper.,33,45
16:51,2430,Marvin Smith Offensive Rebound.,33,45
16:48,46,Foul on Jagan Mosely.,33,45
16:36,2430,James Dickey missed Jumper.,33,45
16:36,46,L.J. Peak Defensive Rebound.,33,45
16:19,46,L.J. Peak Turnover.,33,45
16:05,2430,Demetrius Troy missed Three Point Jumper.,33,45
16:05,46,Jagan Mosely Defensive Rebound.,33,45
15:59,2430,Foul on Jordy Kuiper.,33,45
15:59,46,Official TV Timeout,33,45
15:52,2430,Foul on Marvin Smith.,33,45
15:38,46,Jessie Govan made Three Point Jumper. Assisted by Marcus Derrickson.,33,48
15:11,2430,Demetrius Troy missed Jumper.,33,48
15:11,2430,Demetrius Troy Offensive Rebound.,33,48
15:08,46,Foul on Jessie Govan.,33,48
15:05,2430,Demetrius Troy missed Layup.,33,48
15:05,46,Bradley Hayes Block.,33,48
15:05,2430,UNC Greensboro Offensive Rebound.,33,48
14:53,2430,Marvin Smith missed Jumper.,33,48
14:53,2430,Diante Baldwin Offensive Rebound.,33,48
14:48,2430,Jordy Kuiper made Layup. Assisted by Diante Baldwin.,35,48
14:38,2430,Foul on James Dickey.,35,48
14:32,46,Bradley Hayes missed Layup.,35,48
14:32,2430,R.J. White Defensive Rebound.,35,48
14:30,46,Foul on Bradley Hayes.,35,48
14:17,2430,Demetrius Troy Turnover.,35,48
14:17,46,Tre Campbell Steal.,35,48
14:09,46,Bradley Hayes Turnover.,35,48
14:09,2430,Diante Baldwin Steal.,35,48
14:02,2430,Demetrius Troy missed Layup.,35,48
14:02,2430,James Dickey Offensive Rebound.,35,48
13:57,46,Foul on Marcus Derrickson.,35,48
13:57,2430,James Dickey missed Free Throw.,35,48
13:57,2430,UNC Greensboro Deadball Team Rebound.,35,48
13:57,2430,James Dickey made Free Throw.,36,48
13:40,46,L.J. Peak missed Layup.,36,48
13:40,2430,R.J. White Block.,36,48
13:40,46,Jessie Govan Offensive Rebound.,36,48
13:28,46,Jessie Govan made Dunk.,36,50
13:24,2430,Francis Alonso Turnover.,36,50
13:14,46,Jessie Govan made Layup. Assisted by L.J. Peak.,36,52
13:08,2430,Diante Baldwin missed Layup.,36,52
13:08,46,Rodney Pryor Block.,36,52
13:08,46,Jessie Govan Defensive Rebound.,36,52
12:37,46,Tre Campbell missed Layup.,36,52
12:37,2430,James Dickey Block.,36,52
12:37,46,Rodney Pryor Offensive Rebound.,36,52
12:32,46,Rodney Pryor missed Jumper.,36,52
12:32,46,Tre Campbell Offensive Rebound.,36,52
12:32,46,Tre Campbell made Two Point Tip Shot.,36,54
12:26,2430,UNC Greensboro  Timeout,36,54
12:18,2430,James Dickey missed Layup.,36,54
12:18,46,Rodney Pryor Block.,36,54
12:18,46,L.J. Peak Defensive Rebound.,36,54
12:06,46,Jessie Govan missed Layup.,36,54
12:06,2430,R.J. White Block.,36,54
12:06,2430,Francis Alonso Defensive Rebound.,36,54
12:00,2430,Malik Massey made Three Point Jumper. Assisted by Francis Alonso.,39,54
11:36,46,Tre Campbell missed Three Point Jumper.,39,54
11:36,46,Rodney Pryor Offensive Rebound.,39,54
11:27,2430,Foul on James Dickey.,39,54
11:14,46,Jessie Govan missed Jumper.,39,54
11:14,2430,R.J. White Defensive Rebound.,39,54
11:03,2430,Malik Massey missed Jumper.,39,54
11:03,46,Akoy Agau Defensive Rebound.,39,54
10:33,46,Akoy Agau Turnover.,39,54
10:33,2430,Malik Massey Steal.,39,54
10:16,2430,James Dickey missed Jumper.,39,54
10:16,46,Jessie Govan Defensive Rebound.,39,54
10:00,2430,Foul on Diante Baldwin.,39,54
10:00,46,Jonathan Mulmore made Free Throw.,39,55
10:00,46,Jonathan Mulmore missed Free Throw.,39,55
10:00,2430,R.J. White Defensive Rebound.,39,55
9:51,2430,R.J. White Turnover.,39,55
9:51,46,Rodney Pryor Steal.,39,55
9:46,46,Rodney Pryor missed Layup.,39,55
9:46,2430,R.J. White Block.,39,55
9:46,2430,Diante Baldwin Defensive Rebound.,39,55
9:37,2430,Diante Baldwin made Layup.,41,55
9:08,2430,Foul on Diante Baldwin.,41,55
9:08,46,Kaleb Johnson missed Free Throw.,41,55
9:08,2430,R.J. White Defensive Rebound.,41,55
8:52,2430,Diante Baldwin made Jumper.,43,55
8:39,2430,Foul on Marvin Smith.,43,55
8:39,46,L.J. Peak missed Free Throw.,43,55
8:39,2430,James Dickey Defensive Rebound.,43,55
8:14,2430,James Dickey missed Layup.,43,55
8:14,46,Jessie Govan Block.,43,55
8:14,2430,James Dickey Offensive Rebound.,43,55
8:10,2430,Demetrius Troy missed Layup.,43,55
8:10,46,Jessie Govan Block.,43,55
8:10,46,Georgetown Defensive Rebound.,43,55
7:52,46,Rodney Pryor made Dunk. Assisted by Jessie Govan.,43,57
7:36,2430,Marvin Smith missed Three Point Jumper.,43,57
7:36,46,Rodney Pryor Defensive Rebound.,43,57
7:13,46,Marcus Derrickson made Three Point Jumper. Assisted by L.J. Peak.,43,60
6:51,46,Foul on Marcus Derrickson.,43,60
6:51,46,Official TV Timeout,43,60
6:51,2430,James Dickey missed Free Throw.,43,60
6:51,2430,UNC Greensboro Deadball Team Rebound.,43,60
6:51,2430,James Dickey missed Free Throw.,43,60
6:51,46,Jessie Govan Defensive Rebound.,43,60
6:34,46,L.J. Peak missed Jumper.,43,60
6:34,2430,James Dickey Defensive Rebound.,43,60
6:30,2430,James Dickey Turnover.,43,60
6:20,46,Marcus Derrickson made Layup. Assisted by Jessie Govan.,43,62
5:57,2430,Foul on Diante Baldwin.,43,62
5:57,2430,Diante Baldwin Turnover.,43,62
5:45,46,Jagan Mosely missed Dunk.,43,62
5:45,46,Marcus Derrickson Offensive Rebound.,43,62
5:28,46,Marcus Derrickson made Three Point Jumper. Assisted by Jessie Govan.,43,65
5:12,2430,Demetrius Troy made Jumper.,45,65
5:01,46,Rodney Pryor Turnover.,45,65
5:01,2430,R.J. White Steal.,45,65
4:54,2430,Francis Alonso missed Three Point Jumper.,45,65
4:54,46,Georgetown Defensive Rebound.,45,65
4:48,2430,UNC Greensboro  Timeout,45,65
4:28,46,Rodney Pryor missed Three Point Jumper.,45,65
4:28,2430,Jordy Kuiper Defensive Rebound.,45,65
4:16,46,Foul on Jessie Govan.,45,65
4:16,2430,Jordy Kuiper made Free Throw.,46,65
4:16,2430,Jordy Kuiper made Free Throw.,47,65
4:10,2430,Foul on Marvin Smith.,47,65
4:10,46,L.J. Peak made Free Throw.,47,66
4:10,46,L.J. Peak made Free Throw.,47,67
3:58,46,Foul on L.J. Peak.,47,67
3:58,46,Official TV Timeout,47,67
3:58,2430,Demetrius Troy made Free Throw.,48,67
3:58,2430,Demetrius Troy made Free Throw.,49,67
3:42,2430,Foul on Marvin Smith.,49,67
3:42,46,L.J. Peak missed Free Throw.,49,67
3:42,46,Georgetown Deadball Team Rebound.,49,67
3:42,46,L.J. Peak made Free Throw.,49,68
3:31,2430,Demetrius Troy Turnover.,49,68
3:31,46,Jagan Mosely Steal.,49,68
3:26,46,Rodney Pryor missed Layup.,49,68
3:26,46,L.J. Peak Offensive Rebound.,49,68
3:23,2430,Foul on Jordy Kuiper.,49,68
3:23,46,L.J. Peak made Free Throw.,49,69
3:23,46,L.J. Peak made Free Throw.,49,70
3:04,2430,Jordy Kuiper made Three Point Jumper. Assisted by Demetrius Troy.,52,70
2:39,46,Marcus Derrickson made Layup. Assisted by Jagan Mosely.,52,72
2:26,2430,Demetrius Troy missed Jumper.,52,72
2:26,2430,Kyrin Galloway Offensive Rebound.,52,72
2:26,2430,Kyrin Galloway made Two Point Tip Shot.,54,72
2:02,46,Jagan Mosely missed Layup.,54,72
2:02,2430,Justin Jordan Defensive Rebound.,54,72
1:52,2430,Justin Jordan missed Jumper.,54,72
1:52,46,Jessie Govan Defensive Rebound.,54,72
1:29,46,L.J. Peak made Jumper.,54,74
1:13,2430,Justin Jordan Turnover.,54,74
1:04,46,Trey Mourning made Jumper. Assisted by Reggie Cameron II.,54,76
0:40,2430,Justin Jordan missed Jumper.,54,76
0:40,46,Reggie Cameron II Defensive Rebound.,54,76
0:35,46,Georgetown  Timeout,54,76
0:25,46,Ra'Mond Hines Turnover.,54,76
0:25,2430,Malik Massey Steal.,54,76
0:21,2430,Malik Massey made Layup. Assisted by Justin Jordan.,56,76
0:01,46,Kaleb Johnson made Layup.,56,78
0:00,46,End of Game,56,78
