Cabrini,2329,Lehigh,92
1:41,2329,Brandon Alston missed Jumper.,29,50
1:41,-1,Ivan Robinson Block.,29,50
1:39,-1,Ivan Robinson Defensive Rebound.,29,50
1:32,-1,Joe Mostardi made Three Point Jumper. Assisted by Deryl Bagwell.,32,50
1:17,-1,Foul on Kwame Dokes.,32,50
1:17,2329,Brandon Alston made Free Throw.,32,51
1:17,2329,Brandon Alston made Free Throw.,32,52
1:05,-1,Deryl Bagwell missed Three Point Jumper.,32,52
1:05,2329,Pat Andree Defensive Rebound.,32,52
0:54,2329,Pat Andree made Layup. Assisted by Jordan Cohen.,32,54
0:38,-1,Tyheim Monroe Turnover.,32,54
0:37,2329,Jordan Cohen Steal.,32,54
0:34,2329,Devon Carter missed Three Point Jumper.,32,54
0:34,-1,Deryl Bagwell Defensive Rebound.,32,54
0:25,-1,Joe Mostardi missed Layup.,32,54
0:25,2329,Pat Andree Defensive Rebound.,32,54
0:19,2329,Devon Carter missed Layup.,32,54
0:19,2329,Austin Price Offensive Rebound.,32,54
0:19,-1,Foul on Kwame Dokes.,32,54
0:19,2329,Austin Price made Free Throw.,32,55
0:19,2329,Austin Price made Free Throw.,32,56
0:03,-1,Kane McGovern missed Three Point Jumper.,32,56
0:03,2329,Austin Price Defensive Rebound.,32,56
0:00,2329,End of 1st half,32,56
19:37,-1,Tyheim Monroe missed Jumper.,32,56
19:37,-1,Kwame Dokes Offensive Rebound.,32,56
19:21,-1,Kwame Dokes made Layup.,34,56
19:18,2329,Pat Andree made Three Point Jumper. Assisted by Tim Kempton.,34,59
18:55,-1,Deryl Bagwell missed Layup.,34,59
18:55,2329,Kyle Leufroy Defensive Rebound.,34,59
18:46,2329,Austin Price missed Layup.,34,59
18:46,-1,Kwame Dokes Defensive Rebound.,34,59
18:40,-1,Joe Mostardi made Layup. Assisted by Kwame Dokes.,36,59
18:23,-1,Foul on Deryl Bagwell.,36,59
18:23,2329,Tim Kempton made Free Throw.,36,60
18:23,2329,Tim Kempton made Free Throw.,36,61
18:23,-1,Tyheim Monroe made Jumper.,38,61
17:47,2329,Tim Kempton Turnover.,38,61
17:46,-1,Joe Mostardi Steal.,38,61
17:39,-1,Joe Mostardi missed Three Point Jumper.,38,61
17:39,2329,Austin Price Defensive Rebound.,38,61
17:30,2329,Kyle Leufroy missed Three Point Jumper.,38,61
17:30,2329,Tim Kempton Offensive Rebound.,38,61
17:23,2329,Kyle Leufroy Turnover.,38,61
17:23,-1,Ivan Robinson Steal.,38,61
17:23,-1,Cabrini  Timeout,38,61
16:57,-1,Kwame Dokes missed Jumper.,38,61
16:57,-1,Cabrini Offensive Rebound.,38,61
16:52,-1,Tyheim Monroe missed Layup.,38,61
16:52,2329,Tim Kempton Defensive Rebound.,38,61
16:50,2329,Austin Price Turnover.,38,61
16:40,-1,Joe Mostardi made Jumper. Assisted by Ivan Robinson.,40,61
16:14,-1,Foul on Kwame Dokes.,40,61
16:14,2329,Brandon Alston made Free Throw.,40,62
16:14,2329,Brandon Alston missed Free Throw.,40,62
16:14,-1,Tyheim Monroe Defensive Rebound.,40,62
16:08,-1,Ivan Robinson made Three Point Jumper.,43,62
15:46,2329,Tim Kempton Turnover.,43,62
15:46,2329,Foul on Tim Kempton.,43,62
15:29,-1,Tyheim Monroe made Jumper. Assisted by Ivan Robinson.,45,62
15:16,2329,Tim Kempton missed Layup.,45,62
15:16,-1,Ivan Robinson Defensive Rebound.,45,62
15:09,-1,Tyheim Monroe made Layup. Assisted by Ivan Robinson.,47,62
14:42,2329,Brandon Alston missed Three Point Jumper.,47,62
14:42,2329,Jordan Cohen Offensive Rebound.,47,62
14:33,2329,Austin Price missed Three Point Jumper.,47,62
14:33,2329,Austin Price Offensive Rebound.,47,62
14:30,2329,Brandon Alston missed Three Point Jumper.,47,62
14:30,-1,Tyheim Monroe Defensive Rebound.,47,62
14:22,-1,Ryan Charity missed Three Point Jumper.,47,62
14:22,2329,Jordan Cohen Defensive Rebound.,47,62
14:14,-1,Foul on Tyheim Monroe.,47,62
14:14,2329,Brandon Alston made Free Throw.,47,63
14:14,2329,Brandon Alston missed Free Throw.,47,63
14:14,-1,Tyheim Monroe Defensive Rebound.,47,63
13:59,-1,Ivan Robinson missed Three Point Jumper.,47,63
13:59,2329,Pat Andree Defensive Rebound.,47,63
13:50,2329,Kahron Ross made Layup.,47,65
13:30,-1,Tyheim Monroe Turnover.,47,65
13:30,-1,Foul on Tyheim Monroe.,47,65
13:17,2329,Jordan Cohen missed Three Point Jumper.,47,65
13:17,-1,Tyheim Monroe Defensive Rebound.,47,65
13:07,2329,Foul on Brandon Alston.,47,65
13:07,-1,Ryan Charity made Free Throw.,48,65
13:07,-1,Ryan Charity missed Free Throw.,48,65
13:07,2329,Austin Price Defensive Rebound.,48,65
12:59,2329,Austin Price made Layup.,48,67
12:37,-1,Ryan Charity missed Three Point Jumper.,48,67
12:37,2329,Pat Andree Defensive Rebound.,48,67
12:32,-1,Foul on Deryl Bagwell.,48,67
12:32,2329,Jordan Cohen made Free Throw.,48,68
12:32,2329,Jordan Cohen made Free Throw.,48,69
12:16,-1,Devahnte Mosley missed Three Point Jumper.,48,69
12:16,-1,Cabrini Offensive Rebound.,48,69
12:05,-1,Deryl Bagwell made Jumper.,50,69
11:48,2329,Kyle Leufroy Turnover.,50,69
11:48,2329,Official TV Timeout,50,69
11:41,-1,Deryl Bagwell missed Jumper.,50,69
11:41,2329,Pat Andree Defensive Rebound.,50,69
11:34,-1,Foul on Joe Mostardi.,50,69
11:16,2329,Kahron Ross made Three Point Jumper. Assisted by Brandon Alston.,50,72
11:00,-1,Tyheim Monroe missed Jumper.,50,72
11:00,2329,Pat Andree Defensive Rebound.,50,72
10:51,2329,Kyle Leufroy missed Three Point Jumper.,50,72
10:51,2329,Pat Andree Offensive Rebound.,50,72
10:39,2329,Kyle Leufroy made Layup.,50,74
10:31,-1,Joe Mostardi made Three Point Jumper. Assisted by Ivan Robinson.,53,74
10:14,2329,Jordan Cohen made Three Point Jumper. Assisted by Kahron Ross.,53,77
9:58,-1,Ivan Robinson made Three Point Jumper. Assisted by Joe Mostardi.,56,77
9:40,2329,Brandon Alston missed Jumper.,56,77
9:40,2329,Jordan Cohen Offensive Rebound.,56,77
9:29,2329,Jordan Cohen made Three Point Jumper.,56,80
9:09,-1,Ryan Charity Turnover.,56,80
9:08,2329,Jordan Cohen Steal.,56,80
9:04,-1,Foul on Ryan Charity.,56,80
9:04,2329,Brandon Alston made Free Throw.,56,81
9:04,2329,Brandon Alston made Free Throw.,56,82
8:46,-1,Tyheim Monroe missed Layup.,56,82
8:46,2329,Pat Andree Defensive Rebound.,56,82
8:28,2329,Pat Andree missed Layup.,56,82
8:28,2329,Jordan Cohen Offensive Rebound.,56,82
8:23,2329,Brandon Alston missed Layup.,56,82
8:23,-1,Tyheim Monroe Defensive Rebound.,56,82
8:14,-1,Ivan Robinson missed Jumper.,56,82
8:14,2329,Devon Carter Defensive Rebound.,56,82
8:05,2329,Kyle Leufroy Turnover.,56,82
8:04,-1,Tyheim Monroe Steal.,56,82
7:54,-1,Joe Mostardi missed Three Point Jumper.,56,82
7:54,2329,Brandon Alston Defensive Rebound.,56,82
7:50,2329,Kyle Leufroy made Layup. Assisted by Brandon Alston.,56,84
7:30,-1,Ivan Robinson made Three Point Jumper. Assisted by Ryan Charity.,59,84
7:12,2329,Official TV Timeout,59,84
7:11,2329,Devon Carter missed Three Point Jumper.,59,84
7:11,-1,Cabrini Defensive Rebound.,59,84
6:56,-1,Tyheim Monroe made Jumper.,61,84
6:28,2329,Jordan Cohen Turnover.,61,84
6:28,-1,Devahnte Mosley Steal.,61,84
6:28,-1,Cabrini  Timeout,61,84
6:15,-1,Devahnte Mosley made Layup.,63,84
5:54,2329,Brandon Alston made Layup.,63,86
5:35,-1,Kane McGovern made Jumper.,65,86
5:18,-1,Foul on Ryan Charity.,65,86
5:18,2329,Pat Andree made Free Throw.,65,87
5:18,2329,Pat Andree made Free Throw.,65,88
5:04,2329,Foul on Brandon Alston.,65,88
5:04,-1,Tyheim Monroe missed Free Throw.,65,88
5:04,-1,Cabrini Deadball Team Rebound.,65,88
5:04,-1,Tyheim Monroe made Free Throw.,66,88
4:47,2329,Brandon Alston missed Layup.,66,88
4:47,2329,Pat Andree Offensive Rebound.,66,88
4:42,2329,Brandon Alston Turnover.,66,88
4:26,-1,Deryl Bagwell missed Layup.,66,88
4:26,2329,Jordan Cohen Block.,66,88
4:25,2329,Jordan Cohen Defensive Rebound.,66,88
4:19,-1,Foul on Ryan Charity.,66,88
4:17,2329,Devon Carter made Free Throw.,66,89
4:17,2329,Devon Carter made Free Throw.,66,90
4:17,-1,Kane McGovern made Three Point Jumper. Assisted by Tyheim Monroe.,69,90
3:49,2329,Pat Andree missed Three Point Jumper.,69,90
3:49,-1,Devahnte Mosley Defensive Rebound.,69,90
3:37,-1,Deryl Bagwell missed Layup.,69,90
3:37,2329,Brandon Alston Defensive Rebound.,69,90
3:31,2329,Jay Jay Davis missed Three Point Jumper.,69,90
3:31,2329,Pat Andree Offensive Rebound.,69,90
3:26,2329,Brandon Alston missed Three Point Jumper.,69,90
3:26,-1,Tyheim Monroe Defensive Rebound.,69,90
3:18,-1,Devahnte Mosley Turnover.,69,90
3:18,2329,Devon Carter Steal.,69,90
3:14,2329,Devon Carter Turnover.,69,90
3:13,-1,Ivan Robinson Steal.,69,90
2:50,-1,Tyheim Monroe made Jumper.,71,90
2:32,2329,Jay Jay Davis missed Three Point Jumper.,71,90
2:32,-1,Deryl Bagwell Defensive Rebound.,71,90
2:17,-1,Kane McGovern missed Three Point Jumper.,71,90
2:17,2329,Pat Andree Defensive Rebound.,71,90
2:08,2329,Jordan Cohen Turnover.,71,90
2:06,-1,Devahnte Mosley Steal.,71,90
1:58,-1,Ivan Robinson missed Jumper.,71,90
1:58,2329,Devon Carter Defensive Rebound.,71,90
1:49,-1,Foul on Devahnte Mosley.,71,90
1:49,2329,Devon Carter missed Free Throw.,71,90
1:49,2329,Lehigh Deadball Team Rebound.,71,90
1:49,2329,Devon Carter made Free Throw.,71,91
1:33,2329,Foul on Pat Andree.,71,91
1:33,-1,Anthony Linder-Creo missed Free Throw.,71,91
1:33,-1,Cabrini Deadball Team Rebound.,71,91
1:33,-1,Anthony Linder-Creo made Free Throw.,72,91
1:13,2329,Pat Andree missed Jumper.,72,91
1:13,-1,Anthony Linder-Creo Defensive Rebound.,72,91
1:06,-1,Kane McGovern missed Three Point Jumper.,72,91
1:06,2329,Pat Andree Defensive Rebound.,72,91
0:57,2329,Jay Jay Davis missed Three Point Jumper.,72,91
0:57,2329,Brandon Alston Offensive Rebound.,72,91
0:45,2329,Jordan Cohen made Layup.,72,93
