Maine,225,Brown,311
2:09,311,Wesley Myers Block.,37,22
2:08,311,Wesley Myers Defensive Rebound.,37,22
1:57,311,Marko Pirovic missed Three Point Jumper.,37,22
1:57,225,Obi Okolie Defensive Rebound.,37,22
1:46,225,Tavon Blackmon missed Layup.,37,22
1:46,225,Tavon Blackmon Offensive Rebound.,37,22
1:46,311,Foul on Marko Pirovic.,37,22
1:46,225,Tavon Blackmon missed Free Throw.,37,22
1:46,311,Marko Pirovic Defensive Rebound.,37,22
1:26,311,Marko Pirovic missed Layup.,37,22
1:26,225,Obi Okolie Defensive Rebound.,37,22
1:20,311,Foul on Ryan Bernstein.,37,22
1:20,225,Tavon Blackmon made Free Throw.,37,23
1:20,225,Tavon Blackmon made Free Throw.,37,24
0:58,311,Wesley Myers missed Jumper.,37,24
0:58,311,Marko Pirovic Offensive Rebound.,37,24
0:56,311,Marko Pirovic made Layup.,39,24
0:56,225,Foul on Obi Okolie.,39,24
0:56,311,Marko Pirovic made Free Throw.,40,24
0:37,225,Obi Okolie made Three Point Jumper. Assisted by Tavon Blackmon.,40,27
0:04,311,Wesley Myers Turnover.,40,27
0:01,225,Tavon Blackmon missed Jumper.,40,27
0:01,311,Danny Evans Defensive Rebound.,40,27
0:00,225,End of 1st half,40,27
19:52,225,Tavon Blackmon made Jumper.,40,29
19:42,311,Austin Howard made Three Point Jumper.,43,29
19:30,225,Tavon Blackmon missed Jumper.,43,29
19:30,311,Ryan Bernstein Defensive Rebound.,43,29
19:19,311,Danny Evans missed Three Point Jumper.,43,29
19:19,225,Joshua Howard Defensive Rebound.,43,29
18:57,225,Joshua Howard missed Jumper.,43,29
18:57,311,Andrew Fleming Block.,43,29
18:55,225,Joshua Howard Offensive Rebound.,43,29
18:48,225,Brandon Anderson missed Three Point Jumper.,43,29
18:48,225,Joshua Howard Offensive Rebound.,43,29
18:38,225,Obi Okolie Turnover.,43,29
18:15,311,Andrew Fleming missed Three Point Jumper.,43,29
18:15,225,Obi Okolie Defensive Rebound.,43,29
18:03,311,Foul on Ilija Stojiljkovic.,43,29
18:03,225,Steven Spieth made Free Throw.,43,30
18:03,225,Steven Spieth made Free Throw.,43,31
17:52,311,Andrew Fleming missed Layup.,43,31
17:52,311,Andrew Fleming Offensive Rebound.,43,31
17:51,311,Andrew Fleming made Layup.,45,31
17:51,225,Foul on Joshua Howard.,45,31
17:51,311,Andrew Fleming made Free Throw.,46,31
17:45,311,Foul on Ilija Stojiljkovic.,46,31
17:41,311,Foul on Andrew Fleming.,46,31
17:41,225,Foul on Travis Fuller.,46,31
17:28,311,Foul on Austin Howard.,46,31
17:27,225,Steven Spieth made Three Point Jumper. Assisted by Tavon Blackmon.,46,34
17:07,311,Austin Howard made Layup.,48,34
17:01,311,Foul on Marko Pirovic.,48,34
17:01,225,Steven Spieth made Free Throw.,48,35
17:01,225,Steven Spieth missed Free Throw.,48,35
17:01,311,Andrew Fleming Defensive Rebound.,48,35
16:31,311,Marko Pirovic made Three Point Jumper. Assisted by Andrew Fleming.,51,35
16:16,225,Steven Spieth missed Layup.,51,35
16:16,225,Travis Fuller Offensive Rebound.,51,35
16:14,311,Foul on Andrew Fleming.,51,35
16:14,225,Travis Fuller made Free Throw.,51,36
16:14,225,Travis Fuller made Free Throw.,51,37
15:59,311,Austin Howard missed Three Point Jumper.,51,37
15:59,225,Travis Fuller Defensive Rebound.,51,37
15:41,225,Brandon Anderson made Jumper.,51,39
15:18,311,Andrew Fleming Turnover.,51,39
15:18,225,Official TV Timeout,51,39
15:06,225,JR Hobbie missed Three Point Jumper.,51,39
15:06,225,Steven Spieth Offensive Rebound.,51,39
15:04,311,Foul on Dennis Ashley.,51,39
15:04,225,Steven Spieth made Free Throw.,51,40
15:04,225,Steven Spieth made Free Throw.,51,41
14:43,311,Wesley Myers missed Jumper.,51,41
14:43,225,Travis Fuller Defensive Rebound.,51,41
14:14,225,Steven Spieth made Jumper.,51,43
13:39,311,Jaquan McKennon made Jumper.,53,43
13:28,311,Foul on Vincent Eze.,53,43
13:28,225,Steven Spieth made Free Throw.,53,44
13:28,225,Steven Spieth missed Free Throw.,53,44
13:28,311,Andrew Fleming Defensive Rebound.,53,44
13:17,225,Foul on Brandon Anderson.,53,44
13:17,311,Jaquan McKennon Turnover.,53,44
12:59,225,JR Hobbie made Three Point Jumper. Assisted by Steven Spieth.,53,47
12:58,311,Foul on Marko Pirovic.,53,47
12:58,311,Maine  Timeout,53,47
12:58,225,JR Hobbie made Free Throw.,53,48
12:44,311,Wesley Myers Turnover.,53,48
12:43,225,JR Hobbie Steal.,53,48
12:33,225,JR Hobbie missed Three Point Jumper.,53,48
12:33,311,Wesley Myers Block.,53,48
12:31,225,Steven Spieth Offensive Rebound.,53,48
12:29,225,Steven Spieth made Layup.,53,50
12:16,311,Dennis Ashley missed Jumper.,53,50
12:16,311,Andrew Fleming Offensive Rebound.,53,50
11:59,311,Ryan Bernstein missed Three Point Jumper.,53,50
11:59,225,Travis Fuller Defensive Rebound.,53,50
11:50,311,Foul on Ilija Stojiljkovic.,53,50
11:50,225,Official TV Timeout,53,50
11:50,225,Tavon Blackmon missed Free Throw.,53,50
11:50,225,Brown Deadball Team Rebound.,53,50
11:50,225,Tavon Blackmon made Free Throw.,53,51
11:28,311,Wesley Myers missed Three Point Jumper.,53,51
11:28,225,Travis Fuller Defensive Rebound.,53,51
11:11,225,Travis Fuller missed Layup.,53,51
11:11,311,Andrew Fleming Defensive Rebound.,53,51
11:09,225,Foul on Travis Fuller.,53,51
10:50,311,Ryan Bernstein missed Three Point Jumper.,53,51
10:50,225,Joshua Howard Defensive Rebound.,53,51
10:29,225,Steven Spieth missed Jumper.,53,51
10:29,311,Andrew Fleming Defensive Rebound.,53,51
10:22,311,Wesley Myers missed Layup.,53,51
10:22,225,Obi Okolie Defensive Rebound.,53,51
9:59,225,JR Hobbie made Three Point Jumper. Assisted by Steven Spieth.,53,54
9:33,311,Ryan Bernstein missed Jumper.,53,54
9:33,311,Andrew Fleming Offensive Rebound.,53,54
9:29,311,Andrew Fleming Turnover.,53,54
9:28,225,Obi Okolie Steal.,53,54
9:11,225,Tavon Blackmon made Three Point Jumper.,53,57
9:07,225,Brown  Timeout,53,57
8:51,311,Austin Howard made Three Point Jumper. Assisted by Ryan Bernstein.,56,57
8:40,225,Steven Spieth made Three Point Jumper. Assisted by JR Hobbie.,56,60
8:39,311,Foul on Marko Pirovic.,56,60
8:39,225,Steven Spieth made Free Throw.,56,61
8:26,225,Foul on Joshua Howard.,56,61
8:22,311,Andrew Fleming missed Layup.,56,61
8:22,311,Andrew Fleming Offensive Rebound.,56,61
8:20,311,Andrew Fleming made Layup.,58,61
8:20,225,Foul on Joshua Howard.,58,61
8:20,311,Andrew Fleming made Free Throw.,59,61
8:04,225,JR Hobbie made Three Point Jumper. Assisted by Brandon Anderson.,59,64
7:36,311,Marko Pirovic missed Jumper.,59,64
7:36,225,Travis Fuller Defensive Rebound.,59,64
7:14,225,JR Hobbie made Three Point Jumper. Assisted by Steven Spieth.,59,67
6:49,311,Andrew Fleming Turnover.,59,67
6:48,225,JR Hobbie Steal.,59,67
6:30,225,Brandon Anderson missed Three Point Jumper.,59,67
6:30,225,Travis Fuller Offensive Rebound.,59,67
6:28,311,Foul on Marko Pirovic.,59,67
6:28,225,Official TV Timeout,59,67
6:28,225,Travis Fuller missed Free Throw.,59,67
6:28,225,Brown Deadball Team Rebound.,59,67
6:28,225,Travis Fuller made Free Throw.,59,68
6:27,311,Ilija Stojiljkovic Turnover.,59,68
6:09,225,Patrick Triplett missed Jumper.,59,68
6:09,311,Andrew Fleming Defensive Rebound.,59,68
6:02,225,Foul on Brandon Anderson.,59,68
6:02,311,Jaquan McKennon missed Free Throw.,59,68
6:02,225,Brown Defensive Rebound.,59,68
5:47,225,JR Hobbie Turnover.,59,68
5:47,225,Foul on JR Hobbie.,59,68
5:39,311,Austin Howard Turnover.,59,68
5:13,225,Tavon Blackmon missed Three Point Jumper.,59,68
5:13,225,JR Hobbie Offensive Rebound.,59,68
4:53,311,Foul on Jaquan McKennon.,59,68
4:53,225,Tavon Blackmon made Free Throw.,59,69
4:53,225,Tavon Blackmon missed Free Throw.,59,69
4:53,311,Ilija Stojiljkovic Defensive Rebound.,59,69
4:43,225,Foul on Obi Okolie.,59,69
4:43,311,Wesley Myers made Free Throw.,60,69
4:43,311,Wesley Myers made Free Throw.,61,69
4:21,311,Foul on Andrew Fleming.,61,69
4:21,225,Steven Spieth made Free Throw.,61,70
4:21,225,Steven Spieth made Free Throw.,61,71
4:08,225,Foul on Steven Spieth.,61,71
4:08,311,Ilija Stojiljkovic missed Free Throw.,61,71
4:08,311,Maine Deadball Team Rebound.,61,71
4:08,311,Ilija Stojiljkovic made Free Throw.,62,71
3:42,225,Travis Fuller missed Layup.,62,71
3:42,311,Andrew Fleming Defensive Rebound.,62,71
3:37,311,Wesley Myers made Layup.,64,71
3:37,225,Foul on Tavon Blackmon.,64,71
3:37,225,Official TV Timeout,64,71
3:37,311,Wesley Myers made Free Throw.,65,71
3:12,225,Tavon Blackmon missed Three Point Jumper.,65,71
3:12,311,Andrew Fleming Defensive Rebound.,65,71
3:08,225,Foul on Steven Spieth.,65,71
3:08,311,Andrew Fleming missed Free Throw.,65,71
3:08,311,Maine Deadball Team Rebound.,65,71
3:08,311,Andrew Fleming made Free Throw.,66,71
2:47,225,JR Hobbie missed Three Point Jumper.,66,71
2:47,311,Austin Howard Defensive Rebound.,66,71
2:38,311,Wesley Myers made Layup.,68,71
2:26,311,Foul on Austin Howard.,68,71
2:26,225,Steven Spieth made Free Throw.,68,72
2:26,225,Steven Spieth made Free Throw.,68,73
2:18,311,Wesley Myers made Three Point Jumper.,71,73
1:55,225,Tavon Blackmon missed Three Point Jumper.,71,73
1:55,225,Travis Fuller Offensive Rebound.,71,73
1:52,311,Foul on Andrew Fleming.,71,73
1:52,225,Travis Fuller missed Free Throw.,71,73
1:52,225,Brown Deadball Team Rebound.,71,73
1:52,225,Travis Fuller made Free Throw.,71,74
1:36,311,Dennis Ashley missed Three Point Jumper.,71,74
1:36,225,Steven Spieth Defensive Rebound.,71,74
1:11,225,Steven Spieth missed Jumper.,71,74
1:11,225,Travis Fuller Offensive Rebound.,71,74
1:09,225,Travis Fuller made Layup.,71,76
1:00,311,Maine  Timeout,71,76
0:54,311,Wesley Myers Turnover.,71,76
0:54,311,Foul on Wesley Myers.,71,76
0:53,225,Tavon Blackmon Turnover.,71,76
0:49,225,Foul on Obi Okolie.,71,76
0:49,311,Dennis Ashley missed Free Throw.,71,76
0:49,311,Maine Deadball Team Rebound.,71,76
0:49,311,Dennis Ashley missed Free Throw.,71,76
0:49,225,Tavon Blackmon Defensive Rebound.,71,76
0:26,225,Travis Fuller made Layup. Assisted by Tavon Blackmon.,71,78
0:26,311,Foul on Dennis Ashley.,71,78
0:26,225,Travis Fuller made Free Throw.,71,79
0:20,311,Wesley Myers missed Three Point Jumper.,71,79
0:20,311,Ryan Bernstein Offensive Rebound.,71,79
0:14,311,Ryan Bernstein made Layup.,73,79
0:14,225,Foul on Obi Okolie.,73,79
0:14,311,Ryan Bernstein made Free Throw.,74,79
0:14,225,Brown  Timeout,74,79
0:09,311,Foul on Danny Evans.,74,79
0:09,225,JR Hobbie made Free Throw.,74,80
0:09,225,JR Hobbie made Free Throw.,74,81
0:03,311,Austin Howard made Three Point Jumper. Assisted by Ryan Bernstein.,77,81
0:02,311,Maine  Timeout,77,81
0:02,311,Foul on Ryan Bernstein.,77,81
0:02,225,Tavon Blackmon missed Free Throw.,77,81
0:02,225,Brown Deadball Team Rebound.,77,81
0:02,225,Tavon Blackmon made Free Throw.,77,82
0:00,225,End of Game,77,82
