Tennessee Tech,193,Miami (OH),2635
11:23,2635,Foul on Savonte Frazier.,16,19
11:16,193,Jake Wright made Three Point Jumper. Assisted by Michael Weathers.,16,22
10:42,2635,Micaiah Henry made Jumper.,18,22
10:31,193,Dion Wade missed Three Point Jumper.,18,22
10:31,2635,Micaiah Henry Defensive Rebound.,18,22
10:18,2635,Savonte Frazier missed Three Point Jumper.,18,22
10:18,193,Dion Wade Defensive Rebound.,18,22
10:17,2635,Foul on Curtis Phillips.,18,22
10:05,193,Dion Wade missed Three Point Jumper.,18,22
10:05,2635,Aleksa Jugovic Defensive Rebound.,18,22
9:52,2635,Foul on Micaiah Henry.,18,22
9:52,2635,Micaiah Henry Turnover.,18,22
9:35,193,Foul on Logan McLane.,18,22
9:35,193,Logan McLane Turnover.,18,22
9:23,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Stephaun Adams.,21,22
9:14,193,Michael Weathers Turnover.,21,22
9:13,2635,Savonte Frazier Steal.,21,22
9:10,2635,Foul on Curtis Phillips.,21,22
9:10,2635,Curtis Phillips Turnover.,21,22
8:55,2635,Foul on Courtney Alexander II.,21,22
8:45,193,Michael Weathers missed Layup.,21,22
8:45,2635,Mason Ramsey Defensive Rebound.,21,22
8:38,2635,Hakeem Rogers missed Three Point Jumper.,21,22
8:38,193,Abdoulaye Harouna Defensive Rebound.,21,22
8:36,2635,Foul on Mason Ramsey.,21,22
8:36,193,Abdoulaye Harouna missed Free Throw.,21,22
8:36,2635,Kajon Mack Defensive Rebound.,21,22
8:09,2635,Kajon Mack Turnover.,21,22
8:08,193,Dion Wade Steal.,21,22
8:02,193,Milos Jovic made Layup.,21,24
8:01,2635,Foul on Courtney Alexander II.,21,24
8:01,193,Milos Jovic missed Free Throw.,21,24
8:01,193,Milos Jovic Offensive Rebound.,21,24
7:44,193,Milos Jovic Turnover.,21,24
7:44,193,Official TV Timeout,21,24
7:33,2635,Kajon Mack Turnover.,21,24
7:21,193,Marcus Weathers Turnover.,21,24
7:12,193,Foul on Abdoulaye Harouna.,21,24
7:12,2635,Mason Ramsey made Free Throw.,22,24
7:12,2635,Mason Ramsey missed Free Throw.,22,24
7:12,193,Marcus Weathers Defensive Rebound.,22,24
6:58,193,Dion Wade Turnover.,22,24
6:40,2635,Stephaun Adams Turnover.,22,24
6:40,193,Marcus Weathers Steal.,22,24
6:38,2635,Foul on Aleksa Jugovic.,22,24
6:38,193,Dion Wade made Free Throw.,22,25
6:38,193,Dion Wade missed Free Throw.,22,25
6:38,2635,JaCardo Hawkins Defensive Rebound.,22,25
6:15,2635,JaCardo Hawkins made Layup.,24,25
6:02,193,Bruno Solomun made Three Point Jumper. Assisted by Michael Weathers.,24,28
5:36,193,Foul on Michael Weathers.,24,28
5:36,2635,Mason Ramsey made Free Throw.,25,28
5:36,2635,Mason Ramsey made Free Throw.,26,28
5:17,193,Jake Wright made Three Point Jumper. Assisted by Abdoulaye Harouna.,26,31
4:43,2635,Mason Ramsey missed Jumper.,26,31
4:43,2635,JaCardo Hawkins Offensive Rebound.,26,31
4:38,2635,Aleksa Jugovic made Three Point Jumper. Assisted by JaCardo Hawkins.,29,31
4:27,193,Bruno Solomun missed Three Point Jumper.,29,31
4:27,2635,Savonte Frazier Defensive Rebound.,29,31
4:15,2635,Stephaun Adams made Three Point Jumper. Assisted by Aleksa Jugovic.,32,31
3:51,193,Michael Weathers missed Jumper.,32,31
3:51,2635,Savonte Frazier Defensive Rebound.,32,31
3:31,2635,Aleksa Jugovic missed Jumper.,32,31
3:31,193,Michael Weathers Defensive Rebound.,32,31
3:22,193,Marcus Weathers missed Three Point Jumper.,32,31
3:22,2635,Savonte Frazier Defensive Rebound.,32,31
2:55,2635,Aleksa Jugovic Turnover.,32,31
2:54,193,Michael Weathers Steal.,32,31
2:50,2635,Foul on Savonte Frazier.,32,31
2:50,193,Official TV Timeout,32,31
2:50,193,Michael Weathers made Free Throw.,32,32
2:50,193,Michael Weathers missed Free Throw.,32,32
2:50,2635,JaCardo Hawkins Defensive Rebound.,32,32
2:33,2635,Savonte Frazier missed Jumper.,32,32
2:33,2635,Tennessee Tech Offensive Rebound.,32,32
2:18,2635,Aleksa Jugovic missed Three Point Jumper.,32,32
2:18,2635,Mason Ramsey Offensive Rebound.,32,32
2:12,2635,Mason Ramsey made Layup.,34,32
2:02,193,Jake Wright missed Layup.,34,32
2:02,193,Jake Wright Offensive Rebound.,34,32
2:00,193,Jake Wright made Jumper.,34,34
1:42,2635,Mason Ramsey made Jumper. Assisted by Aleksa Jugovic.,36,34
1:41,193,Miami (OH)  Timeout,36,34
1:19,193,Darius Harper Turnover.,36,34
1:19,2635,Mason Ramsey Steal.,36,34
1:06,2635,Savonte Frazier Turnover.,36,34
0:52,193,Michael Weathers made Jumper.,36,36
0:21,2635,Kajon Mack Turnover.,36,36
0:20,193,Darius Harper Steal.,36,36
0:02,193,Michael Weathers missed Three Point Jumper.,36,36
0:02,2635,Aleksa Jugovic Defensive Rebound.,36,36
0:00,193,End of 1st half,36,36
19:50,193,Abdoulaye Harouna Turnover.,36,36
19:29,2635,Aleksa Jugovic Turnover.,36,36
19:29,193,Logan McLane Steal.,36,36
19:16,193,Rod Mills Jr. missed Three Point Jumper.,36,36
19:16,2635,Tennessee Tech Defensive Rebound.,36,36
18:56,2635,Hakeem Rogers missed Three Point Jumper.,36,36
18:56,193,Abdoulaye Harouna Defensive Rebound.,36,36
18:43,193,Rod Mills Jr. missed Three Point Jumper.,36,36
18:43,2635,Courtney Alexander II Defensive Rebound.,36,36
18:41,193,Foul on Logan McLane.,36,36
18:22,2635,Foul on Mason Ramsey.,36,36
18:22,2635,Mason Ramsey Turnover.,36,36
18:01,193,Logan McLane missed Jumper.,36,36
18:01,193,Logan McLane Offensive Rebound.,36,36
17:56,193,Logan McLane Turnover.,36,36
17:40,2635,Aleksa Jugovic missed Three Point Jumper.,36,36
17:40,193,Miami (OH) Defensive Rebound.,36,36
17:23,193,Rod Mills Jr. missed Jumper.,36,36
17:23,2635,Courtney Alexander II Defensive Rebound.,36,36
17:08,2635,Kajon Mack missed Layup.,36,36
17:08,193,Michael Weathers Block.,36,36
17:06,193,Michael Weathers Defensive Rebound.,36,36
17:01,2635,Foul on Aleksa Jugovic.,36,36
16:59,193,Marcus Weathers missed Layup.,36,36
16:59,2635,Mason Ramsey Defensive Rebound.,36,36
16:45,2635,Hakeem Rogers made Three Point Jumper. Assisted by Aleksa Jugovic.,39,36
16:30,193,Michael Weathers missed Three Point Jumper.,39,36
16:30,2635,Courtney Alexander II Defensive Rebound.,39,36
16:17,193,Foul on Michael Weathers.,39,36
16:17,2635,Hakeem Rogers made Free Throw.,40,36
16:17,2635,Hakeem Rogers made Free Throw.,41,36
16:02,193,Abdoulaye Harouna made Three Point Jumper. Assisted by Milos Jovic.,41,39
16:00,2635,Foul on Kajon Mack.,41,39
16:00,193,Abdoulaye Harouna made Free Throw.,41,40
15:44,2635,Mason Ramsey Turnover.,41,40
15:44,193,Official TV Timeout,41,40
15:29,193,Michael Weathers Turnover.,41,40
15:27,2635,Mason Ramsey Steal.,41,40
15:22,193,Foul on Michael Weathers.,41,40
15:04,2635,Hakeem Rogers missed Three Point Jumper.,41,40
15:04,193,Logan McLane Defensive Rebound.,41,40
14:55,193,Marcus Weathers Turnover.,41,40
14:54,2635,Mason Ramsey Steal.,41,40
14:45,2635,Mason Ramsey missed Layup.,41,40
14:45,193,Logan McLane Defensive Rebound.,41,40
14:30,193,Logan McLane missed Three Point Jumper.,41,40
14:30,2635,Courtney Alexander II Defensive Rebound.,41,40
14:23,2635,Hakeem Rogers made Layup.,43,40
14:01,193,Abdoulaye Harouna Turnover.,43,40
14:01,2635,Stephaun Adams Steal.,43,40
13:55,2635,Hakeem Rogers missed Layup.,43,40
13:55,193,Marcus Weathers Block.,43,40
13:51,193,Logan McLane Defensive Rebound.,43,40
13:46,2635,Foul on Hakeem Rogers.,43,40
13:27,193,Milos Jovic made Layup.,43,42
13:08,193,Foul on Dion Wade.,43,42
13:07,2635,Courtney Alexander II made Jumper. Assisted by Stephaun Adams.,45,42
12:50,193,Dion Wade missed Layup.,45,42
12:50,2635,Stephaun Adams Defensive Rebound.,45,42
12:42,2635,Foul on Micaiah Henry.,45,42
12:42,2635,Micaiah Henry Turnover.,45,42
12:28,193,Milos Jovic Turnover.,45,42
12:27,2635,Courtney Alexander II Steal.,45,42
12:26,193,Foul on Jake Wright.,45,42
12:26,2635,Courtney Alexander II made Free Throw.,46,42
12:26,2635,Courtney Alexander II missed Free Throw.,46,42
12:26,193,Logan McLane Defensive Rebound.,46,42
12:05,193,Logan McLane Turnover.,46,42
12:05,2635,Hakeem Rogers Steal.,46,42
12:01,2635,Hakeem Rogers made Layup.,48,42
11:48,193,Logan McLane made Layup.,48,44
11:20,2635,Hakeem Rogers missed Three Point Jumper.,48,44
11:20,193,Logan McLane Defensive Rebound.,48,44
11:12,2635,Courtney Alexander II Steal.,48,44
11:12,193,Michael Weathers Turnover.,48,44
11:12,193,Official TV Timeout,48,44
11:01,2635,Aleksa Jugovic Turnover.,48,44
11:00,193,Michael Weathers Steal.,48,44
10:57,193,Michael Weathers made Layup.,48,46
10:57,2635,Foul on Mason Ramsey.,48,46
10:57,193,Michael Weathers made Free Throw.,48,47
10:34,2635,Curtis Phillips missed Jumper.,48,47
10:34,2635,Micaiah Henry Offensive Rebound.,48,47
10:21,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Stephaun Adams.,51,47
10:08,193,Michael Weathers missed Layup.,51,47
10:08,2635,Stephaun Adams Defensive Rebound.,51,47
10:01,2635,Hakeem Rogers missed Three Point Jumper.,51,47
10:01,2635,Micaiah Henry Offensive Rebound.,51,47
9:58,2635,Micaiah Henry Turnover.,51,47
9:57,193,Michael Weathers Steal.,51,47
9:52,193,Michael Weathers missed Layup.,51,47
9:52,193,Rod Mills Jr. Offensive Rebound.,51,47
9:50,193,Rod Mills Jr. missed Jumper.,51,47
9:50,2635,Micaiah Henry Block.,51,47
9:48,2635,Hakeem Rogers Defensive Rebound.,51,47
9:47,193,Foul on Rod Mills Jr..,51,47
9:21,2635,Hakeem Rogers missed Layup.,51,47
9:21,193,Logan McLane Defensive Rebound.,51,47
8:52,193,Dion Wade missed Jumper.,51,47
8:52,193,Miami (OH) Offensive Rebound.,51,47
8:49,2635,Foul on Micaiah Henry.,51,47
8:49,193,Logan McLane missed Free Throw.,51,47
8:49,193,Marcus Weathers Offensive Rebound.,51,47
8:46,193,Jake Wright missed Three Point Jumper.,51,47
8:46,2635,Aleksa Jugovic Defensive Rebound.,51,47
8:29,2635,Aleksa Jugovic missed Jumper.,51,47
8:29,193,Dion Wade Defensive Rebound.,51,47
8:01,193,Logan McLane made Three Point Jumper. Assisted by Jake Bischoff.,51,50
7:32,2635,Savonte Frazier missed Layup.,51,50
7:32,193,Logan McLane Block.,51,50
7:32,2635,Tennessee Tech Offensive Rebound.,51,50
7:31,193,Official TV Timeout,51,50
7:22,2635,Mason Ramsey missed Jumper.,51,50
7:22,193,Dion Wade Defensive Rebound.,51,50
7:20,2635,Foul on Savonte Frazier.,51,50
7:20,193,Dion Wade made Free Throw.,51,51
7:20,193,Dion Wade made Free Throw.,51,52
7:01,2635,Foul on Mason Ramsey.,51,52
7:01,2635,Mason Ramsey Turnover.,51,52
6:43,193,Marcus Weathers made Layup.,51,54
6:20,2635,Curtis Phillips missed Layup.,51,54
6:20,193,Logan McLane Defensive Rebound.,51,54
5:54,193,Logan McLane made Layup.,51,56
5:53,2635,Foul on Hakeem Rogers.,51,56
5:53,193,Logan McLane missed Free Throw.,51,56
5:53,2635,Curtis Phillips Defensive Rebound.,51,56
5:32,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Kajon Mack.,54,56
5:30,2635,Tennessee Tech  Timeout,54,56
5:17,193,Marcus Weathers missed Layup.,54,56
5:17,193,Miami (OH) Offensive Rebound.,54,56
5:14,193,Jake Wright missed Three Point Jumper.,54,56
5:14,2635,Kajon Mack Defensive Rebound.,54,56
4:53,2635,Aleksa Jugovic missed Layup.,54,56
4:53,2635,Mason Ramsey Offensive Rebound.,54,56
4:51,2635,Mason Ramsey missed Jumper.,54,56
4:51,193,Jake Wright Defensive Rebound.,54,56
4:39,193,Jake Bischoff Turnover.,54,56
4:39,2635,Kajon Mack Steal.,54,56
4:23,2635,Kajon Mack missed Layup.,54,56
4:23,193,Miami (OH) Defensive Rebound.,54,56
4:02,193,Jake Wright missed Three Point Jumper.,54,56
4:02,2635,Curtis Phillips Defensive Rebound.,54,56
3:52,193,Foul on Marcus Weathers.,54,56
3:52,193,Official TV Timeout,54,56
3:52,2635,Kajon Mack made Free Throw.,55,56
3:52,2635,Kajon Mack made Free Throw.,56,56
3:19,193,Marcus Weathers missed Three Point Jumper.,56,56
3:19,2635,Curtis Phillips Defensive Rebound.,56,56
3:03,2635,Hakeem Rogers missed Three Point Jumper.,56,56
3:03,193,Dion Wade Defensive Rebound.,56,56
2:54,193,Miami (OH)  Timeout,56,56
2:34,193,Michael Weathers made Jumper.,56,58
2:21,2635,Kajon Mack Turnover.,56,58
2:08,2635,Foul on Kajon Mack.,56,58
2:08,193,Michael Weathers made Free Throw.,56,59
2:08,193,Michael Weathers made Free Throw.,56,60
1:53,2635,Tennessee Tech  Timeout,56,60
1:38,2635,Hakeem Rogers missed Three Point Jumper.,56,60
1:38,193,Michael Weathers Block.,56,60
1:37,193,Miami (OH) Defensive Rebound.,56,60
1:07,193,Abdoulaye Harouna missed Three Point Jumper.,56,60
1:07,2635,Stephaun Adams Defensive Rebound.,56,60
0:54,2635,Stephaun Adams missed Layup.,56,60
0:54,193,Marcus Weathers Block.,56,60
0:53,193,Michael Weathers Defensive Rebound.,56,60
0:47,193,Michael Weathers made Layup.,56,62
0:46,193,Miami (OH)  Timeout,56,62
0:35,2635,Aleksa Jugovic missed Three Point Jumper.,56,62
0:35,193,Miami (OH) Defensive Rebound.,56,62
0:29,2635,Foul on Courtney Alexander II.,56,62
0:29,193,Michael Weathers made Free Throw.,56,63
0:29,193,Michael Weathers made Free Throw.,56,64
0:23,2635,Hakeem Rogers missed Three Point Jumper.,56,64
0:23,2635,Curtis Phillips Offensive Rebound.,56,64
0:16,2635,Stephaun Adams missed Jumper.,56,64
0:16,193,Marcus Weathers Block.,56,64
0:15,193,Logan McLane Defensive Rebound.,56,64
0:10,2635,Foul on Stephaun Adams.,56,64
0:10,193,Michael Weathers made Free Throw.,56,65
0:10,193,Michael Weathers made Free Throw.,56,66
0:05,193,Foul on Marcus Weathers.,56,66
0:05,2635,Stephaun Adams made Free Throw.,57,66
0:05,2635,Stephaun Adams made Free Throw.,58,66
0:00,193,End of Game,58,66
