UNC Asheville,194,Ohio State,2427
11:46,194,Official TV Timeout,15,16
11:17,2427,Malik Smith missed Jumper.,15,16
11:17,2427,Malik Smith Offensive Rebound.,15,16
11:15,2427,Malik Smith missed Jumper.,15,16
11:15,194,Keita Bates-Diop Defensive Rebound.,15,16
11:09,194,Marc Loving made Three Point Jumper. Assisted by C.J. Jackson.,15,19
10:51,2427,Malik Smith Turnover.,15,19
10:51,2427,Foul on Malik Smith.,15,19
10:39,194,Trevor Thompson missed Layup.,15,19
10:39,2427,Raekwon Miller Defensive Rebound.,15,19
10:07,2427,UNC Asheville  Turnover.,15,19
9:51,194,Marc Loving missed Three Point Jumper.,15,19
9:51,2427,David Robertson Defensive Rebound.,15,19
9:25,2427,MaCio Teague missed Three Point Jumper.,15,19
9:25,194,Kam Williams Defensive Rebound.,15,19
9:05,194,JaQuan Lyle Turnover.,15,19
8:59,194,Foul on Kam Williams.,15,19
8:57,2427,Ahmad Thomas made Jumper.,17,19
8:37,194,Jae'Sean Tate made Layup. Assisted by Marc Loving.,17,21
8:25,2427,Will Weeks missed Layup.,17,21
8:25,2427,Will Weeks Offensive Rebound.,17,21
8:20,2427,Ahmad Thomas missed Jumper.,17,21
8:20,2427,Will Weeks Offensive Rebound.,17,21
8:15,2427,Raekwon Miller missed Three Point Jumper.,17,21
8:15,194,Ohio State Defensive Rebound.,17,21
7:59,194,Jae'Sean Tate missed Jumper.,17,21
7:59,2427,Raekwon Miller Block.,17,21
7:59,194,Ohio State Offensive Rebound.,17,21
7:59,194,Official TV Timeout,17,21
7:45,194,JaQuan Lyle made Three Point Jumper. Assisted by Keita Bates-Diop.,17,24
7:15,2427,Raekwon Miller missed Three Point Jumper.,17,24
7:15,2427,MaCio Teague Offensive Rebound.,17,24
7:09,2427,Ahmad Thomas missed Three Point Jumper.,17,24
7:09,2427,Raekwon Miller Offensive Rebound.,17,24
6:59,2427,Raekwon Miller made Three Point Jumper. Assisted by Ahmad Thomas.,20,24
6:43,194,JaQuan Lyle made Layup. Assisted by Marc Loving.,20,26
6:27,2427,Kevin Vannatta Turnover.,20,26
6:18,194,Marc Loving missed Three Point Jumper.,20,26
6:18,2427,Kevin Vannatta Defensive Rebound.,20,26
6:10,2427,MaCio Teague made Three Point Jumper. Assisted by Kevin Vannatta.,23,26
5:58,2427,Foul on Ahmad Thomas.,23,26
5:58,194,Keita Bates-Diop missed Free Throw.,23,26
5:58,194,Jae'Sean Tate Offensive Rebound.,23,26
5:49,194,Keita Bates-Diop missed Jumper.,23,26
5:49,2427,Ahmad Thomas Defensive Rebound.,23,26
5:43,194,Foul on Jae'Sean Tate.,23,26
5:43,2427,Ahmad Thomas missed Free Throw.,23,26
5:43,2427,UNC Asheville Deadball Team Rebound.,23,26
5:43,2427,Ahmad Thomas made Free Throw.,24,26
5:26,194,JaQuan Lyle Turnover.,24,26
5:25,2427,Ahmad Thomas Steal.,24,26
5:23,2427,Ahmad Thomas missed Layup.,24,26
5:23,194,Marc Loving Defensive Rebound.,24,26
5:02,194,Trevor Thompson made Layup. Assisted by Jae'Sean Tate.,24,28
5:02,2427,Foul on Ahmad Thomas.,24,28
5:02,194,Trevor Thompson made Free Throw.,24,29
4:49,2427,Drew Rackley Turnover.,24,29
4:48,194,Jae'Sean Tate Steal.,24,29
4:45,194,Keita Bates-Diop made Dunk. Assisted by Jae'Sean Tate.,24,31
4:44,2427,UNC Asheville  Timeout,24,31
4:20,2427,David Robertson made Three Point Jumper. Assisted by MaCio Teague.,27,31
4:12,194,Ohio State  Timeout,27,31
4:12,194,Official TV Timeout,27,31
3:51,194,Trevor Thompson missed Jumper.,27,31
3:51,2427,Malik Smith Defensive Rebound.,27,31
3:31,2427,Will Weeks missed Layup.,27,31
3:31,2427,Malik Smith Offensive Rebound.,27,31
3:28,194,Foul on Trevor Thompson.,27,31
3:13,2427,MaCio Teague missed Jumper.,27,31
3:13,194,Jae'Sean Tate Defensive Rebound.,27,31
2:52,194,Keita Bates-Diop Turnover.,27,31
2:29,2427,Raekwon Miller missed Three Point Jumper.,27,31
2:29,194,Marc Loving Defensive Rebound.,27,31
2:15,194,Jae'Sean Tate missed Jumper.,27,31
2:15,2427,Malik Smith Block.,27,31
2:13,2427,Will Weeks Defensive Rebound.,27,31
1:57,2427,David Robertson made Three Point Jumper. Assisted by Will Weeks.,30,31
1:39,194,Keita Bates-Diop missed Jumper.,30,31
1:39,194,Trevor Thompson Offensive Rebound.,30,31
1:38,2427,Foul on Raekwon Miller.,30,31
1:38,194,Trevor Thompson made Free Throw.,30,32
1:38,194,Trevor Thompson missed Free Throw.,30,32
1:38,2427,Malik Smith Defensive Rebound.,30,32
1:21,2427,MaCio Teague missed Three Point Jumper.,30,32
1:21,194,Trevor Thompson Defensive Rebound.,30,32
1:10,194,JaQuan Lyle made Layup.,30,34
0:44,2427,David Robertson missed Three Point Jumper.,30,34
0:44,194,Trevor Thompson Defensive Rebound.,30,34
0:32,194,Andre Wesson missed Three Point Jumper.,30,34
0:32,194,Marc Loving Offensive Rebound.,30,34
0:27,194,Marc Loving made Jumper.,30,36
0:03,2427,MaCio Teague made Layup.,32,36
0:03,194,Foul on Trevor Thompson.,32,36
0:03,2427,MaCio Teague made Free Throw.,33,36
0:00,194,End of 1st half,33,36
19:38,2427,MaCio Teague made Jumper.,35,36
19:18,2427,Foul on Raekwon Miller.,35,36
19:18,194,JaQuan Lyle missed Free Throw.,35,36
19:18,194,Ohio State Deadball Team Rebound.,35,36
19:18,194,JaQuan Lyle made Free Throw.,35,37
18:52,2427,MaCio Teague missed Jumper.,35,37
18:52,194,Trevor Thompson Defensive Rebound.,35,37
18:42,194,Trevor Thompson made Dunk. Assisted by Jae'Sean Tate.,35,39
18:24,2427,Ahmad Thomas missed Jumper.,35,39
18:24,194,Trevor Thompson Defensive Rebound.,35,39
18:02,194,JaQuan Lyle missed Three Point Jumper.,35,39
18:02,194,Jae'Sean Tate Offensive Rebound.,35,39
17:59,194,Jae'Sean Tate made Layup.,35,41
17:45,194,Foul on JaQuan Lyle.,35,41
17:44,2427,Ahmad Thomas Turnover.,35,41
17:24,194,Trevor Thompson made Layup. Assisted by JaQuan Lyle.,35,43
17:09,2427,Kevin Vannatta missed Jumper.,35,43
17:09,194,Trevor Thompson Defensive Rebound.,35,43
17:00,194,Marc Loving missed Three Point Jumper.,35,43
17:00,194,Trevor Thompson Offensive Rebound.,35,43
16:52,194,Kam Williams made Three Point Jumper.,35,46
16:50,2427,UNC Asheville  Timeout,35,46
16:25,2427,Alec Wnuk made Layup.,37,46
16:03,2427,Foul on Kevin Vannatta.,37,46
15:55,194,Marc Loving Turnover.,37,46
15:55,194,Official TV Timeout,37,46
15:43,194,Foul on Marc Loving.,37,46
15:40,2427,Raekwon Miller missed Jumper.,37,46
15:40,2427,Alec Wnuk Offensive Rebound.,37,46
15:39,2427,Alec Wnuk made Jumper.,39,46
15:39,194,Foul on Jae'Sean Tate.,39,46
15:39,2427,Alec Wnuk missed Free Throw.,39,46
15:39,194,Trevor Thompson Defensive Rebound.,39,46
15:08,194,Jae'Sean Tate made Layup.,39,48
14:53,2427,Alec Wnuk Turnover.,39,48
14:41,194,JaQuan Lyle Turnover.,39,48
14:40,2427,Ahmad Thomas Steal.,39,48
14:38,2427,Raekwon Miller made Dunk. Assisted by Ahmad Thomas.,41,48
14:19,194,Kam Williams made Jumper.,41,50
14:07,2427,Alec Wnuk missed Layup.,41,50
14:07,194,Trevor Thompson Defensive Rebound.,41,50
14:02,194,Jae'Sean Tate made Dunk. Assisted by Marc Loving.,41,52
13:43,2427,MaCio Teague made Jumper.,43,52
13:24,194,Trevor Thompson missed Layup.,43,52
13:24,2427,Alec Wnuk Defensive Rebound.,43,52
13:17,2427,Alec Wnuk made Three Point Jumper. Assisted by MaCio Teague.,46,52
13:00,2427,Foul on Kevin Vannatta.,46,52
13:00,194,Marc Loving missed Free Throw.,46,52
13:00,194,Ohio State Deadball Team Rebound.,46,52
13:00,194,Marc Loving made Free Throw.,46,53
12:51,2427,Raekwon Miller missed Jumper.,46,53
12:51,194,Ohio State Defensive Rebound.,46,53
12:40,194,C.J. Jackson Turnover.,46,53
12:39,2427,Alec Wnuk Steal.,46,53
12:30,194,Foul on Trevor Thompson.,46,53
12:30,2427,MaCio Teague made Free Throw.,47,53
12:30,2427,MaCio Teague made Free Throw.,48,53
12:06,194,Jae'Sean Tate missed Jumper.,48,53
12:06,2427,MaCio Teague Defensive Rebound.,48,53
11:53,2427,MaCio Teague missed Three Point Jumper.,48,53
11:53,194,Keita Bates-Diop Block.,48,53
11:51,194,Jae'Sean Tate Defensive Rebound.,48,53
11:50,2427,Foul on MaCio Teague.,48,53
11:50,194,Official TV Timeout,48,53
11:27,194,Marc Loving made Jumper.,48,55
11:07,2427,Will Weeks made Layup. Assisted by Ahmad Thomas.,50,55
10:39,194,Keita Bates-Diop missed Jumper.,50,55
10:39,2427,Ahmad Thomas Defensive Rebound.,50,55
10:08,2427,MaCio Teague missed Jumper.,50,55
10:08,194,Keita Bates-Diop Defensive Rebound.,50,55
10:01,194,C.J. Jackson made Layup.,50,57
9:43,2427,Ahmad Thomas missed Three Point Jumper.,50,57
9:43,194,David Bell Defensive Rebound.,50,57
9:36,194,Keita Bates-Diop made Layup. Assisted by C.J. Jackson.,50,59
9:36,2427,Foul on Alec Wnuk.,50,59
9:36,194,Keita Bates-Diop made Free Throw.,50,60
9:19,194,Foul on Jae'Sean Tate.,50,60
8:51,2427,Raekwon Miller made Layup.,52,60
8:33,194,Keita Bates-Diop missed Jumper.,52,60
8:33,194,Keita Bates-Diop Offensive Rebound.,52,60
8:18,194,JaQuan Lyle missed Layup.,52,60
8:18,2427,Alec Wnuk Block.,52,60
8:18,194,Ohio State Offensive Rebound.,52,60
8:06,194,Keita Bates-Diop missed Layup.,52,60
8:06,194,Keita Bates-Diop Offensive Rebound.,52,60
8:03,194,Keita Bates-Diop made Two Point Tip Shot.,52,62
7:49,2427,Alec Wnuk missed Three Point Jumper.,52,62
7:49,194,C.J. Jackson Defensive Rebound.,52,62
7:31,194,Keita Bates-Diop missed Jumper.,52,62
7:31,2427,Kevin Vannatta Defensive Rebound.,52,62
7:30,194,Foul on Marc Loving.,52,62
7:30,194,Official TV Timeout,52,62
7:04,2427,MaCio Teague made Three Point Jumper.,55,62
6:39,2427,Foul on Ahmad Thomas.,55,62
6:22,194,Marc Loving missed Three Point Jumper.,55,62
6:22,2427,Ahmad Thomas Defensive Rebound.,55,62
6:15,2427,Ahmad Thomas made Layup.,57,62
6:01,194,Marc Loving Turnover.,57,62
6:01,194,Foul on Marc Loving.,57,62
6:01,194,Technical Foul on Marc Loving.,57,62
6:01,2427,MaCio Teague made Free Throw.,58,62
6:01,2427,MaCio Teague made Free Throw.,59,62
5:41,194,Foul on Jae'Sean Tate.,59,62
5:41,2427,Foul on Ahmad Thomas.,59,62
5:38,2427,Kevin Vannatta made Jumper. Assisted by Alec Wnuk.,61,62
5:09,2427,Foul on Will Weeks.,61,62
5:09,194,Trevor Thompson made Free Throw.,61,63
5:09,194,Trevor Thompson made Free Throw.,61,64
4:50,2427,Kevin Vannatta made Three Point Jumper. Assisted by Alec Wnuk.,64,64
4:36,2427,Foul on Alec Wnuk.,64,64
4:36,194,JaQuan Lyle made Free Throw.,64,65
4:36,194,JaQuan Lyle missed Free Throw.,64,65
4:36,2427,MaCio Teague Defensive Rebound.,64,65
4:25,194,Foul on Trevor Thompson.,64,65
4:25,194,Foul on Trevor Thompson.,64,65
4:25,194,Technical Foul on Trevor Thompson.,64,65
4:25,2427,MaCio Teague made Free Throw.,65,65
4:25,2427,MaCio Teague made Free Throw.,66,65
4:25,2427,Will Weeks made Free Throw.,67,65
4:25,2427,Will Weeks missed Free Throw.,67,65
4:25,194,Keita Bates-Diop Defensive Rebound.,67,65
3:57,2427,Foul on Will Weeks.,67,65
3:57,194,Official TV Timeout,67,65
3:57,194,Jae'Sean Tate made Free Throw.,67,66
3:57,194,Jae'Sean Tate made Free Throw.,67,67
3:32,2427,Ahmad Thomas missed Jumper.,67,67
3:32,194,Keita Bates-Diop Defensive Rebound.,67,67
3:13,194,C.J. Jackson missed Layup.,67,67
3:13,2427,MaCio Teague Defensive Rebound.,67,67
2:51,2427,MaCio Teague made Jumper.,69,67
2:35,2427,Foul on Kevin Vannatta.,69,67
2:35,194,JaQuan Lyle made Free Throw.,69,68
2:35,194,JaQuan Lyle made Free Throw.,69,69
2:11,2427,MaCio Teague missed Three Point Jumper.,69,69
2:11,194,Keita Bates-Diop Defensive Rebound.,69,69
2:00,194,JaQuan Lyle made Layup.,69,71
1:49,2427,UNC Asheville  Timeout,69,71
1:42,2427,Ahmad Thomas Turnover.,69,71
1:31,194,JaQuan Lyle made Jumper.,69,73
1:16,2427,Will Weeks made Layup. Assisted by MaCio Teague.,71,73
1:16,2427,UNC Asheville  Timeout,71,73
0:47,194,JaQuan Lyle made Layup.,71,75
0:47,194,Ohio State  Timeout,71,75
0:32,194,Foul on Jae'Sean Tate.,71,75
0:32,2427,Kevin Vannatta missed Free Throw.,71,75
0:32,2427,UNC Asheville Deadball Team Rebound.,71,75
0:32,2427,Kevin Vannatta missed Free Throw.,71,75
0:32,2427,UNC Asheville Deadball Team Rebound.,71,75
0:32,2427,Kevin Vannatta made Free Throw.,72,75
0:29,2427,Foul on Kevin Vannatta.,72,75
0:29,194,Marc Loving missed Free Throw.,72,75
0:29,194,Ohio State Deadball Team Rebound.,72,75
0:29,194,Marc Loving missed Free Throw.,72,75
0:29,2427,Kevin Vannatta Defensive Rebound.,72,75
0:18,2427,Alec Wnuk missed Dunk.,72,75
0:18,194,Marc Loving Block.,72,75
0:18,194,C.J. Jackson Defensive Rebound.,72,75
0:12,2427,Foul on Kevin Vannatta.,72,75
0:12,194,C.J. Jackson made Free Throw.,72,76
0:12,194,C.J. Jackson made Free Throw.,72,77
0:12,194,Ohio State  Timeout,72,77
0:05,2427,Alec Wnuk made Three Point Jumper. Assisted by MaCio Teague.,75,77
0:04,2427,Foul on MaCio Teague.,75,77
0:04,194,Kam Williams made Free Throw.,75,78
0:04,194,Kam Williams made Free Throw.,75,79
0:01,2427,MaCio Teague made Dunk.,77,79
0:00,194,End of Game,77,79
