UC Riverside,2172,Denver,27
3:19,2172,Daniel Amigo missed Layup.,19,26
3:19,27,Brandon Rosser Defensive Rebound.,19,26
3:05,27,Gentrey Thomas missed Three Point Jumper.,19,26
3:05,2172,Joe Rosga Defensive Rebound.,19,26
2:44,2172,Daniel Amigo Turnover.,19,26
2:27,27,Gentrey Thomas Turnover.,19,26
2:27,2172,Jake Pemberton Steal.,19,26
2:25,2172,Joe Rosga made Layup. Assisted by Jake Pemberton.,19,28
2:05,27,Gentrey Thomas Turnover.,19,28
2:04,2172,Jake Pemberton Steal.,19,28
1:58,2172,Jake Krafka made Three Point Jumper. Assisted by Joe Rosga.,19,31
1:39,2172,Foul on Ade Murkey.,19,31
1:39,27,Secean Johnson made Free Throw.,20,31
1:39,27,Secean Johnson made Free Throw.,21,31
1:28,2172,Daniel Amigo missed Layup.,21,31
1:28,27,Brandon Rosser Defensive Rebound.,21,31
1:20,27,Chance Murray Turnover.,21,31
1:19,2172,Jake Pemberton Steal.,21,31
1:15,27,Foul on Brandon Rosser.,21,31
1:15,2172,Ade Murkey made Free Throw.,21,32
1:15,2172,Ade Murkey made Free Throw.,21,33
0:47,27,Gentrey Thomas made Jumper.,23,33
0:33,2172,Jake Krafka made Jumper. Assisted by Ade Murkey.,23,35
0:02,27,Chance Murray missed Three Point Jumper.,23,35
0:02,2172,Ade Murkey Defensive Rebound.,23,35
0:00,2172,End of 1st half,23,35
19:54,2172,Daniel Amigo made Layup. Assisted by Joe Rosga.,23,37
19:27,27,Gentrey Thomas missed Jumper.,23,37
19:27,2172,Denver Defensive Rebound.,23,37
19:05,2172,C.J. Bobbitt Turnover.,23,37
18:46,27,Gentrey Thomas made Three Point Jumper. Assisted by James Jackson.,26,37
18:15,2172,Jake Pemberton made Layup.,26,39
17:56,2172,Foul on Jake Pemberton.,26,39
17:56,27,Secean Johnson missed Free Throw.,26,39
17:56,27,UC Riverside Deadball Team Rebound.,26,39
17:56,27,Secean Johnson made Free Throw.,27,39
17:47,2172,Jake Pemberton Turnover.,27,39
17:47,27,Gentrey Thomas Steal.,27,39
17:28,27,James Jackson made Jumper. Assisted by Gentrey Thomas.,29,39
17:19,27,Foul on Koh Flippin.,29,39
17:14,2172,C.J. Bobbitt missed Jumper.,29,39
17:14,27,Gentrey Thomas Defensive Rebound.,29,39
17:04,27,Gentrey Thomas missed Three Point Jumper.,29,39
17:04,2172,C.J. Bobbitt Defensive Rebound.,29,39
16:55,2172,Thomas Neff made Three Point Jumper. Assisted by Jake Pemberton.,29,42
16:36,27,Koh Flippin made Three Point Jumper. Assisted by Chance Murray.,32,42
16:10,2172,Thomas Neff missed Three Point Jumper.,32,42
16:10,27,Chance Murray Defensive Rebound.,32,42
15:59,2172,Official TV Timeout,32,42
15:50,27,Chance Murray made Layup.,34,42
15:36,27,Foul on Brandon Rosser.,34,42
15:36,2172,Daniel Amigo made Free Throw.,34,43
15:36,2172,Daniel Amigo made Free Throw.,34,44
15:17,27,Chance Murray Turnover.,34,44
15:15,2172,Joe Rosga Steal.,34,44
15:15,27,Foul on Alex Larsson.,34,44
15:00,2172,Jake Krafka missed Three Point Jumper.,34,44
14:59,27,Brandon Rosser Defensive Rebound.,34,44
14:58,2172,Foul on Daniel Amigo.,34,44
14:38,27,Brandon Rosser made Jumper. Assisted by Chance Murray.,36,44
14:24,2172,Duke Douglas missed Jumper.,36,44
14:24,27,Dikymbe Martin Defensive Rebound.,36,44
14:13,27,Brandon Rosser missed Jumper.,36,44
14:13,2172,Jake Krafka Defensive Rebound.,36,44
13:59,2172,Jake Krafka made Layup.,36,46
13:44,27,Chance Murray Turnover.,36,46
13:43,2172,Joe Rosga Steal.,36,46
13:38,2172,Jake Pemberton Turnover.,36,46
13:24,27,Brandon Rosser missed Three Point Jumper.,36,46
13:24,2172,Jake Krafka Defensive Rebound.,36,46
13:13,27,Foul on Brandon Rosser.,36,46
13:05,27,Foul on Secean Johnson.,36,46
12:56,2172,Joe Rosga made Three Point Jumper. Assisted by Jake Pemberton.,36,49
12:32,27,Dikymbe Martin missed Three Point Jumper.,36,49
12:32,2172,Joe Rosga Defensive Rebound.,36,49
12:27,2172,Joe Rosga Turnover.,36,49
12:07,2172,Foul on Ade Murkey.,36,49
12:07,27,Secean Johnson made Free Throw.,37,49
12:07,27,Secean Johnson made Free Throw.,38,49
11:50,2172,Joe Rosga missed Three Point Jumper.,38,49
11:50,27,Secean Johnson Defensive Rebound.,38,49
11:48,2172,Foul on Jake Krafka.,38,49
11:48,2172,Official TV Timeout,38,49
11:33,27,Chance Murray made Three Point Jumper. Assisted by Dikymbe Martin.,41,49
11:06,27,Foul on Gentrey Thomas.,41,49
11:06,2172,Ade Murkey made Free Throw.,41,50
11:06,2172,Ade Murkey made Free Throw.,41,51
10:44,27,Koh Flippin missed Three Point Jumper.,41,51
10:44,27,James Jackson Offensive Rebound.,41,51
10:37,27,Dikymbe Martin Turnover.,41,51
10:36,2172,Ade Murkey Steal.,41,51
10:28,27,Foul on Dikymbe Martin.,41,51
10:28,2172,Joe Rosga made Free Throw.,41,52
10:28,2172,Joe Rosga made Free Throw.,41,53
10:10,2172,Foul on Abiola Akintola.,41,53
10:10,27,Secean Johnson made Free Throw.,42,53
10:10,27,Secean Johnson made Free Throw.,43,53
9:46,2172,Thomas Neff Turnover.,43,53
9:29,27,Chance Murray Turnover.,43,53
9:29,27,Foul on Chance Murray.,43,53
9:05,2172,Daniel Amigo missed Layup.,43,53
9:05,2172,Ade Murkey Offensive Rebound.,43,53
9:00,2172,Ade Murkey made Dunk.,43,55
8:43,27,James Jackson missed Jumper.,43,55
8:43,2172,Joe Rosga Defensive Rebound.,43,55
8:27,2172,Thomas Neff made Three Point Jumper. Assisted by Daniel Amigo.,43,58
8:23,27,UC Riverside  Timeout,43,58
8:23,2172,Official TV Timeout,43,58
7:57,27,Dikymbe Martin made Three Point Jumper. Assisted by Chance Murray.,46,58
7:39,27,Foul on Brandon Rosser.,46,58
7:39,2172,Official TV Timeout,46,58
7:39,2172,Daniel Amigo made Free Throw.,46,59
7:39,2172,Daniel Amigo made Free Throw.,46,60
7:14,27,Chance Murray made Jumper.,48,60
6:56,2172,Daniel Amigo Turnover.,48,60
6:42,27,Secean Johnson missed Jumper.,48,60
6:42,2172,Jake Krafka Defensive Rebound.,48,60
6:37,27,Foul on Secean Johnson.,48,60
6:37,2172,Bradley George missed Free Throw.,48,60
6:37,2172,Denver Deadball Team Rebound.,48,60
6:37,2172,Bradley George made Free Throw.,48,61
6:23,27,Chance Murray missed Three Point Jumper.,48,61
6:23,2172,C.J. Bobbitt Defensive Rebound.,48,61
6:06,2172,C.J. Bobbitt missed Three Point Jumper.,48,61
6:06,27,Chance Murray Defensive Rebound.,48,61
5:52,27,Alex Larsson missed Layup.,48,61
5:52,2172,Daniel Amigo Block.,48,61
5:51,27,Secean Johnson Offensive Rebound.,48,61
5:42,27,Chance Murray Turnover.,48,61
5:41,2172,Jake Pemberton Steal.,48,61
5:38,2172,Joe Rosga made Layup. Assisted by Jake Pemberton.,48,63
5:18,27,Chance Murray Turnover.,48,63
5:06,2172,Joe Rosga made Three Point Jumper. Assisted by Jake Krafka.,48,66
4:53,27,Koh Flippin made Layup.,50,66
4:37,2172,Joe Rosga missed Three Point Jumper.,50,66
4:37,27,Dikymbe Martin Defensive Rebound.,50,66
4:19,27,Dikymbe Martin Turnover.,50,66
4:17,2172,Ade Murkey Steal.,50,66
3:52,2172,Joe Rosga missed Three Point Jumper.,50,66
3:52,2172,Jake Krafka Offensive Rebound.,50,66
3:40,27,Foul on Gentrey Thomas.,50,66
3:40,2172,Official TV Timeout,50,66
3:40,2172,Jake Pemberton made Free Throw.,50,67
3:40,2172,Jake Pemberton made Free Throw.,50,68
3:16,27,Chance Murray missed Three Point Jumper.,50,68
3:16,2172,Jake Krafka Defensive Rebound.,50,68
2:54,2172,Jake Pemberton missed Three Point Jumper.,50,68
2:54,27,Chance Murray Defensive Rebound.,50,68
2:39,2172,Foul on Joe Rosga.,50,68
2:39,27,Koh Flippin made Free Throw.,51,68
2:39,27,Koh Flippin made Free Throw.,52,68
2:39,27,Koh Flippin made Free Throw.,53,68
2:39,27,UC Riverside  Timeout,53,68
2:29,27,Foul on Koh Flippin.,53,68
2:29,2172,Joe Rosga made Free Throw.,53,69
2:29,2172,Joe Rosga made Free Throw.,53,70
2:11,27,Secean Johnson Turnover.,53,70
1:44,27,Foul on Dikymbe Martin.,53,70
1:44,2172,Jake Pemberton missed Free Throw.,53,70
1:44,2172,Denver Deadball Team Rebound.,53,70
1:44,2172,Jake Pemberton made Free Throw.,53,71
1:28,2172,Foul on Jake Krafka.,53,71
1:28,27,Secean Johnson made Free Throw.,54,71
1:28,27,Secean Johnson made Free Throw.,55,71
1:09,27,Foul on Secean Johnson.,55,71
1:09,2172,Ade Murkey made Free Throw.,55,72
1:09,2172,Ade Murkey made Free Throw.,55,73
0:54,27,Koh Flippin missed Three Point Jumper.,55,73
0:54,2172,Joe Rosga Defensive Rebound.,55,73
0:45,2172,Denver  Timeout,55,73
0:30,2172,Bradley George Turnover.,55,73
0:30,2172,Foul on Bradley George.,55,73
0:25,27,Chance Murray missed Three Point Jumper.,55,73
0:25,2172,Luke Neff Defensive Rebound.,55,73
0:00,2172,End of Game,55,73
