Dean,2885,NJIT,110411
11:59,2885,Taj Price missed Free Throw.,37,71
11:59,2885,NJIT Deadball Team Rebound.,37,71
11:59,2885,Taj Price made Free Throw.,37,72
11:50,-1,Aziz Gilliam made Layup.,39,72
11:41,2885,Ron Alston made Three Point Jumper. Assisted by Shyquan Gibbs.,39,75
11:08,-1,Naquwan Solomon missed Layup.,39,75
11:08,2885,Anthony Tarke Block.,39,75
11:08,2885,NJIT Defensive Rebound.,39,75
11:08,2885,Official TV Timeout,39,75
10:52,2885,Taj Price missed Layup.,39,75
10:52,2885,Taj Price Offensive Rebound.,39,75
10:49,2885,Ron Alston made Layup. Assisted by Taj Price.,39,77
10:39,-1,Aziz Gilliam missed Layup.,39,77
10:39,2885,Reilly Walsh Block.,39,77
10:38,2885,Taj Price Defensive Rebound.,39,77
10:26,2885,Shyquan Gibbs missed Layup.,39,77
10:26,-1,Naquwan Solomon Defensive Rebound.,39,77
10:18,2885,Foul on Anthony Tarke.,39,77
10:03,2885,Foul on Reilly Walsh.,39,77
10:03,-1,Aziz Gilliam missed Free Throw.,39,77
10:03,-1,Dean College Deadball Team Rebound.,39,77
10:03,-1,Aziz Gilliam made Free Throw.,40,77
9:47,2885,Ron Alston Turnover.,40,77
9:46,-1,Aziz Gilliam Steal.,40,77
9:46,2885,Foul on Reilly Walsh.,40,77
9:46,-1,Naquwan Solomon made Free Throw.,41,77
9:46,-1,Naquwan Solomon made Free Throw.,42,77
9:34,2885,Anthony Tarke Turnover.,42,77
9:34,-1,Naquwan Solomon Steal.,42,77
9:34,2885,NJIT  Timeout,42,77
9:09,-1,Aziz Gilliam missed Layup.,42,77
9:09,2885,Taj Price Block.,42,77
9:08,2885,Ron Alston Defensive Rebound.,42,77
9:02,2885,Ron Alston missed Layup.,42,77
9:02,-1,Josh Croskey Block.,42,77
9:02,2885,NJIT Offensive Rebound.,42,77
9:00,2885,Anthony Tarke missed Three Point Jumper.,42,77
9:00,-1,Demetrius Sumpter Defensive Rebound.,42,77
8:49,-1,Naquwan Solomon Turnover.,42,77
8:25,-1,Foul on Dayvon Russell.,42,77
8:20,2885,Reilly Walsh made Layup. Assisted by Taj Price.,42,79
8:01,2885,Foul on Reilly Walsh.,42,79
8:01,-1,Randolf Thruman made Free Throw.,43,79
8:01,-1,Randolf Thruman missed Free Throw.,43,79
8:01,-1,Naquwan Solomon Offensive Rebound.,43,79
7:59,-1,Naquwan Solomon missed Jumper.,43,79
7:59,2885,Taj Price Defensive Rebound.,43,79
7:47,2885,Anthony Tarke Turnover.,43,79
7:47,2885,Official TV Timeout,43,79
7:28,-1,Josh Croskey missed Three Point Jumper.,43,79
7:28,-1,Naquwan Solomon Offensive Rebound.,43,79
7:01,2885,Reilly Walsh missed Three Point Jumper.,43,79
7:01,-1,Josh Croskey Defensive Rebound.,43,79
6:47,-1,Randolf Thruman missed Jumper.,43,79
6:47,-1,Demetrius Sumpter Offensive Rebound.,43,79
6:44,-1,Demetrius Sumpter missed Layup.,43,79
6:44,2885,Reilly Walsh Block.,43,79
6:43,2885,NJIT Defensive Rebound.,43,79
6:27,-1,Foul on Josh Croskey.,43,79
6:15,2885,Shyquan Gibbs missed Jumper.,43,79
6:15,-1,Dean College Defensive Rebound.,43,79
5:49,-1,Dayvon Russell missed Jumper.,43,79
5:49,2885,Mohamed Bendary Defensive Rebound.,43,79
5:40,2885,Ron Alston missed Three Point Jumper.,43,79
5:40,2885,NJIT Deadball Team Rebound.,43,79
5:38,-1,Foul on Naquwan Solomon.,43,79
5:31,2885,Taj Price Turnover.,43,79
5:16,2885,Foul on Taj Price.,43,79
5:16,-1,Aziz Gilliam missed Free Throw.,43,79
5:16,-1,Dean College Deadball Team Rebound.,43,79
5:16,-1,Aziz Gilliam missed Free Throw.,43,79
5:16,2885,Taj Price Defensive Rebound.,43,79
5:15,2885,Taj Price Turnover.,43,79
5:10,-1,John Lambert made Jumper.,45,79
4:50,2885,Anthony Tarke Turnover.,45,79
4:48,-1,Naquwan Solomon Steal.,45,79
4:47,-1,Naquwan Solomon Turnover.,45,79
4:46,2885,Shyquan Gibbs Steal.,45,79
4:44,2885,Taj Price made Dunk. Assisted by Shyquan Gibbs.,45,81
4:28,-1,Aziz Gilliam made Three Point Jumper.,48,81
4:05,2885,Anthony Tarke made Three Point Jumper. Assisted by Shyquan Gibbs.,48,84
3:51,-1,Naquwan Solomon missed Layup.,48,84
3:51,2885,Ron Alston Defensive Rebound.,48,84
3:26,2885,Reilly Walsh missed Layup.,48,84
3:26,-1,Dean College Defensive Rebound.,48,84
3:24,2885,Official TV Timeout,48,84
3:02,-1,John Lambert Turnover.,48,84
3:00,2885,Shyquan Gibbs Steal.,48,84
2:44,2885,Taj Price missed Jumper.,48,84
2:44,2885,Anthony Tarke Offensive Rebound.,48,84
2:41,2885,Anthony Tarke made Layup.,48,86
2:18,-1,Naquwan Solomon missed Jumper.,48,86
2:18,2885,Anthony Tarke Defensive Rebound.,48,86
2:09,2885,Reilly Walsh made Layup.,48,88
1:58,-1,John Lambert missed Three Point Jumper.,48,88
1:58,2885,Ron Alston Defensive Rebound.,48,88
1:37,2885,Anthony Tarke made Layup.,48,90
1:22,-1,John Lambert missed Jumper.,48,90
1:22,2885,Shyquan Gibbs Defensive Rebound.,48,90
1:05,-1,Foul on John Lambert.,48,90
1:05,2885,Taj Price made Free Throw.,48,91
1:05,2885,Taj Price made Free Throw.,48,92
0:52,-1,Naquwan Solomon missed Layup.,48,92
0:52,-1,Dean College Offensive Rebound.,48,92
0:44,-1,Jordan Jennings missed Jumper.,48,92
0:44,2885,Ron Alston Defensive Rebound.,48,92
0:27,2885,Anthony Tarke missed Three Point Jumper.,48,92
0:27,2885,Reilly Walsh Offensive Rebound.,48,92
0:17,2885,Ron Alston missed Three Point Jumper.,48,92
0:17,-1,Dayvon Russell Defensive Rebound.,48,92
0:10,-1,Dayvon Russell missed Layup.,48,92
0:10,2885,Ron Alston Block.,48,92
0:09,2885,Taj Price Defensive Rebound.,48,92
0:08,-1,Foul on Terrell Corrcia.,48,92
0:08,2885,Taj Price missed Free Throw.,48,92
0:08,-1,Dayvon Russell Defensive Rebound.,48,92
0:04,-1,Dayvon Russell made Jumper.,50,92
0:00,2885,End of Game,50,92
