LSU,154,Wake Forest,99
15:46,99,Skylar Mays Defensive Rebound.,4,10
15:37,99,Antonio Blakeney Turnover.,4,10
15:37,154,Konstantinos Mitoglou Steal.,4,10
15:28,99,Foul on Duop Reath.,4,10
15:28,154,Official TV Timeout,4,10
15:28,154,Bryant Crawford made Free Throw.,4,11
15:28,154,Bryant Crawford made Free Throw.,4,12
15:21,99,Antonio Blakeney missed Jumper.,4,12
15:21,154,Bryant Crawford Defensive Rebound.,4,12
15:01,154,Doral Moore missed Layup.,4,12
15:01,99,Antonio Blakeney Defensive Rebound.,4,12
14:44,99,Skylar Mays made Jumper.,6,12
14:30,154,Doral Moore missed Jumper.,6,12
14:30,99,Craig Victor II Defensive Rebound.,6,12
14:21,99,Craig Victor II made Jumper. Assisted by Skylar Mays.,8,12
13:53,154,Bryant Crawford missed Three Point Jumper.,8,12
13:53,154,Doral Moore Offensive Rebound.,8,12
13:53,99,Foul on Elbert Robinson III.,8,12
13:51,154,Keyshawn Woods made Jumper. Assisted by Brandon Childress.,8,14
13:29,99,Craig Victor II made Jumper. Assisted by Elbert Robinson III.,10,14
13:04,154,Doral Moore Turnover.,10,14
12:47,154,Foul on Mitchell Wilbekin.,10,14
12:47,99,Elbert Robinson III made Free Throw.,11,14
12:47,99,Elbert Robinson III made Free Throw.,12,14
12:38,99,Foul on Elbert Robinson III.,12,14
12:36,154,Greg McClinton Turnover.,12,14
12:36,99,Skylar Mays Steal.,12,14
12:32,154,Foul on Brandon Childress.,12,14
12:32,154,Foul on Greg McClinton.,12,14
12:20,99,Skylar Mays missed Layup.,12,14
12:20,154,Brandon Childress Defensive Rebound.,12,14
12:06,154,Brandon Childress missed Layup.,12,14
12:06,154,Brandon Childress Offensive Rebound.,12,14
12:05,154,Brandon Childress missed Layup.,12,14
12:04,99,Skylar Mays Block.,12,14
12:04,154,Wake Forest Offensive Rebound.,12,14
11:52,154,Bryant Crawford made Layup.,12,16
11:42,99,Craig Victor II missed Layup.,12,16
11:42,154,John Collins Block.,12,16
11:42,99,LSU Offensive Rebound.,12,16
11:41,154,Official TV Timeout,12,16
11:39,99,Kieran Hayward missed Jumper.,12,16
11:39,99,Craig Victor II Offensive Rebound.,12,16
11:22,99,Craig Victor II missed Jumper.,12,16
11:22,99,LSU Offensive Rebound.,12,16
11:03,99,Craig Victor II missed Jumper.,12,16
11:03,154,Sam Japhet-Mathias Block.,12,16
11:03,154,Brandon Childress Defensive Rebound.,12,16
10:57,154,Brandon Childress made Layup.,12,18
10:44,99,Craig Victor II Turnover.,12,18
10:26,154,Brandon Childress missed Layup.,12,18
10:26,99,Antonio Blakeney Defensive Rebound.,12,18
10:14,99,Antonio Blakeney made Layup.,14,18
9:47,99,Foul on Skylar Mays.,14,18
9:47,154,Keyshawn Woods made Free Throw.,14,19
9:47,154,Keyshawn Woods made Free Throw.,14,20
9:47,154,Keyshawn Woods missed Free Throw.,14,20
9:47,99,Wayde Sims Defensive Rebound.,14,20
9:36,99,Antonio Blakeney made Jumper.,16,20
9:24,154,Konstantinos Mitoglou made Jumper. Assisted by Keyshawn Woods.,16,22
9:10,99,Antonio Blakeney made Three Point Jumper.,19,22
8:54,154,John Collins made Dunk. Assisted by Bryant Crawford.,19,24
8:38,99,Wayde Sims missed Jumper.,19,24
8:38,99,Wayde Sims Offensive Rebound.,19,24
8:17,99,Antonio Blakeney missed Jumper.,19,24
8:17,99,Antonio Blakeney Offensive Rebound.,19,24
8:07,99,Antonio Blakeney missed Three Point Jumper.,19,24
8:07,154,Keyshawn Woods Defensive Rebound.,19,24
7:50,154,John Collins made Dunk. Assisted by Keyshawn Woods.,19,26
7:36,99,Kieran Hayward missed Three Point Jumper.,19,26
7:36,154,John Collins Defensive Rebound.,19,26
7:28,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Bryant Crawford.,19,29
7:21,99,LSU  Timeout,19,29
7:09,99,Brandon Sampson Turnover.,19,29
6:59,154,John Collins missed Jumper.,19,29
6:59,99,Jalyn Patterson Defensive Rebound.,19,29
6:48,99,Craig Victor II made Jumper.,21,29
6:32,154,Austin Arians missed Three Point Jumper.,21,29
6:32,154,Keyshawn Woods Offensive Rebound.,21,29
6:27,99,Foul on Wayde Sims.,21,29
6:27,154,John Collins missed Free Throw.,21,29
6:27,99,Craig Victor II Defensive Rebound.,21,29
6:27,99,Jalyn Patterson made Three Point Jumper. Assisted by Kieran Hayward.,24,29
6:18,154,Keyshawn Woods missed Three Point Jumper.,24,29
6:18,154,John Collins Offensive Rebound.,24,29
6:04,154,John Collins Turnover.,24,29
6:04,99,Jalyn Patterson Steal.,24,29
5:50,154,Foul on John Collins.,24,29
5:42,99,Wayde Sims missed Layup.,24,29
5:30,99,Brandon Sampson Offensive Rebound.,24,29
5:26,99,Brandon Sampson made Dunk.,26,29
5:10,154,Bryant Crawford made Jumper.,26,31
5:03,99,Craig Victor II made Jumper. Assisted by Jalyn Patterson.,28,31
4:55,154,Bryant Crawford missed Jumper.,28,31
4:55,154,Doral Moore Offensive Rebound.,28,31
4:48,154,Doral Moore missed Layup.,28,31
4:48,154,Bryant Crawford Offensive Rebound.,28,31
4:41,99,Foul on Jalyn Patterson.,28,31
4:41,154,Doral Moore missed Free Throw.,28,31
4:41,154,Wake Forest Deadball Team Rebound.,28,31
4:41,154,Doral Moore missed Free Throw.,28,31
4:41,99,Jalyn Patterson Defensive Rebound.,28,31
4:41,154,Foul on Doral Moore.,28,31
4:41,99,Brian Bridgewater made Free Throw.,29,31
4:41,99,Brian Bridgewater made Free Throw.,30,31
4:20,154,Brandon Childress Turnover.,30,31
4:20,99,Brandon Sampson Steal.,30,31
4:14,99,Foul on Brandon Sampson.,30,31
4:14,99,Brandon Sampson Turnover.,30,31
4:00,154,Konstantinos Mitoglou made Layup. Assisted by Keyshawn Woods.,30,33
3:44,99,Brian Bridgewater missed Layup.,30,33
3:44,154,Doral Moore Block.,30,33
3:44,154,Doral Moore Defensive Rebound.,30,33
3:24,154,Konstantinos Mitoglou made Three Point Jumper. Assisted by Bryant Crawford.,30,36
3:03,99,Antonio Blakeney missed Three Point Jumper.,30,36
3:03,154,Wake Forest Defensive Rebound.,30,36
2:58,154,Official TV Timeout,30,36
2:42,154,Doral Moore missed Jumper.,30,36
2:42,154,Bryant Crawford Offensive Rebound.,30,36
2:36,154,Bryant Crawford made Jumper.,30,38
2:26,99,Antonio Blakeney missed Three Point Jumper.,30,38
2:26,154,Bryant Crawford Defensive Rebound.,30,38
2:18,154,Mitchell Wilbekin missed Three Point Jumper.,30,38
2:18,99,Brandon Sampson Defensive Rebound.,30,38
2:05,99,Craig Victor II missed Jumper.,30,38
2:05,154,Keyshawn Woods Defensive Rebound.,30,38
1:56,154,Bryant Crawford made Layup.,30,40
1:29,99,Jalyn Patterson made Three Point Jumper. Assisted by Antonio Blakeney.,33,40
1:07,154,Konstantinos Mitoglou made Three Point Jumper. Assisted by Bryant Crawford.,33,43
0:46,154,Foul on Konstantinos Mitoglou.,33,43
0:46,99,Brandon Sampson made Free Throw.,34,43
0:46,99,Brandon Sampson made Free Throw.,35,43
0:28,154,Bryant Crawford Turnover.,35,43
0:28,99,Craig Victor II Steal.,35,43
0:25,99,Antonio Blakeney made Layup.,37,43
0:25,154,Foul on Keyshawn Woods.,37,43
0:25,99,Antonio Blakeney made Free Throw.,38,43
0:25,154,Wake Forest  Timeout,38,43
0:09,154,Konstantinos Mitoglou missed Three Point Jumper.,38,43
0:09,99,Brandon Sampson Defensive Rebound.,38,43
0:00,154,End of 1st half,38,43
20:00,154,Jump Ball won by Wake Forest,38,43
19:53,154,John Collins made Layup.,38,45
19:36,99,Craig Victor II missed Jumper.,38,45
19:36,154,John Collins Defensive Rebound.,38,45
19:11,154,Bryant Crawford made Three Point Jumper. Assisted by John Collins.,38,48
18:52,99,Brandon Sampson missed Three Point Jumper.,38,48
18:52,154,Konstantinos Mitoglou Defensive Rebound.,38,48
18:40,154,Austin Arians missed Jumper.,38,48
18:40,154,John Collins Offensive Rebound.,38,48
18:40,154,John Collins made Two Point Tip Shot.,38,50
18:32,99,Skylar Mays Turnover.,38,50
18:26,154,Keyshawn Woods made Jumper.,38,52
18:16,154,Foul on John Collins.,38,52
18:16,99,Duop Reath missed Free Throw.,38,52
18:16,99,LSU Deadball Team Rebound.,38,52
18:16,99,Duop Reath made Free Throw.,39,52
18:04,154,Konstantinos Mitoglou made Three Point Jumper. Assisted by Keyshawn Woods.,39,55
17:50,99,Duop Reath made Layup.,41,55
17:50,154,Foul on Bryant Crawford.,41,55
17:50,99,Duop Reath made Free Throw.,42,55
17:39,154,Austin Arians made Three Point Jumper.,42,58
17:29,99,Antonio Blakeney made Jumper.,44,58
17:23,154,Bryant Crawford missed Jumper.,44,58
17:23,99,Antonio Blakeney Defensive Rebound.,44,58
17:17,99,Foul on Antonio Blakeney.,44,58
17:17,99,Antonio Blakeney Turnover.,44,58
16:39,154,Keyshawn Woods made Jumper.,44,60
16:27,99,Craig Victor II missed Layup.,44,60
16:27,154,Doral Moore Block.,44,60
16:27,99,LSU Offensive Rebound.,44,60
16:14,99,Antonio Blakeney made Jumper.,46,60
16:14,154,Foul on Doral Moore.,46,60
16:14,99,Antonio Blakeney missed Free Throw.,46,60
16:14,154,Keyshawn Woods Defensive Rebound.,46,60
16:00,154,Foul on Konstantinos Mitoglou.,46,60
16:00,154,Konstantinos Mitoglou Turnover.,46,60
15:59,154,Official TV Timeout,46,60
15:36,99,Craig Victor II missed Layup.,46,60
15:36,154,Doral Moore Defensive Rebound.,46,60
15:24,154,Keyshawn Woods made Jumper.,46,62
15:14,99,Antonio Blakeney Turnover.,46,62
15:03,154,Konstantinos Mitoglou made Three Point Jumper. Assisted by Brandon Childress.,46,65
14:50,99,Duop Reath missed Jumper.,46,65
14:50,154,Doral Moore Block.,46,65
14:50,154,Bryant Crawford Defensive Rebound.,46,65
14:46,154,Bryant Crawford Turnover.,46,65
14:46,99,Skylar Mays Steal.,46,65
14:41,99,Skylar Mays missed Jumper.,46,65
14:41,154,Doral Moore Block.,46,65
14:41,99,Craig Victor II Offensive Rebound.,46,65
14:40,99,Craig Victor II missed Layup.,46,65
14:40,154,Bryant Crawford Defensive Rebound.,46,65
14:29,154,Brandon Childress made Layup. Assisted by Bryant Crawford.,46,67
14:29,99,Skylar Mays Turnover.,46,67
14:29,154,Bryant Crawford Steal.,46,67
14:20,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Bryant Crawford.,46,70
13:47,154,Foul on Sam Japhet-Mathias.,46,70
13:39,154,Foul on Sam Japhet-Mathias.,46,70
13:36,99,Duop Reath missed Jumper.,46,70
13:36,154,Sam Japhet-Mathias Defensive Rebound.,46,70
13:21,154,Konstantinos Mitoglou made Three Point Jumper. Assisted by Brandon Childress.,46,73
13:05,99,Duop Reath missed Jumper.,46,73
13:05,99,LSU Offensive Rebound.,46,73
12:52,154,Foul on Greg McClinton.,46,73
12:52,99,Antonio Blakeney made Free Throw.,47,73
12:52,99,Antonio Blakeney made Free Throw.,48,73
12:35,154,Bryant Crawford made Three Point Jumper.,48,76
12:14,154,Foul on Bryant Crawford.,48,76
12:14,99,Antonio Blakeney made Free Throw.,49,76
12:14,99,Antonio Blakeney missed Free Throw.,49,76
12:14,154,Sam Japhet-Mathias Defensive Rebound.,49,76
11:56,99,Foul on Elbert Robinson III.,49,76
11:56,154,Official TV Timeout,49,76
11:56,154,Mitchell Wilbekin missed Free Throw.,49,76
11:56,154,Wake Forest Deadball Team Rebound.,49,76
11:56,154,Mitchell Wilbekin made Free Throw.,49,77
11:43,99,Elbert Robinson III Turnover.,49,77
11:29,154,Brandon Childress missed Jumper.,49,77
11:29,99,Elbert Robinson III Block.,49,77
11:29,154,Wake Forest Offensive Rebound.,49,77
11:18,154,Brandon Childress missed Three Point Jumper.,49,77
11:18,154,John Collins Offensive Rebound.,49,77
11:13,99,Foul on Elbert Robinson III.,49,77
11:13,154,John Collins made Free Throw.,49,78
11:13,154,Konstantinos Mitoglou Turnover.,49,78
11:06,99,Duop Reath made Jumper.,51,78
10:52,154,Mitchell Wilbekin missed Jumper.,51,78
10:52,99,Jalyn Patterson Defensive Rebound.,51,78
10:31,154,Foul on John Collins.,51,78
10:31,99,Antonio Blakeney made Free Throw.,52,78
10:31,99,Antonio Blakeney made Free Throw.,53,78
10:20,154,Austin Arians made Three Point Jumper. Assisted by Bryant Crawford.,53,81
10:12,99,Antonio Blakeney Turnover.,53,81
10:12,154,Bryant Crawford Steal.,53,81
10:08,154,Keyshawn Woods made Layup. Assisted by Bryant Crawford.,53,83
9:44,154,Foul on Konstantinos Mitoglou.,53,83
9:44,99,Duop Reath made Free Throw.,54,83
9:44,99,Duop Reath missed Free Throw.,54,83
9:44,154,Wake Forest Defensive Rebound.,54,83
9:27,154,Austin Arians made Layup. Assisted by Bryant Crawford.,54,85
9:16,99,Jalyn Patterson Turnover.,54,85
9:16,154,Austin Arians Steal.,54,85
9:14,154,Austin Arians Turnover.,54,85
9:14,99,Antonio Blakeney Steal.,54,85
9:10,99,Antonio Blakeney Turnover.,54,85
9:10,99,Foul on Antonio Blakeney.,54,85
9:03,154,Bryant Crawford missed Layup.,54,85
9:03,99,Duop Reath Block.,54,85
9:03,99,Skylar Mays Defensive Rebound.,54,85
8:57,99,Duop Reath made Layup.,56,85
8:57,154,Foul on Mitchell Wilbekin.,56,85
8:57,99,Duop Reath made Free Throw.,57,85
8:42,154,Konstantinos Mitoglou missed Three Point Jumper.,57,85
8:42,99,Wayde Sims Defensive Rebound.,57,85
8:36,99,Jalyn Patterson Turnover.,57,85
8:11,154,Austin Arians missed Three Point Jumper.,57,85
8:11,99,Jalyn Patterson Defensive Rebound.,57,85
8:04,99,Brandon Sampson made Jumper.,59,85
8:04,154,Foul on Austin Arians.,59,85
8:04,99,Brandon Sampson missed Free Throw.,59,85
8:04,154,Konstantinos Mitoglou Defensive Rebound.,59,85
7:35,154,Konstantinos Mitoglou made Three Point Jumper. Assisted by Brandon Childress.,59,88
7:23,154,Foul on Bryant Crawford.,59,88
7:23,154,Official TV Timeout,59,88
7:23,99,Skylar Mays made Free Throw.,60,88
7:23,99,Skylar Mays made Free Throw.,61,88
6:59,154,Keyshawn Woods Turnover.,61,88
6:59,99,Skylar Mays Steal.,61,88
6:58,99,Brandon Sampson missed Layup.,61,88
6:58,99,Craig Victor II Offensive Rebound.,61,88
6:53,154,Foul on Austin Arians.,61,88
6:53,99,Craig Victor II missed Free Throw.,61,88
6:53,99,LSU Deadball Team Rebound.,61,88
6:53,99,Craig Victor II made Free Throw.,62,88
6:37,154,Brandon Childress Turnover.,62,88
6:37,99,Wayde Sims Steal.,62,88
6:29,99,Jalyn Patterson missed Three Point Jumper.,62,88
6:29,154,Keyshawn Woods Defensive Rebound.,62,88
6:09,154,Austin Arians made Layup.,62,90
5:54,99,Wayde Sims made Three Point Jumper. Assisted by Jalyn Patterson.,65,90
5:26,99,Foul on Wayde Sims.,65,90
5:26,154,Austin Arians made Free Throw.,65,91
5:26,154,Austin Arians made Free Throw.,65,92
5:13,99,Wayde Sims made Layup. Assisted by Skylar Mays.,67,92
4:48,154,John Collins made Layup. Assisted by Keyshawn Woods.,67,94
4:27,99,Craig Victor II made Jumper.,69,94
3:58,154,Austin Arians made Three Point Jumper. Assisted by Keyshawn Woods.,69,97
3:45,99,Antonio Blakeney made Jumper.,71,97
3:45,154,Foul on Keyshawn Woods.,71,97
3:44,154,Official TV Timeout,71,97
3:43,99,Antonio Blakeney missed Free Throw.,71,97
3:42,154,Wake Forest Defensive Rebound.,71,97
3:22,99,Foul on Duop Reath.,71,97
3:22,154,John Collins made Free Throw.,71,98
3:22,154,John Collins made Free Throw.,71,99
3:18,99,LSU  Timeout,71,99
3:04,99,Skylar Mays missed Three Point Jumper.,71,99
3:04,99,Duop Reath Offensive Rebound.,71,99
2:59,154,Foul on Bryant Crawford.,71,99
2:59,99,Duop Reath missed Free Throw.,71,99
2:59,99,LSU Deadball Team Rebound.,71,99
2:59,99,Duop Reath missed Free Throw.,71,99
2:59,154,Mitchell Wilbekin Defensive Rebound.,71,99
2:44,154,Sam Japhet-Mathias Turnover.,71,99
2:28,99,Duop Reath Turnover.,71,99
2:28,154,Bryant Crawford Steal.,71,99
2:24,154,Bryant Crawford made Layup.,71,101
2:10,99,Duop Reath missed Jumper.,71,101
2:10,154,Konstantinos Mitoglou Defensive Rebound.,71,101
1:41,154,Mitchell Wilbekin made Three Point Jumper.,71,104
1:23,99,Antonio Blakeney missed Three Point Jumper.,71,104
1:23,154,Konstantinos Mitoglou Defensive Rebound.,71,104
1:14,154,Wake Forest  Timeout,71,104
1:00,154,Keyshawn Woods made Jumper.,71,106
0:50,99,Craig Victor II made Layup.,73,106
0:48,154,Wake Forest  Timeout,73,106
0:45,154,Anthony Bilas missed Jumper.,73,106
0:45,154,Troy Rike Offensive Rebound.,73,106
0:41,154,Troy Rike made Layup.,73,108
0:41,99,Foul on Antonio Blakeney.,73,108
0:41,154,Troy Rike missed Free Throw.,73,108
0:41,99,Marshall Graves Defensive Rebound.,73,108
0:41,154,Foul on Sam Japhet-Mathias.,73,108
0:41,99,Craig Victor II made Free Throw.,74,108
0:41,99,Craig Victor II missed Free Throw.,74,108
0:41,154,Aaron Spivey Defensive Rebound.,74,108
0:34,154,Trent VanHorn Turnover.,74,108
0:34,99,Craig Victor II Steal.,74,108
0:31,154,Foul on Troy Rike.,74,108
0:31,99,Skylar Mays made Free Throw.,75,108
0:31,99,Skylar Mays made Free Throw.,76,108
0:24,154,Trent VanHorn made Layup.,76,110
0:13,99,Duop Reath missed Jumper.,76,110
0:13,99,Craig Victor II Offensive Rebound.,76,110
0:12,154,Foul on Sam Japhet-Mathias.,76,110
0:12,99,Craig Victor II missed Free Throw.,76,110
0:12,99,LSU Deadball Team Rebound.,76,110
0:12,99,Duop Reath Turnover.,76,110
0:00,154,End of Game,76,110
