Delaware,58,South Florida,48
13:38,58,Tulio Da Silva made Free Throw.,10,18
13:38,58,Tulio Da Silva made Free Throw.,10,19
13:20,48,Cazmon Hayes missed Layup.,10,19
13:20,58,Ruben Guerrero Block.,10,19
13:19,48,Delaware Offensive Rebound.,10,19
13:15,48,Devonne Pinkard made Three Point Jumper. Assisted by Cazmon Hayes.,13,19
12:57,58,Michael Bibby Turnover.,13,19
12:32,48,Darian Bryant missed Jumper.,13,19
12:32,58,Ruben Guerrero Defensive Rebound.,13,19
12:25,58,Jake Bodway made Three Point Jumper. Assisted by Michael Bibby.,13,22
12:07,48,Ryan Daly missed Layup.,13,22
12:07,48,Ryan Daly Offensive Rebound.,13,22
12:07,58,Foul on Michael Bibby.,13,22
12:07,48,Ryan Daly made Free Throw.,14,22
12:07,48,Ryan Daly made Free Throw.,15,22
11:57,48,Foul on Anthony Mosley.,15,22
11:57,58,Official TV Timeout,15,22
11:57,58,Jake Bodway made Free Throw.,15,23
11:57,58,Jake Bodway made Free Throw.,15,24
11:46,48,Anthony Mosley Turnover.,15,24
11:34,58,Malik Fitts Turnover.,15,24
11:23,48,Ryan Daly missed Three Point Jumper.,15,24
11:23,58,Malik Fitts Defensive Rebound.,15,24
11:13,58,Geno Thorpe made Layup.,15,26
11:00,48,Devonne Pinkard missed Jumper.,15,26
11:00,58,Malik Fitts Defensive Rebound.,15,26
10:42,58,Tulio Da Silva missed Jumper.,15,26
10:42,58,Malik Fitts Offensive Rebound.,15,26
10:34,58,Foul on Tulio Da Silva.,15,26
10:34,58,Tulio Da Silva Turnover.,15,26
10:15,48,Anthony Mosley missed Layup.,15,26
10:15,58,Tulio Da Silva Block.,15,26
10:14,58,Ruben Guerrero Defensive Rebound.,15,26
10:09,58,Tulio Da Silva made Layup. Assisted by Geno Thorpe.,15,28
9:52,48,Chivarsky Corbett made Three Point Jumper. Assisted by Barnett Harris.,18,28
9:32,58,Geno Thorpe Turnover.,18,28
9:32,48,Barnett Harris Steal.,18,28
9:32,58,Foul on Geno Thorpe.,18,28
9:24,48,Barnett Harris Turnover.,18,28
9:09,58,Ruben Guerrero made Layup.,18,30
8:47,48,Anthony Mosley missed Layup.,18,30
8:47,58,Ruben Guerrero Defensive Rebound.,18,30
8:32,58,Tulio Da Silva missed Jumper.,18,30
8:32,48,Cazmon Hayes Defensive Rebound.,18,30
8:24,48,Chivarsky Corbett made Three Point Jumper. Assisted by Cazmon Hayes.,21,30
8:23,58,South Florida  Timeout,21,30
8:23,58,Official TV Timeout,21,30
8:07,58,Bo Zeigler missed Layup.,21,30
8:07,48,Chivarsky Corbett Defensive Rebound.,21,30
7:53,58,Foul on Jake Bodway.,21,30
7:35,48,Eric Carter missed Jumper.,21,30
7:35,48,Ryan Daly Offensive Rebound.,21,30
7:33,48,Ryan Daly missed Layup.,21,30
7:33,58,Malik Fitts Block.,21,30
7:31,58,Michael Bibby Defensive Rebound.,21,30
7:12,58,Bo Zeigler missed Layup.,21,30
7:12,48,Ryan Daly Defensive Rebound.,21,30
6:45,48,Eric Carter missed Layup.,21,30
6:45,58,Luis Santos Defensive Rebound.,21,30
6:33,58,Malik Fitts made Layup.,21,32
6:17,58,Foul on Bo Zeigler.,21,32
6:17,48,Ryan Daly missed Free Throw.,21,32
6:17,48,Delaware Deadball Team Rebound.,21,32
6:17,48,Ryan Daly made Free Throw.,22,32
6:08,58,Jake Bodway made Jumper.,22,34
5:56,48,Darian Bryant missed Three Point Jumper.,22,34
5:56,58,Malik Fitts Defensive Rebound.,22,34
5:36,48,Foul on Devonne Pinkard.,22,34
5:36,58,Tulio Da Silva missed Free Throw.,22,34
5:36,48,Delaware Defensive Rebound.,22,34
5:36,58,Foul on Luis Santos.,22,34
5:36,48,Skye Johnson missed Free Throw.,22,34
5:36,58,Tulio Da Silva Defensive Rebound.,22,34
5:22,58,Michael Bibby missed Three Point Jumper.,22,34
5:22,58,Malik Fitts Offensive Rebound.,22,34
4:54,48,Foul on Skye Johnson.,22,34
4:54,58,Luis Santos made Free Throw.,22,35
4:54,58,Luis Santos made Free Throw.,22,36
4:35,48,Chivarsky Corbett made Jumper.,24,36
4:10,58,Tulio Da Silva made Jumper. Assisted by Malik Fitts.,24,38
3:50,48,Chivarsky Corbett missed Three Point Jumper.,24,38
3:50,58,Luis Santos Defensive Rebound.,24,38
3:38,58,Michael Bibby Turnover.,24,38
3:37,48,Chivarsky Corbett Steal.,24,38
3:32,48,Cazmon Hayes missed Three Point Jumper.,24,38
3:32,48,Ryan Daly Offensive Rebound.,24,38
3:26,48,Ryan Daly missed Layup.,24,38
3:26,58,Tulio Da Silva Block.,24,38
3:24,48,Chivarsky Corbett Offensive Rebound.,24,38
3:22,48,Chivarsky Corbett missed Layup.,24,38
3:22,58,South Florida Defensive Rebound.,24,38
3:22,58,Official TV Timeout,24,38
3:08,58,Bo Zeigler made Layup.,24,40
2:47,48,Cazmon Hayes missed Layup.,24,40
2:47,58,Jake Bodway Block.,24,40
2:47,48,Delaware Offensive Rebound.,24,40
2:35,48,Cazmon Hayes missed Jumper.,24,40
2:35,58,Michael Bibby Defensive Rebound.,24,40
2:07,48,Foul on Ryan Daly.,24,40
2:07,58,Tulio Da Silva made Free Throw.,24,41
2:07,58,Tulio Da Silva missed Free Throw.,24,41
2:07,48,Chivarsky Corbett Defensive Rebound.,24,41
1:47,48,Anthony Mosley made Jumper. Assisted by Ryan Daly.,26,41
1:26,58,Luis Santos made Jumper.,26,43
1:07,48,Anthony Mosley missed Jumper.,26,43
1:07,58,Michael Bibby Block.,26,43
1:06,48,Delaware Offensive Rebound.,26,43
1:04,48,Chivarsky Corbett missed Three Point Jumper.,26,43
1:04,58,Luis Santos Defensive Rebound.,26,43
0:49,58,Tulio Da Silva missed Jumper.,26,43
0:47,58,South Florida Offensive Rebound.,26,43
0:47,48,Foul on Eric Carter.,26,43
0:44,58,Luis Santos missed Layup.,26,43
0:44,48,Barnett Harris Block.,26,43
0:42,48,Barnett Harris Defensive Rebound.,26,43
0:24,58,Foul on Malik Fitts.,26,43
0:24,48,Chivarsky Corbett made Free Throw.,27,43
0:24,48,Chivarsky Corbett made Free Throw.,28,43
0:05,58,Michael Bibby Turnover.,28,43
0:04,48,Barnett Harris Steal.,28,43
0:01,48,Chivarsky Corbett missed Three Point Jumper.,28,43
0:01,58,Luis Santos Defensive Rebound.,28,43
0:00,58,End of 1st half,28,43
19:42,58,Michael Bibby missed Three Point Jumper.,28,43
19:42,48,Anthony Mosley Defensive Rebound.,28,43
19:12,48,Cazmon Hayes Turnover.,28,43
19:12,58,Malik Fitts Steal.,28,43
18:58,58,Luis Santos missed Layup.,28,43
18:58,48,Devonne Pinkard Defensive Rebound.,28,43
18:51,48,Chivarsky Corbett missed Three Point Jumper.,28,43
18:51,58,Malik Fitts Defensive Rebound.,28,43
18:44,48,Foul on Anthony Mosley.,28,43
18:29,58,Bo Zeigler missed Layup.,28,43
18:29,58,Bo Zeigler Offensive Rebound.,28,43
18:26,58,Bo Zeigler missed Layup.,28,43
18:26,58,Bo Zeigler Offensive Rebound.,28,43
18:24,58,Bo Zeigler made Layup.,28,45
18:13,58,Foul on Bo Zeigler.,28,45
18:13,48,Eric Carter missed Free Throw.,28,45
18:13,48,Delaware Deadball Team Rebound.,28,45
18:13,48,Eric Carter made Free Throw.,29,45
17:42,58,Geno Thorpe made Three Point Jumper. Assisted by Michael Bibby.,29,48
17:33,48,Cazmon Hayes made Layup.,31,48
17:18,58,Malik Fitts made Three Point Jumper. Assisted by Bo Zeigler.,31,51
17:05,48,Anthony Mosley missed Layup.,31,51
17:05,58,Luis Santos Defensive Rebound.,31,51
16:57,58,Michael Bibby missed Three Point Jumper.,31,51
16:53,48,Delaware Defensive Rebound.,31,51
16:34,48,Chivarsky Corbett made Layup. Assisted by Eric Carter.,33,51
16:25,58,Malik Fitts made Dunk.,33,53
16:11,48,Devonne Pinkard missed Three Point Jumper.,33,53
16:11,58,Luis Santos Defensive Rebound.,33,53
15:41,58,Geno Thorpe missed Jumper.,33,53
15:41,48,Darian Bryant Defensive Rebound.,33,53
15:24,48,Darian Bryant missed Jumper.,33,53
15:24,58,Tulio Da Silva Defensive Rebound.,33,53
15:16,58,Geno Thorpe missed Layup.,33,53
15:16,58,Tulio Da Silva Offensive Rebound.,33,53
15:14,48,Foul on Chivarsky Corbett.,33,53
15:14,58,Official TV Timeout,33,53
15:14,58,Tulio Da Silva made Free Throw.,33,54
15:14,58,Tulio Da Silva missed Free Throw.,33,54
15:14,48,Jacob Cushing Defensive Rebound.,33,54
14:54,48,Ryan Daly made Three Point Jumper. Assisted by Skye Johnson.,36,54
14:25,58,Malik Fitts missed Three Point Jumper.,36,54
14:25,48,Darian Bryant Defensive Rebound.,36,54
14:14,58,Foul on Michael Bibby.,36,54
14:14,48,Ryan Daly made Free Throw.,37,54
14:14,48,Ryan Daly made Free Throw.,38,54
13:56,58,Michael Bibby missed Three Point Jumper.,38,54
13:56,48,Jacob Cushing Defensive Rebound.,38,54
13:38,48,Foul on Skye Johnson.,38,54
13:38,48,Skye Johnson Turnover.,38,54
13:28,58,Foul on Ruben Guerrero.,38,54
13:28,58,Ruben Guerrero Turnover.,38,54
13:10,48,Devonne Pinkard missed Three Point Jumper.,38,54
13:10,48,Jacob Cushing Offensive Rebound.,38,54
13:02,48,Devonne Pinkard missed Three Point Jumper.,38,54
13:02,58,Malik Fitts Defensive Rebound.,38,54
12:43,48,Foul on Jacob Cushing.,38,54
12:43,58,Malik Fitts missed Free Throw.,38,54
12:43,58,South Florida Deadball Team Rebound.,38,54
12:43,58,Malik Fitts missed Free Throw.,38,54
12:43,48,Devonne Pinkard Defensive Rebound.,38,54
12:28,48,Chivarsky Corbett Turnover.,38,54
12:28,58,Geno Thorpe Steal.,38,54
12:27,48,Foul on Darian Bryant.,38,54
12:27,58,Geno Thorpe made Free Throw.,38,55
12:27,58,Geno Thorpe made Free Throw.,38,56
12:07,48,Ryan Daly made Layup. Assisted by Barnett Harris.,40,56
11:50,48,Foul on Darian Bryant.,40,56
11:50,58,Official TV Timeout,40,56
11:38,58,Geno Thorpe missed Layup.,40,56
11:38,48,Anthony Mosley Block.,40,56
11:37,58,Jake Bodway Offensive Rebound.,40,56
11:30,58,Ruben Guerrero Turnover.,40,56
11:29,48,Barnett Harris Steal.,40,56
11:25,48,Ryan Daly missed Layup.,40,56
11:25,58,Ruben Guerrero Defensive Rebound.,40,56
11:07,48,Foul on Barnett Harris.,40,56
11:07,58,Geno Thorpe made Free Throw.,40,57
11:07,58,Geno Thorpe made Free Throw.,40,58
10:57,48,Darian Bryant missed Layup.,40,58
10:57,58,Ruben Guerrero Block.,40,58
10:56,58,Ruben Guerrero Defensive Rebound.,40,58
10:52,58,Tulio Da Silva missed Layup.,40,58
10:52,58,Tulio Da Silva Offensive Rebound.,40,58
10:48,58,Tulio Da Silva made Layup.,40,60
10:37,48,Chivarsky Corbett missed Three Point Jumper.,40,60
10:37,58,South Florida Defensive Rebound.,40,60
10:08,48,Foul on Chivarsky Corbett.,40,60
10:08,58,Ruben Guerrero missed Free Throw.,40,60
10:08,58,South Florida Deadball Team Rebound.,40,60
10:08,58,Ruben Guerrero made Free Throw.,40,61
9:52,48,Cazmon Hayes missed Jumper.,40,61
9:52,58,South Florida Defensive Rebound.,40,61
9:52,48,Foul on Eric Carter.,40,61
9:52,58,Ruben Guerrero made Free Throw.,40,62
9:52,58,Ruben Guerrero missed Free Throw.,40,62
9:52,48,Cazmon Hayes Defensive Rebound.,40,62
9:39,48,Cazmon Hayes missed Layup.,40,62
9:39,58,Ruben Guerrero Block.,40,62
9:38,48,Delaware Offensive Rebound.,40,62
9:37,48,Devonne Pinkard missed Three Point Jumper.,40,62
9:37,58,Tulio Da Silva Defensive Rebound.,40,62
9:07,48,Foul on Cazmon Hayes.,40,62
9:07,58,Geno Thorpe made Free Throw.,40,63
9:07,58,Geno Thorpe made Free Throw.,40,64
8:48,48,Devonne Pinkard Turnover.,40,64
8:25,58,Tulio Da Silva Turnover.,40,64
8:25,48,Anthony Mosley Steal.,40,64
8:12,48,Cazmon Hayes missed Jumper.,40,64
8:12,58,Tulio Da Silva Defensive Rebound.,40,64
8:01,58,Tulio Da Silva made Layup. Assisted by Bo Zeigler.,40,66
7:54,48,Delaware  Timeout,40,66
7:33,48,Skye Johnson made Layup. Assisted by Chivarsky Corbett.,42,66
7:17,58,Tulio Da Silva missed Layup.,42,66
7:17,48,Chivarsky Corbett Defensive Rebound.,42,66
6:56,48,Jacob Cushing missed Three Point Jumper.,42,66
6:56,48,Ryan Daly Offensive Rebound.,42,66
6:40,48,Ryan Daly missed Jumper.,42,66
6:40,58,Tulio Da Silva Defensive Rebound.,42,66
6:34,58,Tulio Da Silva Turnover.,42,66
6:32,48,Ryan Daly Steal.,42,66
6:29,48,Chivarsky Corbett made Three Point Jumper. Assisted by Ryan Daly.,45,66
6:27,58,South Florida  Timeout,45,66
6:27,58,Official TV Timeout,45,66
6:19,58,Bo Zeigler made Dunk. Assisted by Michael Bibby.,45,68
5:50,48,Ryan Daly missed Three Point Jumper.,45,68
5:50,58,South Florida Defensive Rebound.,45,68
5:31,58,Geno Thorpe missed Three Point Jumper.,45,68
5:31,48,Chivarsky Corbett Defensive Rebound.,45,68
5:15,48,Darian Bryant Turnover.,45,68
5:03,58,Bo Zeigler made Dunk. Assisted by Geno Thorpe.,45,70
4:47,48,Jacob Cushing Turnover.,45,70
4:44,48,Foul on Jacob Cushing.,45,70
4:44,58,Geno Thorpe made Free Throw.,45,71
4:44,58,Geno Thorpe made Free Throw.,45,72
4:35,48,Chivarsky Corbett missed Three Point Jumper.,45,72
4:35,48,Skye Johnson Offensive Rebound.,45,72
4:30,48,Skye Johnson made Layup.,47,72
4:18,48,Foul on Skye Johnson.,47,72
4:18,58,Tulio Da Silva made Free Throw.,47,73
4:18,58,Tulio Da Silva missed Free Throw.,47,73
4:18,48,Curtis McRoy Defensive Rebound.,47,73
3:52,48,Devonne Pinkard made Three Point Jumper.,50,73
3:34,58,Geno Thorpe made Three Point Jumper. Assisted by Tulio Da Silva.,50,76
3:21,48,Ryan Daly missed Three Point Jumper.,50,76
3:21,48,Delaware Offensive Rebound.,50,76
3:18,58,Official TV Timeout,50,76
3:10,48,Chivarsky Corbett missed Three Point Jumper.,50,76
3:10,58,Malik Fitts Defensive Rebound.,50,76
2:38,58,Malik Fitts missed Jumper.,50,76
2:38,58,Tulio Da Silva Offensive Rebound.,50,76
2:34,48,Foul on Devonne Pinkard.,50,76
2:34,58,Tulio Da Silva made Free Throw.,50,77
2:34,58,Tulio Da Silva missed Free Throw.,50,77
2:34,48,Delaware Defensive Rebound.,50,77
2:33,58,Foul on Malik Fitts.,50,77
2:16,48,Ryan Daly missed Three Point Jumper.,50,77
2:16,48,Delaware Offensive Rebound.,50,77
2:14,58,Foul on Isaiah Manderson.,50,77
2:12,48,Curtis Lochner missed Three Point Jumper.,50,77
2:12,58,Michael Bibby Defensive Rebound.,50,77
2:05,48,Foul on Chivarsky Corbett.,50,77
2:05,58,Tulio Da Silva made Free Throw.,50,78
2:05,58,Tulio Da Silva made Free Throw.,50,79
1:55,48,Jacob Cushing made Jumper. Assisted by Curtis Lochner.,52,79
1:30,58,Yito Alvarado missed Jumper.,52,79
1:30,48,Curtis McRoy Defensive Rebound.,52,79
1:15,58,Foul on Yito Alvarado.,52,79
1:15,48,Ryan Daly made Free Throw.,53,79
1:15,48,Ryan Daly missed Free Throw.,53,79
1:15,58,Jake Bodway Defensive Rebound.,53,79
0:59,58,Jake Bodway missed Three Point Jumper.,53,79
0:59,48,Jacob Cushing Defensive Rebound.,53,79
0:50,48,Ryan Daly missed Layup.,53,79
0:50,58,Yito Alvarado Defensive Rebound.,53,79
0:30,58,Isaiah Manderson made Layup. Assisted by Henry Beard.,53,81
0:15,48,Jacob Cushing missed Three Point Jumper.,53,81
0:15,58,Isaiah Manderson Defensive Rebound.,53,81
0:00,58,End of Game,53,81
