Illinois State,62,Hawai'i,2287
10:59,62,Jack Purchase missed Jumper.,15,7
10:59,2287,Daouda Ndiaye Defensive Rebound.,15,7
10:36,2287,Daouda Ndiaye made Dunk. Assisted by Paris Lee.,17,7
10:30,62,Jack Purchase Turnover.,17,7
10:13,2287,Madison Williams missed Three Point Jumper.,17,7
10:13,2287,Phil Fayne Offensive Rebound.,17,7
10:07,2287,Phil Fayne made Layup.,19,7
9:44,2287,Foul on Phil Fayne.,19,7
9:35,62,Leland Green made Three Point Jumper. Assisted by Brocke Stepteau.,19,10
9:09,2287,Madison Williams made Jumper.,21,10
9:09,62,Foul on Leland Green.,21,10
9:09,2287,Madison Williams missed Free Throw.,21,10
9:09,62,Noah Allen Defensive Rebound.,21,10
9:04,62,Gibson Johnson made Layup. Assisted by Brocke Stepteau.,21,12
8:37,2287,Keyshawn Evans Turnover.,21,12
8:35,62,Noah Allen Steal.,21,12
8:34,62,Noah Allen made Dunk.,21,14
8:12,2287,Phil Fayne Turnover.,21,14
8:12,2287,Foul on Phil Fayne.,21,14
7:55,62,Gibson Johnson missed Jumper.,21,14
7:55,62,Noah Allen Offensive Rebound.,21,14
7:50,62,Noah Allen missed Jumper.,21,14
7:50,2287,DJ Clayton Defensive Rebound.,21,14
7:32,2287,Paris Lee made Three Point Jumper.,24,14
7:11,2287,Foul on Daouda Ndiaye.,24,14
7:11,62,Official TV Timeout,24,14
7:11,62,Gibson Johnson made Free Throw.,24,15
7:11,62,Gibson Johnson made Free Throw.,24,16
6:52,2287,MiKyle McIntosh missed Jumper.,24,16
6:52,62,Hawai'i Defensive Rebound.,24,16
6:29,2287,Foul on Deontae Hawkins.,24,16
6:29,62,Gibson Johnson made Free Throw.,24,17
6:29,62,Gibson Johnson missed Free Throw.,24,17
6:29,2287,Daouda Ndiaye Defensive Rebound.,24,17
6:11,2287,Paris Lee missed Three Point Jumper.,24,17
6:08,2287,Illinois St Deadball Team Rebound.,24,17
6:08,62,Foul on Gibson Johnson.,24,17
6:08,2287,Daouda Ndiaye made Free Throw.,25,17
6:08,2287,Daouda Ndiaye made Free Throw.,26,17
5:46,62,Jack Purchase missed Three Point Jumper.,26,17
5:46,2287,DJ Clayton Defensive Rebound.,26,17
5:22,2287,DJ Clayton missed Three Point Jumper.,26,17
5:22,2287,Daouda Ndiaye Offensive Rebound.,26,17
5:18,2287,Daouda Ndiaye missed Jumper.,26,17
5:18,62,Hawai'i Defensive Rebound.,26,17
5:04,62,Gibson Johnson missed Layup.,26,17
5:04,62,Hawai'i Deadball Team Rebound.,26,17
5:02,2287,Foul on Phil Fayne.,26,17
5:01,62,Jack Purchase missed Free Throw.,26,17
5:01,62,Hawai'i Deadball Team Rebound.,26,17
5:01,62,Jack Purchase made Free Throw.,26,18
4:45,2287,Daouda Ndiaye missed Jumper.,26,18
4:45,62,Brocke Stepteau Defensive Rebound.,26,18
4:35,62,Noah Allen made Three Point Jumper. Assisted by Jack Purchase.,26,21
4:21,62,Foul on Noah Allen.,26,21
4:21,2287,Paris Lee missed Free Throw.,26,21
4:21,2287,Illinois St Deadball Team Rebound.,26,21
4:21,2287,Paris Lee missed Free Throw.,26,21
4:21,62,Sheriff Drammeh Defensive Rebound.,26,21
4:04,62,Jack Purchase missed Three Point Jumper.,26,21
4:04,2287,Illinois St Deadball Team Rebound.,26,21
3:45,62,Foul on Brocke Stepteau.,26,21
3:45,62,Official TV Timeout,26,21
3:45,2287,Madison Williams made Free Throw.,27,21
3:45,2287,Madison Williams made Free Throw.,28,21
3:35,62,Sheriff Drammeh Turnover.,28,21
3:24,2287,Tony Wills missed Jumper.,28,21
3:24,2287,Daouda Ndiaye Offensive Rebound.,28,21
3:15,2287,DJ Clayton Turnover.,28,21
3:05,62,Brocke Stepteau missed Jumper.,28,21
3:05,2287,Daouda Ndiaye Block.,28,21
3:05,62,Hawai'i Offensive Rebound.,28,21
3:03,62,Gibson Johnson missed Three Point Jumper.,28,21
3:03,2287,Tony Wills Defensive Rebound.,28,21
2:36,2287,Madison Williams made Jumper.,30,21
2:16,62,Sheriff Drammeh Turnover.,30,21
2:16,2287,Madison Williams Steal.,30,21
2:16,62,Foul on Sheriff Drammeh.,30,21
2:15,2287,Madison Williams missed Free Throw.,30,21
2:15,2287,Illinois St Deadball Team Rebound.,30,21
2:15,2287,Madison Williams made Free Throw.,31,21
2:01,62,Jack Purchase missed Three Point Jumper.,31,21
2:01,2287,Paris Lee Defensive Rebound.,31,21
1:31,2287,DJ Clayton missed Jumper.,31,21
1:31,62,Noah Allen Defensive Rebound.,31,21
1:12,2287,Foul on Keyshawn Evans.,31,21
1:12,62,Brocke Stepteau made Free Throw.,31,22
1:12,62,Brocke Stepteau made Free Throw.,31,23
0:59,2287,Madison Williams missed Jumper.,31,23
0:59,62,Hawai'i Deadball Team Rebound.,31,23
0:56,2287,Foul on Andre Washington.,31,23
0:56,62,Gibson Johnson made Free Throw.,31,24
0:56,62,Gibson Johnson made Free Throw.,31,25
0:44,62,Foul on Jack Purchase.,31,25
0:44,2287,DJ Clayton made Free Throw.,32,25
0:44,2287,DJ Clayton made Free Throw.,33,25
0:29,62,Sheriff Drammeh missed Three Point Jumper.,33,25
0:29,62,Jack Purchase Offensive Rebound.,33,25
0:06,62,Gibson Johnson missed Layup.,33,25
0:05,2287,Keyshawn Evans Block.,33,25
0:04,62,Gibson Johnson Offensive Rebound.,33,25
0:02,62,Gibson Johnson missed Jumper.,33,25
0:02,62,Gibson Johnson Offensive Rebound.,33,25
0:00,62,Gibson Johnson missed Jumper.,33,25
0:00,2287,Daouda Ndiaye Block.,33,25
0:00,62,Hawai'i Deadball Team Rebound.,33,25
0:00,62,End of 1st half,33,25
19:53,2287,MiKyle McIntosh made Jumper.,35,25
19:37,62,Noah Allen made Three Point Jumper. Assisted by Gibson Johnson.,35,28
19:16,2287,Phil Fayne missed Jumper.,35,28
19:16,2287,Phil Fayne Offensive Rebound.,35,28
19:13,2287,Phil Fayne made Jumper.,37,28
19:00,62,Sheriff Drammeh missed Three Point Jumper.,37,28
19:00,2287,Illinois St Deadball Team Rebound.,37,28
18:57,62,Foul on Jack Purchase.,37,28
18:47,2287,Paris Lee made Jumper.,39,28
18:32,62,Noah Allen Turnover.,39,28
18:31,2287,Paris Lee Steal.,39,28
18:21,2287,MiKyle McIntosh made Jumper.,41,28
18:12,62,Hawai'i  Timeout,41,28
17:56,2287,Foul on DJ Clayton.,41,28
17:38,62,Noah Allen made Layup.,41,30
17:25,2287,Madison Williams missed Jumper.,41,30
17:25,62,Zigmars Raimo Block.,41,30
17:23,62,Hawai'i Defensive Rebound.,41,30
17:11,62,Gibson Johnson missed Jumper.,41,30
17:11,2287,Madison Williams Defensive Rebound.,41,30
17:04,62,Foul on Sheriff Drammeh.,41,30
17:00,2287,MiKyle McIntosh Turnover.,41,30
16:40,62,Noah Allen Turnover.,41,30
16:29,2287,MiKyle McIntosh missed Jumper.,41,30
16:29,2287,Deontae Hawkins Offensive Rebound.,41,30
16:20,2287,Tony Wills made Three Point Jumper. Assisted by Paris Lee.,44,30
16:04,62,Brocke Stepteau Turnover.,44,30
16:02,2287,Tony Wills Steal.,44,30
15:34,2287,Deontae Hawkins made Three Point Jumper. Assisted by Madison Williams.,47,30
15:10,62,Brocke Stepteau made Three Point Jumper. Assisted by Gibson Johnson.,47,33
14:47,2287,MiKyle McIntosh Turnover.,47,33
14:46,62,Official TV Timeout,47,33
14:34,2287,Foul on Madison Williams.,47,33
14:29,62,Sheriff Drammeh missed Three Point Jumper.,47,33
14:29,2287,Keyshawn Evans Defensive Rebound.,47,33
13:55,2287,Keyshawn Evans missed Three Point Jumper.,47,33
13:55,2287,DJ Clayton Offensive Rebound.,47,33
13:36,2287,Madison Williams Turnover.,47,33
13:35,62,Larry Lewis Jr. Steal.,47,33
13:17,62,Noah Allen missed Three Point Jumper.,47,33
13:17,2287,Deontae Hawkins Defensive Rebound.,47,33
13:10,2287,Madison Williams made Layup. Assisted by MiKyle McIntosh.,49,33
12:40,62,Leland Green missed Three Point Jumper.,49,33
12:40,2287,MiKyle McIntosh Defensive Rebound.,49,33
12:16,2287,Deontae Hawkins made Jumper.,51,33
12:05,2287,Foul on Keyshawn Evans.,51,33
11:56,62,Jack Purchase Turnover.,51,33
11:56,62,Official TV Timeout,51,33
11:30,62,Foul on Gibson Johnson.,51,33
11:30,2287,MiKyle McIntosh missed Free Throw.,51,33
11:30,2287,Illinois St Deadball Team Rebound.,51,33
11:30,2287,MiKyle McIntosh made Free Throw.,52,33
11:16,62,Sheriff Drammeh missed Three Point Jumper.,52,33
11:16,62,Hawai'i Deadball Team Rebound.,52,33
11:14,2287,Foul on Daouda Ndiaye.,52,33
11:11,62,Noah Allen missed Three Point Jumper.,52,33
11:11,2287,Daouda Ndiaye Defensive Rebound.,52,33
10:57,62,Foul on Ido Flaisher.,52,33
10:57,2287,Phil Fayne made Free Throw.,53,33
10:57,2287,Phil Fayne made Free Throw.,54,33
10:37,62,Noah Allen missed Jumper.,54,33
10:37,2287,Illinois St Defensive Rebound.,54,33
10:06,2287,Paris Lee missed Three Point Jumper.,54,33
10:06,2287,Phil Fayne Offensive Rebound.,54,33
10:03,2287,Phil Fayne made Dunk.,56,33
9:54,62,Hawai'i  Timeout,56,33
9:44,62,Noah Allen Turnover.,56,33
9:42,2287,Paris Lee Steal.,56,33
9:20,2287,Phil Fayne made Dunk. Assisted by Paris Lee.,58,33
8:47,62,Matthew Owies missed Three Point Jumper.,58,33
8:47,2287,Illinois St Defensive Rebound.,58,33
8:24,2287,Paris Lee missed Three Point Jumper.,58,33
8:24,2287,MiKyle McIntosh Offensive Rebound.,58,33
8:20,62,Foul on Larry Lewis Jr..,58,33
8:17,2287,MiKyle McIntosh missed Jumper.,58,33
8:17,2287,Deontae Hawkins Offensive Rebound.,58,33
8:05,2287,Deontae Hawkins made Jumper.,60,33
7:43,62,Brocke Stepteau missed Layup.,60,33
7:43,2287,Daouda Ndiaye Block.,60,33
7:40,62,Noah Allen Offensive Rebound.,60,33
7:39,62,Noah Allen missed Jumper.,60,33
7:39,2287,Daouda Ndiaye Block.,60,33
7:37,2287,Deontae Hawkins Defensive Rebound.,60,33
7:31,2287,MiKyle McIntosh missed Three Point Jumper.,60,33
7:31,62,Larry Lewis Jr. Defensive Rebound.,60,33
6:59,62,Noah Allen missed Layup.,60,33
6:59,2287,Deontae Hawkins Defensive Rebound.,60,33
6:46,62,Hawai'i  Timeout,60,33
6:31,2287,Deontae Hawkins made Three Point Jumper.,63,33
6:10,62,Gibson Johnson Turnover.,63,33
5:58,2287,Deontae Hawkins Turnover.,63,33
5:58,2287,Foul on Deontae Hawkins.,63,33
5:44,62,Brocke Stepteau missed Three Point Jumper.,63,33
5:44,2287,Keyshawn Evans Defensive Rebound.,63,33
5:33,2287,Phil Fayne made Dunk. Assisted by DJ Clayton.,65,33
5:16,2287,Foul on Keyshawn Evans.,65,33
5:16,62,Gibson Johnson made Free Throw.,65,34
5:16,62,Gibson Johnson missed Free Throw.,65,34
5:16,2287,Deontae Hawkins Defensive Rebound.,65,34
4:51,2287,Deontae Hawkins missed Three Point Jumper.,65,34
4:51,62,Brocke Stepteau Defensive Rebound.,65,34
4:37,2287,Foul on Matt Hein.,65,34
4:37,62,Matthew Owies made Free Throw.,65,35
4:37,62,Matthew Owies made Free Throw.,65,36
4:14,62,Foul on Gibson Johnson.,65,36
4:14,2287,Deontae Hawkins made Free Throw.,66,36
4:14,2287,Deontae Hawkins made Free Throw.,67,36
4:00,62,Matthew Owies missed Three Point Jumper.,67,36
4:00,2287,Matt Hein Defensive Rebound.,67,36
3:38,2287,Deontae Hawkins missed Three Point Jumper.,67,36
3:38,62,Matthew Owies Defensive Rebound.,67,36
3:20,62,Gibson Johnson missed Jumper.,67,36
3:20,2287,Keyshawn Evans Defensive Rebound.,67,36
3:14,2287,Illinois St  Timeout,67,36
2:54,2287,Madison Williams made Layup.,69,36
2:29,62,Zach Buscher missed Three Point Jumper.,69,36
2:29,2287,Keyshawn Evans Defensive Rebound.,69,36
2:02,2287,Matt Hein missed Jumper.,69,36
2:02,62,Brian Garrett Defensive Rebound.,69,36
1:57,62,Brian Garrett missed Layup.,69,36
1:57,62,Matthew Owies Offensive Rebound.,69,36
1:54,62,Matthew Owies made Jumper.,69,38
1:25,2287,Javaka Thompson missed Three Point Jumper.,69,38
1:25,62,Brocke Stepteau Defensive Rebound.,69,38
1:14,62,Zach Buscher made Layup.,69,40
1:14,2287,Foul on Javaka Thompson.,69,40
1:14,62,Zach Buscher missed Free Throw.,69,40
1:14,2287,Madison Williams Defensive Rebound.,69,40
0:59,2287,Keyshawn Evans Turnover.,69,40
0:58,62,Zach Buscher Steal.,69,40
0:50,62,Brocke Stepteau missed Jumper.,69,40
0:50,62,Matthew Owies Offensive Rebound.,69,40
0:44,62,Brocke Stepteau made Jumper. Assisted by Matthew Owies.,69,42
0:44,2287,Foul on Andre Washington.,69,42
0:44,62,Brocke Stepteau made Free Throw.,69,43
0:18,2287,Andre Washington made Jumper. Assisted by Madison Williams.,71,43
0:10,62,Brocke Stepteau made Layup.,71,45
0:00,62,End of Game,71,45
