Canisius,179,St. Bonaventure,2099
15:03,2099,Phil Valenti made Three Point Jumper. Assisted by Isaiah Reese.,12,7
14:48,179,Matt Mobley missed Jumper.,12,7
14:48,2099,Phil Valenti Defensive Rebound.,12,7
14:29,2099,Selvedin Planincic missed Three Point Jumper.,12,7
14:29,2099,Isaiah Reese Offensive Rebound.,12,7
14:21,2099,Kassius Robertson missed Jumper.,12,7
14:21,179,Idris Taqqee Block.,12,7
14:19,179,Jaylen Adams Defensive Rebound.,12,7
14:18,2099,Foul on Kiefer Douse.,12,7
14:13,2099,Foul on Kiefer Douse.,12,7
14:13,179,Idris Taqqee made Free Throw.,12,8
14:13,179,Idris Taqqee made Free Throw.,12,9
13:59,2099,Kassius Robertson missed Three Point Jumper.,12,9
13:59,2099,Kassius Robertson Offensive Rebound.,12,9
13:50,2099,Kassius Robertson made Layup.,14,9
12:42,2099,Isaiah Reese Turnover.,14,9
12:39,179,Jaylen Adams Steal.,14,9
12:35,179,Jaylen Adams Turnover.,14,9
12:35,179,David Andoh made Jumper.,14,11
12:35,2099,Selvedin Planincic made Layup.,16,11
12:14,2099,Martin Dixon-Green Turnover.,16,11
12:03,2099,Foul on Isaiah Reese.,16,11
11:48,2099,Foul on Selvedin Planincic.,16,11
11:48,179,Official TV Timeout,16,11
11:48,179,David Andoh missed Free Throw.,16,11
11:48,179,St. Bonaventure Deadball Team Rebound.,16,11
11:48,179,David Andoh made Free Throw.,16,12
11:34,2099,Kassius Robertson made Three Point Jumper. Assisted by Selvedin Planincic.,19,12
11:10,179,Jaylen Adams missed Layup.,19,12
11:10,2099,Martin Dixon-Green Defensive Rebound.,19,12
10:44,2099,Isaiah Reese made Three Point Jumper. Assisted by Kassius Robertson.,22,12
10:16,179,LaDarien Griffin made Layup.,22,14
10:09,2099,Spencer Foley made Three Point Jumper. Assisted by Isaiah Reese.,25,14
9:55,179,David Andoh made Jumper. Assisted by Jaylen Adams.,25,16
9:28,2099,Kassius Robertson made Jumper.,27,16
9:04,179,David Andoh Turnover.,27,16
8:51,2099,Kassius Robertson made Layup.,29,16
8:37,179,Jaylen Adams missed Layup.,29,16
8:37,2099,Spencer Foley Defensive Rebound.,29,16
8:32,2099,Phil Valenti missed Layup.,29,16
8:32,179,Matt Mobley Defensive Rebound.,29,16
8:31,2099,Foul on Spencer Foley.,29,16
8:31,179,Matt Mobley made Free Throw.,29,17
8:31,179,Matt Mobley made Free Throw.,29,18
8:15,2099,Phil Valenti made Three Point Jumper. Assisted by Isaiah Reese.,32,18
7:51,179,Jaylen Adams missed Three Point Jumper.,32,18
7:51,179,David Andoh Offensive Rebound.,32,18
7:43,179,David Andoh Turnover.,32,18
7:42,2099,Spencer Foley Steal.,32,18
7:39,2099,Martin Dixon-Green missed Dunk.,32,18
7:39,179,Denzel Gregg Block.,32,18
7:37,2099,Martin Dixon-Green Offensive Rebound.,32,18
7:35,2099,Martin Dixon-Green missed Layup.,32,18
7:35,179,Denzel Gregg Defensive Rebound.,32,18
7:28,179,LaDarien Griffin made Dunk. Assisted by Jaylen Adams.,32,20
7:13,2099,Spencer Foley made Three Point Jumper. Assisted by Malik Johnson.,35,20
6:52,179,Matt Mobley made Jumper.,35,22
6:37,179,Foul on David Andoh.,35,22
6:37,179,Official TV Timeout,35,22
6:37,2099,Phil Valenti made Free Throw.,36,22
6:37,2099,Phil Valenti made Free Throw.,37,22
6:26,179,Jaylen Adams missed Three Point Jumper.,37,22
6:26,2099,Spencer Foley Defensive Rebound.,37,22
6:17,2099,Martin Dixon-Green missed Layup.,37,22
6:17,179,Denzel Gregg Block.,37,22
6:15,179,Jaylen Adams Defensive Rebound.,37,22
6:02,179,Matt Mobley made Three Point Jumper. Assisted by Jaylen Adams.,37,25
5:45,2099,Phil Valenti missed Three Point Jumper.,37,25
5:45,179,Idris Taqqee Defensive Rebound.,37,25
5:35,179,Idris Taqqee missed Layup.,37,25
5:35,179,St. Bonaventure Offensive Rebound.,37,25
5:28,179,Jaylen Adams missed Jumper.,37,25
5:28,179,Denzel Gregg Offensive Rebound.,37,25
5:15,179,Idris Taqqee missed Three Point Jumper.,37,25
5:15,179,Josh Ayeni Offensive Rebound.,37,25
5:11,179,Josh Ayeni made Free Throw.,37,26
5:11,179,Josh Ayeni made Free Throw.,37,27
5:10,2099,Foul on Selvedin Planincic.,37,27
4:54,2099,Isaiah Reese missed Three Point Jumper.,37,27
4:54,2099,Spencer Foley Offensive Rebound.,37,27
4:48,2099,Spencer Foley made Jumper.,39,27
4:30,179,Matt Mobley made Three Point Jumper.,39,30
4:16,2099,Malik Johnson Turnover.,39,30
4:15,179,Jaylen Adams Steal.,39,30
4:12,179,Idris Taqqee made Layup. Assisted by Denzel Gregg.,39,32
4:02,2099,Canisius  Timeout,39,32
4:02,179,Official TV Timeout,39,32
3:42,2099,Dantai St. Louis Turnover.,39,32
3:41,179,Matt Mobley Steal.,39,32
3:36,179,Matt Mobley made Three Point Jumper.,39,35
3:21,2099,Isaiah Reese made Jumper.,41,35
3:05,179,David Andoh made Three Point Jumper. Assisted by Jaylen Adams.,41,38
2:39,2099,Kassius Robertson missed Three Point Jumper.,41,38
2:39,179,Denzel Gregg Defensive Rebound.,41,38
2:10,179,Denzel Gregg made Layup. Assisted by Jaylen Adams.,41,40
2:10,2099,Foul on Dantai St. Louis.,41,40
2:10,179,Denzel Gregg made Free Throw.,41,41
1:54,2099,Kassius Robertson made Layup.,43,41
1:43,179,Denzel Gregg missed Layup.,43,41
1:43,2099,Malik Johnson Defensive Rebound.,43,41
1:36,2099,Kassius Robertson missed Three Point Jumper.,43,41
1:36,2099,Spencer Foley Offensive Rebound.,43,41
1:21,2099,Isaiah Reese made Three Point Jumper. Assisted by Phil Valenti.,46,41
1:15,179,St. Bonaventure  Timeout,46,41
1:03,179,Matt Mobley made Dunk.,46,43
0:41,2099,Isaiah Reese missed Layup.,46,43
0:41,179,Denzel Gregg Block.,46,43
0:39,2099,Isaiah Reese Offensive Rebound.,46,43
0:37,2099,Isaiah Reese made Layup.,48,43
0:07,179,Idris Taqqee Turnover.,48,43
0:06,179,Foul on Jaylen Adams.,48,43
0:06,179,Jaylen Adams Turnover.,48,43
0:01,179,Foul on Matt Mobley.,48,43
0:01,179,Foul on Matt Mobley.,48,43
0:01,2099,Isaiah Reese made Free Throw.,49,43
0:01,2099,Isaiah Reese made Free Throw.,50,43
0:00,179,Jaylen Adams missed Three Point Jumper.,50,43
0:00,179,St. Bonaventure Deadball Team Rebound.,50,43
0:00,179,End of 1st half,50,43
19:50,179,Matt Mobley missed Jumper.,50,43
19:50,2099,Jermaine Crumpton Defensive Rebound.,50,43
19:35,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Phil Valenti.,53,43
19:09,179,Jaylen Adams made Three Point Jumper. Assisted by Matt Mobley.,53,46
18:53,2099,Jermaine Crumpton made Layup. Assisted by Kassius Robertson.,55,46
18:37,179,Idris Taqqee Turnover.,55,46
18:36,2099,Malik Johnson Steal.,55,46
18:34,2099,Kiefer Douse made Layup. Assisted by Malik Johnson.,57,46
18:21,179,Jaylen Adams made Jumper.,57,48
18:07,2099,Phil Valenti made Layup. Assisted by Kassius Robertson.,59,48
17:46,179,Matt Mobley made Jumper.,59,50
17:31,2099,Jermaine Crumpton made Three Point Jumper.,62,50
17:18,179,Foul on Jaylen Adams.,62,50
17:18,179,Jaylen Adams Turnover.,62,50
16:58,2099,Phil Valenti missed Three Point Jumper.,62,50
16:58,2099,Jermaine Crumpton Offensive Rebound.,62,50
16:41,2099,Jermaine Crumpton missed Three Point Jumper.,62,50
16:41,179,Matt Mobley Defensive Rebound.,62,50
16:38,2099,Foul on Kiefer Douse.,62,50
16:28,179,David Andoh made Jumper. Assisted by Jaylen Adams.,62,52
16:20,2099,Kassius Robertson missed Three Point Jumper.,62,52
16:20,179,LaDarien Griffin Defensive Rebound.,62,52
16:10,179,David Andoh missed Three Point Jumper.,62,52
16:10,2099,Malik Johnson Defensive Rebound.,62,52
16:00,2099,Foul on Phil Valenti.,62,52
16:00,2099,Phil Valenti Turnover.,62,52
15:47,179,Jaylen Adams missed Three Point Jumper.,62,52
15:47,2099,Canisius Defensive Rebound.,62,52
15:44,179,Official TV Timeout,62,52
15:18,2099,Jermaine Crumpton made Jumper. Assisted by Phil Valenti.,64,52
14:55,179,Matt Mobley made Layup.,64,54
14:38,2099,Kassius Robertson Turnover.,64,54
14:36,179,David Andoh Steal.,64,54
14:35,2099,Foul on Phil Valenti.,64,54
14:35,179,Denzel Gregg missed Dunk.,64,54
14:35,179,Denzel Gregg Offensive Rebound.,64,54
14:32,179,Denzel Gregg made Layup.,64,56
14:22,179,Foul on Denzel Gregg.,64,56
14:05,179,Foul on Jaylen Adams.,64,56
13:53,179,Foul on David Andoh.,64,56
13:53,2099,Jermaine Crumpton made Free Throw.,65,56
13:53,2099,Jermaine Crumpton made Free Throw.,66,56
13:43,179,Denzel Gregg made Layup. Assisted by Matt Mobley.,66,58
13:27,2099,Jermaine Crumpton missed Three Point Jumper.,66,58
13:27,179,Matt Mobley Defensive Rebound.,66,58
13:21,2099,Foul on Jermaine Crumpton.,66,58
13:21,179,Matt Mobley made Free Throw.,66,59
13:21,179,Matt Mobley made Free Throw.,66,60
13:11,2099,Spencer Foley missed Three Point Jumper.,66,60
13:11,2099,Spencer Foley Offensive Rebound.,66,60
12:50,179,Foul on Matt Mobley.,66,60
12:33,2099,Kassius Robertson missed Three Point Jumper.,66,60
12:33,179,David Andoh Defensive Rebound.,66,60
12:24,179,Matt Mobley made Jumper.,66,62
12:06,2099,Isaiah Reese missed Three Point Jumper.,66,62
12:06,179,Denzel Gregg Defensive Rebound.,66,62
11:59,179,Matt Mobley missed Three Point Jumper.,66,62
11:59,2099,Canisius Defensive Rebound.,66,62
11:56,179,Foul on LaDarien Griffin.,66,62
11:56,179,Official TV Timeout,66,62
11:30,2099,Kiefer Douse Turnover.,66,62
11:28,179,Matt Mobley Steal.,66,62
11:26,179,Jaylen Adams missed Three Point Jumper.,66,62
11:26,2099,Jermaine Crumpton Defensive Rebound.,66,62
11:13,2099,Jermaine Crumpton Turnover.,66,62
11:11,179,LaDarien Griffin Steal.,66,62
10:48,179,Jaylen Adams missed Jumper.,66,62
10:48,2099,Jermaine Crumpton Defensive Rebound.,66,62
10:34,179,Foul on David Andoh.,66,62
10:34,2099,Isaiah Reese made Free Throw.,67,62
10:34,2099,Isaiah Reese made Free Throw.,68,62
10:25,2099,Foul on Selvedin Planincic.,68,62
10:20,2099,Foul on Selvedin Planincic.,68,62
10:20,179,Denzel Gregg made Free Throw.,68,63
10:20,179,Denzel Gregg made Free Throw.,68,64
9:57,2099,Phil Valenti missed Three Point Jumper.,68,64
9:57,179,Matt Mobley Defensive Rebound.,68,64
9:48,179,Matt Mobley Turnover.,68,64
9:48,2099,Kiefer Douse Steal.,68,64
9:48,179,Foul on Matt Mobley.,68,64
9:26,2099,Kassius Robertson missed Layup.,68,64
9:26,179,David Andoh Block.,68,64
9:24,179,St. Bonaventure Defensive Rebound.,68,64
9:10,179,Jaylen Adams made Layup.,68,66
8:40,2099,Phil Valenti made Layup. Assisted by Kiefer Douse.,70,66
8:24,2099,Foul on Phil Valenti.,70,66
8:24,179,Jaylen Adams made Free Throw.,70,67
8:24,179,Jaylen Adams made Free Throw.,70,68
8:13,2099,Spencer Foley made Three Point Jumper. Assisted by Kiefer Douse.,73,68
8:01,179,Jaylen Adams made Three Point Jumper.,73,71
7:41,2099,Spencer Foley missed Three Point Jumper.,73,71
7:41,179,St. Bonaventure Defensive Rebound.,73,71
7:37,179,Official TV Timeout,73,71
7:25,179,Nelson Kaputo missed Three Point Jumper.,73,71
7:25,2099,Kiefer Douse Defensive Rebound.,73,71
7:10,2099,Jermaine Crumpton made Jumper. Assisted by Kiefer Douse.,75,71
6:53,179,Jaylen Adams missed Three Point Jumper.,75,71
6:53,2099,Phil Valenti Defensive Rebound.,75,71
6:41,2099,Kiefer Douse Turnover.,75,71
6:24,179,Jaylen Adams made Three Point Jumper. Assisted by Idris Taqqee.,75,74
5:57,2099,Kiefer Douse made Dunk. Assisted by Malik Johnson.,77,74
5:33,179,Matt Mobley made Layup.,77,76
5:14,179,Foul on Jaylen Adams.,77,76
5:14,2099,Phil Valenti made Free Throw.,78,76
5:14,2099,Phil Valenti made Free Throw.,79,76
4:53,179,David Andoh made Three Point Jumper. Assisted by Jaylen Adams.,79,79
4:25,2099,Canisius  Timeout,79,79
4:25,179,Official TV Timeout,79,79
4:24,2099,Jermaine Crumpton missed Three Point Jumper.,79,79
4:24,179,Idris Taqqee Defensive Rebound.,79,79
4:03,179,Jaylen Adams Turnover.,79,79
4:03,179,Foul on Jaylen Adams.,79,79
4:03,2099,Isaiah Reese made Free Throw.,80,79
4:03,2099,Isaiah Reese missed Free Throw.,80,79
4:03,179,Denzel Gregg Defensive Rebound.,80,79
3:48,179,Matt Mobley missed Three Point Jumper.,80,79
3:48,179,David Andoh Offensive Rebound.,80,79
3:43,2099,Foul on Jermaine Crumpton.,80,79
3:43,179,Official TV Timeout,80,79
3:43,179,David Andoh made Free Throw.,80,80
3:43,179,David Andoh made Free Throw.,80,81
3:20,179,Foul on LaDarien Griffin.,80,81
3:20,2099,Phil Valenti made Free Throw.,81,81
3:20,2099,Phil Valenti made Free Throw.,82,81
3:15,179,Matt Mobley Turnover.,82,81
3:13,2099,Kiefer Douse Steal.,82,81
3:12,2099,Phil Valenti missed Jumper.,82,81
3:12,2099,Phil Valenti Offensive Rebound.,82,81
3:08,2099,Phil Valenti made Jumper.,84,81
2:56,2099,Foul on Jermaine Crumpton.,84,81
2:56,179,Idris Taqqee made Free Throw.,84,82
2:56,179,Idris Taqqee made Free Throw.,84,83
2:34,2099,Spencer Foley made Three Point Jumper.,87,83
2:13,179,LaDarien Griffin made Layup. Assisted by Matt Mobley.,87,85
1:53,2099,Spencer Foley missed Three Point Jumper.,87,85
1:53,179,Matt Mobley Defensive Rebound.,87,85
1:40,179,St. Bonaventure  Timeout,87,85
1:35,2099,Foul on Spencer Foley.,87,85
1:35,179,Denzel Gregg missed Free Throw.,87,85
1:35,179,St. Bonaventure Deadball Team Rebound.,87,85
1:35,179,Denzel Gregg made Free Throw.,87,86
1:12,2099,Phil Valenti made Jumper.,89,86
1:04,179,St. Bonaventure  Timeout,89,86
0:50,179,Matt Mobley missed Layup.,89,86
0:50,2099,Kiefer Douse Defensive Rebound.,89,86
0:37,2099,Canisius  Timeout,89,86
0:20,2099,Kassius Robertson missed Three Point Jumper.,89,86
0:20,179,Matt Mobley Defensive Rebound.,89,86
0:12,179,St. Bonaventure  Timeout,89,86
0:04,179,Matt Mobley made Three Point Jumper.,89,89
0:00,2099,Kassius Robertson missed Three Point Jumper.,89,89
0:00,2099,Canisius Deadball Team Rebound.,89,89
0:00,179,End of 2nd half,89,89
4:45,179,Idris Taqqee Turnover.,89,89
4:35,2099,Phil Valenti made Three Point Jumper. Assisted by Isaiah Reese.,92,89
4:18,179,David Andoh made Three Point Jumper. Assisted by Matt Mobley.,92,92
3:53,2099,Phil Valenti missed Three Point Jumper.,92,92
3:53,179,Matt Mobley Defensive Rebound.,92,92
3:37,179,Denzel Gregg made Jumper. Assisted by Matt Mobley.,92,94
3:19,2099,Isaiah Reese made Layup.,94,94
2:55,179,Matt Mobley missed Jumper.,94,94
2:55,179,Idris Taqqee Offensive Rebound.,94,94
2:50,179,Idris Taqqee made Jumper.,94,96
2:30,2099,Kassius Robertson made Three Point Jumper. Assisted by Kiefer Douse.,97,96
2:07,179,Matt Mobley missed Layup.,97,96
2:07,2099,Phil Valenti Defensive Rebound.,97,96
1:49,2099,Canisius  Timeout,97,96
1:49,179,Official TV Timeout,97,96
1:40,2099,Isaiah Reese missed Jumper.,97,96
1:40,179,LaDarien Griffin Block.,97,96
1:40,2099,Canisius Offensive Rebound.,97,96
1:37,2099,Kassius Robertson missed Three Point Jumper.,97,96
1:37,179,Matt Mobley Defensive Rebound.,97,96
1:18,2099,Foul on Kassius Robertson.,97,96
1:18,179,Matt Mobley made Free Throw.,97,97
1:18,179,Matt Mobley made Free Throw.,97,98
1:05,2099,Isaiah Reese made Three Point Jumper. Assisted by Kiefer Douse.,100,98
0:53,179,St. Bonaventure  Timeout,100,98
0:40,179,Matt Mobley made Three Point Jumper.,100,101
0:27,2099,Kassius Robertson missed Layup.,100,101
0:27,179,Idris Taqqee Block.,100,101
0:25,2099,Kiefer Douse Offensive Rebound.,100,101
0:25,2099,Kiefer Douse made Layup.,102,101
0:22,179,Matt Mobley missed Three Point Jumper.,102,101
0:22,2099,Canisius Defensive Rebound.,102,101
0:19,179,Foul on LaDarien Griffin.,102,101
0:19,2099,Phil Valenti made Free Throw.,103,101
0:19,2099,Phil Valenti made Free Throw.,104,101
0:06,179,Matt Mobley missed Three Point Jumper.,104,101
0:06,2099,Kassius Robertson Defensive Rebound.,104,101
0:02,179,Foul on Idris Taqqee.,104,101
0:02,2099,Kassius Robertson made Free Throw.,105,101
0:02,2099,Kassius Robertson made Free Throw.,106,101
0:00,179,End of Game,106,101
